	Clavispora_lusitaniae	Saccharomyces_cerevisiae
OG0000653	genemark-NW_003101571.1-processed-gene-6.107-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.107&CDS=1-1638	YGR055W
OG0000654	genemark-NW_003101571.1-processed-gene-6.108-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.108&CDS=1-3564	YJL080C
OG0000655	genemark-NW_003101571.1-processed-gene-6.109-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.109&CDS=1-2577	YFR016C
OG0000656	genemark-NW_003101571.1-processed-gene-6.79-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.79&CDS=1-711	YDR054C
OG0000657	genemark-NW_003101571.1-processed-gene-6.80-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.80&CDS=1-1587	YDR052C
OG0000658	augustus_masked-NW_003101571.1-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-NW_003101571.1-processed-gene-6.24&CDS=1-3420	YOL023W
OG0000659	genemark-NW_003101571.1-processed-gene-6.83-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.83&CDS=1-3813	YJL108C
OG0000660	genemark-NW_003101571.1-processed-gene-6.111-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.111&CDS=1-4296	YGR116W
OG0000661	genemark-NW_003101571.1-processed-gene-6.84-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.84&CDS=1-1074	YPL069C
OG0000662	genemark-NW_003101571.1-processed-gene-6.85-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.85&CDS=1-900	YLR172C
OG0000663	genemark-NW_003101572.1-processed-gene-0.62-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.62&CDS=1-1644	YOR386W
OG0000664	genemark-NW_003101572.1-processed-gene-0.63-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.63&CDS=1-1071	YLR403W
OG0000665	genemark-NW_003101572.1-processed-gene-0.66-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.66&CDS=1-1629	YLR133W
OG0000666	genemark-NW_003101572.1-processed-gene-0.67-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.67&CDS=1-1092	YDR142C
OG0000667	genemark-NW_003101572.1-processed-gene-0.68-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.68&CDS=1-2574	YLL032C
OG0000668	genemark-NW_003101572.1-processed-gene-0.71-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.71&CDS=1-2262	YBR112C
OG0000669	genemark-NW_003101572.1-processed-gene-0.83-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.83&CDS=1-2706	YBR111C
OG0000670	snap_masked-NW_003101572.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-0.10&CDS=1-288	YBR111W-A
OG0000671	genemark-NW_003101572.1-processed-gene-0.84-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.84&CDS=1-1953	YBR212W
OG0000672	genemark-NW_003101572.1-processed-gene-0.86-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.86&CDS=1-429	YOR369C
OG0000673	genemark-NW_003101572.1-processed-gene-0.87-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.87&CDS=1-1851	YOR370C
OG0000674	genemark-NW_003101572.1-processed-gene-0.75-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.75&CDS=1-795	YBR213W
OG0000675	genemark-NW_003101572.1-processed-gene-0.88-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.88&CDS=1-1317	YOR323C
OG0000676	maker-NW_003101572.1-augustus-gene-0.34-mRNA-1_1&gene=maker-NW_003101572.1-augustus-gene-0.34&CDS=1-5343	YAL026C
OG0000677	genemark-NW_003101572.1-processed-gene-0.78-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.78&CDS=1-5490	YHL030W
OG0000678	genemark-NW_003101572.1-processed-gene-1.40-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.40&CDS=1-1605	YHL029C
OG0000679	genemark-NW_003101572.1-processed-gene-1.65-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.65&CDS=1-1653	YDR481C
OG0000680	genemark-NW_003101572.1-processed-gene-1.66-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.66&CDS=1-1032	YGL159W
OG0000681	genemark-NW_003101572.1-processed-gene-1.68-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.68&CDS=1-2298	YGL009C
OG0000682	genemark-NW_003101572.1-processed-gene-1.45-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.45&CDS=1-2643	YGR003W
OG0000683	snap_masked-NW_003101572.1-processed-gene-1.114-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-1.114&CDS=1-2370	YDR416W
OG0000684	genemark-NW_003101572.1-processed-gene-1.70-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.70&CDS=1-864	YJL158C
OG0000685	genemark-NW_003101572.1-processed-gene-1.50-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.50&CDS=1-2025	YMR068W
OG0000686	snap_masked-NW_003101572.1-processed-gene-1.96-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-1.96&CDS=1-3006	YCR092C
OG0000687	genemark-NW_003101572.1-processed-gene-1.53-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.53&CDS=1-813	YEL009C
OG0000688	genemark-NW_003101572.1-processed-gene-1.74-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.74&CDS=1-690	YIR009W
OG0000689	snap_masked-NW_003101572.1-processed-gene-1.125-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-1.125&CDS=1-1023	YJL088W
OG0000690	genemark-NW_003101572.1-processed-gene-1.54-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.54&CDS=1-966	YNR003C
OG0000691	genemark-NW_003101572.1-processed-gene-1.77-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.77&CDS=1-801	YBR257W
OG0000692	augustus_masked-NW_003101572.1-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-1.15&CDS=1-1443	YJL046W
OG0000693	snap_masked-NW_003101572.1-processed-gene-1.105-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-1.105&CDS=1-1959	YMR164C
OG0000694	maker-NW_003101572.1-augustus-gene-1.141-mRNA-1_1&gene=maker-NW_003101572.1-augustus-gene-1.141&CDS=1-3411	YBL082C
OG0000695	genemark-NW_003101572.1-processed-gene-1.84-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.84&CDS=1-684	YOL147C
OG0000696	snap_masked-NW_003101572.1-processed-gene-1.106-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-1.106&CDS=1-3087	YGL093W
OG0000697	snap_masked-NW_003101572.1-processed-gene-1.107-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-1.107&CDS=1-1287	YNL323W
OG0000698	maker-NW_003101572.1-snap-gene-1.137-mRNA-1_1&gene=maker-NW_003101572.1-snap-gene-1.137&CDS=1-2115	YML131W
OG0000699	augustus_masked-NW_003101572.1-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-2.5&CDS=1-1743	YOR308C
OG0000700	genemark-NW_003101572.1-processed-gene-2.50-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.50&CDS=1-3363	YDR270W
OG0000701	snap_masked-NW_003101572.1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-2.121&CDS=1-2811	YOR160W
OG0000702	genemark-NW_003101572.1-processed-gene-2.53-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.53&CDS=1-555	YDR454C
OG0000703	genemark-NW_003101572.1-processed-gene-2.54-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.54&CDS=1-1920	YCR008W
OG0000704	genemark-NW_003101572.1-processed-gene-2.57-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.57&CDS=1-1026	YBR159W
OG0000705	genemark-NW_003101572.1-processed-gene-2.58-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.58&CDS=1-1026	YNL007C
OG0000706	genemark-NW_003101572.1-processed-gene-2.59-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.59&CDS=1-933	YNL006W
OG0000707	genemark-NW_003101572.1-processed-gene-2.60-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.60&CDS=1-999	YBR046C
OG0000708	genemark-NW_003101572.1-processed-gene-2.77-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.77&CDS=1-2061	YLR176C
OG0000709	genemark-NW_003101572.1-processed-gene-2.61-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.61&CDS=1-828	YNL002C
OG0000710	genemark-NW_003101572.1-processed-gene-2.62-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.62&CDS=1-1836	YNL003C
OG0000711	genemark-NW_003101572.1-processed-gene-2.63-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.63&CDS=1-1350	YCL017C
OG0000712	genemark-NW_003101572.1-processed-gene-2.64-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.64&CDS=1-1119	YCL018W
OG0000713	genemark-NW_003101572.1-processed-gene-2.78-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.78&CDS=1-4143	YCL014W
OG0000714	genemark-NW_003101572.1-processed-gene-2.79-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.79&CDS=1-414	YCL012C
OG0000715	genemark-NW_003101572.1-processed-gene-2.81-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.81&CDS=1-816	YCL010C
OG0000716	genemark-NW_003101572.1-processed-gene-2.67-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.67&CDS=1-1635	YCL004W
OG0000717	genemark-NW_003101572.1-processed-gene-2.68-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.68&CDS=1-1128	YNL005C
OG0000718	augustus_masked-NW_003101572.1-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-2.39&CDS=1-216	YOR210W
OG0000719	genemark-NW_003101572.1-processed-gene-2.70-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.70&CDS=1-2553	YPL126W
OG0000720	genemark-NW_003101572.1-processed-gene-2.83-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.83&CDS=1-2652	YOR211C
OG0000721	genemark-NW_003101572.1-processed-gene-2.85-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.85&CDS=1-315	YDL130W
OG0000722	genemark-NW_003101572.1-processed-gene-2.72-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.72&CDS=1-918	YGR101W
OG0000723	genemark-NW_003101572.1-processed-gene-2.86-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.86&CDS=1-606	YFR001W
OG0000724	genemark-NW_003101572.1-processed-gene-2.87-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.87&CDS=1-1995	YKL179C
OG0000725	genemark-NW_003101572.1-processed-gene-2.74-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.74&CDS=1-1905	YLR143W
OG0000726	snap_masked-NW_003101572.1-processed-gene-3.3-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-3.3&CDS=1-2925	YHR098C
OG0000727	genemark-NW_003101572.1-processed-gene-3.85-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.85&CDS=1-2217	YOR035C
OG0000728	genemark-NW_003101572.1-processed-gene-3.83-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.83&CDS=1-750	YHR090C
OG0000729	genemark-NW_003101572.1-processed-gene-3.105-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.105&CDS=1-432	YHR051W
OG0000730	genemark-NW_003101572.1-processed-gene-3.88-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.88&CDS=1-420	YOR028C
OG0000731	genemark-NW_003101572.1-processed-gene-3.89-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.89&CDS=1-1077	YDR322W
OG0000732	genemark-NW_003101572.1-processed-gene-3.90-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.90&CDS=1-3039	YHR077C
OG0000733	genemark-NW_003101572.1-processed-gene-3.107-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.107&CDS=1-1059	YHR076W
OG0000734	snap_masked-NW_003101572.1-processed-gene-3.13-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-3.13&CDS=1-273	YDR322C-A
OG0000735	augustus_masked-NW_003101572.1-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-3.55&CDS=1-1605	YDR323C
OG0000736	genemark-NW_003101572.1-processed-gene-3.109-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.109&CDS=1-1968	YLR103C
OG0000737	genemark-NW_003101572.1-processed-gene-3.110-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.110&CDS=1-1506	YLR149C
OG0000738	snap_masked-NW_003101572.1-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-3.33&CDS=1-378	YLR104W
OG0000739	genemark-NW_003101572.1-processed-gene-3.112-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.112&CDS=1-1356	YER019W
OG0000740	genemark-NW_003101572.1-processed-gene-3.114-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.114&CDS=1-591	YDR167W
OG0000741	augustus_masked-NW_003101572.1-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-3.60&CDS=1-4452	YDR128W
OG0000742	maker-NW_003101572.1-snap-gene-3.123-mRNA-1_1&gene=maker-NW_003101572.1-snap-gene-3.123&CDS=1-1131	YLR100W
OG0000743	augustus_masked-NW_003101572.1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-3.62&CDS=1-4755	YKL010C
OG0000744	genemark-NW_003101572.1-processed-gene-3.100-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.100&CDS=1-792	YKL007W
OG0000745	genemark-NW_003101572.1-processed-gene-3.117-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.117&CDS=1-1425	YHL002W
OG0000746	genemark-NW_003101572.1-processed-gene-3.118-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.118&CDS=1-1326	YHL004W
OG0000747	genemark-NW_003101572.1-processed-gene-3.119-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.119&CDS=1-597	YKL117W
OG0000748	genemark-NW_003101572.1-processed-gene-3.120-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.120&CDS=1-2838	YNL325C
OG0000749	genemark-NW_003101572.1-processed-gene-3.121-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.121&CDS=1-1077	YLR321C
OG0000750	snap_masked-NW_003101572.1-processed-gene-4.93-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-4.93&CDS=1-2103	YLR319C
OG0000751	genemark-NW_003101572.1-processed-gene-4.4-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.4&CDS=1-3267	YMR308C
OG0000752	genemark-NW_003101572.1-processed-gene-4.5-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.5&CDS=1-1101	YAL036C
OG0000753	genemark-NW_003101572.1-processed-gene-4.0-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.0&CDS=1-3036	YAL035W
OG0000754	genemark-NW_003101572.1-processed-gene-4.6-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.6&CDS=1-444	YDL235C
OG0000755	genemark-NW_003101572.1-processed-gene-4.27-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.27&CDS=1-1791	YNL219C
OG0000756	snap_masked-NW_003101572.1-processed-gene-4.117-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-4.117&CDS=1-1230	YNL220W
OG0000757	snap_masked-NW_003101572.1-processed-gene-4.118-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-4.118&CDS=1-1077	YNL037C
OG0000758	genemark-NW_003101572.1-processed-gene-4.7-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.7&CDS=1-402	YIL098C
OG0000759	genemark-NW_003101572.1-processed-gene-4.8-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.8&CDS=1-453	YAL008W
OG0000760	snap_masked-NW_003101572.1-processed-gene-4.120-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-4.120&CDS=1-4932	YOR341W
OG0000761	genemark-NW_003101572.1-processed-gene-4.31-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.31&CDS=1-1473	YBR243C
OG0000762	genemark-NW_003101572.1-processed-gene-4.10-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.10&CDS=1-1020	YGL100W
OG0000763	genemark-NW_003101572.1-processed-gene-4.32-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.32&CDS=1-1263	YGL111W
OG0000764	genemark-NW_003101572.1-processed-gene-4.11-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.11&CDS=1-1581	YHR064C
OG0000765	genemark-NW_003101572.1-processed-gene-4.12-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.12&CDS=1-1536	YOR070C
OG0000766	augustus_masked-NW_003101572.1-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-4.56&CDS=1-1077	YKR080W
OG0000767	genemark-NW_003101572.1-processed-gene-4.16-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.16&CDS=1-2097	YKR099W
OG0000768	genemark-NW_003101572.1-processed-gene-4.34-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.34&CDS=1-768	YOR077W
OG0000769	genemark-NW_003101572.1-processed-gene-4.35-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.35&CDS=1-972	YKR087C
OG0000770	genemark-NW_003101572.1-processed-gene-4.37-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.37&CDS=1-561	YIL157C
OG0000771	genemark-NW_003101572.1-processed-gene-4.19-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.19&CDS=1-513	YAL059W
OG0000772	genemark-NW_003101572.1-processed-gene-4.20-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.20&CDS=1-1698	YAL058W
OG0000773	genemark-NW_003101572.1-processed-gene-4.23-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.23&CDS=1-3633	YMR218C
OG0000774	genemark-NW_003101572.1-processed-gene-4.24-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.24&CDS=1-1851	YGL110C
OG0000775	genemark-NW_003101572.1-processed-gene-4.39-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.39&CDS=1-1314	YOL062C
OG0000776	genemark-NW_003101572.1-processed-gene-4.25-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.25&CDS=1-3171	YDL215C
OG0000777	genemark-NW_003101572.1-processed-gene-4.26-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.26&CDS=1-1002	YBR246W
OG0000778	maker-NW_003101572.1-snap-gene-5.38-mRNA-1_1&gene=maker-NW_003101572.1-snap-gene-5.38&CDS=1-2121	YLR337C
OG0000779	snap_masked-NW_003101572.1-processed-gene-5.3-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-5.3&CDS=1-708	YNL129W
OG0000780	genemark-NW_003101572.1-processed-gene-5.97-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.97&CDS=1-642	YDR486C
OG0000781	genemark-NW_003101572.1-processed-gene-5.80-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.80&CDS=1-1869	YKL029C
OG0000782	genemark-NW_003101572.1-processed-gene-5.82-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.82&CDS=1-747	YDR226W
OG0000783	genemark-NW_003101572.1-processed-gene-5.100-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.100&CDS=1-1620	YDR228C
OG0000784	genemark-NW_003101572.1-processed-gene-5.83-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.83&CDS=1-897	YDL198C
OG0000785	snap_masked-NW_003101572.1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-5.27&CDS=1-1347	YNL193W
OG0000786	genemark-NW_003101572.1-processed-gene-5.85-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.85&CDS=1-465	YOR104W
OG0000787	genemark-NW_003101572.1-processed-gene-5.86-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.86&CDS=1-1842	YEL023C
OG0000788	augustus_masked-NW_003101572.1-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-5.66&CDS=1-3633	YEL024W
OG0000789	genemark-NW_003101572.1-processed-gene-5.88-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.88&CDS=1-2196	YJR042W
OG0000790	genemark-NW_003101572.1-processed-gene-5.104-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.104&CDS=1-480	YEL027W
OG0000791	genemark-NW_003101572.1-processed-gene-5.89-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.89&CDS=1-375	YEL026W
OG0000792	snap_masked-NW_003101572.1-processed-gene-5.16-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-5.16&CDS=1-3789	YJR041C
OG0000793	genemark-NW_003101572.1-processed-gene-5.105-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.105&CDS=1-2148	YJR040W
OG0000794	genemark-NW_003101572.1-processed-gene-5.107-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.107&CDS=1-792	YOR036W
OG0000795	genemark-NW_003101572.1-processed-gene-5.91-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.91&CDS=1-4293	YNL102W
OG0000796	genemark-NW_003101572.1-processed-gene-5.92-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.92&CDS=1-2574	YBR289W
OG0000797	genemark-NW_003101572.1-processed-gene-5.109-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.109&CDS=1-1125	YHR112C
OG0000798	genemark-NW_003101572.1-processed-gene-5.93-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.93&CDS=1-3537	YMR287C
OG0000799	genemark-NW_003101572.1-processed-gene-5.95-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.95&CDS=1-975	YMR267W
OG0000800	genemark-NW_003101572.1-processed-gene-5.96-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.96&CDS=1-4842	YML103C
OG0000801	genemark-NW_003101572.1-processed-gene-6.166-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.166&CDS=1-1275	YMR208W
OG0000802	genemark-NW_003101572.1-processed-gene-6.169-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.169&CDS=1-978	YOR271C
OG0000803	genemark-NW_003101572.1-processed-gene-6.170-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.170&CDS=1-1584	YMR217W
OG0000804	genemark-NW_003101572.1-processed-gene-6.171-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.171&CDS=1-1512	YMR209C
OG0000805	genemark-NW_003101572.1-processed-gene-6.172-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.172&CDS=1-864	YKL019W
OG0000806	genemark-NW_003101572.1-processed-gene-6.174-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.174&CDS=1-1143	YFL030W
OG0000807	genemark-NW_003101572.1-processed-gene-6.176-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.176&CDS=1-3648	YNL088W
OG0000808	genemark-NW_003101572.1-processed-gene-6.213-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.213&CDS=1-1095	YKR070W
OG0000809	genemark-NW_003101572.1-processed-gene-6.214-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.214&CDS=1-1599	YKR069W
OG0000810	genemark-NW_003101572.1-processed-gene-6.181-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.181&CDS=1-1278	YOR051C
OG0000811	genemark-NW_003101572.1-processed-gene-6.215-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.215&CDS=1-507	YOR052C
OG0000812	genemark-NW_003101572.1-processed-gene-6.217-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.217&CDS=1-573	YKR068C
OG0000813	genemark-NW_003101572.1-processed-gene-6.182-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.182&CDS=1-1005	YDR297W
OG0000814	genemark-NW_003101572.1-processed-gene-6.183-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.183&CDS=1-882	YER175C
OG0000815	genemark-NW_003101572.1-processed-gene-6.188-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.188&CDS=1-1287	YMR140W
OG0000816	snap_masked-NW_003101572.1-processed-gene-6.65-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-6.65&CDS=1-279	YDL157C
OG0000817	genemark-NW_003101572.1-processed-gene-6.190-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.190&CDS=1-1506	YMR115W
OG0000818	genemark-NW_003101572.1-processed-gene-6.191-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.191&CDS=1-1719	YFR051C
OG0000819	snap_masked-NW_003101572.1-processed-gene-6.67-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-6.67&CDS=1-1077	YGL248W
OG0000820	genemark-NW_003101572.1-processed-gene-6.221-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.221&CDS=1-807	YFR050C
OG0000821	genemark-NW_003101572.1-processed-gene-6.192-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.192&CDS=1-936	YOR164C
OG0000822	genemark-NW_003101572.1-processed-gene-6.223-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.223&CDS=1-558	YOR163W
OG0000823	augustus_masked-NW_003101572.1-processed-gene-6.118-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-6.118&CDS=1-651	YLR250W
OG0000824	genemark-NW_003101572.1-processed-gene-6.224-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.224&CDS=1-297	YDR031W
OG0000825	genemark-NW_003101572.1-processed-gene-6.194-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.194&CDS=1-522	YMR035W
OG0000826	genemark-NW_003101572.1-processed-gene-6.226-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.226&CDS=1-642	YGR057C
OG0000827	genemark-NW_003101572.1-processed-gene-6.229-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.229&CDS=1-2232	YBR198C
