	Saccharomyces_cerevisiae	yHMPu5000035018_Candida_canberraensis
OG0000239	YDR458C, YML034W	maker-NODE_2_length_957285_cov_16.5771_ID_3-snap-gene-5.0-mRNA-1_1&gene=maker-NODE_2_length_957285_cov_16.5771_ID_3-snap-gene-5.0&CDS=1-2304
OG0000240	YDR463W, YHR006W	snap_masked-NODE_28_length_115578_cov_13.6458_ID_55-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_28_length_115578_cov_13.6458_ID_55-processed-gene-0.55&CDS=1-1881
OG0000241	YDR471W, YHR010W	genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.261-mRNA-1_1&gene=genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.261&CDS=1-3558
OG0000242	YDR475C, YOR019W	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-3.53-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-3.53&CDS=1-2061
OG0000243	YDR497C, YOL103W	snap_masked-NODE_28_length_115578_cov_13.6458_ID_55-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_28_length_115578_cov_13.6458_ID_55-processed-gene-0.72&CDS=1-1611
OG0000244	YDR500C, YLR185W	snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.18&CDS=1-264
OG0000245	YDR501W, YLR183C	snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.33&CDS=1-1635
OG0000246	YDR505C, YLR177W	snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.31&CDS=1-2250
OG0000247	YDR536W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-5.37-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-5.37&CDS=1-1650, snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.56-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.56&CDS=1-1671
OG0000248	YDR541C, YOL151W	snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.136-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.136&CDS=1-1014
OG0000249	YEL006W, YIL006W	maker-NODE_10_length_566260_cov_17.1707_ID_19-snap-gene-0.35-mRNA-1_1&gene=maker-NODE_10_length_566260_cov_17.1707_ID_19-snap-gene-0.35&CDS=1-3201
OG0000250	YEL022W, YJR031C	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.49&CDS=1-4524
OG0000251	YEL034W, YJR047C	snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-1.37-mRNA-1_1&gene=snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-1.37&CDS=1-465
OG0000252	YEL039C, YJR048W	maker-NODE_1_length_1418990_cov_15.6188_ID_1-augustus-gene-1.58-mRNA-1_1&gene=maker-NODE_1_length_1418990_cov_15.6188_ID_1-augustus-gene-1.58&CDS=1-2055
OG0000253	YEL041W, YJR049C	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-1.91-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-1.91&CDS=1-1668
OG0000254	YEL046C	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-7.6-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-7.6&CDS=1-1092, snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-4.57-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-4.57&CDS=1-1119
OG0000255	YEL047C, YJR051W	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.131-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.131&CDS=1-1425
OG0000256	YER019C-A, YER087C-B	genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-3.42-mRNA-1_1&gene=genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-3.42&CDS=1-288
OG0000257	YER031C, YGL210W	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-1.9-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-1.9&CDS=1-660
OG0000258	YER037W, YGL224C	snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-1.60-mRNA-1_1&gene=snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-1.60&CDS=1-843
OG0000259	YER045C, YIL036W	maker-NODE_9_length_607260_cov_13.454_ID_17-snap-gene-1.37-mRNA-1_1&gene=maker-NODE_9_length_607260_cov_13.454_ID_17-snap-gene-1.37&CDS=1-906
OG0000260	YER056C-A, YIL052C	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-4.73-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-4.73&CDS=1-369
OG0000261	YER057C, YIL051C	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-4.57-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-4.57&CDS=1-462
OG0000262	YER059W, YIL050W	genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-4.6-mRNA-1_1&gene=genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-4.6&CDS=1-1824
OG0000263	YER064C, YIL056W	snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-1.71&CDS=1-1800
OG0000264	YER066W, YFL009W	genemark-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-2.140-mRNA-1_1&gene=genemark-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-2.140&CDS=1-2256
OG0000265	YER067W, YIL057C	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-0.29&CDS=1-603
OG0000266	YER131W, YGL189C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-6.87-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-6.87&CDS=1-357
OG0000267	YER132C, YGL197W	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-4.41-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-4.41&CDS=1-4662
OG0000268	YFL004W, YPL019C	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-4.104-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-4.104&CDS=1-2382
OG0000269	YFL034C-A, YLR061W	genemark-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.19-mRNA-1_1&gene=genemark-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.19&CDS=1-360
OG0000270	YFL048C, YLR080W	snap_masked-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-0.27&CDS=1-1452
OG0000271	YFL059W, YNL333W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.59-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.59&CDS=1-879
OG0000272	YFL061W, YNL335W	snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.46&CDS=1-675
OG0000273	YFR013W, YOL017W	maker-NODE_1_length_1418990_cov_15.6188_ID_1-snap-gene-4.90-mRNA-1_1&gene=maker-NODE_1_length_1418990_cov_15.6188_ID_1-snap-gene-4.90&CDS=1-2517
OG0000274	YFR022W, YOR018W	augustus_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-3.80&CDS=1-3507
OG0000275	YFR031C-A, YIL018W	augustus_masked-NODE_85_length_575_cov_24.3612_ID_169-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_85_length_575_cov_24.3612_ID_169-processed-gene-0.1&CDS=1-573
OG0000276	YFR040W, YGL229C	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-6.89-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-6.89&CDS=1-2721
OG0000277	YGL031C, YGR148C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.81-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.81&CDS=1-468
OG0000278	YGL049C, YGR162W	snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.63-mRNA-1_1&gene=snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.63&CDS=1-2940
OG0000279	YGL071W, YPL202C	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-4.48-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-4.48&CDS=1-1815
OG0000280	YGL076C, YPL198W	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-4.64-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-4.64&CDS=1-723
OG0000281	YGL082W, YPL191C	genemark-NODE_26_length_182433_cov_12.5761_ID_51-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_26_length_182433_cov_12.5761_ID_51-processed-gene-0.35&CDS=1-1203
OG0000282	YGL096W, YPL177C	snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-1.34-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-1.34&CDS=1-816
OG0000283	YGL133W, YPL216W	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-1.27&CDS=1-3762
OG0000284	YGL135W, YPL220W	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-6.29-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-6.29&CDS=1-651
OG0000285	YGL139W, YPL221W	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-2.2-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-2.2&CDS=1-2445
OG0000286	YGL147C, YNL067W	snap_masked-NODE_19_length_335725_cov_15.726_ID_37-processed-gene-1.48-mRNA-1_1&gene=snap_masked-NODE_19_length_335725_cov_15.726_ID_37-processed-gene-1.48&CDS=1-573
OG0000287	YGL162W, YPR009W	genemark-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-4.1-mRNA-1_1&gene=genemark-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-4.1&CDS=1-744
OG0000288	YGL186C	snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-2.42&CDS=1-1662, snap_masked-NODE_26_length_182433_cov_12.5761_ID_51-processed-gene-0.197-mRNA-1_1&gene=snap_masked-NODE_26_length_182433_cov_12.5761_ID_51-processed-gene-0.197&CDS=1-1581
OG0000289	YGL205W	augustus_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-3.66&CDS=1-2301, snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-3.36-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-3.36&CDS=1-2157
OG0000290	YGR008C, YLR327C	snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-3.127-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-3.127&CDS=1-264
OG0000291	YGR027C, YLR333C	genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-5.12-mRNA-1_1&gene=genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-5.12&CDS=1-831
OG0000292	YGR034W, YLR344W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.25-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.25&CDS=1-381
OG0000293	YGR038W, YLR350W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-5.24-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-5.24&CDS=1-642
OG0000294	YGR049W, YLR356W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-1.83&CDS=1-759
OG0000295	YGR056W, YLR357W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.51-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.51&CDS=1-2328
OG0000296	YGR070W, YLR371W	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-2.60-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-2.60&CDS=1-3837
OG0000297	YGR085C, YPR102C	genemark-NODE_18_length_338643_cov_13.2849_ID_35-processed-gene-1.111-mRNA-1_1&gene=genemark-NODE_18_length_338643_cov_13.2849_ID_35-processed-gene-1.111&CDS=1-498
OG0000298	YGR092W, YPR111W	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-7.70-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-7.70&CDS=1-1794
OG0000299	YGR108W, YPR119W	snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.43&CDS=1-1407
OG0000300	YGR118W, YPR132W	genemark-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-1.102-mRNA-1_1&gene=genemark-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-1.102&CDS=1-435
OG0000301	YGR121C, YPR138C	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-2.26-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-2.26&CDS=1-1503
OG0000302	YGR131W, YPR149W	genemark-NODE_19_length_335725_cov_15.726_ID_37-processed-gene-2.128-mRNA-1_1&gene=genemark-NODE_19_length_335725_cov_15.726_ID_37-processed-gene-2.128&CDS=1-510
OG0000303	YGR138C, YPR156C	snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-4.72-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-4.72&CDS=1-1680
OG0000304	YGR141W, YPR157W	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-4.104-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-4.104&CDS=1-1308
OG0000305	YGR189C	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-7.75-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-7.75&CDS=1-1350, snap_masked-NODE_22_length_273261_cov_24.3239_ID_43-processed-gene-1.223-mRNA-1_1&gene=snap_masked-NODE_22_length_273261_cov_24.3239_ID_43-processed-gene-1.223&CDS=1-1431
OG0000306	YGR209C, YLR043C	snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-5.206-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-5.206&CDS=1-309
OG0000307	YGR214W, YLR048W	genemark-NODE_19_length_335725_cov_15.726_ID_37-processed-gene-2.137-mRNA-1_1&gene=genemark-NODE_19_length_335725_cov_15.726_ID_37-processed-gene-2.137&CDS=1-780
OG0000308	YGR238C, YHR158C	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.58-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.58&CDS=1-3177
OG0000309	YGR241C, YHR161C	snap_masked-NODE_22_length_273261_cov_24.3239_ID_43-processed-gene-1.185-mRNA-1_1&gene=snap_masked-NODE_22_length_273261_cov_24.3239_ID_43-processed-gene-1.185&CDS=1-2082
OG0000310	YGR243W, YHR162W	snap_masked-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-0.10&CDS=1-417
OG0000311	YGR248W, YHR163W	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-8.78-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-8.78&CDS=1-777
OG0000312	YGR254W, YHR174W	augustus_masked-NODE_61_length_965_cov_21.4301_ID_121-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_61_length_965_cov_21.4301_ID_121-processed-gene-0.2&CDS=1-957
OG0000313	YGR279C, YMR305C	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-1.71&CDS=1-1089
OG0000314	YHL001W, YKL006W	maker-NODE_24_length_232095_cov_14.0762_ID_47-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_24_length_232095_cov_14.0762_ID_47-snap-gene-0.3&CDS=1-399
OG0000315	YHL003C, YKL008C	genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.218-mRNA-1_1&gene=genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.218&CDS=1-1224
OG0000316	YHL017W, YKL039W	snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.13&CDS=1-1689
OG0000317	YHR001W, YKR003W	snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-3.4-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-3.4&CDS=1-1308
OG0000318	YHR007C	snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.48&CDS=1-1506, snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-3.28-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-3.28&CDS=1-1581
OG0000319	YHR008C	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-2.105-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-2.105&CDS=1-612, snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.152-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.152&CDS=1-657
OG0000320	YHR021C, YKL156W	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-4.109-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-4.109&CDS=1-246
OG0000321	YHR047C, YKL157W	snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.169-mRNA-1_1&gene=snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.169&CDS=1-2589
OG0000322	YHR115C, YNL116W	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-0.17&CDS=1-1392
OG0000323	YHR123W, YNL130C	genemark-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.113-mRNA-1_1&gene=genemark-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.113&CDS=1-1182
OG0000324	YHR124W	genemark-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-3.20-mRNA-1_1&gene=genemark-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-3.20&CDS=1-1554, snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.102-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.102&CDS=1-1557
OG0000325	YHR131C, YNL144C	genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-5.30-mRNA-1_1&gene=genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-5.30&CDS=1-2262
OG0000326	YHR132W-A, YNL157W	maker-NODE_11_length_523697_cov_18.1994_ID_21-augustus-gene-1.86-mRNA-1_1&gene=maker-NODE_11_length_523697_cov_18.1994_ID_21-augustus-gene-1.86&CDS=1-966
OG0000327	YHR133C, YNL156C	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-1.118-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-1.118&CDS=1-981
OG0000328	YHR135C	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-0.28&CDS=1-1293, snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-4.16-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-4.16&CDS=1-1425
OG0000329	YHR140W	snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-0.3&CDS=1-699, snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-0.4&CDS=1-696
OG0000330	YHR155W, YNL257C	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-2.73-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-2.73&CDS=1-4239
OG0000331	YHR203C, YJR145C	snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.173-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.173&CDS=1-786
OG0000332	YHR209W	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-7.126-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-7.126&CDS=1-957, snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-4.47-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-4.47&CDS=1-876
OG0000333	YIL085C, YNL029C	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-0.29&CDS=1-1695
OG0000334	YIL095W, YNL020C	snap_masked-NODE_21_length_279017_cov_21.0683_ID_41-processed-gene-1.183-mRNA-1_1&gene=snap_masked-NODE_21_length_279017_cov_21.0683_ID_41-processed-gene-1.183&CDS=1-2334
OG0000335	YIL105C, YNL047C	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-0.81&CDS=1-2355
OG0000336	YIL109C, YNL049C	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.51-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.51&CDS=1-2751
OG0000337	YIL113W, YNL053W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.70-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.70&CDS=1-1470
OG0000338	YIL123W, YNL066W	snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-0.70&CDS=1-1347
OG0000339	YIL128W	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-4.54-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-4.54&CDS=1-390, snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-0.67&CDS=1-3195
OG0000340	YIL131C, YNL068C	augustus_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-0.59&CDS=1-2031
OG0000341	YIL135C, YNL074C	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-1.4-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-1.4&CDS=1-1245
OG0000342	YIL149C, YKR095W	snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-6.13-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-6.13&CDS=1-5685
OG0000343	YIL151C, YKR096W	snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-6.37-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-6.37&CDS=1-3687
OG0000344	YIL156W, YKR098C	augustus_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-5.108&CDS=1-3618
OG0000345	YIR031C, YNL117W	snap_masked-NODE_24_length_232095_cov_14.0762_ID_47-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_24_length_232095_cov_14.0762_ID_47-processed-gene-0.13&CDS=1-1653
OG0000346	YIR033W, YKL020C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-8.69-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-8.69&CDS=1-3522
OG0000347	YIR035C, YIR036C	genemark-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-3.160-mRNA-1_1&gene=genemark-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-3.160&CDS=1-5694
