	Saccharomyces_cerevisiae	yHMPu5000035650_Trigonopsis_variabilis
OG0000434	YPR106W	snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-15.130-mRNA-1_1&gene=snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-15.130&CDS=1-1002, snap_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-3.50-mRNA-1_1&gene=snap_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-3.50&CDS=1-1251
OG0000435	YPR169W-A, YPR170W-B	maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-7.5-mRNA-1_1&gene=maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-7.5&CDS=1-252
OG0000436	YPR186C	augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_14_length_137352_cov_57.6414_ID_4559-processed-gene-0.2&CDS=1-609, genemark-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-1.73-mRNA-1_1&gene=genemark-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-1.73&CDS=1-1140
OG0000437	Q0105, Q0120	maker-NODE_16_length_39788_cov_810.643_ID_5366-snap-gene-0.23-mRNA-1_1&gene=maker-NODE_16_length_39788_cov_810.643_ID_5366-snap-gene-0.23&CDS=1-741
OG0000438		augustus_masked-NODE_12_length_373926_cov_49.4772_ID_2910-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_12_length_373926_cov_49.4772_ID_2910-processed-gene-0.2&CDS=1-975, augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-2.87&CDS=1-909, snap_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-0.60&CDS=1-534
OG0000439	YAL001C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.224-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.224&CDS=1-3369
OG0000440	YAL002W	augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-2.119&CDS=1-4377
OG0000441	YAL003W	snap_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.117&CDS=1-693
OG0000442	YAL009W	augustus_masked-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-1.38&CDS=1-978
OG0000443	YAL010C	maker-NODE_11_length_507231_cov_47.8977_ID_2584-snap-gene-2.1-mRNA-1_1&gene=maker-NODE_11_length_507231_cov_47.8977_ID_2584-snap-gene-2.1&CDS=1-1197
OG0000444	YAL011W	snap_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-0.103-mRNA-1_1&gene=snap_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-0.103&CDS=1-2469
OG0000445	YAL012W	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-15.194-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-15.194&CDS=1-1161
OG0000446	YAL013W	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-15.197-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-15.197&CDS=1-1602
OG0000447	YAL016W	maker-NODE_1_length_1864488_cov_47.4331_ID_2849-augustus-gene-6.110-mRNA-1_1&gene=maker-NODE_1_length_1864488_cov_47.4331_ID_2849-augustus-gene-6.110&CDS=1-1944
OG0000448	YAL019W	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-4.96&CDS=1-2997
OG0000449	YAL020C	snap_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-9.59-mRNA-1_1&gene=snap_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-9.59&CDS=1-1101
OG0000450	YAL021C	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-12.58-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-12.58&CDS=1-1782
OG0000451	YAL022C	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-9.29-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-9.29&CDS=1-1485
OG0000452	YAL023C	augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.107&CDS=1-2199
OG0000453	YAL024C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-7.147-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-7.147&CDS=1-2970
OG0000454	YAL025C	augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-3.60&CDS=1-807
OG0000455	YAL026C	genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-14.78-mRNA-1_1&gene=genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-14.78&CDS=1-4026
OG0000456	YAL032C	genemark-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-0.99&CDS=1-1023
OG0000457	YAL033W	genemark-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-3.81-mRNA-1_1&gene=genemark-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-3.81&CDS=1-360
OG0000458	YAL034W-A	augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-3.80&CDS=1-642
OG0000459	YAL035W	genemark-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-1.77-mRNA-1_1&gene=genemark-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-1.77&CDS=1-3072
OG0000460	YAL038W	augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-1.70&CDS=1-1551
OG0000461	YAL039C	maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-1.64-mRNA-1_1&gene=maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-1.64&CDS=1-786
OG0000462	YAL041W	maker-NODE_12_length_373926_cov_49.4772_ID_2910-augustus-gene-2.102-mRNA-1_1&gene=maker-NODE_12_length_373926_cov_49.4772_ID_2910-augustus-gene-2.102&CDS=1-2178
OG0000463	YAL042W	augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-4.84&CDS=1-1146
OG0000464	YAL043C	snap_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-1.111-mRNA-1_1&gene=snap_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-1.111&CDS=1-2208
OG0000465	YAL044C	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-7.96&CDS=1-546
OG0000466	YAL044W-A	genemark-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.170-mRNA-1_1&gene=genemark-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.170&CDS=1-357
OG0000467	YAL046C	maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-5.106-mRNA-1_1&gene=maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-5.106&CDS=1-285
OG0000468	YAL048C	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-5.35&CDS=1-1902
OG0000469	YAL049C	augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-3.87&CDS=1-720
OG0000470	YAL058W	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-9.137-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-9.137&CDS=1-1590
OG0000471	YAL062W	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-6.138-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-6.138&CDS=1-1368
OG0000472	YAR002W	augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.111&CDS=1-1479
OG0000473	YAR003W	maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-5.107-mRNA-1_1&gene=maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-5.107&CDS=1-1260
OG0000474	YAR007C	augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.119&CDS=1-1911
OG0000475	YAR008W	augustus_masked-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-1.86&CDS=1-882
OG0000476	YAR014C	snap_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-3.158-mRNA-1_1&gene=snap_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-3.158&CDS=1-2352
OG0000477	YAR015W	maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-12.123-mRNA-1_1&gene=maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-12.123&CDS=1-921
OG0000478	YAR018C	genemark-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-10.112-mRNA-1_1&gene=genemark-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-10.112&CDS=1-1497
OG0000479	YAR035W	snap_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.12-mRNA-1_1&gene=snap_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.12&CDS=1-2220
OG0000480	YBL001C	maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-3.72-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-3.72&CDS=1-333
OG0000481	YBL004W	maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-3.148-mRNA-1_1&gene=maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-3.148&CDS=1-7947
OG0000482	YBL007C	maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-4.73-mRNA-1_1&gene=maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-4.73&CDS=1-3231
OG0000483	YBL008W	snap_masked-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-5.182-mRNA-1_1&gene=snap_masked-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-5.182&CDS=1-2751
OG0000484	YBL011W	snap_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-3.21-mRNA-1_1&gene=snap_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-3.21&CDS=1-2130
OG0000485	YBL013W	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-16.24-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-16.24&CDS=1-1080
OG0000486	YBL015W	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-15.149-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-15.149&CDS=1-1560
OG0000487	YBL016W	maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-5.64-mRNA-1_1&gene=maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-5.64&CDS=1-1173
OG0000488	YBL019W	snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-11.42-mRNA-1_1&gene=snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-11.42&CDS=1-1497
OG0000489	YBL020W	snap_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-3.15-mRNA-1_1&gene=snap_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-3.15&CDS=1-1710
OG0000490	YBL021C	maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-8.11-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-8.11&CDS=1-360
OG0000491	YBL022C	augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.37&CDS=1-3243
OG0000492	YBL023C	maker-NODE_12_length_373926_cov_49.4772_ID_2910-augustus-gene-1.14-mRNA-1_1&gene=maker-NODE_12_length_373926_cov_49.4772_ID_2910-augustus-gene-1.14&CDS=1-2457
OG0000493	YBL024W	augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.25&CDS=1-2076
OG0000494	YBL026W	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-9.53-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-9.53&CDS=1-321
OG0000495	YBL029W	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-0.96&CDS=1-1071
OG0000496	YBL033C	genemark-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-3.50-mRNA-1_1&gene=genemark-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-3.50&CDS=1-1101
OG0000497	YBL034C	snap_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.18-mRNA-1_1&gene=snap_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.18&CDS=1-4452
OG0000498	YBL035C	maker-NODE_12_length_373926_cov_49.4772_ID_2910-snap-gene-2.299-mRNA-1_1&gene=maker-NODE_12_length_373926_cov_49.4772_ID_2910-snap-gene-2.299&CDS=1-1437
OG0000499	YBL036C	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-3.98&CDS=1-729
OG0000500	YBL038W	augustus_masked-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-4.237-mRNA-1_1&gene=augustus_masked-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-4.237&CDS=1-651
OG0000501	YBL039C	augustus_masked-NODE_13_length_165356_cov_55.7185_ID_2324-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-NODE_13_length_165356_cov_55.7185_ID_2324-processed-gene-0.219&CDS=1-1767
OG0000502	YBL040C	maker-NODE_1_length_1864488_cov_47.4331_ID_2849-augustus-gene-11.7-mRNA-1_1&gene=maker-NODE_1_length_1864488_cov_47.4331_ID_2849-augustus-gene-11.7&CDS=1-636
OG0000503	YBL041W	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-15.187-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-15.187&CDS=1-705
OG0000504	YBL043W	snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-17.42-mRNA-1_1&gene=snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-17.42&CDS=1-657
OG0000505	YBL047C	genemark-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-2.172-mRNA-1_1&gene=genemark-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-2.172&CDS=1-3708
OG0000506	YBL049W	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-2.73&CDS=1-363
OG0000507	YBL050W	snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-7.62-mRNA-1_1&gene=snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-7.62&CDS=1-909
OG0000508	YBL051C	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-8.14-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-8.14&CDS=1-1497
OG0000509	YBL054W	maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-9.119-mRNA-1_1&gene=maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-9.119&CDS=1-657
OG0000510	YBL055C	maker-NODE_1_length_1864488_cov_47.4331_ID_2849-snap-gene-3.1-mRNA-1_1&gene=maker-NODE_1_length_1864488_cov_47.4331_ID_2849-snap-gene-3.1&CDS=1-960
OG0000511	YBL057C	genemark-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-3.148-mRNA-1_1&gene=genemark-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-3.148&CDS=1-594
OG0000512	YBL058W	snap_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.142-mRNA-1_1&gene=snap_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.142&CDS=1-927
OG0000513	YBL060W	snap_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-4.39-mRNA-1_1&gene=snap_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-4.39&CDS=1-1533
OG0000514	YBL063W	maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-7.10-mRNA-1_1&gene=maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-7.10&CDS=1-3027
OG0000515	YBL071W-A	snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-3.137-mRNA-1_1&gene=snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-3.137&CDS=1-213
OG0000516	YBL076C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-7.144-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-7.144&CDS=1-3210
OG0000517	YBL078C	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-12.9-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-12.9&CDS=1-351
OG0000518	YBL080C	augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-1.92&CDS=1-1575
OG0000519	YBL082C	genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-10.131-mRNA-1_1&gene=genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-10.131&CDS=1-1392
OG0000520	YBL084C	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-9.14-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-9.14&CDS=1-1878
OG0000521	YBL086C	snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-10.107-mRNA-1_1&gene=snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-10.107&CDS=1-1806
OG0000522	YBL088C	maker-NODE_7_length_632808_cov_48.2593_ID_2746-augustus-gene-3.103-mRNA-1_1&gene=maker-NODE_7_length_632808_cov_48.2593_ID_2746-augustus-gene-3.103&CDS=1-8856
OG0000523	YBL090W	augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-1.125&CDS=1-666
OG0000524	YBL091C	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-10.59-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-10.59&CDS=1-1275
OG0000525	YBL092W	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-2.68&CDS=1-387
OG0000526	YBL093C	genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-2.133-mRNA-1_1&gene=genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-2.133&CDS=1-537
OG0000527	YBL097W	maker-NODE_6_length_632832_cov_45.1034_ID_1682-augustus-gene-3.176-mRNA-1_1&gene=maker-NODE_6_length_632832_cov_45.1034_ID_1682-augustus-gene-3.176&CDS=1-1929
OG0000528	YBL098W	augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-1.164&CDS=1-1377
OG0000529	YBL099W	genemark-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-4.154-mRNA-1_1&gene=genemark-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-4.154&CDS=1-1614
OG0000530	YBL102W	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-12.13-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-12.13&CDS=1-627
OG0000531	YBL105C	maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-6.146-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-6.146&CDS=1-2415
OG0000532	YBR002C	maker-NODE_6_length_632832_cov_45.1034_ID_1682-augustus-gene-5.222-mRNA-1_1&gene=maker-NODE_6_length_632832_cov_45.1034_ID_1682-augustus-gene-5.222&CDS=1-804
OG0000533	YBR003W	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-5.114&CDS=1-1311
OG0000534	YBR004C	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-8.72-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-8.72&CDS=1-1146
OG0000535	YBR006W	maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-6.33-mRNA-1_1&gene=maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-6.33&CDS=1-1455
OG0000536	YBR007C	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-1.3&CDS=1-1683
OG0000537	YBR011C	maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-8.6-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-8.6&CDS=1-894
OG0000538	YBR017C	genemark-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-3.53-mRNA-1_1&gene=genemark-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-3.53&CDS=1-2736
OG0000539	YBR018C	augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-0.126&CDS=1-1071
OG0000540	YBR019C	augustus_masked-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-1.68&CDS=1-1095
OG0000541	YBR022W	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.243-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.243&CDS=1-492
OG0000542	YBR023C	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-8.139-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-8.139&CDS=1-3366
OG0000543	YBR025C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.245-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.245&CDS=1-1188
OG0000544	YBR026C	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-2.71&CDS=1-1125
OG0000545	YBR029C	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-0.52&CDS=1-780
OG0000546	YBR030W	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-6.95&CDS=1-2439
OG0000547	YBR034C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-8.64&CDS=1-1002
OG0000548	YBR035C	augustus_masked-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-0.127&CDS=1-699
OG0000549	YBR037C	snap_masked-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-5.215-mRNA-1_1&gene=snap_masked-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-5.215&CDS=1-912
OG0000550	YBR039W	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-1.84&CDS=1-879
