	Candida_arabinofermentans	Saccharomyces_cerevisiae
OG0000554	maker-scaffold_1-augustus-gene-1.96-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.96&CDS=1-2316	YER125W
OG0000555	augustus_masked-scaffold_1-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.66&CDS=1-1680	YER124C
OG0000556	augustus_masked-scaffold_1-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.59&CDS=1-1152	YPR023C
OG0000557	augustus_masked-scaffold_1-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.61&CDS=1-1161	YGL184C
OG0000558	augustus_masked-scaffold_1-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.58&CDS=1-2097	YOR320C
OG0000559	augustus_masked-scaffold_1-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.62&CDS=1-1128	YGL185C
OG0000560	augustus_masked-scaffold_1-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.63&CDS=1-471	YGL187C
OG0000561	augustus_masked-scaffold_1-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.65&CDS=1-1488	YGL190C
OG0000562	maker-scaffold_1-snap-gene-2.51-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.51&CDS=1-2088	YGL192W
OG0000563	augustus_masked-scaffold_1-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.86&CDS=1-2346	YGL009C
OG0000564	maker-scaffold_1-augustus-gene-2.55-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.55&CDS=1-2757	YBL098W
OG0000565	augustus_masked-scaffold_1-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.88&CDS=1-3837	YIL030C
OG0000566	augustus_masked-scaffold_1-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.68&CDS=1-1794	YBR296C
OG0000567	augustus_masked-scaffold_1-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.69&CDS=1-1038	YJR105W
OG0000568	augustus_masked-scaffold_1-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.71&CDS=1-864	YJR050W
OG0000569	augustus_masked-scaffold_1-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.90&CDS=1-2991	YDR160W
OG0000570	augustus_masked-scaffold_1-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.72&CDS=1-906	YPL094C
OG0000571	augustus_masked-scaffold_1-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.73&CDS=1-1824	YEL042W
OG0000572	augustus_masked-scaffold_1-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.75&CDS=1-3762	YMR304W
OG0000573	augustus_masked-scaffold_1-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.93&CDS=1-906	YGR277C
OG0000574	genemark-scaffold_1-processed-gene-2.120-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.120&CDS=1-2448	YGR278W
OG0000575	augustus_masked-scaffold_1-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.96&CDS=1-1569	YDR470C
OG0000576	augustus_masked-scaffold_1-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.98&CDS=1-1821	YHL008C
OG0000577	augustus_masked-scaffold_1-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.81&CDS=1-468	YHR175W
OG0000578	augustus_masked-scaffold_1-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.99&CDS=1-2811	YBR229C
OG0000579	augustus_masked-scaffold_1-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.82&CDS=1-1410	YLR212C
OG0000580	augustus_masked-scaffold_1-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.83&CDS=1-1215	YDR262W
OG0000581	augustus_masked-scaffold_1-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.54&CDS=1-4413	YOR116C
OG0000582	augustus_masked-scaffold_1-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.55&CDS=1-906	YDR361C
OG0000583	augustus_masked-scaffold_1-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.52&CDS=1-1524	YDR364C
OG0000584	augustus_masked-scaffold_1-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.56&CDS=1-1278	YOR117W
OG0000585	genemark-scaffold_1-processed-gene-3.2-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.2&CDS=1-4869	YDR359C
OG0000586	augustus_masked-scaffold_1-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.83&CDS=1-1032	YNR003C
OG0000587	augustus_masked-scaffold_1-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.60&CDS=1-1041	YJL088W
OG0000588	maker-scaffold_1-snap-gene-3.95-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.95&CDS=1-2646	YER072W
OG0000589	snap_masked-scaffold_1-processed-gene-3.133-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.133&CDS=1-402	YER071C
OG0000590	augustus_masked-scaffold_1-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.64&CDS=1-1086	YDR354W
OG0000591	augustus_masked-scaffold_1-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.87&CDS=1-621	YDR357C
OG0000592	augustus_masked-scaffold_1-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.66&CDS=1-1575	YJL153C
OG0000593	augustus_masked-scaffold_1-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.88&CDS=1-258	YKR095W-A
OG0000594	genemark-scaffold_1-processed-gene-3.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.16&CDS=1-1080	YML131W
OG0000595	augustus_masked-scaffold_1-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.69&CDS=1-1521	YDR256C
OG0000596	augustus_masked-scaffold_1-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.70&CDS=1-3237	YBR186W
OG0000597	genemark-scaffold_1-processed-gene-3.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.21&CDS=1-1059	YBR187W
OG0000598	augustus_masked-scaffold_1-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.72&CDS=1-669	YFL046W
OG0000599	augustus_masked-scaffold_1-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.90&CDS=1-753	YFL045C
OG0000600	genemark-scaffold_1-processed-gene-3.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.24&CDS=1-5151	YFL033C
OG0000601	augustus_masked-scaffold_1-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.91&CDS=1-1389	YGL065C
OG0000602	augustus_masked-scaffold_1-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.75&CDS=1-1248	YCR095C
OG0000603	augustus_masked-scaffold_1-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.76&CDS=1-1341	YNR050C
OG0000604	augustus_masked-scaffold_1-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.79&CDS=1-3954	YDR158W
OG0000605	maker-scaffold_1-snap-gene-3.97-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.97&CDS=1-2760	YBR102C
OG0000606	augustus_masked-scaffold_1-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.81&CDS=1-1521	YOR250C
OG0000607	augustus_masked-scaffold_1-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.94&CDS=1-1929	YML032C
OG0000608	augustus_masked-scaffold_1-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.83&CDS=1-1917	YML031W
OG0000609	augustus_masked-scaffold_1-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.86&CDS=1-1962	YDR456W
OG0000610	augustus_masked-scaffold_1-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.84&CDS=1-567	YDR454C
OG0000611	augustus_masked-scaffold_1-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.102&CDS=1-3549	YDR421W
OG0000612	augustus_masked-scaffold_1-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.103&CDS=1-441	YBR082C
OG0000613	snap_masked-scaffold_1-processed-gene-4.51-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.51&CDS=1-447	YDR092W
OG0000614	augustus_masked-scaffold_1-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.105&CDS=1-1611	YEL013W
OG0000615	genemark-scaffold_1-processed-gene-4.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.15&CDS=1-3033	YCR092C
OG0000616	augustus_masked-scaffold_1-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.108&CDS=1-378	YNR046W
OG0000617	augustus_masked-scaffold_1-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.95&CDS=1-504	YCR090C
OG0000618	augustus_masked-scaffold_1-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.96&CDS=1-2286	YML088W
OG0000619	augustus_masked-scaffold_1-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.112&CDS=1-531	YDL046W
OG0000620	augustus_masked-scaffold_1-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.115&CDS=1-2043	YEL062W
OG0000621	maker-scaffold_1-augustus-gene-4.2-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.2&CDS=1-933	YGR086C
OG0000622	maker-scaffold_1-augustus-gene-4.1-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.1&CDS=1-630	YLR251W
OG0000623	augustus_masked-scaffold_1-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.101&CDS=1-1974	YOR014W
OG0000624	augustus_masked-scaffold_1-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.118&CDS=1-1527	YGR083C
OG0000625	augustus_masked-scaffold_1-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.102&CDS=1-1296	YBR143C
OG0000626	augustus_masked-scaffold_1-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.107&CDS=1-2343	YBR142W
OG0000627	augustus_masked-scaffold_1-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.103&CDS=1-1041	YBR141C
OG0000628	augustus_masked-scaffold_1-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.108&CDS=1-852	YLR412W
OG0000629	augustus_masked-scaffold_1-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.106&CDS=1-1419	YGR166W
OG0000630	maker-scaffold_1-augustus-gene-5.53-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.53&CDS=1-3756	YNL272C
OG0000631	augustus_masked-scaffold_1-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.110&CDS=1-2040	YCL057W
OG0000632	maker-scaffold_1-snap-gene-5.45-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.45&CDS=1-2202	YAL022C
OG0000633	genemark-scaffold_1-processed-gene-5.69-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.69&CDS=1-1182	YPL060W
OG0000634	augustus_masked-scaffold_1-processed-gene-5.141-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.141&CDS=1-1311	YGR254W
OG0000635	maker-scaffold_1-snap-gene-5.46-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.46&CDS=1-3267	YNL237W
OG0000636	augustus_masked-scaffold_1-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.120&CDS=1-2187	YBL084C
OG0000637	augustus_masked-scaffold_1-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.121&CDS=1-1299	YBL091C
OG0000638	augustus_masked-scaffold_1-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.143&CDS=1-1074	YDR498C
OG0000639	augustus_masked-scaffold_1-processed-gene-5.122-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.122&CDS=1-1203	YPR108W
OG0000640	augustus_masked-scaffold_1-processed-gene-5.145-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.145&CDS=1-1482	YBR195C
OG0000641	augustus_masked-scaffold_1-processed-gene-5.124-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.124&CDS=1-1629	YJR003C
OG0000642	maker-scaffold_1-augustus-gene-5.52-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.52&CDS=1-600	YKL001C
OG0000643	augustus_masked-scaffold_1-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.146&CDS=1-828	YML014W
OG0000644	augustus_masked-scaffold_1-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.127&CDS=1-1590	YDR434W
OG0000645	augustus_masked-scaffold_1-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.129&CDS=1-489	YBR120C
OG0000646	augustus_masked-scaffold_1-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.53&CDS=1-609	YGL200C
OG0000647	augustus_masked-scaffold_1-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.54&CDS=1-426	YFR011C
OG0000648	augustus_masked-scaffold_1-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.58&CDS=1-1452	YFR010W
OG0000649	augustus_masked-scaffold_1-processed-gene-6.56-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.56&CDS=1-909	YJR007W
OG0000650	augustus_masked-scaffold_1-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.60&CDS=1-3396	YDR291W
OG0000651	augustus_masked-scaffold_1-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.61&CDS=1-558	YJL024C
OG0000652	augustus_masked-scaffold_1-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.77&CDS=1-438	YGR174C
OG0000653	genemark-scaffold_1-processed-gene-6.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.28&CDS=1-1998	YGL203C
OG0000654	maker-scaffold_1-snap-gene-6.98-mRNA-1_1&gene=maker-scaffold_1-snap-gene-6.98&CDS=1-3582	YKL104C
OG0000655	augustus_masked-scaffold_1-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.63&CDS=1-1575	YMR211W
OG0000656	augustus_masked-scaffold_1-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.84&CDS=1-639	YDR538W
OG0000657	augustus_masked-scaffold_1-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.64&CDS=1-1503	YDR539W
OG0000658	augustus_masked-scaffold_1-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.67&CDS=1-954	YGR053C
OG0000659	augustus_masked-scaffold_1-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.88&CDS=1-1350	YOR294W
OG0000660	augustus_masked-scaffold_1-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.68&CDS=1-2091	YDR234W
OG0000661	augustus_masked-scaffold_1-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.90&CDS=1-453	YDL208W
OG0000662	maker-scaffold_1-snap-gene-6.95-mRNA-1_1&gene=maker-scaffold_1-snap-gene-6.95&CDS=1-6234	YDR238C
OG0000663	augustus_masked-scaffold_1-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.91&CDS=1-558	YDR236C
OG0000664	augustus_masked-scaffold_1-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.73&CDS=1-426	YIL098C
OG0000665	genemark-scaffold_1-processed-gene-6.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.45&CDS=1-1617	YNL138W
OG0000666	genemark-scaffold_1-processed-gene-6.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.22&CDS=1-2238	YNL059C
OG0000667	augustus_masked-scaffold_1-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.116&CDS=1-1866	YNL061W
OG0000668	augustus_masked-scaffold_1-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.113&CDS=1-1437	YNL062C
OG0000669	augustus_masked-scaffold_1-processed-gene-7.117-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.117&CDS=1-2136	YNL137C
OG0000670	augustus_masked-scaffold_1-processed-gene-7.118-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.118&CDS=1-288	YMR286W
OG0000671	maker-scaffold_1-snap-gene-7.107-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.107&CDS=1-774	YFR007W
OG0000672	genemark-scaffold_1-processed-gene-7.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.33&CDS=1-1794	YJL069C
OG0000673	snap_masked-scaffold_1-processed-gene-7.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.64&CDS=1-264	YJL062W-A
OG0000674	augustus_masked-scaffold_1-processed-gene-7.120-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.120&CDS=1-468	YJR055W
OG0000675	augustus_masked-scaffold_1-processed-gene-7.122-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.122&CDS=1-1272	YHR190W
OG0000676	augustus_masked-scaffold_1-processed-gene-7.143-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.143&CDS=1-3222	YOR349W
OG0000677	genemark-scaffold_1-processed-gene-7.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.16&CDS=1-1218	YJL171C
OG0000678	genemark-scaffold_1-processed-gene-7.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.17&CDS=1-1101	YDL226C
OG0000679	genemark-scaffold_1-processed-gene-7.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.19&CDS=1-1245	YOR166C
OG0000680	augustus_masked-scaffold_1-processed-gene-7.127-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.127&CDS=1-1263	YDR072C
OG0000681	augustus_masked-scaffold_1-processed-gene-7.145-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.145&CDS=1-672	YDR071C
OG0000682	augustus_masked-scaffold_1-processed-gene-7.128-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.128&CDS=1-261	YER146W
OG0000683	augustus_masked-scaffold_1-processed-gene-7.146-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.146&CDS=1-1044	YER142C
OG0000684	snap_masked-scaffold_1-processed-gene-7.74-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.74&CDS=1-1296	YER143W
OG0000685	augustus_masked-scaffold_1-processed-gene-7.147-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.147&CDS=1-636	YDR067C
OG0000686	augustus_masked-scaffold_1-processed-gene-7.148-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.148&CDS=1-1581	YDR061W
OG0000687	augustus_masked-scaffold_1-processed-gene-7.132-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.132&CDS=1-1698	YDR062W
OG0000688	augustus_masked-scaffold_1-processed-gene-7.149-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.149&CDS=1-1626	YDR330W
OG0000689	augustus_masked-scaffold_1-processed-gene-7.133-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.133&CDS=1-450	YLR170C
OG0000690	augustus_masked-scaffold_1-processed-gene-7.134-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.134&CDS=1-699	YPL078C
OG0000691	augustus_masked-scaffold_1-processed-gene-7.135-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.135&CDS=1-684	YBR193C
OG0000692	augustus_masked-scaffold_1-processed-gene-7.152-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.152&CDS=1-1149	YBR192W
OG0000693	augustus_masked-scaffold_1-processed-gene-7.156-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.156&CDS=1-5373	YDR299W
OG0000694	augustus_masked-scaffold_1-processed-gene-7.157-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.157&CDS=1-1314	YKL143W
OG0000695	augustus_masked-scaffold_1-processed-gene-7.136-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.136&CDS=1-1347	YDR300C
OG0000696	augustus_masked-scaffold_1-processed-gene-7.159-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.159&CDS=1-2070	YER140W
OG0000697	maker-scaffold_1-augustus-gene-8.83-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.83&CDS=1-2562	YNL006W
OG0000698	augustus_masked-scaffold_1-processed-gene-8.2-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.2&CDS=1-978	YNL007C
OG0000699	maker-scaffold_1-augustus-gene-8.84-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.84&CDS=1-798	YCR009C
OG0000700	augustus_masked-scaffold_1-processed-gene-8.4-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.4&CDS=1-1440	YLR175W
OG0000701	genemark-scaffold_1-processed-gene-8.112-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.112&CDS=1-189	YCL005W-A
OG0000702	augustus_masked-scaffold_1-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.5&CDS=1-1311	YCL008C
OG0000703	augustus_masked-scaffold_1-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.6&CDS=1-2025	YCR008W
OG0000704	augustus_masked-scaffold_1-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.22&CDS=1-3051	YLL031C
OG0000705	augustus_masked-scaffold_1-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.23&CDS=1-2673	YHL023C
OG0000706	augustus_masked-scaffold_1-processed-gene-8.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.24&CDS=1-2973	YLL032C
OG0000707	augustus_masked-scaffold_1-processed-gene-8.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.10&CDS=1-1746	YLR133W
OG0000708	augustus_masked-scaffold_1-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.25&CDS=1-762	YGR271C-A
OG0000709	augustus_masked-scaffold_1-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.26&CDS=1-1710	YCR054C
OG0000710	augustus_masked-scaffold_1-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.27&CDS=1-2787	YCR057C
OG0000711	augustus_masked-scaffold_1-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.28&CDS=1-1026	YCR059C
OG0000712	augustus_masked-scaffold_1-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.12&CDS=1-1203	YCR060W
OG0000713	augustus_masked-scaffold_1-processed-gene-8.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.13&CDS=1-567	YPL010W
OG0000714	augustus_masked-scaffold_1-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.30&CDS=1-2997	YPL009C
OG0000715	genemark-scaffold_1-processed-gene-8.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.103&CDS=1-3633	YFL003C
OG0000716	augustus_masked-scaffold_1-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.31&CDS=1-2241	YPL020C
OG0000717	augustus_masked-scaffold_1-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.17&CDS=1-1203	YGR185C
OG0000718	augustus_masked-scaffold_1-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.18&CDS=1-3249	YKL015W
OG0000719	augustus_masked-scaffold_1-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.19&CDS=1-1107	YJR107W
OG0000720	augustus_masked-scaffold_1-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.35&CDS=1-4323	YER164W
OG0000721	augustus_masked-scaffold_1-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.36&CDS=1-2361	YOR165W
OG0000722	maker-scaffold_1-augustus-gene-9.99-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-9.99&CDS=1-1824	YOR164C
OG0000723	augustus_masked-scaffold_1-processed-gene-9.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.110&CDS=1-702	YOR163W
OG0000724	maker-scaffold_1-snap-gene-9.1-mRNA-1_1&gene=maker-scaffold_1-snap-gene-9.1&CDS=1-2157	YLR290C
OG0000725	augustus_masked-scaffold_1-processed-gene-9.112-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.112&CDS=1-3174	YKL205W
OG0000726	augustus_masked-scaffold_1-processed-gene-9.113-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.113&CDS=1-3492	YBR276C
OG0000727	augustus_masked-scaffold_1-processed-gene-9.115-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.115&CDS=1-429	YBR282W
OG0000728	augustus_masked-scaffold_1-processed-gene-9.131-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.131&CDS=1-756	YJL065C
OG0000729	maker-scaffold_1-augustus-gene-9.103-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-9.103&CDS=1-1173	YJR068W
