	Coccidioides_immitis	Saccharomyces_cerevisiae
OG0000432	XP_004445146.1, XP_004445147.1	YGR013W
OG0000433	XP_004445150.1, XP_004445151.1	YER122C
OG0000434	XP_004445190.1, XP_004445191.1	YER055C
OG0000435	XP_004445197.1, XP_004445198.1	YIR006C
OG0000436	XP_004445270.1, XP_004445271.1	YCR087C-A
OG0000437	XP_004445280.1, XP_004445281.1	YMR043W
OG0000438	XP_004445295.1, XP_004445296.1	YDR092W
OG0000439	XP_004445358.1, XP_004445359.1	YBL040C
OG0000440	XP_004445361.1, XP_004445362.1	YIL074C
OG0000441	XP_004445365.1, XP_004445366.1	YBR143C
OG0000442	XP_004445376.1, XP_004445377.1	YFR015C
OG0000443	XP_004445474.1, XP_004445475.1	YNL037C
OG0000444	XP_004445609.1, XP_004445610.1	YFL024C
OG0000445	XP_004445611.1, XP_004445612.1	YKL190W
OG0000446	XP_004445700.1, XP_004445701.1	YKL162C
OG0000447	XP_004445702.1, XP_004445703.1	YML130C
OG0000448	XP_004445764.1, XP_004445765.1	YER047C
OG0000449	XP_004445770.1	YDL075W, YLR406C
OG0000450	XP_004445795.1, XP_004445796.1	YMR197C
OG0000451	XP_004445834.1, XP_004445835.1	YGR144W
OG0000452	XP_004445842.1, XP_004445843.1	YDR511W
OG0000453	XP_004445850.1, XP_004445851.1	YOL123W
OG0000454	XP_004445933.1, XP_004445934.1	YIL118W
OG0000455	XP_004445938.1, XP_004445939.1	YMR074C
OG0000456	XP_004445940.1, XP_004445941.1	YDR198C
OG0000457	XP_004446029.1, XP_004446030.1	YIL128W
OG0000458	XP_004446051.1, XP_004446052.1	YLR137W
OG0000459	XP_004446071.1, XP_004446072.1	YGL030W
OG0000460	XP_004446073.1, XP_004446074.1	YMR288W
OG0000461	XP_004446108.1, XP_004446109.1	YBR079C
OG0000462	XP_004446119.1, XP_004446120.1	YBR088C
OG0000463	XP_004446138.1	YIL148W, YKR094C
OG0000464	XP_004446142.1, XP_004446143.1	YGL224C
OG0000465	XP_004446159.1, XP_004446160.1	YDL195W
OG0000466	XP_004446221.1, XP_004446222.1	YJL155C
OG0000467	XP_004446239.1, XP_004446240.1	YLR429W
OG0000468	XP_004446291.1, XP_004446292.1	YGR163W
OG0000469	XP_004446293.1	YGR027C, YLR333C
OG0000470	XP_004446296.1, XP_004446297.1	YPL065W
OG0000471	XP_004446330.1, XP_004446331.1	YLR401C
OG0000472	XP_004446359.1, XP_004446360.1	YBR034C
OG0000473	XP_004446366.1, XP_004446367.1	YDR432W
OG0000474	XP_004446372.1, XP_004446373.1	YNL090W
OG0000475	XP_004446374.1, XP_004446375.1	YJL154C
OG0000476	XP_004446419.1, XP_004446420.1	YIL033C
OG0000477	XP_004446444.1, XP_004446445.1	YEL064C
OG0000478	XP_004446465.1, XP_004446466.1	YPR011C
OG0000479	XP_004446469.1, XP_004446470.1	YML021C
OG0000480	XP_004446471.1, XP_004446472.1	YAR007C
OG0000481	XP_012213637.1	YDR132C, YLR108C
OG0000482	XP_012213676.1	YDR471W, YHR010W
OG0000483	XP_012213713.1	YDR358W, YHR108W
OG0000484	XP_012213759.1	YJL083W, YKR019C
OG0000485	XP_012213765.1	YKL121W, YMR102C
OG0000486	XP_012213794.1	YJL079C, YKR013W
OG0000487	XP_012214312.1	YJL098W, YKR028W
OG0000488	XP_012214371.1	YCR026C, YEL016C
OG0000489	XP_001238894.1	YHR079C
OG0000490	XP_001238899.1	YIL142W
OG0000491	XP_001238942.1	YAL049C
OG0000492	XP_001238944.1	YOR361C
OG0000493	XP_001238949.1	YDR266C
OG0000494	XP_001238950.2	YFL003C
OG0000495	XP_001238951.2	YCR072C
OG0000496	XP_001238953.2	YBR186W
OG0000497	XP_001238954.1	YOR065W
OG0000498	XP_001238957.1	YDR035W
OG0000499	XP_001238958.1	YLR241W
OG0000500	XP_001238959.2	YPR184W
OG0000501	XP_001238998.2	YMR250W
OG0000502	XP_001239007.1	YOR320C
OG0000503	XP_001239017.1	YOR246C
OG0000504	XP_001239028.1	YIL001W
OG0000505	XP_001239029.1	YAR018C
OG0000506	XP_001239034.1	YDL084W
OG0000507	XP_001239047.1	YOL034W
OG0000508	XP_001239048.2	YPL030W
OG0000509	XP_001239058.1	YOR327C
OG0000510	XP_001239059.2	YER069W
OG0000511	XP_001239067.2	YPL226W
OG0000512	XP_001239074.2	YGL077C
OG0000513	XP_001239082.2	YFL054C
OG0000514	XP_001239084.1	YIR031C
OG0000515	XP_001239114.1	YPR002W
OG0000516	XP_001239115.2	YPR006C
OG0000517	XP_001239118.2	YMR300C
OG0000518	XP_001239122.2	YHR039C
OG0000519	XP_001239127.1	YKL016C
OG0000520	XP_001239128.1	YHR193C
OG0000521	XP_001239133.1	YDR292C
OG0000522	XP_001239134.1	YNL263C
OG0000523	XP_001239145.2	YDL234C
OG0000524	XP_001239148.1	YPL085W
OG0000525	XP_001239149.1	YIL048W
OG0000526	XP_001239152.1	YAL025C
OG0000527	XP_001239158.2	YNL127W
OG0000528	XP_001239161.2	YGR036C
OG0000529	XP_001239162.1	YML068W
OG0000530	XP_001239165.2	YGL027C
OG0000531	XP_001239166.1	YHR009C
OG0000532	XP_001239174.1	YHR187W
OG0000533	XP_001239175.1	YLR268W
OG0000534	XP_001239182.2	YGR021W
OG0000535	XP_001239183.2	YJL207C
OG0000536	XP_001239185.2	YLR215C
OG0000537	XP_001239187.1	YDR079W
OG0000538	XP_001239190.2	YLR281C
OG0000539	XP_001239191.1	YGL238W
OG0000540	XP_001239193.2	YLL013C
OG0000541	XP_001239196.1	YLL031C
OG0000542	XP_001239198.1	YMR128W
OG0000543	XP_001239202.1	YBR201W
OG0000544	XP_001239204.1	YMR276W
OG0000545	XP_001239205.2	YML049C
OG0000546	XP_001239211.1	YIL164C
OG0000547	XP_001239212.2	YJL109C
OG0000548	XP_001239220.1	YIL007C
OG0000549	XP_001239221.1	YLR293C
OG0000550	XP_001239229.2	YOR222W
OG0000551	XP_001239236.1	YBL102W
OG0000552	XP_001239237.1	YJL087C
OG0000553	XP_001239238.1	YCR051W
OG0000554	XP_001239245.2	YLL018C-A
OG0000555	XP_001239246.1	YHL023C
OG0000556	XP_001239250.1	YBL008W
OG0000557	XP_001239251.1	YBR025C
OG0000558	XP_001239252.1	YER007C-A
OG0000559	XP_001239254.1	YOR007C
OG0000560	XP_001239255.1	YIL022W
OG0000561	XP_001239256.1	YNL306W
OG0000562	XP_001239257.2	YML002W
OG0000563	XP_001239268.1	YOR039W
OG0000564	XP_001239270.1	YBR295W
OG0000565	XP_001239273.2	YDR428C
OG0000566	XP_001239279.1	YBR237W
OG0000567	XP_001239287.1	YLR117C
OG0000568	XP_001239288.1	YGR091W
OG0000569	XP_001239289.1	YER043C
OG0000570	XP_001239291.1	YER164W
OG0000571	XP_001239292.2	YDR091C
OG0000572	XP_001239293.2	YKL012W
OG0000573	XP_001239295.2	YOR292C
OG0000574	XP_001239296.2	YCR012W
OG0000575	XP_001239326.2	YER095W
OG0000576	XP_001239338.1	YER006W
OG0000577	XP_001239341.1	YHL031C
OG0000578	XP_001239349.2	YLR180W
OG0000579	XP_001239350.1	YLR243W
OG0000580	XP_001239356.1	YPR036W
OG0000581	XP_001239358.2	YGR232W
OG0000582	XP_001239359.1	YPL151C
OG0000583	XP_001239360.2	YML065W
OG0000584	XP_001239361.1	YGR119C
OG0000585	XP_001239362.2	YPR133C
OG0000586	XP_001239368.1	YBR096W
OG0000587	XP_001239369.1	YNR018W
OG0000588	XP_001239370.1	YOR165W
OG0000589	XP_001239381.1	YOR187W
OG0000590	XP_001239383.1	YEL042W
OG0000591	XP_001239389.1	YNR039C
OG0000592	XP_001239390.1	YKL034W
OG0000593	XP_001239393.1	YAL044C
OG0000594	XP_001239394.1	YKL003C
OG0000595	XP_001239396.1	YOR211C
OG0000596	XP_001239402.2	YNL016W
OG0000597	XP_001239418.1	YHR142W
OG0000598	XP_001239425.1	YNL284C
OG0000599	XP_001239433.1	YAR014C
OG0000600	XP_001239438.1	YDR062W
OG0000601	XP_001239441.1	YHR024C
OG0000602	XP_001239444.1	YNL131W
OG0000603	XP_001239447.1	YJL097W
OG0000604	XP_001239448.1	YLR147C
OG0000605	XP_001239449.1	YHR100C
OG0000606	XP_001239450.1	YDL106C
OG0000607	XP_001239453.1	YMR162C
OG0000608	XP_001239455.2	YBL057C
OG0000609	XP_001239460.1	YDL131W
OG0000610	XP_001239463.2	YDL235C
OG0000611	XP_001239478.2	YOR131C
OG0000612	XP_001239488.2	YMR114C
OG0000613	XP_001239490.1	YMR116C
OG0000614	XP_001239491.1	YOL071W
OG0000615	XP_001239492.1	YML012W
OG0000616	XP_001239501.1	YPR035W
OG0000617	XP_001239513.1	YKR026C
OG0000618	XP_001239514.2	YOL069W
OG0000619	XP_001239520.1	YNR032W
OG0000620	XP_001239521.1	YDL135C
OG0000621	XP_001239523.2	YOR250C
OG0000622	XP_001239525.2	YBR046C
OG0000623	XP_001239527.1	YDR173C
OG0000624	XP_001239528.1	YNR037C
OG0000625	XP_001239530.1	YPL128C
OG0000626	XP_001239534.2	YNR047W
OG0000627	XP_001239535.1	YBR251W
OG0000628	XP_001239536.2	YKR056W
OG0000629	XP_001239537.2	YJR065C
OG0000630	XP_001239539.1	YPR056W
OG0000631	XP_001239540.1	YOR035C
OG0000632	XP_001239542.2	YPL110C
OG0000633	XP_001239543.1	YBR133C
OG0000634	XP_001239544.1	YGL120C
OG0000635	XP_001239546.1	YLR250W
OG0000636	XP_001239547.1	YML005W
OG0000637	XP_001239549.1	YFR021W
OG0000638	XP_001239550.2	YOL141W
OG0000639	XP_001239551.1	YBR276C
OG0000640	XP_001239552.2	YMR167W
OG0000641	XP_001239554.2	YHR027C
OG0000642	XP_001239555.1	YNL207W
OG0000643	XP_001239556.1	YDR405W
OG0000644	XP_001239558.1	YDL205C
OG0000645	XP_001239560.2	YMR028W
OG0000646	XP_001239562.1	YKR054C
OG0000647	XP_001239567.1	YDR346C
OG0000648	XP_001239568.1	YNL185C
OG0000649	XP_001239570.1	YOR267C
OG0000650	XP_001239573.2	YNL003C
OG0000651	XP_001239579.2	YDR416W
OG0000652	XP_001239580.2	YEL051W
OG0000653	XP_001239582.2	YOR349W
OG0000654	XP_001239589.2	YBL082C
OG0000655	XP_001239594.1	YDL122W
OG0000656	XP_001239595.1	YOR005C
OG0000657	XP_001239599.2	YML020W
OG0000658	XP_001239600.1	YCL054W
OG0000659	XP_001239602.1	YML001W
OG0000660	XP_001239603.1	YMR159C
OG0000661	XP_001239604.1	YDR440W
OG0000662	XP_001239609.1	YDR002W
OG0000663	XP_001239610.2	YPL129W
OG0000664	XP_001239612.1	YNL022C
OG0000665	XP_001239616.1	YOR212W
OG0000666	XP_001239619.1	YMR100W
OG0000667	XP_001239621.2	YNL085W
OG0000668	XP_001239630.2	YKL015W
OG0000669	XP_001239632.1	YKL172W
OG0000670	XP_001239634.2	YNL292W
OG0000671	XP_001239640.2	YPL045W
OG0000672	XP_001239647.1	YGL115W
OG0000673	XP_001239648.2	YNL231C
OG0000674	XP_001239649.1	YBL035C
OG0000675	XP_001239651.2	YGR083C
OG0000676	XP_001239655.2	YMR150C
OG0000677	XP_001239656.1	YDR322W
OG0000678	XP_001239657.2	YML025C
OG0000679	XP_001239658.1	YDR036C
OG0000680	XP_001239661.2	YKR063C
OG0000681	XP_001239668.2	YDR472W
OG0000682	XP_001239674.1	YLR275W
OG0000683	XP_001239675.2	YML070W
OG0000684	XP_001239690.2	YER116C
OG0000685	XP_001239691.1	YOR330C
OG0000686	XP_001239694.2	YLR438C-A
OG0000687	XP_001239697.1	YLR032W
OG0000688	XP_001239699.2	YMR281W
OG0000689	XP_001239704.1	YJR122W
OG0000690	XP_001239705.2	YNL118C
OG0000691	XP_001239711.2	YNL119W
OG0000692	XP_001239723.2	YKL018W
OG0000693	XP_001239724.1	YKL120W
OG0000694	XP_001239725.1	YJL026W
OG0000695	XP_001239730.1	YEL013W
OG0000696	XP_001239731.2	YNL232W
OG0000697	XP_001239732.2	YNL163C
OG0000698	XP_001239734.1	YLL036C
OG0000699	XP_001239736.1	YPR100W
OG0000700	XP_001239737.1	YIL061C
OG0000701	XP_001239738.1	YKL009W
OG0000702	XP_001239739.1	YAL010C
OG0000703	XP_001239740.1	YDR050C
OG0000704	XP_001239748.1	YEL015W
OG0000705	XP_001239750.1	YBR179C
OG0000706	XP_001239751.1	YKL002W
OG0000707	XP_001239752.2	YDL006W
OG0000708	XP_001239759.2	YNL294C
OG0000709	XP_001239770.2	YML064C
OG0000710	XP_001239771.1	YMR131C
OG0000711	XP_001239773.2	YOR144C
OG0000712	XP_001239780.1	YLR138W
OG0000713	XP_001239786.1	YDL126C
OG0000714	XP_001239789.2	YCL032W
OG0000715	XP_001239790.2	YLR128W
OG0000716	XP_001239792.1	YPL211W
OG0000717	XP_001239793.1	YLR002C
OG0000718	XP_001239803.1	YNL252C
OG0000719	XP_001239807.2	YMR034C
OG0000720	XP_001239808.1	YJR095W
OG0000721	XP_001239809.2	YGR080W
OG0000722	XP_001239812.2	YNR064C
OG0000723	XP_001239817.1	YMR076C
OG0000724	XP_001239819.1	YMR075W
OG0000725	XP_001239820.2	YDR101C
OG0000726	XP_001239822.1	YBR289W
OG0000727	XP_001239824.1	YOR067C
OG0000728	XP_001239826.2	YHR002W
OG0000729	XP_001239827.2	YMR026C
OG0000730	XP_001239829.1	YHR170W
OG0000731	XP_001239830.1	YNR054C
OG0000732	XP_001239833.2	YCR066W
OG0000733	XP_001239836.1	YDR108W
OG0000734	XP_001239837.1	YER168C
OG0000735	XP_001239851.1	YDL102W
OG0000736	XP_001239869.1	YNL326C
OG0000737	XP_001239876.2	YLR454W
OG0000738	XP_001239881.2	YOL033W
OG0000739	XP_001239885.1	YBL092W
OG0000740	XP_001239886.1	YOR058C
OG0000741	XP_001239905.1	YDL150W
OG0000742	XP_001239907.2	YDL155W
OG0000743	XP_001239909.2	YOR258W
OG0000744	XP_001239910.1	YLR419W
OG0000745	XP_001239915.1	YER094C
OG0000746	XP_001239916.2	YOL076W
OG0000747	XP_001239917.2	YHR116W
OG0000748	XP_001239924.1	YPR137W
OG0000749	XP_001239927.1	YLR222C
OG0000750	XP_001239928.1	YOR148C
OG0000751	XP_001239929.1	YDR359C
OG0000752	XP_001239930.1	YKL021C
OG0000753	XP_001239931.1	YJR117W
OG0000754	XP_001239933.1	YER025W
OG0000755	XP_001239934.1	YOL098C
OG0000756	XP_001239936.1	YNL081C
OG0000757	XP_001239937.2	YDR155C
OG0000758	XP_001239942.2	YOR204W
OG0000759	XP_001239947.1	YFL013C
OG0000760	XP_001239950.1	YMR120C
OG0000761	XP_001239951.1	YGL206C
OG0000762	XP_001239952.1	YBR218C
OG0000763	XP_001239965.1	YER029C
OG0000764	XP_001239966.1	YGL080W
OG0000765	XP_001239967.2	YKL146W
OG0000766	XP_001239968.2	YBR235W
OG0000767	XP_001239974.1	YEL027W
OG0000768	XP_001239979.2	YPR069C
OG0000769	XP_001239980.2	YPR074C
OG0000770	XP_001239985.1	YGR210C
OG0000771	XP_001239989.1	YDR276C
OG0000772	XP_001239996.1	YLR107W
OG0000773	XP_001240007.1	YFR028C
OG0000774	XP_001240014.2	YMR020W
OG0000775	XP_001240029.2	YNL094W
OG0000776	XP_001240041.2	YOR095C
OG0000777	XP_001240042.2	YDL134C
OG0000778	XP_001240045.2	YKL033W-A
OG0000779	XP_001240047.1	YNL187W
OG0000780	XP_001240051.1	YJR093C
OG0000781	XP_001240062.2	YPL003W
OG0000782	XP_001240064.1	YOR262W
OG0000783	XP_001240084.1	YDR390C
OG0000784	XP_001240086.2	YPL046C
OG0000785	XP_001240087.1	YPL083C
OG0000786	XP_001240092.2	YGR211W
OG0000787	XP_001240094.1	YKL149C
OG0000788	XP_001240095.1	YMR185W
OG0000789	XP_001240100.1	YOR373W
OG0000790	XP_001240102.2	YDR017C
OG0000791	XP_001240120.1	YGL065C
OG0000792	XP_001240126.1	YPR060C
OG0000793	XP_001240127.2	YDR361C
OG0000794	XP_001240165.1	YDR381W
OG0000795	XP_001240167.1	YKL041W
OG0000796	XP_001240168.1	YKL117W
OG0000797	XP_001240169.2	YOR091W
OG0000798	XP_001240175.1	YJL130C
OG0000799	XP_001240176.2	YDR061W
OG0000800	XP_001240178.1	YBR102C
OG0000801	XP_001240179.1	YGR082W
OG0000802	XP_001240180.1	YMR215W
OG0000803	XP_001240182.2	YMR224C
OG0000804	XP_001240184.1	YER073W
OG0000805	XP_001240190.1	YGL159W
OG0000806	XP_001240193.1	YPL207W
OG0000807	XP_001240196.2	YLR411W
OG0000808	XP_001240197.1	YDL047W
OG0000809	XP_001240294.2	YPR118W
OG0000810	XP_001240296.2	YPL195W
OG0000811	XP_001240297.1	YPL155C
OG0000812	XP_001240299.2	YOR245C
OG0000813	XP_001240301.1	YGR280C
OG0000814	XP_001240304.2	YDL108W
OG0000815	XP_001240308.1	YLR305C
OG0000816	XP_001240316.1	YDR524C
OG0000817	XP_001240322.1	YBR114W
OG0000818	XP_001240323.2	YJR052W
OG0000819	XP_001240328.1	YOL005C
OG0000820	XP_001240330.2	YDL206W
OG0000821	XP_001240331.2	YBL097W
OG0000822	XP_001240336.1	YKL024C
OG0000823	XP_001240359.1	YDR330W
OG0000824	XP_001240360.2	YJL194W
OG0000825	XP_001240361.1	YFL047W
OG0000826	XP_001240364.1	YDR265W
OG0000827	XP_001240365.1	YDR414C
OG0000828	XP_001240377.2	YCR092C
OG0000829	XP_001240379.1	YPR176C
OG0000830	XP_001240383.1	YOR294W
OG0000831	XP_001240385.1	YKL197C
OG0000832	XP_001240386.1	YBR202W
OG0000833	XP_001240399.1	YDR412W
OG0000834	XP_001240401.1	YNL315C
OG0000835	XP_001240402.1	YNL320W
OG0000836	XP_001240403.1	YJL001W
OG0000837	XP_001240404.2	YJR006W
OG0000838	XP_001240413.1	YDR430C
OG0000839	XP_001240419.1	YDR182W
OG0000840	XP_001240421.2	YIR023W
OG0000841	XP_001240423.2	YER126C
OG0000842	XP_001240424.1	YJL096W
OG0000843	XP_001240425.2	YDL028C
OG0000844	XP_001240428.1	YNL168C
OG0000845	XP_001240432.2	YHR175W
OG0000846	XP_001240434.1	YGL156W
OG0000847	XP_001240436.1	YPR125W
OG0000848	XP_001240437.2	YLR151C
OG0000849	XP_001240439.2	YFL008W
OG0000850	XP_001240440.2	YGR149W
OG0000851	XP_001240449.2	YGL003C
OG0000852	XP_001240451.1	YHR113W
OG0000853	XP_001240453.1	YDL236W
OG0000854	XP_001240460.2	YJR068W
OG0000855	XP_001240463.1	YBR011C
OG0000856	XP_001240465.2	YNR015W
OG0000857	XP_001240466.1	YBR286W
OG0000858	XP_001240470.1	YAL019W
OG0000859	XP_001240471.1	YGR105W
OG0000860	XP_001240475.2	YBR182C
OG0000861	XP_001240484.2	YMR228W
OG0000862	XP_001240491.2	YER163C
OG0000863	XP_001240492.1	YGR058W
OG0000864	XP_001240498.1	YNL241C
OG0000865	XP_001240502.1	YER053C
OG0000866	XP_001240504.2	YOR188W
OG0000867	XP_001240506.1	YMR146C
OG0000868	XP_001240508.2	YGR204W
OG0000869	XP_001240510.1	YDL066W
OG0000870	XP_001240511.1	YOR298C-A
OG0000871	XP_001240516.1	YPL237W
OG0000872	XP_001240517.1	YLR099W-A
OG0000873	XP_001240523.1	YFR052W
OG0000874	XP_001240526.1	YPR189W
OG0000875	XP_001240527.1	YIR007W
OG0000876	XP_001240528.2	YDR335W
OG0000877	XP_001240530.1	YOL093W
OG0000878	XP_001240531.1	YNL212W
OG0000879	XP_001240532.1	YPL196W
OG0000880	XP_001240535.1	YGR029W
OG0000881	XP_001240536.2	YDL145C
OG0000882	XP_001240562.1	YJL180C
OG0000883	XP_001240564.1	YLR203C
OG0000884	XP_001240571.2	YDR334W
OG0000885	XP_001240573.2	YOR296W
OG0000886	XP_001240581.1	YML022W
OG0000887	XP_001240583.2	YHR204W
OG0000888	XP_001240588.2	YKR068C
OG0000889	XP_001240589.2	YER109C
OG0000890	XP_001240593.2	YHR086W
OG0000891	XP_001240596.2	YER179W
OG0000892	XP_001240598.1	YDL103C
OG0000893	XP_001240603.1	YJR129C
OG0000894	XP_001240609.2	YOR340C
OG0000895	XP_001240650.2	YOR151C
OG0000896	XP_001240654.2	YMR287C
OG0000897	XP_001240656.1	YOR317W
OG0000898	XP_001240661.2	YDR429C
OG0000899	XP_001240663.1	YNL256W
OG0000900	XP_001240665.1	YGR033C
OG0000901	XP_001240681.1	YBR196C
OG0000902	XP_001240684.2	YGR203W
OG0000903	XP_001240692.2	YEL065W
OG0000904	XP_001240693.1	YJR144W
OG0000905	XP_001240694.1	YLR218C
OG0000906	XP_001240695.2	YDL141W
OG0000907	XP_001240696.1	YGR127W
OG0000908	XP_001240699.2	YLR027C
OG0000909	XP_001240704.2	YOR075W
OG0000910	XP_001240707.2	YMR038C
OG0000911	XP_001240720.2	YJR035W
OG0000912	XP_001240722.2	YJL141C
OG0000913	XP_001240723.1	YMR309C
OG0000914	XP_001240724.1	YPL002C
OG0000915	XP_001240726.1	YNL102W
OG0000916	XP_001240731.2	YNL112W
OG0000917	XP_001240740.2	YAL020C
OG0000918	XP_001240751.1	YDR448W
OG0000919	XP_001240755.2	YGL137W
OG0000920	XP_001240768.1	YGL183C
OG0000921	XP_001240772.1	YGR037C
OG0000922	XP_001240773.2	YBR223C
OG0000923	XP_001240777.1	YGL045W
OG0000924	XP_001240783.1	YPL149W
OG0000925	XP_001240788.1	YDL212W
OG0000926	XP_001240797.2	YGR281W
OG0000927	XP_001240799.1	YLR438W
OG0000928	XP_001240800.1	YGL142C
OG0000929	XP_001240808.1	YLR418C
OG0000930	XP_001240809.1	YLR452C
OG0000931	XP_001240812.2	YPR162C
OG0000932	XP_001240814.1	YDL165W
OG0000933	XP_001240815.1	YLR439W
OG0000934	XP_001240816.1	YER136W
OG0000935	XP_001240817.2	YFR031C
OG0000936	XP_001240819.1	YJL072C
OG0000937	XP_001240822.2	YGR227W
OG0000938	XP_001240824.2	YJR101W
OG0000939	XP_001240828.1	YLR023C
OG0000940	XP_001240830.1	YOR239W
OG0000941	XP_001240833.1	YKL191W
OG0000942	XP_001240834.2	YGL256W
OG0000943	XP_001240835.1	YPR169W
OG0000944	XP_001240845.1	YCR011C
OG0000945	XP_001240847.1	YGL054C
OG0000946	XP_001240853.1	YDR364C
OG0000947	XP_001240857.1	YLR244C
OG0000948	XP_001240858.1	YBL098W
OG0000949	XP_001240861.2	YMR158W
OG0000950	XP_001240864.1	YIL094C
OG0000951	XP_001240869.1	YAL038W
OG0000952	XP_001240871.2	YIL156W-B
OG0000953	XP_001240874.2	YFR019W
OG0000954	XP_001240878.1	YPL183C
OG0000955	XP_001240880.1	YGR258C
OG0000956	XP_001240881.1	YGR086C
OG0000957	XP_001240882.1	YGL093W
OG0000958	XP_001240888.1	YML102W
OG0000959	XP_001240897.1	YJR008W
OG0000960	XP_001240899.2	YPL096W
OG0000961	XP_001240900.2	YDR324C
OG0000962	XP_001240911.2	YLR420W
OG0000963	XP_001240913.2	YMR073C
OG0000964	XP_001240918.1	YLR130C
OG0000965	XP_001240923.2	YOR209C
OG0000966	XP_001240929.1	YOL139C
OG0000967	XP_001240930.1	YLR251W
OG0000968	XP_001240931.1	YGL123W
OG0000969	XP_001240934.2	YOR251C
OG0000970	XP_001240937.2	YBL063W
OG0000971	XP_001240939.2	YPL040C
OG0000972	XP_001240946.1	YJR013W
OG0000973	XP_001240952.1	YHR190W
OG0000974	XP_001240954.1	YIR004W
OG0000975	XP_001240966.2	YJR111C
OG0000976	XP_001240975.1	YDR305C
OG0000977	XP_001240978.1	YNR029C
OG0000978	XP_001240981.1	YBL022C
OG0000979	XP_001240982.2	YFL016C
OG0000980	XP_001240983.2	YPL084W
OG0000981	XP_001240984.1	YMR263W
OG0000982	XP_001240987.2	YGL035C
OG0000983	XP_001240995.1	YGL055W
OG0000984	XP_001241000.2	YPR022C
OG0000985	XP_001241002.1	YOR160W
OG0000986	XP_001241003.2	YOR159C
OG0000987	XP_001241004.2	YER183C
OG0000988	XP_001241005.1	YMR200W
OG0000989	XP_001241006.1	YOR215C
OG0000990	XP_001241009.1	YJL071W
OG0000991	XP_001241010.1	YLR242C
OG0000992	XP_001241011.1	YCL005W-A
OG0000993	XP_001241014.1	YIL041W
OG0000994	XP_001241018.2	YDR083W
OG0000995	XP_001241019.1	YGR253C
OG0000996	XP_001241020.1	YHR172W
OG0000997	XP_001241021.1	YCL059C
OG0000998	XP_001241025.2	YBR159W
OG0000999	XP_001241026.2	YER044C
OG0001000	XP_001241027.2	YBR018C
OG0001001	XP_001241031.2	YER143W
OG0001002	XP_001241032.1	YDR071C
OG0001003	XP_001241033.1	YPL093W
OG0001004	XP_001241035.1	YDL046W
OG0001005	XP_001241036.1	YGR020C
OG0001006	XP_001241039.1	YGL125W
OG0001007	XP_001241042.1	YGL009C
OG0001008	XP_001241043.2	YBR243C
OG0001009	XP_001241044.2	YGL100W
OG0001010	XP_001241047.1	YJR097W
OG0001011	XP_001241052.1	YER130C
OG0001012	XP_001241053.2	YLR143W
OG0001013	XP_001241054.2	YMR013C
OG0001014	XP_001241058.2	YGR055W
OG0001015	XP_001241125.1	YKL157W
OG0001016	XP_001241142.2	YMR099C
OG0001017	XP_001241146.2	YPL225W
OG0001018	XP_001241149.2	YKL209C
OG0001019	XP_001241164.2	YDR460W
OG0001020	XP_001241166.1	YOL154W
OG0001021	XP_001241169.2	YJL057C
OG0001022	XP_001241170.2	YNR053C
OG0001023	XP_001241172.2	YDR243C
OG0001024	XP_001241173.1	YGR076C
OG0001025	XP_001241281.1	YML008C
OG0001026	XP_001241282.1	YBR065C
OG0001027	XP_001241283.1	YDR493W
OG0001028	XP_001241284.1	YGR285C
OG0001029	XP_001241288.1	YDL238C
OG0001030	XP_001241289.1	YMR189W
OG0001031	XP_001241293.2	YKR035W-A
OG0001032	XP_001241295.1	YMR293C
OG0001033	XP_001241296.1	YLR015W
OG0001034	XP_001241298.1	YDR397C
OG0001035	XP_001241299.1	YIR035C
OG0001036	XP_001241302.1	YPR026W
OG0001037	XP_001241303.1	YBR026C
OG0001038	XP_001241305.1	YBR221C
OG0001039	XP_001241312.2	YDR120C
OG0001040	XP_001241314.1	YPL231W
OG0001041	XP_001241317.1	YGR186W
OG0001042	XP_001241320.2	YGR187C
OG0001043	XP_001241323.1	YDR287W
OG0001044	XP_001241329.1	YLR410W
OG0001045	XP_001241330.2	YLR409C
OG0001046	XP_001241339.1	YDR339C
OG0001047	XP_001241344.2	YPR155C
OG0001048	XP_001241345.2	YGR060W
OG0001049	XP_001241349.2	YBR136W
OG0001050	XP_001241350.1	YJL035C
OG0001051	XP_001241352.2	YMR048W
OG0001052	XP_001241353.1	YGL097W
OG0001053	XP_001241355.1	YBR153W
OG0001054	XP_001241356.2	YFR002W
OG0001055	XP_001241357.1	YJL003W
OG0001056	XP_001241364.1	YDR109C
OG0001057	XP_001241365.1	YNL321W
OG0001058	XP_001241366.1	YGL048C
OG0001059	XP_001241370.1	YGR172C
OG0001060	XP_001241371.1	YNL026W
OG0001061	XP_001241372.2	YER100W
OG0001062	XP_001241374.1	YAL039C
OG0001063	XP_001241377.2	YPL109C
OG0001064	XP_001241382.2	YIL124W
OG0001065	XP_001241383.1	YGR244C
OG0001066	XP_001241386.1	YOR140W
OG0001067	XP_001241390.1	YJR133W
OG0001068	XP_001241454.1	YPL107W
OG0001069	XP_001241460.1	YLR085C
OG0001070	XP_001241465.2	YNL273W
OG0001071	XP_001241468.1	YPL122C
OG0001072	XP_001241475.1	YBL037W
OG0001073	XP_001241476.2	YBL036C
OG0001074	XP_001241483.1	YOR074C
