	Metschnikowia_hibisci	Saccharomyces_cerevisiae
OG0000465	snap_masked-hib_s93-processed-gene-2.117-mRNA-1_1&gene=snap_masked-hib_s93-processed-gene-2.117&CDS=1-2001	YFR013W, YOL017W
OG0000466	augustus_masked-hib_s93-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-3.14&CDS=1-1086	YDL246C, YJR159W
OG0000467	augustus_masked-hib_s93-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-3.43&CDS=1-495	YDR418W, YEL054C
OG0000468	augustus_masked-hib_s93-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-4.15&CDS=1-792	YGR214W, YLR048W
OG0000469	augustus_masked-hib_s93-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-4.17&CDS=1-864	YGL162W, YPR009W
OG0000470	augustus_masked-hib_s93-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-4.40&CDS=1-870	YBR183W, YPL087W
OG0000471	genemark-hib_s93-processed-gene-4.89-mRNA-1_1&gene=genemark-hib_s93-processed-gene-4.89&CDS=1-2643	YML085C, YML124C
OG0000472	maker-hib_s93-augustus-gene-4.3-mRNA-1_1&gene=maker-hib_s93-augustus-gene-4.3&CDS=1-1704	YML087C, YML125C
OG0000473	augustus_masked-hib_s93-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-4.35&CDS=1-1254	YMR177W, YPL224C
OG0000474	augustus_masked-hib_s93-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-6.11&CDS=1-561	YNL096C, YOR096W
OG0000475	augustus_masked-hib_s93-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-6.18&CDS=1-1614	YDR497C, YOL103W
OG0000476	augustus_masked-hib_s93-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-6.24&CDS=1-2541	YDR206W, YLR233C
OG0000477	augustus_masked-hib_s93-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-7.11&CDS=1-1815	YBR238C, YGL107C
OG0000478	augustus_masked-hib_s93-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-7.28&CDS=1-3228	YAL017W, YOL045W
OG0000479	augustus_masked-hib_s93-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-7.15&CDS=1-1530	YAL015C, YOL043C
OG0000480	snap_masked-hib_s93-processed-gene-8.34-mRNA-1_1&gene=snap_masked-hib_s93-processed-gene-8.34&CDS=1-267	YGR008C, YLR327C
OG0000481	augustus_masked-hib_s93-processed-gene-8.77-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-8.77&CDS=1-2130	YKL050C, YMR031C
OG0000482	augustus_masked-hib_s98-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-1.111&CDS=1-1830, genemark-hib_s93-processed-gene-9.100-mRNA-1_1&gene=genemark-hib_s93-processed-gene-9.100&CDS=1-777	YNL125C
OG0000483	augustus_masked-hib_s93-processed-gene-9.12-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-9.12&CDS=1-1794	YGR092W, YPR111W
OG0000484	augustus_masked-hib_s93-processed-gene-10.23-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-10.23&CDS=1-801, augustus_masked-hib_s93-processed-gene-13.111-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-13.111&CDS=1-810	YMR226C
OG0000485	augustus_masked-hib_s93-processed-gene-10.24-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-10.24&CDS=1-516	YMR242C, YOR312C
OG0000486	snap_masked-hib_s93-processed-gene-10.80-mRNA-1_1&gene=snap_masked-hib_s93-processed-gene-10.80&CDS=1-276	YBR089C-A, YPR052C
OG0000487	augustus_masked-hib_s93-processed-gene-10.41-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-10.41&CDS=1-249	YDR500C, YLR185W
OG0000488	augustus_masked-hib_s93-processed-gene-10.20-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-10.20&CDS=1-1512	YDR501W, YLR183C
OG0000489	augustus_masked-hib_s93-processed-gene-11.55-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-11.55&CDS=1-1890	YDR505C, YLR177W
OG0000490	augustus_masked-hib_s93-processed-gene-11.73-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-11.73&CDS=1-1770	YNL299W, YOL115W
OG0000491	snap_masked-hib_s93-processed-gene-12.67-mRNA-1_1&gene=snap_masked-hib_s93-processed-gene-12.67&CDS=1-3504	YHR155W, YNL257C
OG0000492	augustus_masked-hib_s93-processed-gene-12.55-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-12.55&CDS=1-390	YHL001W, YKL006W
OG0000493	augustus_masked-hib_s93-processed-gene-12.58-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-12.58&CDS=1-5553, augustus_masked-hib_s93-processed-gene-18.187-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.187&CDS=1-5016	YNL271C
OG0000494	augustus_masked-hib_s93-processed-gene-13.89-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-13.89&CDS=1-1266	YDR300C, YHR033W
OG0000495	augustus_masked-hib_s93-processed-gene-15.61-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.61&CDS=1-3555	YGL133W, YPL216W
OG0000496	augustus_masked-hib_s93-processed-gene-15.68-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.68&CDS=1-411	YBL087C, YER117W
OG0000497	augustus_masked-hib_s93-processed-gene-15.91-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.91&CDS=1-2370	YIL105C, YNL047C
OG0000498	augustus_masked-hib_s93-processed-gene-15.95-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.95&CDS=1-3804	YGR143W, YPR159W
OG0000499	augustus_masked-hib_s93-processed-gene-15.96-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.96&CDS=1-507	YGR131W, YPR149W
OG0000500	augustus_masked-hib_s93-processed-gene-15.81-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.81&CDS=1-543	YDL137W, YDL192W
OG0000501	augustus_masked-hib_s93-processed-gene-15.82-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.82&CDS=1-360	YDL136W, YDL191W
OG0000502	augustus_masked-hib_s93-processed-gene-16.10-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.10&CDS=1-876	YGR136W, YPR154W
OG0000503	augustus_masked-hib_s93-processed-gene-16.15-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.15&CDS=1-2433	YBR294W, YLR092W
OG0000504	augustus_masked-hib_s93-processed-gene-16.35-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.35&CDS=1-1599	YJL137C, YKR058W
OG0000505	maker-hib_s93-snap-gene-16.143-mRNA-1_1&gene=maker-hib_s93-snap-gene-16.143&CDS=1-2553	YBR205W, YOR099W
OG0000506	augustus_masked-hib_s93-processed-gene-17.111-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.111&CDS=1-3987	YJL076W, YKR010C
OG0000507	augustus_masked-hib_s93-processed-gene-17.134-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.134&CDS=1-2211	YJR059W, YKL198C
OG0000508	augustus_masked-hib_s93-processed-gene-17.118-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.118&CDS=1-3162	YCR067C, YNR026C
OG0000509	maker-hib_s93-augustus-gene-18.251-mRNA-1_1&gene=maker-hib_s93-augustus-gene-18.251&CDS=1-4836	YBL085W, YER114C
OG0000510	augustus_masked-hib_s93-processed-gene-18.212-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.212&CDS=1-1518, augustus_masked-hib_s94-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.129&CDS=1-1527	YGR260W
OG0000511	augustus_masked-hib_s93-processed-gene-18.222-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.222&CDS=1-5298	YIL149C, YKR095W
OG0000512	augustus_masked-hib_s93-processed-gene-18.184-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.184&CDS=1-3705	YIL151C, YKR096W
OG0000513	genemark-hib_s93-processed-gene-18.27-mRNA-1_1&gene=genemark-hib_s93-processed-gene-18.27&CDS=1-759	YIR035C, YIR036C
OG0000514	maker-hib_s93-snap-gene-18.84-mRNA-1_1&gene=maker-hib_s93-snap-gene-18.84&CDS=1-1011	YNL302C, YOL121C
OG0000515	augustus_masked-hib_s94-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.75&CDS=1-882	YMR222C, YOR280C
OG0000516	genemark-hib_s94-processed-gene-0.28-mRNA-1_1&gene=genemark-hib_s94-processed-gene-0.28&CDS=1-1332	YIL113W, YNL053W
OG0000517	augustus_masked-hib_s94-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.77&CDS=1-759	YER062C, YIL053W
OG0000518	augustus_masked-hib_s94-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.86&CDS=1-2817	YJR091C, YPR042C
OG0000519	snap_masked-hib_s94-processed-gene-1.48-mRNA-1_1&gene=snap_masked-hib_s94-processed-gene-1.48&CDS=1-279	YJR094W-A, YPR043W
OG0000520	genemark-hib_s94-processed-gene-1.12-mRNA-1_1&gene=genemark-hib_s94-processed-gene-1.12&CDS=1-1929	YKL126W, YMR104C
OG0000521	augustus_masked-hib_s94-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.97&CDS=1-660	YDR259C, YOR028C
OG0000522	augustus_masked-hib_s94-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.113&CDS=1-1221	YHL003C, YKL008C
OG0000523	augustus_masked-hib_s94-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.9&CDS=1-1137	YOR390W, YPL279C
OG0000524	augustus_masked-hib_s94-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.13&CDS=1-2391	YIL156W, YKR098C
OG0000525	snap_masked-hib_s94-processed-gene-3.129-mRNA-1_1&gene=snap_masked-hib_s94-processed-gene-3.129&CDS=1-2739	YDR379W, YOR127W
OG0000526	augustus_masked-hib_s94-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.42&CDS=1-357	YER131W, YGL189C
OG0000527	genemark-hib_s94-processed-gene-4.32-mRNA-1_1&gene=genemark-hib_s94-processed-gene-4.32&CDS=1-516	YKL141W, YMR118C
OG0000528	augustus_masked-hib_s98-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-1.129&CDS=1-519	YLR456W, YPR172W
OG0000529	augustus_masked-hib_s98-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-2.4&CDS=1-1863	YDR146C, YLR131C
OG0000530	snap_masked-hib_s98-processed-gene-2.99-mRNA-1_1&gene=snap_masked-hib_s98-processed-gene-2.99&CDS=1-867	YLR270W, YOR173W
OG0000531	augustus_masked-hib_s98-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-2.28&CDS=1-426	YGL089C, YPL187W
OG0000532	maker-hib_s98-snap-gene-2.89-mRNA-1_1&gene=maker-hib_s98-snap-gene-2.89&CDS=1-291	YMR194W, YPL249C-A
OG0000533	augustus_masked-hib_s98-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-2.17&CDS=1-318	YHR141C, YNL162W
OG0000534	augustus_masked-hib_s98-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-2.43&CDS=1-315	YGR209C, YLR043C
OG0000535	augustus_masked-hib_s98-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-4.8&CDS=1-1113	YDR451C, YML027W
OG0000536	augustus_masked-hib_s98-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-4.31&CDS=1-1647	YDL085W, YMR145C
OG0000537	augustus_masked-hib_s98-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-4.37&CDS=1-1476	YGR256W, YHR183W
OG0000538	augustus_masked-hib_s98-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-5.111&CDS=1-573	YGL147C, YNL067W
OG0000539	augustus_masked-hib_s98-processed-gene-5.141-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-5.141&CDS=1-894	YBR105C, YGR066C
OG0000540	augustus_masked-hib_s98-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-5.129&CDS=1-870	YMR183C, YPL232W
OG0000541	augustus_masked-hib_s98-processed-gene-6.168-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-6.168&CDS=1-480	YBR191W, YPL079W
OG0000542	augustus_masked-hib_s98-processed-gene-6.204-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-6.204&CDS=1-354	YCL035C, YDR513W
OG0000543	snap_masked-hib_s106-processed-gene-0.49-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-0.49&CDS=1-1878	YGR276C
OG0000544	augustus_masked-hib_s106-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.5&CDS=1-1596	YDL160C
OG0000545	augustus_masked-hib_s106-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.6&CDS=1-1611	YMR300C
OG0000546	augustus_masked-hib_s106-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.29&CDS=1-444	YPL037C
OG0000547	augustus_masked-hib_s106-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.30&CDS=1-1035	YDL209C
OG0000548	augustus_masked-hib_s106-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.32&CDS=1-1449	YDR256C
OG0000549	augustus_masked-hib_s106-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.33&CDS=1-1149	YGL246C
OG0000550	augustus_masked-hib_s106-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.10&CDS=1-1827	YOR154W
OG0000551	augustus_masked-hib_s106-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.11&CDS=1-597	YNR049C
OG0000552	augustus_masked-hib_s106-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.35&CDS=1-1368	YCR095C
OG0000553	augustus_masked-hib_s106-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.36&CDS=1-2562	YER069W
OG0000554	augustus_masked-hib_s106-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.38&CDS=1-519	YOR252W
OG0000555	augustus_masked-hib_s106-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.13&CDS=1-507	YOR276W
OG0000556	maker-hib_s106-augustus-gene-0.91-mRNA-1_1&gene=maker-hib_s106-augustus-gene-0.91&CDS=1-3294	YOL102C
OG0000557	augustus_masked-hib_s106-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.40&CDS=1-351	YDR493W
OG0000558	augustus_masked-hib_s106-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.41&CDS=1-2172	YGR128C
OG0000559	augustus_masked-hib_s106-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.14&CDS=1-2985	YMR231W
OG0000560	augustus_masked-hib_s106-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.16&CDS=1-921	YDR233C
OG0000561	maker-hib_s106-augustus-gene-0.92-mRNA-1_1&gene=maker-hib_s106-augustus-gene-0.92&CDS=1-1689	YDL201W
OG0000562	augustus_masked-hib_s106-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.17&CDS=1-1578	YMR239C
OG0000563	augustus_masked-hib_s106-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-0.18&CDS=1-1680	YDR101C
OG0000564	maker-hib_s106-augustus-gene-1.0-mRNA-1_1&gene=maker-hib_s106-augustus-gene-1.0&CDS=1-3573	YHR107C
OG0000565	augustus_masked-hib_s106-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.8&CDS=1-852	YMR244W
OG0000566	maker-hib_s106-augustus-gene-1.2-mRNA-1_1&gene=maker-hib_s106-augustus-gene-1.2&CDS=1-4287	YDR359C
OG0000567	augustus_masked-hib_s106-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.31&CDS=1-1857	YDR091C
OG0000568	augustus_masked-hib_s106-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.10&CDS=1-4089	YER164W
OG0000569	augustus_masked-hib_s106-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.11&CDS=1-1848	YER165W
OG0000570	maker-hib_s106-augustus-gene-1.1-mRNA-1_1&gene=maker-hib_s106-augustus-gene-1.1&CDS=1-3867	YDR074W
OG0000571	augustus_masked-hib_s106-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.14&CDS=1-894	YPL094C
OG0000572	genemark-hib_s106-processed-gene-1.110-mRNA-1_1&gene=genemark-hib_s106-processed-gene-1.110&CDS=1-1455	YDR036C
OG0000573	maker-hib_s106-augustus-gene-1.3-mRNA-1_1&gene=maker-hib_s106-augustus-gene-1.3&CDS=1-3384	YLR214W
OG0000574	maker-hib_s106-augustus-gene-1.4-mRNA-1_1&gene=maker-hib_s106-augustus-gene-1.4&CDS=1-6315	YLR189C
OG0000575	augustus_masked-hib_s106-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.19&CDS=1-1710	YOR075W
OG0000576	snap_masked-hib_s106-processed-gene-1.63-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-1.63&CDS=1-1428	YPR036W
OG0000577	augustus_masked-hib_s106-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.40&CDS=1-930	YFR041C
OG0000578	snap_masked-hib_s106-processed-gene-1.67-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-1.67&CDS=1-852	YEL072W
OG0000579	augustus_masked-hib_s106-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.23&CDS=1-681	YCR020C
OG0000580	augustus_masked-hib_s106-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.24&CDS=1-285	YMR225C
OG0000581	augustus_masked-hib_s106-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.25&CDS=1-1131	YJR149W
OG0000582	augustus_masked-hib_s106-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.26&CDS=1-1143	YGR234W
OG0000583	augustus_masked-hib_s106-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.27&CDS=1-780	YLL041C
OG0000584	augustus_masked-hib_s106-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.28&CDS=1-1128	YOR388C
OG0000585	snap_masked-hib_s106-processed-gene-1.91-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-1.91&CDS=1-807	YLR407W
OG0000586	snap_masked-hib_s106-processed-gene-1.92-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-1.92&CDS=1-1473	YDL076C
OG0000587	maker-hib_s106-augustus-gene-1.5-mRNA-1_1&gene=maker-hib_s106-augustus-gene-1.5&CDS=1-5733	YLR409C
OG0000588	augustus_masked-hib_s106-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.30&CDS=1-1836	YLR401C
OG0000589	augustus_masked-hib_s106-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.118&CDS=1-594	YDL072C
OG0000590	augustus_masked-hib_s106-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.121&CDS=1-1620	YML069W
OG0000591	augustus_masked-hib_s106-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.116&CDS=1-1095	YDR158W
OG0000592	augustus_masked-hib_s106-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.117&CDS=1-6264	YDR159W
OG0000593	augustus_masked-hib_s106-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.147&CDS=1-660	YDL098C
OG0000594	augustus_masked-hib_s106-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.123&CDS=1-720	YMR156C
OG0000595	augustus_masked-hib_s106-processed-gene-2.148-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.148&CDS=1-702	YMR157C
OG0000596	augustus_masked-hib_s106-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.124&CDS=1-468	YMR158W
OG0000597	augustus_masked-hib_s106-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.125&CDS=1-1080	YLR130C
OG0000598	augustus_masked-hib_s106-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.126&CDS=1-1011	YGL115W
OG0000599	augustus_masked-hib_s106-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.127&CDS=1-2073	YGL114W
OG0000600	augustus_masked-hib_s106-processed-gene-2.150-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.150&CDS=1-2709	YBR233W
OG0000601	augustus_masked-hib_s106-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.129&CDS=1-1197	YGR185C
OG0000602	augustus_masked-hib_s106-processed-gene-2.153-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.153&CDS=1-684	YDR302W
OG0000603	augustus_masked-hib_s106-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.154&CDS=1-4050	YDR301W
OG0000604	augustus_masked-hib_s106-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.131&CDS=1-636	YBL040C
OG0000605	augustus_masked-hib_s106-processed-gene-2.156-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.156&CDS=1-723	YBL041W
OG0000606	augustus_masked-hib_s106-processed-gene-2.157-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.157&CDS=1-294	YGR181W
OG0000607	genemark-hib_s106-processed-gene-2.19-mRNA-1_1&gene=genemark-hib_s106-processed-gene-2.19&CDS=1-2238	YPL109C
OG0000608	augustus_masked-hib_s106-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.133&CDS=1-717	YAL049C
OG0000609	augustus_masked-hib_s106-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.135&CDS=1-1107	YGR187C
OG0000610	augustus_masked-hib_s106-processed-gene-2.158-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.158&CDS=1-1683	YGR186W
OG0000611	augustus_masked-hib_s106-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.137&CDS=1-1218	YJR013W
OG0000612	augustus_masked-hib_s106-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.138&CDS=1-732	YGR195W
OG0000613	augustus_masked-hib_s106-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.139&CDS=1-1008	YGR284C
OG0000614	augustus_masked-hib_s106-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.140&CDS=1-735	YKL087C
OG0000615	augustus_masked-hib_s106-processed-gene-2.162-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.162&CDS=1-1317	YMR220W
OG0000616	augustus_masked-hib_s106-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.141&CDS=1-1335	YBR166C
OG0000617	augustus_masked-hib_s106-processed-gene-2.163-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.163&CDS=1-555	YBR164C
OG0000618	augustus_masked-hib_s106-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.142&CDS=1-591	YMR311C
OG0000619	augustus_masked-hib_s106-processed-gene-2.164-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.164&CDS=1-1314	YGR285C
OG0000620	augustus_masked-hib_s106-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-2.143&CDS=1-1695	YBR158W
OG0000621	snap_masked-hib_s106-processed-gene-2.115-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-2.115&CDS=1-2265	YOL076W
OG0000622	snap_masked-hib_s106-processed-gene-3.60-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-3.60&CDS=1-678	YOR283W
OG0000623	augustus_masked-hib_s106-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.135&CDS=1-1710	YNL115C
OG0000624	augustus_masked-hib_s106-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.113&CDS=1-990	YGL212W
OG0000625	augustus_masked-hib_s106-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.136&CDS=1-1299	YER152C
OG0000626	augustus_masked-hib_s106-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.137&CDS=1-1431	YNL206C
OG0000627	augustus_masked-hib_s106-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.116&CDS=1-2811	YER151C
OG0000628	augustus_masked-hib_s106-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.139&CDS=1-2280	YNL221C
OG0000629	maker-hib_s106-augustus-gene-3.160-mRNA-1_1&gene=maker-hib_s106-augustus-gene-3.160&CDS=1-1908	YNL222W
OG0000630	augustus_masked-hib_s106-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.117&CDS=1-2310	YNL224C
OG0000631	augustus_masked-hib_s106-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.141&CDS=1-1650	YNL227C
OG0000632	maker-hib_s106-augustus-gene-3.158-mRNA-1_1&gene=maker-hib_s106-augustus-gene-3.158&CDS=1-2838	YER087W
OG0000633	augustus_masked-hib_s106-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.143&CDS=1-273	YER019C-A
OG0000634	augustus_masked-hib_s106-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-3.119&CDS=1-2055	YBL051C
