	Ambrosiozyma_monospora	Saccharomyces_cerevisiae
OG0000142	-processed-gene-0.101-mRNA-1_1&gene=genemark-gi|1002318515|dbj|BCIP01000046.1|-processed-gene-0.101&CDS=1-840, -processed-gene-0.5-mRNA-1_1&gene=genemark-gi|1002318492|dbj|BCIP01000069.1|-processed-gene-0.5&CDS=1-840	YGR271C-A
OG0000143	-processed-gene-0.29-mRNA-1_1&gene=genemark-gi|1002318496|dbj|BCIP01000065.1|-processed-gene-0.29&CDS=1-1173, -processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-0.8&CDS=1-2133	YPR048W
OG0000144	-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002318497|dbj|BCIP01000064.1|-processed-gene-0.36&CDS=1-4212	YAR042W, YDL019C
OG0000145	-processed-gene-0.39-mRNA-1_1&gene=genemark-gi|1002318498|dbj|BCIP01000063.1|-processed-gene-0.39&CDS=1-1761	YHL017W, YKL039W
OG0000146	-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-gi|1002318498|dbj|BCIP01000063.1|-processed-gene-0.28&CDS=1-2574, -processed-gene-6.74-mRNA-1_1&gene=genemark-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-6.74&CDS=1-2442	YDL106C
OG0000147	-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-gi|1002318498|dbj|BCIP01000063.1|-processed-gene-0.29&CDS=1-4704, -processed-gene-6.41-mRNA-1_1&gene=snap_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-6.41&CDS=1-6063	YJL049W
OG0000148	-processed-gene-0.5-mRNA-1_1&gene=snap_masked-gi|1002318498|dbj|BCIP01000063.1|-processed-gene-0.5&CDS=1-1020, -processed-gene-6.27-mRNA-1_1&gene=augustus_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-6.27&CDS=1-1131	YHR144C
OG0000149	-processed-gene-0.52-mRNA-1_1&gene=genemark-gi|1002318499|dbj|BCIP01000062.1|-processed-gene-0.52&CDS=1-795	YIR035C, YIR036C
OG0000150	-processed-gene-0.15-mRNA-1_1&gene=snap_masked-gi|1002318500|dbj|BCIP01000061.1|-processed-gene-0.15&CDS=1-2070	YBR273C, YJL048C
OG0000151	-processed-gene-0.37-mRNA-1_1&gene=genemark-gi|1002318501|dbj|BCIP01000060.1|-processed-gene-0.37&CDS=1-963, -processed-gene-5.141-mRNA-1_1&gene=genemark-gi|1002318547|dbj|BCIP01000014.1|-processed-gene-5.141&CDS=1-963	YHR104W
OG0000152	-processed-gene-0.9-mRNA-1_1&gene=snap_masked-gi|1002318501|dbj|BCIP01000060.1|-processed-gene-0.9&CDS=1-2226	YDR351W, YHR103W
OG0000153	-augustus-gene-0.34-mRNA-1_1&gene=maker-gi|1002318501|dbj|BCIP01000060.1|-augustus-gene-0.34&CDS=1-3258, -processed-gene-1.68-mRNA-1_1&gene=genemark-gi|1002318540|dbj|BCIP01000021.1|-processed-gene-1.68&CDS=1-1464	YKL221W
OG0000154	-processed-gene-0.25-mRNA-1_1&gene=genemark-gi|1002318503|dbj|BCIP01000058.1|-processed-gene-0.25&CDS=1-2043, -processed-gene-0.67-mRNA-1_1&gene=genemark-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-0.67&CDS=1-2178	YCL057W
OG0000155	-processed-gene-0.20-mRNA-1_1&gene=genemark-gi|1002318503|dbj|BCIP01000058.1|-processed-gene-0.20&CDS=1-1770, -processed-gene-4.50-mRNA-1_1&gene=genemark-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-4.50&CDS=1-1803	YBR296C
OG0000156	-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-gi|1002318504|dbj|BCIP01000057.1|-processed-gene-0.28&CDS=1-1191, -processed-gene-0.43-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.43&CDS=1-1845	YFL053W
OG0000157	-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-gi|1002318504|dbj|BCIP01000057.1|-processed-gene-0.13&CDS=1-2553, -snap-gene-0.2-mRNA-1_1&gene=maker-gi|1002318560|dbj|BCIP01000001.1|-snap-gene-0.2&CDS=1-2322	YIL038C
OG0000158	-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-gi|1002318504|dbj|BCIP01000057.1|-processed-gene-0.14&CDS=1-3240, -processed-gene-0.89-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.89&CDS=1-1488	YHR065C
OG0000159	-snap-gene-0.3-mRNA-1_1&gene=maker-gi|1002318504|dbj|BCIP01000057.1|-snap-gene-0.3&CDS=1-945	YBR014C, YDL010W
OG0000160	-processed-gene-0.83-mRNA-1_1&gene=genemark-gi|1002318504|dbj|BCIP01000057.1|-processed-gene-0.83&CDS=1-465	YBR048W, YDR025W
OG0000161	-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-gi|1002318505|dbj|BCIP01000056.1|-processed-gene-0.40&CDS=1-3261	YLR450W, YML075C
OG0000162	-processed-gene-0.51-mRNA-1_1&gene=genemark-gi|1002318506|dbj|BCIP01000055.1|-processed-gene-0.51&CDS=1-2013	YGR138C, YPR156C
OG0000163	-processed-gene-0.69-mRNA-1_1&gene=genemark-gi|1002318506|dbj|BCIP01000055.1|-processed-gene-0.69&CDS=1-2259	YER064C, YIL056W
OG0000164	-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-gi|1002318506|dbj|BCIP01000055.1|-processed-gene-0.24&CDS=1-4566, -processed-gene-1.47-mRNA-1_1&gene=augustus_masked-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-1.47&CDS=1-2655	YMR066W
OG0000165	-processed-gene-0.61-mRNA-1_1&gene=genemark-gi|1002318507|dbj|BCIP01000054.1|-processed-gene-0.61&CDS=1-975	YDL048C, YLR375W
OG0000166	-processed-gene-0.92-mRNA-1_1&gene=genemark-gi|1002318507|dbj|BCIP01000054.1|-processed-gene-0.92&CDS=1-603, -snap-gene-0.27-mRNA-1_1&gene=maker-gi|1002318508|dbj|BCIP01000053.1|-snap-gene-0.27&CDS=1-588	YDR032C
OG0000167	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|1002318509|dbj|BCIP01000052.1|-processed-gene-0.11&CDS=1-360	YMR230W, YOR293W
OG0000168	-processed-gene-0.90-mRNA-1_1&gene=genemark-gi|1002318510|dbj|BCIP01000051.1|-processed-gene-0.90&CDS=1-804, -processed-gene-0.97-mRNA-1_1&gene=genemark-gi|1002318510|dbj|BCIP01000051.1|-processed-gene-0.97&CDS=1-747	YLR326W
OG0000169	-processed-gene-0.104-mRNA-1_1&gene=genemark-gi|1002318510|dbj|BCIP01000051.1|-processed-gene-0.104&CDS=1-600	YBL072C, YER102W
OG0000170	-processed-gene-0.85-mRNA-1_1&gene=genemark-gi|1002318510|dbj|BCIP01000051.1|-processed-gene-0.85&CDS=1-978	YBL068W, YER099C
OG0000171	-processed-gene-0.86-mRNA-1_1&gene=genemark-gi|1002318510|dbj|BCIP01000051.1|-processed-gene-0.86&CDS=1-2793	YBL067C, YER098W
OG0000172	-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-gi|1002318510|dbj|BCIP01000051.1|-processed-gene-0.71&CDS=1-381, -processed-gene-2.106-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.106&CDS=1-321	YBL001C
OG0000173	-processed-gene-0.113-mRNA-1_1&gene=genemark-gi|1002318511|dbj|BCIP01000050.1|-processed-gene-0.113&CDS=1-960, -processed-gene-1.82-mRNA-1_1&gene=augustus_masked-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-1.82&CDS=1-897	YBR176W
OG0000174	-processed-gene-0.92-mRNA-1_1&gene=genemark-gi|1002318511|dbj|BCIP01000050.1|-processed-gene-0.92&CDS=1-939	YCR073W-A, YNR034W
OG0000175	-processed-gene-0.97-mRNA-1_1&gene=genemark-gi|1002318511|dbj|BCIP01000050.1|-processed-gene-0.97&CDS=1-513	YGR131W, YPR149W
OG0000176	-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-gi|1002318512|dbj|BCIP01000049.1|-processed-gene-0.76&CDS=1-1833	YDR358W, YHR108W
OG0000177	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-0.11&CDS=1-801, -processed-gene-0.126-mRNA-1_1&gene=genemark-gi|1002318512|dbj|BCIP01000049.1|-processed-gene-0.126&CDS=1-1020	YHR134W
OG0000178	-processed-gene-0.127-mRNA-1_1&gene=genemark-gi|1002318512|dbj|BCIP01000049.1|-processed-gene-0.127&CDS=1-1017, -processed-gene-0.27-mRNA-1_1&gene=augustus_masked-gi|1002318546|dbj|BCIP01000015.1|-processed-gene-0.27&CDS=1-930	YNR003C
OG0000179	-processed-gene-0.40-mRNA-1_1&gene=snap_masked-gi|1002318512|dbj|BCIP01000049.1|-processed-gene-0.40&CDS=1-435	YER074W, YIL069C
OG0000180	-processed-gene-0.72-mRNA-1_1&gene=genemark-gi|1002318513|dbj|BCIP01000048.1|-processed-gene-0.72&CDS=1-2700	YJR054W, YML047C
OG0000181	-processed-gene-0.95-mRNA-1_1&gene=genemark-gi|1002318513|dbj|BCIP01000048.1|-processed-gene-0.95&CDS=1-2820	YHR131C, YNL144C
OG0000182	-processed-gene-0.98-mRNA-1_1&gene=genemark-gi|1002318513|dbj|BCIP01000048.1|-processed-gene-0.98&CDS=1-2298	YDR505C, YLR177W
OG0000183	-processed-gene-0.100-mRNA-1_1&gene=genemark-gi|1002318513|dbj|BCIP01000048.1|-processed-gene-0.100&CDS=1-1602, -processed-gene-0.13-mRNA-1_1&gene=genemark-gi|1002318537|dbj|BCIP01000024.1|-processed-gene-0.13&CDS=1-1602	YJR152W
OG0000184	-processed-gene-0.6-mRNA-1_1&gene=genemark-gi|1002318538|dbj|BCIP01000023.1|-processed-gene-0.6&CDS=1-927, -processed-gene-0.91-mRNA-1_1&gene=genemark-gi|1002318514|dbj|BCIP01000047.1|-processed-gene-0.91&CDS=1-930	YHR142W
OG0000185	-processed-gene-0.100-mRNA-1_1&gene=genemark-gi|1002318514|dbj|BCIP01000047.1|-processed-gene-0.100&CDS=1-2403	YGL139W, YPL221W
OG0000186	-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-gi|1002318514|dbj|BCIP01000047.1|-processed-gene-0.59&CDS=1-3441	YAL056W, YOR371C
OG0000187	-processed-gene-0.124-mRNA-1_1&gene=genemark-gi|1002318514|dbj|BCIP01000047.1|-processed-gene-0.124&CDS=1-612, -processed-gene-0.127-mRNA-1_1&gene=genemark-gi|1002318514|dbj|BCIP01000047.1|-processed-gene-0.127&CDS=1-2094	YDR143C
OG0000188	-processed-gene-0.110-mRNA-1_1&gene=genemark-gi|1002318514|dbj|BCIP01000047.1|-processed-gene-0.110&CDS=1-3225, -processed-gene-3.36-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-3.36&CDS=1-2322	YNR067C
OG0000189	-processed-gene-0.8-mRNA-1_1&gene=snap_masked-gi|1002318515|dbj|BCIP01000046.1|-processed-gene-0.8&CDS=1-933, -processed-gene-0.9-mRNA-1_1&gene=snap_masked-gi|1002318515|dbj|BCIP01000046.1|-processed-gene-0.9&CDS=1-702	YEL072W
OG0000190	-processed-gene-0.38-mRNA-1_1&gene=snap_masked-gi|1002318515|dbj|BCIP01000046.1|-processed-gene-0.38&CDS=1-1476	YDR300C, YHR033W
OG0000191	-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-gi|1002318515|dbj|BCIP01000046.1|-processed-gene-0.60&CDS=1-732	YDR066C, YER139C
OG0000192	-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-gi|1002318516|dbj|BCIP01000045.1|-processed-gene-0.73&CDS=1-591	YDL082W, YMR142C
OG0000193	-processed-gene-0.27-mRNA-1_1&gene=genemark-gi|1002318517|dbj|BCIP01000044.1|-processed-gene-0.27&CDS=1-639, -processed-gene-0.39-mRNA-1_1&gene=genemark-gi|1002318551|dbj|BCIP01000010.1|-processed-gene-0.39&CDS=1-627	YIR032C
OG0000194	-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-gi|1002318517|dbj|BCIP01000044.1|-processed-gene-0.150&CDS=1-699, -processed-gene-6.56-mRNA-1_1&gene=augustus_masked-gi|1002318549|dbj|BCIP01000012.1|-processed-gene-6.56&CDS=1-699	YGR152C
OG0000195	-processed-gene-0.125-mRNA-1_1&gene=genemark-gi|1002318518|dbj|BCIP01000043.1|-processed-gene-0.125&CDS=1-1395	YGL082W, YPL191C
OG0000196	-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-gi|1002318519|dbj|BCIP01000042.1|-processed-gene-0.65&CDS=1-2175, -processed-gene-1.39-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.39&CDS=1-702	YMR134W
OG0000197	-snap-gene-0.158-mRNA-1_1&gene=maker-gi|1002318519|dbj|BCIP01000042.1|-snap-gene-0.158&CDS=1-2499	YGR241C, YHR161C
OG0000198	-processed-gene-0.93-mRNA-1_1&gene=genemark-gi|1002318520|dbj|BCIP01000041.1|-processed-gene-0.93&CDS=1-1257, -processed-gene-6.83-mRNA-1_1&gene=snap_masked-gi|1002318555|dbj|BCIP01000006.1|-processed-gene-6.83&CDS=1-1446	YLR149C
OG0000199	-augustus-gene-0.141-mRNA-1_1&gene=maker-gi|1002318520|dbj|BCIP01000041.1|-augustus-gene-0.141&CDS=1-2721	YGR010W, YLR328W
OG0000200	-processed-gene-0.95-mRNA-1_1&gene=genemark-gi|1002318520|dbj|BCIP01000041.1|-processed-gene-0.95&CDS=1-549	YLR456W, YPR172W
OG0000201	-processed-gene-0.111-mRNA-1_1&gene=genemark-gi|1002318520|dbj|BCIP01000041.1|-processed-gene-0.111&CDS=1-1176, -processed-gene-4.82-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-4.82&CDS=1-1176	YGR234W
OG0000202	-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-gi|1002318521|dbj|BCIP01000040.1|-processed-gene-0.17&CDS=1-837	YBR278W, YJL065C
OG0000203	-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-gi|1002318521|dbj|BCIP01000040.1|-processed-gene-0.19&CDS=1-954, -processed-gene-1.58-mRNA-1_1&gene=genemark-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-1.58&CDS=1-954	YJR070C
OG0000204	-processed-gene-0.149-mRNA-1_1&gene=genemark-gi|1002318521|dbj|BCIP01000040.1|-processed-gene-0.149&CDS=1-369, -processed-gene-1.34-mRNA-1_1&gene=genemark-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-1.34&CDS=1-369	YJR063W
OG0000205	-processed-gene-0.95-mRNA-1_1&gene=snap_masked-gi|1002318521|dbj|BCIP01000040.1|-processed-gene-0.95&CDS=1-1998, -processed-gene-1.91-mRNA-1_1&gene=snap_masked-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-1.91&CDS=1-1998	YHR207C
OG0000206	-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-gi|1002318521|dbj|BCIP01000040.1|-processed-gene-0.44&CDS=1-1542, -processed-gene-1.140-mRNA-1_1&gene=augustus_masked-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-1.140&CDS=1-3723	YLR240W
OG0000207	-snap-gene-0.163-mRNA-1_1&gene=maker-gi|1002318522|dbj|BCIP01000039.1|-snap-gene-0.163&CDS=1-2226, -snap-gene-7.191-mRNA-1_1&gene=maker-gi|1002318556|dbj|BCIP01000005.1|-snap-gene-7.191&CDS=1-2163	YLR130C
OG0000208	-processed-gene-0.158-mRNA-1_1&gene=genemark-gi|1002318522|dbj|BCIP01000039.1|-processed-gene-0.158&CDS=1-312	YCL035C, YDR513W
OG0000209	-processed-gene-7.35-mRNA-1_1&gene=genemark-gi|1002318555|dbj|BCIP01000006.1|-processed-gene-7.35&CDS=1-1086, -snap-gene-0.192-mRNA-1_1&gene=maker-gi|1002318523|dbj|BCIP01000038.1|-snap-gene-0.192&CDS=1-1158	YPR025C
OG0000210	-processed-gene-0.10-mRNA-1_1&gene=genemark-gi|1002318523|dbj|BCIP01000038.1|-processed-gene-0.10&CDS=1-1032, -processed-gene-0.6-mRNA-1_1&gene=genemark-gi|1002318544|dbj|BCIP01000017.1|-processed-gene-0.6&CDS=1-1032	YBR046C
OG0000211	-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-gi|1002318523|dbj|BCIP01000038.1|-processed-gene-0.140&CDS=1-483	YER057C, YIL051C
OG0000212	-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-gi|1002318523|dbj|BCIP01000038.1|-processed-gene-0.141&CDS=1-333	YER056C-A, YIL052C
OG0000213	-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-gi|1002318523|dbj|BCIP01000038.1|-processed-gene-0.143&CDS=1-2676	YER059W, YIL050W
OG0000214	-processed-gene-0.66-mRNA-1_1&gene=genemark-gi|1002318524|dbj|BCIP01000037.1|-processed-gene-0.66&CDS=1-630, -processed-gene-6.121-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-6.121&CDS=1-717	YKL195W
OG0000215	-processed-gene-0.69-mRNA-1_1&gene=genemark-gi|1002318524|dbj|BCIP01000037.1|-processed-gene-0.69&CDS=1-1482	YBR241C, YGL104C
OG0000216	-processed-gene-1.86-mRNA-1_1&gene=genemark-gi|1002318524|dbj|BCIP01000037.1|-processed-gene-1.86&CDS=1-528	YBR244W, YIR037W
OG0000217	-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-gi|1002318524|dbj|BCIP01000037.1|-processed-gene-1.35&CDS=1-441	YBR082C, YDR059C
OG0000218	-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-gi|1002318524|dbj|BCIP01000037.1|-processed-gene-1.16&CDS=1-987, -snap-gene-3.2-mRNA-1_1&gene=maker-gi|1002318545|dbj|BCIP01000016.1|-snap-gene-3.2&CDS=1-3141	YIL124W
OG0000219	-processed-gene-1.124-mRNA-1_1&gene=genemark-gi|1002318524|dbj|BCIP01000037.1|-processed-gene-1.124&CDS=1-1905, -processed-gene-2.45-mRNA-1_1&gene=genemark-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-2.45&CDS=1-1905	YKL029C
OG0000220	-processed-gene-1.13-mRNA-1_1&gene=genemark-gi|1002318526|dbj|BCIP01000035.1|-processed-gene-1.13&CDS=1-1356, -snap-gene-1.110-mRNA-1_1&gene=maker-gi|1002318526|dbj|BCIP01000035.1|-snap-gene-1.110&CDS=1-1071	YOR166C
OG0000221	-processed-gene-1.53-mRNA-1_1&gene=snap_masked-gi|1002318526|dbj|BCIP01000035.1|-processed-gene-1.53&CDS=1-2121	YMR172W, YOL116W
OG0000222	-processed-gene-1.23-mRNA-1_1&gene=genemark-gi|1002318526|dbj|BCIP01000035.1|-processed-gene-1.23&CDS=1-1563, -processed-gene-1.65-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-1.65&CDS=1-1587	YBR286W
OG0000223	-processed-gene-1.71-mRNA-1_1&gene=snap_masked-gi|1002318527|dbj|BCIP01000034.1|-processed-gene-1.71&CDS=1-3678, -processed-gene-6.172-mRNA-1_1&gene=genemark-gi|1002318553|dbj|BCIP01000008.1|-processed-gene-6.172&CDS=1-3186	YDR325W
OG0000224	-processed-gene-1.18-mRNA-1_1&gene=genemark-gi|1002318527|dbj|BCIP01000034.1|-processed-gene-1.18&CDS=1-2313	YDR264C, YOR034C
OG0000225	-processed-gene-0.66-mRNA-1_1&gene=genemark-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-0.66&CDS=1-1731, -processed-gene-1.96-mRNA-1_1&gene=genemark-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-1.96&CDS=1-1737	YBR180W
OG0000226	-processed-gene-1.12-mRNA-1_1&gene=snap_masked-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-1.12&CDS=1-4263, -processed-gene-5.115-mRNA-1_1&gene=augustus_masked-gi|1002318543|dbj|BCIP01000018.1|-processed-gene-5.115&CDS=1-714	YOL051W
OG0000227	-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-1.62&CDS=1-1020, -processed-gene-4.70-mRNA-1_1&gene=augustus_masked-gi|1002318542|dbj|BCIP01000019.1|-processed-gene-4.70&CDS=1-1341	YLR414C
OG0000228	-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-0.37&CDS=1-552, -processed-gene-1.67-mRNA-1_1&gene=augustus_masked-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-1.67&CDS=1-552	YDL217C
OG0000229	-processed-gene-0.21-mRNA-1_1&gene=genemark-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-0.21&CDS=1-1077, -processed-gene-1.135-mRNA-1_1&gene=genemark-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-1.135&CDS=1-1077	YNL191W
OG0000230	-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-0.49&CDS=1-480, -processed-gene-1.89-mRNA-1_1&gene=augustus_masked-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-1.89&CDS=1-480	YDL219W
OG0000231	-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-gi|1002318539|dbj|BCIP01000022.1|-processed-gene-0.39&CDS=1-1617, -processed-gene-1.69-mRNA-1_1&gene=augustus_masked-gi|1002318528|dbj|BCIP01000033.1|-processed-gene-1.69&CDS=1-1617	YNL189W
OG0000232	-processed-gene-0.25-mRNA-1_1&gene=genemark-gi|1002318529|dbj|BCIP01000032.1|-processed-gene-0.25&CDS=1-771, -processed-gene-4.60-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-4.60&CDS=1-768	YOL154W
OG0000233	-processed-gene-0.25-mRNA-1_1&gene=genemark-gi|1002318530|dbj|BCIP01000031.1|-processed-gene-0.25&CDS=1-471	YEL034W, YJR047C
OG0000234	-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-gi|1002318530|dbj|BCIP01000031.1|-processed-gene-0.51&CDS=1-786	YHR203C, YJR145C
OG0000235	-processed-gene-3.1-mRNA-1_1&gene=genemark-gi|1002318558|dbj|BCIP01000003.1|-processed-gene-3.1&CDS=1-951, -snap-gene-0.4-mRNA-1_1&gene=maker-gi|1002318530|dbj|BCIP01000031.1|-snap-gene-0.4&CDS=1-1845	YJR142W
OG0000236	-processed-gene-1.158-mRNA-1_1&gene=genemark-gi|1002318530|dbj|BCIP01000031.1|-processed-gene-1.158&CDS=1-1113, -processed-gene-2.71-mRNA-1_1&gene=genemark-gi|1002318548|dbj|BCIP01000013.1|-processed-gene-2.71&CDS=1-3945	YPL115C
OG0000237	-processed-gene-1.131-mRNA-1_1&gene=genemark-gi|1002318530|dbj|BCIP01000031.1|-processed-gene-1.131&CDS=1-537	YKL141W, YMR118C
OG0000238	-processed-gene-1.165-mRNA-1_1&gene=genemark-gi|1002318530|dbj|BCIP01000031.1|-processed-gene-1.165&CDS=1-1731	YJR130C, YML082W
OG0000239	-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-gi|1002318530|dbj|BCIP01000031.1|-processed-gene-1.79&CDS=1-1296	YJL110C, YKR034W
OG0000240	-processed-gene-1.150-mRNA-1_1&gene=genemark-gi|1002318530|dbj|BCIP01000031.1|-processed-gene-1.150&CDS=1-1380	YJL134W, YKR053C
OG0000241	-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-gi|1002318530|dbj|BCIP01000031.1|-processed-gene-1.120&CDS=1-1518, -processed-gene-2.39-mRNA-1_1&gene=genemark-gi|1002318535|dbj|BCIP01000026.1|-processed-gene-2.39&CDS=1-1335	YPR125W
OG0000242	-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-gi|1002318531|dbj|BCIP01000030.1|-processed-gene-0.42&CDS=1-249, -processed-gene-2.1-mRNA-1_1&gene=genemark-gi|1002318541|dbj|BCIP01000020.1|-processed-gene-2.1&CDS=1-390	YNL208W
OG0000243	-processed-gene-0.18-mRNA-1_1&gene=genemark-gi|1002318531|dbj|BCIP01000030.1|-processed-gene-0.18&CDS=1-1974, -processed-gene-6.136-mRNA-1_1&gene=genemark-gi|1002318552|dbj|BCIP01000009.1|-processed-gene-6.136&CDS=1-1782	YBR293W
OG0000244	-processed-gene-1.19-mRNA-1_1&gene=genemark-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-1.19&CDS=1-1599, -processed-gene-1.61-mRNA-1_1&gene=genemark-gi|1002318532|dbj|BCIP01000029.1|-processed-gene-1.61&CDS=1-1683	YGL077C
OG0000245	-augustus-gene-1.0-mRNA-1_1&gene=maker-gi|1002318533|dbj|BCIP01000028.1|-augustus-gene-1.0&CDS=1-4542	YDR272W, YOR040W
OG0000246	-processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-2.14&CDS=1-1866, -processed-gene-6.120-mRNA-1_1&gene=genemark-gi|1002318550|dbj|BCIP01000011.1|-processed-gene-6.120&CDS=1-1824	YKR093W
OG0000247	-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-2.82&CDS=1-999, -processed-gene-7.119-mRNA-1_1&gene=genemark-gi|1002318554|dbj|BCIP01000007.1|-processed-gene-7.119&CDS=1-1059	YOR130C
OG0000248	-processed-gene-2.28-mRNA-1_1&gene=genemark-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-2.28&CDS=1-1260	YOR237W, YPL145C
OG0000249	-processed-gene-2.52-mRNA-1_1&gene=genemark-gi|1002318533|dbj|BCIP01000028.1|-processed-gene-2.52&CDS=1-4872	YCR073C, YNR031C
OG0000250	-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-0.22&CDS=1-849	YIL114C, YNL055C
OG0000251	-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-0.14&CDS=1-1482	YGR121C, YPR138C
OG0000252	-processed-gene-1.67-mRNA-1_1&gene=genemark-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-1.67&CDS=1-1173	YDL222C, YNL194C
OG0000253	-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-1.52&CDS=1-1446	YGR108W, YPR119W
OG0000254	-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-1.54&CDS=1-1446	YNL108C, YOR110W
OG0000255	-snap-gene-2.4-mRNA-1_1&gene=maker-gi|1002318534|dbj|BCIP01000027.1|-snap-gene-2.4&CDS=1-2412	YAL015C, YOL043C
OG0000256	-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-gi|1002318534|dbj|BCIP01000027.1|-processed-gene-2.138&CDS=1-2163	YIL113W, YNL053W
OG0000257	-snap-gene-2.7-mRNA-1_1&gene=maker-gi|1002318534|dbj|BCIP01000027.1|-snap-gene-2.7&CDS=1-2091	YLR287C-A, YOR182C
