	Metschnikowia_hawaiiensis	Saccharomyces_cerevisiae
OG0000174	snap_masked-haw-_s319-processed-gene-0.11-mRNA-1_1&gene=snap_masked-haw-_s319-processed-gene-0.11&CDS=1-1353, snap_masked-haw-_s456-processed-gene-0.117-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.117&CDS=1-1227	YLR090W, YNL064C
OG0000175	maker-haw-_s326-snap-gene-0.3-mRNA-1_1&gene=maker-haw-_s326-snap-gene-0.3&CDS=1-4641, snap_masked-haw-_s482-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s482-processed-gene-0.7&CDS=1-5493	YHR023W, YOR326W
OG0000176	augustus_masked-haw-_s4-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-haw-_s4-processed-gene-1.12&CDS=1-2088, snap_masked-haw-_s329-processed-gene-2.81-mRNA-1_1&gene=snap_masked-haw-_s329-processed-gene-2.81&CDS=1-1194	YCL039W, YKL021C
OG0000177	snap_masked-haw-_s329-processed-gene-2.93-mRNA-1_1&gene=snap_masked-haw-_s329-processed-gene-2.93&CDS=1-2247, snap_masked-haw-_s543-processed-gene-0.5-mRNA-1_1&gene=snap_masked-haw-_s543-processed-gene-0.5&CDS=1-2472	YAR035W, YER024W
OG0000178	snap_masked-haw-_s34-processed-gene-0.23-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-0.23&CDS=1-267, snap_masked-haw-_s663-processed-gene-0.20-mRNA-1_1&gene=snap_masked-haw-_s663-processed-gene-0.20&CDS=1-324	YBR091C, YHR005C-A
OG0000179	augustus_masked-haw-_s4-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-haw-_s4-processed-gene-1.53&CDS=1-2595, snap_masked-haw-_s34-processed-gene-0.29-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-0.29&CDS=1-2172	YOR018W, YPL094C
OG0000180	snap_masked-haw-_s34-processed-gene-0.13-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-0.13&CDS=1-3249	YDR038C, YDR039C, YDR040C
OG0000181	snap_masked-haw-_s34-processed-gene-2.81-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-2.81&CDS=1-1371, snap_masked-haw-_s93-processed-gene-0.47-mRNA-1_1&gene=snap_masked-haw-_s93-processed-gene-0.47&CDS=1-1371	YEL036C, YML115C
OG0000182	augustus_masked-haw-_s344-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-haw-_s344-processed-gene-0.55&CDS=1-711, maker-haw-_s426-augustus-gene-0.1-mRNA-1_1&gene=maker-haw-_s426-augustus-gene-0.1&CDS=1-804	YHR090C, YOR064C
OG0000183	snap_masked-haw-_s359-processed-gene-0.144-mRNA-1_1&gene=snap_masked-haw-_s359-processed-gene-0.144&CDS=1-2361	YBL005W, YER184C, YGL013C
OG0000184	snap_masked-haw-_s39-processed-gene-0.23-mRNA-1_1&gene=snap_masked-haw-_s39-processed-gene-0.23&CDS=1-2016, snap_masked-haw-_s586-processed-gene-0.40-mRNA-1_1&gene=snap_masked-haw-_s586-processed-gene-0.40&CDS=1-2034	YAL054C, YLR153C
OG0000185	maker-haw-_s451-augustus-gene-0.3-mRNA-1_1&gene=maker-haw-_s451-augustus-gene-0.3&CDS=1-4410, snap_masked-haw-_s4-processed-gene-1.90-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-1.90&CDS=1-1878	YLR188W, YOL057W
OG0000186	snap_masked-haw-_s4-processed-gene-1.95-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-1.95&CDS=1-1386, snap_masked-haw-_s81-processed-gene-0.60-mRNA-1_1&gene=snap_masked-haw-_s81-processed-gene-0.60&CDS=1-1422	YJL081C, YPR034W
OG0000187	maker-haw-_s442-snap-gene-1.150-mRNA-1_1&gene=maker-haw-_s442-snap-gene-1.150&CDS=1-1533, snap_masked-haw-_s4-processed-gene-1.161-mRNA-1_1&gene=snap_masked-haw-_s4-processed-gene-1.161&CDS=1-1326	YBR239C, YJL103C
OG0000188	augustus_masked-haw-_s4-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-haw-_s4-processed-gene-1.79&CDS=1-1032	YCR102C, YLR460C, YNL134C
OG0000189	augustus_masked-haw-_s43-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-haw-_s43-processed-gene-0.68&CDS=1-2382, snap_masked-haw-_s463-processed-gene-0.38-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.38&CDS=1-1305	YGR159C, YPL190C
OG0000190	snap_masked-haw-_s43-processed-gene-0.54-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.54&CDS=1-993, snap_masked-haw-_s49-processed-gene-0.64-mRNA-1_1&gene=snap_masked-haw-_s49-processed-gene-0.64&CDS=1-1032	YDR541C, YOL151W
OG0000191	maker-haw-_s82-snap-gene-0.2-mRNA-1_1&gene=maker-haw-_s82-snap-gene-0.2&CDS=1-1314, snap_masked-haw-_s442-processed-gene-1.33-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.33&CDS=1-606	YDR002W, YLR335W
OG0000192	maker-haw-_s89-augustus-gene-0.1-mRNA-1_1&gene=maker-haw-_s89-augustus-gene-0.1&CDS=1-2229, snap_masked-haw-_s45-processed-gene-0.33-mRNA-1_1&gene=snap_masked-haw-_s45-processed-gene-0.33&CDS=1-1467	YBR263W, YLR058C
OG0000193	augustus_masked-haw-_s463-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-haw-_s463-processed-gene-1.170&CDS=1-1506, snap_masked-haw-_s605-processed-gene-0.2-mRNA-1_1&gene=snap_masked-haw-_s605-processed-gene-0.2&CDS=1-783	YLR285W, YNL320W
OG0000194	snap_masked-haw-_s463-processed-gene-1.104-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.104&CDS=1-1281, snap_masked-haw-_s560-processed-gene-0.47-mRNA-1_1&gene=snap_masked-haw-_s560-processed-gene-0.47&CDS=1-336	YHR179W, YPL171C
OG0000195	snap_masked-haw-_s463-processed-gene-1.159-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.159&CDS=1-897, snap_masked-haw-_s463-processed-gene-1.160-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.160&CDS=1-780	YCL036W, YDR514C
OG0000196	maker-haw-_s494-snap-gene-0.1-mRNA-1_1&gene=maker-haw-_s494-snap-gene-0.1&CDS=1-2517, snap_masked-haw-_s47-processed-gene-0.86-mRNA-1_1&gene=snap_masked-haw-_s47-processed-gene-0.86&CDS=1-2067	YKR001C, YLL001W
OG0000197	augustus_masked-haw-_s485-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-haw-_s485-processed-gene-0.1&CDS=1-2571, snap_masked-haw-_s74-processed-gene-0.1-mRNA-1_1&gene=snap_masked-haw-_s74-processed-gene-0.1&CDS=1-2574	YLL005C, YMR266W
OG0000198	snap_masked-haw-_s560-processed-gene-0.82-mRNA-1_1&gene=snap_masked-haw-_s560-processed-gene-0.82&CDS=1-996	YGR192C, YJL052W, YJR009C
OG0000199	snap_masked-haw-_s586-processed-gene-0.35-mRNA-1_1&gene=snap_masked-haw-_s586-processed-gene-0.35&CDS=1-1326, snap_masked-haw-_s98-processed-gene-0.36-mRNA-1_1&gene=snap_masked-haw-_s98-processed-gene-0.36&CDS=1-2307, snap_masked-haw-_s98-processed-gene-0.37-mRNA-1_1&gene=snap_masked-haw-_s98-processed-gene-0.37&CDS=1-1494	YDL020C
OG0000200	augustus_masked-haw-_s699-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-haw-_s699-processed-gene-0.4&CDS=1-1650	YOL055C, YPL258C, YPR121W
OG0000201	snap_masked-haw-_s89-processed-gene-0.46-mRNA-1_1&gene=snap_masked-haw-_s89-processed-gene-0.46&CDS=1-1056, snap_masked-haw-_s89-processed-gene-0.47-mRNA-1_1&gene=snap_masked-haw-_s89-processed-gene-0.47&CDS=1-1008, snap_masked-haw-_s89-processed-gene-0.48-mRNA-1_1&gene=snap_masked-haw-_s89-processed-gene-0.48&CDS=1-999	YJR019C
OG0000202		YKL222C, YLR266C, YOR162C, YOR172W
OG0000203	augustus_masked-haw-_C44506-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_C44506-processed-gene-0.0&CDS=1-210, snap_masked-haw-_s34-processed-gene-2.67-mRNA-1_1&gene=snap_masked-haw-_s34-processed-gene-2.67&CDS=1-675	YJL218W
OG0000204	augustus_masked-haw-_C44570-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_C44570-processed-gene-0.0&CDS=1-306, snap_masked-haw-_s366-processed-gene-0.16-mRNA-1_1&gene=snap_masked-haw-_s366-processed-gene-0.16&CDS=1-3696	YML002W
OG0000205	augustus_masked-haw-_C45080-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_C45080-processed-gene-0.2&CDS=1-339, snap_masked-haw-_s456-processed-gene-0.98-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.98&CDS=1-999	YIR026C
OG0000206	augustus_masked-haw-_C45258-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_C45258-processed-gene-0.2&CDS=1-351, snap_masked-haw-_s360-processed-gene-0.42-mRNA-1_1&gene=snap_masked-haw-_s360-processed-gene-0.42&CDS=1-1116	YNL307C
OG0000207	augustus_masked-haw-_C46184-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_C46184-processed-gene-0.2&CDS=1-285, snap_masked-haw-_s187-processed-gene-0.25-mRNA-1_1&gene=snap_masked-haw-_s187-processed-gene-0.25&CDS=1-2196	YJR110W
OG0000208	augustus_masked-haw-_C51762-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_C51762-processed-gene-0.0&CDS=1-1257, snap_masked-haw-_s41-processed-gene-0.3-mRNA-1_1&gene=snap_masked-haw-_s41-processed-gene-0.3&CDS=1-183	YCL074W
OG0000209	snap_masked-haw-_C52170-processed-gene-0.5-mRNA-1_1&gene=snap_masked-haw-_C52170-processed-gene-0.5&CDS=1-2700	YDR206W, YLR233C
OG0000210	snap_masked-haw-_C52532-processed-gene-0.4-mRNA-1_1&gene=snap_masked-haw-_C52532-processed-gene-0.4&CDS=1-819	YDL049C, YJL174W
OG0000211	snap_masked-haw-_s1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-haw-_s1-processed-gene-0.71&CDS=1-1728	YGR138C, YPR156C
OG0000212	augustus_masked-haw-_s1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-haw-_s1-processed-gene-0.19&CDS=1-324, snap_masked-haw-_s1-processed-gene-0.81-mRNA-1_1&gene=snap_masked-haw-_s1-processed-gene-0.81&CDS=1-795	YEL009C
OG0000213	snap_masked-haw-_s1-processed-gene-0.73-mRNA-1_1&gene=snap_masked-haw-_s1-processed-gene-0.73&CDS=1-2520	YDR351W, YHR103W
OG0000214	snap_masked-haw-_s1-processed-gene-0.76-mRNA-1_1&gene=snap_masked-haw-_s1-processed-gene-0.76&CDS=1-1146	YPR013C, YPR015C
OG0000215	augustus_masked-haw-_s1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-haw-_s1-processed-gene-0.22&CDS=1-369, augustus_masked-haw-_s195-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-haw-_s195-processed-gene-1.164&CDS=1-5052	YGR170W
OG0000216	augustus_masked-haw-_s1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-haw-_s1-processed-gene-0.32&CDS=1-2793	YJL084C, YKR021W
OG0000217	maker-haw-_s30-augustus-gene-2.6-mRNA-1_1&gene=maker-haw-_s30-augustus-gene-2.6&CDS=1-1767, snap_masked-haw-_s100-processed-gene-0.13-mRNA-1_1&gene=snap_masked-haw-_s100-processed-gene-0.13&CDS=1-1692	YKR093W
OG0000218	augustus_masked-haw-_s613-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_s613-processed-gene-0.2&CDS=1-426, genemark-haw-_s100-processed-gene-0.33-mRNA-1_1&gene=genemark-haw-_s100-processed-gene-0.33&CDS=1-1851	YPL155C
OG0000219	augustus_masked-haw-_s109-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-haw-_s109-processed-gene-0.18&CDS=1-5307	YIL149C, YKR095W
OG0000220	snap_masked-haw-_s109-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s109-processed-gene-0.39&CDS=1-3744	YIL151C, YKR096W
OG0000221	snap_masked-haw-_s109-processed-gene-0.57-mRNA-1_1&gene=snap_masked-haw-_s109-processed-gene-0.57&CDS=1-1698, snap_masked-haw-_s298-processed-gene-1.119-mRNA-1_1&gene=snap_masked-haw-_s298-processed-gene-1.119&CDS=1-1740	YBR132C
OG0000222	maker-haw-_s109-snap-gene-0.116-mRNA-1_1&gene=maker-haw-_s109-snap-gene-0.116&CDS=1-5343, snap_masked-haw-_s644-processed-gene-0.12-mRNA-1_1&gene=snap_masked-haw-_s644-processed-gene-0.12&CDS=1-6057	YNL271C
OG0000223	augustus_masked-haw-_s109-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-haw-_s109-processed-gene-0.7&CDS=1-3000, maker-haw-_s560-augustus-gene-0.138-mRNA-1_1&gene=maker-haw-_s560-augustus-gene-0.138&CDS=1-3336	YGR204W
OG0000224	maker-haw-_s109-snap-gene-0.118-mRNA-1_1&gene=maker-haw-_s109-snap-gene-0.118&CDS=1-426	YNL302C, YOL121C
OG0000225	maker-haw-_s109-snap-gene-0.119-mRNA-1_1&gene=maker-haw-_s109-snap-gene-0.119&CDS=1-558	YNL301C, YOL120C
OG0000226	snap_masked-haw-_s111-processed-gene-0.1-mRNA-1_1&gene=snap_masked-haw-_s111-processed-gene-0.1&CDS=1-1425, snap_masked-haw-_s463-processed-gene-1.108-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.108&CDS=1-1275	YHR135C
OG0000227	genemark-haw-_s113-processed-gene-0.54-mRNA-1_1&gene=genemark-haw-_s113-processed-gene-0.54&CDS=1-573	YBL027W, YBR084C-A
OG0000228	snap_masked-haw-_s113-processed-gene-0.129-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-0.129&CDS=1-1257	YDR132C, YLR108C
OG0000229	snap_masked-haw-_s113-processed-gene-0.131-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-0.131&CDS=1-1911	YDR107C, YLR083C
OG0000230	snap_masked-haw-_s113-processed-gene-1.112-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-1.112&CDS=1-2523	YOR233W, YPL141C
OG0000231	snap_masked-haw-_s113-processed-gene-1.138-mRNA-1_1&gene=snap_masked-haw-_s113-processed-gene-1.138&CDS=1-951, snap_masked-haw-_s344-processed-gene-0.6-mRNA-1_1&gene=snap_masked-haw-_s344-processed-gene-0.6&CDS=1-180	YOR174W
OG0000232	augustus_masked-haw-_s113-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-haw-_s113-processed-gene-2.66&CDS=1-1926	YEL047C, YJR051W
OG0000233	augustus_masked-haw-_s375-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_s375-processed-gene-0.2&CDS=1-237, snap_masked-haw-_s114-processed-gene-0.2-mRNA-1_1&gene=snap_masked-haw-_s114-processed-gene-0.2&CDS=1-960	YHR070W
OG0000234	augustus_masked-haw-_s424-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s424-processed-gene-0.0&CDS=1-690, maker-haw-_s117-augustus-gene-0.0-mRNA-1_1&gene=maker-haw-_s117-augustus-gene-0.0&CDS=1-3342	YNL256W
OG0000235	snap_masked-haw-_s117-processed-gene-0.50-mRNA-1_1&gene=snap_masked-haw-_s117-processed-gene-0.50&CDS=1-2322, snap_masked-haw-_s185-processed-gene-0.9-mRNA-1_1&gene=snap_masked-haw-_s185-processed-gene-0.9&CDS=1-189	YLR417W
OG0000236	maker-haw-_s119-snap-gene-0.19-mRNA-1_1&gene=maker-haw-_s119-snap-gene-0.19&CDS=1-249, snap_masked-haw-_s719-processed-gene-0.18-mRNA-1_1&gene=snap_masked-haw-_s719-processed-gene-0.18&CDS=1-336	YLR104W
OG0000237	snap_masked-haw-_s119-processed-gene-0.8-mRNA-1_1&gene=snap_masked-haw-_s119-processed-gene-0.8&CDS=1-1941, snap_masked-haw-_s463-processed-gene-1.88-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.88&CDS=1-1869	YNL101W
OG0000238	snap_masked-haw-_s121-processed-gene-0.63-mRNA-1_1&gene=snap_masked-haw-_s121-processed-gene-0.63&CDS=1-2301	YIL131C, YNL068C
OG0000239	maker-haw-_s232-snap-gene-0.48-mRNA-1_1&gene=maker-haw-_s232-snap-gene-0.48&CDS=1-1716, snap_masked-haw-_s125-processed-gene-0.42-mRNA-1_1&gene=snap_masked-haw-_s125-processed-gene-0.42&CDS=1-2019	YHR124W
OG0000240	snap_masked-haw-_s125-processed-gene-0.46-mRNA-1_1&gene=snap_masked-haw-_s125-processed-gene-0.46&CDS=1-1239, snap_masked-haw-_s274-processed-gene-0.32-mRNA-1_1&gene=snap_masked-haw-_s274-processed-gene-0.32&CDS=1-1167	YGR263C
OG0000241	genemark-haw-_s442-processed-gene-0.31-mRNA-1_1&gene=genemark-haw-_s442-processed-gene-0.31&CDS=1-1878, snap_masked-haw-_s128-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s128-processed-gene-0.7&CDS=1-2625	YOR208W
OG0000242	augustus_masked-haw-_s128-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-haw-_s128-processed-gene-0.4&CDS=1-315	YGR209C, YLR043C
OG0000243	snap_masked-haw-_s131-processed-gene-0.21-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-0.21&CDS=1-1572	YEL041W, YJR049C
OG0000244	snap_masked-haw-_s131-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-0.39&CDS=1-921, snap_masked-haw-_s243-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s243-processed-gene-0.7&CDS=1-363	YFR025C
OG0000245	genemark-haw-_s131-processed-gene-0.53-mRNA-1_1&gene=genemark-haw-_s131-processed-gene-0.53&CDS=1-1359, snap_masked-haw-_s708-processed-gene-0.4-mRNA-1_1&gene=snap_masked-haw-_s708-processed-gene-0.4&CDS=1-2694	YDL170W
OG0000246	augustus_masked-haw-_s675-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-haw-_s675-processed-gene-0.0&CDS=1-453, snap_masked-haw-_s131-processed-gene-1.41-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-1.41&CDS=1-3441	YHL007C
OG0000247	augustus_masked-haw-_s89-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-haw-_s89-processed-gene-0.89&CDS=1-1275, snap_masked-haw-_s131-processed-gene-1.43-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-1.43&CDS=1-1224	YLR174W
OG0000248	snap_masked-haw-_s131-processed-gene-1.60-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-1.60&CDS=1-381	YGR034W, YLR344W
OG0000249	maker-haw-_s131-augustus-gene-2.94-mRNA-1_1&gene=maker-haw-_s131-augustus-gene-2.94&CDS=1-3426, snap_masked-haw-_s23-processed-gene-0.74-mRNA-1_1&gene=snap_masked-haw-_s23-processed-gene-0.74&CDS=1-864	YNL202W
OG0000250	snap_masked-haw-_s131-processed-gene-2.42-mRNA-1_1&gene=snap_masked-haw-_s131-processed-gene-2.42&CDS=1-237, snap_masked-haw-_s253-processed-gene-0.15-mRNA-1_1&gene=snap_masked-haw-_s253-processed-gene-0.15&CDS=1-495	YBR282W
OG0000251	augustus_masked-haw-_s131-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-haw-_s131-processed-gene-2.91&CDS=1-2571	YKL121W, YMR102C
OG0000252	maker-haw-_s143-snap-gene-0.0-mRNA-1_1&gene=maker-haw-_s143-snap-gene-0.0&CDS=1-798, maker-haw-_s456-snap-gene-0.146-mRNA-1_1&gene=maker-haw-_s456-snap-gene-0.146&CDS=1-2535	YCR068W
OG0000253	snap_masked-haw-_s151-processed-gene-0.93-mRNA-1_1&gene=snap_masked-haw-_s151-processed-gene-0.93&CDS=1-1041, snap_masked-haw-_s329-processed-gene-1.65-mRNA-1_1&gene=snap_masked-haw-_s329-processed-gene-1.65&CDS=1-1140	YNL231C
OG0000254	snap_masked-haw-_s151-processed-gene-1.79-mRNA-1_1&gene=snap_masked-haw-_s151-processed-gene-1.79&CDS=1-1263, snap_masked-haw-_s539-processed-gene-0.7-mRNA-1_1&gene=snap_masked-haw-_s539-processed-gene-0.7&CDS=1-1284	YDL131W
OG0000255	snap_masked-haw-_s151-processed-gene-1.95-mRNA-1_1&gene=snap_masked-haw-_s151-processed-gene-1.95&CDS=1-615, snap_masked-haw-_s160-processed-gene-4.107-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-4.107&CDS=1-627	YNR018W
OG0000256	augustus_masked-haw-_s151-processed-gene-1.177-mRNA-1_1&gene=augustus_masked-haw-_s151-processed-gene-1.177&CDS=1-1236	YDR353W, YHR106W
OG0000257	snap_masked-haw-_s154-processed-gene-0.6-mRNA-1_1&gene=snap_masked-haw-_s154-processed-gene-0.6&CDS=1-336	YDL075W, YLR406C
OG0000258	snap_masked-haw-_s155-processed-gene-0.47-mRNA-1_1&gene=snap_masked-haw-_s155-processed-gene-0.47&CDS=1-360	YGR243W, YHR162W
OG0000259	snap_masked-haw-_s155-processed-gene-0.73-mRNA-1_1&gene=snap_masked-haw-_s155-processed-gene-0.73&CDS=1-2415	YMR119W, YNL008C
OG0000260	snap_masked-haw-_s157-processed-gene-0.24-mRNA-1_1&gene=snap_masked-haw-_s157-processed-gene-0.24&CDS=1-906	YBR105C, YGR066C
OG0000261	maker-haw-_s49-snap-gene-0.69-mRNA-1_1&gene=maker-haw-_s49-snap-gene-0.69&CDS=1-639, snap_masked-haw-_s157-processed-gene-0.10-mRNA-1_1&gene=snap_masked-haw-_s157-processed-gene-0.10&CDS=1-459	YIR001C
OG0000262	snap_masked-haw-_s157-processed-gene-0.18-mRNA-1_1&gene=snap_masked-haw-_s157-processed-gene-0.18&CDS=1-876	YMR183C, YPL232W
OG0000263	snap_masked-haw-_s159-processed-gene-0.31-mRNA-1_1&gene=snap_masked-haw-_s159-processed-gene-0.31&CDS=1-1407	YGR108W, YPR119W
OG0000264	genemark-haw-_s159-processed-gene-0.17-mRNA-1_1&gene=genemark-haw-_s159-processed-gene-0.17&CDS=1-2607, snap_masked-haw-_s555-processed-gene-0.3-mRNA-1_1&gene=snap_masked-haw-_s555-processed-gene-0.3&CDS=1-222	YHR154W
OG0000265	snap_masked-haw-_s159-processed-gene-0.38-mRNA-1_1&gene=snap_masked-haw-_s159-processed-gene-0.38&CDS=1-1512	YDL161W, YLR206W
OG0000266	snap_masked-haw-_s159-processed-gene-0.37-mRNA-1_1&gene=snap_masked-haw-_s159-processed-gene-0.37&CDS=1-1617	YHL017W, YKL039W
OG0000267	maker-haw-_s16-snap-gene-0.121-mRNA-1_1&gene=maker-haw-_s16-snap-gene-0.121&CDS=1-1362	YCL011C, YNL004W
OG0000268	augustus_masked-haw-_s16-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-haw-_s16-processed-gene-0.18&CDS=1-2415, augustus_masked-haw-_s669-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-haw-_s669-processed-gene-0.11&CDS=1-291	YPL126W
OG0000269	genemark-haw-_s16-processed-gene-0.113-mRNA-1_1&gene=genemark-haw-_s16-processed-gene-0.113&CDS=1-1011	YBR161W, YPL057C
OG0000270	snap_masked-haw-_s160-processed-gene-0.38-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-0.38&CDS=1-1719, snap_masked-haw-_s90-processed-gene-0.60-mRNA-1_1&gene=snap_masked-haw-_s90-processed-gene-0.60&CDS=1-1674	YDR242W
OG0000271	maker-haw-_s160-snap-gene-0.73-mRNA-1_1&gene=maker-haw-_s160-snap-gene-0.73&CDS=1-2556	YBR205W, YOR099W
OG0000272	maker-haw-_s160-augustus-gene-1.1-mRNA-1_1&gene=maker-haw-_s160-augustus-gene-1.1&CDS=1-2139	YDL134C, YDL188C
OG0000273	augustus_masked-haw-_s160-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-haw-_s160-processed-gene-1.23&CDS=1-2439	YBR294W, YLR092W
OG0000274	snap_masked-haw-_s160-processed-gene-1.83-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-1.83&CDS=1-966	YGR136W, YPR154W
OG0000275	augustus_masked-haw-_s160-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-haw-_s160-processed-gene-2.3&CDS=1-360	YDL136W, YDL191W
OG0000276	snap_masked-haw-_s160-processed-gene-2.62-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-2.62&CDS=1-543	YDL137W, YDL192W
OG0000277	snap_masked-haw-_s160-processed-gene-2.49-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-2.49&CDS=1-507	YGR131W, YPR149W
OG0000278	maker-haw-_s160-snap-gene-2.36-mRNA-1_1&gene=maker-haw-_s160-snap-gene-2.36&CDS=1-3810	YGR143W, YPR159W
OG0000279	snap_masked-haw-_s160-processed-gene-2.57-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-2.57&CDS=1-2391	YIL105C, YNL047C
OG0000280	snap_masked-haw-_s160-processed-gene-2.76-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-2.76&CDS=1-411	YBL087C, YER117W
OG0000281	snap_masked-haw-_s160-processed-gene-2.77-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-2.77&CDS=1-1185	YNL283C, YOL105C
OG0000282	snap_masked-haw-_s160-processed-gene-3.50-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-3.50&CDS=1-780, snap_masked-haw-_s162-processed-gene-0.17-mRNA-1_1&gene=snap_masked-haw-_s162-processed-gene-0.17&CDS=1-183	YJR060W
OG0000283	snap_masked-haw-_s160-processed-gene-3.54-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-3.54&CDS=1-657	YER031C, YGL210W
OG0000284	snap_masked-haw-_s160-processed-gene-4.64-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-4.64&CDS=1-738, snap_masked-haw-_s72-processed-gene-0.112-mRNA-1_1&gene=snap_masked-haw-_s72-processed-gene-0.112&CDS=1-753	YKL040C
OG0000285	snap_masked-haw-_s160-processed-gene-4.67-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-4.67&CDS=1-1536, snap_masked-haw-_s342-processed-gene-0.11-mRNA-1_1&gene=snap_masked-haw-_s342-processed-gene-0.11&CDS=1-1959	YLR034C
OG0000286	snap_masked-haw-_s160-processed-gene-4.78-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-4.78&CDS=1-1539	YFR012W, YOL019W
OG0000287	snap_masked-haw-_s160-processed-gene-4.89-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-4.89&CDS=1-804, snap_masked-haw-_s89-processed-gene-0.74-mRNA-1_1&gene=snap_masked-haw-_s89-processed-gene-0.74&CDS=1-801	YMR226C
OG0000288	snap_masked-haw-_s160-processed-gene-4.119-mRNA-1_1&gene=snap_masked-haw-_s160-processed-gene-4.119&CDS=1-1269	YDR300C, YHR033W
OG0000289	snap_masked-haw-_s161-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s161-processed-gene-0.39&CDS=1-1779	YDR497C, YOL103W
OG0000290	snap_masked-haw-_s161-processed-gene-0.46-mRNA-1_1&gene=snap_masked-haw-_s161-processed-gene-0.46&CDS=1-561	YNL096C, YOR096W
