	Metschnikowia_santaceciliae	Saccharomyces_cerevisiae
OG0000258	maker-sce_s323-augustus-gene-0.75-mRNA-1_1&gene=maker-sce_s323-augustus-gene-0.75&CDS=1-2805, snap_masked-sce_s158-processed-gene-0.33-mRNA-1_1&gene=snap_masked-sce_s158-processed-gene-0.33&CDS=1-2742	YDL056W
OG0000259	genemark-sce_s158-processed-gene-0.68-mRNA-1_1&gene=genemark-sce_s158-processed-gene-0.68&CDS=1-1647	YDL085W, YMR145C
OG0000260	genemark-sce_s158-processed-gene-0.90-mRNA-1_1&gene=genemark-sce_s158-processed-gene-0.90&CDS=1-1269	YDR451C, YML027W
OG0000261	augustus_masked-sce_s158-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sce_s158-processed-gene-0.11&CDS=1-633, genemark-sce_s723-processed-gene-0.29-mRNA-1_1&gene=genemark-sce_s723-processed-gene-0.29&CDS=1-2178	YJL168C
OG0000262	augustus_masked-sce_s16-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sce_s16-processed-gene-0.9&CDS=1-1179, genemark-sce_s65-processed-gene-0.18-mRNA-1_1&gene=genemark-sce_s65-processed-gene-0.18&CDS=1-1314	YGR189C
OG0000263	genemark-sce_s16-processed-gene-0.19-mRNA-1_1&gene=genemark-sce_s16-processed-gene-0.19&CDS=1-2235, snap_masked-sce_s207-processed-gene-1.26-mRNA-1_1&gene=snap_masked-sce_s207-processed-gene-1.26&CDS=1-2133	YLR188W
OG0000264	augustus_masked-sce_s50-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sce_s50-processed-gene-0.27&CDS=1-480, genemark-sce_s161-processed-gene-0.29-mRNA-1_1&gene=genemark-sce_s161-processed-gene-0.29&CDS=1-1152	YDR202C
OG0000265	genemark-sce_s161-processed-gene-0.35-mRNA-1_1&gene=genemark-sce_s161-processed-gene-0.35&CDS=1-1593	YDR501W, YLR183C
OG0000266	augustus_masked-sce_s163-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-sce_s163-processed-gene-0.36&CDS=1-2601, genemark-sce_s447-processed-gene-0.108-mRNA-1_1&gene=genemark-sce_s447-processed-gene-0.108&CDS=1-1857	YMR058W
OG0000267	genemark-sce_s166-processed-gene-0.4-mRNA-1_1&gene=genemark-sce_s166-processed-gene-0.4&CDS=1-2121, maker-sce_s43-snap-gene-3.162-mRNA-1_1&gene=maker-sce_s43-snap-gene-3.162&CDS=1-2766	YGL205W
OG0000268	genemark-sce_s167-processed-gene-0.68-mRNA-1_1&gene=genemark-sce_s167-processed-gene-0.68&CDS=1-996	YCR073W-A, YNR034W
OG0000269	augustus_masked-sce_s167-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-sce_s167-processed-gene-0.38&CDS=1-4764, genemark-sce_s741-processed-gene-0.58-mRNA-1_1&gene=genemark-sce_s741-processed-gene-0.58&CDS=1-4248	YGR281W
OG0000270	augustus_masked-sce_s167-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sce_s167-processed-gene-0.52&CDS=1-1965	YEL039C, YJR048W
OG0000271	augustus_masked-sce_s40-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sce_s40-processed-gene-0.3&CDS=1-543, genemark-sce_s167-processed-gene-0.74-mRNA-1_1&gene=genemark-sce_s167-processed-gene-0.74&CDS=1-3129	YML010W
OG0000272	genemark-sce_s169-processed-gene-0.26-mRNA-1_1&gene=genemark-sce_s169-processed-gene-0.26&CDS=1-2442	YBR294W, YLR092W
OG0000273	genemark-sce_s169-processed-gene-0.37-mRNA-1_1&gene=genemark-sce_s169-processed-gene-0.37&CDS=1-1467	YJL134W, YKR053C
OG0000274	genemark-sce_s17-processed-gene-0.70-mRNA-1_1&gene=genemark-sce_s17-processed-gene-0.70&CDS=1-1647	YHR115C, YNL116W
OG0000275	genemark-sce_s17-processed-gene-0.71-mRNA-1_1&gene=genemark-sce_s17-processed-gene-0.71&CDS=1-456	YEL066W, YPR193C
OG0000276	augustus_masked-sce_s739-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sce_s739-processed-gene-0.13&CDS=1-306, genemark-sce_s170-processed-gene-0.60-mRNA-1_1&gene=genemark-sce_s170-processed-gene-0.60&CDS=1-921	YGR026W
OG0000277	genemark-sce_s170-processed-gene-0.61-mRNA-1_1&gene=genemark-sce_s170-processed-gene-0.61&CDS=1-2043	YBR238C, YGL107C
OG0000278	genemark-sce_s172-processed-gene-0.23-mRNA-1_1&gene=genemark-sce_s172-processed-gene-0.23&CDS=1-909	YBR105C, YGR066C
OG0000279	genemark-sce_s173-processed-gene-0.17-mRNA-1_1&gene=genemark-sce_s173-processed-gene-0.17&CDS=1-729, genemark-sce_s463-processed-gene-0.65-mRNA-1_1&gene=genemark-sce_s463-processed-gene-0.65&CDS=1-1473	YEL052W
OG0000280	genemark-sce_s18-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s18-processed-gene-0.22&CDS=1-1467	YIL113W, YNL053W
OG0000281	genemark-sce_s189-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s189-processed-gene-0.2&CDS=1-1950, genemark-sce_s246-processed-gene-0.121-mRNA-1_1&gene=genemark-sce_s246-processed-gene-0.121&CDS=1-1536	YLR034C
OG0000282	genemark-sce_s190-processed-gene-0.16-mRNA-1_1&gene=genemark-sce_s190-processed-gene-0.16&CDS=1-768, genemark-sce_s273-processed-gene-0.37-mRNA-1_1&gene=genemark-sce_s273-processed-gene-0.37&CDS=1-768	YLR441C
OG0000283	augustus_masked-sce_s190-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sce_s190-processed-gene-0.8&CDS=1-1449, genemark-sce_s582-processed-gene-0.73-mRNA-1_1&gene=genemark-sce_s582-processed-gene-0.73&CDS=1-1371	YMR014W
OG0000284	genemark-sce_s195-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s195-processed-gene-0.8&CDS=1-2115	YKL050C, YMR031C
OG0000285	genemark-sce_s195-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s195-processed-gene-0.10&CDS=1-2424, snap_masked-sce_s276-processed-gene-0.101-mRNA-1_1&gene=snap_masked-sce_s276-processed-gene-0.101&CDS=1-2076	YBL011W
OG0000286	genemark-sce_s197-processed-gene-0.33-mRNA-1_1&gene=genemark-sce_s197-processed-gene-0.33&CDS=1-390	YHL001W, YKL006W
OG0000287	augustus_masked-sce_s197-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sce_s197-processed-gene-0.9&CDS=1-3537, snap_masked-sce_s280-processed-gene-0.45-mRNA-1_1&gene=snap_masked-sce_s280-processed-gene-0.45&CDS=1-291	YLR067C
OG0000288	genemark-sce_s2-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s2-processed-gene-0.12&CDS=1-2028, maker-sce_s284-snap-gene-0.2-mRNA-1_1&gene=maker-sce_s284-snap-gene-0.2&CDS=1-318	YNL039W
OG0000289	genemark-sce_s2-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s2-processed-gene-0.13&CDS=1-2139	YIL095W, YNL020C
OG0000290	genemark-sce_s2-processed-gene-0.15-mRNA-1_1&gene=genemark-sce_s2-processed-gene-0.15&CDS=1-1749	YBR021W, YIR028W
OG0000291	augustus_masked-sce_s2-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sce_s2-processed-gene-0.27&CDS=1-2649, genemark-sce_s252-processed-gene-0.59-mRNA-1_1&gene=genemark-sce_s252-processed-gene-0.59&CDS=1-2349	YPR003C
OG0000292	augustus_masked-sce_s291-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sce_s291-processed-gene-0.18&CDS=1-426, genemark-sce_s207-processed-gene-0.1-mRNA-1_1&gene=genemark-sce_s207-processed-gene-0.1&CDS=1-2268	YOL076W
OG0000293	snap_masked-sce_s207-processed-gene-0.52-mRNA-1_1&gene=snap_masked-sce_s207-processed-gene-0.52&CDS=1-3258	YAL056W, YOR371C
OG0000294	genemark-sce_s207-processed-gene-0.35-mRNA-1_1&gene=genemark-sce_s207-processed-gene-0.35&CDS=1-1737, genemark-sce_s323-processed-gene-1.218-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.218&CDS=1-1407	YOR059C
OG0000295	genemark-sce_s207-processed-gene-0.11-mRNA-1_1&gene=genemark-sce_s207-processed-gene-0.11&CDS=1-1128	YDR134C, YLR110C
OG0000296	genemark-sce_s207-processed-gene-1.117-mRNA-1_1&gene=genemark-sce_s207-processed-gene-1.117&CDS=1-732, snap_masked-sce_s622-processed-gene-1.108-mRNA-1_1&gene=snap_masked-sce_s622-processed-gene-1.108&CDS=1-828	YMR156C
OG0000297	genemark-sce_s207-processed-gene-2.196-mRNA-1_1&gene=genemark-sce_s207-processed-gene-2.196&CDS=1-774	YDR099W, YER177W
OG0000298	snap_masked-sce_s211-processed-gene-0.35-mRNA-1_1&gene=snap_masked-sce_s211-processed-gene-0.35&CDS=1-693	YMR042W, YMR043W
OG0000299	genemark-sce_s211-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s211-processed-gene-0.2&CDS=1-1869, genemark-sce_s3-processed-gene-3.137-mRNA-1_1&gene=genemark-sce_s3-processed-gene-3.137&CDS=1-1617	YGL203C
OG0000300	genemark-sce_s211-processed-gene-0.4-mRNA-1_1&gene=genemark-sce_s211-processed-gene-0.4&CDS=1-435	YDR450W, YML026C
OG0000301	snap_masked-sce_s212-processed-gene-0.8-mRNA-1_1&gene=snap_masked-sce_s212-processed-gene-0.8&CDS=1-1548	YKL133C, YMR115W
OG0000302	genemark-sce_s492-processed-gene-0.117-mRNA-1_1&gene=genemark-sce_s492-processed-gene-0.117&CDS=1-3069, snap_masked-sce_s221-processed-gene-0.61-mRNA-1_1&gene=snap_masked-sce_s221-processed-gene-0.61&CDS=1-738	YGL141W
OG0000303	genemark-sce_s221-processed-gene-0.51-mRNA-1_1&gene=genemark-sce_s221-processed-gene-0.51&CDS=1-1932, genemark-sce_s363-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s363-processed-gene-0.8&CDS=1-1497	YNL027W
OG0000304	genemark-sce_s222-processed-gene-0.24-mRNA-1_1&gene=genemark-sce_s222-processed-gene-0.24&CDS=1-2376, genemark-sce_s257-processed-gene-0.31-mRNA-1_1&gene=genemark-sce_s257-processed-gene-0.31&CDS=1-2274	YAL023C
OG0000305	genemark-sce_s231-processed-gene-0.30-mRNA-1_1&gene=genemark-sce_s231-processed-gene-0.30&CDS=1-1386, snap_masked-sce_s373-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sce_s373-processed-gene-0.4&CDS=1-366	YDL147W
OG0000306	genemark-sce_s231-processed-gene-0.44-mRNA-1_1&gene=genemark-sce_s231-processed-gene-0.44&CDS=1-1374, genemark-sce_s262-processed-gene-0.25-mRNA-1_1&gene=genemark-sce_s262-processed-gene-0.25&CDS=1-1392	YMR020W
OG0000307	augustus_masked-sce_s231-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sce_s231-processed-gene-0.6&CDS=1-267	YBR089C-A, YPR052C
OG0000308	genemark-sce_s234-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s234-processed-gene-0.2&CDS=1-2103, genemark-sce_s93-processed-gene-0.59-mRNA-1_1&gene=genemark-sce_s93-processed-gene-0.59&CDS=1-2100	YLL029W
OG0000309	augustus_masked-sce_s235-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sce_s235-processed-gene-0.4&CDS=1-198, genemark-sce_s323-processed-gene-1.243-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.243&CDS=1-1728	YKR016W
OG0000310	augustus_masked-sce_s238-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-sce_s238-processed-gene-0.45&CDS=1-5346	YIL149C, YKR095W
OG0000311	augustus_masked-sce_s238-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-sce_s238-processed-gene-0.40&CDS=1-3729	YIL151C, YKR096W
OG0000312	augustus_masked-sce_s238-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-sce_s238-processed-gene-0.46&CDS=1-1698, genemark-sce_s455-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s455-processed-gene-0.8&CDS=1-1740	YBR132C
OG0000313	genemark-sce_s238-processed-gene-0.7-mRNA-1_1&gene=genemark-sce_s238-processed-gene-0.7&CDS=1-2964, genemark-sce_s399-processed-gene-0.58-mRNA-1_1&gene=genemark-sce_s399-processed-gene-0.58&CDS=1-2838	YGR204W
OG0000314	genemark-sce_s65-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s65-processed-gene-0.22&CDS=1-405, snap_masked-sce_s239-processed-gene-0.1-mRNA-1_1&gene=snap_masked-sce_s239-processed-gene-0.1&CDS=1-183	YLR298C
OG0000315	genemark-sce_s244-processed-gene-0.1-mRNA-1_1&gene=genemark-sce_s244-processed-gene-0.1&CDS=1-903, genemark-sce_s99-processed-gene-0.25-mRNA-1_1&gene=genemark-sce_s99-processed-gene-0.25&CDS=1-927	YER175C
OG0000316	augustus_masked-sce_s294-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sce_s294-processed-gene-0.16&CDS=1-399, maker-sce_s246-snap-gene-0.89-mRNA-1_1&gene=maker-sce_s246-snap-gene-0.89&CDS=1-1563	YLR033W
OG0000317	augustus_masked-sce_s246-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-sce_s246-processed-gene-0.37&CDS=1-657	YER031C, YGL210W
OG0000318	augustus_masked-sce_s611-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sce_s611-processed-gene-0.0&CDS=1-861, genemark-sce_s247-processed-gene-0.16-mRNA-1_1&gene=genemark-sce_s247-processed-gene-0.16&CDS=1-3618	YOL051W
OG0000319	snap_masked-sce_s25-processed-gene-0.18-mRNA-1_1&gene=snap_masked-sce_s25-processed-gene-0.18&CDS=1-3099, snap_masked-sce_s561-processed-gene-0.18-mRNA-1_1&gene=snap_masked-sce_s561-processed-gene-0.18&CDS=1-552	YOR144C
OG0000320	genemark-sce_s250-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s250-processed-gene-0.12&CDS=1-1275, genemark-sce_s456-processed-gene-0.44-mRNA-1_1&gene=genemark-sce_s456-processed-gene-0.44&CDS=1-1224	YLR174W
OG0000321	snap_masked-sce_s252-processed-gene-0.0-mRNA-1_1&gene=snap_masked-sce_s252-processed-gene-0.0&CDS=1-4674, snap_masked-sce_s76-processed-gene-0.14-mRNA-1_1&gene=snap_masked-sce_s76-processed-gene-0.14&CDS=1-273	YKL014C
OG0000322	genemark-sce_s252-processed-gene-0.77-mRNA-1_1&gene=genemark-sce_s252-processed-gene-0.77&CDS=1-1944	YDR069C, YER144C
OG0000323	augustus_masked-sce_s252-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sce_s252-processed-gene-0.52&CDS=1-3480, genemark-sce_s652-processed-gene-0.73-mRNA-1_1&gene=genemark-sce_s652-processed-gene-0.73&CDS=1-1212	YDL156W
OG0000324	genemark-sce_s257-processed-gene-0.6-mRNA-1_1&gene=genemark-sce_s257-processed-gene-0.6&CDS=1-2994	YKL068W, YMR047C
OG0000325	genemark-sce_s257-processed-gene-0.54-mRNA-1_1&gene=genemark-sce_s257-processed-gene-0.54&CDS=1-1275, genemark-sce_s97-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s97-processed-gene-0.13&CDS=1-1425	YHR135C
OG0000326	genemark-sce_s257-processed-gene-0.55-mRNA-1_1&gene=genemark-sce_s257-processed-gene-0.55&CDS=1-591	YER067W, YIL057C
OG0000327	augustus_masked-sce_s44-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-sce_s44-processed-gene-0.53&CDS=1-264, genemark-sce_s257-processed-gene-0.59-mRNA-1_1&gene=genemark-sce_s257-processed-gene-0.59&CDS=1-1083	YKL178C
OG0000328	augustus_masked-sce_s257-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-sce_s257-processed-gene-0.144&CDS=1-534	YOR226C, YPL135W
OG0000329	genemark-sce_s259-processed-gene-0.30-mRNA-1_1&gene=genemark-sce_s259-processed-gene-0.30&CDS=1-312	YGR027C, YLR333C
OG0000330	genemark-sce_s259-processed-gene-0.34-mRNA-1_1&gene=genemark-sce_s259-processed-gene-0.34&CDS=1-1920	YHR131C, YNL144C
OG0000331	genemark-sce_s262-processed-gene-0.23-mRNA-1_1&gene=genemark-sce_s262-processed-gene-0.23&CDS=1-1734, snap_masked-sce_s75-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sce_s75-processed-gene-0.4&CDS=1-225	YPL208W
OG0000332	augustus_masked-sce_s657-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sce_s657-processed-gene-0.21&CDS=1-213, genemark-sce_s262-processed-gene-0.31-mRNA-1_1&gene=genemark-sce_s262-processed-gene-0.31&CDS=1-2790	YML093W
OG0000333	genemark-sce_s273-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s273-processed-gene-0.22&CDS=1-2967, genemark-sce_s28-processed-gene-0.38-mRNA-1_1&gene=genemark-sce_s28-processed-gene-0.38&CDS=1-1068	YKR050W
OG0000334	genemark-sce_s273-processed-gene-0.33-mRNA-1_1&gene=genemark-sce_s273-processed-gene-0.33&CDS=1-1122	YIL135C, YNL074C
OG0000335	genemark-sce_s273-processed-gene-0.28-mRNA-1_1&gene=genemark-sce_s273-processed-gene-0.28&CDS=1-675, genemark-sce_s45-processed-gene-2.25-mRNA-1_1&gene=genemark-sce_s45-processed-gene-2.25&CDS=1-762	YBL064C
OG0000336	genemark-sce_s273-processed-gene-0.31-mRNA-1_1&gene=genemark-sce_s273-processed-gene-0.31&CDS=1-861	YDR253C, YPL038W
OG0000337	genemark-sce_s273-processed-gene-0.32-mRNA-1_1&gene=genemark-sce_s273-processed-gene-0.32&CDS=1-1134, genemark-sce_s75-processed-gene-0.41-mRNA-1_1&gene=genemark-sce_s75-processed-gene-0.41&CDS=1-1110	YDL022W
OG0000338	augustus_masked-sce_s622-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-sce_s622-processed-gene-1.39&CDS=1-3522, snap_masked-sce_s276-processed-gene-0.127-mRNA-1_1&gene=snap_masked-sce_s276-processed-gene-0.127&CDS=1-333	YOL138C
OG0000339	genemark-sce_s276-processed-gene-0.71-mRNA-1_1&gene=genemark-sce_s276-processed-gene-0.71&CDS=1-633	YCL050C, YDR530C
OG0000340	genemark-sce_s279-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s279-processed-gene-0.2&CDS=1-852	YLR270W, YOR173W
OG0000341	genemark-sce_s28-processed-gene-0.44-mRNA-1_1&gene=genemark-sce_s28-processed-gene-0.44&CDS=1-2130	YGR056W, YLR357W
OG0000342	augustus_masked-sce_s28-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-sce_s28-processed-gene-0.58&CDS=1-324, augustus_masked-sce_s3-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-sce_s3-processed-gene-3.48&CDS=1-639	YOL032W
OG0000343	genemark-sce_s28-processed-gene-0.41-mRNA-1_1&gene=genemark-sce_s28-processed-gene-0.41&CDS=1-3747	YDR122W, YLR096W
OG0000344	augustus_masked-sce_s282-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sce_s282-processed-gene-0.18&CDS=1-507	YKL141W, YMR118C
OG0000345	genemark-sce_s286-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s286-processed-gene-0.2&CDS=1-1773	YDR497C, YOL103W
OG0000346	augustus_masked-sce_s287-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sce_s287-processed-gene-0.8&CDS=1-1059	YPR013C, YPR015C
OG0000347	augustus_masked-sce_s294-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sce_s294-processed-gene-0.14&CDS=1-900, genemark-sce_s3-processed-gene-2.61-mRNA-1_1&gene=genemark-sce_s3-processed-gene-2.61&CDS=1-870	YER118C
OG0000348	genemark-sce_s295-processed-gene-0.54-mRNA-1_1&gene=genemark-sce_s295-processed-gene-0.54&CDS=1-561	YNL096C, YOR096W
OG0000349	genemark-sce_s295-processed-gene-1.121-mRNA-1_1&gene=genemark-sce_s295-processed-gene-1.121&CDS=1-1257	YMR177W, YPL224C
OG0000350	genemark-sce_s3-processed-gene-0.28-mRNA-1_1&gene=genemark-sce_s3-processed-gene-0.28&CDS=1-360	YGR243W, YHR162W
OG0000351	genemark-sce_s3-processed-gene-0.44-mRNA-1_1&gene=genemark-sce_s3-processed-gene-0.44&CDS=1-2373	YMR119W, YNL008C
OG0000352	genemark-sce_s3-processed-gene-1.102-mRNA-1_1&gene=genemark-sce_s3-processed-gene-1.102&CDS=1-2436	YFL004W, YPL019C
OG0000353	genemark-sce_s3-processed-gene-1.107-mRNA-1_1&gene=genemark-sce_s3-processed-gene-1.107&CDS=1-600, genemark-sce_s551-processed-gene-0.18-mRNA-1_1&gene=genemark-sce_s551-processed-gene-0.18&CDS=1-594	YDR032C
OG0000354	genemark-sce_s3-processed-gene-1.130-mRNA-1_1&gene=genemark-sce_s3-processed-gene-1.130&CDS=1-1038	YEL006W, YIL006W
OG0000355	snap_masked-sce_s3-processed-gene-1.38-mRNA-1_1&gene=snap_masked-sce_s3-processed-gene-1.38&CDS=1-2364	YBR150C, YOL089C
OG0000356	genemark-sce_s3-processed-gene-1.134-mRNA-1_1&gene=genemark-sce_s3-processed-gene-1.134&CDS=1-1725	YNL293W, YOL112W
OG0000357	genemark-sce_s3-processed-gene-2.74-mRNA-1_1&gene=genemark-sce_s3-processed-gene-2.74&CDS=1-651	YGL135W, YPL220W
OG0000358	augustus_masked-sce_s555-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-sce_s555-processed-gene-0.24&CDS=1-2145, genemark-sce_s3-processed-gene-3.121-mRNA-1_1&gene=genemark-sce_s3-processed-gene-3.121&CDS=1-3258	YGL179C
OG0000359	genemark-sce_s3-processed-gene-3.100-mRNA-1_1&gene=genemark-sce_s3-processed-gene-3.100&CDS=1-1890	YER059W, YIL050W
OG0000360	genemark-sce_s723-processed-gene-0.31-mRNA-1_1&gene=genemark-sce_s723-processed-gene-0.31&CDS=1-1461, snap_masked-sce_s3-processed-gene-3.179-mRNA-1_1&gene=snap_masked-sce_s3-processed-gene-3.179&CDS=1-1410	YGR019W
OG0000361	genemark-sce_s3-processed-gene-3.136-mRNA-1_1&gene=genemark-sce_s3-processed-gene-3.136&CDS=1-1452	YGR177C, YOR377W
OG0000362	augustus_masked-sce_s3-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-sce_s3-processed-gene-3.40&CDS=1-1263	YOR237W, YPL145C
OG0000363	snap_masked-sce_s3-processed-gene-3.188-mRNA-1_1&gene=snap_masked-sce_s3-processed-gene-3.188&CDS=1-297	YOR234C, YPL143W
OG0000364	genemark-sce_s306-processed-gene-0.14-mRNA-1_1&gene=genemark-sce_s306-processed-gene-0.14&CDS=1-705	YDR259C, YOR028C
OG0000365	augustus_masked-sce_s53-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sce_s53-processed-gene-0.9&CDS=1-243, snap_masked-sce_s306-processed-gene-0.0-mRNA-1_1&gene=snap_masked-sce_s306-processed-gene-0.0&CDS=1-282	YHR051W
OG0000366	augustus_masked-sce_s306-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-sce_s306-processed-gene-0.18&CDS=1-450, genemark-sce_s43-processed-gene-1.7-mRNA-1_1&gene=genemark-sce_s43-processed-gene-1.7&CDS=1-672	YJL148W
OG0000367	genemark-sce_s309-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s309-processed-gene-0.12&CDS=1-1269	YDR300C, YHR033W
OG0000368	augustus_masked-sce_s314-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sce_s314-processed-gene-0.7&CDS=1-696, augustus_masked-sce_s45-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sce_s45-processed-gene-0.21&CDS=1-1059	YDL205C
OG0000369	augustus_masked-sce_s323-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-sce_s323-processed-gene-0.60&CDS=1-171	YBR048W, YDR025W
OG0000370	genemark-sce_s323-processed-gene-0.108-mRNA-1_1&gene=genemark-sce_s323-processed-gene-0.108&CDS=1-1509, genemark-sce_s745-processed-gene-0.128-mRNA-1_1&gene=genemark-sce_s745-processed-gene-0.128&CDS=1-1473	YBR006W
OG0000371	genemark-sce_s323-processed-gene-0.98-mRNA-1_1&gene=genemark-sce_s323-processed-gene-0.98&CDS=1-1677, genemark-sce_s43-processed-gene-2.141-mRNA-1_1&gene=genemark-sce_s43-processed-gene-2.141&CDS=1-1410	YEL060C
OG0000372	genemark-sce_s323-processed-gene-1.171-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.171&CDS=1-2001	YBR216C, YGL060W
OG0000373	augustus_masked-sce_s323-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-sce_s323-processed-gene-1.140&CDS=1-978	YBR273C, YJL048C
OG0000374	augustus_masked-sce_s323-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-sce_s323-processed-gene-1.108&CDS=1-1347, snap_masked-sce_s82-processed-gene-0.1-mRNA-1_1&gene=snap_masked-sce_s82-processed-gene-0.1&CDS=1-252	YJL049W
OG0000375	genemark-sce_s323-processed-gene-1.186-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.186&CDS=1-1251	YFR024C-A, YHR016C
OG0000376	genemark-sce_s323-processed-gene-1.194-mRNA-1_1&gene=genemark-sce_s323-processed-gene-1.194&CDS=1-591	YBL072C, YER102W
OG0000377	augustus_masked-sce_s396-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sce_s396-processed-gene-0.4&CDS=1-561, genemark-sce_s327-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s327-processed-gene-0.13&CDS=1-2091	YIL005W
OG0000378	genemark-sce_s33-processed-gene-0.49-mRNA-1_1&gene=genemark-sce_s33-processed-gene-0.49&CDS=1-1659	YKL127W, YMR105C
OG0000379	genemark-sce_s332-processed-gene-0.65-mRNA-1_1&gene=genemark-sce_s332-processed-gene-0.65&CDS=1-1425	YLR260W, YOR171C
OG0000380	genemark-sce_s332-processed-gene-0.72-mRNA-1_1&gene=genemark-sce_s332-processed-gene-0.72&CDS=1-1182	YDL088C, YMR153W
OG0000381	genemark-sce_s332-processed-gene-0.106-mRNA-1_1&gene=genemark-sce_s332-processed-gene-0.106&CDS=1-1938, genemark-sce_s355-processed-gene-0.46-mRNA-1_1&gene=genemark-sce_s355-processed-gene-0.46&CDS=1-1926	YJR045C
OG0000382	genemark-sce_s332-processed-gene-0.124-mRNA-1_1&gene=genemark-sce_s332-processed-gene-0.124&CDS=1-1767	YJR130C, YML082W
OG0000383	genemark-sce_s332-processed-gene-0.125-mRNA-1_1&gene=genemark-sce_s332-processed-gene-0.125&CDS=1-3075	YLR450W, YML075C
OG0000384	snap_masked-sce_s34-processed-gene-0.16-mRNA-1_1&gene=snap_masked-sce_s34-processed-gene-0.16&CDS=1-402	YBR082C, YDR059C
OG0000385	augustus_masked-sce_s34-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-sce_s34-processed-gene-0.23&CDS=1-2685, snap_masked-sce_s456-processed-gene-0.84-mRNA-1_1&gene=snap_masked-sce_s456-processed-gene-0.84&CDS=1-1668	YDL170W
OG0000386	genemark-sce_s45-processed-gene-3.72-mRNA-1_1&gene=genemark-sce_s45-processed-gene-3.72&CDS=1-681, snap_masked-sce_s355-processed-gene-0.76-mRNA-1_1&gene=snap_masked-sce_s355-processed-gene-0.76&CDS=1-186	YPR124W
OG0000387	augustus_masked-sce_s355-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sce_s355-processed-gene-0.12&CDS=1-480	YBR191W, YPL079W
