	Candida_versatilis	Saccharomyces_cerevisiae
OG0000282	-processed-gene-21.120-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-21.120&CDS=1-567, -processed-gene-21.160-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-21.160&CDS=1-732	YJL158C
OG0000283	-processed-gene-21.161-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-21.161&CDS=1-1056	YBR161W, YPL057C
OG0000284	-processed-gene-21.121-mRNA-1_1&gene=snap_masked-gi|1002316100|dbj|BCJV01000002.1|-processed-gene-21.121&CDS=1-813	YCR010C, YNR002C
OG0000285	-processed-gene-1.0-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-1.0&CDS=1-1239, -processed-gene-38.114-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-38.114&CDS=1-1233	YGL255W
OG0000286	-augustus-gene-1.94-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-augustus-gene-1.94&CDS=1-3858, -processed-gene-15.36-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-15.36&CDS=1-1947	YLR014C
OG0000287	-processed-gene-3.131-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-3.131&CDS=1-1260	YLL012W, YLR020C
OG0000288	-processed-gene-3.63-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-3.63&CDS=1-405	YHL001W, YKL006W
OG0000289	-processed-gene-3.107-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-3.107&CDS=1-513	YIL111W, YNL052W
OG0000290	-processed-gene-3.82-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-3.82&CDS=1-2535	YAL017W, YOL045W
OG0000291	-processed-gene-3.88-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-3.88&CDS=1-2412	YIR033W, YKL020C
OG0000292	-processed-gene-4.113-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-4.113&CDS=1-1068	YDR463W, YHR006W
OG0000293	-processed-gene-4.86-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-4.86&CDS=1-564	YBL027W, YBR084C-A
OG0000294	-processed-gene-5.158-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-5.158&CDS=1-1590	YIL120W, YIL121W
OG0000295	-processed-gene-5.166-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-5.166&CDS=1-276	YJR094W-A, YPR043W
OG0000296	-processed-gene-6.6-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-6.6&CDS=1-3000	YNL106C, YOR109W
OG0000297	-processed-gene-6.23-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-6.23&CDS=1-2268	YJR091C, YPR042C
OG0000298	-processed-gene-6.28-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-6.28&CDS=1-618	YDL082W, YMR142C
OG0000299	-processed-gene-6.171-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-6.171&CDS=1-768	YLR441C, YML063W
OG0000300	-processed-gene-6.38-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-6.38&CDS=1-2931	YGL008C, YPL036W
OG0000301	-processed-gene-8.54-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-8.54&CDS=1-402	YBL002W, YDR224C
OG0000302	-processed-gene-8.50-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-8.50&CDS=1-405	YBL003C, YDR225W
OG0000303	-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-8.127&CDS=1-2520	YCR067C, YNR026C
OG0000304	-processed-gene-8.83-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-8.83&CDS=1-897	YER027C, YGL208W
OG0000305	-processed-gene-9.72-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-9.72&CDS=1-189	YLR287C-A, YOR182C
OG0000306	-processed-gene-9.106-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-9.106&CDS=1-1107	YOR237W, YPL145C
OG0000307	-processed-gene-9.83-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-9.83&CDS=1-321	YOR234C, YPL143W
OG0000308	-processed-gene-9.112-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-9.112&CDS=1-1116	YOR231W, YPL140C
OG0000309	-processed-gene-10.76-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-10.76&CDS=1-786	YHR203C, YJR145C
OG0000310	-augustus-gene-10.64-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-augustus-gene-10.64&CDS=1-3675	YDL131W, YDL182W
OG0000311	-processed-gene-10.97-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-10.97&CDS=1-1977	YDR213W, YLR228C
OG0000312	-processed-gene-11.152-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-11.152&CDS=1-1482	YER059W, YIL050W
OG0000313	-processed-gene-11.130-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-11.130&CDS=1-366	YER056C-A, YIL052C
OG0000314	-processed-gene-11.157-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-11.157&CDS=1-1254	YLR300W, YOR190W
OG0000315	-processed-gene-11.158-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-11.158&CDS=1-1059	YDR146C, YLR131C
OG0000316	-processed-gene-12.8-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-12.8&CDS=1-921, -processed-gene-28.34-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.34&CDS=1-1356	YHR084W
OG0000317	-processed-gene-12.18-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-12.18&CDS=1-324	YEL039C, YJR048W
OG0000318	-processed-gene-12.84-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-12.84&CDS=1-990	YBR042C, YDR018C
OG0000319	-processed-gene-13.12-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-13.12&CDS=1-2388	YBR294W, YLR092W
OG0000320	-processed-gene-13.13-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-13.13&CDS=1-2373	YJL129C, YKR050W
OG0000321	-processed-gene-13.18-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-13.18&CDS=1-1956	YKL072W, YMR053C
OG0000322	-processed-gene-13.56-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-13.56&CDS=1-729	YPR013C, YPR015C
OG0000323	-processed-gene-14.129-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-14.129&CDS=1-3942	YIL149C, YKR095W
OG0000324	-processed-gene-14.76-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-14.76&CDS=1-606	YAL007C, YOR016C
OG0000325	-processed-gene-14.49-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-14.49&CDS=1-564	YJL177W, YKL180W
OG0000326	-processed-gene-14.115-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-14.115&CDS=1-1581	YFL050C, YOL130W
OG0000327	-processed-gene-15.76-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-15.76&CDS=1-1731	YDR497C, YOL103W
OG0000328	-processed-gene-15.124-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-15.124&CDS=1-8079, -processed-gene-20.102-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.102&CDS=1-4647	YLL048C
OG0000329	-processed-gene-16.6-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-16.6&CDS=1-1095	YHR123W, YNL130C
OG0000330	-processed-gene-16.9-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-16.9&CDS=1-408	YDR471W, YHR010W
OG0000331	-processed-gene-16.16-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-16.16&CDS=1-2277	YOR256C, YPL176C
OG0000332	-processed-gene-16.42-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-16.42&CDS=1-1638	YMR119W, YNL008C
OG0000333	-processed-gene-17.85-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-17.85&CDS=1-966	YJL133W, YKR052C
OG0000334	-processed-gene-17.126-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-17.126&CDS=1-810	YGR136W, YPR154W
OG0000335	-processed-gene-17.132-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-17.132&CDS=1-306	YHR132W-A, YNL157W
OG0000336	-processed-gene-18.99-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.99&CDS=1-879	YCL011C, YNL004W
OG0000337	-processed-gene-18.102-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.102&CDS=1-444	YBR082C, YDR059C
OG0000338	-processed-gene-18.75-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.75&CDS=1-528	YDR185C, YLR168C
OG0000339	-processed-gene-18.131-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.131&CDS=1-990, -processed-gene-30.74-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-30.74&CDS=1-978	YJL106W
OG0000340	-processed-gene-18.105-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.105&CDS=1-1173	YJL105W, YKR029C
OG0000341	-processed-gene-18.81-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.81&CDS=1-2571	YGL049C, YGR162W
OG0000342	-processed-gene-18.85-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.85&CDS=1-2580	YHR047C, YKL157W
OG0000343	-processed-gene-18.87-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.87&CDS=1-543	YOR226C, YPL135W
OG0000344	-processed-gene-19.114-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.114&CDS=1-738	YBR147W, YOL092W
OG0000345	-processed-gene-19.124-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.124&CDS=1-1932	YBR216C, YGL060W
OG0000346	-processed-gene-19.99-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.99&CDS=1-516	YOR285W, YOR286W
OG0000347	-processed-gene-20.98-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.98&CDS=1-1191	YJL138C, YKR059W
OG0000348	-processed-gene-21.65-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.65&CDS=1-465	YBR048W, YDR025W
OG0000349	-processed-gene-21.70-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.70&CDS=1-360	YER131W, YGL189C
OG0000350	-processed-gene-21.75-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.75&CDS=1-441	YDL083C, YMR143W
OG0000351	-processed-gene-21.179-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.179&CDS=1-987	YHR115C, YNL116W
OG0000352	-processed-gene-21.114-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.114&CDS=1-423, -processed-gene-34.98-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-34.98&CDS=1-489	YOR028C
OG0000353	-processed-gene-21.122-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.122&CDS=1-492	YLR456W, YPR172W
OG0000354	-processed-gene-22.90-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.90&CDS=1-261	YER019C-A, YER087C-B
OG0000355	-processed-gene-22.91-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.91&CDS=1-2319	YJL084C, YKR021W
OG0000356	-processed-gene-22.33-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.33&CDS=1-3462	YGL133W, YPL216W
OG0000357	-processed-gene-22.71-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.71&CDS=1-2472	YDR122W, YLR096W
OG0000358	-processed-gene-22.72-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.72&CDS=1-2268	YGL139W, YPL221W
OG0000359	-processed-gene-22.104-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.104&CDS=1-651	YGL135W, YPL220W
OG0000360	-processed-gene-23.69-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-23.69&CDS=1-636	YAR002C-A, YGL002W
OG0000361	-processed-gene-23.83-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-23.83&CDS=1-723	YGL076C, YPL198W
OG0000362	-processed-gene-23.95-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-23.95&CDS=1-708	YDR451C, YML027W
OG0000363	-processed-gene-24.75-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-24.75&CDS=1-1710	YBL067C, YER098W
OG0000364	-processed-gene-24.102-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-24.102&CDS=1-3426, -processed-gene-33.19-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-33.19&CDS=1-2823	YJL074C
OG0000365	-processed-gene-24.135-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-24.135&CDS=1-3933	YHR155W, YNL257C
OG0000366	-processed-gene-25.72-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-25.72&CDS=1-495	YDR418W, YEL054C
OG0000367	-processed-gene-25.82-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-25.82&CDS=1-2076	YDR069C, YER144C
OG0000368	-processed-gene-25.87-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-25.87&CDS=1-261	YJL136C, YKR057W
OG0000369	-augustus-gene-25.191-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-augustus-gene-25.191&CDS=1-1860	YJR130C, YML082W
OG0000370	-processed-gene-26.141-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-26.141&CDS=1-948	YER064C, YIL056W
OG0000371	-processed-gene-26.155-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-26.155&CDS=1-1206	YBR033W, YKL038W
OG0000372	-processed-gene-27.187-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-27.187&CDS=1-1923	YDR264C, YOR034C
OG0000373	-processed-gene-27.162-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-27.162&CDS=1-1233	YJL134W, YKR053C
OG0000374	-processed-gene-28.5-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.5&CDS=1-873	YGR283C, YMR310C
OG0000375	-processed-gene-28.49-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.49&CDS=1-909	YAL034C, YOR338W
OG0000376	-processed-gene-28.20-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.20&CDS=1-882	YCL050C, YDR530C
OG0000377	-processed-gene-28.25-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.25&CDS=1-603	YCL026C-A, YCL026C-B
OG0000378	-processed-gene-28.27-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.27&CDS=1-921	YDL088C, YMR153W
OG0000379	-processed-gene-28.93-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.93&CDS=1-894	YGL082W, YPL191C
OG0000380	-processed-gene-28.190-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.190&CDS=1-645	YBR242W, YGL101W
OG0000381	-processed-gene-29.149-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-29.149&CDS=1-1080	YMR177W, YPL224C
OG0000382	-processed-gene-29.117-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-29.117&CDS=1-873	YFL059W, YNL333W
OG0000383	-processed-gene-30.75-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-30.75&CDS=1-324	YDL136W, YDL191W
OG0000384	-processed-gene-30.68-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-30.68&CDS=1-489	YDL137W, YDL192W
OG0000385	-processed-gene-30.116-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-30.116&CDS=1-399	YER074W, YIL069C
OG0000386	-processed-gene-31.59-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-31.59&CDS=1-4788	YNL087W, YOR086C
OG0000387	-processed-gene-31.60-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-31.60&CDS=1-1254	YBR214W, YGL056C
OG0000388	-processed-gene-31.144-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-31.144&CDS=1-942	YLR307W, YLR308W
OG0000389	-processed-gene-31.91-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-31.91&CDS=1-1881	YDR107C, YLR083C
OG0000390	-processed-gene-32.38-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-32.38&CDS=1-729	YGR248W, YHR163W
OG0000391	-processed-gene-33.109-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-33.109&CDS=1-1539	YER054C, YIL045W
OG0000392	-processed-gene-33.49-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-33.49&CDS=1-1944	YML109W, YMR273C
OG0000393	-processed-gene-33.28-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-33.28&CDS=1-417	YBR210W, YGL054C
OG0000394	-processed-gene-33.62-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-33.62&CDS=1-2865	YBL091C-A, YER120W
OG0000395	-processed-gene-34.141-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-34.141&CDS=1-492	YDR178W, YLR164W
OG0000396	-processed-gene-34.88-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-34.88&CDS=1-276	YGR008C, YLR327C
OG0000397	-processed-gene-34.93-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-34.93&CDS=1-1626	YGR092W, YPR111W
OG0000398	-processed-gene-34.99-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-34.99&CDS=1-1635	YGR241C, YHR161C
OG0000399	-processed-gene-36.82-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-36.82&CDS=1-1578	YBR270C, YJL058C
OG0000400	-processed-gene-36.91-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-36.91&CDS=1-1155	YDR348C, YHR097C
OG0000401	-processed-gene-36.100-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-36.100&CDS=1-297	YHR146W, YNL173C
OG0000402	-processed-gene-37.36-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-37.36&CDS=1-720	YDR277C, YOR047C
OG0000403	-processed-gene-37.81-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-37.81&CDS=1-1161	YKL132C, YMR113W
OG0000404	-processed-gene-37.157-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-37.157&CDS=1-1440	YKL133C, YMR115W
OG0000405	-processed-gene-38.59-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-38.59&CDS=1-1425	YDR111C, YLR089C
OG0000406	-processed-gene-38.72-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-38.72&CDS=1-2529	YDR385W, YOR133W
OG0000407	-processed-gene-38.21-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-38.21&CDS=1-1350	YEL041W, YJR049C
OG0000408	-processed-gene-39.62-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-39.62&CDS=1-408	YBL087C, YER117W
OG0000409	-processed-gene-39.90-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-39.90&CDS=1-624	YER031C, YGL210W
OG0000410	-processed-gene-39.76-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-39.76&CDS=1-1149	YDR502C, YLR180W
OG0000411	-processed-gene-39.78-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-39.78&CDS=1-1005	YDR151C, YLR136C
OG0000412	-augustus-gene-40.72-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-augustus-gene-40.72&CDS=1-1974	YDR098C, YER174C
OG0000413	-processed-gene-40.196-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-40.196&CDS=1-2712	YKL050C, YMR031C
OG0000414	-processed-gene-40.172-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-40.172&CDS=1-1623	YKR089C, YOR081C
OG0000415	-processed-gene-40.181-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-40.181&CDS=1-1347	YAL062W, YOR375C
OG0000416	-processed-gene-41.10-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.10&CDS=1-1203	YBL009W, YGL021W
OG0000417	-snap-gene-41.126-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-snap-gene-41.126&CDS=1-1227	YDR501W, YLR183C
OG0000418	-processed-gene-41.33-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.33&CDS=1-1653	YDL042C, YOL068C
OG0000419	-processed-gene-41.52-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.52&CDS=1-2292	YDR458C, YML034W
OG0000420	-processed-gene-41.62-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.62&CDS=1-1458	YBR020W, YDR009W
OG0000421	-processed-gene-41.122-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.122&CDS=1-1146	YGR004W, YLR324W
OG0000422	-processed-gene-41.66-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.66&CDS=1-465	YDR450W, YML026C
OG0000423	-processed-gene-0.36-mRNA-1_1&gene=snap_masked-gi|1002316097|dbj|BCJV01000005.1|-processed-gene-0.36&CDS=1-306	YBL001C
OG0000424	-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-gi|1002316097|dbj|BCJV01000005.1|-processed-gene-0.102&CDS=1-798	YGR127W
OG0000425	-processed-gene-0.48-mRNA-1_1&gene=snap_masked-gi|1002316097|dbj|BCJV01000005.1|-processed-gene-0.48&CDS=1-939	YIL164C
OG0000426	-processed-gene-0.41-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-0.41&CDS=1-1497	YIL162W
OG0000427	-processed-gene-1.114-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-1.114&CDS=1-1368	YNL239W
OG0000428	-processed-gene-0.105-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-0.105&CDS=1-1059	YJL171C
OG0000429	-processed-gene-1.44-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-1.44&CDS=1-1005	YPL088W
OG0000430	-processed-gene-2.61-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-2.61&CDS=1-1137	YGR234W
OG0000431	-processed-gene-2.124-mRNA-1_1&gene=genemark-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-2.124&CDS=1-975	YKL218C
OG0000432	-processed-gene-2.100-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-2.100&CDS=1-1731	YOR380W
OG0000433	-processed-gene-4.71-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.71&CDS=1-1296	YGR212W
OG0000434	-processed-gene-4.100-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.100&CDS=1-690	YKR043C
