	Metschnikowia_matae_maris	Saccharomyces_cerevisiae
OG0000355	augustus_masked-mar-_s200-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-mar-_s200-processed-gene-0.120&CDS=1-1419, snap_masked-mar-_s561-processed-gene-0.20-mRNA-1_1&gene=snap_masked-mar-_s561-processed-gene-0.20&CDS=1-366	YJL002C
OG0000356	snap_masked-mar-_s214-processed-gene-0.184-mRNA-1_1&gene=snap_masked-mar-_s214-processed-gene-0.184&CDS=1-3297	YIR033W, YKL020C
OG0000357	snap_masked-mar-_s214-processed-gene-0.190-mRNA-1_1&gene=snap_masked-mar-_s214-processed-gene-0.190&CDS=1-3054, snap_masked-mar-_s92-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s92-processed-gene-0.8&CDS=1-402	YML043C
OG0000358	snap_masked-mar-_s214-processed-gene-0.229-mRNA-1_1&gene=snap_masked-mar-_s214-processed-gene-0.229&CDS=1-2502, snap_masked-mar-_s81-processed-gene-2.49-mRNA-1_1&gene=snap_masked-mar-_s81-processed-gene-2.49&CDS=1-1884	YEL061C
OG0000359	genemark-mar-_s214-processed-gene-0.101-mRNA-1_1&gene=genemark-mar-_s214-processed-gene-0.101&CDS=1-1401	YMR182C, YPL230W
OG0000360	augustus_masked-mar-_s214-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-mar-_s214-processed-gene-0.22&CDS=1-486	YDR178W, YLR164W
OG0000361	snap_masked-mar-_s214-processed-gene-0.211-mRNA-1_1&gene=snap_masked-mar-_s214-processed-gene-0.211&CDS=1-2148	YER066W, YFL009W
OG0000362	snap_masked-mar-_s214-processed-gene-0.252-mRNA-1_1&gene=snap_masked-mar-_s214-processed-gene-0.252&CDS=1-654	YML106W, YMR271C
OG0000363	snap_masked-mar-_s214-processed-gene-0.254-mRNA-1_1&gene=snap_masked-mar-_s214-processed-gene-0.254&CDS=1-3675	YML109W, YMR273C
OG0000364	maker-mar-_s214-snap-gene-0.274-mRNA-1_1&gene=maker-mar-_s214-snap-gene-0.274&CDS=1-1251	YDR348C, YHR097C
OG0000365	maker-mar-_s214-snap-gene-0.275-mRNA-1_1&gene=maker-mar-_s214-snap-gene-0.275&CDS=1-4194, snap_masked-mar-_s303-processed-gene-0.43-mRNA-1_1&gene=snap_masked-mar-_s303-processed-gene-0.43&CDS=1-2121	YGL205W
OG0000366	maker-mar-_s431-snap-gene-0.10-mRNA-1_1&gene=maker-mar-_s431-snap-gene-0.10&CDS=1-1818, snap_masked-mar-_s214-processed-gene-0.271-mRNA-1_1&gene=snap_masked-mar-_s214-processed-gene-0.271&CDS=1-1623	YGL186C
OG0000367	snap_masked-mar-_s215-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mar-_s215-processed-gene-0.45&CDS=1-2319	YGL139W, YPL221W
OG0000368	maker-mar-_s4-augustus-gene-1.128-mRNA-1_1&gene=maker-mar-_s4-augustus-gene-1.128&CDS=1-2259, snap_masked-mar-_s218-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mar-_s218-processed-gene-0.60&CDS=1-603	YJL097W
OG0000369	snap_masked-mar-_s221-processed-gene-0.35-mRNA-1_1&gene=snap_masked-mar-_s221-processed-gene-0.35&CDS=1-267, snap_masked-mar-_s510-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mar-_s510-processed-gene-0.0&CDS=1-1236	YGR117C
OG0000370	snap_masked-mar-_s221-processed-gene-0.41-mRNA-1_1&gene=snap_masked-mar-_s221-processed-gene-0.41&CDS=1-315	YGR209C, YLR043C
OG0000371	snap_masked-mar-_s221-processed-gene-0.75-mRNA-1_1&gene=snap_masked-mar-_s221-processed-gene-0.75&CDS=1-318	YHR141C, YNL162W
OG0000372	snap_masked-mar-_s226-processed-gene-0.10-mRNA-1_1&gene=snap_masked-mar-_s226-processed-gene-0.10&CDS=1-3711	YDR122W, YLR096W
OG0000373	snap_masked-mar-_s226-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s226-processed-gene-0.8&CDS=1-2136	YGR056W, YLR357W
OG0000374	maker-mar-_s238-snap-gene-0.39-mRNA-1_1&gene=maker-mar-_s238-snap-gene-0.39&CDS=1-738	YMR233W, YOR295W
OG0000375	snap_masked-mar-_s239-processed-gene-0.27-mRNA-1_1&gene=snap_masked-mar-_s239-processed-gene-0.27&CDS=1-909, snap_masked-mar-_s63-processed-gene-2.85-mRNA-1_1&gene=snap_masked-mar-_s63-processed-gene-2.85&CDS=1-972	YGR060W
OG0000376	genemark-mar-_s24-processed-gene-0.53-mRNA-1_1&gene=genemark-mar-_s24-processed-gene-0.53&CDS=1-1320, snap_masked-mar-_s95-processed-gene-1.104-mRNA-1_1&gene=snap_masked-mar-_s95-processed-gene-1.104&CDS=1-1014	YMR127C
OG0000377	snap_masked-mar-_s24-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mar-_s24-processed-gene-0.17&CDS=1-1590	YKL133C, YMR115W
OG0000378	maker-mar-_s245-snap-gene-0.44-mRNA-1_1&gene=maker-mar-_s245-snap-gene-0.44&CDS=1-1365	YCL011C, YNL004W
OG0000379	maker-mar-_s514-snap-gene-0.21-mRNA-1_1&gene=maker-mar-_s514-snap-gene-0.21&CDS=1-2829, snap_masked-mar-_s248-processed-gene-0.29-mRNA-1_1&gene=snap_masked-mar-_s248-processed-gene-0.29&CDS=1-279	YFR016C
OG0000380	augustus_masked-mar-_s248-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mar-_s248-processed-gene-0.13&CDS=1-1125, snap_masked-mar-_s531-processed-gene-0.139-mRNA-1_1&gene=snap_masked-mar-_s531-processed-gene-0.139&CDS=1-870	YER118C
OG0000381	augustus_masked-mar-_s248-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-mar-_s248-processed-gene-0.9&CDS=1-1383	YGR108W, YPR119W
OG0000382	snap_masked-mar-_s255-processed-gene-0.67-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-0.67&CDS=1-816	YDL127W, YDL179W
OG0000383	maker-mar-_s255-snap-gene-0.34-mRNA-1_1&gene=maker-mar-_s255-snap-gene-0.34&CDS=1-3870	YGR143W, YPR159W
OG0000384	augustus_masked-mar-_s255-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-mar-_s255-processed-gene-0.55&CDS=1-507	YGR131W, YPR149W
OG0000385	augustus_masked-mar-_s255-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-mar-_s255-processed-gene-0.43&CDS=1-543	YDL137W, YDL192W
OG0000386	augustus_masked-mar-_s255-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-mar-_s255-processed-gene-0.44&CDS=1-360	YDL136W, YDL191W
OG0000387	augustus_masked-mar-_s255-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-mar-_s255-processed-gene-0.61&CDS=1-954	YGR136W, YPR154W
OG0000388	augustus_masked-mar-_s255-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-mar-_s255-processed-gene-1.84&CDS=1-2442	YBR294W, YLR092W
OG0000389	snap_masked-mar-_s255-processed-gene-1.28-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-1.28&CDS=1-1467	YJL134W, YKR053C
OG0000390	augustus_masked-mar-_s255-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-mar-_s255-processed-gene-1.95&CDS=1-4767, snap_masked-mar-_s271-processed-gene-0.18-mRNA-1_1&gene=snap_masked-mar-_s271-processed-gene-0.18&CDS=1-4641	YDR135C
OG0000391	snap_masked-mar-_s255-processed-gene-1.15-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-1.15&CDS=1-2802, snap_masked-mar-_s325-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mar-_s325-processed-gene-0.25&CDS=1-243	YPL084W
OG0000392	maker-mar-_s255-snap-gene-1.43-mRNA-1_1&gene=maker-mar-_s255-snap-gene-1.43&CDS=1-2580	YBR205W, YOR099W
OG0000393	snap_masked-mar-_s255-processed-gene-1.22-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-1.22&CDS=1-2082	YBR169C, YPL106C
OG0000394	snap_masked-mar-_s255-processed-gene-2.93-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-2.93&CDS=1-3903	YJL076W, YKR010C
OG0000395	snap_masked-mar-_s255-processed-gene-2.130-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-2.130&CDS=1-2172	YJR059W, YKL198C
OG0000396	snap_masked-mar-_s255-processed-gene-2.148-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-2.148&CDS=1-2085, snap_masked-mar-_s73-processed-gene-1.39-mRNA-1_1&gene=snap_masked-mar-_s73-processed-gene-1.39&CDS=1-180	YBL084C
OG0000397	snap_masked-mar-_s255-processed-gene-2.150-mRNA-1_1&gene=snap_masked-mar-_s255-processed-gene-2.150&CDS=1-1524, snap_masked-mar-_s449-processed-gene-0.24-mRNA-1_1&gene=snap_masked-mar-_s449-processed-gene-0.24&CDS=1-1515	YGR260W
OG0000398	snap_masked-mar-_s26-processed-gene-0.40-mRNA-1_1&gene=snap_masked-mar-_s26-processed-gene-0.40&CDS=1-213, snap_masked-mar-_s598-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mar-_s598-processed-gene-0.23&CDS=1-2730	YLL003W
OG0000399	snap_masked-mar-_s26-processed-gene-0.80-mRNA-1_1&gene=snap_masked-mar-_s26-processed-gene-0.80&CDS=1-210, snap_masked-mar-_s53-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_s53-processed-gene-0.1&CDS=1-1506	YBR056W
OG0000400	augustus_masked-mar-_s260-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-mar-_s260-processed-gene-0.60&CDS=1-288, snap_masked-mar-_s562-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mar-_s562-processed-gene-0.12&CDS=1-3558	YDR440W
OG0000401	snap_masked-mar-_s260-processed-gene-0.40-mRNA-1_1&gene=snap_masked-mar-_s260-processed-gene-0.40&CDS=1-1137, snap_masked-mar-_s73-processed-gene-0.32-mRNA-1_1&gene=snap_masked-mar-_s73-processed-gene-0.32&CDS=1-648	YBR018C
OG0000402	snap_masked-mar-_s260-processed-gene-0.41-mRNA-1_1&gene=snap_masked-mar-_s260-processed-gene-0.41&CDS=1-2097, snap_masked-mar-_s600-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mar-_s600-processed-gene-0.6&CDS=1-588	YBR019C
OG0000403	snap_masked-mar-_s260-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mar-_s260-processed-gene-0.17&CDS=1-1536	YBR020W, YDR009W
OG0000404	snap_masked-mar-_s266-processed-gene-0.58-mRNA-1_1&gene=snap_masked-mar-_s266-processed-gene-0.58&CDS=1-573	YGL147C, YNL067W
OG0000405	snap_masked-mar-_s266-processed-gene-1.110-mRNA-1_1&gene=snap_masked-mar-_s266-processed-gene-1.110&CDS=1-1269	YDR451C, YML027W
OG0000406	snap_masked-mar-_s266-processed-gene-1.104-mRNA-1_1&gene=snap_masked-mar-_s266-processed-gene-1.104&CDS=1-225, snap_masked-mar-_s614-processed-gene-0.24-mRNA-1_1&gene=snap_masked-mar-_s614-processed-gene-0.24&CDS=1-630	YKL070W
OG0000407	snap_masked-mar-_s27-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mar-_s27-processed-gene-0.5&CDS=1-1719	YGR138C, YPR156C
OG0000408	snap_masked-mar-_s27-processed-gene-0.10-mRNA-1_1&gene=snap_masked-mar-_s27-processed-gene-0.10&CDS=1-2517, snap_masked-mar-_s42-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mar-_s42-processed-gene-0.19&CDS=1-462, snap_masked-mar-_s516-processed-gene-0.50-mRNA-1_1&gene=snap_masked-mar-_s516-processed-gene-0.50&CDS=1-429	
OG0000409	snap_masked-mar-_s27-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mar-_s27-processed-gene-0.14&CDS=1-1077	YPR013C, YPR015C
OG0000410	augustus_masked-mar-_s45-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-mar-_s45-processed-gene-0.59&CDS=1-243, snap_masked-mar-_s27-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mar-_s27-processed-gene-0.19&CDS=1-792	YEL009C
OG0000411	snap_masked-mar-_s271-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mar-_s271-processed-gene-0.17&CDS=1-564, snap_masked-mar-_s316-processed-gene-0.61-mRNA-1_1&gene=snap_masked-mar-_s316-processed-gene-0.61&CDS=1-555	YLR109W
OG0000412	snap_masked-mar-_s272-processed-gene-0.16-mRNA-1_1&gene=snap_masked-mar-_s272-processed-gene-0.16&CDS=1-924, snap_masked-mar-_s383-processed-gene-0.93-mRNA-1_1&gene=snap_masked-mar-_s383-processed-gene-0.93&CDS=1-927	YDL236W
OG0000413	maker-mar-_s282-augustus-gene-0.61-mRNA-1_1&gene=maker-mar-_s282-augustus-gene-0.61&CDS=1-2310, snap_masked-mar-_s454-processed-gene-1.170-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-1.170&CDS=1-1563	YDL170W
OG0000414	augustus_masked-mar-_s292-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-mar-_s292-processed-gene-0.22&CDS=1-1416, augustus_masked-mar-_s337-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mar-_s337-processed-gene-0.13&CDS=1-561	YDR105C
OG0000415	augustus_masked-mar-_s292-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-mar-_s292-processed-gene-1.8&CDS=1-201	YLR264W, YOR167C
OG0000416	snap_masked-mar-_s292-processed-gene-1.85-mRNA-1_1&gene=snap_masked-mar-_s292-processed-gene-1.85&CDS=1-699	YMR042W, YMR043W
OG0000417	snap_masked-mar-_s298-processed-gene-0.24-mRNA-1_1&gene=snap_masked-mar-_s298-processed-gene-0.24&CDS=1-513	YJL177W, YKL180W
OG0000418	augustus_masked-mar-_s335-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-mar-_s335-processed-gene-0.4&CDS=1-429, snap_masked-mar-_s299-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mar-_s299-processed-gene-0.25&CDS=1-8592	YBL088C
OG0000419	snap_masked-mar-_s299-processed-gene-0.29-mRNA-1_1&gene=snap_masked-mar-_s299-processed-gene-0.29&CDS=1-411	YBL087C, YER117W
OG0000420	snap_masked-mar-_s299-processed-gene-0.43-mRNA-1_1&gene=snap_masked-mar-_s299-processed-gene-0.43&CDS=1-2385	YIL105C, YNL047C
OG0000421	augustus_masked-mar-_s38-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-mar-_s38-processed-gene-0.31&CDS=1-1350, snap_masked-mar-_s3-processed-gene-0.50-mRNA-1_1&gene=snap_masked-mar-_s3-processed-gene-0.50&CDS=1-4287	YMR190C
OG0000422	augustus_masked-mar-_s3-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-mar-_s3-processed-gene-0.63&CDS=1-1068	YDR151C, YLR136C
OG0000423	snap_masked-mar-_s300-processed-gene-0.48-mRNA-1_1&gene=snap_masked-mar-_s300-processed-gene-0.48&CDS=1-390	YBL002W, YDR224C
OG0000424	snap_masked-mar-_s300-processed-gene-0.9-mRNA-1_1&gene=snap_masked-mar-_s300-processed-gene-0.9&CDS=1-390	YBL003C, YDR225W
OG0000425	snap_masked-mar-_s300-processed-gene-0.56-mRNA-1_1&gene=snap_masked-mar-_s300-processed-gene-0.56&CDS=1-2838, snap_masked-mar-_s520-processed-gene-0.97-mRNA-1_1&gene=snap_masked-mar-_s520-processed-gene-0.97&CDS=1-2964	YGR204W
OG0000426	snap_masked-mar-_s300-processed-gene-0.40-mRNA-1_1&gene=snap_masked-mar-_s300-processed-gene-0.40&CDS=1-858	YHR133C, YNL156C
OG0000427	augustus_masked-mar-_s305-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-mar-_s305-processed-gene-0.16&CDS=1-363, snap_masked-mar-_s605-processed-gene-0.85-mRNA-1_1&gene=snap_masked-mar-_s605-processed-gene-0.85&CDS=1-1443	YOR155C
OG0000428	augustus_masked-mar-_s306-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mar-_s306-processed-gene-0.8&CDS=1-507, maker-mar-_s477-snap-gene-0.50-mRNA-1_1&gene=maker-mar-_s477-snap-gene-0.50&CDS=1-2718	YPL244C
OG0000429	snap_masked-mar-_s316-processed-gene-0.55-mRNA-1_1&gene=snap_masked-mar-_s316-processed-gene-0.55&CDS=1-1875	YNL299W, YOL115W
OG0000430	snap_masked-mar-_s323-processed-gene-0.30-mRNA-1_1&gene=snap_masked-mar-_s323-processed-gene-0.30&CDS=1-879	YMR183C, YPL232W
OG0000431	snap_masked-mar-_s325-processed-gene-0.37-mRNA-1_1&gene=snap_masked-mar-_s325-processed-gene-0.37&CDS=1-1134, snap_masked-mar-_s73-processed-gene-0.46-mRNA-1_1&gene=snap_masked-mar-_s73-processed-gene-0.46&CDS=1-249	YOR007C
OG0000432	snap_masked-mar-_s325-processed-gene-0.47-mRNA-1_1&gene=snap_masked-mar-_s325-processed-gene-0.47&CDS=1-768, snap_masked-mar-_s513-processed-gene-1.91-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.91&CDS=1-768	YLR441C
OG0000433	snap_masked-mar-_s33-processed-gene-0.39-mRNA-1_1&gene=snap_masked-mar-_s33-processed-gene-0.39&CDS=1-1797	YGR092W, YPR111W
OG0000434	genemark-mar-_s330-processed-gene-0.71-mRNA-1_1&gene=genemark-mar-_s330-processed-gene-0.71&CDS=1-1920	YHR131C, YNL144C
OG0000435	augustus_masked-mar-_s330-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-mar-_s330-processed-gene-0.56&CDS=1-312	YGR027C, YLR333C
OG0000436	snap_masked-mar-_s330-processed-gene-0.34-mRNA-1_1&gene=snap_masked-mar-_s330-processed-gene-0.34&CDS=1-819	YDL049C, YJL174W
OG0000437	augustus_masked-mar-_s337-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mar-_s337-processed-gene-0.10&CDS=1-519, snap_masked-mar-_s47-processed-gene-1.167-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.167&CDS=1-2955	YBR074W
OG0000438	snap_masked-mar-_s337-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s337-processed-gene-0.8&CDS=1-3093	YJL084C, YKR021W
OG0000439	snap_masked-mar-_s355-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s355-processed-gene-0.8&CDS=1-435	YGR118W, YPR132W
OG0000440	maker-mar-_s363-snap-gene-0.74-mRNA-1_1&gene=maker-mar-_s363-snap-gene-0.74&CDS=1-2439, snap_masked-mar-_s605-processed-gene-0.108-mRNA-1_1&gene=snap_masked-mar-_s605-processed-gene-0.108&CDS=1-2826	YOR270C
OG0000441	augustus_masked-mar-_s363-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-mar-_s363-processed-gene-0.96&CDS=1-4797, snap_masked-mar-_s365-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mar-_s365-processed-gene-0.4&CDS=1-450	YCR081W
OG0000442	augustus_masked-mar-_s43-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mar-_s43-processed-gene-0.19&CDS=1-249, snap_masked-mar-_s363-processed-gene-0.71-mRNA-1_1&gene=snap_masked-mar-_s363-processed-gene-0.71&CDS=1-219	YNR032C-A
OG0000443	snap_masked-mar-_s378-processed-gene-0.48-mRNA-1_1&gene=snap_masked-mar-_s378-processed-gene-0.48&CDS=1-357	YER131W, YGL189C
OG0000444	snap_masked-mar-_s378-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mar-_s378-processed-gene-0.60&CDS=1-426, snap_masked-mar-_s63-processed-gene-2.93-mRNA-1_1&gene=snap_masked-mar-_s63-processed-gene-2.93&CDS=1-2139	YKL054C
OG0000445	snap_masked-mar-_s38-processed-gene-0.58-mRNA-1_1&gene=snap_masked-mar-_s38-processed-gene-0.58&CDS=1-237, snap_masked-mar-_s430-processed-gene-1.89-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-1.89&CDS=1-2268	YOL076W
OG0000446	snap_masked-mar-_s380-processed-gene-0.38-mRNA-1_1&gene=snap_masked-mar-_s380-processed-gene-0.38&CDS=1-1806	YDL224C, YNL197C
OG0000447	snap_masked-mar-_s380-processed-gene-0.30-mRNA-1_1&gene=snap_masked-mar-_s380-processed-gene-0.30&CDS=1-4497	YEL022W, YJR031C
OG0000448	snap_masked-mar-_s380-processed-gene-0.32-mRNA-1_1&gene=snap_masked-mar-_s380-processed-gene-0.32&CDS=1-3930	YLL016W, YLR310C
OG0000449	snap_masked-mar-_s380-processed-gene-0.33-mRNA-1_1&gene=snap_masked-mar-_s380-processed-gene-0.33&CDS=1-3762, snap_masked-mar-_s501-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mar-_s501-processed-gene-0.4&CDS=1-222	YLR309C
OG0000450	augustus_masked-mar-_s42-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mar-_s42-processed-gene-0.1&CDS=1-723, maker-mar-_s381-snap-gene-0.13-mRNA-1_1&gene=maker-mar-_s381-snap-gene-0.13&CDS=1-2937	YPR163C
OG0000451	snap_masked-mar-_s382-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s382-processed-gene-0.8&CDS=1-825, snap_masked-mar-_s60-processed-gene-0.35-mRNA-1_1&gene=snap_masked-mar-_s60-processed-gene-0.35&CDS=1-393	YLR284C
OG0000452	snap_masked-mar-_s382-processed-gene-0.11-mRNA-1_1&gene=snap_masked-mar-_s382-processed-gene-0.11&CDS=1-2394	YMR119W, YNL008C
OG0000453	snap_masked-mar-_s382-processed-gene-0.16-mRNA-1_1&gene=snap_masked-mar-_s382-processed-gene-0.16&CDS=1-360	YGR243W, YHR162W
OG0000454	augustus_masked-mar-_s51-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mar-_s51-processed-gene-0.6&CDS=1-1170, snap_masked-mar-_s383-processed-gene-0.115-mRNA-1_1&gene=snap_masked-mar-_s383-processed-gene-0.115&CDS=1-1113	YEL046C
OG0000455	maker-mar-_s383-snap-gene-0.73-mRNA-1_1&gene=maker-mar-_s383-snap-gene-0.73&CDS=1-1983	YGR241C, YHR161C
OG0000456	augustus_masked-mar-_s68-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-mar-_s68-processed-gene-0.127&CDS=1-3147, snap_masked-mar-_s385-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s385-processed-gene-0.8&CDS=1-747	YOR069W
OG0000457	snap_masked-mar-_s391-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_s391-processed-gene-0.1&CDS=1-1689, snap_masked-mar-_s493-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s493-processed-gene-0.8&CDS=1-456	YPL092W
OG0000458	augustus_masked-mar-_s97-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mar-_s97-processed-gene-0.11&CDS=1-504, snap_masked-mar-_s4-processed-gene-1.22-mRNA-1_1&gene=snap_masked-mar-_s4-processed-gene-1.22&CDS=1-1125	YOR084W
OG0000459	snap_masked-mar-_s4-processed-gene-1.42-mRNA-1_1&gene=snap_masked-mar-_s4-processed-gene-1.42&CDS=1-516	YLR456W, YPR172W
OG0000460	snap_masked-mar-_s40-processed-gene-0.13-mRNA-1_1&gene=snap_masked-mar-_s40-processed-gene-0.13&CDS=1-909	YBR105C, YGR066C
OG0000461	snap_masked-mar-_s40-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mar-_s40-processed-gene-0.7&CDS=1-1062, snap_masked-mar-_s68-processed-gene-1.9-mRNA-1_1&gene=snap_masked-mar-_s68-processed-gene-1.9&CDS=1-1290	YGL247W
OG0000462	maker-mar-_s407-augustus-gene-0.87-mRNA-1_1&gene=maker-mar-_s407-augustus-gene-0.87&CDS=1-2172	YGR141W, YPR157W
OG0000463	snap_masked-mar-_s407-processed-gene-1.178-mRNA-1_1&gene=snap_masked-mar-_s407-processed-gene-1.178&CDS=1-369	YMR230W, YOR293W
OG0000464	snap_masked-mar-_s407-processed-gene-1.157-mRNA-1_1&gene=snap_masked-mar-_s407-processed-gene-1.157&CDS=1-1170	YMR243C, YOR316C
OG0000465	snap_masked-mar-_s407-processed-gene-1.194-mRNA-1_1&gene=snap_masked-mar-_s407-processed-gene-1.194&CDS=1-2157	YFL050C, YOL130W
OG0000466	augustus_masked-mar-_s53-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-mar-_s53-processed-gene-0.87&CDS=1-525, snap_masked-mar-_s429-processed-gene-0.29-mRNA-1_1&gene=snap_masked-mar-_s429-processed-gene-0.29&CDS=1-2964	YPL125W
OG0000467	snap_masked-mar-_s429-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mar-_s429-processed-gene-0.5&CDS=1-1617, snap_masked-mar-_s623-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mar-_s623-processed-gene-0.21&CDS=1-1590	YMR221C
OG0000468	snap_masked-mar-_s429-processed-gene-0.38-mRNA-1_1&gene=snap_masked-mar-_s429-processed-gene-0.38&CDS=1-1503	YMR169C, YMR170C
OG0000469	snap_masked-mar-_s429-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mar-_s429-processed-gene-0.17&CDS=1-864, snap_masked-mar-_s454-processed-gene-1.120-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-1.120&CDS=1-864	YNL202W
OG0000470	augustus_masked-mar-_s581-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-mar-_s581-processed-gene-0.9&CDS=1-1752, snap_masked-mar-_s43-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mar-_s43-processed-gene-0.12&CDS=1-222, snap_masked-mar-_s513-processed-gene-1.139-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.139&CDS=1-1014	
OG0000471	augustus_masked-mar-_s639-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mar-_s639-processed-gene-0.8&CDS=1-393, genemark-mar-_s430-processed-gene-0.106-mRNA-1_1&gene=genemark-mar-_s430-processed-gene-0.106&CDS=1-5601	YDR159W
OG0000472	genemark-mar-_s587-processed-gene-0.31-mRNA-1_1&gene=genemark-mar-_s587-processed-gene-0.31&CDS=1-981, snap_masked-mar-_s430-processed-gene-0.41-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-0.41&CDS=1-1452	YBR233W
OG0000473	snap_masked-mar-_s430-processed-gene-1.52-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-1.52&CDS=1-1164	YDR134C, YLR110C
OG0000474	augustus_masked-mar-_s632-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mar-_s632-processed-gene-0.8&CDS=1-444, snap_masked-mar-_s430-processed-gene-1.56-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-1.56&CDS=1-720	YAL049C
OG0000475	snap_masked-mar-_s430-processed-gene-1.91-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-1.91&CDS=1-456	YEL066W, YPR193C
OG0000476	snap_masked-mar-_s430-processed-gene-1.92-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-1.92&CDS=1-1647	YHR115C, YNL116W
OG0000477	snap_masked-mar-_s430-processed-gene-2.60-mRNA-1_1&gene=snap_masked-mar-_s430-processed-gene-2.60&CDS=1-315	YER019C-A, YER087C-B
OG0000478	snap_masked-mar-_s431-processed-gene-0.18-mRNA-1_1&gene=snap_masked-mar-_s431-processed-gene-0.18&CDS=1-1383, snap_masked-mar-_s63-processed-gene-2.66-mRNA-1_1&gene=snap_masked-mar-_s63-processed-gene-2.66&CDS=1-1374	YMR020W
