	Saccharomyces_cerevisiae	yHMPu5000035684_Kloeckera_hatyaiensis
OG0000175	YDL075W, YLR406C	augustus_masked-flattened_line_20-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.121&CDS=1-339
OG0000176	YDL082W, YMR142C	snap_masked-flattened_line_26-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.87&CDS=1-594
OG0000177	YDL083C, YMR143W	genemark-flattened_line_26-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.45&CDS=1-426
OG0000178	YDL088C, YMR153W	genemark-flattened_line_6-processed-gene-1.194-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.194&CDS=1-1629
OG0000179	YDL109C, YGL144C	augustus_masked-flattened_line_40-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.83&CDS=1-2145
OG0000180	YDL124W	augustus_masked-flattened_line_12-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.87&CDS=1-954, genemark-flattened_line_72-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.98&CDS=1-954
OG0000181	YDL127W, YDL179W	augustus_masked-flattened_line_98-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.96&CDS=1-1089
OG0000182	YDL134C, YDL188C	augustus_masked-flattened_line_98-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.74&CDS=1-1143
OG0000183	YDL136W, YDL191W	genemark-flattened_line_98-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.24&CDS=1-444
OG0000184	YDL137W, YDL192W	augustus_masked-flattened_line_98-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.94&CDS=1-1044
OG0000185	YDL138W, YDL194W	augustus_masked-flattened_line_98-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.70&CDS=1-3159
OG0000186	YDL155W, YLR210W	augustus_masked-flattened_line_24-processed-gene-0.214-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.214&CDS=1-1497
OG0000187	YDL161W, YLR206W	augustus_masked-flattened_line_16-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.91&CDS=1-1341
OG0000188	YDL222C, YNL194C	augustus_masked-flattened_line_122-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.4&CDS=1-1152
OG0000189	YDL224C, YNL197C	augustus_masked-flattened_line_122-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.5&CDS=1-2199
OG0000190	YDR069C, YER144C	augustus_masked-flattened_line_102-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.91&CDS=1-2847
OG0000191	YDR098C, YER174C	augustus_masked-flattened_line_124-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_124-processed-gene-0.12&CDS=1-741
OG0000192	YDR099W, YER177W	augustus_masked-flattened_line_124-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_124-processed-gene-0.4&CDS=1-804
OG0000193	YDR107C, YLR083C	genemark-flattened_line_144-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.8&CDS=1-2001
OG0000194	YDR122W, YLR096W	augustus_masked-flattened_line_22-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.24&CDS=1-3789
OG0000195	YDR125C, YLR099C	augustus_masked-flattened_line_74-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.45&CDS=1-1302
OG0000196	YDR132C, YLR108C	augustus_masked-flattened_line_56-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.32&CDS=1-1863
OG0000197	YDR146C, YLR131C	augustus_masked-flattened_line_56-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.35&CDS=1-2739
OG0000198	YDR151C, YLR136C	augustus_masked-flattened_line_138-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_138-processed-gene-0.8&CDS=1-759
OG0000199	YDR185C, YLR168C	augustus_masked-flattened_line_114-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.69&CDS=1-528
OG0000200	YDR200C, YLR238W	snap_masked-flattened_line_22-processed-gene-1.66-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.66&CDS=1-1485
OG0000201	YDR213W, YLR228C	maker-flattened_line_22-snap-gene-1.106-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.106&CDS=1-2754
OG0000202	YDR223W, YLR223C	snap_masked-flattened_line_22-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.52&CDS=1-3795
OG0000203	YDR247W, YPL026C	augustus_masked-flattened_line_92-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.44&CDS=1-1830
OG0000204	YDR251W, YPL032C	augustus_masked-flattened_line_92-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.58&CDS=1-2895
OG0000205	YDR252W, YPL037C	augustus_masked-flattened_line_92-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.57&CDS=1-489
OG0000206	YDR253C, YPL038W	augustus_masked-flattened_line_92-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.41&CDS=1-1164
OG0000207	YDR264C, YOR034C	augustus_masked-flattened_line_30-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.53&CDS=1-2601
OG0000208	YDR272W, YOR040W	augustus_masked-flattened_line_28-processed-gene-0.220-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.220&CDS=1-840
OG0000209	YDR273W, YOR042W	augustus_masked-flattened_line_28-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.219&CDS=1-1497
OG0000210	YDR277C, YOR047C	augustus_masked-flattened_line_28-processed-gene-0.175-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.175&CDS=1-1269
OG0000211	YDR295C, YPR179C	augustus_masked-flattened_line_158-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_158-processed-gene-0.1&CDS=1-2391
OG0000212	YDR300C, YHR033W	augustus_masked-flattened_line_8-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.9&CDS=1-1215
OG0000213	YDR303C, YHR056C	augustus_masked-flattened_line_8-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.13&CDS=1-2670
OG0000214	YDR312W, YHR066W	augustus_masked-flattened_line_8-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.81&CDS=1-1383
OG0000215	YDR319C	augustus_masked-flattened_line_342-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_342-processed-gene-0.2&CDS=1-717, augustus_masked-flattened_line_348-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_348-processed-gene-0.0&CDS=1-717
OG0000216	YDR348C, YHR097C	maker-flattened_line_30-augustus-gene-0.140-mRNA-1_1&gene=maker-flattened_line_30-augustus-gene-0.140&CDS=1-1551
OG0000217	YDR351W, YHR103W	snap_masked-flattened_line_28-processed-gene-0.132-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.132&CDS=1-3486
OG0000218	YDR358W, YHR108W	augustus_masked-flattened_line_58-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.78&CDS=1-1725
OG0000219	YDR368W, YOR120W	augustus_masked-flattened_line_56-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.9&CDS=1-954
OG0000220	YDR379W, YOR127W	augustus_masked-flattened_line_58-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.61&CDS=1-3765
OG0000221	YDR385W, YOR133W	augustus_masked-flattened_line_58-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.85&CDS=1-2526
OG0000222	YDR389W, YOR134W	augustus_masked-flattened_line_38-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.117&CDS=1-1545
OG0000223	YDR409W, YOR156C	augustus_masked-flattened_line_38-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.74&CDS=1-2184
OG0000224	YDR418W, YEL054C	augustus_masked-flattened_line_180-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_180-processed-gene-0.6&CDS=1-495
OG0000225	YDR447C, YML024W	augustus_masked-flattened_line_12-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.17&CDS=1-402
OG0000226	YDR450W, YML026C	augustus_masked-flattened_line_12-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.49&CDS=1-438
OG0000227	YDR451C, YML027W	augustus_masked-flattened_line_12-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.15&CDS=1-867
OG0000228	YDR471W, YHR010W	augustus_masked-flattened_line_8-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.119&CDS=1-408
OG0000229	YDR500C, YLR185W	augustus_masked-flattened_line_74-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.67&CDS=1-264
OG0000230	YDR501W, YLR183C	augustus_masked-flattened_line_74-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.50&CDS=1-1515
OG0000231	YDR505C, YLR177W	augustus_masked-flattened_line_74-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.54&CDS=1-2457
OG0000232	YDR525W-A, YJL151C	augustus_masked-flattened_line_32-processed-gene-0.214-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.214&CDS=1-360
OG0000233	YDR527W	augustus_masked-flattened_line_1584-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1584-processed-gene-0.0&CDS=1-246, augustus_masked-flattened_line_194-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_194-processed-gene-0.9&CDS=1-795
OG0000234	YEL006W, YIL006W	genemark-flattened_line_130-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_130-processed-gene-0.24&CDS=1-1257
OG0000235	YEL022W, YJR031C	augustus_masked-flattened_line_68-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.95&CDS=1-4350
OG0000236	YEL029C, YNR027W	augustus_masked-flattened_line_52-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.83&CDS=1-1080
OG0000237	YEL039C, YJR048W	augustus_masked-flattened_line_52-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.66&CDS=1-324
OG0000238	YEL040W, YLR213C	maker-flattened_line_24-snap-gene-0.159-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-0.159&CDS=1-384
OG0000239	YEL041W, YJR049C	augustus_masked-flattened_line_52-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.93&CDS=1-2052
OG0000240	YEL047C, YJR051W	snap_masked-flattened_line_40-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.124&CDS=1-1515
OG0000241	YEL072W	augustus_masked-flattened_line_12-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.102&CDS=1-714, augustus_masked-flattened_line_8-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.103&CDS=1-711
OG0000242	YER019C-A, YER087C-B	augustus_masked-flattened_line_16-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.97&CDS=1-312
OG0000243	YER027C, YGL208W	augustus_masked-flattened_line_8-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.88&CDS=1-1383
OG0000244	YER028C, YGL209W	augustus_masked-flattened_line_12-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.125&CDS=1-1653
OG0000245	YER031C, YGL210W	augustus_masked-flattened_line_12-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.33&CDS=1-684
OG0000246	YER037W, YGL224C	augustus_masked-flattened_line_8-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.125&CDS=1-1110
OG0000247	YER045C, YIL036W	augustus_masked-flattened_line_60-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.62&CDS=1-1014
OG0000248	YER059W, YIL050W	augustus_masked-flattened_line_118-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.40&CDS=1-1890
OG0000249	YER062C, YIL053W	maker-flattened_line_118-snap-gene-0.26-mRNA-1_1&gene=maker-flattened_line_118-snap-gene-0.26&CDS=1-1005
OG0000250	YER064C, YIL056W	augustus_masked-flattened_line_118-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.53&CDS=1-2406
OG0000251	YER066W, YFL009W	snap_masked-flattened_line_70-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.36&CDS=1-2073
OG0000252	YER131W, YGL189C	augustus_masked-flattened_line_60-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.49&CDS=1-360
OG0000253	YER132C, YGL197W	augustus_masked-flattened_line_60-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.72&CDS=1-5793
OG0000254	YFL004W, YPL019C	augustus_masked-flattened_line_110-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.33&CDS=1-2802
OG0000255	YFL010C	snap_masked-flattened_line_198-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_198-processed-gene-0.15&CDS=1-597, snap_masked-flattened_line_198-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_198-processed-gene-0.16&CDS=1-456
OG0000256	YFL034C-A, YLR061W	augustus_masked-flattened_line_70-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.81&CDS=1-387
OG0000257	YFL042C, YLR072W	augustus_masked-flattened_line_4-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.102&CDS=1-2841
OG0000258	YFL048C, YLR080W	snap_masked-flattened_line_14-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.74&CDS=1-1401
OG0000259	YFL050C, YOL130W	augustus_masked-flattened_line_54-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.128&CDS=1-1950
OG0000260	YFR015C, YLR258W	augustus_masked-flattened_line_52-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.96&CDS=1-2094
OG0000261	YFR022W, YOR018W	augustus_masked-flattened_line_136-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.35&CDS=1-2541
OG0000262	YFR023W, YHR015W	augustus_masked-flattened_line_24-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.186&CDS=1-1944
OG0000263	YFR024C-A, YHR016C	augustus_masked-flattened_line_68-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.108&CDS=1-1323
OG0000264	YFR031C-A, YIL018W	augustus_masked-flattened_line_32-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.168&CDS=1-1671
OG0000265	YFR039C, YGL228W	augustus_masked-flattened_line_12-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.12&CDS=1-1554
OG0000266	YFR051C	augustus_masked-flattened_line_12-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.84&CDS=1-1572, augustus_masked-flattened_line_310-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_310-processed-gene-0.1&CDS=1-141
OG0000267	YGL031C, YGR148C	augustus_masked-flattened_line_150-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_150-processed-gene-0.7&CDS=1-453
OG0000268	YGL049C, YGR162W	augustus_masked-flattened_line_168-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_168-processed-gene-0.1&CDS=1-2547
OG0000269	YGL076C, YPL198W	genemark-flattened_line_4-processed-gene-1.36-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.36&CDS=1-633
OG0000270	YGL082W, YPL191C	snap_masked-flattened_line_4-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.51&CDS=1-1002
OG0000271	YGL089C, YPL187W	augustus_masked-flattened_line_4-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.21&CDS=1-564
OG0000272	YGL133W, YPL216W	snap_masked-flattened_line_112-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_112-processed-gene-0.6&CDS=1-3996
OG0000273	YGL135W, YPL220W	augustus_masked-flattened_line_112-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.45&CDS=1-651
OG0000274	YGL139W, YPL221W	augustus_masked-flattened_line_112-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.47&CDS=1-2397
OG0000275	YGL162W, YPR009W	augustus_masked-flattened_line_4-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.134&CDS=1-2013
OG0000276	YGL202W	augustus_masked-flattened_line_116-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.37&CDS=1-1500, augustus_masked-flattened_line_64-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.54&CDS=1-1473
OG0000277	YGL250W	snap_masked-flattened_line_310-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_310-processed-gene-0.0&CDS=1-816, snap_masked-flattened_line_8-processed-gene-1.35-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.35&CDS=1-816
OG0000278	YGR010W, YLR328W	genemark-flattened_line_38-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.33&CDS=1-984
OG0000279	YGR023W, YLR332W	augustus_masked-flattened_line_2-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.82&CDS=1-1281
OG0000280	YGR027C, YLR333C	augustus_masked-flattened_line_2-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.77&CDS=1-324
OG0000281	YGR034W, YLR344W	augustus_masked-flattened_line_110-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.44&CDS=1-378
OG0000282	YGR038W, YLR350W	augustus_masked-flattened_line_2-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.99&CDS=1-765
OG0000283	YGR049W, YLR356W	augustus_masked-flattened_line_14-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.66&CDS=1-501
OG0000284	YGR056W, YLR357W	augustus_masked-flattened_line_14-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.63&CDS=1-3189
OG0000285	YGR085C, YPR102C	augustus_masked-flattened_line_26-processed-gene-0.226-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.226&CDS=1-522
OG0000286	YGR092W, YPR111W	snap_masked-flattened_line_116-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_116-processed-gene-0.17&CDS=1-1752
OG0000287	YGR097W, YPR115W	maker-flattened_line_116-snap-gene-0.26-mRNA-1_1&gene=maker-flattened_line_116-snap-gene-0.26&CDS=1-2937
OG0000288	YGR108W, YPR119W	augustus_masked-flattened_line_30-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.1&CDS=1-1620
OG0000289	YGR118W, YPR132W	augustus_masked-flattened_line_48-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.69&CDS=1-435
OG0000290	YGR131W, YPR149W	augustus_masked-flattened_line_32-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.153&CDS=1-492
OG0000291	YGR136W, YPR154W	augustus_masked-flattened_line_32-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.157&CDS=1-684
OG0000292	YGR138C, YPR156C	augustus_masked-flattened_line_32-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.158&CDS=1-1962
OG0000293	YGR141W, YPR157W	snap_masked-flattened_line_32-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.81&CDS=1-1242
OG0000294	YGR142W, YPR158W	snap_masked-flattened_line_46-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.69&CDS=1-1623
OG0000295	YGR173W	snap_masked-flattened_line_442-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_442-processed-gene-0.1&CDS=1-495, snap_masked-flattened_line_538-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_538-processed-gene-0.1&CDS=1-495
OG0000296	YGR188C, YJL013C	snap_masked-flattened_line_80-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.15&CDS=1-2676
OG0000297	YGR209C, YLR043C	genemark-flattened_line_30-processed-gene-0.173-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.173&CDS=1-408
OG0000298	YGR214W, YLR048W	maker-flattened_line_50-augustus-gene-0.1-mRNA-1_1&gene=maker-flattened_line_50-augustus-gene-0.1&CDS=1-750
OG0000299	YGR241C, YHR161C	augustus_masked-flattened_line_0-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.42&CDS=1-1920
OG0000300	YGR243W, YHR162W	augustus_masked-flattened_line_0-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.64&CDS=1-513
OG0000301	YGR248W, YHR163W	augustus_masked-flattened_line_20-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.146&CDS=1-774
OG0000302	YGR256W, YHR183W	augustus_masked-flattened_line_250-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_250-processed-gene-0.5&CDS=1-1116
OG0000303	YGR267C	augustus_masked-flattened_line_0-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.31&CDS=1-519, augustus_masked-flattened_line_862-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_862-processed-gene-0.0&CDS=1-147
OG0000304	YHL001W, YKL006W	maker-flattened_line_20-augustus-gene-0.89-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-0.89&CDS=1-408
OG0000305	YHL003C, YKL008C	augustus_masked-flattened_line_20-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.104&CDS=1-1281
OG0000306	YHL033C, YLL045C	augustus_masked-flattened_line_72-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.34&CDS=1-765
OG0000307	YHR004C	genemark-flattened_line_48-processed-gene-0.124-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.124&CDS=1-1356, snap_masked-flattened_line_164-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_164-processed-gene-0.27&CDS=1-828
OG0000308	YHR021C, YKL156W	snap_masked-flattened_line_82-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.46&CDS=1-255
OG0000309	YHR039C-A	augustus_masked-flattened_line_470-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_470-processed-gene-0.3&CDS=1-345, augustus_masked-flattened_line_472-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_472-processed-gene-0.3&CDS=1-345
OG0000310	YHR047C, YKL157W	maker-flattened_line_196-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_196-snap-gene-0.7&CDS=1-5292
OG0000311	YHR115C, YNL116W	augustus_masked-flattened_line_42-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.42&CDS=1-1305
OG0000312	YHR117W, YNL121C	augustus_masked-flattened_line_42-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.16&CDS=1-1794
OG0000313	YHR131C, YNL144C	snap_masked-flattened_line_34-processed-gene-0.112-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.112&CDS=1-4200
OG0000314	YHR132W-A, YNL157W	augustus_masked-flattened_line_34-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.10&CDS=1-525
OG0000315	YHR139C, YNL160W	augustus_masked-flattened_line_0-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.42&CDS=1-978
OG0000316	YHR141C, YNL162W	maker-flattened_line_0-augustus-gene-2.115-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-2.115&CDS=1-318
OG0000317	YHR146W, YNL173C	augustus_masked-flattened_line_6-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.54&CDS=1-1182
OG0000318	YHR155W, YNL257C	augustus_masked-flattened_line_106-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.11&CDS=1-4029
OG0000319	YHR185C	augustus_masked-flattened_line_388-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_388-processed-gene-0.2&CDS=1-651, snap_masked-flattened_line_284-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_284-processed-gene-0.3&CDS=1-360
OG0000320	YHR198C, YHR199C	augustus_masked-flattened_line_10-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.134&CDS=1-789
OG0000321	YHR203C, YJR145C	augustus_masked-flattened_line_10-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.57&CDS=1-780
OG0000322	YIL070C	augustus_masked-flattened_line_82-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.81&CDS=1-792, augustus_masked-flattened_line_82-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.82&CDS=1-771
OG0000323	YIL085C, YNL029C	augustus_masked-flattened_line_6-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.129&CDS=1-1662
