	Saccharomyces_cerevisiae	yHMPu5000034892_Ogataea_pilisensis
OG0000112	YHL019C, YPL259C	genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.30-mRNA-1_1&gene=genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.30&CDS=1-1428, genemark-NODE_59_length_84501_cov_15.2233_ID_117-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_59_length_84501_cov_15.2233_ID_117-processed-gene-0.53&CDS=1-1974
OG0000113	YHL033C, YLL045C	genemark-NODE_72_length_59528_cov_15.4124_ID_143-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_72_length_59528_cov_15.4124_ID_143-processed-gene-0.43&CDS=1-804, snap_masked-NODE_17_length_221594_cov_14.1682_ID_33-processed-gene-1.77-mRNA-1_1&gene=snap_masked-NODE_17_length_221594_cov_14.1682_ID_33-processed-gene-1.77&CDS=1-825
OG0000114	YHR020W	genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-0.66-mRNA-1_1&gene=genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-0.66&CDS=1-1989, genemark-NODE_34_length_147541_cov_15.0766_ID_67-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_34_length_147541_cov_15.0766_ID_67-processed-gene-0.30&CDS=1-1989, maker-NODE_8_length_298097_cov_17.6183_ID_15-snap-gene-1.173-mRNA-1_1&gene=maker-NODE_8_length_298097_cov_17.6183_ID_15-snap-gene-1.173&CDS=1-6996
OG0000115	YHR023W, YOR326W	genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-1.89-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-1.89&CDS=1-5592, genemark-NODE_83_length_45853_cov_15.1385_ID_165-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_83_length_45853_cov_15.1385_ID_165-processed-gene-0.9&CDS=1-4599
OG0000116	YHR028C, YOR219C	genemark-NODE_54_length_94023_cov_13.9242_ID_107-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_54_length_94023_cov_13.9242_ID_107-processed-gene-0.92&CDS=1-2694, snap_masked-NODE_93_length_41028_cov_14.4543_ID_185-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_93_length_41028_cov_14.4543_ID_185-processed-gene-0.33&CDS=1-2568
OG0000117	YHR179W, YPL171C	genemark-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-1.148-mRNA-1_1&gene=genemark-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-1.148&CDS=1-1236, maker-NODE_25_length_186291_cov_14.9916_ID_49-snap-gene-0.238-mRNA-1_1&gene=maker-NODE_25_length_186291_cov_14.9916_ID_49-snap-gene-0.238&CDS=1-3519
OG0000118	YIL035C, YOR061W	genemark-NODE_33_length_151141_cov_14.8166_ID_65-processed-gene-0.150-mRNA-1_1&gene=genemark-NODE_33_length_151141_cov_14.8166_ID_65-processed-gene-0.150&CDS=1-999, genemark-NODE_48_length_105303_cov_14.6058_ID_95-processed-gene-0.118-mRNA-1_1&gene=genemark-NODE_48_length_105303_cov_14.6058_ID_95-processed-gene-0.118&CDS=1-999
OG0000119	YIL038C, YPR072W	genemark-NODE_52_length_95611_cov_21.4966_ID_103-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_52_length_95611_cov_21.4966_ID_103-processed-gene-0.8&CDS=1-2172, maker-NODE_6_length_344941_cov_13.9826_ID_11-augustus-gene-2.49-mRNA-1_1&gene=maker-NODE_6_length_344941_cov_13.9826_ID_11-augustus-gene-2.49&CDS=1-3660
OG0000120	YIL095W, YNL020C	genemark-NODE_32_length_152021_cov_13.9144_ID_63-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_32_length_152021_cov_13.9144_ID_63-processed-gene-0.7&CDS=1-2730, genemark-NODE_92_length_41173_cov_14.4185_ID_183-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_92_length_41173_cov_14.4185_ID_183-processed-gene-0.46&CDS=1-2571
OG0000121	YIL151C, YKR096W	genemark-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-1.160-mRNA-1_1&gene=genemark-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-1.160&CDS=1-1176, maker-NODE_38_length_127932_cov_18.8645_ID_75-snap-gene-0.48-mRNA-1_1&gene=maker-NODE_38_length_127932_cov_18.8645_ID_75-snap-gene-0.48&CDS=1-6570
OG0000122	YIL159W, YNL271C	genemark-NODE_39_length_127040_cov_14.6266_ID_77-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_39_length_127040_cov_14.6266_ID_77-processed-gene-0.27&CDS=1-5661, maker-NODE_50_length_98245_cov_14.8318_ID_99-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_50_length_98245_cov_14.8318_ID_99-snap-gene-0.2&CDS=1-4782
OG0000123	YJL081C, YPR034W	genemark-NODE_30_length_156807_cov_14.6393_ID_59-processed-gene-0.171-mRNA-1_1&gene=genemark-NODE_30_length_156807_cov_14.6393_ID_59-processed-gene-0.171&CDS=1-1248, genemark-NODE_36_length_131233_cov_14.1379_ID_71-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_36_length_131233_cov_14.1379_ID_71-processed-gene-0.16&CDS=1-1542
OG0000124	YJR005W, YKL135C	genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-0.101&CDS=1-2208, genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-2.91-mRNA-1_1&gene=genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-2.91&CDS=1-2082
OG0000125	YJR059W, YKL198C	genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-0.65&CDS=1-2637, maker-NODE_130_length_12869_cov_16.9572_ID_259-snap-gene-0.7-mRNA-1_1&gene=maker-NODE_130_length_12869_cov_16.9572_ID_259-snap-gene-0.7&CDS=1-1911
OG0000126	YKL220C, YNR060W, YOR381W	genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-0.73&CDS=1-2091
OG0000127	YKL222C, YLR266C, YOR162C, YOR172W	
OG0000128	YKR039W	genemark-NODE_51_length_96064_cov_15.3959_ID_101-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_51_length_96064_cov_15.3959_ID_101-processed-gene-0.26&CDS=1-1740, genemark-NODE_51_length_96064_cov_15.3959_ID_101-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_51_length_96064_cov_15.3959_ID_101-processed-gene-0.27&CDS=1-1728, genemark-NODE_51_length_96064_cov_15.3959_ID_101-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_51_length_96064_cov_15.3959_ID_101-processed-gene-0.7&CDS=1-1737
OG0000129	YLL062C, YMR321C, YPL273W	genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-4.41-mRNA-1_1&gene=genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-4.41&CDS=1-981
OG0000130	YLR146C, YPR069C	genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-2.90-mRNA-1_1&gene=genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-2.90&CDS=1-879, genemark-NODE_45_length_118229_cov_13.9598_ID_89-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_45_length_118229_cov_13.9598_ID_89-processed-gene-0.22&CDS=1-915
OG0000131	YLR454W, YPR117W	genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-4.20-mRNA-1_1&gene=genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-4.20&CDS=1-7434, snap_masked-NODE_16_length_227173_cov_14.3993_ID_31-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_16_length_227173_cov_14.3993_ID_31-processed-gene-0.52&CDS=1-7935
OG0000132	YML017W, YPR163C	genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-4.35-mRNA-1_1&gene=genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-4.35&CDS=1-1458, genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.114-mRNA-1_1&gene=genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.114&CDS=1-2175
OG0000133	YMR020W	genemark-NODE_13_length_234245_cov_17.1676_ID_25-processed-gene-1.7-mRNA-1_1&gene=genemark-NODE_13_length_234245_cov_17.1676_ID_25-processed-gene-1.7&CDS=1-1404, genemark-NODE_32_length_152021_cov_13.9144_ID_63-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_32_length_152021_cov_13.9144_ID_63-processed-gene-0.21&CDS=1-1500, genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_35_length_140271_cov_15.0964_ID_69-processed-gene-0.69&CDS=1-1458
OG0000134	YMR145C	genemark-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-1.132-mRNA-1_1&gene=genemark-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-1.132&CDS=1-1665, genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-3.59-mRNA-1_1&gene=genemark-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-3.59&CDS=1-1638, genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-2.45-mRNA-1_1&gene=genemark-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-2.45&CDS=1-1791
OG0000135	YMR169C, YMR170C	genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-1.34-mRNA-1_1&gene=genemark-NODE_15_length_229439_cov_14.4548_ID_29-processed-gene-1.34&CDS=1-1509, genemark-NODE_38_length_127932_cov_18.8645_ID_75-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_38_length_127932_cov_18.8645_ID_75-processed-gene-0.73&CDS=1-1488
OG0000136	YMR183C, YPL232W	genemark-NODE_19_length_208004_cov_14.3024_ID_37-processed-gene-1.122-mRNA-1_1&gene=genemark-NODE_19_length_208004_cov_14.3024_ID_37-processed-gene-1.122&CDS=1-882, genemark-NODE_44_length_120060_cov_14.1655_ID_87-processed-gene-0.128-mRNA-1_1&gene=genemark-NODE_44_length_120060_cov_14.1655_ID_87-processed-gene-0.128&CDS=1-864
OG0000137	YMR266W, YOL084W	genemark-NODE_12_length_237061_cov_14.2503_ID_23-processed-gene-1.48-mRNA-1_1&gene=genemark-NODE_12_length_237061_cov_14.2503_ID_23-processed-gene-1.48&CDS=1-2853, genemark-NODE_63_length_75307_cov_16.2371_ID_125-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_63_length_75307_cov_16.2371_ID_125-processed-gene-0.10&CDS=1-2649
OG0000138	YOL027C, YPR125W	genemark-NODE_19_length_208004_cov_14.3024_ID_37-processed-gene-1.138-mRNA-1_1&gene=genemark-NODE_19_length_208004_cov_14.3024_ID_37-processed-gene-1.138&CDS=1-1344, snap_masked-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-3.144-mRNA-1_1&gene=snap_masked-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-3.144&CDS=1-1554
OG0000139	YOL055C, YPL258C, YPR121W	genemark-NODE_22_length_200920_cov_14.465_ID_43-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_22_length_200920_cov_14.465_ID_43-processed-gene-0.18&CDS=1-1863
OG0000140	YAL017W, YOL045W	genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-0.47&CDS=1-3792
OG0000141	YAL034C, YOR338W	genemark-NODE_12_length_237061_cov_14.2503_ID_23-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_12_length_237061_cov_14.2503_ID_23-processed-gene-0.13&CDS=1-1254
OG0000142	YAL056W, YOR371C	genemark-NODE_38_length_127932_cov_18.8645_ID_75-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_38_length_127932_cov_18.8645_ID_75-processed-gene-0.99&CDS=1-2874
OG0000143	YAL061W	genemark-NODE_52_length_95611_cov_21.4966_ID_103-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_52_length_95611_cov_21.4966_ID_103-processed-gene-0.31&CDS=1-1158, genemark-NODE_66_length_72620_cov_17.7422_ID_131-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_66_length_72620_cov_17.7422_ID_131-processed-gene-0.52&CDS=1-1167
OG0000144	YAR042W, YDL019C	genemark-NODE_47_length_110957_cov_14.1512_ID_93-processed-gene-0.126-mRNA-1_1&gene=genemark-NODE_47_length_110957_cov_14.1512_ID_93-processed-gene-0.126&CDS=1-4101
OG0000145	YBL009W, YGL021W	genemark-NODE_9_length_282344_cov_14.2153_ID_17-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_9_length_282344_cov_14.2153_ID_17-processed-gene-0.51&CDS=1-2622
OG0000146	YBL016W	genemark-NODE_29_length_159323_cov_14.5535_ID_57-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_29_length_159323_cov_14.5535_ID_57-processed-gene-0.19&CDS=1-1059, genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-2.63-mRNA-1_1&gene=genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-2.63&CDS=1-1050
OG0000147	YBL027W, YBR084C-A	snap_masked-NODE_27_length_175026_cov_18.7202_ID_53-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_27_length_175026_cov_18.7202_ID_53-processed-gene-0.54&CDS=1-630
OG0000148	YBL054W, YER088C	snap_masked-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-2.67-mRNA-1_1&gene=snap_masked-NODE_3_length_403670_cov_14.6937_ID_5-processed-gene-2.67&CDS=1-1794
OG0000149	YBL056W, YER089C	genemark-NODE_47_length_110957_cov_14.1512_ID_93-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_47_length_110957_cov_14.1512_ID_93-processed-gene-0.99&CDS=1-1392
OG0000150	YBL072C, YER102W	genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.187-mRNA-1_1&gene=genemark-NODE_23_length_198392_cov_14.785_ID_45-processed-gene-0.187&CDS=1-600
OG0000151	YBL087C, YER117W	snap_masked-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-4.46-mRNA-1_1&gene=snap_masked-NODE_1_length_513538_cov_14.8722_ID_1-processed-gene-4.46&CDS=1-411
OG0000152	YBL101C, YPR030W	genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-0.11&CDS=1-4044
OG0000153	YBL106C, YPR032W	genemark-NODE_30_length_156807_cov_14.6393_ID_59-processed-gene-0.155-mRNA-1_1&gene=genemark-NODE_30_length_156807_cov_14.6393_ID_59-processed-gene-0.155&CDS=1-9009
OG0000154	YBR001C, YDR001C	genemark-NODE_34_length_147541_cov_15.0766_ID_67-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_34_length_147541_cov_15.0766_ID_67-processed-gene-0.23&CDS=1-2535
OG0000155	YBR005W, YDR003W	genemark-NODE_28_length_170189_cov_14.5606_ID_55-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_28_length_170189_cov_14.5606_ID_55-processed-gene-0.39&CDS=1-648
OG0000156	YBR014C, YDL010W	genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-2.64-mRNA-1_1&gene=genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-2.64&CDS=1-1038
OG0000157	YBR016W, YDL012C	genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-2.101-mRNA-1_1&gene=genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-2.101&CDS=1-351
OG0000158	YBR021W, YIR028W	genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-0.85&CDS=1-1740
OG0000159	YBR031W, YDR012W	maker-NODE_36_length_131233_cov_14.1379_ID_71-snap-gene-0.55-mRNA-1_1&gene=maker-NODE_36_length_131233_cov_14.1379_ID_71-snap-gene-0.55&CDS=1-2748
OG0000160	YBR033W, YKL038W	genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-2.95-mRNA-1_1&gene=genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-2.95&CDS=1-2580
OG0000161	YBR042C, YDR018C	genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-2.153-mRNA-1_1&gene=genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-2.153&CDS=1-1257
OG0000162	YBR046C	genemark-NODE_22_length_200920_cov_14.465_ID_43-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_22_length_200920_cov_14.465_ID_43-processed-gene-0.20&CDS=1-1020, genemark-NODE_74_length_56317_cov_14.3643_ID_147-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_74_length_56317_cov_14.3643_ID_147-processed-gene-0.61&CDS=1-1023
OG0000163	YBR048W, YDR025W	genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-2.66-mRNA-1_1&gene=genemark-NODE_6_length_344941_cov_13.9826_ID_11-processed-gene-2.66&CDS=1-465
OG0000164	YBR078W, YDR055W	genemark-NODE_98_length_37627_cov_14.1645_ID_195-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_98_length_37627_cov_14.1645_ID_195-processed-gene-0.15&CDS=1-1278
OG0000165	YBR086C	genemark-NODE_69_length_63165_cov_14.9558_ID_137-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_69_length_63165_cov_14.9558_ID_137-processed-gene-0.24&CDS=1-2103, snap_masked-NODE_71_length_59880_cov_15.7042_ID_141-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_71_length_59880_cov_15.7042_ID_141-processed-gene-0.17&CDS=1-1977
OG0000166	YBR104W, YPR058W	genemark-NODE_36_length_131233_cov_14.1379_ID_71-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_36_length_131233_cov_14.1379_ID_71-processed-gene-0.12&CDS=1-924
OG0000167	YBR118W, YPR080W	augustus_masked-NODE_215_length_1329_cov_27.4827_ID_429-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_215_length_1329_cov_27.4827_ID_429-processed-gene-0.0&CDS=1-1326
OG0000168	YBR140C, YOL081W	genemark-NODE_16_length_227173_cov_14.3993_ID_31-processed-gene-1.14-mRNA-1_1&gene=genemark-NODE_16_length_227173_cov_14.3993_ID_31-processed-gene-1.14&CDS=1-8526
OG0000169	YBR147W, YOL092W	genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-2.98-mRNA-1_1&gene=genemark-NODE_4_length_354329_cov_14.5222_ID_7-processed-gene-2.98&CDS=1-990
OG0000170	YBR150C, YOL089C	genemark-NODE_9_length_282344_cov_14.2153_ID_17-processed-gene-1.204-mRNA-1_1&gene=genemark-NODE_9_length_282344_cov_14.2153_ID_17-processed-gene-1.204&CDS=1-3075
OG0000171	YBR159W	genemark-NODE_16_length_227173_cov_14.3993_ID_31-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_16_length_227173_cov_14.3993_ID_31-processed-gene-0.78&CDS=1-1011, maker-NODE_16_length_227173_cov_14.3993_ID_31-snap-gene-0.104-mRNA-1_1&gene=maker-NODE_16_length_227173_cov_14.3993_ID_31-snap-gene-0.104&CDS=1-2922
OG0000172	YBR161W, YPL057C	genemark-NODE_17_length_221594_cov_14.1682_ID_33-processed-gene-1.116-mRNA-1_1&gene=genemark-NODE_17_length_221594_cov_14.1682_ID_33-processed-gene-1.116&CDS=1-1086
OG0000173	YBR172C, YPL105C	snap_masked-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-0.30&CDS=1-2712
OG0000174	YBR177C, YPL095C	genemark-NODE_50_length_98245_cov_14.8318_ID_99-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_50_length_98245_cov_14.8318_ID_99-processed-gene-0.75&CDS=1-1386
OG0000175	YBR181C, YPL090C	snap_masked-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-1.21-mRNA-1_1&gene=snap_masked-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-1.21&CDS=1-708
OG0000176	YBR183W, YPL087W	maker-NODE_44_length_120060_cov_14.1655_ID_87-snap-gene-0.91-mRNA-1_1&gene=maker-NODE_44_length_120060_cov_14.1655_ID_87-snap-gene-0.91&CDS=1-1758
OG0000177	YBR189W, YPL081W	maker-NODE_1_length_513538_cov_14.8722_ID_1-snap-gene-2.53-mRNA-1_1&gene=maker-NODE_1_length_513538_cov_14.8722_ID_1-snap-gene-2.53&CDS=1-924
OG0000178	YBR214W, YGL056C	genemark-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-1.165-mRNA-1_1&gene=genemark-NODE_11_length_237806_cov_15.2749_ID_21-processed-gene-1.165&CDS=1-1611
OG0000179	YBR241C, YGL104C	genemark-NODE_34_length_147541_cov_15.0766_ID_67-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_34_length_147541_cov_15.0766_ID_67-processed-gene-0.15&CDS=1-1437
OG0000180	YBR242W, YGL101W	snap_masked-NODE_34_length_147541_cov_15.0766_ID_67-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NODE_34_length_147541_cov_15.0766_ID_67-processed-gene-0.90&CDS=1-825
OG0000181	YBR244W, YIR037W	genemark-NODE_34_length_147541_cov_15.0766_ID_67-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_34_length_147541_cov_15.0766_ID_67-processed-gene-0.43&CDS=1-483
OG0000182	YBR270C, YJL058C	genemark-NODE_26_length_183408_cov_14.1505_ID_51-processed-gene-0.226-mRNA-1_1&gene=genemark-NODE_26_length_183408_cov_14.1505_ID_51-processed-gene-0.226&CDS=1-2502
OG0000183	YBR273C, YJL048C	augustus_masked-NODE_13_length_234245_cov_17.1676_ID_25-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_13_length_234245_cov_17.1676_ID_25-processed-gene-0.66&CDS=1-2028
OG0000184	YBR278W, YJL065C	genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.161-mRNA-1_1&gene=genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.161&CDS=1-768
OG0000185	YBR294W, YLR092W	genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-1.32-mRNA-1_1&gene=genemark-NODE_5_length_350234_cov_14.3543_ID_9-processed-gene-1.32&CDS=1-2472
OG0000186	YCL011C, YNL004W	maker-NODE_9_length_282344_cov_14.2153_ID_17-snap-gene-1.232-mRNA-1_1&gene=maker-NODE_9_length_282344_cov_14.2153_ID_17-snap-gene-1.232&CDS=1-1467
OG0000187	YCL035C, YDR513W	augustus_masked-NODE_40_length_126251_cov_14.2008_ID_79-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_40_length_126251_cov_14.2008_ID_79-processed-gene-0.92&CDS=1-408
OG0000188	YCL039W	genemark-NODE_124_length_15827_cov_14.9458_ID_247-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_124_length_15827_cov_14.9458_ID_247-processed-gene-0.9&CDS=1-1035, genemark-NODE_41_length_124887_cov_20.9297_ID_81-processed-gene-0.76-mRNA-1_1&gene=genemark-NODE_41_length_124887_cov_20.9297_ID_81-processed-gene-0.76&CDS=1-1929
OG0000189	YCL040W, YDR516C	genemark-NODE_106_length_29374_cov_20.9061_ID_211-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_106_length_29374_cov_20.9061_ID_211-processed-gene-0.11&CDS=1-1407
OG0000190	YCL048W, YDR522C	genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.142-mRNA-1_1&gene=genemark-NODE_31_length_152511_cov_13.74_ID_61-processed-gene-0.142&CDS=1-1374
OG0000191	YCL050C, YDR530C	genemark-NODE_70_length_61092_cov_14.2505_ID_139-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_70_length_61092_cov_14.2505_ID_139-processed-gene-0.57&CDS=1-1047
OG0000192	YCL068C, YCR038C	genemark-NODE_66_length_72620_cov_17.7422_ID_131-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_66_length_72620_cov_17.7422_ID_131-processed-gene-0.58&CDS=1-6318
OG0000193	YCR026C, YEL016C	genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-1.191-mRNA-1_1&gene=genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-1.191&CDS=1-2415
OG0000194	YCR031C, YJL191W	genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.22-mRNA-1_1&gene=genemark-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.22&CDS=1-426
OG0000195	YCR048W, YNR019W	genemark-NODE_29_length_159323_cov_14.5535_ID_57-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_29_length_159323_cov_14.5535_ID_57-processed-gene-0.40&CDS=1-1752
OG0000196	YCR073C, YNR031C	genemark-NODE_19_length_208004_cov_14.3024_ID_37-processed-gene-1.131-mRNA-1_1&gene=genemark-NODE_19_length_208004_cov_14.3024_ID_37-processed-gene-1.131&CDS=1-4716
OG0000197	YCR073W-A, YNR034W	snap_masked-NODE_64_length_73419_cov_15.8669_ID_127-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_64_length_73419_cov_15.8669_ID_127-processed-gene-0.51&CDS=1-1053
OG0000198	YCR075C	augustus_masked-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-NODE_18_length_215947_cov_14.4674_ID_35-processed-gene-1.153&CDS=1-867, genemark-NODE_38_length_127932_cov_18.8645_ID_75-processed-gene-0.66-mRNA-1_1&gene=genemark-NODE_38_length_127932_cov_18.8645_ID_75-processed-gene-0.66&CDS=1-924
OG0000199	YDL036C, YOL066C	maker-NODE_10_length_268378_cov_14.3927_ID_19-augustus-gene-1.7-mRNA-1_1&gene=maker-NODE_10_length_268378_cov_14.3927_ID_19-augustus-gene-1.7&CDS=1-2397
OG0000200	YDL042C, YOL068C	genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-1.205-mRNA-1_1&gene=genemark-NODE_8_length_298097_cov_17.6183_ID_15-processed-gene-1.205&CDS=1-2097
OG0000201	YDL048C, YLR375W	genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-3.34-mRNA-1_1&gene=genemark-NODE_2_length_407174_cov_14.0731_ID_3-processed-gene-3.34&CDS=1-1401
OG0000202	YDL061C, YLR388W	augustus_masked-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-NODE_7_length_299677_cov_14.2618_ID_13-processed-gene-1.147&CDS=1-198
OG0000203	YDL075W, YLR406C	genemark-NODE_37_length_130790_cov_14.4955_ID_73-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_37_length_130790_cov_14.4955_ID_73-processed-gene-0.42&CDS=1-345
