	Saccharomyces_cerevisiae	yHMPu5000035681_Candida_gotoi
OG0000873	YDL125C	snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-3.84&CDS=1-462
OG0000874	YDL126C	snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-3.69-mRNA-1_1&gene=snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-3.69&CDS=1-2511
OG0000875	YDL128W	snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-2.79-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-2.79&CDS=1-1251
OG0000876	YDL130W	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-2.55-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-2.55&CDS=1-318
OG0000877	YDL132W	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-5.4-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-5.4&CDS=1-2337
OG0000878	YDL133W	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-5.3-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-5.3&CDS=1-1383
OG0000879	YDL134C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-4.123-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-4.123&CDS=1-1029
OG0000880	YDL135C	snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.128-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.128&CDS=1-618
OG0000881	YDL139C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-5.15-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-5.15&CDS=1-1737
OG0000882	YDL140C	maker-NODE_12_length_465408_cov_66.2617_ID_23-snap-gene-3.80-mRNA-1_1&gene=maker-NODE_12_length_465408_cov_66.2617_ID_23-snap-gene-3.80&CDS=1-5205
OG0000883	YDL141W	snap_masked-NODE_24_length_178994_cov_74.8349_ID_47-processed-gene-0.227-mRNA-1_1&gene=snap_masked-NODE_24_length_178994_cov_74.8349_ID_47-processed-gene-0.227&CDS=1-2067
OG0000884	YDL142C	snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-3.141-mRNA-1_1&gene=snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-3.141&CDS=1-1053
OG0000885	YDL143W	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.17-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.17&CDS=1-1599
OG0000886	YDL145C	maker-NODE_2_length_906092_cov_75.1325_ID_3-augustus-gene-5.115-mRNA-1_1&gene=maker-NODE_2_length_906092_cov_75.1325_ID_3-augustus-gene-5.115&CDS=1-5067
OG0000887	YDL146W	snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-2.114-mRNA-1_1&gene=snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-2.114&CDS=1-2031
OG0000888	YDL149W	augustus_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.63&CDS=1-5478
OG0000889	YDL150W	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.18-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.18&CDS=1-1212
OG0000890	YDL153C	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.37-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-3.37&CDS=1-1650
OG0000891	YDL155W	augustus_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-0.120&CDS=1-1185
OG0000892	YDL156W	genemark-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-6.19-mRNA-1_1&gene=genemark-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-6.19&CDS=1-1716
OG0000893	YDL159W	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-1.81-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-1.81&CDS=1-1476
OG0000894	YDL160C	snap_masked-NODE_22_length_202797_cov_90.5711_ID_43-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_22_length_202797_cov_90.5711_ID_43-processed-gene-0.76&CDS=1-1539
OG0000895	YDL164C	snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-4.71-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-4.71&CDS=1-2226
OG0000896	YDL165W	augustus_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.140&CDS=1-573
OG0000897	YDL166C	snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-1.69&CDS=1-717
OG0000898	YDL167C	snap_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-1.52-mRNA-1_1&gene=snap_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-1.52&CDS=1-2295
OG0000899	YDL168W	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-6.97-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-6.97&CDS=1-1140
OG0000900	YDL171C	snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-2.52-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-2.52&CDS=1-6441
OG0000901	YDL174C	snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.113-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.113&CDS=1-1725
OG0000902	YDL178W	augustus_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-5.106&CDS=1-2007
OG0000903	YDL183C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-5.5-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-5.5&CDS=1-1014
OG0000904	YDL185W	augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-5.45&CDS=1-1848
OG0000905	YDL189W	snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.129-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.129&CDS=1-1416
OG0000906	YDL190C	snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.99-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.99&CDS=1-3171
OG0000907	YDL193W	augustus_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-4.62&CDS=1-834
OG0000908	YDL195W	snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_14_length_408967_cov_80.4573_ID_27-processed-gene-1.85&CDS=1-4020
OG0000909	YDL198C	snap_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-1.60-mRNA-1_1&gene=snap_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-1.60&CDS=1-903
OG0000910	YDL201W	augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-1.39&CDS=1-921
OG0000911	YDL202W	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-1.140-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-1.140&CDS=1-777
OG0000912	YDL205C	maker-NODE_20_length_266287_cov_87.4797_ID_39-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_20_length_266287_cov_87.4797_ID_39-snap-gene-0.1&CDS=1-2199
OG0000913	YDL206W	augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-6.111&CDS=1-2124
OG0000914	YDL207W	snap_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NODE_20_length_266287_cov_87.4797_ID_39-processed-gene-1.44&CDS=1-1602
OG0000915	YDL208W	snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-2.176-mRNA-1_1&gene=snap_masked-NODE_15_length_389707_cov_85.5837_ID_29-processed-gene-2.176&CDS=1-465
OG0000916	YDL209C	augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-4.114&CDS=1-987
OG0000917	YDL212W	snap_masked-NODE_27_length_143028_cov_71.4765_ID_53-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_27_length_143028_cov_71.4765_ID_53-processed-gene-0.114&CDS=1-642
OG0000918	YDL213C	snap_masked-NODE_27_length_143028_cov_71.4765_ID_53-processed-gene-0.115-mRNA-1_1&gene=snap_masked-NODE_27_length_143028_cov_71.4765_ID_53-processed-gene-0.115&CDS=1-648
OG0000919	YDL215C	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-2.109-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-2.109&CDS=1-3159
OG0000920	YDL217C	snap_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.114-mRNA-1_1&gene=snap_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.114&CDS=1-549
OG0000921	YDL218W	snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-4.217-mRNA-1_1&gene=snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-4.217&CDS=1-705
OG0000922	YDL225W	snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-5.217-mRNA-1_1&gene=snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-5.217&CDS=1-1779
OG0000923	YDL226C	snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-0.57&CDS=1-1083
OG0000924	YDL230W	snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-3.106-mRNA-1_1&gene=snap_masked-NODE_12_length_465408_cov_66.2617_ID_23-processed-gene-3.106&CDS=1-993
OG0000925	YDL234C	maker-NODE_11_length_487754_cov_68.766_ID_21-augustus-gene-0.82-mRNA-1_1&gene=maker-NODE_11_length_487754_cov_68.766_ID_21-augustus-gene-0.82&CDS=1-3588
OG0000926	YDL235C	snap_masked-NODE_26_length_162235_cov_68.3165_ID_51-processed-gene-0.157-mRNA-1_1&gene=snap_masked-NODE_26_length_162235_cov_68.3165_ID_51-processed-gene-0.157&CDS=1-570
OG0000927	YDL236W	snap_masked-NODE_26_length_162235_cov_68.3165_ID_51-processed-gene-0.158-mRNA-1_1&gene=snap_masked-NODE_26_length_162235_cov_68.3165_ID_51-processed-gene-0.158&CDS=1-939
OG0000928	YDL237W	snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-7.31-mRNA-1_1&gene=snap_masked-NODE_2_length_906092_cov_75.1325_ID_3-processed-gene-7.31&CDS=1-1077
OG0000929	YDL238C	snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-5.156-mRNA-1_1&gene=snap_masked-NODE_6_length_660448_cov_75.8544_ID_11-processed-gene-5.156&CDS=1-1572
OG0000930	YDL240W	augustus_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-2.28&CDS=1-4224
OG0000931	YDR002W	snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-2.134-mRNA-1_1&gene=snap_masked-NODE_17_length_312534_cov_86.9164_ID_33-processed-gene-2.134&CDS=1-633
OG0000932	YDR004W	augustus_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.27&CDS=1-1638
OG0000933	YDR005C	snap_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_31_length_117061_cov_71.4585_ID_61-processed-gene-0.75&CDS=1-1239
OG0000934	YDR006C	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-4.94-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-4.94&CDS=1-1932
OG0000935	YDR007W	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-0.71&CDS=1-765
OG0000936	YDR013W	augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-6.97&CDS=1-615
OG0000937	YDR016C	snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.59-mRNA-1_1&gene=snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.59&CDS=1-267
OG0000938	YDR017C	snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.57-mRNA-1_1&gene=snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.57&CDS=1-2274
OG0000939	YDR019C	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-2.106&CDS=1-1188
OG0000940	YDR020C	snap_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.109-mRNA-1_1&gene=snap_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.109&CDS=1-723
OG0000941	YDR021W	snap_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.83-mRNA-1_1&gene=snap_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.83&CDS=1-1197
OG0000942	YDR023W	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-1.20&CDS=1-1380
OG0000943	YDR026C	snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.135-mRNA-1_1&gene=snap_masked-NODE_8_length_567454_cov_77.2373_ID_15-processed-gene-4.135&CDS=1-2103
OG0000944	YDR027C	augustus_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-3.25&CDS=1-4545
OG0000945	YDR028C	snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-3.71-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-3.71&CDS=1-2994
OG0000946	YDR030C	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-1.9-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-1.9&CDS=1-1392
OG0000947	YDR031W	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-1.89-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-1.89&CDS=1-309
OG0000948	YDR034C	maker-NODE_20_length_266287_cov_87.4797_ID_39-augustus-gene-1.206-mRNA-1_1&gene=maker-NODE_20_length_266287_cov_87.4797_ID_39-augustus-gene-1.206&CDS=1-2193
OG0000949	YDR035W	maker-NODE_10_length_547273_cov_74.2464_ID_19-snap-gene-0.37-mRNA-1_1&gene=maker-NODE_10_length_547273_cov_74.2464_ID_19-snap-gene-0.37&CDS=1-1134
OG0000950	YDR036C	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-4.22-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-4.22&CDS=1-1524
OG0000951	YDR037W	snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.92-mRNA-1_1&gene=snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.92&CDS=1-1779
OG0000952	YDR041W	augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.38&CDS=1-834
OG0000953	YDR044W	snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.54&CDS=1-969
OG0000954	YDR045C	snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-0.36&CDS=1-303
OG0000955	YDR047W	maker-NODE_4_length_767683_cov_66.5034_ID_7-snap-gene-0.120-mRNA-1_1&gene=maker-NODE_4_length_767683_cov_66.5034_ID_7-snap-gene-0.120&CDS=1-1086
OG0000956	YDR049W	snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-0.14&CDS=1-1842
OG0000957	YDR050C	snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.69-mRNA-1_1&gene=snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.69&CDS=1-744
OG0000958	YDR051C	snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.68-mRNA-1_1&gene=snap_masked-NODE_4_length_767683_cov_66.5034_ID_7-processed-gene-2.68&CDS=1-999
OG0000959	YDR052C	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.78-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.78&CDS=1-1689
OG0000960	YDR054C	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.79-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.79&CDS=1-717
OG0000961	YDR060W	snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-1.105-mRNA-1_1&gene=snap_masked-NODE_1_length_933283_cov_68.0403_ID_1-processed-gene-1.105&CDS=1-3162
OG0000962	YDR061W	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.59-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.59&CDS=1-1644
OG0000963	YDR062W	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.58-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.58&CDS=1-1668
OG0000964	YDR064W	maker-NODE_4_length_767683_cov_66.5034_ID_7-snap-gene-2.52-mRNA-1_1&gene=maker-NODE_4_length_767683_cov_66.5034_ID_7-snap-gene-2.52&CDS=1-771
OG0000965	YDR067C	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.57-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.57&CDS=1-603
OG0000966	YDR068W	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.13-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.13&CDS=1-1017
OG0000967	YDR071C	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.64-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-3.64&CDS=1-666
OG0000968	YDR074W	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-4.17-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-4.17&CDS=1-2667
OG0000969	YDR079C-A	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.69-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.69&CDS=1-207
OG0000970	YDR079W	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.85-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.85&CDS=1-300
OG0000971	YDR080W	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.87&CDS=1-2991
OG0000972	YDR081C	snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.68-mRNA-1_1&gene=snap_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.68&CDS=1-2682
OG0000973	YDR083W	snap_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.120-mRNA-1_1&gene=snap_masked-NODE_13_length_436529_cov_84.5777_ID_25-processed-gene-3.120&CDS=1-1221
OG0000974	YDR084C	augustus_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-NODE_11_length_487754_cov_68.766_ID_21-processed-gene-2.21&CDS=1-723
OG0000975	YDR086C	snap_masked-NODE_21_length_207486_cov_71.6837_ID_41-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_21_length_207486_cov_71.6837_ID_41-processed-gene-1.85&CDS=1-204
OG0000976	YDR087C	snap_masked-NODE_21_length_207486_cov_71.6837_ID_41-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NODE_21_length_207486_cov_71.6837_ID_41-processed-gene-1.84&CDS=1-804
OG0000977	YDR088C	snap_masked-NODE_21_length_207486_cov_71.6837_ID_41-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NODE_21_length_207486_cov_71.6837_ID_41-processed-gene-1.83&CDS=1-1137
OG0000978	YDR089W	augustus_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-3.99&CDS=1-2649
OG0000979	YDR090C	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-3.41-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-3.41&CDS=1-759
OG0000980	YDR091C	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-4.40-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-4.40&CDS=1-1821
OG0000981	YDR092W	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.124-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-7.124&CDS=1-456
OG0000982	YDR097C	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-2.88&CDS=1-3567
OG0000983	YDR100W	genemark-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-5.12-mRNA-1_1&gene=genemark-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-5.12&CDS=1-378
OG0000984	YDR101C	snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-5.39-mRNA-1_1&gene=snap_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-5.39&CDS=1-1707
OG0000985	YDR104C	augustus_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-NODE_3_length_842064_cov_74.5486_ID_5-processed-gene-5.86&CDS=1-3186
OG0000986	YDR105C	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.60-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.60&CDS=1-1335
OG0000987	YDR108W	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.57-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.57&CDS=1-1956
OG0000988	YDR109C	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-2.58-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-2.58&CDS=1-2274
OG0000989	YDR111C	snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-4.241-mRNA-1_1&gene=snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-4.241&CDS=1-1560
OG0000990	YDR115W	snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-3.77-mRNA-1_1&gene=snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-3.77&CDS=1-318
OG0000991	YDR116C	snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-4.240-mRNA-1_1&gene=snap_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-4.240&CDS=1-807
OG0000992	YDR117C	augustus_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-NODE_7_length_591050_cov_76.165_ID_13-processed-gene-4.1&CDS=1-1773
OG0000993	YDR120C	snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.73-mRNA-1_1&gene=snap_masked-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.73&CDS=1-1596
OG0000994	YDR121W	snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_10_length_547273_cov_74.2464_ID_19-processed-gene-0.30&CDS=1-615
OG0000995	YDR124W	snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-5.77-mRNA-1_1&gene=snap_masked-NODE_5_length_751471_cov_67.627_ID_9-processed-gene-5.77&CDS=1-1113
OG0000996	YDR126W	genemark-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.9-mRNA-1_1&gene=genemark-NODE_9_length_561754_cov_72.6593_ID_17-processed-gene-1.9&CDS=1-1110
