	Lachancea_lanzarotensis	Saccharomyces_cerevisiae
OG0000672	snap_masked-LN736360.1-processed-gene-10.53-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.53&CDS=1-1905	YGR068C
OG0000673	snap_masked-LN736360.1-processed-gene-10.54-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.54&CDS=1-1794	YGR065C
OG0000674	snap_masked-LN736360.1-processed-gene-10.78-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.78&CDS=1-324	YLR364W
OG0000675	snap_masked-LN736360.1-processed-gene-10.55-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.55&CDS=1-306	YGR063C
OG0000676	snap_masked-LN736360.1-processed-gene-10.56-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.56&CDS=1-939	YGR062C
OG0000677	snap_masked-LN736360.1-processed-gene-10.79-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.79&CDS=1-258	YLR363W-A
OG0000678	snap_masked-LN736360.1-processed-gene-10.57-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.57&CDS=1-4038	YGR061C
OG0000679	snap_masked-LN736360.1-processed-gene-10.80-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.80&CDS=1-927	YGR060W
OG0000680	snap_masked-LN736360.1-processed-gene-10.58-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.58&CDS=1-669	YLR363C
OG0000681	genemark-LN736360.1-processed-gene-10.37-mRNA-1_1&gene=genemark-LN736360.1-processed-gene-10.37&CDS=1-942	YGR058W
OG0000682	snap_masked-LN736360.1-processed-gene-10.60-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.60&CDS=1-969	YOR292C
OG0000683	snap_masked-LN736360.1-processed-gene-10.83-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.83&CDS=1-4395	YOR291W
OG0000684	snap_masked-LN736360.1-processed-gene-10.61-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.61&CDS=1-5205	YMR229C
OG0000685	snap_masked-LN736360.1-processed-gene-10.84-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.84&CDS=1-1044	YMR228W
OG0000686	snap_masked-LN736360.1-processed-gene-10.63-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.63&CDS=1-1749	YMR227C
OG0000687	snap_masked-LN736360.1-processed-gene-10.86-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.86&CDS=1-801	YMR226C
OG0000688	snap_masked-LN736360.1-processed-gene-11.39-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.39&CDS=1-2694	YGL008C
OG0000689	maker-LN736360.1-snap-gene-11.0-mRNA-1_1&gene=maker-LN736360.1-snap-gene-11.0&CDS=1-3555	YGL012W
OG0000690	snap_masked-LN736360.1-processed-gene-11.43-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.43&CDS=1-627	YBL006C
OG0000691	snap_masked-LN736360.1-processed-gene-11.62-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.62&CDS=1-738	YGL011C
OG0000692	snap_masked-LN736360.1-processed-gene-11.44-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.44&CDS=1-510	YGL010W
OG0000693	snap_masked-LN736360.1-processed-gene-11.45-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.45&CDS=1-3570	YBL007C
OG0000694	augustus_masked-LN736360.1-processed-gene-11.24-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-11.24&CDS=1-4854	YGL009C
OG0000695	snap_masked-LN736360.1-processed-gene-11.65-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.65&CDS=1-3168	YGL016W
OG0000696	snap_masked-LN736360.1-processed-gene-11.66-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.66&CDS=1-1641	YGL017W
OG0000697	snap_masked-LN736360.1-processed-gene-11.46-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.46&CDS=1-558	YGL018C
OG0000698	snap_masked-LN736360.1-processed-gene-11.67-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.67&CDS=1-750	YGL019W
OG0000699	snap_masked-LN736360.1-processed-gene-11.47-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.47&CDS=1-585	YGL020C
OG0000700	snap_masked-LN736360.1-processed-gene-11.68-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.68&CDS=1-1932	YBL009W
OG0000701	snap_masked-LN736360.1-processed-gene-11.48-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.48&CDS=1-747	YBL010C
OG0000702	snap_masked-LN736360.1-processed-gene-11.69-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.69&CDS=1-2175	YGL022W
OG0000703	snap_masked-LN736360.1-processed-gene-11.49-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.49&CDS=1-1659	YGL023C
OG0000704	snap_masked-LN736360.1-processed-gene-11.71-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.71&CDS=1-1137	YBL013W
OG0000705	snap_masked-LN736360.1-processed-gene-11.50-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.50&CDS=1-1077	YGL025C
OG0000706	snap_masked-LN736360.1-processed-gene-11.51-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.51&CDS=1-2127	YGL026C
OG0000707	snap_masked-LN736360.1-processed-gene-11.52-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.52&CDS=1-2688	YBL014C
OG0000708	snap_masked-LN736360.1-processed-gene-11.53-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.53&CDS=1-2415	YGL027C
OG0000709	augustus_masked-LN736360.1-processed-gene-11.15-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-11.15&CDS=1-1503	YGL028C
OG0000710	augustus_masked-LN736360.1-processed-gene-11.31-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-11.31&CDS=1-1413	YGL029W
OG0000711	snap_masked-LN736360.1-processed-gene-11.55-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.55&CDS=1-2580	YGR150C
OG0000712	snap_masked-LN736360.1-processed-gene-11.74-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.74&CDS=1-1209	YGR149W
OG0000713	snap_masked-LN736360.1-processed-gene-11.57-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.57&CDS=1-2130	YLL019C
OG0000714	snap_masked-LN736360.1-processed-gene-11.76-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.76&CDS=1-1419	YGL172W
OG0000715	snap_masked-LN736360.1-processed-gene-11.58-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.58&CDS=1-4506	YGL173C
OG0000716	snap_masked-LN736360.1-processed-gene-11.77-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.77&CDS=1-837	YGL174W
OG0000717	snap_masked-LN736360.1-processed-gene-11.59-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.59&CDS=1-1197	YGL175C
OG0000718	snap_masked-LN736360.1-processed-gene-11.78-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.78&CDS=1-2634	YPR021C
OG0000719	snap_masked-LN736360.1-processed-gene-11.79-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-11.79&CDS=1-927	YPR023C
OG0000720	augustus_masked-LN736360.1-processed-gene-12.4-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-12.4&CDS=1-1653	YER124C
OG0000721	snap_masked-LN736360.1-processed-gene-12.36-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.36&CDS=1-2424	YER125W
OG0000722	augustus_masked-LN736360.1-processed-gene-12.3-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-12.3&CDS=1-1506	YGL176C
OG0000723	snap_masked-LN736360.1-processed-gene-12.39-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.39&CDS=1-1992	YGL178W
OG0000724	snap_masked-LN736360.1-processed-gene-12.40-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.40&CDS=1-783	YER126C
OG0000725	augustus_masked-LN736360.1-processed-gene-12.7-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-12.7&CDS=1-1629	YER127W
OG0000726	snap_masked-LN736360.1-processed-gene-12.43-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.43&CDS=1-3369	YER129W
OG0000727	snap_masked-LN736360.1-processed-gene-12.57-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.57&CDS=1-2616	YGL180W
OG0000728	snap_masked-LN736360.1-processed-gene-12.58-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.58&CDS=1-1080	YGL181W
OG0000729	augustus_masked-LN736360.1-processed-gene-12.9-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-12.9&CDS=1-645	YGL183C
OG0000730	snap_masked-LN736360.1-processed-gene-12.59-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.59&CDS=1-1263	YER130C
OG0000731	snap_masked-LN736360.1-processed-gene-12.45-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.45&CDS=1-1380	YGL184C
OG0000732	snap_masked-LN736360.1-processed-gene-12.46-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.46&CDS=1-1098	YGL185C
OG0000733	snap_masked-LN736360.1-processed-gene-12.47-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.47&CDS=1-1695	YGL186C
OG0000734	snap_masked-LN736360.1-processed-gene-12.48-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.48&CDS=1-486	YGL187C
OG0000735	snap_masked-LN736360.1-processed-gene-12.50-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.50&CDS=1-1428	YGL190C
OG0000736	maker-LN736360.1-augustus-gene-12.76-mRNA-1_1&gene=maker-LN736360.1-augustus-gene-12.76&CDS=1-1836	YGL192W
OG0000737	snap_masked-LN736360.1-processed-gene-12.51-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.51&CDS=1-1347	YGL194C
OG0000738	snap_masked-LN736360.1-processed-gene-12.63-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.63&CDS=1-8046	YGL195W
OG0000739	snap_masked-LN736360.1-processed-gene-12.53-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.53&CDS=1-606	YGL200C
OG0000740	snap_masked-LN736360.1-processed-gene-12.54-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.54&CDS=1-2592	YHL023C
OG0000741	snap_masked-LN736360.1-processed-gene-12.66-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.66&CDS=1-2214	YHL024W
OG0000742	maker-LN736360.1-snap-gene-12.1-mRNA-1_1&gene=maker-LN736360.1-snap-gene-12.1&CDS=1-1047	YKR076W
OG0000743	snap_masked-LN736360.1-processed-gene-12.68-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.68&CDS=1-2709	YLL026W
OG0000744	snap_masked-LN736360.1-processed-gene-12.69-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.69&CDS=1-639	YLL027W
OG0000745	snap_masked-LN736360.1-processed-gene-12.70-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.70&CDS=1-2163	YLL029W
OG0000746	snap_masked-LN736360.1-processed-gene-12.71-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.71&CDS=1-1680	YLL028W
OG0000747	snap_masked-LN736360.1-processed-gene-12.55-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-12.55&CDS=1-3030	YLL031C
OG0000748	augustus_masked-LN736360.1-processed-gene-12.34-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-12.34&CDS=1-942	YHL025W
OG0000749	augustus_masked-LN736360.1-processed-gene-12.21-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-12.21&CDS=1-2049	YLL032C
OG0000750	augustus_masked-LN736360.1-processed-gene-12.35-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-12.35&CDS=1-696	YLL033W
OG0000751	snap_masked-LN736360.1-processed-gene-13.42-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.42&CDS=1-2457	YLL034C
OG0000752	snap_masked-LN736360.1-processed-gene-13.44-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.44&CDS=1-1950	YLL035W
OG0000753	snap_masked-LN736360.1-processed-gene-13.45-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.45&CDS=1-1344	YHL027W
OG0000754	maker-LN736360.1-snap-gene-13.83-mRNA-1_1&gene=maker-LN736360.1-snap-gene-13.83&CDS=1-1314	YHL028W
OG0000755	snap_masked-LN736360.1-processed-gene-13.43-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.43&CDS=1-1635	YHL029C
OG0000756	maker-LN736360.1-snap-gene-13.82-mRNA-1_1&gene=maker-LN736360.1-snap-gene-13.82&CDS=1-1533	YLL036C
OG0000757	snap_masked-LN736360.1-processed-gene-13.72-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.72&CDS=1-5706	YHL030W
OG0000758	augustus_masked-LN736360.1-processed-gene-13.88-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-13.88&CDS=1-768	YLL038C
OG0000759	snap_masked-LN736360.1-processed-gene-13.48-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.48&CDS=1-9309	YLL040C
OG0000760	snap_masked-LN736360.1-processed-gene-13.50-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.50&CDS=1-792	YLL041C
OG0000761	maker-LN736360.1-augustus-gene-13.41-mRNA-1_1&gene=maker-LN736360.1-augustus-gene-13.41&CDS=1-1143	YHL031C
OG0000762	snap_masked-LN736360.1-processed-gene-13.74-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.74&CDS=1-1929	YLL043W
OG0000763	snap_masked-LN736360.1-processed-gene-13.54-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.54&CDS=1-2061	YHL032C
OG0000764	snap_masked-LN736360.1-processed-gene-13.56-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.56&CDS=1-663	YPR113W
OG0000765	augustus_masked-LN736360.1-processed-gene-13.95-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-13.95&CDS=1-1512	YOR378W
OG0000766	snap_masked-LN736360.1-processed-gene-13.60-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.60&CDS=1-933	YPR114W
OG0000767	snap_masked-LN736360.1-processed-gene-13.61-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.61&CDS=1-3063	YGR097W
OG0000768	snap_masked-LN736360.1-processed-gene-13.62-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.62&CDS=1-810	YPR116W
OG0000769	snap_masked-LN736360.1-processed-gene-13.77-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.77&CDS=1-4821	YGR098C
OG0000770	snap_masked-LN736360.1-processed-gene-13.63-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.63&CDS=1-2058	YGR099W
OG0000771	snap_masked-LN736360.1-processed-gene-13.65-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.65&CDS=1-2835	YGR100W
OG0000772	snap_masked-LN736360.1-processed-gene-13.66-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.66&CDS=1-1017	YGR101W
OG0000773	snap_masked-LN736360.1-processed-gene-13.78-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.78&CDS=1-489	YGR102C
OG0000774	snap_masked-LN736360.1-processed-gene-13.67-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.67&CDS=1-1797	YGR103W
OG0000775	snap_masked-LN736360.1-processed-gene-13.79-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.79&CDS=1-813	YGR104C
OG0000776	snap_masked-LN736360.1-processed-gene-13.68-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.68&CDS=1-243	YGR105W
OG0000777	snap_masked-LN736360.1-processed-gene-13.80-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.80&CDS=1-771	YGR106C
OG0000778	snap_masked-LN736360.1-processed-gene-13.69-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.69&CDS=1-1248	YPR118W
OG0000779	snap_masked-LN736360.1-processed-gene-13.71-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.71&CDS=1-1497	YPR119W
OG0000780	snap_masked-LN736360.1-processed-gene-14.0-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.0&CDS=1-3552	YPR122W
OG0000781	snap_masked-LN736360.1-processed-gene-14.1-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.1&CDS=1-1203	YGR111W
OG0000782	snap_masked-LN736360.1-processed-gene-14.3-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.3&CDS=1-360	YBR253W
OG0000783	snap_masked-LN736360.1-processed-gene-14.4-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.4&CDS=1-1656	YIR010W
OG0000784	snap_masked-LN736360.1-processed-gene-14.5-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.5&CDS=1-510	YBR254C
OG0000785	augustus_masked-LN736360.1-processed-gene-14.104-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-14.104&CDS=1-1581	YBR255W
OG0000786	maker-LN736360.1-snap-gene-14.99-mRNA-1_1&gene=maker-LN736360.1-snap-gene-14.99&CDS=1-354	YBR255C-A
OG0000787	snap_masked-LN736360.1-processed-gene-14.26-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.26&CDS=1-909	YIR011C
OG0000788	snap_masked-LN736360.1-processed-gene-14.7-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.7&CDS=1-1314	YIR012W
OG0000789	snap_masked-LN736360.1-processed-gene-14.27-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.27&CDS=1-699	YBR256C
OG0000790	snap_masked-LN736360.1-processed-gene-14.28-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.28&CDS=1-561	YIL016W
OG0000791	augustus_masked-LN736360.1-processed-gene-14.106-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-14.106&CDS=1-2937	YIL017C
OG0000792	snap_masked-LN736360.1-processed-gene-14.9-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.9&CDS=1-3108	YFR030W
OG0000793	snap_masked-LN736360.1-processed-gene-14.29-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.29&CDS=1-3510	YFR031C
OG0000794	snap_masked-LN736360.1-processed-gene-14.31-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.31&CDS=1-897	YFR032C
OG0000795	maker-LN736360.1-snap-gene-14.100-mRNA-1_1&gene=maker-LN736360.1-snap-gene-14.100&CDS=1-618	YFR032C-A
OG0000796	snap_masked-LN736360.1-processed-gene-14.34-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.34&CDS=1-1641	YFR034C
OG0000797	snap_masked-LN736360.1-processed-gene-14.35-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.35&CDS=1-1005	YIL019W
OG0000798	snap_masked-LN736360.1-processed-gene-14.10-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.10&CDS=1-792	YIL020C
OG0000799	snap_masked-LN736360.1-processed-gene-14.36-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.36&CDS=1-948	YIL021W
OG0000800	snap_masked-LN736360.1-processed-gene-14.37-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.37&CDS=1-1236	YIL022W
OG0000801	augustus_masked-LN736360.1-processed-gene-14.110-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-14.110&CDS=1-2988	YIL031W
OG0000802	augustus_masked-LN736360.1-processed-gene-14.133-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-14.133&CDS=1-3813	YIL030C
OG0000803	snap_masked-LN736360.1-processed-gene-14.39-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.39&CDS=1-423	YIL027C
OG0000804	augustus_masked-LN736360.1-processed-gene-14.135-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-14.135&CDS=1-3795	YIL026C
OG0000805	snap_masked-LN736360.1-processed-gene-14.42-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.42&CDS=1-1335	YIL023C
OG0000806	snap_masked-LN736360.1-processed-gene-14.14-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.14&CDS=1-1215	YLR360W
OG0000807	augustus_masked-LN736360.1-processed-gene-14.137-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-14.137&CDS=1-1752	YLR361C
OG0000808	snap_masked-LN736360.1-processed-gene-14.15-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.15&CDS=1-2247	YLR362W
OG0000809	snap_masked-LN736360.1-processed-gene-14.16-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.16&CDS=1-3075	YMR231W
OG0000810	augustus_masked-LN736360.1-processed-gene-14.115-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-14.115&CDS=1-1977	YMR232W
OG0000811	snap_masked-LN736360.1-processed-gene-14.18-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.18&CDS=1-615	YOR294W
OG0000812	maker-LN736360.1-snap-gene-14.98-mRNA-1_1&gene=maker-LN736360.1-snap-gene-14.98&CDS=1-642	YMR233W
OG0000813	snap_masked-LN736360.1-processed-gene-14.20-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.20&CDS=1-3975	YOR296W
OG0000814	snap_masked-LN736360.1-processed-gene-14.21-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.21&CDS=1-1146	YMR234W
OG0000815	snap_masked-LN736360.1-processed-gene-14.44-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.44&CDS=1-558	YOR297C
OG0000816	augustus_masked-LN736360.1-processed-gene-14.119-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-14.119&CDS=1-1257	YOR298W
OG0000817	augustus_masked-LN736360.1-processed-gene-14.140-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-14.140&CDS=1-1221	YMR235C
OG0000818	snap_masked-LN736360.1-processed-gene-14.46-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.46&CDS=1-453	YOR298C-A
OG0000819	snap_masked-LN736360.1-processed-gene-14.23-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.23&CDS=1-1209	YBL055C
OG0000820	snap_masked-LN736360.1-processed-gene-14.47-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.47&CDS=1-1326	YBL056W
OG0000821	snap_masked-LN736360.1-processed-gene-14.48-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-14.48&CDS=1-1491	YDR376W
OG0000822	snap_masked-LN736360.1-processed-gene-15.54-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.54&CDS=1-1350	YDR375C
OG0000823	genemark-LN736360.1-processed-gene-15.3-mRNA-1_1&gene=genemark-LN736360.1-processed-gene-15.3&CDS=1-696	YOR125C
OG0000824	snap_masked-LN736360.1-processed-gene-15.58-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.58&CDS=1-570	YDR373W
OG0000825	snap_masked-LN736360.1-processed-gene-15.56-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.56&CDS=1-3711	YOR124C
OG0000826	snap_masked-LN736360.1-processed-gene-15.57-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.57&CDS=1-1017	YDR372C
OG0000827	snap_masked-LN736360.1-processed-gene-15.59-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.59&CDS=1-1428	YDR371W
OG0000828	snap_masked-LN736360.1-processed-gene-15.60-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.60&CDS=1-1281	YOR123C
OG0000829	snap_masked-LN736360.1-processed-gene-15.61-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.61&CDS=1-372	YOR122C
OG0000830	snap_masked-LN736360.1-processed-gene-15.62-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.62&CDS=1-1146	YDR370C
OG0000831	maker-LN736360.1-snap-gene-15.153-mRNA-1_1&gene=maker-LN736360.1-snap-gene-15.153&CDS=1-657	YDR367W
OG0000832	snap_masked-LN736360.1-processed-gene-15.65-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.65&CDS=1-1443	YOR119C
OG0000833	snap_masked-LN736360.1-processed-gene-15.87-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.87&CDS=1-1659	YOR118W
OG0000834	snap_masked-LN736360.1-processed-gene-15.66-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.66&CDS=1-1941	YDR365C
OG0000835	snap_masked-LN736360.1-processed-gene-15.67-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.67&CDS=1-1389	YDR364C
OG0000836	augustus_masked-LN736360.1-processed-gene-15.138-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-15.138&CDS=1-1539	YOR117W
OG0000837	snap_masked-LN736360.1-processed-gene-15.68-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.68&CDS=1-4380	YOR116C
OG0000838	snap_masked-LN736360.1-processed-gene-15.90-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.90&CDS=1-1608	YDR363W
OG0000839	snap_masked-LN736360.1-processed-gene-15.91-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.91&CDS=1-1482	YHR113W
OG0000840	snap_masked-LN736360.1-processed-gene-15.69-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.69&CDS=1-2043	YDR362C
OG0000841	snap_masked-LN736360.1-processed-gene-15.92-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.92&CDS=1-1281	YHR111W
OG0000842	augustus_masked-LN736360.1-processed-gene-15.142-mRNA-1_1&gene=augustus_masked-LN736360.1-processed-gene-15.142&CDS=1-1776	YHR109W
OG0000843	snap_masked-LN736360.1-processed-gene-15.70-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.70&CDS=1-807	YDR361C
OG0000844	snap_masked-LN736360.1-processed-gene-15.71-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.71&CDS=1-2664	YDR359C
OG0000845	snap_masked-LN736360.1-processed-gene-15.95-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.95&CDS=1-1725	YHR108W
OG0000846	snap_masked-LN736360.1-processed-gene-15.72-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.72&CDS=1-417	YDR357C
OG0000847	snap_masked-LN736360.1-processed-gene-15.96-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.96&CDS=1-2496	YDR356W
OG0000848	snap_masked-LN736360.1-processed-gene-15.97-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-15.97&CDS=1-1101	YDR354W
