	Saccharomyces_cerevisiae	yHMPu5000035261_Candida_ponderosae
OG0000468	YJL082W, YKR018C	augustus_masked-NODE_21_length_185132_cov_46.8926_ID_9748-processed-gene-0.242-mRNA-1_1&gene=augustus_masked-NODE_21_length_185132_cov_46.8926_ID_9748-processed-gene-0.242&CDS=1-2349
OG0000469	YJL083W, YKR019C	genemark-NODE_21_length_185132_cov_46.8926_ID_9748-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_21_length_185132_cov_46.8926_ID_9748-processed-gene-0.26&CDS=1-2031
OG0000470	YJL084C, YKR021W	augustus_masked-NODE_115_length_17189_cov_46.111_ID_18668-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_115_length_17189_cov_46.111_ID_18668-processed-gene-0.12&CDS=1-3663
OG0000471	YJL099W, YKR027W	maker-NODE_9_length_307025_cov_42.2536_ID_9480-augustus-gene-2.184-mRNA-1_1&gene=maker-NODE_9_length_307025_cov_42.2536_ID_9480-augustus-gene-2.184&CDS=1-2067
OG0000472	YJL117W	augustus_masked-NODE_782_length_441_cov_0.764881_ID_25689-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_782_length_441_cov_0.764881_ID_25689-processed-gene-0.0&CDS=1-270, augustus_masked-NODE_8_length_324243_cov_41.9626_ID_10196-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-NODE_8_length_324243_cov_41.9626_ID_10196-processed-gene-2.40&CDS=1-867
OG0000473	YJL127C	augustus_masked-NODE_812_length_439_cov_0.829341_ID_25749-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_812_length_439_cov_0.829341_ID_25749-processed-gene-0.2&CDS=1-423, maker-NODE_8_length_324243_cov_41.9626_ID_10196-augustus-gene-2.75-mRNA-1_1&gene=maker-NODE_8_length_324243_cov_41.9626_ID_10196-augustus-gene-2.75&CDS=1-2310
OG0000474	YJL133W, YKR052C	augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-2.64&CDS=1-924
OG0000475	YJL134W, YKR053C	augustus_masked-NODE_31_length_156153_cov_45.2555_ID_36829-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-NODE_31_length_156153_cov_45.2555_ID_36829-processed-gene-0.163&CDS=1-1383
OG0000476	YJL138C, YKR059W	maker-NODE_14_length_247982_cov_42.7043_ID_9850-augustus-gene-1.185-mRNA-1_1&gene=maker-NODE_14_length_247982_cov_42.7043_ID_9850-augustus-gene-1.185&CDS=1-1188
OG0000477	YJL163C	augustus_masked-NODE_31_length_156153_cov_45.2555_ID_36829-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-NODE_31_length_156153_cov_45.2555_ID_36829-processed-gene-0.164&CDS=1-1914, genemark-NODE_35_length_141908_cov_44.0477_ID_11833-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_35_length_141908_cov_44.0477_ID_11833-processed-gene-0.91&CDS=1-1716
OG0000478	YJL171C	augustus_masked-NODE_21_length_185132_cov_46.8926_ID_9748-processed-gene-0.204-mRNA-1_1&gene=augustus_masked-NODE_21_length_185132_cov_46.8926_ID_9748-processed-gene-0.204&CDS=1-1332, augustus_masked-NODE_54_length_79940_cov_49.0766_ID_16067-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_54_length_79940_cov_49.0766_ID_16067-processed-gene-0.71&CDS=1-3888
OG0000479	YJL174W	augustus_masked-NODE_15_length_232331_cov_45.0676_ID_11356-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_15_length_232331_cov_45.0676_ID_11356-processed-gene-0.23&CDS=1-798, augustus_masked-NODE_35_length_141908_cov_44.0477_ID_11833-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_35_length_141908_cov_44.0477_ID_11833-processed-gene-0.60&CDS=1-849
OG0000480	YJL177W, YKL180W	augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-1.86&CDS=1-552
OG0000481	YJL184W	augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-1.107&CDS=1-294, genemark-NODE_1842_length_373_cov_0.869403_ID_28344-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_1842_length_373_cov_0.869403_ID_28344-processed-gene-0.0&CDS=1-222
OG0000482	YJL192C	snap_masked-NODE_129_length_7824_cov_63.7083_ID_19523-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_129_length_7824_cov_63.7083_ID_19523-processed-gene-0.3&CDS=1-783, snap_masked-NODE_137_length_5651_cov_61.2375_ID_20350-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_137_length_5651_cov_61.2375_ID_20350-processed-gene-0.4&CDS=1-783
OG0000483	YJR019C	augustus_masked-NODE_29_length_156251_cov_85.5209_ID_12929-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_29_length_156251_cov_85.5209_ID_12929-processed-gene-0.47&CDS=1-1116, snap_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-1.142-mRNA-1_1&gene=snap_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-1.142&CDS=1-897
OG0000484	YJR054W, YML047C	augustus_masked-NODE_8_length_324243_cov_41.9626_ID_10196-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NODE_8_length_324243_cov_41.9626_ID_10196-processed-gene-1.20&CDS=1-1662
OG0000485	YJR059W, YKL198C	augustus_masked-NODE_30_length_156169_cov_46.2821_ID_10106-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_30_length_156169_cov_46.2821_ID_10106-processed-gene-0.24&CDS=1-2496
OG0000486	YJR091C, YPR042C	augustus_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-0.35&CDS=1-3243
OG0000487	YJR092W	augustus_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-0.14&CDS=1-4974, augustus_masked-NODE_2099_length_358_cov_1.09881_ID_28967-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2099_length_358_cov_1.09881_ID_28967-processed-gene-0.1&CDS=1-207
OG0000488	YJR094W-A, YPR043W	augustus_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-0.17&CDS=1-279
OG0000489	YJR099W	augustus_masked-NODE_1440_length_397_cov_0.910959_ID_27334-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1440_length_397_cov_0.910959_ID_27334-processed-gene-0.2&CDS=1-393, augustus_masked-NODE_8_length_324243_cov_41.9626_ID_10196-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-NODE_8_length_324243_cov_41.9626_ID_10196-processed-gene-2.38&CDS=1-708
OG0000490	YJR107W	augustus_masked-NODE_47_length_96693_cov_40.1335_ID_13188-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_47_length_96693_cov_40.1335_ID_13188-processed-gene-0.114&CDS=1-1005, genemark-NODE_1162_length_413_cov_0.909091_ID_26608-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_1162_length_413_cov_0.909091_ID_26608-processed-gene-0.0&CDS=1-369
OG0000491	YKL015W	augustus_masked-NODE_8_length_324243_cov_41.9626_ID_10196-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-NODE_8_length_324243_cov_41.9626_ID_10196-processed-gene-1.47&CDS=1-2742, maker-NODE_123_length_12679_cov_63.9523_ID_18514-augustus-gene-0.15-mRNA-1_1&gene=maker-NODE_123_length_12679_cov_63.9523_ID_18514-augustus-gene-0.15&CDS=1-3027
OG0000492	YKL032C, YMR072W	maker-NODE_11_length_277426_cov_44.3082_ID_9401-augustus-gene-1.7-mRNA-1_1&gene=maker-NODE_11_length_277426_cov_44.3082_ID_9401-augustus-gene-1.7&CDS=1-513
OG0000493	YKL040C	augustus_masked-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-0.102&CDS=1-738, augustus_masked-NODE_84_length_47905_cov_52.2204_ID_16200-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_84_length_47905_cov_52.2204_ID_16200-processed-gene-0.11&CDS=1-744
OG0000494	YKL047W	augustus_masked-NODE_1113_length_417_cov_0.778846_ID_26510-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1113_length_417_cov_0.778846_ID_26510-processed-gene-0.2&CDS=1-414, augustus_masked-NODE_50_length_86598_cov_30.8001_ID_14809-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_50_length_86598_cov_30.8001_ID_14809-processed-gene-0.21&CDS=1-1914
OG0000495	YKL050C, YMR031C	augustus_masked-NODE_6_length_358001_cov_61.1535_ID_21971-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-NODE_6_length_358001_cov_61.1535_ID_21971-processed-gene-2.60&CDS=1-2616
OG0000496	YKL062W, YMR037C	augustus_masked-NODE_6_length_358001_cov_61.1535_ID_21971-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-NODE_6_length_358001_cov_61.1535_ID_21971-processed-gene-2.21&CDS=1-1887
OG0000497	YKL072W, YMR053C	augustus_masked-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-2.44&CDS=1-2751
OG0000498	YKL094W	maker-NODE_32_length_147469_cov_47.5155_ID_13746-augustus-gene-0.15-mRNA-1_1&gene=maker-NODE_32_length_147469_cov_47.5155_ID_13746-augustus-gene-0.15&CDS=1-933, maker-NODE_32_length_147469_cov_47.5155_ID_13746-augustus-gene-0.16-mRNA-1_1&gene=maker-NODE_32_length_147469_cov_47.5155_ID_13746-augustus-gene-0.16&CDS=1-918
OG0000499	YKL096W	augustus_masked-NODE_50_length_86598_cov_30.8001_ID_14809-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_50_length_86598_cov_30.8001_ID_14809-processed-gene-0.18&CDS=1-639, augustus_masked-NODE_9_length_307025_cov_42.2536_ID_9480-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-NODE_9_length_307025_cov_42.2536_ID_9480-processed-gene-1.94&CDS=1-609
OG0000500	YKL114C	augustus_masked-NODE_834_length_438_cov_0.756757_ID_25793-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_834_length_438_cov_0.756757_ID_25793-processed-gene-0.1&CDS=1-438, maker-NODE_17_length_219174_cov_45.1481_ID_10526-augustus-gene-0.89-mRNA-1_1&gene=maker-NODE_17_length_219174_cov_45.1481_ID_10526-augustus-gene-0.89&CDS=1-1107
OG0000501	YKL117W	augustus_masked-NODE_1481_length_395_cov_0.827586_ID_27414-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1481_length_395_cov_0.827586_ID_27414-processed-gene-0.1&CDS=1-390, augustus_masked-NODE_22_length_180837_cov_47.847_ID_9927-processed-gene-0.223-mRNA-1_1&gene=augustus_masked-NODE_22_length_180837_cov_47.847_ID_9927-processed-gene-0.223&CDS=1-849
OG0000502	YKL121W, YMR102C	augustus_masked-NODE_19_length_192951_cov_49.0009_ID_31983-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-NODE_19_length_192951_cov_49.0009_ID_31983-processed-gene-0.202&CDS=1-2319
OG0000503	YKL126W, YMR104C	genemark-NODE_3_length_446620_cov_44.3711_ID_10314-processed-gene-1.35-mRNA-1_1&gene=genemark-NODE_3_length_446620_cov_44.3711_ID_10314-processed-gene-1.35&CDS=1-2190
OG0000504	YKL127W, YMR105C	augustus_masked-NODE_3_length_446620_cov_44.3711_ID_10314-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_3_length_446620_cov_44.3711_ID_10314-processed-gene-0.42&CDS=1-1671
OG0000505	YKL140W	augustus_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-0.26&CDS=1-1302, augustus_masked-NODE_24_length_174151_cov_81.0224_ID_14581-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_24_length_174151_cov_81.0224_ID_14581-processed-gene-0.50&CDS=1-1482
OG0000506	YKL141W, YMR118C	augustus_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-0.32&CDS=1-507
OG0000507	YKL170W	augustus_masked-NODE_304_length_760_cov_0.79084_ID_23296-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_304_length_760_cov_0.79084_ID_23296-processed-gene-0.1&CDS=1-396, augustus_masked-NODE_35_length_141908_cov_44.0477_ID_11833-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_35_length_141908_cov_44.0477_ID_11833-processed-gene-0.27&CDS=1-390
OG0000508	YKR038C	augustus_masked-NODE_337_length_663_cov_0.883513_ID_23970-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_337_length_663_cov_0.883513_ID_23970-processed-gene-0.1&CDS=1-615, augustus_masked-NODE_64_length_68793_cov_42.1034_ID_13158-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_64_length_68793_cov_42.1034_ID_13158-processed-gene-0.18&CDS=1-1146
OG0000509	YKR048C	augustus_masked-NODE_841_length_437_cov_0.789157_ID_25807-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_841_length_437_cov_0.789157_ID_25807-processed-gene-0.1&CDS=1-432, augustus_masked-NODE_8_length_324243_cov_41.9626_ID_10196-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-NODE_8_length_324243_cov_41.9626_ID_10196-processed-gene-2.36&CDS=1-1329
OG0000510	YKR074W	maker-NODE_1386_length_400_cov_0.915254_ID_27077-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_1386_length_400_cov_0.915254_ID_27077-augustus-gene-0.2&CDS=1-339, maker-NODE_5_length_371884_cov_42.9121_ID_10256-augustus-gene-1.128-mRNA-1_1&gene=maker-NODE_5_length_371884_cov_42.9121_ID_10256-augustus-gene-1.128&CDS=1-420
OG0000511	YKR076W, YMR251W	augustus_masked-NODE_80_length_49761_cov_51.1621_ID_17254-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_80_length_49761_cov_51.1621_ID_17254-processed-gene-0.20&CDS=1-1008
OG0000512	YKR082W	augustus_masked-NODE_5_length_371884_cov_42.9121_ID_10256-processed-gene-2.255-mRNA-1_1&gene=augustus_masked-NODE_5_length_371884_cov_42.9121_ID_10256-processed-gene-2.255&CDS=1-3489, snap_masked-NODE_602_length_457_cov_0.78125_ID_25236-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_602_length_457_cov_0.78125_ID_25236-processed-gene-0.0&CDS=1-399
OG0000513	YKR091W, YOR083W	augustus_masked-NODE_5_length_371884_cov_42.9121_ID_10256-processed-gene-2.223-mRNA-1_1&gene=augustus_masked-NODE_5_length_371884_cov_42.9121_ID_10256-processed-gene-2.223&CDS=1-1185
OG0000514	YKR093W	augustus_masked-NODE_448_length_529_cov_0.71934_ID_24606-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_448_length_529_cov_0.71934_ID_24606-processed-gene-0.0&CDS=1-525, maker-NODE_6_length_358001_cov_61.1535_ID_21971-snap-gene-2.87-mRNA-1_1&gene=maker-NODE_6_length_358001_cov_61.1535_ID_21971-snap-gene-2.87&CDS=1-4002
OG0000515	YLL012W, YLR020C	augustus_masked-NODE_109_length_24088_cov_46.7484_ID_17800-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_109_length_24088_cov_46.7484_ID_17800-processed-gene-0.10&CDS=1-1296
OG0000516	YLL018C	genemark-NODE_2_length_505443_cov_52.2683_ID_20729-processed-gene-3.40-mRNA-1_1&gene=genemark-NODE_2_length_505443_cov_52.2683_ID_20729-processed-gene-3.40&CDS=1-1677, maker-NODE_27_length_164324_cov_91.9908_ID_13037-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_27_length_164324_cov_91.9908_ID_13037-augustus-gene-0.4&CDS=1-2460
OG0000517	YLL021W	augustus_masked-NODE_1462_length_396_cov_0.872852_ID_27376-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1462_length_396_cov_0.872852_ID_27376-processed-gene-0.1&CDS=1-396, augustus_masked-NODE_2_length_505443_cov_52.2683_ID_20729-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-NODE_2_length_505443_cov_52.2683_ID_20729-processed-gene-4.89&CDS=1-2829
OG0000518	YLL027W	augustus_masked-NODE_2076_length_359_cov_1.05906_ID_28921-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2076_length_359_cov_1.05906_ID_28921-processed-gene-0.1&CDS=1-165, augustus_masked-NODE_82_length_48277_cov_44.0082_ID_14738-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_82_length_48277_cov_44.0082_ID_14738-processed-gene-0.50&CDS=1-789
OG0000519	YLL056C	augustus_masked-NODE_17_length_219174_cov_45.1481_ID_10526-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_17_length_219174_cov_45.1481_ID_10526-processed-gene-0.125&CDS=1-957, snap_masked-NODE_11_length_277426_cov_44.3082_ID_9401-processed-gene-1.172-mRNA-1_1&gene=snap_masked-NODE_11_length_277426_cov_44.3082_ID_9401-processed-gene-1.172&CDS=1-1038
OG0000520	YLR016C	augustus_masked-NODE_3_length_446620_cov_44.3711_ID_10314-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_3_length_446620_cov_44.3711_ID_10314-processed-gene-0.6&CDS=1-582, genemark-NODE_827_length_438_cov_0.837838_ID_25779-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_827_length_438_cov_0.837838_ID_25779-processed-gene-0.0&CDS=1-252
OG0000521	YLR084C	augustus_masked-NODE_1536_length_391_cov_0.972028_ID_27524-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1536_length_391_cov_0.972028_ID_27524-processed-gene-0.2&CDS=1-387, augustus_masked-NODE_5_length_371884_cov_42.9121_ID_10256-processed-gene-2.241-mRNA-1_1&gene=augustus_masked-NODE_5_length_371884_cov_42.9121_ID_10256-processed-gene-2.241&CDS=1-3702
OG0000522	YLR094C	augustus_masked-NODE_1805_length_375_cov_0.985185_ID_28201-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1805_length_375_cov_0.985185_ID_28201-processed-gene-0.0&CDS=1-321, snap_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.173-mRNA-1_1&gene=snap_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.173&CDS=1-864
OG0000523	YLR098C, YOR337W	genemark-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-2.168-mRNA-1_1&gene=genemark-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-2.168&CDS=1-1920
OG0000524	YLR138W	genemark-NODE_49_length_89589_cov_40.4721_ID_11937-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_49_length_89589_cov_40.4721_ID_11937-processed-gene-0.60&CDS=1-2808, maker-NODE_3_length_446620_cov_44.3711_ID_10314-augustus-gene-0.49-mRNA-1_1&gene=maker-NODE_3_length_446620_cov_44.3711_ID_10314-augustus-gene-0.49&CDS=1-1452
OG0000525	YLR189C	augustus_masked-NODE_32_length_147469_cov_47.5155_ID_13746-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_32_length_147469_cov_47.5155_ID_13746-processed-gene-0.27&CDS=1-3885, maker-NODE_26_length_167005_cov_40.2922_ID_11093-snap-gene-0.245-mRNA-1_1&gene=maker-NODE_26_length_167005_cov_40.2922_ID_11093-snap-gene-0.245&CDS=1-4131
OG0000526	YLR193C	augustus_masked-NODE_522_length_468_cov_1.06336_ID_25053-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_522_length_468_cov_1.06336_ID_25053-processed-gene-0.0&CDS=1-390, augustus_masked-NODE_56_length_78334_cov_65.8513_ID_12335-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_56_length_78334_cov_65.8513_ID_12335-processed-gene-0.30&CDS=1-519
OG0000527	YLR249W, YNL014W	augustus_masked-NODE_3_length_446620_cov_44.3711_ID_10314-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_3_length_446620_cov_44.3711_ID_10314-processed-gene-0.17&CDS=1-3144
OG0000528	YLR270W, YOR173W	augustus_masked-NODE_38_length_124779_cov_40.7997_ID_14094-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_38_length_124779_cov_40.7997_ID_14094-processed-gene-0.21&CDS=1-957
OG0000529	YLR273C, YOR178C	augustus_masked-NODE_16_length_220024_cov_43.3811_ID_9203-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_16_length_220024_cov_43.3811_ID_9203-processed-gene-0.5&CDS=1-2439
OG0000530	YLR284C, YOR180C	augustus_masked-NODE_38_length_124779_cov_40.7997_ID_14094-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_38_length_124779_cov_40.7997_ID_14094-processed-gene-0.16&CDS=1-840
OG0000531	YLR287C-A, YOR182C	snap_masked-NODE_16_length_220024_cov_43.3811_ID_9203-processed-gene-1.112-mRNA-1_1&gene=snap_masked-NODE_16_length_220024_cov_43.3811_ID_9203-processed-gene-1.112&CDS=1-216
OG0000532	YLR295C	augustus_masked-NODE_1041_length_422_cov_0.788644_ID_26368-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1041_length_422_cov_0.788644_ID_26368-processed-gene-0.2&CDS=1-318, augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-2.21&CDS=1-297
OG0000533	YLR300W, YOR190W	augustus_masked-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-2.15&CDS=1-1308
OG0000534	YLR312W-A	genemark-NODE_26_length_167005_cov_40.2922_ID_11093-processed-gene-0.195-mRNA-1_1&gene=genemark-NODE_26_length_167005_cov_40.2922_ID_11093-processed-gene-0.195&CDS=1-708, snap_masked-NODE_1065_length_420_cov_0.844444_ID_26414-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_1065_length_420_cov_0.844444_ID_26414-processed-gene-0.0&CDS=1-363
OG0000535	YLR323C	augustus_masked-NODE_106_length_26887_cov_42.6176_ID_17649-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_106_length_26887_cov_42.6176_ID_17649-processed-gene-0.10&CDS=1-831, augustus_masked-NODE_133_length_6444_cov_44.9229_ID_19571-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_133_length_6444_cov_44.9229_ID_19571-processed-gene-0.6&CDS=1-834
OG0000536	YLR368W	augustus_masked-NODE_105_length_28296_cov_42.4595_ID_17951-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_105_length_28296_cov_42.4595_ID_17951-processed-gene-0.14&CDS=1-1920, snap_masked-NODE_1322_length_403_cov_0.932886_ID_26949-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_1322_length_403_cov_0.932886_ID_26949-processed-gene-0.0&CDS=1-351
OG0000537	YLR396C	augustus_masked-NODE_2002_length_363_cov_1.03876_ID_28773-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_2002_length_363_cov_1.03876_ID_28773-processed-gene-0.0&CDS=1-363, augustus_masked-NODE_76_length_52859_cov_81.7543_ID_15458-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_76_length_52859_cov_81.7543_ID_15458-processed-gene-0.7&CDS=1-1986
OG0000538	YLR425W	snap_masked-NODE_46_length_99549_cov_39.9488_ID_13625-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_46_length_99549_cov_39.9488_ID_13625-processed-gene-0.114&CDS=1-4170, snap_masked-NODE_711_length_447_cov_0.774854_ID_25452-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_711_length_447_cov_0.774854_ID_25452-processed-gene-0.1&CDS=1-243
OG0000539	YLR456W, YPR172W	augustus_masked-NODE_24_length_174151_cov_81.0224_ID_14581-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_24_length_174151_cov_81.0224_ID_14581-processed-gene-0.30&CDS=1-675
OG0000540	YML016C	augustus_masked-NODE_61_length_71616_cov_39.8751_ID_12901-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_61_length_71616_cov_39.8751_ID_12901-processed-gene-0.27&CDS=1-1761, augustus_masked-NODE_68_length_60784_cov_43.6748_ID_13690-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_68_length_60784_cov_43.6748_ID_13690-processed-gene-0.44&CDS=1-1470
OG0000541	YML063W	augustus_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.253-mRNA-1_1&gene=augustus_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.253&CDS=1-768, augustus_masked-NODE_15_length_232331_cov_45.0676_ID_11356-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NODE_15_length_232331_cov_45.0676_ID_11356-processed-gene-1.31&CDS=1-768
OG0000542	YML073C	augustus_masked-NODE_26_length_167005_cov_40.2922_ID_11093-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_26_length_167005_cov_40.2922_ID_11093-processed-gene-0.119&CDS=1-531, maker-NODE_34_length_144696_cov_43.8658_ID_10466-augustus-gene-0.6-mRNA-1_1&gene=maker-NODE_34_length_144696_cov_43.8658_ID_10466-augustus-gene-0.6&CDS=1-531
OG0000543	YML081W	augustus_masked-NODE_18_length_213627_cov_46.8687_ID_9249-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NODE_18_length_213627_cov_46.8687_ID_9249-processed-gene-1.36&CDS=1-3876, augustus_masked-NODE_363_length_615_cov_0.678431_ID_24172-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_363_length_615_cov_0.678431_ID_24172-processed-gene-0.0&CDS=1-450
OG0000544	YML099C	augustus_masked-NODE_104_length_29384_cov_124.969_ID_18089-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_104_length_29384_cov_124.969_ID_18089-processed-gene-0.33&CDS=1-2514, augustus_masked-NODE_17_length_219174_cov_45.1481_ID_10526-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-NODE_17_length_219174_cov_45.1481_ID_10526-processed-gene-1.150&CDS=1-2469
OG0000545	YML100W, YMR261C	augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-1.103&CDS=1-2775
