	Saccharomyces_cerevisiae	yHMPu5000035296_Priceomyces_carsonii
OG0000245	YDR125C, YLR099C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-13.56-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-13.56&CDS=1-1524
OG0000246	YDR132C, YLR108C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-16.17-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-16.17&CDS=1-1347
OG0000247	YDR134C, YLR110C	maker-NODE_6_length_672321_cov_21.8377_ID_1603-snap-gene-4.153-mRNA-1_1&gene=maker-NODE_6_length_672321_cov_21.8377_ID_1603-snap-gene-4.153&CDS=1-2028
OG0000248	YDR143C	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-4.111-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-4.111&CDS=1-1698, genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-5.64-mRNA-1_1&gene=genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-5.64&CDS=1-1320
OG0000249	YDR146C, YLR131C	genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-1.121-mRNA-1_1&gene=genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-1.121&CDS=1-1875
OG0000250	YDR151C, YLR136C	augustus_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.21&CDS=1-633
OG0000251	YDR200C, YLR238W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-7.31-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-7.31&CDS=1-1635
OG0000252	YDR206W, YLR233C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-10.97-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-10.97&CDS=1-2610
OG0000253	YDR213W, YLR228C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-8.66-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-8.66&CDS=1-2088
OG0000254	YDR216W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-16.30-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-16.30&CDS=1-3531, genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.113-mRNA-1_1&gene=genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.113&CDS=1-435
OG0000255	YDR251W, YPL032C	genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.182-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.182&CDS=1-2667
OG0000256	YDR253C, YPL038W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-0.28&CDS=1-1074
OG0000257	YDR256C	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-3.96-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-3.96&CDS=1-1452, genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.38-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.38&CDS=1-1461
OG0000258	YDR259C, YOR028C	genemark-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.232-mRNA-1_1&gene=genemark-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.232&CDS=1-738
OG0000259	YDR263C, YOR033C	genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-0.96&CDS=1-1884
OG0000260	YDR272W, YOR040W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-2.146-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-2.146&CDS=1-819
OG0000261	YDR273W, YOR042W	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-6.89-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-6.89&CDS=1-1125
OG0000262	YDR277C, YOR047C	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-3.45-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-3.45&CDS=1-1008
OG0000263	YDR312W, YHR066W	genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-1.151-mRNA-1_1&gene=genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-1.151&CDS=1-1236
OG0000264	YDR337W	augustus_masked-NODE_80_length_432_cov_0.859238_ID_4607-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_80_length_432_cov_0.859238_ID_4607-processed-gene-0.0&CDS=1-390, genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-0.47&CDS=1-942
OG0000265	YDR379W, YOR127W	genemark-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.271-mRNA-1_1&gene=genemark-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.271&CDS=1-3414
OG0000266	YDR385W, YOR133W	snap_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-14.90-mRNA-1_1&gene=snap_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-14.90&CDS=1-2526
OG0000267	YDR389W, YOR134W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-10.100-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-10.100&CDS=1-1824
OG0000268	YDR409W, YOR156C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-12.68-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-12.68&CDS=1-2772
OG0000269	YDR418W, YEL054C	genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-0.34&CDS=1-495
OG0000270	YDR447C, YML024W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-8.60-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-8.60&CDS=1-366
OG0000271	YDR450W, YML026C	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.23-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.23&CDS=1-435
OG0000272	YDR451C, YML027W	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.68-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.68&CDS=1-1215
OG0000273	YDR453C, YML028W	augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-11.147-mRNA-1_1&gene=augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-11.147&CDS=1-1077
OG0000274	YDR471W, YHR010W	maker-NODE_1_length_1816623_cov_20.064_ID_2006-snap-gene-12.0-mRNA-1_1&gene=maker-NODE_1_length_1816623_cov_20.064_ID_2006-snap-gene-12.0&CDS=1-429
OG0000275	YDR492W, YOL002C	augustus_masked-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.183&CDS=1-3846
OG0000276	YDR497C, YOL103W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-0.83&CDS=1-1674
OG0000277	YDR500C, YLR185W	augustus_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-1.19&CDS=1-264
OG0000278	YDR505C, YLR177W	augustus_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-1.37&CDS=1-1908
OG0000279	YEL006W, YIL006W	augustus_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-0.110&CDS=1-3342
OG0000280	YEL022W, YJR031C	maker-NODE_2_length_754996_cov_19.8997_ID_1384-augustus-gene-4.2-mRNA-1_1&gene=maker-NODE_2_length_754996_cov_19.8997_ID_1384-augustus-gene-4.2&CDS=1-5244
OG0000281	YEL039C, YJR048W	maker-NODE_10_length_407211_cov_23.1954_ID_2838-snap-gene-3.189-mRNA-1_1&gene=maker-NODE_10_length_407211_cov_23.1954_ID_2838-snap-gene-3.189&CDS=1-2106
OG0000282	YEL041W, YJR049C	genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.105-mRNA-1_1&gene=genemark-NODE_16_length_317400_cov_23.6874_ID_1729-processed-gene-2.105&CDS=1-1650
OG0000283	YEL047C, YJR051W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.308-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.308&CDS=1-1491
OG0000284	YEL066W, YPR193C	genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-0.55&CDS=1-453
OG0000285	YER028C, YGL209W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.35-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.35&CDS=1-1404
OG0000286	YER037W, YGL224C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-1.45-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-1.45&CDS=1-843
OG0000287	YER056C-A, YIL052C	augustus_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-3.13&CDS=1-339
OG0000288	YER057C, YIL051C	genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.189-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.189&CDS=1-381
OG0000289	YER059W, YIL050W	genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-3.118-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-3.118&CDS=1-1860
OG0000290	YER064C, YIL056W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-1.153-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-1.153&CDS=1-1827
OG0000291	YER066W, YFL009W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.12-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.12&CDS=1-2148
OG0000292	YER067W, YIL057C	genemark-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.57&CDS=1-600
OG0000293	YER131W, YGL189C	genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_26_length_123160_cov_27.0581_ID_2926-processed-gene-0.104&CDS=1-357
OG0000294	YER132C, YGL197W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.49-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.49&CDS=1-4047
OG0000295	YER152C	genemark-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.160-mRNA-1_1&gene=genemark-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.160&CDS=1-1152, maker-NODE_2_length_754996_cov_19.8997_ID_1384-augustus-gene-6.275-mRNA-1_1&gene=maker-NODE_2_length_754996_cov_19.8997_ID_1384-augustus-gene-6.275&CDS=1-2346
OG0000296	YER185W, YGR213C	genemark-NODE_31_length_11546_cov_39.88_ID_3457-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_31_length_11546_cov_39.88_ID_3457-processed-gene-0.7&CDS=1-954
OG0000297	YFL004W, YPL019C	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-0.98&CDS=1-2370
OG0000298	YFL034C-A, YLR061W	augustus_masked-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.141&CDS=1-357
OG0000299	YFL048C, YLR080W	snap_masked-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.149-mRNA-1_1&gene=snap_masked-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.149&CDS=1-3234
OG0000300	YFL050C, YOL130W	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.96-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.96&CDS=1-2568
OG0000301	YFL053W	genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-0.94&CDS=1-1782, genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-6.82-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-6.82&CDS=1-1791
OG0000302	YFL061W, YNL335W	genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-1.71-mRNA-1_1&gene=genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-1.71&CDS=1-684
OG0000303	YFR007W	augustus_masked-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.37&CDS=1-702, genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.14-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.14&CDS=1-693
OG0000304	YFR013W, YOL017W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-4.52-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-4.52&CDS=1-2211
OG0000305	YFR024C-A, YHR016C	genemark-NODE_25_length_136868_cov_20.0533_ID_2683-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_25_length_136868_cov_20.0533_ID_2683-processed-gene-0.94&CDS=1-1263
OG0000306	YFR053C, YGL253W	snap_masked-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.69-mRNA-1_1&gene=snap_masked-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.69&CDS=1-1917
OG0000307	YGL016W	augustus_masked-NODE_92_length_393_cov_0.880795_ID_4808-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_92_length_393_cov_0.880795_ID_4808-processed-gene-0.0&CDS=1-327, genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-0.71&CDS=1-3009
OG0000308	YGL031C, YGR148C	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-3.100-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-3.100&CDS=1-468
OG0000309	YGL049C, YGR162W	maker-NODE_10_length_407211_cov_23.1954_ID_2838-snap-gene-3.190-mRNA-1_1&gene=maker-NODE_10_length_407211_cov_23.1954_ID_2838-snap-gene-3.190&CDS=1-2973
OG0000310	YGL071W, YPL202C	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-3.108-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-3.108&CDS=1-1674
OG0000311	YGL076C, YPL198W	augustus_masked-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-1.13&CDS=1-783
OG0000312	YGL082W, YPL191C	genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.156-mRNA-1_1&gene=genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.156&CDS=1-1146
OG0000313	YGL133W, YPL216W	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-1.96-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-1.96&CDS=1-3552
OG0000314	YGL134W, YPL219W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-1.19-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-1.19&CDS=1-1062
OG0000315	YGL135W, YPL220W	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-1.132-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-1.132&CDS=1-651
OG0000316	YGL139W, YPL221W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-1.17-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-1.17&CDS=1-2382
OG0000317	YGL147C, YNL067W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.118-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.118&CDS=1-573
OG0000318	YGL158W, YLR248W	augustus_masked-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-4.142-mRNA-1_1&gene=augustus_masked-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-4.142&CDS=1-1935
OG0000319	YGL162W, YPR009W	augustus_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-2.31&CDS=1-894
OG0000320	YGL166W, YPR008W	genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.173-mRNA-1_1&gene=genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.173&CDS=1-1107
OG0000321	YGL205W	genemark-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.100&CDS=1-2115, maker-NODE_3_length_707165_cov_22.0283_ID_1313-augustus-gene-3.150-mRNA-1_1&gene=maker-NODE_3_length_707165_cov_22.0283_ID_1313-augustus-gene-3.150&CDS=1-4206
OG0000322	YGL255W	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-0.59&CDS=1-1146, genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-0.40&CDS=1-1158
OG0000323	YGR008C, YLR327C	augustus_masked-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.216-mRNA-1_1&gene=augustus_masked-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-6.216&CDS=1-267
OG0000324	YGR027C, YLR333C	augustus_masked-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-2.32&CDS=1-744
OG0000325	YGR034W, YLR344W	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-2.70-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-2.70&CDS=1-381
OG0000326	YGR043C, YLR354C	augustus_masked-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-0.33&CDS=1-2961
OG0000327	YGR056W, YLR357W	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-3.22-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-3.22&CDS=1-2259
OG0000328	YGR070W, YLR371W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-14.109-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-14.109&CDS=1-4098
OG0000329	YGR092W, YPR111W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.56-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.56&CDS=1-1800
OG0000330	YGR108W, YPR119W	genemark-NODE_25_length_136868_cov_20.0533_ID_2683-processed-gene-0.130-mRNA-1_1&gene=genemark-NODE_25_length_136868_cov_20.0533_ID_2683-processed-gene-0.130&CDS=1-1503
OG0000331	YGR118W, YPR132W	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-4.76-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-4.76&CDS=1-435
OG0000332	YGR127W, YPR147C	augustus_masked-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.66&CDS=1-1926
OG0000333	YGR131W, YPR149W	genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.112-mRNA-1_1&gene=genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.112&CDS=1-501
OG0000334	YGR136W, YPR154W	genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.107&CDS=1-849
OG0000335	YGR138C, YPR156C	genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.103&CDS=1-1857
OG0000336	YGR141W, YPR157W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-1.2-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-1.2&CDS=1-1323
OG0000337	YGR197C, YJR015W	genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-4.0-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-4.0&CDS=1-1491
OG0000338	YGR209C, YLR043C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-15.106-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-15.106&CDS=1-309
OG0000339	YGR212W	augustus_masked-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_21_length_177165_cov_25.6692_ID_2879-processed-gene-0.64&CDS=1-1458, augustus_masked-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-0.105&CDS=1-1470
OG0000340	YGR214W, YLR048W	genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.104&CDS=1-786
OG0000341	YGR238C, YHR158C	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.102-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.102&CDS=1-3051
OG0000342	YGR243W, YHR162W	genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.198-mRNA-1_1&gene=genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.198&CDS=1-393
OG0000343	YGR248W, YHR163W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-4.83-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-4.83&CDS=1-783
OG0000344	YGR254W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-8.68-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-8.68&CDS=1-1317, genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.144-mRNA-1_1&gene=genemark-NODE_20_length_178871_cov_19.8994_ID_2165-processed-gene-0.144&CDS=1-1311
OG0000345	YGR263C	augustus_masked-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-0.38&CDS=1-1230, genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.158-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.158&CDS=1-1212
OG0000346	YHL001W, YKL006W	genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-1.69-mRNA-1_1&gene=genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-1.69&CDS=1-399
OG0000347	YHL003C, YKL008C	genemark-NODE_27_length_53047_cov_25.3891_ID_3076-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_27_length_53047_cov_25.3891_ID_3076-processed-gene-0.55&CDS=1-1242
OG0000348	YHL016C	genemark-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.50-mRNA-1_1&gene=genemark-NODE_23_length_155774_cov_25.4571_ID_2978-processed-gene-0.50&CDS=1-2103, genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-3.10-mRNA-1_1&gene=genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-3.10&CDS=1-2157
OG0000349	YHL017W, YKL039W	genemark-NODE_25_length_136868_cov_20.0533_ID_2683-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_25_length_136868_cov_20.0533_ID_2683-processed-gene-0.91&CDS=1-1728
OG0000350	YHR001W, YKR003W	genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-0.85&CDS=1-1362
OG0000351	YHR021C, YKL156W	augustus_masked-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-1.23&CDS=1-246
