	Nakaseomyces_delphensis	Saccharomyces_cerevisiae
OG0000465	augustus_masked-NADE0S01-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NADE0S01-processed-gene-1.33&CDS=1-1035	YLR447C
OG0000466	augustus_masked-NADE0S01-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NADE0S01-processed-gene-1.34&CDS=1-2328	YJR126C
OG0000467	augustus_masked-NADE0S01-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NADE0S01-processed-gene-1.36&CDS=1-972	YJR129C
OG0000468	snap_masked-NADE0S01-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-1.85&CDS=1-1707	YJR130C
OG0000469	snap_masked-NADE0S01-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-1.64&CDS=1-1659	YJR131W
OG0000470	snap_masked-NADE0S01-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-1.65&CDS=1-3135	YJR132W
OG0000471	snap_masked-NADE0S01-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-1.66&CDS=1-624	YJR133W
OG0000472	augustus_masked-NADE0S01-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NADE0S01-processed-gene-1.38&CDS=1-2514	YJR135C
OG0000473	snap_masked-NADE0S01-processed-gene-1.67-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-1.67&CDS=1-267	YJR135W-A
OG0000474	augustus_masked-NADE0S01-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NADE0S01-processed-gene-1.39&CDS=1-1239	YJR136C
OG0000475	snap_masked-NADE0S01-processed-gene-1.89-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-1.89&CDS=1-4209	YJR137C
OG0000476	snap_masked-NADE0S01-processed-gene-1.68-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-1.68&CDS=1-4650	YJR138W
OG0000477	snap_masked-NADE0S01-processed-gene-1.90-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-1.90&CDS=1-1083	YJR139C
OG0000478	snap_masked-NADE0S01-processed-gene-1.91-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-1.91&CDS=1-4881	YJR140C
OG0000479	augustus_masked-NADE0S01-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NADE0S01-processed-gene-1.21&CDS=1-1047	YJR141W
OG0000480	augustus_masked-NADE0S01-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NADE0S01-processed-gene-1.22&CDS=1-1035	YJR142W
OG0000481	snap_masked-NADE0S01-processed-gene-1.92-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-1.92&CDS=1-2301	YJR143C
OG0000482	snap_masked-NADE0S01-processed-gene-1.70-mRNA-1_1&gene=snap_masked-NADE0S01-processed-gene-1.70&CDS=1-750	YJR144W
OG0000483	maker-NADE0S02-snap-gene-0.14-mRNA-1_1&gene=maker-NADE0S02-snap-gene-0.14&CDS=1-387	Q0250
OG0000484	snap_masked-NADE0S03-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.3&CDS=1-1299	YGR285C
OG0000485	snap_masked-NADE0S03-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.4&CDS=1-960	YGR284C
OG0000486	snap_masked-NADE0S03-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.5&CDS=1-924	YGR282C
OG0000487	snap_masked-NADE0S03-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.23&CDS=1-4416	YGR281W
OG0000488	snap_masked-NADE0S03-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.6&CDS=1-885	YGR280C
OG0000489	snap_masked-NADE0S03-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.26&CDS=1-936	YGR278W
OG0000490	snap_masked-NADE0S03-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.8&CDS=1-867	YGR277C
OG0000491	snap_masked-NADE0S03-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.9&CDS=1-1917	YGR276C
OG0000492	snap_masked-NADE0S03-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.10&CDS=1-3078	YGR274C
OG0000493	genemark-NADE0S03-processed-gene-0.81-mRNA-1_1&gene=genemark-NADE0S03-processed-gene-0.81&CDS=1-1662	YMR296C
OG0000494	snap_masked-NADE0S03-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.12&CDS=1-672	YGR271C-A
OG0000495	snap_masked-NADE0S03-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.13&CDS=1-1404	YGR268C
OG0000496	snap_masked-NADE0S03-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.15&CDS=1-702	YGR267C
OG0000497	snap_masked-NADE0S03-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.30&CDS=1-2109	YGR266W
OG0000498	snap_masked-NADE0S03-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.16&CDS=1-2244	YGR264C
OG0000499	augustus_masked-NADE0S03-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-0.51&CDS=1-1263	YGR263C
OG0000500	augustus_masked-NADE0S03-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-0.52&CDS=1-792	YGR262C
OG0000501	augustus_masked-NADE0S03-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-0.53&CDS=1-2439	YGR261C
OG0000502	snap_masked-NADE0S03-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.31&CDS=1-1560	YGR260W
OG0000503	maker-NADE0S03-snap-gene-0.36-mRNA-1_1&gene=maker-NADE0S03-snap-gene-0.36&CDS=1-2541	YGR258C
OG0000504	snap_masked-NADE0S03-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.20&CDS=1-1104	YGR257C
OG0000505	snap_masked-NADE0S03-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.32&CDS=1-1473	YGR252W
OG0000506	snap_masked-NADE0S03-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-0.33&CDS=1-1428	YGR255C
OG0000507	augustus_masked-NADE0S03-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-0.57&CDS=1-2022	YGR250C
OG0000508	genemark-NADE0S03-processed-gene-0.106-mRNA-1_1&gene=genemark-NADE0S03-processed-gene-0.106&CDS=1-579	YGR247W
OG0000509	snap_masked-NADE0S03-processed-gene-1.0-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.0&CDS=1-1821	YGR246C
OG0000510	snap_masked-NADE0S03-processed-gene-1.1-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.1&CDS=1-2202	YGR245C
OG0000511	snap_masked-NADE0S03-processed-gene-1.2-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.2&CDS=1-1248	YGR244C
OG0000512	snap_masked-NADE0S03-processed-gene-1.4-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.4&CDS=1-3000	YGR240C
OG0000513	snap_masked-NADE0S03-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.6&CDS=1-666	YGR239C
OG0000514	snap_masked-NADE0S03-processed-gene-1.8-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.8&CDS=1-2349	YGR237C
OG0000515	snap_masked-NADE0S03-processed-gene-1.9-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.9&CDS=1-300	YGR236C
OG0000516	snap_masked-NADE0S03-processed-gene-1.10-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.10&CDS=1-702	YGR235C
OG0000517	snap_masked-NADE0S03-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.33&CDS=1-1194	YGR234W
OG0000518	snap_masked-NADE0S03-processed-gene-1.13-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.13&CDS=1-3363	YGR233C
OG0000519	snap_masked-NADE0S03-processed-gene-1.34-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.34&CDS=1-693	YGR232W
OG0000520	snap_masked-NADE0S03-processed-gene-1.14-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.14&CDS=1-2019	YGR225W
OG0000521	snap_masked-NADE0S03-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.15&CDS=1-1569	YGR227W
OG0000522	snap_masked-NADE0S03-processed-gene-1.35-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.35&CDS=1-1755	YGR229C
OG0000523	snap_masked-NADE0S03-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.16&CDS=1-213	YGR230W
OG0000524	snap_masked-NADE0S03-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.36&CDS=1-939	YGR231C
OG0000525	snap_masked-NADE0S03-processed-gene-1.37-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.37&CDS=1-1632	YDR131C
OG0000526	augustus_masked-NADE0S03-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-1.75&CDS=1-663	YDR226W
OG0000527	augustus_masked-NADE0S03-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-1.97&CDS=1-1869	YDR228C
OG0000528	snap_masked-NADE0S03-processed-gene-1.18-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.18&CDS=1-1143	YDR229W
OG0000529	snap_masked-NADE0S03-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.40&CDS=1-540	YDR231C
OG0000530	snap_masked-NADE0S03-processed-gene-1.19-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.19&CDS=1-1119	YDR249C
OG0000531	snap_masked-NADE0S03-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.20&CDS=1-549	YDR248C
OG0000532	snap_masked-NADE0S03-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.42&CDS=1-921	YDR246W
OG0000533	snap_masked-NADE0S03-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.43&CDS=1-1158	YDR245W
OG0000534	snap_masked-NADE0S03-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.44&CDS=1-1746	YDR244W
OG0000535	genemark-NADE0S03-processed-gene-1.126-mRNA-1_1&gene=genemark-NADE0S03-processed-gene-1.126&CDS=1-1635	YDR243C
OG0000536	snap_masked-NADE0S03-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.22&CDS=1-1299	YDR240C
OG0000537	snap_masked-NADE0S03-processed-gene-1.23-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.23&CDS=1-2478	YDR239C
OG0000538	snap_masked-NADE0S03-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.24&CDS=1-2913	YDR238C
OG0000539	snap_masked-NADE0S03-processed-gene-1.45-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.45&CDS=1-849	YDR237W
OG0000540	genemark-NADE0S03-processed-gene-1.131-mRNA-1_1&gene=genemark-NADE0S03-processed-gene-1.131&CDS=1-819	YDR236C
OG0000541	augustus_masked-NADE0S03-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-1.102&CDS=1-4530	YDR234W
OG0000542	augustus_masked-NADE0S03-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-1.84&CDS=1-204	YML129C
OG0000543	maker-NADE0S03-augustus-gene-1.58-mRNA-1_1&gene=maker-NADE0S03-augustus-gene-1.58&CDS=1-1131	YMR193W
OG0000544	snap_masked-NADE0S03-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.49&CDS=1-198	YMR194C-B
OG0000545	maker-NADE0S03-augustus-gene-1.59-mRNA-1_1&gene=maker-NADE0S03-augustus-gene-1.59&CDS=1-2478	YDR256C
OG0000546	snap_masked-NADE0S03-processed-gene-1.31-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.31&CDS=1-2118	YLR149C
OG0000547	snap_masked-NADE0S03-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.32&CDS=1-501	YML055W
OG0000548	snap_masked-NADE0S03-processed-gene-1.52-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-1.52&CDS=1-1734	YML054C
OG0000549	snap_masked-NADE0S03-processed-gene-2.3-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.3&CDS=1-1422	YFR021W
OG0000550	snap_masked-NADE0S03-processed-gene-2.0-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.0&CDS=1-2466	YFR016C
OG0000551	augustus_masked-NADE0S03-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-2.88&CDS=1-474	YFR011C
OG0000552	augustus_masked-NADE0S03-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-2.109&CDS=1-1488	YFR010W
OG0000553	snap_masked-NADE0S03-processed-gene-2.27-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.27&CDS=1-2256	YFR009W
OG0000554	snap_masked-NADE0S03-processed-gene-2.28-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.28&CDS=1-1083	YFR018C
OG0000555	snap_masked-NADE0S03-processed-gene-2.4-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.4&CDS=1-6315	YFR019W
OG0000556	snap_masked-NADE0S03-processed-gene-2.5-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.5&CDS=1-888	YOR130C
OG0000557	augustus_masked-NADE0S03-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-2.91&CDS=1-1710	YOR128C
OG0000558	snap_masked-NADE0S03-processed-gene-2.29-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.29&CDS=1-2730	YOR127W
OG0000559	augustus_masked-NADE0S03-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-2.92&CDS=1-5151	YOR124C
OG0000560	snap_masked-NADE0S03-processed-gene-2.9-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.9&CDS=1-1377	YOR123C
OG0000561	snap_masked-NADE0S03-processed-gene-2.10-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.10&CDS=1-378	YOR122C
OG0000562	snap_masked-NADE0S03-processed-gene-2.11-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.11&CDS=1-978	YHR104W
OG0000563	snap_masked-NADE0S03-processed-gene-2.12-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.12&CDS=1-537	YHR105W
OG0000564	snap_masked-NADE0S03-processed-gene-2.14-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.14&CDS=1-1551	YHR109W
OG0000565	snap_masked-NADE0S03-processed-gene-2.15-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.15&CDS=1-624	YHR110W
OG0000566	snap_masked-NADE0S03-processed-gene-2.16-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.16&CDS=1-1299	YHR111W
OG0000567	snap_masked-NADE0S03-processed-gene-2.32-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.32&CDS=1-3180	YML104C
OG0000568	snap_masked-NADE0S03-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.33&CDS=1-5070	YML103C
OG0000569	snap_masked-NADE0S03-processed-gene-2.17-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.17&CDS=1-1371	YML102W
OG0000570	snap_masked-NADE0S03-processed-gene-2.34-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.34&CDS=1-423	YML101C
OG0000571	snap_masked-NADE0S03-processed-gene-2.19-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.19&CDS=1-2970	YGL201C
OG0000572	snap_masked-NADE0S03-processed-gene-2.35-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.35&CDS=1-1512	YGL202W
OG0000573	snap_masked-NADE0S03-processed-gene-2.20-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.20&CDS=1-2136	YGL203C
OG0000574	snap_masked-NADE0S03-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.21&CDS=1-1464	YBR283C
OG0000575	snap_masked-NADE0S03-processed-gene-2.40-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.40&CDS=1-435	YBR282W
OG0000576	snap_masked-NADE0S03-processed-gene-2.22-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.22&CDS=1-2613	YBR281C
OG0000577	snap_masked-NADE0S03-processed-gene-2.23-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-2.23&CDS=1-1860	YBR280C
OG0000578	genemark-NADE0S03-processed-gene-3.45-mRNA-1_1&gene=genemark-NADE0S03-processed-gene-3.45&CDS=1-1296	YBR279W
OG0000579	snap_masked-NADE0S03-processed-gene-3.3-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.3&CDS=1-717	YBR278W
OG0000580	snap_masked-NADE0S03-processed-gene-3.0-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.0&CDS=1-2322	YBR276C
OG0000581	augustus_masked-NADE0S03-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-3.85&CDS=1-5151	YBR275C
OG0000582	snap_masked-NADE0S03-processed-gene-3.24-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.24&CDS=1-1764	YLR253W
OG0000583	snap_masked-NADE0S03-processed-gene-3.25-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.25&CDS=1-627	YLR251W
OG0000584	snap_masked-NADE0S03-processed-gene-3.26-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.26&CDS=1-3132	YNL014W
OG0000585	snap_masked-NADE0S03-processed-gene-3.5-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.5&CDS=1-771	YGL166W
OG0000586	snap_masked-NADE0S03-processed-gene-3.28-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.28&CDS=1-1269	YGL164C
OG0000587	snap_masked-NADE0S03-processed-gene-3.29-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.29&CDS=1-2856	YGL163C
OG0000588	augustus_masked-NADE0S03-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-3.113&CDS=1-999	YGL161C
OG0000589	augustus_masked-NADE0S03-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-3.91&CDS=1-1236	YGL169W
OG0000590	snap_masked-NADE0S03-processed-gene-3.8-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.8&CDS=1-180	YJL133C-A
OG0000591	snap_masked-NADE0S03-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.33&CDS=1-660	YJL140W
OG0000592	snap_masked-NADE0S03-processed-gene-3.10-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.10&CDS=1-1269	YAR018C
OG0000593	snap_masked-NADE0S03-processed-gene-3.34-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.34&CDS=1-924	YAR015W
OG0000594	snap_masked-NADE0S03-processed-gene-3.11-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.11&CDS=1-2316	YAR014C
OG0000595	snap_masked-NADE0S03-processed-gene-3.12-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.12&CDS=1-2751	YBR017C
OG0000596	snap_masked-NADE0S03-processed-gene-3.35-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.35&CDS=1-312	YDL012C
OG0000597	snap_masked-NADE0S03-processed-gene-3.13-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.13&CDS=1-1815	YBR015C
OG0000598	snap_masked-NADE0S03-processed-gene-3.15-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.15&CDS=1-441	YDL008W
OG0000599	snap_masked-NADE0S03-processed-gene-3.16-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.16&CDS=1-1704	YBR044C
OG0000600	augustus_masked-NADE0S03-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-3.100&CDS=1-1197	YBR042C
OG0000601	augustus_masked-NADE0S03-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-3.119&CDS=1-2016	YBR041W
OG0000602	augustus_masked-NADE0S03-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-3.120&CDS=1-774	YBR040W
OG0000603	snap_masked-NADE0S03-processed-gene-3.38-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.38&CDS=1-882	YBR039W
OG0000604	snap_masked-NADE0S03-processed-gene-3.17-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.17&CDS=1-681	YBR035C
OG0000605	snap_masked-NADE0S03-processed-gene-3.18-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.18&CDS=1-1044	YBR034C
OG0000606	snap_masked-NADE0S03-processed-gene-3.19-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.19&CDS=1-1275	YBR029C
OG0000607	snap_masked-NADE0S03-processed-gene-3.39-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.39&CDS=1-1284	YBR036C
OG0000608	augustus_masked-NADE0S03-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-3.104&CDS=1-2742	YBR038W
OG0000609	snap_masked-NADE0S03-processed-gene-3.21-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.21&CDS=1-588	YDR296W
OG0000610	snap_masked-NADE0S03-processed-gene-3.22-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.22&CDS=1-999	YDR297W
OG0000611	snap_masked-NADE0S03-processed-gene-3.41-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.41&CDS=1-618	YDR298C
OG0000612	snap_masked-NADE0S03-processed-gene-3.23-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-3.23&CDS=1-1557	YDR299W
OG0000613	snap_masked-NADE0S03-processed-gene-4.0-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.0&CDS=1-4053	YDR301W
OG0000614	snap_masked-NADE0S03-processed-gene-4.2-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.2&CDS=1-2115	YJL112W
OG0000615	snap_masked-NADE0S03-processed-gene-4.3-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.3&CDS=1-1665	YJL111W
OG0000616	snap_masked-NADE0S03-processed-gene-4.23-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.23&CDS=1-11310	YHR099W
OG0000617	snap_masked-NADE0S03-processed-gene-4.6-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.6&CDS=1-2793	YHR098C
OG0000618	snap_masked-NADE0S03-processed-gene-4.24-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.24&CDS=1-633	YGL037C
OG0000619	snap_masked-NADE0S03-processed-gene-4.11-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.11&CDS=1-1998	YGL036W
OG0000620	snap_masked-NADE0S03-processed-gene-4.12-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.12&CDS=1-2070	YGR009C
OG0000621	augustus_masked-NADE0S03-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-4.63&CDS=1-1242	YGL035C
OG0000622	augustus_masked-NADE0S03-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-4.54&CDS=1-651	YGL033W
OG0000623	snap_masked-NADE0S03-processed-gene-4.26-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.26&CDS=1-360	YGL032C
OG0000624	augustus_masked-NADE0S03-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-4.55&CDS=1-303	YGL030W
OG0000625	snap_masked-NADE0S03-processed-gene-4.30-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.30&CDS=1-2487	YGL027C
OG0000626	snap_masked-NADE0S03-processed-gene-4.31-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.31&CDS=1-2127	YGL026C
OG0000627	snap_masked-NADE0S03-processed-gene-4.18-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.18&CDS=1-1602	YCR098C
OG0000628	genemark-NADE0S03-processed-gene-4.106-mRNA-1_1&gene=genemark-NADE0S03-processed-gene-4.106&CDS=1-1779	YPL265W
OG0000629	genemark-NADE0S03-processed-gene-4.107-mRNA-1_1&gene=genemark-NADE0S03-processed-gene-4.107&CDS=1-3030	YPL268W
OG0000630	snap_masked-NADE0S03-processed-gene-4.20-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.20&CDS=1-1590	YPL272C
OG0000631	snap_masked-NADE0S03-processed-gene-4.38-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.38&CDS=1-1929	YPL263C
OG0000632	snap_masked-NADE0S03-processed-gene-4.21-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.21&CDS=1-1182	YLR355C
OG0000633	snap_masked-NADE0S03-processed-gene-4.22-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-4.22&CDS=1-1002	YLR354C
OG0000634	snap_masked-NADE0S03-processed-gene-5.5-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.5&CDS=1-2646	YLR352W
OG0000635	augustus_masked-NADE0S03-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-5.107&CDS=1-861	YLR351C
OG0000636	snap_masked-NADE0S03-processed-gene-5.3-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.3&CDS=1-873	YLR348C
OG0000637	snap_masked-NADE0S03-processed-gene-5.7-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.7&CDS=1-2583	YLR347C
OG0000638	snap_masked-NADE0S03-processed-gene-5.25-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.25&CDS=1-1551	YLR345W
OG0000639	snap_masked-NADE0S03-processed-gene-5.30-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.30&CDS=1-942	YLR340W
OG0000640	augustus_masked-NADE0S03-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-NADE0S03-processed-gene-5.113&CDS=1-2205	YLR337C
OG0000641	snap_masked-NADE0S03-processed-gene-5.33-mRNA-1_1&gene=snap_masked-NADE0S03-processed-gene-5.33&CDS=1-534	YGR029W
