	Alloascoidea_hylecoeti	Saccharomyces_cerevisiae
OG0000136	-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-gi|1002318351|dbj|BCKZ01000032.1|-processed-gene-0.78&CDS=1-1437, -processed-gene-1.59-mRNA-1_1&gene=genemark-gi|1002318359|dbj|BCKZ01000024.1|-processed-gene-1.59&CDS=1-1206, -processed-gene-3.49-mRNA-1_1&gene=snap_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-3.49&CDS=1-1728	YBR225W
OG0000137	-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-gi|1002318351|dbj|BCKZ01000032.1|-processed-gene-0.80&CDS=1-1422, -processed-gene-10.61-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-10.61&CDS=1-3810, -processed-gene-6.58-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-6.58&CDS=1-1386	YMR020W
OG0000138	-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-gi|1002318351|dbj|BCKZ01000032.1|-processed-gene-0.83&CDS=1-2700, -processed-gene-17.14-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-17.14&CDS=1-3993, -processed-gene-3.96-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-3.96&CDS=1-2940	YCL029C
OG0000139	-augustus-gene-0.3-mRNA-1_1&gene=maker-gi|1002318351|dbj|BCKZ01000032.1|-augustus-gene-0.3&CDS=1-2100, -processed-gene-5.72-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-5.72&CDS=1-2139	YBR216C, YGL060W
OG0000140	-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-gi|1002318351|dbj|BCKZ01000032.1|-processed-gene-0.95&CDS=1-711, -processed-gene-1.118-mRNA-1_1&gene=augustus_masked-gi|1002318365|dbj|BCKZ01000018.1|-processed-gene-1.118&CDS=1-711	YBR181C, YPL090C
OG0000141	-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-gi|1002318351|dbj|BCKZ01000032.1|-processed-gene-0.73&CDS=1-2763, -processed-gene-3.40-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-3.40&CDS=1-2772	YGL049C, YGR162W
OG0000142	-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-gi|1002318352|dbj|BCKZ01000031.1|-processed-gene-0.151&CDS=1-540, -processed-gene-4.81-mRNA-1_1&gene=augustus_masked-gi|1002318368|dbj|BCKZ01000015.1|-processed-gene-4.81&CDS=1-537	YDR178W, YLR164W
OG0000143	-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-gi|1002318352|dbj|BCKZ01000031.1|-processed-gene-0.156&CDS=1-993, -processed-gene-1.10-mRNA-1_1&gene=snap_masked-gi|1002318372|dbj|BCKZ01000011.1|-processed-gene-1.10&CDS=1-1032, -processed-gene-1.98-mRNA-1_1&gene=augustus_masked-gi|1002318372|dbj|BCKZ01000011.1|-processed-gene-1.98&CDS=1-987	YBR046C
OG0000144	-augustus-gene-3.68-mRNA-1_1&gene=maker-gi|1002318364|dbj|BCKZ01000019.1|-augustus-gene-3.68&CDS=1-1422, -processed-gene-0.160-mRNA-1_1&gene=augustus_masked-gi|1002318352|dbj|BCKZ01000031.1|-processed-gene-0.160&CDS=1-1341, -processed-gene-1.64-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-1.64&CDS=1-1494	YHR135C
OG0000145	-augustus-gene-8.45-mRNA-1_1&gene=maker-gi|1002318376|dbj|BCKZ01000007.1|-augustus-gene-8.45&CDS=1-1104, -processed-gene-0.172-mRNA-1_1&gene=augustus_masked-gi|1002318352|dbj|BCKZ01000031.1|-processed-gene-0.172&CDS=1-1203	YDL114W, YLR426W
OG0000146	-processed-gene-0.124-mRNA-1_1&gene=genemark-gi|1002318352|dbj|BCKZ01000031.1|-processed-gene-0.124&CDS=1-1644, -processed-gene-0.52-mRNA-1_1&gene=augustus_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-0.52&CDS=1-1101, -processed-gene-13.46-mRNA-1_1&gene=genemark-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-13.46&CDS=1-2607	YCL074W
OG0000147	-augustus-gene-8.79-mRNA-1_1&gene=maker-gi|1002318379|dbj|BCKZ01000004.1|-augustus-gene-8.79&CDS=1-657, -processed-gene-0.99-mRNA-1_1&gene=augustus_masked-gi|1002318353|dbj|BCKZ01000030.1|-processed-gene-0.99&CDS=1-654	YAR002C-A, YGL002W
OG0000148	-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-gi|1002318353|dbj|BCKZ01000030.1|-processed-gene-0.136&CDS=1-1713, -processed-gene-0.52-mRNA-1_1&gene=augustus_masked-gi|1002318366|dbj|BCKZ01000017.1|-processed-gene-0.52&CDS=1-1767, -processed-gene-2.65-mRNA-1_1&gene=augustus_masked-gi|1002318364|dbj|BCKZ01000019.1|-processed-gene-2.65&CDS=1-1698	YAL067C
OG0000149	-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-gi|1002318353|dbj|BCKZ01000030.1|-processed-gene-0.119&CDS=1-3783, -processed-gene-10.57-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-10.57&CDS=1-4437	YCR073C, YNR031C
OG0000150	-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-gi|1002318354|dbj|BCKZ01000029.1|-processed-gene-0.93&CDS=1-1011, -processed-gene-3.53-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-3.53&CDS=1-990	YCR034W, YLR372W
OG0000151	-augustus-gene-0.198-mRNA-1_1&gene=maker-gi|1002318354|dbj|BCKZ01000029.1|-augustus-gene-0.198&CDS=1-639, -processed-gene-13.65-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-13.65&CDS=1-642	YAL007C, YOR016C
OG0000152	-augustus-gene-0.196-mRNA-1_1&gene=maker-gi|1002318354|dbj|BCKZ01000029.1|-augustus-gene-0.196&CDS=1-4251, -processed-gene-6.8-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-6.8&CDS=1-4014	YGR238C, YHR158C
OG0000153	-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-gi|1002318354|dbj|BCKZ01000029.1|-processed-gene-0.110&CDS=1-834, -processed-gene-1.55-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-1.55&CDS=1-684, -processed-gene-3.14-mRNA-1_1&gene=snap_masked-gi|1002318377|dbj|BCKZ01000006.1|-processed-gene-3.14&CDS=1-699	YGR235C
OG0000154	-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-gi|1002318355|dbj|BCKZ01000028.1|-processed-gene-1.23&CDS=1-423, -processed-gene-2.58-mRNA-1_1&gene=augustus_masked-gi|1002318359|dbj|BCKZ01000024.1|-processed-gene-2.58&CDS=1-423	YCR031C, YJL191W
OG0000155	-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-gi|1002318355|dbj|BCKZ01000028.1|-processed-gene-1.30&CDS=1-1731, -processed-gene-1.63-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-1.63&CDS=1-1728, -processed-gene-1.97-mRNA-1_1&gene=augustus_masked-gi|1002318365|dbj|BCKZ01000018.1|-processed-gene-1.97&CDS=1-1728, -processed-gene-5.143-mRNA-1_1&gene=augustus_masked-gi|1002318366|dbj|BCKZ01000017.1|-processed-gene-5.143&CDS=1-1743	
OG0000156	-augustus-gene-16.3-mRNA-1_1&gene=maker-gi|1002318382|dbj|BCKZ01000001.1|-augustus-gene-16.3&CDS=1-1350, -processed-gene-0.26-mRNA-1_1&gene=augustus_masked-gi|1002318356|dbj|BCKZ01000027.1|-processed-gene-0.26&CDS=1-1374, -processed-gene-0.57-mRNA-1_1&gene=augustus_masked-gi|1002318366|dbj|BCKZ01000017.1|-processed-gene-0.57&CDS=1-1374, -processed-gene-2.58-mRNA-1_1&gene=augustus_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-2.58&CDS=1-1374	
OG0000157	-processed-gene-1.164-mRNA-1_1&gene=snap_masked-gi|1002318356|dbj|BCKZ01000027.1|-processed-gene-1.164&CDS=1-321, -processed-gene-5.54-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-5.54&CDS=1-321	YOR234C, YPL143W
OG0000158	-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-5.72&CDS=1-2979, -snap-gene-1.194-mRNA-1_1&gene=maker-gi|1002318356|dbj|BCKZ01000027.1|-snap-gene-1.194&CDS=1-1602	YJL084C, YKR021W
OG0000159	-augustus-gene-1.2-mRNA-1_1&gene=maker-gi|1002318356|dbj|BCKZ01000027.1|-augustus-gene-1.2&CDS=1-1338, -processed-gene-0.11-mRNA-1_1&gene=augustus_masked-gi|1002318367|dbj|BCKZ01000016.1|-processed-gene-0.11&CDS=1-1236	YLR090W, YNL064C
OG0000160	-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.104&CDS=1-2316, -processed-gene-1.81-mRNA-1_1&gene=augustus_masked-gi|1002318357|dbj|BCKZ01000026.1|-processed-gene-1.81&CDS=1-1983	YDR200C, YLR238W
OG0000161	-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-gi|1002318357|dbj|BCKZ01000026.1|-processed-gene-1.93&CDS=1-1806, -processed-gene-7.122-mRNA-1_1&gene=snap_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-7.122&CDS=1-1611, -processed-gene-8.54-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-8.54&CDS=1-1410	YNL042W
OG0000162	-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-gi|1002318367|dbj|BCKZ01000016.1|-processed-gene-1.30&CDS=1-750, -processed-gene-1.96-mRNA-1_1&gene=augustus_masked-gi|1002318357|dbj|BCKZ01000026.1|-processed-gene-1.96&CDS=1-735	YGL076C, YPL198W
OG0000163	-augustus-gene-11.6-mRNA-1_1&gene=maker-gi|1002318379|dbj|BCKZ01000004.1|-augustus-gene-11.6&CDS=1-1071, -processed-gene-1.38-mRNA-1_1&gene=augustus_masked-gi|1002318358|dbj|BCKZ01000025.1|-processed-gene-1.38&CDS=1-771, -processed-gene-3.42-mRNA-1_1&gene=augustus_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-3.42&CDS=1-957	YOR101W
OG0000164	-augustus-gene-16.1-mRNA-1_1&gene=maker-gi|1002318382|dbj|BCKZ01000001.1|-augustus-gene-16.1&CDS=1-924, -processed-gene-1.170-mRNA-1_1&gene=snap_masked-gi|1002318358|dbj|BCKZ01000025.1|-processed-gene-1.170&CDS=1-975, -snap-gene-16.106-mRNA-1_1&gene=maker-gi|1002318382|dbj|BCKZ01000001.1|-snap-gene-16.106&CDS=1-1011	YDR284C
OG0000165	-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-gi|1002318359|dbj|BCKZ01000024.1|-processed-gene-0.63&CDS=1-1233, -processed-gene-4.96-mRNA-1_1&gene=augustus_masked-gi|1002318373|dbj|BCKZ01000010.1|-processed-gene-4.96&CDS=1-2931	YBR289W, YMR062C
OG0000166	-augustus-gene-0.126-mRNA-1_1&gene=maker-gi|1002318359|dbj|BCKZ01000024.1|-augustus-gene-0.126&CDS=1-1140, -processed-gene-1.69-mRNA-1_1&gene=augustus_masked-gi|1002318373|dbj|BCKZ01000010.1|-processed-gene-1.69&CDS=1-1137, -processed-gene-10.25-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-10.25&CDS=1-1173	YML008C
OG0000167	-processed-gene-0.18-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-0.18&CDS=1-3174, -processed-gene-0.97-mRNA-1_1&gene=snap_masked-gi|1002318359|dbj|BCKZ01000024.1|-processed-gene-0.97&CDS=1-1725, -processed-gene-1.59-mRNA-1_1&gene=augustus_masked-gi|1002318373|dbj|BCKZ01000010.1|-processed-gene-1.59&CDS=1-3729, -processed-gene-9.31-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-9.31&CDS=1-2097	
OG0000168	-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-gi|1002318366|dbj|BCKZ01000017.1|-processed-gene-0.46&CDS=1-1866, -processed-gene-1.25-mRNA-1_1&gene=augustus_masked-gi|1002318359|dbj|BCKZ01000024.1|-processed-gene-1.25&CDS=1-1884, -processed-gene-14.95-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-14.95&CDS=1-1860	YMR058W
OG0000169	-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-gi|1002318359|dbj|BCKZ01000024.1|-processed-gene-2.42&CDS=1-1149, -snap-gene-2.2-mRNA-1_1&gene=maker-gi|1002318364|dbj|BCKZ01000019.1|-snap-gene-2.2&CDS=1-1923	YBL016W, YGR040W
OG0000170	-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-gi|1002318359|dbj|BCKZ01000024.1|-processed-gene-2.43&CDS=1-462, -processed-gene-2.82-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-2.82&CDS=1-474	YGL031C, YGR148C
OG0000171	-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-gi|1002318359|dbj|BCKZ01000024.1|-processed-gene-2.53&CDS=1-261, -processed-gene-2.55-mRNA-1_1&gene=augustus_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-2.55&CDS=1-246	YER019C-A, YER087C-B
OG0000172	-augustus-gene-1.72-mRNA-1_1&gene=maker-gi|1002318360|dbj|BCKZ01000023.1|-augustus-gene-1.72&CDS=1-579, -processed-gene-1.8-mRNA-1_1&gene=augustus_masked-gi|1002318367|dbj|BCKZ01000016.1|-processed-gene-1.8&CDS=1-546	YKL141W, YMR118C
OG0000173	-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-gi|1002318360|dbj|BCKZ01000023.1|-processed-gene-1.22&CDS=1-1827, -processed-gene-5.91-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-5.91&CDS=1-951	YDL224C, YNL197C
OG0000174	-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-gi|1002318360|dbj|BCKZ01000023.1|-processed-gene-1.25&CDS=1-762, -processed-gene-3.36-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-3.36&CDS=1-762	YFR031C-A, YIL018W
OG0000175	-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-gi|1002318361|dbj|BCKZ01000022.1|-processed-gene-1.78&CDS=1-855	YJL158C, YJL160C, YKL164C
OG0000176	-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-gi|1002318366|dbj|BCKZ01000017.1|-processed-gene-0.33&CDS=1-915, -processed-gene-1.23-mRNA-1_1&gene=snap_masked-gi|1002318361|dbj|BCKZ01000022.1|-processed-gene-1.23&CDS=1-774, -processed-gene-10.15-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-10.15&CDS=1-1254	YFL031W
OG0000177	-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-gi|1002318373|dbj|BCKZ01000010.1|-processed-gene-1.63&CDS=1-768, -processed-gene-3.61-mRNA-1_1&gene=augustus_masked-gi|1002318361|dbj|BCKZ01000022.1|-processed-gene-3.61&CDS=1-765, -processed-gene-9.105-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-9.105&CDS=1-765	YLR441C
OG0000178	-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-gi|1002318361|dbj|BCKZ01000022.1|-processed-gene-3.62&CDS=1-1887, -processed-gene-4.10-mRNA-1_1&gene=snap_masked-gi|1002318372|dbj|BCKZ01000011.1|-processed-gene-4.10&CDS=1-1731, -processed-gene-4.21-mRNA-1_1&gene=snap_masked-gi|1002318372|dbj|BCKZ01000011.1|-processed-gene-4.21&CDS=1-2187	YDL076C
OG0000179	-processed-gene-0.117-mRNA-1_1&gene=snap_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-0.117&CDS=1-951, -processed-gene-6.39-mRNA-1_1&gene=snap_masked-gi|1002318373|dbj|BCKZ01000010.1|-processed-gene-6.39&CDS=1-1272	YCL011C, YNL004W
OG0000180	-processed-gene-1.55-mRNA-1_1&gene=genemark-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-1.55&CDS=1-495, -processed-gene-14.116-mRNA-1_1&gene=genemark-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-14.116&CDS=1-498, -processed-gene-2.66-mRNA-1_1&gene=augustus_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-2.66&CDS=1-1350	YPL064C
OG0000181	-processed-gene-1.134-mRNA-1_1&gene=snap_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-1.134&CDS=1-3327, -processed-gene-2.59-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-2.59&CDS=1-1194	YFL023W, YOR057W
OG0000182	-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-1.19&CDS=1-1089, -processed-gene-3.186-mRNA-1_1&gene=augustus_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-3.186&CDS=1-972	YLR270W, YOR173W
OG0000183	-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-1.37&CDS=1-312, -snap-gene-9.114-mRNA-1_1&gene=maker-gi|1002318381|dbj|BCKZ01000002.1|-snap-gene-9.114&CDS=1-312	YHR141C, YNL162W
OG0000184	-augustus-gene-3.99-mRNA-1_1&gene=maker-gi|1002318381|dbj|BCKZ01000002.1|-augustus-gene-3.99&CDS=1-2760, -processed-gene-2.42-mRNA-1_1&gene=augustus_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-2.42&CDS=1-3009	YDR069C, YER144C
OG0000185	-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-0.84&CDS=1-780, -processed-gene-0.86-mRNA-1_1&gene=genemark-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.86&CDS=1-771, -processed-gene-3.159-mRNA-1_1&gene=augustus_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-3.159&CDS=1-768	YKL055C
OG0000186	-processed-gene-3.162-mRNA-1_1&gene=augustus_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-3.162&CDS=1-411, -processed-gene-5.109-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-5.109&CDS=1-411	YDR471W, YHR010W
OG0000187	-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-1.7&CDS=1-2817, -processed-gene-5.131-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-5.131&CDS=1-3045	YKL068W, YMR047C
OG0000188	-processed-gene-1.69-mRNA-1_1&gene=snap_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-1.69&CDS=1-660, -processed-gene-4.65-mRNA-1_1&gene=augustus_masked-gi|1002318368|dbj|BCKZ01000015.1|-processed-gene-4.65&CDS=1-687	YBR278W, YJL065C
OG0000189	-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-1.26&CDS=1-2010, -processed-gene-2.23-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-2.23&CDS=1-1686	YDL113C, YDR425W
OG0000190	-processed-gene-1.107-mRNA-1_1&gene=snap_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-1.107&CDS=1-978, -processed-gene-2.69-mRNA-1_1&gene=snap_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-2.69&CDS=1-999	YML019W, YOR085W
OG0000191	-augustus-gene-1.88-mRNA-1_1&gene=maker-gi|1002318380|dbj|BCKZ01000003.1|-augustus-gene-1.88&CDS=1-642, -processed-gene-2.61-mRNA-1_1&gene=augustus_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-2.61&CDS=1-645	YLR293C, YOR185C
OG0000192	-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-3.32&CDS=1-411, -processed-gene-3.38-mRNA-1_1&gene=augustus_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-3.38&CDS=1-414	YDR447C, YML024W
OG0000193	-processed-gene-12.101-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-12.101&CDS=1-1086, -processed-gene-3.50-mRNA-1_1&gene=augustus_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-3.50&CDS=1-1086	YCR105W, YMR318C
OG0000194	-augustus-gene-3.64-mRNA-1_1&gene=maker-gi|1002318363|dbj|BCKZ01000020.1|-augustus-gene-3.64&CDS=1-2577, -processed-gene-4.30-mRNA-1_1&gene=augustus_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-4.30&CDS=1-2490	YDR409W, YOR156C
OG0000195	-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-gi|1002318377|dbj|BCKZ01000006.1|-processed-gene-0.59&CDS=1-1740, -processed-gene-4.125-mRNA-1_1&gene=snap_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-4.125&CDS=1-1869	YDR235W, YML046W
OG0000196	-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-1.16&CDS=1-1176, -processed-gene-4.129-mRNA-1_1&gene=snap_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-4.129&CDS=1-1164	YGL038C, YJR075W
OG0000197	-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-gi|1002318363|dbj|BCKZ01000020.1|-processed-gene-4.63&CDS=1-2952, -processed-gene-8.85-mRNA-1_1&gene=augustus_masked-gi|1002318377|dbj|BCKZ01000006.1|-processed-gene-8.85&CDS=1-2883	YML100W, YMR261C
OG0000198	-processed-gene-1.4-mRNA-1_1&gene=snap_masked-gi|1002318364|dbj|BCKZ01000019.1|-processed-gene-1.4&CDS=1-435, -processed-gene-15.78-mRNA-1_1&gene=genemark-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-15.78&CDS=1-720, -processed-gene-6.199-mRNA-1_1&gene=augustus_masked-gi|1002318373|dbj|BCKZ01000010.1|-processed-gene-6.199&CDS=1-897	YHR004C
OG0000199	-augustus-gene-1.0-mRNA-1_1&gene=maker-gi|1002318364|dbj|BCKZ01000019.1|-augustus-gene-1.0&CDS=1-420, -augustus-gene-4.1-mRNA-1_1&gene=maker-gi|1002318379|dbj|BCKZ01000004.1|-augustus-gene-4.1&CDS=1-420	YHL001W, YKL006W
OG0000200	-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-gi|1002318364|dbj|BCKZ01000019.1|-processed-gene-1.51&CDS=1-606, -processed-gene-4.60-mRNA-1_1&gene=augustus_masked-gi|1002318377|dbj|BCKZ01000006.1|-processed-gene-4.60&CDS=1-606	YBL072C, YER102W
OG0000201	-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-gi|1002318364|dbj|BCKZ01000019.1|-processed-gene-4.54&CDS=1-558, -processed-gene-5.20-mRNA-1_1&gene=augustus_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-5.20&CDS=1-732, -processed-gene-5.45-mRNA-1_1&gene=augustus_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-5.45&CDS=1-729	YAL049C
OG0000202	-processed-gene-15.15-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-15.15&CDS=1-2640, -processed-gene-4.66-mRNA-1_1&gene=augustus_masked-gi|1002318364|dbj|BCKZ01000019.1|-processed-gene-4.66&CDS=1-2508	YOR256C, YPL176C
OG0000203	-augustus-gene-0.118-mRNA-1_1&gene=maker-gi|1002318376|dbj|BCKZ01000007.1|-augustus-gene-0.118&CDS=1-245, -augustus-gene-7.123-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-7.123&CDS=1-246, -processed-gene-0.52-mRNA-1_1&gene=augustus_masked-gi|1002318365|dbj|BCKZ01000018.1|-processed-gene-0.52&CDS=1-288	YDL181W
OG0000204	-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-gi|1002318365|dbj|BCKZ01000018.1|-processed-gene-1.110&CDS=1-1707, -processed-gene-10.36-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-10.36&CDS=1-1674, -snap-gene-2.1-mRNA-1_1&gene=maker-gi|1002318382|dbj|BCKZ01000001.1|-snap-gene-2.1&CDS=1-3105	YDL124W
OG0000205	-processed-gene-10.46-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-10.46&CDS=1-1224, -processed-gene-10.76-mRNA-1_1&gene=snap_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-10.76&CDS=1-1275, -processed-gene-2.100-mRNA-1_1&gene=genemark-gi|1002318365|dbj|BCKZ01000018.1|-processed-gene-2.100&CDS=1-1143	YEL004W
OG0000206	-processed-gene-15.99-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-15.99&CDS=1-984, -processed-gene-4.158-mRNA-1_1&gene=augustus_masked-gi|1002318365|dbj|BCKZ01000018.1|-processed-gene-4.158&CDS=1-1029	YJL133W, YKR052C
OG0000207	-processed-gene-3.76-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-3.76&CDS=1-1761, -processed-gene-4.178-mRNA-1_1&gene=augustus_masked-gi|1002318365|dbj|BCKZ01000018.1|-processed-gene-4.178&CDS=1-1728, -processed-gene-7.21-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-7.21&CDS=1-1734	YML123C
OG0000208	-augustus-gene-4.229-mRNA-1_1&gene=maker-gi|1002318365|dbj|BCKZ01000018.1|-augustus-gene-4.229&CDS=1-273, -snap-gene-11.2-mRNA-1_1&gene=maker-gi|1002318381|dbj|BCKZ01000002.1|-snap-gene-11.2&CDS=1-231	YDR276C, YDR525W-A
OG0000209	-processed-gene-0.38-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-0.38&CDS=1-3288, -processed-gene-0.59-mRNA-1_1&gene=snap_masked-gi|1002318366|dbj|BCKZ01000017.1|-processed-gene-0.59&CDS=1-3327	YDR458C, YML034W
