	Saccharomyces_cerevisiae	yHMPu5000034883_Peterozyma_xylosa
OG0000507	YOR226C, YPL135W	snap_masked-flattened_line_6-processed-gene-3.112-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.112&CDS=1-513
OG0000508	YOR231W, YPL140C	snap_masked-flattened_line_12-processed-gene-5.72-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.72&CDS=1-1437
OG0000509	YOR234C, YPL143W	snap_masked-flattened_line_4-processed-gene-7.19-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-7.19&CDS=1-312
OG0000510	YOR237W, YPL145C	snap_masked-flattened_line_4-processed-gene-7.35-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-7.35&CDS=1-1272
OG0000511	YOR256C, YPL176C	snap_masked-flattened_line_6-processed-gene-2.67-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.67&CDS=1-2457
OG0000512	YOR270C	genemark-flattened_line_12-processed-gene-5.38-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-5.38&CDS=1-2589, snap_masked-flattened_line_22-processed-gene-4.67-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-4.67&CDS=1-2418
OG0000513	YOR390W, YPL279C	snap_masked-flattened_line_60-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.13&CDS=1-1032
OG0000514	YPL048W	snap_masked-flattened_line_32-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.67&CDS=1-1239, snap_masked-flattened_line_36-processed-gene-1.55-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.55&CDS=1-1236
OG0000515	YPL065W	augustus_masked-flattened_line_2-processed-gene-7.144-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-7.144&CDS=1-1491, snap_masked-flattened_line_12-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.86&CDS=1-678
OG0000516	YPL088W	augustus_masked-flattened_line_2-processed-gene-7.147-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-7.147&CDS=1-1875, snap_masked-flattened_line_22-processed-gene-2.110-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.110&CDS=1-1053
OG0000517	YPL092W	genemark-flattened_line_22-processed-gene-3.131-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-3.131&CDS=1-1110, snap_masked-flattened_line_6-processed-gene-5.11-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-5.11&CDS=1-1233
OG0000518	YPL159C, YPR151C	snap_masked-flattened_line_20-processed-gene-4.101-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-4.101&CDS=1-855
OG0000519	YPL262W	genemark-flattened_line_0-processed-gene-5.107-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.107&CDS=1-1395, snap_masked-flattened_line_30-processed-gene-1.133-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.133&CDS=1-1473
OG0000520	YPR013C, YPR015C	snap_masked-flattened_line_32-processed-gene-1.94-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.94&CDS=1-1215
OG0000521	YPR159W	snap_masked-flattened_line_20-processed-gene-4.112-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-4.112&CDS=1-1962, snap_masked-flattened_line_32-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.35&CDS=1-1983
OG0000522	YPR169W-A, YPR170W-B	maker-flattened_line_22-snap-gene-1.8-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.8&CDS=1-2526
OG0000523	YPR181C	genemark-flattened_line_6-processed-gene-5.48-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.48&CDS=1-2352, genemark-flattened_line_8-processed-gene-3.59-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.59&CDS=1-2301
OG0000524	YPR194C	snap_masked-flattened_line_0-processed-gene-3.60-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.60&CDS=1-2580, snap_masked-flattened_line_48-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.143&CDS=1-2619
OG0000525	Q0105, Q0120	maker-flattened_line_56-snap-gene-0.13-mRNA-1_1&gene=maker-flattened_line_56-snap-gene-0.13&CDS=1-519
OG0000526	YAL001C	snap_masked-flattened_line_12-processed-gene-1.81-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.81&CDS=1-3906
OG0000527	YAL002W	snap_masked-flattened_line_18-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.70&CDS=1-4341
OG0000528	YAL003W	snap_masked-flattened_line_24-processed-gene-1.52-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.52&CDS=1-636
OG0000529	YAL008W	snap_masked-flattened_line_2-processed-gene-6.21-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.21&CDS=1-579
OG0000530	YAL010C	snap_masked-flattened_line_42-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.22&CDS=1-1404
OG0000531	YAL011W	augustus_masked-flattened_line_42-processed-gene-0.236-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.236&CDS=1-2544
OG0000532	YAL012W	snap_masked-flattened_line_8-processed-gene-4.133-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.133&CDS=1-1281
OG0000533	YAL013W	maker-flattened_line_8-snap-gene-4.140-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-4.140&CDS=1-1341
OG0000534	YAL016W	maker-flattened_line_30-snap-gene-1.146-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-1.146&CDS=1-1839
OG0000535	YAL019W	snap_masked-flattened_line_2-processed-gene-6.8-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.8&CDS=1-3144
OG0000536	YAL020C	snap_masked-flattened_line_20-processed-gene-4.136-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-4.136&CDS=1-1086
OG0000537	YAL022C	genemark-flattened_line_22-processed-gene-3.137-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-3.137&CDS=1-1482
OG0000538	YAL024C	snap_masked-flattened_line_14-processed-gene-5.148-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-5.148&CDS=1-4686
OG0000539	YAL026C	snap_masked-flattened_line_22-processed-gene-4.51-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-4.51&CDS=1-3813
OG0000540	YAL027W	augustus_masked-flattened_line_16-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.124&CDS=1-717
OG0000541	YAL031C	snap_masked-flattened_line_16-processed-gene-4.75-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.75&CDS=1-3135
OG0000542	YAL032C	snap_masked-flattened_line_34-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.80&CDS=1-1158
OG0000543	YAL033W	genemark-flattened_line_34-processed-gene-0.41-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.41&CDS=1-525
OG0000544	YAL034W-A	snap_masked-flattened_line_16-processed-gene-4.27-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.27&CDS=1-846
OG0000545	YAL035W	snap_masked-flattened_line_14-processed-gene-1.92-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.92&CDS=1-3057
OG0000546	YAL036C	snap_masked-flattened_line_2-processed-gene-7.7-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-7.7&CDS=1-1107
OG0000547	YAL038W	snap_masked-flattened_line_0-processed-gene-5.64-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.64&CDS=1-1506
OG0000548	YAL039C	snap_masked-flattened_line_58-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.0&CDS=1-831
OG0000549	YAL042W	snap_masked-flattened_line_46-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.25&CDS=1-1233
OG0000550	YAL043C	snap_masked-flattened_line_6-processed-gene-2.100-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.100&CDS=1-2298
OG0000551	YAL044C	snap_masked-flattened_line_40-processed-gene-1.109-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.109&CDS=1-534
OG0000552	YAL044W-A	snap_masked-flattened_line_40-processed-gene-1.83-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.83&CDS=1-327
OG0000553	YAL046C	augustus_masked-flattened_line_6-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.22&CDS=1-381
OG0000554	YAL048C	snap_masked-flattened_line_6-processed-gene-3.118-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.118&CDS=1-1920
OG0000555	YAL049C	maker-flattened_line_24-snap-gene-2.146-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-2.146&CDS=1-711
OG0000556	YAL051W, YOR363C	
OG0000557	YAL058W	snap_masked-flattened_line_2-processed-gene-4.27-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.27&CDS=1-1722
OG0000558	YAL059W	snap_masked-flattened_line_2-processed-gene-1.18-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.18&CDS=1-501
OG0000559	YAL061W	snap_masked-flattened_line_40-processed-gene-1.113-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.113&CDS=1-1158
OG0000560	YAL067C	snap_masked-flattened_line_8-processed-gene-5.55-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-5.55&CDS=1-1713
OG0000561	YAR002W	augustus_masked-flattened_line_8-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.122&CDS=1-1530
OG0000562	YAR003W	snap_masked-flattened_line_18-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.47&CDS=1-1326
OG0000563	YAR007C	snap_masked-flattened_line_6-processed-gene-7.187-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-7.187&CDS=1-1794
OG0000564	YAR014C	snap_masked-flattened_line_2-processed-gene-2.8-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.8&CDS=1-1764
OG0000565	YAR015W	snap_masked-flattened_line_58-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.10&CDS=1-918
OG0000566	YAR018C	snap_masked-flattened_line_28-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.54&CDS=1-1557
OG0000567	YAR042W	snap_masked-flattened_line_44-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.126&CDS=1-3627
OG0000568	YBL001C	snap_masked-flattened_line_40-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.21&CDS=1-354
OG0000569	YBL004W	snap_masked-flattened_line_2-processed-gene-3.90-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.90&CDS=1-7605
OG0000570	YBL007C	snap_masked-flattened_line_24-processed-gene-3.153-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-3.153&CDS=1-3618
OG0000571	YBL008W	genemark-flattened_line_20-processed-gene-2.127-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.127&CDS=1-2679
OG0000572	YBL013W	snap_masked-flattened_line_40-processed-gene-1.70-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.70&CDS=1-1092
OG0000573	YBL014C	snap_masked-flattened_line_20-processed-gene-4.80-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-4.80&CDS=1-2190
OG0000574	YBL015W	snap_masked-flattened_line_22-processed-gene-4.70-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-4.70&CDS=1-1572
OG0000575	YBL020W	snap_masked-flattened_line_20-processed-gene-4.130-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-4.130&CDS=1-1668
OG0000576	YBL021C	snap_masked-flattened_line_2-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.59&CDS=1-816
OG0000577	YBL022C	snap_masked-flattened_line_2-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.60&CDS=1-3408
OG0000578	YBL023C	snap_masked-flattened_line_10-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.47&CDS=1-2640
OG0000579	YBL024W	snap_masked-flattened_line_8-processed-gene-5.57-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-5.57&CDS=1-2169
OG0000580	YBL025W	snap_masked-flattened_line_20-processed-gene-4.95-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-4.95&CDS=1-618
OG0000581	YBL026W	maker-flattened_line_20-augustus-gene-4.218-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-4.218&CDS=1-312
OG0000582	YBL028C	snap_masked-flattened_line_16-processed-gene-4.39-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.39&CDS=1-303
OG0000583	YBL029C-A	maker-flattened_line_12-augustus-gene-3.153-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-3.153&CDS=1-261
OG0000584	YBL029W	snap_masked-flattened_line_4-processed-gene-5.142-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.142&CDS=1-1116
OG0000585	YBL032W	snap_masked-flattened_line_58-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.19&CDS=1-1110
OG0000586	YBL033C	snap_masked-flattened_line_0-processed-gene-6.19-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.19&CDS=1-1002
OG0000587	YBL034C	snap_masked-flattened_line_12-processed-gene-4.135-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-4.135&CDS=1-4665
OG0000588	YBL035C	snap_masked-flattened_line_36-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.12&CDS=1-1944
OG0000589	YBL036C	snap_masked-flattened_line_4-processed-gene-6.87-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.87&CDS=1-741
OG0000590	YBL037W	maker-flattened_line_4-snap-gene-6.6-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-6.6&CDS=1-2889
OG0000591	YBL038W	snap_masked-flattened_line_26-processed-gene-3.65-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-3.65&CDS=1-672
OG0000592	YBL039C	snap_masked-flattened_line_8-processed-gene-4.103-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.103&CDS=1-1728
OG0000593	YBL040C	genemark-flattened_line_26-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.63&CDS=1-642
OG0000594	YBL041W	maker-flattened_line_26-snap-gene-0.142-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-0.142&CDS=1-735
OG0000595	YBL045C	snap_masked-flattened_line_22-processed-gene-1.19-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.19&CDS=1-1311
OG0000596	YBL047C	snap_masked-flattened_line_22-processed-gene-4.95-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-4.95&CDS=1-4173
OG0000597	YBL049W	snap_masked-flattened_line_18-processed-gene-3.50-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-3.50&CDS=1-693
OG0000598	YBL050W	snap_masked-flattened_line_6-processed-gene-2.76-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.76&CDS=1-879
OG0000599	YBL051C	snap_masked-flattened_line_2-processed-gene-9.19-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-9.19&CDS=1-1908
OG0000600	YBL055C	augustus_masked-flattened_line_8-processed-gene-7.164-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-7.164&CDS=1-1068
OG0000601	YBL057C	snap_masked-flattened_line_38-processed-gene-1.90-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.90&CDS=1-543
OG0000602	YBL058W	snap_masked-flattened_line_28-processed-gene-2.20-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-2.20&CDS=1-1086
OG0000603	YBL059C-A	snap_masked-flattened_line_0-processed-gene-5.70-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.70&CDS=1-318
OG0000604	YBL060W	snap_masked-flattened_line_0-processed-gene-5.52-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.52&CDS=1-2658
OG0000605	YBL061C	snap_masked-flattened_line_26-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.97&CDS=1-2049
OG0000606	YBL064C	snap_masked-flattened_line_44-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.117&CDS=1-753
OG0000607	YBL066C	snap_masked-flattened_line_44-processed-gene-0.118-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.118&CDS=1-3093
OG0000608	YBL071W-A	snap_masked-flattened_line_44-processed-gene-0.106-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.106&CDS=1-219
OG0000609	YBL074C	snap_masked-flattened_line_2-processed-gene-4.49-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.49&CDS=1-1350
OG0000610	YBL076C	snap_masked-flattened_line_16-processed-gene-4.68-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.68&CDS=1-3231
OG0000611	YBL078C	snap_masked-flattened_line_18-processed-gene-2.89-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.89&CDS=1-372
OG0000612	YBL080C	genemark-flattened_line_18-processed-gene-2.47-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.47&CDS=1-1548
OG0000613	YBL082C	snap_masked-flattened_line_16-processed-gene-4.23-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.23&CDS=1-1431
OG0000614	YBL084C	genemark-flattened_line_26-processed-gene-2.111-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.111&CDS=1-1995
OG0000615	YBL086C	snap_masked-flattened_line_10-processed-gene-2.78-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.78&CDS=1-1299
OG0000616	YBL088C	snap_masked-flattened_line_26-processed-gene-3.126-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-3.126&CDS=1-9096
OG0000617	YBL090W	snap_masked-flattened_line_26-processed-gene-3.87-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-3.87&CDS=1-471
OG0000618	YBL091C	genemark-flattened_line_26-processed-gene-3.183-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-3.183&CDS=1-1236
OG0000619	YBL092W	genemark-flattened_line_20-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.23&CDS=1-393
OG0000620	YBL093C	snap_masked-flattened_line_20-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.42&CDS=1-531
OG0000621	YBL095W	snap_masked-flattened_line_0-processed-gene-1.100-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.100&CDS=1-699
OG0000622	YBL098W	snap_masked-flattened_line_26-processed-gene-2.54-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.54&CDS=1-1404
OG0000623	YBL099W	maker-flattened_line_30-snap-gene-2.3-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-2.3&CDS=1-1638
OG0000624	YBL102W	genemark-flattened_line_4-processed-gene-8.150-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-8.150&CDS=1-612
OG0000625	YBL103C	genemark-flattened_line_4-processed-gene-8.186-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-8.186&CDS=1-837
OG0000626	YBL104C	genemark-flattened_line_4-processed-gene-8.152-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-8.152&CDS=1-3009
OG0000627	YBL105C	snap_masked-flattened_line_4-processed-gene-8.84-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-8.84&CDS=1-1881
OG0000628	YBL107C	genemark-flattened_line_4-processed-gene-8.156-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-8.156&CDS=1-579
OG0000629	YBR003W	snap_masked-flattened_line_42-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.20&CDS=1-1425
OG0000630	YBR004C	snap_masked-flattened_line_2-processed-gene-4.26-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.26&CDS=1-1221
OG0000631	YBR006W	snap_masked-flattened_line_2-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.81&CDS=1-1470
OG0000632	YBR007C	snap_masked-flattened_line_4-processed-gene-1.88-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.88&CDS=1-1728
OG0000633	YBR011C	snap_masked-flattened_line_2-processed-gene-2.33-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.33&CDS=1-861
OG0000634	YBR017C	snap_masked-flattened_line_2-processed-gene-2.7-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.7&CDS=1-2772
OG0000635	YBR022W	snap_masked-flattened_line_12-processed-gene-5.123-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.123&CDS=1-600
OG0000636	YBR023C	snap_masked-flattened_line_20-processed-gene-1.120-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.120&CDS=1-3642
OG0000637	YBR025C	snap_masked-flattened_line_12-processed-gene-5.122-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.122&CDS=1-1182
OG0000638	YBR028C	snap_masked-flattened_line_12-processed-gene-5.124-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.124&CDS=1-1419
OG0000639	YBR029C	snap_masked-flattened_line_18-processed-gene-4.140-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-4.140&CDS=1-1221
OG0000640	YBR030W	snap_masked-flattened_line_4-processed-gene-3.65-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.65&CDS=1-1962
OG0000641	YBR034C	snap_masked-flattened_line_18-processed-gene-4.84-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-4.84&CDS=1-1041
OG0000642	YBR035C	snap_masked-flattened_line_4-processed-gene-6.75-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.75&CDS=1-699
OG0000643	YBR037C	snap_masked-flattened_line_12-processed-gene-5.121-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.121&CDS=1-948
OG0000644	YBR040W	genemark-flattened_line_24-processed-gene-2.122-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.122&CDS=1-738
OG0000645	YBR041W	maker-flattened_line_8-augustus-gene-0.131-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-0.131&CDS=1-3570
OG0000646	YBR043C	snap_masked-flattened_line_8-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.4&CDS=1-2016
OG0000647	YBR045C	augustus_masked-flattened_line_2-processed-gene-8.48-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.48&CDS=1-1806
OG0000648	YBR046C	snap_masked-flattened_line_8-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.38&CDS=1-996
OG0000649	YBR047W	snap_masked-flattened_line_14-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.40&CDS=1-516
OG0000650	YBR055C	snap_masked-flattened_line_48-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.139&CDS=1-2673
OG0000651	YBR057C	snap_masked-flattened_line_36-processed-gene-1.59-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.59&CDS=1-1038
OG0000652	YBR058C	snap_masked-flattened_line_36-processed-gene-1.81-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.81&CDS=1-2409
OG0000653	YBR060C	genemark-flattened_line_12-processed-gene-1.59-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.59&CDS=1-1719
OG0000654	YBR061C	snap_masked-flattened_line_18-processed-gene-4.153-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-4.153&CDS=1-939
OG0000655	YBR070C	augustus_masked-flattened_line_18-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-4.72&CDS=1-1524
OG0000656	YBR072W	snap_masked-flattened_line_10-processed-gene-4.24-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-4.24&CDS=1-600
OG0000657	YBR073W	augustus_masked-flattened_line_12-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.23&CDS=1-2709
OG0000658	YBR074W	snap_masked-flattened_line_12-processed-gene-2.112-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.112&CDS=1-3030
OG0000659	YBR076W	snap_masked-flattened_line_18-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.43&CDS=1-1050
OG0000660	YBR079C	maker-flattened_line_34-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-0.0&CDS=1-3345
OG0000661	YBR080C	snap_masked-flattened_line_34-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.109&CDS=1-2271
OG0000662	YBR081C	snap_masked-flattened_line_36-processed-gene-1.92-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.92&CDS=1-3657
OG0000663	YBR082C	snap_masked-flattened_line_8-processed-gene-5.67-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-5.67&CDS=1-441
OG0000664	YBR083W	snap_masked-flattened_line_16-processed-gene-4.36-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.36&CDS=1-2388
OG0000665	YBR084W	snap_masked-flattened_line_8-processed-gene-4.129-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.129&CDS=1-3180
OG0000666	YBR085W	snap_masked-flattened_line_18-processed-gene-4.134-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-4.134&CDS=1-915
OG0000667	YBR086C	snap_masked-flattened_line_36-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.10&CDS=1-2829
OG0000668	YBR087W	snap_masked-flattened_line_26-processed-gene-3.100-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-3.100&CDS=1-1155
OG0000669	YBR088C	maker-flattened_line_26-snap-gene-3.197-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-3.197&CDS=1-774
OG0000670	YBR091C	snap_masked-flattened_line_26-processed-gene-1.20-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.20&CDS=1-309
OG0000671	YBR094W	snap_masked-flattened_line_26-processed-gene-3.103-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-3.103&CDS=1-1281
OG0000672	YBR095C	snap_masked-flattened_line_26-processed-gene-3.67-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-3.67&CDS=1-1245
