	Metschnikowia_mauinuiana	Saccharomyces_cerevisiae
OG0000593	augustus_masked-mau_s89-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-3.53&CDS=1-1422	YMR182C, YPL230W
OG0000594	augustus_masked-mau_s89-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-3.58&CDS=1-486	YDR178W, YLR164W
OG0000595	augustus_masked-mau_s89-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-3.72&CDS=1-2148	YER066W, YFL009W
OG0000596	augustus_masked-mau_s89-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-4.4&CDS=1-663	YML106W, YMR271C
OG0000597	augustus_masked-mau_s89-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-4.6&CDS=1-3666	YML109W, YMR273C
OG0000598	maker-mau_s89-augustus-gene-4.137-mRNA-1_1&gene=maker-mau_s89-augustus-gene-4.137&CDS=1-1251	YDR348C, YHR097C
OG0000599	augustus_masked-mau_s89-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-5.10&CDS=1-4191	YCL068C, YCR038C
OG0000600	augustus_masked-mau_s90-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mau_s90-processed-gene-0.6&CDS=1-3024	YJR091C, YPR042C
OG0000601	snap_masked-mau_s90-processed-gene-0.64-mRNA-1_1&gene=snap_masked-mau_s90-processed-gene-0.64&CDS=1-306	YJR094W-A, YPR043W
OG0000602	augustus_masked-mau_s92-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-mau_s92-processed-gene-0.49&CDS=1-2751	YBL085W, YER114C
OG0000603	genemark-mau_s92-processed-gene-1.108-mRNA-1_1&gene=genemark-mau_s92-processed-gene-1.108&CDS=1-3351	YCR067C, YNR026C
OG0000604	augustus_masked-mau_s92-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-mau_s92-processed-gene-1.52&CDS=1-2175	YJR059W, YKL198C
OG0000605	augustus_masked-mau_s92-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-mau_s92-processed-gene-2.39&CDS=1-2556	YBR205W, YOR099W
OG0000606	maker-mau_s92-augustus-gene-2.83-mRNA-1_1&gene=maker-mau_s92-augustus-gene-2.83&CDS=1-2199	YDL134C, YDL188C
OG0000607	augustus_masked-mau_s92-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-mau_s92-processed-gene-2.70&CDS=1-2439	YBR294W, YLR092W
OG0000608	augustus_masked-mau_s94-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-mau_s94-processed-gene-0.113&CDS=1-357	YER131W, YGL189C
OG0000609	snap_masked-mau_s97-processed-gene-0.122-mRNA-1_1&gene=snap_masked-mau_s97-processed-gene-0.122&CDS=1-2493, snap_masked-mau_s98-processed-gene-0.84-mRNA-1_1&gene=snap_masked-mau_s98-processed-gene-0.84&CDS=1-285	YJR119C
OG0000610	augustus_masked-mau_s97-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-mau_s97-processed-gene-0.71&CDS=1-279	YER019C-A, YER087C-B
OG0000611	augustus_masked-mau_s97-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-mau_s97-processed-gene-0.81&CDS=1-1671	YHR115C, YNL116W
OG0000612	augustus_masked-mau_s98-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-mau_s98-processed-gene-0.17&CDS=1-1482	YIL113W, YNL053W
OG0000613	augustus_masked-mau_s98-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mau_s98-processed-gene-0.11&CDS=1-759	YER062C, YIL053W
OG0000614		YAL051W, YLL054C, YOR363C
OG0000615	augustus_masked-mau_C26456-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_C26456-processed-gene-0.1&CDS=1-2418	YDR421W
OG0000616	augustus_masked-mau_C26488-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_C26488-processed-gene-0.1&CDS=1-3459	YAR042W
OG0000617	augustus_masked-mau_C27030-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_C27030-processed-gene-0.1&CDS=1-678	YOR283W
OG0000618	augustus_masked-mau_C27058-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_C27058-processed-gene-0.1&CDS=1-636	YML012W
OG0000619	augustus_masked-mau_C27058-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mau_C27058-processed-gene-0.0&CDS=1-210	YML009C
OG0000620	augustus_masked-mau_C27058-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mau_C27058-processed-gene-0.2&CDS=1-3078	YDR430C
OG0000621	snap_masked-mau_C27284-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mau_C27284-processed-gene-0.5&CDS=1-2544	YDR416W
OG0000622	augustus_masked-mau_C28194-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mau_C28194-processed-gene-0.21&CDS=1-753	YJR144W
OG0000623	augustus_masked-mau_C28194-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mau_C28194-processed-gene-0.19&CDS=1-1173	YJR076C
OG0000624	snap_masked-mau_C28194-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mau_C28194-processed-gene-0.5&CDS=1-1074	YIL067C
OG0000625	augustus_masked-mau_C28194-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-mau_C28194-processed-gene-0.25&CDS=1-2592	YER070W
OG0000626	augustus_masked-mau_C28194-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mau_C28194-processed-gene-0.20&CDS=1-2037	YHR042W
OG0000627	augustus_masked-mau_C28194-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-mau_C28194-processed-gene-0.26&CDS=1-1953	YNL085W
OG0000628	augustus_masked-mau_s1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-mau_s1-processed-gene-0.41&CDS=1-897	YDL198C
OG0000629	augustus_masked-mau_s1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-mau_s1-processed-gene-0.27&CDS=1-1611	YDR228C
OG0000630	augustus_masked-mau_s1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-mau_s1-processed-gene-0.42&CDS=1-741	YDR226W
OG0000631	augustus_masked-mau_s1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-mau_s1-processed-gene-0.43&CDS=1-1908	YKL029C
OG0000632	augustus_masked-mau_s1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-mau_s1-processed-gene-0.30&CDS=1-630	YDR486C
OG0000633	augustus_masked-mau_s1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-mau_s1-processed-gene-0.46&CDS=1-3093	YNL132W
OG0000634	augustus_masked-mau_s1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-mau_s1-processed-gene-0.35&CDS=1-288	YBL026W
OG0000635	augustus_masked-mau_s10-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mau_s10-processed-gene-0.3&CDS=1-4350	YBR097W
OG0000636	augustus_masked-mau_s100-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_s100-processed-gene-0.1&CDS=1-693	YPL199C
OG0000637	snap_masked-mau_s101-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mau_s101-processed-gene-0.7&CDS=1-234	YDR379C-A
OG0000638	augustus_masked-mau_s103-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_s103-processed-gene-0.1&CDS=1-2784	YBR017C
OG0000639	augustus_masked-mau_s103-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mau_s103-processed-gene-0.12&CDS=1-876	YBL050W
OG0000640	augustus_masked-mau_s103-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-mau_s103-processed-gene-0.5&CDS=1-573	YJR112W
OG0000641	augustus_masked-mau_s103-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mau_s103-processed-gene-0.13&CDS=1-927	YDR337W
OG0000642	augustus_masked-mau_s103-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-mau_s103-processed-gene-0.17&CDS=1-969	YBR141C
OG0000643	augustus_masked-mau_s103-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-mau_s103-processed-gene-0.9&CDS=1-2514	YBR142W
OG0000644	genemark-mau_s104-processed-gene-0.4-mRNA-1_1&gene=genemark-mau_s104-processed-gene-0.4&CDS=1-333	YPR094W
OG0000645	augustus_masked-mau_s104-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mau_s104-processed-gene-0.3&CDS=1-843	YPR103W
OG0000646	augustus_masked-mau_s106-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mau_s106-processed-gene-0.11&CDS=1-2073	YMR001C
OG0000647	augustus_masked-mau_s106-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-mau_s106-processed-gene-0.14&CDS=1-390	YOL005C
OG0000648	maker-mau_s106-snap-gene-0.10-mRNA-1_1&gene=maker-mau_s106-snap-gene-0.10&CDS=1-4284	YOL004W
OG0000649	augustus_masked-mau_s108-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mau_s108-processed-gene-0.20&CDS=1-1446	YMR140W
OG0000650	snap_masked-mau_s108-processed-gene-0.43-mRNA-1_1&gene=snap_masked-mau_s108-processed-gene-0.43&CDS=1-273	YDL157C
OG0000651	augustus_masked-mau_s108-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mau_s108-processed-gene-0.23&CDS=1-1827	YFR051C
OG0000652	augustus_masked-mau_s108-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-mau_s108-processed-gene-0.28&CDS=1-1095	YGL248W
OG0000653	augustus_masked-mau_s108-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-mau_s108-processed-gene-0.29&CDS=1-831	YFR050C
OG0000654	augustus_masked-mau_s110-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-0.26&CDS=1-2091	YIL005W
OG0000655	augustus_masked-mau_s110-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-0.27&CDS=1-1320	YER003C
OG0000656	genemark-mau_s110-processed-gene-0.11-mRNA-1_1&gene=genemark-mau_s110-processed-gene-0.11&CDS=1-630	YER002W
OG0000657	augustus_masked-mau_s110-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-0.36&CDS=1-906	YIL003W
OG0000658	augustus_masked-mau_s110-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-0.29&CDS=1-444	YIL004C
OG0000659	augustus_masked-mau_s110-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-0.39&CDS=1-1476	YCL034W
OG0000660	augustus_masked-mau_s110-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-0.34&CDS=1-1965	YDR172W
OG0000661	augustus_masked-mau_s110-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-1.43&CDS=1-1020	YDR173C
OG0000662	snap_masked-mau_s110-processed-gene-1.5-mRNA-1_1&gene=snap_masked-mau_s110-processed-gene-1.5&CDS=1-828	YIL049W
OG0000663	augustus_masked-mau_s110-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-1.46&CDS=1-855	YPL065W
OG0000664	augustus_masked-mau_s110-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-1.59&CDS=1-828	YFR052W
OG0000665	augustus_masked-mau_s110-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-1.47&CDS=1-1713	YGR124W
OG0000666	augustus_masked-mau_s110-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-1.65&CDS=1-2340	YBR202W
OG0000667	augustus_masked-mau_s110-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-1.66&CDS=1-2064	YDR169C
OG0000668	augustus_masked-mau_s110-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-1.67&CDS=1-738	YLR150W
OG0000669	snap_masked-mau_s110-processed-gene-1.36-mRNA-1_1&gene=snap_masked-mau_s110-processed-gene-1.36&CDS=1-5574	YDR170C
OG0000670	augustus_masked-mau_s110-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-mau_s110-processed-gene-1.69&CDS=1-5673	YPL231W
OG0000671	snap_masked-mau_s110-processed-gene-1.40-mRNA-1_1&gene=snap_masked-mau_s110-processed-gene-1.40&CDS=1-195	YBR162W-A
OG0000672	augustus_masked-mau_s112-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-mau_s112-processed-gene-0.18&CDS=1-2304	YBR102C
OG0000673	augustus_masked-mau_s112-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-mau_s112-processed-gene-0.17&CDS=1-1929	YBR103W
OG0000674	augustus_masked-mau_s112-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mau_s112-processed-gene-0.19&CDS=1-372	YPR063C
OG0000675	augustus_masked-mau_s112-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-mau_s112-processed-gene-0.22&CDS=1-1068	YPR056W
OG0000676	augustus_masked-mau_s112-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mau_s112-processed-gene-0.23&CDS=1-450	YPR062W
OG0000677	augustus_masked-mau_s114-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mau_s114-processed-gene-0.19&CDS=1-1551	YJL153C
OG0000678	augustus_masked-mau_s114-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-mau_s114-processed-gene-0.35&CDS=1-3246	YOR349W
OG0000679	augustus_masked-mau_s114-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mau_s114-processed-gene-0.21&CDS=1-252	YMR286W
OG0000680	augustus_masked-mau_s114-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-mau_s114-processed-gene-0.37&CDS=1-1536	YGL138C
OG0000681	augustus_masked-mau_s114-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-mau_s114-processed-gene-0.26&CDS=1-3576	YPL217C
OG0000682	augustus_masked-mau_s115-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-mau_s115-processed-gene-0.22&CDS=1-1218	YDL033C
OG0000683	augustus_masked-mau_s115-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mau_s115-processed-gene-0.23&CDS=1-1701	YFR037C
OG0000684	snap_masked-mau_s115-processed-gene-0.29-mRNA-1_1&gene=snap_masked-mau_s115-processed-gene-0.29&CDS=1-3336	YIL026C
OG0000685	augustus_masked-mau_s115-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-mau_s115-processed-gene-0.25&CDS=1-780	YDR429C
OG0000686	augustus_masked-mau_s115-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-mau_s115-processed-gene-0.26&CDS=1-771	YDR428C
OG0000687	augustus_masked-mau_s115-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-mau_s115-processed-gene-0.27&CDS=1-909	YDR432W
OG0000688	augustus_masked-mau_s115-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-mau_s115-processed-gene-0.28&CDS=1-2571	YMR165C
OG0000689	augustus_masked-mau_s115-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mau_s115-processed-gene-0.21&CDS=1-1578	YGL077C
OG0000690	augustus_masked-mau_s116-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-mau_s116-processed-gene-0.29&CDS=1-3576	YPL012W
OG0000691	augustus_masked-mau_s116-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-mau_s116-processed-gene-0.30&CDS=1-402	YPL013C
OG0000692	augustus_masked-mau_s116-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-mau_s116-processed-gene-0.34&CDS=1-930	YLR340W
OG0000693	augustus_masked-mau_s116-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-mau_s116-processed-gene-0.35&CDS=1-1827	YDR452W
OG0000694	augustus_masked-mau_s116-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-mau_s116-processed-gene-0.36&CDS=1-1389	YMR146C
OG0000695	augustus_masked-mau_s116-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-mau_s116-processed-gene-0.37&CDS=1-807	YDL086W
OG0000696	augustus_masked-mau_s116-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-mau_s116-processed-gene-0.38&CDS=1-1047	YDL100C
OG0000697	augustus_masked-mau_s117-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-mau_s117-processed-gene-0.14&CDS=1-1161	YHR002W
OG0000698	augustus_masked-mau_s117-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mau_s117-processed-gene-0.21&CDS=1-759	YGR147C
OG0000699	augustus_masked-mau_s117-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-mau_s117-processed-gene-0.22&CDS=1-1296	YKL027W
OG0000700	augustus_masked-mau_s117-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mau_s117-processed-gene-0.23&CDS=1-732	YBR261C
OG0000701	augustus_masked-mau_s117-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mau_s117-processed-gene-0.15&CDS=1-522	YOL146W
OG0000702	augustus_masked-mau_s117-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-mau_s117-processed-gene-0.24&CDS=1-3153	YOL145C
OG0000703	augustus_masked-mau_s117-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-mau_s117-processed-gene-0.16&CDS=1-1305	YBR143C
OG0000704	augustus_masked-mau_s118-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mau_s118-processed-gene-0.13&CDS=1-2712	YKR009C
OG0000705	augustus_masked-mau_s118-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mau_s118-processed-gene-0.19&CDS=1-1836	YMR036C
OG0000706	augustus_masked-mau_s118-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mau_s118-processed-gene-0.15&CDS=1-741	YGL011C
OG0000707	augustus_masked-mau_s118-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-mau_s118-processed-gene-0.22&CDS=1-1398	YGL012W
OG0000708	maker-mau_s118-snap-gene-0.36-mRNA-1_1&gene=maker-mau_s118-snap-gene-0.36&CDS=1-525	YDR005C
OG0000709	genemark-mau_s119-processed-gene-0.102-mRNA-1_1&gene=genemark-mau_s119-processed-gene-0.102&CDS=1-549	YJR074W
OG0000710	augustus_masked-mau_s119-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.82&CDS=1-741	YOL135C
OG0000711	augustus_masked-mau_s119-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.61&CDS=1-342	YOL133W
OG0000712	augustus_masked-mau_s119-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.83&CDS=1-882	YNL316C
OG0000713	augustus_masked-mau_s119-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.84&CDS=1-462	YIL065C
OG0000714	augustus_masked-mau_s119-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.62&CDS=1-522	YKR065C
OG0000715	augustus_masked-mau_s119-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.63&CDS=1-2991	YIL125W
OG0000716	augustus_masked-mau_s119-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.87&CDS=1-861	YIL124W
OG0000717	snap_masked-mau_s119-processed-gene-0.34-mRNA-1_1&gene=snap_masked-mau_s119-processed-gene-0.34&CDS=1-321	YDR286C
OG0000718	snap_masked-mau_s119-processed-gene-0.10-mRNA-1_1&gene=snap_masked-mau_s119-processed-gene-0.10&CDS=1-1869	YDR208W
OG0000719	augustus_masked-mau_s119-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.91&CDS=1-1224	YDL001W
OG0000720	genemark-mau_s119-processed-gene-0.113-mRNA-1_1&gene=genemark-mau_s119-processed-gene-0.113&CDS=1-7344	YBL004W
OG0000721	genemark-mau_s119-processed-gene-0.138-mRNA-1_1&gene=genemark-mau_s119-processed-gene-0.138&CDS=1-525	YER134C
OG0000722	snap_masked-mau_s119-processed-gene-0.41-mRNA-1_1&gene=snap_masked-mau_s119-processed-gene-0.41&CDS=1-876	YKL124W
OG0000723	augustus_masked-mau_s119-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.93&CDS=1-1584	YJR010W
OG0000724	augustus_masked-mau_s119-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.70&CDS=1-1476	YHR183W
OG0000725	augustus_masked-mau_s119-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.94&CDS=1-1566	YMR015C
OG0000726	augustus_masked-mau_s119-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.71&CDS=1-2094	YLR002C
OG0000727	augustus_masked-mau_s119-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.72&CDS=1-525	YHR193C
OG0000728	genemark-mau_s119-processed-gene-0.121-mRNA-1_1&gene=genemark-mau_s119-processed-gene-0.121&CDS=1-456	YHR191C
OG0000729	augustus_masked-mau_s119-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.98&CDS=1-1914	YDL057W
OG0000730	augustus_masked-mau_s119-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.99&CDS=1-1275	YFL001W
OG0000731	augustus_masked-mau_s119-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.78&CDS=1-1800	YFL002C
OG0000732	augustus_masked-mau_s119-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-mau_s119-processed-gene-0.100&CDS=1-1548	YPL003W
OG0000733	augustus_masked-mau_s12-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-0.9&CDS=1-2139	YLR117C
OG0000734	augustus_masked-mau_s12-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-0.2&CDS=1-375	YKL086W
OG0000735	augustus_masked-mau_s12-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-0.14&CDS=1-855	YOR065W
OG0000736	augustus_masked-mau_s12-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-0.15&CDS=1-1176	YAL012W
OG0000737	augustus_masked-mau_s12-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-0.3&CDS=1-3360	YGL006W
OG0000738	augustus_masked-mau_s12-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-0.5&CDS=1-8238	YIL129C
OG0000739	augustus_masked-mau_s12-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-0.6&CDS=1-1083	YOR091W
OG0000740	augustus_masked-mau_s12-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-0.7&CDS=1-1809	YHR114W
OG0000741	augustus_masked-mau_s12-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-0.8&CDS=1-789	YOR095C
OG0000742	augustus_masked-mau_s12-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.91&CDS=1-1761	YGL119W
OG0000743	augustus_masked-mau_s12-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.93&CDS=1-1659	YNL083W
OG0000744	augustus_masked-mau_s12-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.94&CDS=1-2739	YNL082W
OG0000745	augustus_masked-mau_s12-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.97&CDS=1-1143	YNL092W
OG0000746	augustus_masked-mau_s12-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.98&CDS=1-639	YOR089C
OG0000747	snap_masked-mau_s12-processed-gene-1.38-mRNA-1_1&gene=snap_masked-mau_s12-processed-gene-1.38&CDS=1-1242	YNL207W
OG0000748	augustus_masked-mau_s12-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.122&CDS=1-2223	YNL118C
OG0000749	augustus_masked-mau_s12-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.104&CDS=1-843	YLR393W
OG0000750	augustus_masked-mau_s12-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.105&CDS=1-354	YHL015W
OG0000751	augustus_masked-mau_s12-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.106&CDS=1-1689	YOR090C
OG0000752	augustus_masked-mau_s12-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.107&CDS=1-3636	YLR398C
OG0000753	augustus_masked-mau_s12-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.108&CDS=1-2295	YLR397C
OG0000754	augustus_masked-mau_s12-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.124&CDS=1-861	YDL065C
OG0000755	augustus_masked-mau_s12-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.109&CDS=1-474	YDL064W
OG0000756	augustus_masked-mau_s12-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.110&CDS=1-2331	YJL156C
OG0000757	augustus_masked-mau_s12-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.126&CDS=1-1917	YDL063C
OG0000758	maker-mau_s12-augustus-gene-1.4-mRNA-1_1&gene=maker-mau_s12-augustus-gene-1.4&CDS=1-270	YLR390W
OG0000759	maker-mau_s12-snap-gene-1.1-mRNA-1_1&gene=maker-mau_s12-snap-gene-1.1&CDS=1-3555	YDL060W
OG0000760	augustus_masked-mau_s12-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.115&CDS=1-1470	YDR376W
OG0000761	augustus_masked-mau_s12-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.129&CDS=1-984	YJR107W
OG0000762	augustus_masked-mau_s12-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.130&CDS=1-255	YKL053C-A
OG0000763	snap_masked-mau_s12-processed-gene-1.35-mRNA-1_1&gene=snap_masked-mau_s12-processed-gene-1.35&CDS=1-3702	YMR218C
OG0000764	augustus_masked-mau_s12-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-1.119&CDS=1-1905	YGL110C
OG0000765	augustus_masked-mau_s12-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-2.79&CDS=1-3183	YDL215C
OG0000766	augustus_masked-mau_s12-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-2.80&CDS=1-1032	YBR246W
OG0000767	genemark-mau_s12-processed-gene-2.7-mRNA-1_1&gene=genemark-mau_s12-processed-gene-2.7&CDS=1-1965	YLR337C
OG0000768	augustus_masked-mau_s12-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-2.82&CDS=1-507	YDL120W
OG0000769	augustus_masked-mau_s12-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-2.85&CDS=1-795	YIL093C
