	Ambrosiozyma_kashinagacola	Saccharomyces_cerevisiae
OG0000259	-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.57&CDS=1-3993	YOR227W, YPL137C
OG0000260	-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.74&CDS=1-1320	YBL056W, YER089C
OG0000261	-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.63&CDS=1-1062	YDL134C, YDL188C
OG0000262	-augustus-gene-4.134-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-augustus-gene-4.134&CDS=1-360	YDL136W, YDL191W
OG0000263	-processed-gene-4.121-mRNA-1_1&gene=genemark-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.121&CDS=1-543	YDL137W, YDL192W
OG0000264	-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-0.56&CDS=1-1707, -processed-gene-4.67-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-4.67&CDS=1-1782	YNL104C
OG0000265	-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.91&CDS=1-2685	YJL105W, YKR029C
OG0000266	-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.119&CDS=1-3177, -processed-gene-7.128-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-7.128&CDS=1-2856	YJL108C
OG0000267	-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-6.39&CDS=1-1890	YIL105C, YNL047C
OG0000268	-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-6.26&CDS=1-657	YML106W, YMR271C
OG0000269	-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-7.139&CDS=1-1926, -processed-gene-9.44-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-9.44&CDS=1-1983	YDL206W
OG0000270	-processed-gene-7.177-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-7.177&CDS=1-1077	YDL246C, YJR159W
OG0000271	-processed-gene-7.145-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-7.145&CDS=1-552	YOR226C, YPL135W
OG0000272	-processed-gene-7.186-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-7.186&CDS=1-3132	YKL068W, YMR047C
OG0000273	-processed-gene-11.84-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-11.84&CDS=1-1605, -processed-gene-7.160-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-7.160&CDS=1-1569	YOR059C
OG0000274	-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-0.9&CDS=1-3531	YAR042W, YDL019C
OG0000275	-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-0.36&CDS=1-918, -processed-gene-15.2-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-15.2&CDS=1-912	YMR244W
OG0000276	-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-0.38&CDS=1-2262	YJL082W, YKR018C
OG0000277	-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-0.13&CDS=1-3363	YJR127C, YML081W
OG0000278	-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-0.18&CDS=1-1998	YDR213W, YLR228C
OG0000279	-processed-gene-1.81-mRNA-1_1&gene=genemark-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-1.81&CDS=1-1377	YLL012W, YLR020C
OG0000280	-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-1.29&CDS=1-5565, -processed-gene-9.135-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-9.135&CDS=1-6672	YGR217W
OG0000281	-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-2.116&CDS=1-1440	YBR241C, YGL104C
OG0000282	-augustus-gene-3.110-mRNA-1_1&gene=maker-gi|1002316251|dbj|BCGA01000006.1|-augustus-gene-3.110&CDS=1-4875	YDR272W, YOR040W
OG0000283	-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-3.148&CDS=1-1992	YKR072C, YOR054C
OG0000284	-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-4.7&CDS=1-2013	YDR351W, YHR103W
OG0000285	-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-4.15&CDS=1-1275	YBR042C, YDR018C
OG0000286	-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-4.23&CDS=1-897, -processed-gene-7.36-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-7.36&CDS=1-894	YIL124W
OG0000287	-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-5.14&CDS=1-276	YER019C-A, YER087C-B
OG0000288	-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-5.34&CDS=1-1599	YIL085C, YNL029C
OG0000289	-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-6.7&CDS=1-1371	YGR009C, YMR017W
OG0000290	-augustus-gene-6.93-mRNA-1_1&gene=maker-gi|1002316251|dbj|BCGA01000006.1|-augustus-gene-6.93&CDS=1-297	YMR194W, YPL249C-A
OG0000291	-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-6.36&CDS=1-1569	YBR214W, YGL056C
OG0000292	-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-6.40&CDS=1-1374	YBR177C, YPL095C
OG0000293	-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-6.28&CDS=1-1185	YPR013C, YPR015C
OG0000294	-processed-gene-7.133-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-7.133&CDS=1-942	YJL079C, YKR013W
OG0000295	-augustus-gene-7.177-mRNA-1_1&gene=maker-gi|1002316251|dbj|BCGA01000006.1|-augustus-gene-7.177&CDS=1-3855	YJL045W, YKL148C
OG0000296	-augustus-gene-7.178-mRNA-1_1&gene=maker-gi|1002316251|dbj|BCGA01000006.1|-augustus-gene-7.178&CDS=1-993	YNL301C, YOL120C
OG0000297	-processed-gene-1.69-mRNA-1_1&gene=genemark-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-1.69&CDS=1-2430, -snap-gene-0.52-mRNA-1_1&gene=maker-gi|1002316252|dbj|BCGA01000005.1|-snap-gene-0.52&CDS=1-3084	YER070W
OG0000298	-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-0.103&CDS=1-381	YGR034W, YLR344W
OG0000299	-augustus-gene-0.2-mRNA-1_1&gene=maker-gi|1002316252|dbj|BCGA01000005.1|-augustus-gene-0.2&CDS=1-849	YDL204W, YDR233C
OG0000300	-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.121&CDS=1-1242, -processed-gene-1.133-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-1.133&CDS=1-1413	YPL123C
OG0000301	-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-1.138&CDS=1-1482, -processed-gene-10.39-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-10.39&CDS=1-1401	YHR176W
OG0000302	-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-0.90&CDS=1-1398, -processed-gene-1.139-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-1.139&CDS=1-2655	YEL048C
OG0000303	-processed-gene-2.59-mRNA-1_1&gene=genemark-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-2.59&CDS=1-2076	YKL126W, YMR104C
OG0000304	-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-2.126&CDS=1-1947	YDR185C, YLR168C
OG0000305	-augustus-gene-2.108-mRNA-1_1&gene=maker-gi|1002316252|dbj|BCGA01000005.1|-augustus-gene-2.108&CDS=1-279	YJR094W-A, YPR043W
OG0000306	-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-7.93&CDS=1-2493, -snap-gene-2.115-mRNA-1_1&gene=maker-gi|1002316252|dbj|BCGA01000005.1|-snap-gene-2.115&CDS=1-2196	YPR022C
OG0000307	-processed-gene-11.83-mRNA-1_1&gene=snap_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-11.83&CDS=1-5394, -processed-gene-3.45-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-3.45&CDS=1-5658	YGR032W
OG0000308	-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-3.65&CDS=1-5070	YLR031W, YMR124W
OG0000309	-processed-gene-11.33-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-11.33&CDS=1-1479, -processed-gene-3.54-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-3.54&CDS=1-1455	YKL140W
OG0000310	-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-3.84&CDS=1-2733	YDR251W, YPL032C
OG0000311	-processed-gene-4.40-mRNA-1_1&gene=genemark-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-4.40&CDS=1-195	YDL061C, YLR388W
OG0000312	-processed-gene-12.64-mRNA-1_1&gene=snap_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-12.64&CDS=1-414, -processed-gene-4.83-mRNA-1_1&gene=snap_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-4.83&CDS=1-1530	YPR127W
OG0000313	-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-5.3&CDS=1-3687	YDR122W, YLR096W
OG0000314	-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-5.4&CDS=1-1215	YHL003C, YKL008C
OG0000315	-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-4.14&CDS=1-2100, -processed-gene-5.6-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-5.6&CDS=1-999	YIL067C
OG0000316	-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-5.14&CDS=1-2007	YCL051W, YDR528W
OG0000317	-snap-gene-6.107-mRNA-1_1&gene=maker-gi|1002316252|dbj|BCGA01000005.1|-snap-gene-6.107&CDS=1-2430	YBR031W, YDR012W
OG0000318	-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-6.100&CDS=1-573, -processed-gene-6.28-mRNA-1_1&gene=snap_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-6.28&CDS=1-894	YGR066C
OG0000319	-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-6.85&CDS=1-915	YBR104W, YPR058W
OG0000320	-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-7.61&CDS=1-651	YGL135W, YPL220W
OG0000321	-augustus-gene-3.101-mRNA-1_1&gene=maker-gi|1002316253|dbj|BCGA01000004.1|-augustus-gene-3.101&CDS=1-2481, -processed-gene-7.67-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-7.67&CDS=1-2469	YNL020C
OG0000322	-processed-gene-7.118-mRNA-1_1&gene=snap_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-7.118&CDS=1-2634	YGR056W, YLR357W
OG0000323	-processed-gene-7.143-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-7.143&CDS=1-1857, -processed-gene-8.130-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-8.130&CDS=1-2262	YNL216W
OG0000324	-processed-gene-8.115-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-8.115&CDS=1-2043	YEL007W, YHR177W
OG0000325	-processed-gene-8.116-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-8.116&CDS=1-1278	YEL006W, YIL006W
OG0000326	-processed-gene-8.124-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-8.124&CDS=1-357	YMR230W, YOR293W
OG0000327	-processed-gene-0.111-mRNA-1_1&gene=genemark-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-0.111&CDS=1-321	YGR027C, YLR333C
OG0000328	-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-1.0&CDS=1-2151, -processed-gene-1.2-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-1.2&CDS=1-999	YDR145W
OG0000329	-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-1.31&CDS=1-3798, -processed-gene-5.57-mRNA-1_1&gene=genemark-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-5.57&CDS=1-909	YPL115C
OG0000330	-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-1.18&CDS=1-2475	YBL009W, YGL021W
OG0000331	-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-2.118&CDS=1-2043	YBR270C, YJL058C
OG0000332	-augustus-gene-2.86-mRNA-1_1&gene=maker-gi|1002316253|dbj|BCGA01000004.1|-augustus-gene-2.86&CDS=1-2280	YDR458C, YML034W
OG0000333	-processed-gene-14.96-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-14.96&CDS=1-1965, -processed-gene-2.124-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-2.124&CDS=1-2928	YBR084W
OG0000334	-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-2.107&CDS=1-495	YDR418W, YEL054C
OG0000335	-processed-gene-14.103-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-14.103&CDS=1-2124, -processed-gene-3.80-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-3.80&CDS=1-1329	YNR029C
OG0000336	-processed-gene-12.50-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-12.50&CDS=1-1872, -processed-gene-3.67-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-3.67&CDS=1-1974	YNR008W
OG0000337	-snap-gene-3.3-mRNA-1_1&gene=maker-gi|1002316253|dbj|BCGA01000004.1|-snap-gene-3.3&CDS=1-4914	YBR024W, YBR037C
OG0000338	-snap-gene-4.1-mRNA-1_1&gene=maker-gi|1002316253|dbj|BCGA01000004.1|-snap-gene-4.1&CDS=1-978	YBR189W, YPL081W
OG0000339	-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-4.34&CDS=1-1782	YBR021W, YIR028W
OG0000340	-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-4.21&CDS=1-1419	YCL040W, YDR516C
OG0000341	-processed-gene-5.101-mRNA-1_1&gene=genemark-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-5.101&CDS=1-7317	YCL068C, YCR038C
OG0000342	-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-6.23&CDS=1-3999	YER132C, YGL197W
OG0000343	-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-6.25&CDS=1-411	YBL087C, YER117W
OG0000344	-processed-gene-17.8-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-17.8&CDS=1-1344, -processed-gene-6.26-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-6.26&CDS=1-1332	YLR210W
OG0000345	-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-6.35&CDS=1-657	YGR049W, YLR356W
OG0000346	-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-2.122&CDS=1-975, -processed-gene-6.12-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-6.12&CDS=1-951	YDL124W
OG0000347	-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-6.13&CDS=1-1635, -processed-gene-9.19-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-9.19&CDS=1-1800	YMR145C
OG0000348	-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-6.38&CDS=1-2571	YDR069C, YER144C
OG0000349	-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-7.52&CDS=1-750	YMR233W, YOR295W
OG0000350	-snap-gene-7.152-mRNA-1_1&gene=maker-gi|1002316253|dbj|BCGA01000004.1|-snap-gene-7.152&CDS=1-2547	YHR141C, YNL162W
OG0000351	-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-7.82&CDS=1-2067	YHR131C, YNL144C
OG0000352	-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-7.86&CDS=1-1653	YJR054W, YML047C
OG0000353	-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-7.98&CDS=1-246	YDR500C, YLR185W
OG0000354	-snap-gene-7.150-mRNA-1_1&gene=maker-gi|1002316253|dbj|BCGA01000004.1|-snap-gene-7.150&CDS=1-2913	YDR502C, YLR180W
OG0000355	-snap-gene-7.151-mRNA-1_1&gene=maker-gi|1002316253|dbj|BCGA01000004.1|-snap-gene-7.151&CDS=1-2004	YDR505C, YLR177W
OG0000356	-processed-gene-8.96-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-8.96&CDS=1-2055	YGR221C, YHR149C
OG0000357	-processed-gene-8.123-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-8.123&CDS=1-1032	YMR172W, YOL116W
OG0000358	-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-8.127&CDS=1-2379	YFL050C, YOL130W
OG0000359	-processed-gene-8.115-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-8.115&CDS=1-3501	YGL049C, YGR162W
OG0000360	-processed-gene-9.45-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-9.45&CDS=1-372	YBR016W, YDL012C
OG0000361	-processed-gene-12.204-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-12.204&CDS=1-1428	YCL011C, YNL004W
OG0000362	-augustus-gene-12.92-mRNA-1_1&gene=maker-gi|1002316253|dbj|BCGA01000004.1|-augustus-gene-12.92&CDS=1-1131	YHR123W, YNL130C
OG0000363	-processed-gene-12.252-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-12.252&CDS=1-1170, -processed-gene-7.3-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-7.3&CDS=1-1185	YLR130C
OG0000364	-processed-gene-12.214-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-12.214&CDS=1-798	YLR284C, YOR180C
OG0000365	-processed-gene-12.216-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-12.216&CDS=1-1560	YLR260W, YOR171C
OG0000366	-processed-gene-7.135-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-7.135&CDS=1-2289, -snap-gene-12.98-mRNA-1_1&gene=maker-gi|1002316253|dbj|BCGA01000004.1|-snap-gene-12.98&CDS=1-2379	YPL270W
OG0000367	-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-0.87&CDS=1-1125	YDR151C, YLR136C
OG0000368	-processed-gene-0.69-mRNA-1_1&gene=genemark-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-0.69&CDS=1-3054	YBL085W, YER114C
OG0000369	-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-0.112&CDS=1-3987	YGR238C, YHR158C
OG0000370	-processed-gene-0.57-mRNA-1_1&gene=genemark-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-0.57&CDS=1-2679	YDL109C, YGL144C
OG0000371	-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-1.99&CDS=1-2670	YBR033W, YKL038W
OG0000372	-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-1.131&CDS=1-1605, -processed-gene-15.196-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.196&CDS=1-1668	YKL043W
OG0000373	-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-2.118&CDS=1-1443	YEL047C, YJR051W
OG0000374	-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-2.141&CDS=1-615	YDR259C, YOR028C
OG0000375	-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-2.144&CDS=1-1608, -processed-gene-7.29-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-7.29&CDS=1-2526	YLR248W
OG0000376	-augustus-gene-2.50-mRNA-1_1&gene=maker-gi|1002316254|dbj|BCGA01000003.1|-augustus-gene-2.50&CDS=1-1452	YKR076W, YMR251W
OG0000377	-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-3.13&CDS=1-3816, -snap-gene-18.72-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-snap-gene-18.72&CDS=1-8391	YIL126W
OG0000378	-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-3.16&CDS=1-1113	YBR161W, YPL057C
OG0000379	-snap-gene-3.2-mRNA-1_1&gene=maker-gi|1002316254|dbj|BCGA01000003.1|-snap-gene-3.2&CDS=1-1155	YHL034C, YLL046C
OG0000380	-augustus-gene-9.49-mRNA-1_1&gene=maker-gi|1002316254|dbj|BCGA01000003.1|-augustus-gene-9.49&CDS=1-1317, -processed-gene-4.55-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-4.55&CDS=1-1239	YBR195C
OG0000381	-augustus-gene-4.2-mRNA-1_1&gene=maker-gi|1002316254|dbj|BCGA01000003.1|-augustus-gene-4.2&CDS=1-786	YHR203C, YJR145C
OG0000382	-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-5.109&CDS=1-534	YKL141W, YMR118C
OG0000383	-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-5.129&CDS=1-1734	YJR130C, YML082W
OG0000384	-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-5.121&CDS=1-1275	YJL134W, YKR053C
OG0000385	-augustus-gene-5.52-mRNA-1_1&gene=maker-gi|1002316254|dbj|BCGA01000003.1|-augustus-gene-5.52&CDS=1-261	YJL136C, YKR057W
OG0000386	-augustus-gene-5.53-mRNA-1_1&gene=maker-gi|1002316254|dbj|BCGA01000003.1|-augustus-gene-5.53&CDS=1-1191	YJL138C, YKR059W
OG0000387	-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-6.109&CDS=1-405	YDR447C, YML024W
OG0000388	-processed-gene-6.134-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-6.134&CDS=1-3231	YHR047C, YKL157W
OG0000389	-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-6.111&CDS=1-1380	YDR451C, YML027W
OG0000390	-processed-gene-6.135-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-6.135&CDS=1-450	YDR450W, YML026C
