	Saccharomyces_cerevisiae	Saccharomyces_uvarum
OG0000448	YBR089C-A	genemark-Sbay_4-processed-gene-6.69-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.69&CDS=1-297
OG0000449	YBR091C	snap_masked-Sbay_4-processed-gene-6.23-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-6.23&CDS=1-327
OG0000450	YBR094W	genemark-Sbay_4-processed-gene-6.72-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.72&CDS=1-2259
OG0000451	YBR095C	genemark-Sbay_4-processed-gene-6.89-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.89&CDS=1-1305
OG0000452	YBR096W	genemark-Sbay_4-processed-gene-6.73-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.73&CDS=1-690
OG0000453	YBR097W	genemark-Sbay_4-processed-gene-6.74-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.74&CDS=1-6381
OG0000454	YBR101C	genemark-Sbay_4-processed-gene-6.90-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.90&CDS=1-870
OG0000455	YBR102C	genemark-Sbay_4-processed-gene-6.91-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.91&CDS=1-2253
OG0000456	YBR103W	augustus_masked-Sbay_4-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-6.119&CDS=1-2559
OG0000457	YBR105C	maker-Sbay_4-augustus-gene-6.5-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-6.5&CDS=1-1011
OG0000458	YBR106W	genemark-Sbay_4-processed-gene-6.77-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.77&CDS=1-564
OG0000459	YBR107C	genemark-Sbay_4-processed-gene-6.93-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.93&CDS=1-735
OG0000460	YBR108W	genemark-Sbay_4-processed-gene-6.78-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.78&CDS=1-2958
OG0000461	YBR109C	genemark-Sbay_4-processed-gene-6.94-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.94&CDS=1-441
OG0000462	YBR110W	genemark-Sbay_4-processed-gene-6.79-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.79&CDS=1-1347
OG0000463	YBR111C	maker-Sbay_4-snap-gene-6.18-mRNA-1_1&gene=maker-Sbay_4-snap-gene-6.18&CDS=1-2757
OG0000464	YBR114W	genemark-Sbay_4-processed-gene-6.80-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.80&CDS=1-2370
OG0000465	YBR115C	genemark-Sbay_4-processed-gene-6.97-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.97&CDS=1-4176
OG0000466	YBR120C	genemark-Sbay_4-processed-gene-6.99-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.99&CDS=1-486
OG0000467	YBR121C	genemark-Sbay_4-processed-gene-6.100-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.100&CDS=1-2001
OG0000468	YBR122C	genemark-Sbay_4-processed-gene-6.101-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.101&CDS=1-642
OG0000469	YBR123C	genemark-Sbay_4-processed-gene-6.102-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.102&CDS=1-1956
OG0000470	YBR125C	genemark-Sbay_4-processed-gene-6.103-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.103&CDS=1-1179
OG0000471	YBR126C	genemark-Sbay_4-processed-gene-6.104-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.104&CDS=1-1485
OG0000472	YBR126W-A	snap_masked-Sbay_4-processed-gene-6.37-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-6.37&CDS=1-192
OG0000473	YBR127C	augustus_masked-Sbay_4-processed-gene-6.144-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-6.144&CDS=1-4632
OG0000474	YBR131W	maker-Sbay_4-snap-gene-6.13-mRNA-1_1&gene=maker-Sbay_4-snap-gene-6.13&CDS=1-2121
OG0000475	YBR132C	genemark-Sbay_4-processed-gene-6.107-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.107&CDS=1-1770
OG0000476	YBR133C	genemark-Sbay_4-processed-gene-6.108-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.108&CDS=1-2478
OG0000477	YBR135W	genemark-Sbay_4-processed-gene-6.85-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.85&CDS=1-420
OG0000478	YBR136W	augustus_masked-Sbay_4-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-6.127&CDS=1-7422
OG0000479	YBR138C	genemark-Sbay_4-processed-gene-6.109-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.109&CDS=1-1563
OG0000480	YBR139W	genemark-Sbay_4-processed-gene-6.88-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-6.88&CDS=1-1515
OG0000481	YBR141C	genemark-Sbay_4-processed-gene-7.52-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.52&CDS=1-1011
OG0000482	YBR142W	genemark-Sbay_4-processed-gene-7.50-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.50&CDS=1-2379
OG0000483	YBR146W	snap_masked-Sbay_4-processed-gene-7.106-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-7.106&CDS=1-834
OG0000484	YBR149W	genemark-Sbay_4-processed-gene-7.57-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.57&CDS=1-1032
OG0000485	YBR150C	genemark-Sbay_4-processed-gene-7.81-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.81&CDS=1-3144
OG0000486	YBR151W	genemark-Sbay_4-processed-gene-7.58-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.58&CDS=1-948
OG0000487	YBR152W	genemark-Sbay_4-processed-gene-7.59-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.59&CDS=1-861
OG0000488	YBR153W	genemark-Sbay_4-processed-gene-7.60-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.60&CDS=1-732
OG0000489	YBR154C	genemark-Sbay_4-processed-gene-7.82-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.82&CDS=1-645
OG0000490	YBR155W	genemark-Sbay_4-processed-gene-7.61-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.61&CDS=1-1155
OG0000491	YBR156C	genemark-Sbay_4-processed-gene-7.83-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.83&CDS=1-2163
OG0000492	YBR157C	genemark-Sbay_4-processed-gene-7.84-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.84&CDS=1-765
OG0000493	YBR158W	genemark-Sbay_4-processed-gene-7.62-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.62&CDS=1-1653
OG0000494	YBR160W	maker-Sbay_4-snap-gene-7.0-mRNA-1_1&gene=maker-Sbay_4-snap-gene-7.0&CDS=1-1881
OG0000495	YBR161W	genemark-Sbay_4-processed-gene-7.65-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.65&CDS=1-1134
OG0000496	YBR162C	genemark-Sbay_4-processed-gene-7.85-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.85&CDS=1-1392
OG0000497	YBR163W	genemark-Sbay_4-processed-gene-7.66-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.66&CDS=1-1815
OG0000498	YBR164C	genemark-Sbay_4-processed-gene-7.86-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.86&CDS=1-549
OG0000499	YBR165W	genemark-Sbay_4-processed-gene-7.67-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.67&CDS=1-828
OG0000500	YBR166C	genemark-Sbay_4-processed-gene-7.87-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.87&CDS=1-1353
OG0000501	YBR167C	genemark-Sbay_4-processed-gene-7.88-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.88&CDS=1-420
OG0000502	YBR168W	genemark-Sbay_4-processed-gene-7.68-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.68&CDS=1-1236
OG0000503	YBR171W	genemark-Sbay_4-processed-gene-7.69-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.69&CDS=1-618
OG0000504	YBR172C	augustus_masked-Sbay_4-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-7.42&CDS=1-2664
OG0000505	YBR175W	snap_masked-Sbay_4-processed-gene-7.123-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-7.123&CDS=1-1881
OG0000506	YBR177C	genemark-Sbay_4-processed-gene-7.93-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.93&CDS=1-1359
OG0000507	YBR179C	genemark-Sbay_4-processed-gene-7.94-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.94&CDS=1-2565
OG0000508	YBR180W	genemark-Sbay_4-processed-gene-7.72-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.72&CDS=1-1716
OG0000509	YBR182C	snap_masked-Sbay_4-processed-gene-7.148-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-7.148&CDS=1-1356
OG0000510	YBR183W	genemark-Sbay_4-processed-gene-7.73-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.73&CDS=1-951
OG0000511	YBR184W	augustus_masked-Sbay_4-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-7.27&CDS=1-1695
OG0000512	YBR185C	genemark-Sbay_4-processed-gene-7.96-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.96&CDS=1-834
OG0000513	YBR186W	genemark-Sbay_4-processed-gene-7.75-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.75&CDS=1-2244
OG0000514	YBR188C	snap_masked-Sbay_4-processed-gene-7.150-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-7.150&CDS=1-387
OG0000515	YBR192W	genemark-Sbay_4-processed-gene-7.78-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.78&CDS=1-1131
OG0000516	YBR193C	genemark-Sbay_4-processed-gene-7.98-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.98&CDS=1-681
OG0000517	YBR194W	genemark-Sbay_4-processed-gene-7.79-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.79&CDS=1-390
OG0000518	YBR195C	genemark-Sbay_4-processed-gene-7.99-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.99&CDS=1-1272
OG0000519	YBR196C	genemark-Sbay_4-processed-gene-7.100-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.100&CDS=1-1662
OG0000520	YBR198C	genemark-Sbay_4-processed-gene-7.101-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.101&CDS=1-2961
OG0000521	YBR199W	genemark-Sbay_4-processed-gene-8.10-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.10&CDS=1-1371
OG0000522	YBR200W	genemark-Sbay_4-processed-gene-8.11-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.11&CDS=1-1656
OG0000523	YBR201W	genemark-Sbay_4-processed-gene-8.12-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.12&CDS=1-633
OG0000524	YBR202W	genemark-Sbay_4-processed-gene-8.13-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.13&CDS=1-2535
OG0000525	YBR203W	genemark-Sbay_4-processed-gene-8.14-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.14&CDS=1-2766
OG0000526	YBR204C	genemark-Sbay_4-processed-gene-8.56-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.56&CDS=1-1125
OG0000527	YBR208C	genemark-Sbay_4-processed-gene-8.57-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.57&CDS=1-5430
OG0000528	YBR210W	snap_masked-Sbay_4-processed-gene-8.104-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-8.104&CDS=1-426
OG0000529	YBR211C	genemark-Sbay_4-processed-gene-8.58-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.58&CDS=1-972
OG0000530	YBR212W	genemark-Sbay_4-processed-gene-8.17-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.17&CDS=1-1989
OG0000531	YBR213W	genemark-Sbay_4-processed-gene-8.18-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.18&CDS=1-822
OG0000532	YBR215W	snap_masked-Sbay_4-processed-gene-8.108-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-8.108&CDS=1-1893
OG0000533	YBR216C	genemark-Sbay_4-processed-gene-8.59-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.59&CDS=1-2025
OG0000534	YBR217W	genemark-Sbay_4-processed-gene-8.20-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.20&CDS=1-579
OG0000535	YBR220C	snap_masked-Sbay_4-processed-gene-8.155-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-8.155&CDS=1-1686
OG0000536	YBR221C	genemark-Sbay_4-processed-gene-8.61-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.61&CDS=1-1092
OG0000537	YBR222C	augustus_masked-Sbay_4-processed-gene-8.243-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-8.243&CDS=1-3063
OG0000538	YBR225W	genemark-Sbay_4-processed-gene-8.21-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.21&CDS=1-2709
OG0000539	YBR227C	genemark-Sbay_4-processed-gene-8.63-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.63&CDS=1-1548
OG0000540	YBR228W	genemark-Sbay_4-processed-gene-8.22-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.22&CDS=1-912
OG0000541	YBR229C	genemark-Sbay_4-processed-gene-8.64-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.64&CDS=1-2859
OG0000542	YBR230C	genemark-Sbay_4-processed-gene-8.65-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.65&CDS=1-414
OG0000543	YBR230W-A	snap_masked-Sbay_4-processed-gene-8.112-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-8.112&CDS=1-198
OG0000544	YBR231C	augustus_masked-Sbay_4-processed-gene-8.247-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-8.247&CDS=1-843
OG0000545	YBR233W	genemark-Sbay_4-processed-gene-8.23-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.23&CDS=1-1476
OG0000546	YBR234C	genemark-Sbay_4-processed-gene-8.67-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.67&CDS=1-1152
OG0000547	YBR235W	genemark-Sbay_4-processed-gene-8.24-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.24&CDS=1-3330
OG0000548	YBR236C	genemark-Sbay_4-processed-gene-8.68-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.68&CDS=1-1308
OG0000549	YBR237W	genemark-Sbay_4-processed-gene-8.25-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.25&CDS=1-2550
OG0000550	YBR238C	maker-Sbay_4-augustus-gene-8.1-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-8.1&CDS=1-2202
OG0000551	YBR239C	snap_masked-Sbay_4-processed-gene-8.166-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-8.166&CDS=1-1398
OG0000552	YBR240C	snap_masked-Sbay_4-processed-gene-8.167-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-8.167&CDS=1-1350
OG0000553	YBR242W	genemark-Sbay_4-processed-gene-8.26-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.26&CDS=1-711
OG0000554	YBR243C	augustus_masked-Sbay_4-processed-gene-8.252-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-8.252&CDS=1-1344
OG0000555	YBR244W	genemark-Sbay_4-processed-gene-8.27-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.27&CDS=1-486
OG0000556	YBR246W	genemark-Sbay_4-processed-gene-8.28-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.28&CDS=1-1161
OG0000557	YBR247C	genemark-Sbay_4-processed-gene-8.74-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.74&CDS=1-1443
OG0000558	YBR248C	maker-Sbay_4-snap-gene-8.8-mRNA-1_1&gene=maker-Sbay_4-snap-gene-8.8&CDS=1-2688
OG0000559	YBR250W	augustus_masked-Sbay_4-processed-gene-8.214-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-8.214&CDS=1-1557
OG0000560	YBR251W	genemark-Sbay_4-processed-gene-8.30-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.30&CDS=1-921
OG0000561	YBR253W	genemark-Sbay_4-processed-gene-8.32-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.32&CDS=1-363
OG0000562	YBR254C	genemark-Sbay_4-processed-gene-8.77-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.77&CDS=1-531
OG0000563	YBR255C-A	maker-Sbay_4-augustus-gene-8.2-mRNA-1_1&gene=maker-Sbay_4-augustus-gene-8.2&CDS=1-360
OG0000564	YBR255W	genemark-Sbay_4-processed-gene-8.33-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.33&CDS=1-2082
OG0000565	YBR256C	genemark-Sbay_4-processed-gene-8.78-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.78&CDS=1-714
OG0000566	YBR257W	augustus_masked-Sbay_4-processed-gene-8.217-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-8.217&CDS=1-840
OG0000567	YBR258C	genemark-Sbay_4-processed-gene-8.79-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.79&CDS=1-426
OG0000568	YBR259W	genemark-Sbay_4-processed-gene-8.35-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.35&CDS=1-2070
OG0000569	YBR260C	augustus_masked-Sbay_4-processed-gene-8.260-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-8.260&CDS=1-2673
OG0000570	YBR262C	genemark-Sbay_4-processed-gene-8.82-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.82&CDS=1-318
OG0000571	YBR263W	genemark-Sbay_4-processed-gene-8.36-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.36&CDS=1-1470
OG0000572	YBR264C	genemark-Sbay_4-processed-gene-8.83-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.83&CDS=1-594
OG0000573	YBR265W	augustus_masked-Sbay_4-processed-gene-8.220-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-8.220&CDS=1-2097
OG0000574	YBR268W	genemark-Sbay_4-processed-gene-8.39-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.39&CDS=1-315
OG0000575	YBR270C	augustus_masked-Sbay_4-processed-gene-8.263-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-8.263&CDS=1-1995
OG0000576	YBR271W	genemark-Sbay_4-processed-gene-8.40-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.40&CDS=1-1248
OG0000577	YBR272C	genemark-Sbay_4-processed-gene-8.86-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.86&CDS=1-1446
OG0000578	YBR273C	genemark-Sbay_4-processed-gene-8.87-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.87&CDS=1-1305
OG0000579	YBR274W	genemark-Sbay_4-processed-gene-8.41-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.41&CDS=1-1581
OG0000580	YBR275C	snap_masked-Sbay_4-processed-gene-8.184-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-8.184&CDS=1-5790
OG0000581	YBR276C	snap_masked-Sbay_4-processed-gene-8.185-mRNA-1_1&gene=snap_masked-Sbay_4-processed-gene-8.185&CDS=1-2409
OG0000582	YBR278W	maker-Sbay_4-snap-gene-8.5-mRNA-1_1&gene=maker-Sbay_4-snap-gene-8.5&CDS=1-507
OG0000583	YBR279W	genemark-Sbay_4-processed-gene-8.43-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.43&CDS=1-1314
OG0000584	YBR281C	augustus_masked-Sbay_4-processed-gene-8.267-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-8.267&CDS=1-4539
OG0000585	YBR282W	genemark-Sbay_4-processed-gene-8.44-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.44&CDS=1-438
OG0000586	YBR283C	genemark-Sbay_4-processed-gene-8.91-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.91&CDS=1-1470
OG0000587	YBR284W	augustus_masked-Sbay_4-processed-gene-8.227-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-8.227&CDS=1-2808
OG0000588	YBR286W	augustus_masked-Sbay_4-processed-gene-8.228-mRNA-1_1&gene=augustus_masked-Sbay_4-processed-gene-8.228&CDS=1-2853
OG0000589	YBR288C	genemark-Sbay_4-processed-gene-8.92-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.92&CDS=1-1452
OG0000590	YBR289W	genemark-Sbay_4-processed-gene-8.48-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.48&CDS=1-2682
OG0000591	YBR290W	genemark-Sbay_4-processed-gene-8.49-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.49&CDS=1-975
OG0000592	YBR291C	genemark-Sbay_4-processed-gene-8.93-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.93&CDS=1-897
OG0000593	YBR293W	genemark-Sbay_4-processed-gene-8.51-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.51&CDS=1-1686
OG0000594	YBR296C	genemark-Sbay_4-processed-gene-8.94-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-8.94&CDS=1-1725
OG0000595	YCL001W	genemark-Sbay_3-processed-gene-0.66-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.66&CDS=1-564
OG0000596	YCL002C	snap_masked-Sbay_3-processed-gene-0.41-mRNA-1_1&gene=snap_masked-Sbay_3-processed-gene-0.41&CDS=1-396
OG0000597	YCL004W	genemark-Sbay_3-processed-gene-0.65-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.65&CDS=1-1476
OG0000598	YCL005W	genemark-Sbay_3-processed-gene-0.64-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.64&CDS=1-765
OG0000599	YCL007C	maker-Sbay_3-snap-gene-0.4-mRNA-1_1&gene=maker-Sbay_3-snap-gene-0.4&CDS=1-219
OG0000600	YCL011C	augustus_masked-Sbay_3-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-0.116&CDS=1-4416
OG0000601	YCL014W	genemark-Sbay_3-processed-gene-0.63-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.63&CDS=1-4857
OG0000602	YCL016C	genemark-Sbay_3-processed-gene-0.77-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.77&CDS=1-1140
OG0000603	YCL017C	genemark-Sbay_3-processed-gene-0.76-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.76&CDS=1-1485
OG0000604	YCL018W	genemark-Sbay_3-processed-gene-0.62-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-0.62&CDS=1-1092
OG0000605	YCL021W-A	genemark-Sbay_3-processed-gene-1.225-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.225&CDS=1-375
OG0000606	YCL026C-B	genemark-Sbay_3-processed-gene-1.223-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.223&CDS=1-579
OG0000607	YCL027W	genemark-Sbay_3-processed-gene-1.179-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.179&CDS=1-1530
OG0000608	YCL028W	augustus_masked-Sbay_3-processed-gene-1.263-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.263&CDS=1-1176
OG0000609	YCL029C	genemark-Sbay_3-processed-gene-1.222-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.222&CDS=1-1329
OG0000610	YCL030C	genemark-Sbay_3-processed-gene-1.221-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.221&CDS=1-2397
OG0000611	YCL031C	genemark-Sbay_3-processed-gene-1.220-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.220&CDS=1-891
OG0000612	YCL032W	genemark-Sbay_3-processed-gene-1.177-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.177&CDS=1-1038
OG0000613	YCL033C	augustus_masked-Sbay_3-processed-gene-1.302-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.302&CDS=1-504
OG0000614	YCL034W	genemark-Sbay_3-processed-gene-1.176-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.176&CDS=1-1068
OG0000615	YCL035C	genemark-Sbay_3-processed-gene-1.218-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.218&CDS=1-330
OG0000616	YCL036W	genemark-Sbay_3-processed-gene-1.175-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.175&CDS=1-1683
OG0000617	YCL037C	genemark-Sbay_3-processed-gene-1.217-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.217&CDS=1-1317
OG0000618	YCL038C	genemark-Sbay_3-processed-gene-1.216-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.216&CDS=1-1584
OG0000619	YCL043C	genemark-Sbay_3-processed-gene-1.215-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.215&CDS=1-1569
OG0000620	YCL045C	genemark-Sbay_3-processed-gene-1.214-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.214&CDS=1-3276
OG0000621	YCL047C	genemark-Sbay_3-processed-gene-1.213-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.213&CDS=1-774
OG0000622	YCL048W	augustus_masked-Sbay_3-processed-gene-1.258-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.258&CDS=1-1320
OG0000623	YCL049C	genemark-Sbay_3-processed-gene-1.212-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.212&CDS=1-879
OG0000624	YCL050C	genemark-Sbay_3-processed-gene-1.211-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.211&CDS=1-963
OG0000625	YCL051W	genemark-Sbay_3-processed-gene-1.172-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.172&CDS=1-1764
OG0000626	YCL052C	genemark-Sbay_3-processed-gene-1.210-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.210&CDS=1-1248
OG0000627	YCL054W	genemark-Sbay_3-processed-gene-1.171-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.171&CDS=1-2523
OG0000628	YCL055W	genemark-Sbay_3-processed-gene-1.170-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.170&CDS=1-1002
OG0000629	YCL056C	augustus_masked-Sbay_3-processed-gene-1.292-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.292&CDS=1-432
OG0000630	YCL057C-A	augustus_masked-Sbay_3-processed-gene-1.291-mRNA-1_1&gene=augustus_masked-Sbay_3-processed-gene-1.291&CDS=1-291
OG0000631	YCL057W	genemark-Sbay_3-processed-gene-1.169-mRNA-1_1&gene=genemark-Sbay_3-processed-gene-1.169&CDS=1-2058
