	Pichia_membranifaciens	Saccharomyces_cerevisiae
OG0000591	snap_masked-scaffold_1-processed-gene-6.57-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.57&CDS=1-1707	YNL152W
OG0000592	snap_masked-scaffold_1-processed-gene-6.76-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.76&CDS=1-780	YNL151C
OG0000593	snap_masked-scaffold_1-processed-gene-6.77-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.77&CDS=1-429	YNL149C
OG0000594	snap_masked-scaffold_1-processed-gene-6.58-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.58&CDS=1-456	YCR063W
OG0000595	augustus_masked-scaffold_1-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.14&CDS=1-2055	YMR108W
OG0000596	snap_masked-scaffold_1-processed-gene-6.80-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.80&CDS=1-2745	YJL029C
OG0000597	snap_masked-scaffold_1-processed-gene-6.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.60&CDS=1-1665	YJL008C
OG0000598	snap_masked-scaffold_1-processed-gene-6.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.81&CDS=1-1476	YDR371W
OG0000599	snap_masked-scaffold_1-processed-gene-6.82-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.82&CDS=1-783	YDR020C
OG0000600	augustus_masked-scaffold_1-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.16&CDS=1-1188	YDR021W
OG0000601	augustus_masked-scaffold_1-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.39&CDS=1-2151	YDR023W
OG0000602	genemark-scaffold_1-processed-gene-6.110-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.110&CDS=1-948	YLR411W
OG0000603	snap_masked-scaffold_1-processed-gene-6.63-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.63&CDS=1-2913	YCR017C
OG0000604	augustus_masked-scaffold_1-processed-gene-6.42-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.42&CDS=1-1737	YKL162C
OG0000605	genemark-scaffold_1-processed-gene-6.113-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.113&CDS=1-2943	YOR048C
OG0000606	snap_masked-scaffold_1-processed-gene-6.89-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.89&CDS=1-1446	YMR098C
OG0000607	snap_masked-scaffold_1-processed-gene-6.67-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.67&CDS=1-960	YDR353W
OG0000608	augustus_masked-scaffold_1-processed-gene-6.44-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.44&CDS=1-714	YGL240W
OG0000609	snap_masked-scaffold_1-processed-gene-7.44-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.44&CDS=1-2391	YDR006C
OG0000610	augustus_masked-scaffold_1-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.2&CDS=1-5193	YOR273C
OG0000611	snap_masked-scaffold_1-processed-gene-7.43-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.43&CDS=1-312	YLR364W
OG0000612	snap_masked-scaffold_1-processed-gene-7.49-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.49&CDS=1-4179	YAL024C
OG0000613	maker-scaffold_1-snap-gene-7.130-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.130&CDS=1-9024	YOR326W
OG0000614	snap_masked-scaffold_1-processed-gene-7.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.52&CDS=1-441	YPR082C
OG0000615	maker-scaffold_1-snap-gene-7.131-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.131&CDS=1-432	YML030W
OG0000616	snap_masked-scaffold_1-processed-gene-7.71-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.71&CDS=1-1959	YPL207W
OG0000617	snap_masked-scaffold_1-processed-gene-7.72-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.72&CDS=1-657	YLR075W
OG0000618	snap_masked-scaffold_1-processed-gene-7.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.55&CDS=1-546	YLR074C
OG0000619	snap_masked-scaffold_1-processed-gene-7.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.56&CDS=1-1167	YAL032C
OG0000620	snap_masked-scaffold_1-processed-gene-7.57-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.57&CDS=1-1479	YMR020W
OG0000621	snap_masked-scaffold_1-processed-gene-7.76-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.76&CDS=1-525	YMR022W
OG0000622	augustus_masked-scaffold_1-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.15&CDS=1-693	YOR131C
OG0000623	augustus_masked-scaffold_1-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.33&CDS=1-2256	YBR288C
OG0000624	snap_masked-scaffold_1-processed-gene-7.61-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.61&CDS=1-5904	YPL082C
OG0000625	snap_masked-scaffold_1-processed-gene-7.62-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.62&CDS=1-2574	YBR112C
OG0000626	snap_masked-scaffold_1-processed-gene-7.63-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.63&CDS=1-654	YBR111C
OG0000627	snap_masked-scaffold_1-processed-gene-7.79-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.79&CDS=1-696	YMR069W
OG0000628	snap_masked-scaffold_1-processed-gene-7.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.64&CDS=1-1023	YGL159W
OG0000629	snap_masked-scaffold_1-processed-gene-7.80-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.80&CDS=1-927	YMR281W
OG0000630	snap_masked-scaffold_1-processed-gene-7.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.81&CDS=1-855	YKL207W
OG0000631	snap_masked-scaffold_1-processed-gene-7.67-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.67&CDS=1-1116	YJR062C
OG0000632	snap_masked-scaffold_1-processed-gene-7.82-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.82&CDS=1-957	YJR060W
OG0000633	snap_masked-scaffold_1-processed-gene-7.83-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.83&CDS=1-1053	YJL167W
OG0000634	snap_masked-scaffold_1-processed-gene-7.69-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.69&CDS=1-1113	YKL172W
OG0000635	snap_masked-scaffold_1-processed-gene-7.84-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.84&CDS=1-2940	YKL173W
OG0000636	snap_masked-scaffold_1-processed-gene-8.43-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.43&CDS=1-1683	YKL174C
OG0000637	snap_masked-scaffold_1-processed-gene-8.44-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.44&CDS=1-2352	YOL023W
OG0000638	snap_masked-scaffold_1-processed-gene-8.46-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.46&CDS=1-1440	YER046W
OG0000639	snap_masked-scaffold_1-processed-gene-8.45-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.45&CDS=1-2349	YJL168C
OG0000640	augustus_masked-scaffold_1-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.82&CDS=1-1101	YGR163W
OG0000641	augustus_masked-scaffold_1-processed-gene-8.85-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.85&CDS=1-6054	YGR001C
OG0000642	snap_masked-scaffold_1-processed-gene-8.50-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.50&CDS=1-1038	YHR034C
OG0000643	snap_masked-scaffold_1-processed-gene-8.67-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.67&CDS=1-693	YHR181W
OG0000644	snap_masked-scaffold_1-processed-gene-8.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.52&CDS=1-1350	YHR075C
OG0000645	snap_masked-scaffold_1-processed-gene-8.68-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.68&CDS=1-2133	YHR074W
OG0000646	snap_masked-scaffold_1-processed-gene-8.70-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.70&CDS=1-1593	YNL309W
OG0000647	snap_masked-scaffold_1-processed-gene-8.71-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.71&CDS=1-696	YMR126C
OG0000648	augustus_masked-scaffold_1-processed-gene-8.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.89&CDS=1-9960	YGL195W
OG0000649	augustus_masked-scaffold_1-processed-gene-8.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.92&CDS=1-1566	YMR140W
OG0000650	maker-scaffold_1-augustus-gene-8.38-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.38&CDS=1-2130	YPL169C
OG0000651	snap_masked-scaffold_1-processed-gene-8.74-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.74&CDS=1-945	YKR030W
OG0000652	snap_masked-scaffold_1-processed-gene-8.75-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.75&CDS=1-462	YIL065C
OG0000653	snap_masked-scaffold_1-processed-gene-8.76-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.76&CDS=1-4599	YOR291W
OG0000654	maker-scaffold_1-augustus-gene-8.39-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.39&CDS=1-3645	YPL217C
OG0000655	augustus_masked-scaffold_1-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.110&CDS=1-567	YPL218W
OG0000656	snap_masked-scaffold_1-processed-gene-8.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.64&CDS=1-2631	YGL137W
OG0000657	snap_masked-scaffold_1-processed-gene-9.101-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.101&CDS=1-1131	YGL255W
OG0000658	snap_masked-scaffold_1-processed-gene-9.105-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.105&CDS=1-1020	YGL136C
OG0000659	snap_masked-scaffold_1-processed-gene-9.104-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.104&CDS=1-2148	YGL099W
OG0000660	snap_masked-scaffold_1-processed-gene-9.106-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.106&CDS=1-1662	YDR323C
OG0000661	snap_masked-scaffold_1-processed-gene-9.125-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.125&CDS=1-1296	YMR139W
OG0000662	snap_masked-scaffold_1-processed-gene-9.126-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.126&CDS=1-1467	YFL018C
OG0000663	genemark-scaffold_1-processed-gene-9.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.29&CDS=1-987	YGR031W
OG0000664	augustus_masked-scaffold_1-processed-gene-9.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.82&CDS=1-5016	YOR191W
OG0000665	snap_masked-scaffold_1-processed-gene-9.108-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.108&CDS=1-729	YLR298C
OG0000666	snap_masked-scaffold_1-processed-gene-9.110-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.110&CDS=1-321	YLR295C
OG0000667	snap_masked-scaffold_1-processed-gene-9.133-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.133&CDS=1-1599	YCR098C
OG0000668	augustus_masked-scaffold_1-processed-gene-9.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.67&CDS=1-3702	YCL061C
OG0000669	snap_masked-scaffold_1-processed-gene-9.113-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.113&CDS=1-1110	YCL059C
OG0000670	snap_masked-scaffold_1-processed-gene-9.136-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.136&CDS=1-2370	YNL279W
OG0000671	snap_masked-scaffold_1-processed-gene-9.141-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.141&CDS=1-771	YLR186W
OG0000672	augustus_masked-scaffold_1-processed-gene-9.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.92&CDS=1-1818	YKL116C
OG0000673	augustus_masked-scaffold_1-processed-gene-9.72-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.72&CDS=1-4113	YLR071C
OG0000674	snap_masked-scaffold_1-processed-gene-9.143-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.143&CDS=1-717	YPR183W
OG0000675	snap_masked-scaffold_1-processed-gene-9.120-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.120&CDS=1-1815	YDR390C
OG0000676	augustus_masked-scaffold_1-processed-gene-9.74-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.74&CDS=1-2298	YDR388W
OG0000677	augustus_masked-scaffold_1-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.75&CDS=1-2169	YPR011C
OG0000678	snap_masked-scaffold_1-processed-gene-9.122-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.122&CDS=1-1002	YNL072W
OG0000679	augustus_masked-scaffold_1-processed-gene-9.96-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.96&CDS=1-1647	YAL025C
OG0000680	augustus_masked-scaffold_1-processed-gene-9.77-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.77&CDS=1-3012	YKR084C
OG0000681	augustus_masked-scaffold_1-processed-gene-10.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.89&CDS=1-1110	YOR075W
OG0000682	snap_masked-scaffold_1-processed-gene-10.50-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.50&CDS=1-2436	YOR069W
OG0000683	augustus_masked-scaffold_1-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.88&CDS=1-1251	YGL196W
OG0000684	augustus_masked-scaffold_1-processed-gene-10.108-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.108&CDS=1-1626	YPL265W
OG0000685	snap_masked-scaffold_1-processed-gene-10.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.52&CDS=1-1281	YOL097C
OG0000686	snap_masked-scaffold_1-processed-gene-10.71-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.71&CDS=1-2517	YOL076W
OG0000687	maker-scaffold_1-augustus-gene-10.2-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-10.2&CDS=1-2478	YBR139W
OG0000688	snap_masked-scaffold_1-processed-gene-10.74-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.74&CDS=1-4959	YIR006C
OG0000689	snap_masked-scaffold_1-processed-gene-10.76-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.76&CDS=1-2895	YHR098C
OG0000690	snap_masked-scaffold_1-processed-gene-10.54-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.54&CDS=1-942	YGR086C
OG0000691	snap_masked-scaffold_1-processed-gene-10.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.56&CDS=1-1950	YEL062W
OG0000692	snap_masked-scaffold_1-processed-gene-10.57-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.57&CDS=1-2811	YEL061C
OG0000693	snap_masked-scaffold_1-processed-gene-10.59-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.59&CDS=1-990	YDR044W
OG0000694	snap_masked-scaffold_1-processed-gene-10.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.60&CDS=1-2139	YML038C
OG0000695	snap_masked-scaffold_1-processed-gene-10.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.64&CDS=1-1569	YDR221W
OG0000696	snap_masked-scaffold_1-processed-gene-10.78-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.78&CDS=1-1266	YHR076W
OG0000697	snap_masked-scaffold_1-processed-gene-10.79-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.79&CDS=1-3759	YHR077C
OG0000698	snap_masked-scaffold_1-processed-gene-10.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.81&CDS=1-1062	YDR322W
OG0000699	genemark-scaffold_1-processed-gene-10.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.27&CDS=1-2400	YOR014W
OG0000700	snap_masked-scaffold_1-processed-gene-10.84-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.84&CDS=1-1551	YGR083C
OG0000701	snap_masked-scaffold_1-processed-gene-10.66-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.66&CDS=1-1290	YBR143C
OG0000702	maker-scaffold_1-snap-gene-10.8-mRNA-1_1&gene=maker-scaffold_1-snap-gene-10.8&CDS=1-2370	YBR142W
OG0000703	snap_masked-scaffold_1-processed-gene-10.67-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.67&CDS=1-1065	YBR141C
OG0000704	snap_masked-scaffold_1-processed-gene-10.86-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.86&CDS=1-777	YLR412W
OG0000705	maker-scaffold_1-snap-gene-10.6-mRNA-1_1&gene=maker-scaffold_1-snap-gene-10.6&CDS=1-1074	YDL205C
OG0000706	augustus_masked-scaffold_1-processed-gene-11.48-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.48&CDS=1-438	YMR074C
OG0000707	snap_masked-scaffold_1-processed-gene-11.12-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.12&CDS=1-531	YMR073C
OG0000708	augustus_masked-scaffold_1-processed-gene-11.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.51&CDS=1-5079	YNL329C
OG0000709	augustus_masked-scaffold_1-processed-gene-11.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.53&CDS=1-1758	YPL243W
OG0000710	augustus_masked-scaffold_1-processed-gene-11.65-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.65&CDS=1-810	YDR476C
OG0000711	augustus_masked-scaffold_1-processed-gene-11.66-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.66&CDS=1-2232	YAR015W
OG0000712	snap_masked-scaffold_1-processed-gene-11.29-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.29&CDS=1-2061	YGR145W
OG0000713	snap_masked-scaffold_1-processed-gene-11.30-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.30&CDS=1-2850	YPL195W
OG0000714	snap_masked-scaffold_1-processed-gene-11.19-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.19&CDS=1-2751	YDR166C
OG0000715	snap_masked-scaffold_1-processed-gene-11.31-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.31&CDS=1-3933	YDR159W
OG0000716	snap_masked-scaffold_1-processed-gene-11.32-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.32&CDS=1-1815	YLR253W
OG0000717	snap_masked-scaffold_1-processed-gene-11.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.37&CDS=1-591	YML079W
OG0000718	augustus_masked-scaffold_1-processed-gene-11.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.59&CDS=1-1068	YLR100W
OG0000719	maker-scaffold_1-snap-gene-11.85-mRNA-1_1&gene=maker-scaffold_1-snap-gene-11.85&CDS=1-6534	YDR129C
OG0000720	snap_masked-scaffold_1-processed-gene-11.20-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.20&CDS=1-966	YDL209C
OG0000721	augustus_masked-scaffold_1-processed-gene-11.78-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.78&CDS=1-3168	YHR065C
OG0000722	augustus_masked-scaffold_1-processed-gene-11.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.62&CDS=1-2652	YFL053W
OG0000723	snap_masked-scaffold_1-processed-gene-11.24-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.24&CDS=1-855	YLR243W
OG0000724	snap_masked-scaffold_1-processed-gene-11.47-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.47&CDS=1-1461	YDR191W
OG0000725	snap_masked-scaffold_1-processed-gene-11.25-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.25&CDS=1-1128	YJL117W
OG0000726	snap_masked-scaffold_1-processed-gene-12.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.60&CDS=1-1359	YOR209C
OG0000727	augustus_masked-scaffold_1-processed-gene-12.108-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.108&CDS=1-2700	YOR210W
OG0000728	augustus_masked-scaffold_1-processed-gene-12.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.105&CDS=1-3582	YJL003W
OG0000729	snap_masked-scaffold_1-processed-gene-12.86-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.86&CDS=1-1206	YCR086W
OG0000730	snap_masked-scaffold_1-processed-gene-12.66-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.66&CDS=1-1767	YJR016C
OG0000731	snap_masked-scaffold_1-processed-gene-12.88-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.88&CDS=1-2100	YOL141W
OG0000732	snap_masked-scaffold_1-processed-gene-12.67-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.67&CDS=1-3435	YNL325C
OG0000733	augustus_masked-scaffold_1-processed-gene-12.132-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.132&CDS=1-768	YOL142W
OG0000734	snap_masked-scaffold_1-processed-gene-12.68-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.68&CDS=1-1995	YJL101C
OG0000735	snap_masked-scaffold_1-processed-gene-12.92-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.92&CDS=1-531	YOR252W
OG0000736	snap_masked-scaffold_1-processed-gene-12.72-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.72&CDS=1-483	YOR276W
OG0000737	snap_masked-scaffold_1-processed-gene-12.93-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.93&CDS=1-2013	YMR213W
OG0000738	snap_masked-scaffold_1-processed-gene-12.73-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.73&CDS=1-2607	YMR212C
OG0000739	augustus_masked-scaffold_1-processed-gene-12.119-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.119&CDS=1-2079	YML102W
OG0000740	augustus_masked-scaffold_1-processed-gene-12.138-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.138&CDS=1-453	YMR263W
OG0000741	augustus_masked-scaffold_1-processed-gene-12.120-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.120&CDS=1-573	YDL120W
OG0000742	snap_masked-scaffold_1-processed-gene-12.76-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.76&CDS=1-1815	YER036C
OG0000743	snap_masked-scaffold_1-processed-gene-12.96-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.96&CDS=1-1263	YML060W
OG0000744	maker-scaffold_1-augustus-gene-12.55-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-12.55&CDS=1-2034	YHR063C
OG0000745	augustus_masked-scaffold_1-processed-gene-12.124-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.124&CDS=1-2934	YLR299W
OG0000746	augustus_masked-scaffold_1-processed-gene-12.142-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.142&CDS=1-2373	YPR021C
OG0000747	snap_masked-scaffold_1-processed-gene-12.99-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.99&CDS=1-1773	YGL119W
OG0000748	snap_masked-scaffold_1-processed-gene-12.83-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.83&CDS=1-3267	YER110C
OG0000749	snap_masked-scaffold_1-processed-gene-12.100-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.100&CDS=1-939	YGR231C
OG0000750	snap_masked-scaffold_1-processed-gene-12.84-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.84&CDS=1-741	YGR232W
OG0000751	augustus_masked-scaffold_1-processed-gene-12.128-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.128&CDS=1-1656	YGR211W
OG0000752	snap_masked-scaffold_1-processed-gene-12.101-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.101&CDS=1-6771	YGR217W
OG0000753	augustus_masked-scaffold_1-processed-gene-12.147-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.147&CDS=1-321	YKL137W
OG0000754	snap_masked-scaffold_1-processed-gene-13.48-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.48&CDS=1-615	YMR117C
OG0000755	genemark-scaffold_1-processed-gene-13.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.96&CDS=1-330	YKL138C
OG0000756	snap_masked-scaffold_1-processed-gene-13.49-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.49&CDS=1-573	YKL186C
OG0000757	augustus_masked-scaffold_1-processed-gene-13.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.5&CDS=1-3108	YLR443W
OG0000758	snap_masked-scaffold_1-processed-gene-13.50-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.50&CDS=1-2307	YML065W
OG0000759	augustus_masked-scaffold_1-processed-gene-13.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.6&CDS=1-639	YML064C
OG0000760	snap_masked-scaffold_1-processed-gene-13.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.52&CDS=1-768	YLR441C
OG0000761	maker-scaffold_1-snap-gene-13.142-mRNA-1_1&gene=maker-scaffold_1-snap-gene-13.142&CDS=1-1566	YML056C
OG0000762	snap_masked-scaffold_1-processed-gene-13.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.56&CDS=1-1881	YDR145W
OG0000763	augustus_masked-scaffold_1-processed-gene-13.28-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.28&CDS=1-2184	YML055W
OG0000764	snap_masked-scaffold_1-processed-gene-13.57-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.57&CDS=1-888	YDR411C
OG0000765	augustus_masked-scaffold_1-processed-gene-13.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.12&CDS=1-3117	YER162C
OG0000766	maker-scaffold_1-augustus-gene-13.46-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-13.46&CDS=1-1137	YDR087C
OG0000767	snap_masked-scaffold_1-processed-gene-13.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.60&CDS=1-1149	YDR088C
