	Ogataea_methanolica	Saccharomyces_cerevisiae
OG0000293	-processed-gene-13.39-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-13.39&CDS=1-1452, -processed-gene-13.96-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.96&CDS=1-1521	YMR020W
OG0000294	-processed-gene-13.17-mRNA-1_1&gene=augustus_masked-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-13.17&CDS=1-2601	YDL109C, YGL144C
OG0000295	-processed-gene-14.25-mRNA-1_1&gene=genemark-gi|1002316334|dbj|BCKW01000003.1|-processed-gene-14.25&CDS=1-6228	YCL068C, YCR038C
OG0000296	-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-0.13&CDS=1-798	YKR075C, YOR062C
OG0000297	-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-0.29&CDS=1-2637	YBR033W, YKL038W
OG0000298	-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-0.17&CDS=1-1275	YBR078W, YDR055W
OG0000299	-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-1.0&CDS=1-1188	YDL222C, YNL194C
OG0000300	-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-1.5&CDS=1-1365	YGR108W, YPR119W
OG0000301	-augustus-gene-1.84-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-1.84&CDS=1-1362	YNL108C, YOR110W
OG0000302	-snap-gene-2.2-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-snap-gene-2.2&CDS=1-3711	YIL105C, YNL047C
OG0000303	-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-2.15&CDS=1-1926	YDR451C, YML027W
OG0000304	-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-2.38&CDS=1-450	YDR450W, YML026C
OG0000305	-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-2.19&CDS=1-1656	YJL137C, YKR058W
OG0000306	-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-2.42&CDS=1-1275	YNL283C, YOL105C
OG0000307	-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-2.28&CDS=1-483	YBR244W, YIR037W
OG0000308	-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-2.33&CDS=1-1443	YBR241C, YGL104C
OG0000309	-processed-gene-2.81-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-2.81&CDS=1-684	YBR242W, YGL101W
OG0000310	-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-3.8&CDS=1-1836	YKR091W, YOR083W
OG0000311	-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-4.16&CDS=1-2163	YNL299W, YOL115W
OG0000312	-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-4.34&CDS=1-4584	YEL022W, YJR031C
OG0000313	-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-4.24&CDS=1-2211, -processed-gene-7.77-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-7.77&CDS=1-2733	YNL054W
OG0000314	-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-4.38&CDS=1-1329	YAL015C, YOL043C
OG0000315	-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-4.41&CDS=1-8676	YBR140C, YOL081W
OG0000316	-processed-gene-5.43-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-5.43&CDS=1-2547	YNL298W, YOL113W
OG0000317	-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-5.68&CDS=1-405	YDR447C, YML024W
OG0000318	-processed-gene-6.50-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-6.50&CDS=1-780	YDR272W, YOR040W
OG0000319	-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-6.77&CDS=1-2520	YBR001C, YDR001C
OG0000320	-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-6.65&CDS=1-1251	YDR277C, YOR047C
OG0000321	-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-7.81&CDS=1-327	YBR016W, YDL012C
OG0000322	-augustus-gene-7.7-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-7.7&CDS=1-993	YBR147W, YOL092W
OG0000323	-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-8.31&CDS=1-867	YMR183C, YPL232W
OG0000324	-snap-gene-8.5-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-snap-gene-8.5&CDS=1-1818	YBR183W, YPL087W
OG0000325	-processed-gene-9.44-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-9.44&CDS=1-669	YER031C, YGL210W
OG0000326	-augustus-gene-9.85-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-9.85&CDS=1-390, -processed-gene-16.26-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-16.26&CDS=1-390	YJL190C
OG0000327	-processed-gene-10.57-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-10.57&CDS=1-3918	YAR042W, YDL019C
OG0000328	-processed-gene-11.43-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-11.43&CDS=1-1860	YDR107C, YLR083C
OG0000329	-augustus-gene-12.4-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-12.4&CDS=1-3531, -processed-gene-29.65-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-29.65&CDS=1-1932	YLL024C
OG0000330	-processed-gene-12.69-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-12.69&CDS=1-1239	YAL034C, YOR338W
OG0000331	-processed-gene-14.10-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-14.10&CDS=1-330	YEL039C, YJR048W
OG0000332	-processed-gene-14.81-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-14.81&CDS=1-1860	YDR247W, YPL026C
OG0000333	-processed-gene-15.52-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-15.52&CDS=1-1779, -processed-gene-15.53-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-15.53&CDS=1-1908	YNL125C
OG0000334	-processed-gene-15.59-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-15.59&CDS=1-1668	YDR497C, YOL103W
OG0000335	-processed-gene-15.77-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-15.77&CDS=1-1446	YOR231W, YPL140C
OG0000336	-snap-gene-15.3-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-snap-gene-15.3&CDS=1-2883	YGR010W, YLR328W
OG0000337	-processed-gene-15.69-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-15.69&CDS=1-558	YLR456W, YPR172W
OG0000338	-processed-gene-16.25-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-16.25&CDS=1-426	YCR031C, YJL191W
OG0000339	-processed-gene-16.19-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-16.19&CDS=1-1377	YAL062W, YOR375C
OG0000340	-processed-gene-16.36-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-16.36&CDS=1-4728	YCR073C, YNR031C
OG0000341	-processed-gene-17.15-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-17.15&CDS=1-1038	YCR073W-A, YNR034W
OG0000342	-processed-gene-17.26-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-17.26&CDS=1-2175	YJL099W, YKR027W
OG0000343	-processed-gene-18.21-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-18.21&CDS=1-3942, -processed-gene-30.85-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-30.85&CDS=1-3852	YKR050W
OG0000344	-processed-gene-19.44-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-19.44&CDS=1-1305	YGR141W, YPR157W
OG0000345	-processed-gene-20.28-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-20.28&CDS=1-1401	YGR009C, YMR017W
OG0000346	-processed-gene-20.71-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-20.71&CDS=1-1713	YIL085C, YNL029C
OG0000347	-processed-gene-20.22-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-20.22&CDS=1-3168	YML109W, YMR273C
OG0000348	-processed-gene-21.35-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-21.35&CDS=1-1038, -processed-gene-21.60-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-21.60&CDS=1-1056	YDL144C
OG0000349	-processed-gene-21.52-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-21.52&CDS=1-1110	YEL006W, YIL006W
OG0000350	-processed-gene-21.39-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-21.39&CDS=1-2151	YEL007W, YHR177W
OG0000351	-processed-gene-21.66-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-21.66&CDS=1-558	YOR226C, YPL135W
OG0000352	-processed-gene-21.49-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-21.49&CDS=1-1053	YDL246C, YJR159W
OG0000353	-processed-gene-22.70-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-22.70&CDS=1-660	YML106W, YMR271C
OG0000354	-processed-gene-22.82-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-22.82&CDS=1-1521	YDL088C, YMR153W
OG0000355	-processed-gene-22.88-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-22.88&CDS=1-1386	YBR118W, YPR080W
OG0000356	-processed-gene-23.54-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-23.54&CDS=1-729	YGL076C, YPL198W
OG0000357	-processed-gene-23.72-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-23.72&CDS=1-1992	YDR263C, YOR033C
OG0000358	-processed-gene-23.57-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-23.57&CDS=1-2859	YKL050C, YMR031C
OG0000359	-processed-gene-23.64-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-23.64&CDS=1-657	YBR005W, YDR003W
OG0000360	-processed-gene-24.31-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-24.31&CDS=1-1635	YIL158W, YKR100C
OG0000361	-processed-gene-24.14-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-24.14&CDS=1-2316	YDR351W, YHR103W
OG0000362	-processed-gene-24.41-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-24.41&CDS=1-1311	YGR254W, YHR174W
OG0000363	-processed-gene-25.41-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-25.41&CDS=1-3801	YAL017W, YOL045W
OG0000364	-processed-gene-26.23-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-26.23&CDS=1-3441	YDR385W, YOR133W
OG0000365	-processed-gene-26.26-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-26.26&CDS=1-1968	YDR463W, YHR006W
OG0000366	-processed-gene-26.35-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-26.35&CDS=1-768	YGL096W, YPL177C
OG0000367	-processed-gene-27.92-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-27.92&CDS=1-2799	YDR251W, YPL032C
OG0000368	-processed-gene-29.23-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-29.23&CDS=1-3132	YIL156W, YKR098C
OG0000369	-processed-gene-29.24-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-29.24&CDS=1-3228, -processed-gene-35.104-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.104&CDS=1-3228	YNL192W
OG0000370	-augustus-gene-32.4-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-32.4&CDS=1-1773	YBR021W, YIR028W
OG0000371	-processed-gene-32.38-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.38&CDS=1-2694	YBR172C, YPL105C
OG0000372	-snap-gene-32.3-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-snap-gene-32.3&CDS=1-3276	YMR237W, YOR299W
OG0000373	-processed-gene-33.67-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.67&CDS=1-3501	YNL087W, YOR086C
OG0000374	-augustus-gene-0.33-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-augustus-gene-0.33&CDS=1-3363	YJL172W, YOL153C
OG0000375	-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-0.61&CDS=1-1974, -processed-gene-25.95-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-25.95&CDS=1-2268	YBR086C
OG0000376	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-0.11&CDS=1-960, -processed-gene-9.47-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-9.47&CDS=1-951	YHR104W
OG0000377	-processed-gene-1.95-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.95&CDS=1-3486	YHR155W, YNL257C
OG0000378	-processed-gene-1.107-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.107&CDS=1-729	YHR043C, YHR044C
OG0000379	-processed-gene-1.117-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.117&CDS=1-1719	YDR358W, YHR108W
OG0000380	-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.29&CDS=1-423	YER074W, YIL069C
OG0000381	-processed-gene-2.33-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.33&CDS=1-1227	YDL127W, YDL179W
OG0000382	-processed-gene-2.68-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.68&CDS=1-525	YMR242C, YOR312C
OG0000383	-snap-gene-2.3-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-2.3&CDS=1-3177	YDR379W, YOR127W
OG0000384	-processed-gene-3.79-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.79&CDS=1-3819	YDR122W, YLR096W
OG0000385	-processed-gene-3.111-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.111&CDS=1-2199	YER059W, YIL050W
OG0000386	-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.16&CDS=1-639	YER057C, YIL051C
OG0000387	-processed-gene-19.69-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-19.69&CDS=1-678, -processed-gene-5.60-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-5.60&CDS=1-678	YLR118C
OG0000388	-snap-gene-5.41-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-5.41&CDS=1-2478	YHR141C, YNL162W
OG0000389	-processed-gene-5.65-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-5.65&CDS=1-2304	YHR131C, YNL144C
OG0000390	-processed-gene-6.86-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-6.86&CDS=1-1431	YJR054W, YML047C
OG0000391	-processed-gene-6.94-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-6.94&CDS=1-2577	YJR059W, YKL198C
OG0000392	-processed-gene-7.79-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-7.79&CDS=1-816	YCR010C, YNR002C
OG0000393	-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-7.49&CDS=1-246	YHR021C, YKL156W
OG0000394	-processed-gene-35.109-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-35.109&CDS=1-1458, -processed-gene-7.114-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-7.114&CDS=1-1434	YDL238C
OG0000395	-snap-gene-8.46-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-8.46&CDS=1-4572	YOR227W, YPL137C
OG0000396	-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-8.40&CDS=1-252	YDR500C, YLR185W
OG0000397	-snap-gene-8.48-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-8.48&CDS=1-3369	YDR502C, YLR180W
OG0000398	-processed-gene-8.72-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-8.72&CDS=1-1962	YDR505C, YLR177W
OG0000399	-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-9.27&CDS=1-4794	YBR024W, YBR037C
OG0000400	-processed-gene-9.71-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-9.71&CDS=1-357	YAL030W, YOR327C
OG0000401	-processed-gene-9.77-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-9.77&CDS=1-1122	YCR105W, YMR318C
OG0000402	-processed-gene-10.118-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-10.118&CDS=1-1416	YDR132C, YLR108C
OG0000403	-processed-gene-34.108-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-34.108&CDS=1-2424, -snap-gene-10.88-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-10.88&CDS=1-2481	YJR126C
OG0000404	-snap-gene-10.90-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-10.90&CDS=1-3273	YGR092W, YPR111W
OG0000405	-processed-gene-11.94-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-11.94&CDS=1-2484	YDL036C, YOL066C
OG0000406	-processed-gene-11.36-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-11.36&CDS=1-4470	YGR070W, YLR371W
OG0000407	-processed-gene-12.108-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-12.108&CDS=1-360	YMR230W, YOR293W
OG0000408	-processed-gene-12.117-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-12.117&CDS=1-492	YDR178W, YLR164W
OG0000409	-processed-gene-12.98-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-12.98&CDS=1-1995	YKL126W, YMR104C
OG0000410	-processed-gene-13.63-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-13.63&CDS=1-846	YNL098C, YOR101W
OG0000411	-processed-gene-14.102-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-14.102&CDS=1-903, -processed-gene-19.68-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-19.68&CDS=1-807	YKL150W
OG0000412	-processed-gene-15.112-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-15.112&CDS=1-402	YCL035C, YDR513W
OG0000413	-processed-gene-17.110-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-17.110&CDS=1-2436	YER066W, YFL009W
OG0000414	-processed-gene-18.77-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-18.77&CDS=1-1728	YDR253C, YPL038W
OG0000415	-processed-gene-18.96-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-18.96&CDS=1-2538	YOR256C, YPL176C
OG0000416	-processed-gene-18.151-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-18.151&CDS=1-2697, -processed-gene-29.72-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-29.72&CDS=1-885	YPL174C
OG0000417	-processed-gene-19.104-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-19.104&CDS=1-588	YDL082W, YMR142C
OG0000418	-processed-gene-19.44-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-19.44&CDS=1-426	YDL083C, YMR143W
OG0000419	-processed-gene-20.98-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-20.98&CDS=1-2424	YBR294W, YLR092W
OG0000420	-processed-gene-20.31-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-20.31&CDS=1-294	YJR094W-A, YPR043W
OG0000421	-processed-gene-21.10-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-21.10&CDS=1-3657	YJR091C, YPR042C
OG0000422	-processed-gene-22.45-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-22.45&CDS=1-1833	YDR200C, YLR238W
OG0000423	-processed-gene-22.8-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-22.8&CDS=1-3078	YDR206W, YLR233C
OG0000424	-processed-gene-23.46-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-23.46&CDS=1-2382	YFL050C, YOL130W
OG0000425	-processed-gene-23.18-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-23.18&CDS=1-3216	YGL049C, YGR162W
OG0000426	-processed-gene-24.50-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-24.50&CDS=1-1770	YBR273C, YJL048C
OG0000427	-processed-gene-24.85-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-24.85&CDS=1-2694, -processed-gene-33.21-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-33.21&CDS=1-2688	YGL008C
OG0000428	-processed-gene-25.8-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-25.8&CDS=1-765	YFR031C-A, YIL018W
OG0000429	-processed-gene-25.23-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-25.23&CDS=1-780	YHL033C, YLL045C
OG0000430	-snap-gene-25.124-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-25.124&CDS=1-1551	YHR115C, YNL116W
OG0000431	-processed-gene-26.40-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-26.40&CDS=1-978	YMR172W, YOL116W
OG0000432	-processed-gene-27.90-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-27.90&CDS=1-5880	YIL149C, YKR095W
OG0000433	-processed-gene-28.91-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-28.91&CDS=1-2400	YIL095W, YNL020C
OG0000434	-processed-gene-28.92-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-28.92&CDS=1-2778	YAL056W, YOR371C
OG0000435	-processed-gene-28.115-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-28.115&CDS=1-477	YGR209C, YLR043C
OG0000436	-processed-gene-29.50-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-29.50&CDS=1-1338	YCL048W, YDR522C
OG0000437	-snap-gene-29.43-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-29.43&CDS=1-2064	YEL041W, YJR049C
