	Cyberlindnera_fabianii_JCM3601	Saccharomyces_cerevisiae
OG0000585	-processed-gene-3.174-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.174&CDS=1-1071	YHR025W
OG0000586	-processed-gene-3.147-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.147&CDS=1-1479	YHR024C
OG0000587	-processed-gene-3.175-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.175&CDS=1-2859	YHR027C
OG0000588	-processed-gene-3.177-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.177&CDS=1-2373	YHR028C
OG0000589	-processed-gene-3.178-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.178&CDS=1-1401	YHR030C
OG0000590	-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.77&CDS=1-1581	YHR048W
OG0000591	-processed-gene-3.183-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.183&CDS=1-741	YKL152C
OG0000592	-processed-gene-3.150-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.150&CDS=1-735	YKL159C
OG0000593	-processed-gene-3.185-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.185&CDS=1-1152	YHR052W
OG0000594	-processed-gene-3.12-mRNA-1_1&gene=genemark-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.12&CDS=1-372	YKL160W
OG0000595	-processed-gene-3.186-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.186&CDS=1-450	YHR051W
OG0000596	-processed-gene-3.152-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.152&CDS=1-1284	YEL002C
OG0000597	-processed-gene-3.188-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.188&CDS=1-336	YEL003W
OG0000598	-processed-gene-3.153-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.153&CDS=1-696	YER148W
OG0000599	-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.117&CDS=1-2403	YER151C
OG0000600	-processed-gene-3.155-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.155&CDS=1-669	YER002W
OG0000601	-processed-gene-3.192-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.192&CDS=1-1287	YER003C
OG0000602	-processed-gene-3.193-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.193&CDS=1-1410	YOL030W
OG0000603	-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.122&CDS=1-2022	YIR003W
OG0000604	-snap-gene-3.209-mRNA-1_1&gene=maker-gi|1002316263|dbj|BCGI01000007.1|-snap-gene-3.209&CDS=1-378	YER009W
OG0000605	-processed-gene-3.156-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.156&CDS=1-1995	YOR017W
OG0000606	-processed-gene-3.198-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.198&CDS=1-912	YMR010W
OG0000607	-processed-gene-3.199-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.199&CDS=1-1155	YEL004W
OG0000608	-processed-gene-3.200-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.200&CDS=1-2136	YIL005W
OG0000609	-processed-gene-3.157-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.157&CDS=1-1830	YEL007W
OG0000610	-processed-gene-3.19-mRNA-1_1&gene=genemark-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.19&CDS=1-1062	YIL006W
OG0000611	-processed-gene-3.159-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.159&CDS=1-918	YDR075W
OG0000612	-processed-gene-3.161-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.161&CDS=1-522	YMR009W
OG0000613	-snap-gene-3.210-mRNA-1_1&gene=maker-gi|1002316263|dbj|BCGI01000007.1|-snap-gene-3.210&CDS=1-2577	YDR074W
OG0000614	-processed-gene-3.163-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.163&CDS=1-1374	YDR191W
OG0000615	-processed-gene-3.203-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.203&CDS=1-816	YLR243W
OG0000616	-processed-gene-3.204-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.204&CDS=1-2517	YNL127W
OG0000617	-processed-gene-3.25-mRNA-1_1&gene=genemark-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.25&CDS=1-2517	YNL126W
OG0000618	-processed-gene-3.205-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.205&CDS=1-1020	YFL029C
OG0000619	-processed-gene-3.167-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.167&CDS=1-1122	YFL027C
OG0000620	-processed-gene-3.206-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.206&CDS=1-1710	YLR055C
OG0000621	-processed-gene-3.168-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.168&CDS=1-957	YFL028C
OG0000622	-processed-gene-3.169-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-3.169&CDS=1-1134	YLR056W
OG0000623	-processed-gene-0.132-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.132&CDS=1-774	YML097C
OG0000624	-processed-gene-0.106-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.106&CDS=1-1458	YML096W
OG0000625	-processed-gene-0.80-mRNA-1_1&gene=genemark-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.80&CDS=1-669	YML095C
OG0000626	-processed-gene-0.107-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.107&CDS=1-480	YML094W
OG0000627	-processed-gene-0.108-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.108&CDS=1-2697	YML093W
OG0000628	-snap-gene-0.96-mRNA-1_1&gene=maker-gi|1002316264|dbj|BCGI01000006.1|-snap-gene-0.96&CDS=1-750	YML092C
OG0000629	-processed-gene-0.109-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.109&CDS=1-2082	YER173W
OG0000630	-processed-gene-0.136-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.136&CDS=1-2232	YML091C
OG0000631	-processed-gene-0.137-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.137&CDS=1-1341	YML126C
OG0000632	-processed-gene-0.138-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.138&CDS=1-1527	YML127W
OG0000633	-augustus-gene-0.146-mRNA-1_1&gene=maker-gi|1002316264|dbj|BCGI01000006.1|-augustus-gene-0.146&CDS=1-1785	YML128C
OG0000634	-processed-gene-0.114-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.114&CDS=1-2523	YER169W
OG0000635	-processed-gene-0.117-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.117&CDS=1-1008	YOR313C
OG0000636	-processed-gene-0.143-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.143&CDS=1-1542	YOR310C
OG0000637	-processed-gene-0.119-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.119&CDS=1-942	YOR311C
OG0000638	-processed-gene-1.102-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.102&CDS=1-1395	YMR243C
OG0000639	-processed-gene-1.128-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.128&CDS=1-1881	YOR308C
OG0000640	-processed-gene-1.130-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.130&CDS=1-657	YBR096W
OG0000641	-processed-gene-1.108-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.108&CDS=1-1047	YLR181C
OG0000642	-processed-gene-1.110-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.110&CDS=1-528	YLR370C
OG0000643	-processed-gene-1.111-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.111&CDS=1-2307	YDR160W
OG0000644	-processed-gene-1.135-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.135&CDS=1-672	YER170W
OG0000645	-processed-gene-1.136-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.136&CDS=1-3675	YDR097C
OG0000646	-processed-gene-1.112-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.112&CDS=1-4026	YPR189W
OG0000647	-processed-gene-1.114-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.114&CDS=1-4260	YLR371W
OG0000648	-processed-gene-1.116-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.116&CDS=1-315	YCL057C-A
OG0000649	-processed-gene-1.142-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.142&CDS=1-1011	YHR076W
OG0000650	-processed-gene-1.118-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.118&CDS=1-282	YDR322C-A
OG0000651	-processed-gene-1.143-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.143&CDS=1-1101	YDR322W
OG0000652	-snap-gene-1.2-mRNA-1_1&gene=maker-gi|1002316264|dbj|BCGI01000006.1|-snap-gene-1.2&CDS=1-213	YNL259C
OG0000653	-processed-gene-1.145-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.145&CDS=1-459	YNL260C
OG0000654	-processed-gene-1.120-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.120&CDS=1-2004	YCL057W
OG0000655	-processed-gene-1.146-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.146&CDS=1-2868	YHR077C
OG0000656	-processed-gene-1.121-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.121&CDS=1-1893	YDR323C
OG0000657	-processed-gene-1.122-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.122&CDS=1-1287	YNL261W
OG0000658	-processed-gene-1.123-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.123&CDS=1-804	YML112W
OG0000659	-processed-gene-1.29-mRNA-1_1&gene=genemark-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.29&CDS=1-972	YMR262W
OG0000660	-processed-gene-1.124-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.124&CDS=1-1569	YBL015W
OG0000661	-processed-gene-2.10-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.10&CDS=1-1836	YML088W
OG0000662	-processed-gene-2.7-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.7&CDS=1-453	YMR260C
OG0000663	-processed-gene-2.8-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.8&CDS=1-3951	YMR259C
OG0000664	-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.115&CDS=1-1800	YER049W
OG0000665	-processed-gene-2.31-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.31&CDS=1-291	YER048W-A
OG0000666	-processed-gene-2.15-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.15&CDS=1-1227	YER048C
OG0000667	-processed-gene-2.33-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.33&CDS=1-2340	YER171W
OG0000668	-processed-gene-2.18-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.18&CDS=1-609	YER128W
OG0000669	-processed-gene-2.19-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.19&CDS=1-594	YGL200C
OG0000670	-processed-gene-2.38-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.38&CDS=1-2400	YLL001W
OG0000671	-processed-gene-2.39-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.39&CDS=1-1269	YLL002W
OG0000672	-processed-gene-2.63-mRNA-1_1&gene=genemark-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.63&CDS=1-2220	YJR119C
OG0000673	-processed-gene-2.22-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.22&CDS=1-849	YKL107W
OG0000674	-processed-gene-2.24-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.24&CDS=1-651	YHL031C
OG0000675	-processed-gene-2.40-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.40&CDS=1-816	YLL041C
OG0000676	-snap-gene-2.4-mRNA-1_1&gene=maker-gi|1002316264|dbj|BCGI01000006.1|-snap-gene-2.4&CDS=1-1374	YGL164C
OG0000677	-processed-gene-2.42-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.42&CDS=1-1311	YGL166W
OG0000678	-processed-gene-2.46-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.46&CDS=1-3864	YFL036W
OG0000679	-processed-gene-3.117-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.117&CDS=1-663	YLR025W
OG0000680	-processed-gene-2.47-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.47&CDS=1-1524	YMR131C
OG0000681	-processed-gene-3.119-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.119&CDS=1-924	YLR026C
OG0000682	-processed-gene-3.121-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.121&CDS=1-2508	YGL163C
OG0000683	-processed-gene-3.122-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.122&CDS=1-852	YFL034C-B
OG0000684	-processed-gene-3.123-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.123&CDS=1-852	YKL087C
OG0000685	-processed-gene-3.126-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.126&CDS=1-276	YHR005C-A
OG0000686	-processed-gene-3.124-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.124&CDS=1-1503	YKL035W
OG0000687	-processed-gene-3.151-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.151&CDS=1-636	YAL003W
OG0000688	-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.20&CDS=1-1782	YLR321C
OG0000689	-processed-gene-3.152-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.152&CDS=1-1452	YNL062C
OG0000690	-processed-gene-3.129-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.129&CDS=1-1890	YNL061W
OG0000691	-processed-gene-3.153-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.153&CDS=1-2217	YNL059C
OG0000692	-processed-gene-3.130-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.130&CDS=1-1614	YNL138W
OG0000693	-processed-gene-3.154-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.154&CDS=1-1434	YNL137C
OG0000694	-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.23&CDS=1-1422	YNL136W
OG0000695	-processed-gene-3.155-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.155&CDS=1-405	YNL135C
OG0000696	-processed-gene-3.156-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.156&CDS=1-1392	YGR002C
OG0000697	-processed-gene-3.134-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.134&CDS=1-2253	YGR003W
OG0000698	-processed-gene-3.80-mRNA-1_1&gene=genemark-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.80&CDS=1-2250	YLR319C
OG0000699	-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.48&CDS=1-1989	YLR318W
OG0000700	-processed-gene-3.136-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.136&CDS=1-939	YLR316C
OG0000701	-processed-gene-3.161-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.161&CDS=1-543	YCL001W
OG0000702	-snap-gene-3.2-mRNA-1_1&gene=maker-gi|1002316264|dbj|BCGI01000006.1|-snap-gene-3.2&CDS=1-642	YCL002C
OG0000703	-processed-gene-3.162-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.162&CDS=1-1446	YCL004W
OG0000704	-processed-gene-3.163-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.163&CDS=1-1164	YNL005C
OG0000705	-processed-gene-3.140-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.140&CDS=1-705	YCL010C
OG0000706	-snap-gene-3.3-mRNA-1_1&gene=maker-gi|1002316264|dbj|BCGI01000006.1|-snap-gene-3.3&CDS=1-408	YCL012C
OG0000707	-processed-gene-3.164-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.164&CDS=1-3723	YCL014W
OG0000708	-processed-gene-3.143-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.143&CDS=1-1044	YCL016C
OG0000709	-processed-gene-3.165-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.165&CDS=1-2655	YNL313C
OG0000710	-processed-gene-3.144-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.144&CDS=1-1653	YNL308C
OG0000711	-processed-gene-3.166-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.166&CDS=1-1407	YCL017C
OG0000712	-processed-gene-3.145-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.145&CDS=1-837	YNL003C
OG0000713	-augustus-gene-3.9-mRNA-1_1&gene=maker-gi|1002316264|dbj|BCGI01000006.1|-augustus-gene-3.9&CDS=1-714	YJL001W
OG0000714	-processed-gene-3.168-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.168&CDS=1-777	YKL154W
OG0000715	-processed-gene-3.169-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.169&CDS=1-2703	YPL195W
OG0000716	-processed-gene-3.148-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.148&CDS=1-567	YGL079W
OG0000717	-processed-gene-3.170-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.170&CDS=1-714	YPL196W
OG0000718	-processed-gene-3.171-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.171&CDS=1-2610	YLR176C
OG0000719	-processed-gene-3.149-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.149&CDS=1-864	YNL002C
OG0000720	-processed-gene-3.150-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-3.150&CDS=1-1092	YCL018W
OG0000721	-processed-gene-4.105-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.105&CDS=1-1482	YDR481C
OG0000722	-processed-gene-4.112-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.112&CDS=1-786	YPL199C
OG0000723	-processed-gene-4.136-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.136&CDS=1-1386	YJL002C
OG0000724	-processed-gene-4.137-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.137&CDS=1-354	YJL003W
OG0000725	-processed-gene-4.115-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.115&CDS=1-2346	YJL154C
OG0000726	-processed-gene-4.138-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.138&CDS=1-1524	YCR098C
OG0000727	-processed-gene-4.118-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.118&CDS=1-1896	YGR077C
OG0000728	-processed-gene-4.139-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.139&CDS=1-1407	YLL011W
OG0000729	-processed-gene-4.120-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.120&CDS=1-966	YLR017W
OG0000730	-processed-gene-4.121-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.121&CDS=1-1050	YLR019W
OG0000731	-processed-gene-4.122-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.122&CDS=1-957	YHR104W
OG0000732	-processed-gene-4.143-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.143&CDS=1-1080	YDR354W
OG0000733	-processed-gene-4.124-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.124&CDS=1-444	YDR092W
OG0000734	-processed-gene-4.144-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.144&CDS=1-1557	YER168C
OG0000735	-processed-gene-4.127-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.127&CDS=1-6432	YER172C
OG0000736	-processed-gene-4.145-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.145&CDS=1-1395	YIL039W
OG0000737	-snap-gene-4.159-mRNA-1_1&gene=maker-gi|1002316264|dbj|BCGI01000006.1|-snap-gene-4.159&CDS=1-1512	YJR121W
OG0000738	-processed-gene-4.147-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.147&CDS=1-849	YER023W
OG0000739	-processed-gene-4.25-mRNA-1_1&gene=genemark-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.25&CDS=1-897	YLR208W
OG0000740	-processed-gene-4.148-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.148&CDS=1-894	YLR209C
OG0000741	-processed-gene-4.149-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.149&CDS=1-1827	YKL191W
OG0000742	-processed-gene-4.151-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.151&CDS=1-2625	YER070W
OG0000743	-snap-gene-5.2-mRNA-1_1&gene=maker-gi|1002316264|dbj|BCGI01000006.1|-snap-gene-5.2&CDS=1-2208	YLR207W
OG0000744	-processed-gene-5.89-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-5.89&CDS=1-1932	YIL067C
OG0000745	-processed-gene-5.90-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-5.90&CDS=1-3555	YBR218C
OG0000746	-processed-gene-5.115-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-5.115&CDS=1-1377	YDR023W
OG0000747	-processed-gene-5.93-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-5.93&CDS=1-2091	YGR145W
OG0000748	-processed-gene-5.117-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-5.117&CDS=1-480	YJR118C
OG0000749	-processed-gene-5.97-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-5.97&CDS=1-1824	YBR043C
OG0000750	-processed-gene-5.15-mRNA-1_1&gene=genemark-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-5.15&CDS=1-1191	YMR209C
OG0000751	-processed-gene-5.99-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-5.99&CDS=1-516	YDR248C
OG0000752	-processed-gene-5.120-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-5.120&CDS=1-2196	YPL029W
OG0000753	-processed-gene-5.121-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-5.121&CDS=1-2349	YDL040C
