	Saccharomyces_cerevisiae	Saitoella_complicata
OG0000384	YIL042C	XP_019021878.1, XP_019025955.1
OG0000385	YIL105C, YNL047C	XP_019027575.1
OG0000386	YIL110W	XP_019023992.1, XP_019026231.1
OG0000387	YIL111W, YNL052W	XP_019024280.1
OG0000388	YIL114C, YNL055C	XP_019024071.1
OG0000389	YIL131C, YNL068C	XP_019022031.1
OG0000390	YIL148W, YKR094C	XP_019025583.1
OG0000391	YIL149C, YKR095W	XP_019024464.1
OG0000392	YIL150C	XP_019020991.1, XP_019023757.1
OG0000393	YIL151C, YKR096W	XP_019026074.1
OG0000394	YIL154C	XP_019024537.1, XP_019024839.1
OG0000395	YIR009W	XP_019022784.1, XP_019025117.1
OG0000396	YIR031C, YNL117W	XP_019027281.1
OG0000397	YIR033W, YKL020C	XP_019021305.1
OG0000398	YIR034C	XP_019026651.1, XP_019026939.1
OG0000399	YIR035C, YIR036C	XP_019026855.1
OG0000400	YJL011C	XP_019021110.1, XP_019025937.1
OG0000401	YJL079C	XP_019023372.1, XP_019024349.1
OG0000402	YJL082W, YKR018C	XP_019027157.1
OG0000403	YJL084C, YKR021W	XP_019026179.1
OG0000404	YJL098W, YKR028W	XP_019024601.1
OG0000405	YJL116C, YKR042W	XP_019023942.1
OG0000406	YJL133W, YKR052C	XP_019022550.1
OG0000407	YJL134W, YKR053C	XP_019023213.1
OG0000408	YJL136C, YKR057W	XP_019021409.1
OG0000409	YJL137C, YKR058W	XP_019021959.1
OG0000410	YJL177W, YKL180W	XP_019023564.1
OG0000411	YJL180C	XP_019022921.1, XP_019027680.1
OG0000412	YJL212C	XP_019025401.1, XP_019027528.1
OG0000413	YJR016C	XP_019023312.1, XP_019024798.1
OG0000414	YJR040W	XP_019023325.1, XP_019024796.1
OG0000415	YJR057W	XP_019022514.1, XP_019025157.1
OG0000416	YJR061W, YKL201C	XP_019024263.1
OG0000417	YJR084W	XP_019023118.1, XP_019026913.1
OG0000418	YJR091C, YPR042C	XP_019024670.1
OG0000419	YJR094W-A, YPR043W	XP_019024722.1
OG0000420	YJR096W	XP_019021930.1, XP_019023296.1
OG0000421	YJR111C	XP_019021891.1, XP_019026993.1
OG0000422	YJR130C, YML082W	XP_019022564.1
OG0000423	YKL021C	XP_019025627.1, XP_019026448.1
OG0000424	YKL081W, YPL048W	XP_019026811.1
OG0000425	YKL085W	XP_019025556.1, XP_019026769.1
OG0000426	YKL092C	XP_019021434.1, XP_019027631.1
OG0000427	YKL121W, YMR102C	XP_019025521.1
OG0000428	YKL141W, YMR118C	XP_019025180.1
OG0000429	YKL157W	XP_019022895.1, XP_019024294.1
OG0000430	YKL170W	XP_019022922.1, XP_019024766.1
OG0000431	YKL192C	XP_019021254.1, XP_019022480.1
OG0000432	YKL215C	XP_019022024.1, XP_019022214.1
OG0000433	YKR031C	XP_019022113.1, XP_019025989.1
OG0000434	YKR043C	XP_019022764.1, XP_019022831.1
OG0000435	YKR050W	XP_019025312.1, XP_019026954.1
OG0000436	YKR066C	XP_019022900.1, XP_019026314.1
OG0000437	YKR070W	XP_019021625.1, XP_019024269.1
OG0000438	YKR093W	XP_019020847.1, XP_019025137.1
OG0000439	YLL012W, YLR020C	XP_019022105.1
OG0000440	YLL019C	XP_019020872.1, XP_019025927.1
OG0000441	YLL056C	XP_019020981.1, XP_019022879.1
OG0000442	YLR027C	XP_019020927.1, XP_019027516.1
OG0000443	YLR058C	XP_019023260.1, XP_019027500.1
OG0000444	YLR100W	XP_019021767.1, XP_019022675.1
OG0000445	YLR109W	XP_019022552.1, XP_019026298.1
OG0000446	YLR138W	XP_019021288.1, XP_019026304.1
OG0000447	YLR178C, YLR179C	XP_019023499.1
OG0000448	YLR237W, YOR071C, YOR192C	
OG0000449	YLR260W, YOR171C	XP_019027105.1
OG0000450	YLR264W, YOR167C	XP_019026382.1
OG0000451	YLR270W, YOR173W	XP_019025087.1
OG0000452	YLR284C, YOR180C	XP_019022999.1
OG0000453	YLR286C	XP_019022118.1, XP_019023782.1
OG0000454	YLR287C-A, YOR182C	XP_019027371.1
OG0000455	YLR291C	XP_019023005.1, XP_019025822.1
OG0000456	YLR299W	XP_019024970.1, XP_019025036.1
OG0000457	YLR393W	XP_019023015.1, XP_019027156.1
OG0000458	YLR420W	XP_019021750.1, XP_019023800.1
OG0000459	YLR441C, YML063W	XP_019025540.1
OG0000460	YLR449W, YML074C	XP_019021125.1
OG0000461	YLR450W, YML075C	XP_019021338.1
OG0000462	YLR456W, YPR172W	XP_019026535.1
OG0000463	YML054C	XP_019023621.1, XP_019024022.1
OG0000464	YML106W, YMR271C	XP_019026550.1
OG0000465	YML109W, YMR273C	XP_019025008.1
OG0000466	YML118W, YMR285C	XP_019026812.1
OG0000467	YML131W	XP_019025218.1, XP_019025475.1
OG0000468	YMR027W	XP_019025673.1, XP_019027403.1
OG0000469	YMR035W	XP_019025570.1, XP_019026884.1
OG0000470	YMR110C	XP_019025988.1, XP_019026090.1
OG0000471	YMR119W, YNL008C	XP_019027231.1
OG0000472	YMR123W	XP_019022103.1, XP_019026015.1
OG0000473	YMR152W	XP_019022656.1, XP_019026916.1
OG0000474	YMR177W, YPL224C	XP_019022484.1
OG0000475	YMR183C, YPL232W	XP_019022273.1
OG0000476	YMR190C	XP_019021142.1, XP_019025545.1
OG0000477	YMR194W, YPL249C-A	XP_019022778.1
OG0000478	YMR222C, YOR280C	XP_019027288.1
OG0000479	YMR230W, YOR293W	XP_019021740.1
OG0000480	YMR233W, YOR295W	XP_019026356.1
OG0000481	YMR237W, YOR299W	XP_019022662.1
OG0000482	YMR242C, YOR312C	XP_019026960.1
OG0000483	YMR243C, YOR316C	XP_019026605.1
OG0000484	YMR256C	XP_019024981.1, XP_019027549.1
OG0000485	YMR262W	XP_019024546.1, XP_019027733.1
OG0000486	YMR266W	XP_019021079.1, XP_019022786.1
OG0000487	YNL026W	XP_019022531.1, XP_019024878.1
OG0000488	YNL087W, YOR086C	XP_019021341.1
OG0000489	YNL096C, YOR096W	XP_019021980.1
OG0000490	YNL104C, YOR108W	XP_019026704.1
OG0000491	YNL106C, YOR109W	XP_019022918.1
OG0000492	YNL108C, YOR110W	XP_019025644.1
OG0000493	YNL167C	XP_019021421.1, XP_019026203.1
OG0000494	YNL231C, YNL264C	XP_019026175.1
OG0000495	YNL260C	XP_019022376.1, XP_019027679.1
OG0000496	YNL280C	XP_019022011.1, XP_019025787.1
OG0000497	YNL299W, YOL115W	XP_019024883.1
OG0000498	YNL301C, YOL120C	XP_019021267.1
OG0000499	YNL302C, YOL121C	XP_019021351.1
OG0000500	YNL326C	XP_019023853.1, XP_019025464.1
OG0000501	YNR003C	XP_019024118.1, XP_019025883.1
OG0000502	YNR050C	XP_019026439.1, XP_019026784.1
OG0000503	YOL009C	XP_019022377.1, XP_019026915.1
OG0000504	YOL064C	XP_019024589.1, XP_019026932.1
OG0000505	YOL142W	XP_019021586.1, XP_019022455.1
OG0000506	YOR049C	XP_019021478.1, XP_019023382.1
OG0000507	YOR075W	XP_019022731.1, XP_019022872.1
OG0000508	YOR084W	XP_019021038.1, XP_019027207.1
OG0000509	YOR089C	XP_019021983.1, XP_019022303.1
OG0000510	YOR224C	XP_019022574.1, XP_019026740.1
OG0000511	YOR233W, YPL141C	XP_019020964.1
OG0000512	YOR234C, YPL143W	XP_019023522.1
OG0000513	YOR237W, YPL145C	XP_019021041.1
OG0000514	YOR320C	XP_019021332.1, XP_019023797.1
OG0000515	YOR346W	XP_019021123.1, XP_019022363.1
OG0000516	YOR359W	XP_019022502.1, XP_019023328.1
OG0000517	YOR389W, YPL277C	XP_019027236.1
OG0000518	YOR390W, YPL279C	XP_019022270.1
OG0000519	YPL028W	XP_019022180.1, XP_019023093.1
OG0000520	YPL083C	XP_019023308.1, XP_019023350.1
OG0000521	YPL092W	XP_019022055.1, XP_019023811.1
OG0000522	YPL122C	XP_019023659.1, XP_019023790.1
OG0000523	YPL174C	XP_019024346.1, XP_019027474.1
OG0000524	YPL181W	XP_019020877.1, XP_019025083.1
OG0000525	YPL214C	XP_019023275.1, XP_019027630.1
OG0000526	YPL226W	XP_019024182.1, XP_019026130.1
OG0000527	YPL249C	XP_019025949.1, XP_019026878.1
OG0000528	YPL252C	XP_019025156.1, XP_019026010.1
OG0000529	YPR048W	XP_019021054.1, XP_019025506.1
OG0000530	YPR128C	XP_019022532.1, XP_019024339.1
OG0000531	YPR159W	XP_019021876.1, XP_019026725.1
OG0000532	YPR169W-A, YPR170W-B	XP_019025691.1
OG0000533	YAL002W	XP_019022081.1
OG0000534	YAL003W	XP_019020823.1
OG0000535	YAL010C	XP_019025481.1
OG0000536	YAL013W	XP_019023504.1
OG0000537	YAL016W	XP_019021913.1
OG0000538	YAL019W	XP_019022163.1
OG0000539	YAL020C	XP_019024822.1
OG0000540	YAL021C	XP_019022526.1
OG0000541	YAL022C	XP_019024804.1
OG0000542	YAL024C	XP_019023080.1
OG0000543	YAL025C	XP_019023022.1
OG0000544	YAL032C	XP_019025161.1
OG0000545	YAL033W	XP_019026344.1
OG0000546	YAL034W-A	XP_019025991.1
OG0000547	YAL035W	XP_019022092.1
OG0000548	YAL036C	XP_019021954.1
OG0000549	YAL038W	XP_019022336.1
OG0000550	YAL039C	XP_019024824.1
OG0000551	YAL041W	XP_019024577.1
OG0000552	YAL042W	XP_019022210.1
OG0000553	YAL043C	XP_019023403.1
OG0000554	YAL044C	XP_019026272.1
OG0000555	YAL044W-A	XP_019020720.1
OG0000556	YAL046C	XP_019026413.1
OG0000557	YAL048C	XP_019025009.1
OG0000558	YAL053W	XP_019025759.1
OG0000559	YAL058W	XP_019022135.1
OG0000560	YAL062W	XP_019021537.1
OG0000561	YAR003W	XP_019026987.1
OG0000562	YAR007C	XP_019021229.1
OG0000563	YAR008W	XP_019024273.1
OG0000564	YAR014C	XP_019026255.1
OG0000565	YAR015W	XP_019021629.1
OG0000566	YAR018C	XP_019022716.1
OG0000567	YAR035W	XP_019024342.1
OG0000568	YBL001C	XP_019025185.1
OG0000569	YBL002W	XP_019022504.1
OG0000570	YBL004W	XP_019021103.1
OG0000571	YBL007C	XP_019023337.1
OG0000572	YBL008W	XP_019024172.1
OG0000573	YBL011W	XP_019024422.1
OG0000574	YBL015W	XP_019024993.1
OG0000575	YBL016W	XP_019022454.1
OG0000576	YBL019W	XP_019021701.1
OG0000577	YBL020W	XP_019023591.1
OG0000578	YBL021C	XP_019026581.1
OG0000579	YBL022C	XP_019022071.1
OG0000580	YBL023C	XP_019023830.1
OG0000581	YBL024W	XP_019023127.1
OG0000582	YBL026W	XP_019026589.1
OG0000583	YBL033C	XP_019023832.1
OG0000584	YBL034C	XP_019026746.1
OG0000585	YBL035C	XP_019026224.1
OG0000586	YBL036C	XP_019026858.1
OG0000587	YBL038W	XP_019021818.1
OG0000588	YBL040C	XP_019024312.1
OG0000589	YBL041W	XP_019022873.1
OG0000590	YBL047C	XP_019024201.1
OG0000591	YBL049W	XP_019022028.1
OG0000592	YBL050W	XP_019027476.1
OG0000593	YBL055C	XP_019023959.1
OG0000594	YBL057C	XP_019027517.1
OG0000595	YBL058W	XP_019022762.1
OG0000596	YBL064C	XP_019022207.1
OG0000597	YBL071W-A	XP_019023315.1
OG0000598	YBL076C	XP_019023082.1
OG0000599	YBL078C	XP_019024348.1
OG0000600	YBL080C	XP_019027503.1
OG0000601	YBL082C	XP_019024334.1
OG0000602	YBL084C	XP_019024820.1
OG0000603	YBL085W	XP_019024629.1
OG0000604	YBL086C	XP_019021975.1
OG0000605	YBL090W	XP_019022356.1
OG0000606	YBL091C	XP_019024069.1
OG0000607	YBL092W	XP_019025518.1
OG0000608	YBL093C	XP_019020827.1
OG0000609	YBL095W	XP_019027151.1
OG0000610	YBL097W	XP_019026404.1
OG0000611	YBL098W	XP_019022316.1
OG0000612	YBL099W	XP_019023374.1
OG0000613	YBL102W	XP_019021451.1
OG0000614	YBL103C	XP_019021506.1
OG0000615	YBL104C	XP_019021957.1
OG0000616	YBL105C	XP_019023227.1
OG0000617	YBR002C	XP_019024606.1
OG0000618	YBR003W	XP_019020738.1
OG0000619	YBR004C	XP_019021439.1
OG0000620	YBR011C	XP_019026586.1
OG0000621	YBR017C	XP_019025669.1
OG0000622	YBR018C	XP_019026502.1
OG0000623	YBR019C	XP_019023232.1
OG0000624	YBR023C	XP_019026612.1
OG0000625	YBR025C	XP_019024054.1
OG0000626	YBR026C	XP_019024226.1
OG0000627	YBR029C	XP_019026718.1
OG0000628	YBR030W	XP_019027489.1
OG0000629	YBR033W, YKL038W	
OG0000630	YBR034C	XP_019022695.1
OG0000631	YBR035C	XP_019025000.1
OG0000632	YBR037C	XP_019023679.1
OG0000633	YBR039W	XP_019026619.1
OG0000634	YBR041W	XP_019027311.1
OG0000635	YBR042C	XP_019025672.1
OG0000636	YBR046C	XP_019021950.1
OG0000637	YBR053C	XP_019022389.1
OG0000638	YBR055C	XP_019021275.1
OG0000639	YBR057C	XP_019025860.1
OG0000640	YBR058C	XP_019021250.1
OG0000641	YBR060C	XP_019023612.1
OG0000642	YBR061C	XP_019027124.1
OG0000643	YBR062C	XP_019023711.1
OG0000644	YBR065C	XP_019023647.1
OG0000645	YBR070C	XP_019022449.1
OG0000646	YBR079C	XP_019021845.1
OG0000647	YBR080C	XP_019023098.1
OG0000648	YBR081C	XP_019027687.1
OG0000649	YBR083W	XP_019026994.1
OG0000650	YBR084W	XP_019025766.1
OG0000651	YBR086C	XP_019026836.1
OG0000652	YBR087W	XP_019021813.1
OG0000653	YBR088C	XP_019023443.1
OG0000654	YBR094W	XP_019021052.1
OG0000655	YBR096W	XP_019021300.1
OG0000656	YBR097W	XP_019023285.1
OG0000657	YBR101C	XP_019025951.1
OG0000658	YBR102C	XP_019023184.1
OG0000659	YBR103W	XP_019021869.1
OG0000660	YBR106W	XP_019024216.1
OG0000661	YBR109C	XP_019024813.1
OG0000662	YBR110W	XP_019026389.1
OG0000663	YBR111C	XP_019026050.1
OG0000664	YBR111W-A	XP_019026299.1
OG0000665	YBR112C	XP_019021865.1
OG0000666	YBR114W	XP_019022866.1
OG0000667	YBR115C	XP_019027430.1
OG0000668	YBR121C	XP_019025632.1
OG0000669	YBR122C	XP_019022534.1
OG0000670	YBR123C	XP_019021712.1
OG0000671	YBR126C	XP_019022547.1
OG0000672	YBR127C	XP_019027449.1
OG0000673	YBR133C	XP_019023209.1
OG0000674	YBR135W	XP_019026653.1
OG0000675	YBR137W	XP_019026009.1
OG0000676	YBR141C	XP_019023023.1
OG0000677	YBR142W	XP_019027102.1
OG0000678	YBR143C	XP_019022975.1
OG0000679	YBR146W	XP_019026810.1
OG0000680	YBR151W	XP_019025374.1
OG0000681	YBR153W	XP_019026032.1
OG0000682	YBR154C	XP_019026490.1
OG0000683	YBR155W	XP_019025819.1
OG0000684	YBR156C	XP_019025818.1
OG0000685	YBR159W	XP_019020979.1
OG0000686	YBR162C	XP_019022189.1
OG0000687	YBR166C	XP_019025451.1
OG0000688	YBR167C	XP_019022930.1
OG0000689	YBR170C	XP_019023394.1
OG0000690	YBR171W	XP_019023393.1
OG0000691	YBR173C	XP_019027163.1
OG0000692	YBR175W	XP_019024617.1
OG0000693	YBR179C	XP_019026262.1
OG0000694	YBR186W	XP_019026443.1
OG0000695	YBR187W	XP_019021714.1
OG0000696	YBR189W	XP_019021685.1
OG0000697	YBR192W	XP_019021683.1
OG0000698	YBR193C	XP_019022369.1
OG0000699	YBR196C	XP_019022623.1
OG0000700	YBR198C	XP_019022530.1
OG0000701	YBR200W	XP_019022667.1
OG0000702	YBR201W	XP_019022960.1
OG0000703	YBR202W	XP_019026315.1
OG0000704	YBR204C	XP_019021349.1
OG0000705	YBR208C	XP_019025170.1
OG0000706	YBR213W	XP_019021087.1
OG0000707	YBR215W	XP_019022472.1
OG0000708	YBR217W	XP_019025014.1
OG0000709	YBR218C	XP_019026447.1
OG0000710	YBR220C	XP_019021733.1
OG0000711	YBR221C	XP_019023648.1
OG0000712	YBR222C	XP_019023988.1
OG0000713	YBR223C	XP_019024481.1
OG0000714	YBR227C	XP_019021276.1
OG0000715	YBR228W	XP_019025173.1
OG0000716	YBR229C	XP_019025213.1
OG0000717	YBR231C	XP_019025855.1
OG0000718	YBR233W-A	XP_019026467.1
OG0000719	YBR234C	XP_019022939.1
OG0000720	YBR235W	XP_019022942.1
OG0000721	YBR236C	XP_019027174.1
OG0000722	YBR243C	XP_019022742.1
OG0000723	YBR246W	XP_019022576.1
OG0000724	YBR247C	XP_019023625.1
OG0000725	YBR248C	XP_019021282.1
OG0000726	YBR251W	XP_019023246.1
OG0000727	YBR252W	XP_019026415.1
OG0000728	YBR256C	XP_019022682.1
OG0000729	YBR257W	XP_019024713.1
OG0000730	YBR261C	XP_019022285.1
OG0000731	YBR265W	XP_019026698.1
OG0000732	YBR267W	XP_019023700.1
OG0000733	YBR269C	XP_019022344.1
OG0000734	YBR271W	XP_019026955.1
OG0000735	YBR274W	XP_019027020.1
OG0000736	YBR276C	XP_019023221.1
OG0000737	YBR279W	XP_019024901.1
OG0000738	YBR280C	XP_019026250.1
OG0000739	YBR281C	XP_019023678.1
OG0000740	YBR287W	XP_019023607.1
OG0000741	YBR289W	XP_019024690.1
OG0000742	YBR290W	XP_019022539.1
OG0000743	YBR291C	XP_019027716.1
OG0000744	YBR296C	XP_019022657.1
OG0000745	YCL001W	XP_019024758.1
OG0000746	YCL004W	XP_019025221.1
OG0000747	YCL008C	XP_019023791.1
OG0000748	YCL009C	XP_019024076.1
OG0000749	YCL010C	XP_019023840.1
OG0000750	YCL012C	XP_019025558.1
OG0000751	YCL016C	XP_019024909.1
OG0000752	YCL017C	XP_019023821.1
OG0000753	YCL018W	XP_019025602.1
OG0000754	YCL030C	XP_019026943.1
OG0000755	YCL031C	XP_019023292.1
OG0000756	YCL033C	XP_019023730.1
OG0000757	YCL034W	XP_019023712.1
OG0000758	YCL038C	XP_019021136.1
OG0000759	YCL043C	XP_019023882.1
OG0000760	YCL045C	XP_019023910.1
OG0000761	YCL047C	XP_019024000.1
OG0000762	YCL054W	XP_019025528.1
OG0000763	YCL055W	XP_019026420.1
OG0000764	YCL057C-A	XP_019023857.1
OG0000765	YCL057W	XP_019027023.1
OG0000766	YCL059C	XP_019027031.1
OG0000767	YCL061C	XP_019025758.1
OG0000768	YCR002C	XP_019024074.1
OG0000769	YCR003W	XP_019024073.1
OG0000770	YCR008W	XP_019026752.1
OG0000771	YCR009C	XP_019026736.1
OG0000772	YCR011C	XP_019022294.1
OG0000773	YCR012W	XP_019027159.1
OG0000774	YCR015C	XP_019026349.1
OG0000775	YCR017C	XP_019027705.1
OG0000776	YCR019W	XP_019026747.1
OG0000777	YCR024C	XP_019021809.1
OG0000778	YCR027C	XP_019022498.1
OG0000779	YCR030C	XP_019025900.1
OG0000780	YCR031C	XP_019025035.1
OG0000781	YCR032W	XP_019023915.1
OG0000782	YCR034W	XP_019025274.1
OG0000783	YCR036W	XP_019021785.1
OG0000784	YCR042C	XP_019022148.1
OG0000785	YCR044C	XP_019022694.1
OG0000786	YCR046C	XP_019025306.1
OG0000787	YCR047C	XP_019026452.1
OG0000788	YCR051W	XP_019021470.1
OG0000789	YCR053W	XP_019023192.1
OG0000790	YCR057C	XP_019025178.1
OG0000791	YCR059C	XP_019026727.1
OG0000792	YCR061W	XP_019027487.1
OG0000793	YCR063W	XP_019025952.1
OG0000794	YCR065W	XP_019025953.1
OG0000795	YCR066W	XP_019025113.1
OG0000796	YCR068W	XP_019024975.1
OG0000797	YCR071C	XP_019027614.1
OG0000798	YCR072C	XP_019026369.1
OG0000799	YCR075C	XP_019021879.1
OG0000800	YCR077C	XP_019023297.1
OG0000801	YCR079W	XP_019026441.1
OG0000802	YCR081W	XP_019021699.1
OG0000803	YCR084C	XP_019023046.1
OG0000804	YCR087C-A	XP_019026436.1
OG0000805	YCR088W	XP_019023349.1
OG0000806	YCR090C	XP_019023211.1
OG0000807	YCR091W	XP_019023249.1
OG0000808	YCR093W	XP_019020965.1
OG0000809	YCR098C	XP_019025214.1
OG0000810	YDL001W	XP_019024779.1
OG0000811	YDL004W	XP_019022438.1
OG0000812	YDL006W	XP_019026234.1
OG0000813	YDL007W	XP_019022750.1
OG0000814	YDL008W	XP_019022352.1
OG0000815	YDL014W	XP_019023565.1
OG0000816	YDL015C	XP_019027481.1
OG0000817	YDL020C	XP_019023084.1
OG0000818	YDL025C	XP_019027219.1
OG0000819	YDL028C	XP_019023379.1
OG0000820	YDL029W	XP_019023836.1
OG0000821	YDL030W	XP_019025291.1
OG0000822	YDL031W	XP_019025045.1
OG0000823	YDL033C	XP_019026036.1
OG0000824	YDL035C	XP_019025048.1
OG0000825	YDL036C	XP_019026989.1
OG0000826	YDL040C	XP_019021457.1
OG0000827	YDL043C	XP_019021505.1
OG0000828	YDL045C	XP_019024229.1
OG0000829	YDL046W	XP_019022761.1
OG0000830	YDL051W	XP_019026722.1
OG0000831	YDL052C	XP_019024834.1
OG0000832	YDL055C	XP_019024603.1
OG0000833	YDL057W	XP_019023776.1
OG0000834	YDL058W	XP_019025908.1
OG0000835	YDL060W	XP_019027667.1
OG0000836	YDL063C	XP_019027112.1
OG0000837	YDL064W	XP_019024159.1
OG0000838	YDL067C	XP_019026087.1
OG0000839	YDL072C	XP_019020974.1
OG0000840	YDL074C	XP_019023588.1
OG0000841	YDL077C	XP_019027572.1
OG0000842	YDL081C	XP_019024112.1
OG0000843	YDL084W	XP_019027291.1
OG0000844	YDL086W	XP_019021352.1
OG0000845	YDL087C	XP_019023490.1
OG0000846	YDL090C	XP_019021794.1
OG0000847	YDL091C	XP_019025618.1
OG0000848	YDL092W	XP_019027498.1
OG0000849	YDL097C	XP_019025933.1
OG0000850	YDL098C	XP_019025820.1
OG0000851	YDL100C	XP_019021427.1
OG0000852	YDL102W	XP_019025463.1
OG0000853	YDL103C	XP_019024615.1
OG0000854	YDL105W	XP_019025722.1
OG0000855	YDL108W	XP_019024382.1
OG0000856	YDL111C	XP_019027708.1
OG0000857	YDL112W	XP_019026666.1
OG0000858	YDL114W	XP_019024545.1
OG0000859	YDL116W	XP_019021567.1
OG0000860	YDL117W	XP_019025167.1
OG0000861	YDL119C	XP_019021564.1
OG0000862	YDL120W	XP_019026417.1
OG0000863	YDL125C	XP_019021365.1
OG0000864	YDL131W	XP_019021867.1
OG0000865	YDL133W	XP_019026715.1
OG0000866	YDL134C	XP_019023239.1
OG0000867	YDL135C	XP_019020980.1
OG0000868	YDL137W	XP_019020813.1
OG0000869	YDL139C	XP_019022164.1
OG0000870	YDL140C	XP_019026986.1
OG0000871	YDL141W	XP_019021411.1
OG0000872	YDL142C	XP_019023034.1
OG0000873	YDL143W	XP_019023452.1
OG0000874	YDL145C	XP_019020750.1
OG0000875	YDL146W	XP_019027561.1
OG0000876	YDL147W	XP_019021671.1
OG0000877	YDL148C	XP_019023412.1
OG0000878	YDL149W	XP_019020728.1
OG0000879	YDL150W	XP_019025421.1
OG0000880	YDL153C	XP_019020805.1
OG0000881	YDL154W	XP_019020821.1
OG0000882	YDL156W	XP_019022516.1
OG0000883	YDL160C	XP_019022565.1
OG0000884	YDL164C	XP_019024697.1
OG0000885	YDL165W	XP_019022718.1
OG0000886	YDL167C	XP_019025286.1
OG0000887	YDL168W	XP_019023780.1
OG0000888	YDL171C	XP_019024220.1
OG0000889	YDL174C	XP_019026786.1
OG0000890	YDL178W	XP_019025165.1
OG0000891	YDL183C	XP_019026716.1
OG0000892	YDL185W	XP_019025301.1
OG0000893	YDL189W	XP_019023961.1
OG0000894	YDL190C	XP_019024004.1
OG0000895	YDL193W	XP_019023493.1
OG0000896	YDL195W	XP_019021827.1
OG0000897	YDL198C	XP_019024399.1
OG0000898	YDL200C	XP_019025134.1
OG0000899	YDL201W	XP_019027200.1
OG0000900	YDL202W	XP_019024096.1
OG0000901	YDL205C	XP_019026266.1
OG0000902	YDL206W	XP_019026403.1
OG0000903	YDL207W	XP_019027579.1
OG0000904	YDL208W	XP_019023844.1
OG0000905	YDL209C	XP_019023599.1
OG0000906	YDL212W	XP_019021177.1
OG0000907	YDL213C	XP_019021687.1
OG0000908	YDL215C	XP_019022977.1
OG0000909	YDL217C	XP_019024782.1
OG0000910	YDL219W	XP_019021422.1
OG0000911	YDL226C	XP_019026097.1
OG0000912	YDL234C	XP_019022955.1
OG0000913	YDL235C	XP_019027515.1
OG0000914	YDL236W	XP_019022527.1
OG0000915	YDL237W	XP_019020846.1
OG0000916	YDL238C	XP_019027418.1
OG0000917	YDL240W	XP_019023479.1
OG0000918	YDR001C	XP_019021420.1
OG0000919	YDR002W	XP_019025501.1
OG0000920	YDR005C	XP_019023828.1
OG0000921	YDR006C	XP_019024046.1
OG0000922	YDR013W	XP_019022109.1
OG0000923	YDR016C	XP_019023649.1
OG0000924	YDR017C	XP_019023145.1
OG0000925	YDR019C	XP_019023835.1
OG0000926	YDR023W	XP_019026754.1
OG0000927	YDR027C	XP_019025272.1
OG0000928	YDR028C	XP_019023387.1
OG0000929	YDR032C	XP_019022155.1
OG0000930	YDR036C	XP_019026205.1
OG0000931	YDR037W	XP_019023736.1
OG0000932	YDR041W	XP_019026779.1
OG0000933	YDR043C	XP_019024050.1
OG0000934	YDR044W	XP_019026708.1
OG0000935	YDR045C	XP_019021762.1
OG0000936	YDR049W	XP_019026116.1
OG0000937	YDR050C	XP_019026197.1
OG0000938	YDR052C	XP_019023681.1
OG0000939	YDR054C	XP_019023604.1
OG0000940	YDR058C	XP_019024507.1
OG0000941	YDR059C	XP_019020745.1
OG0000942	YDR060W	XP_019021563.1
OG0000943	YDR061W	XP_019027230.1
OG0000944	YDR062W	XP_019026180.1
OG0000945	YDR063W	XP_019023319.1
OG0000946	YDR064W	XP_019023435.1
OG0000947	YDR067C	XP_019024729.1
OG0000948	YDR079C-A	XP_019024097.1
OG0000949	YDR080W	XP_019024717.1
OG0000950	YDR083W	XP_019022853.1
OG0000951	YDR086C	XP_019021706.1
OG0000952	YDR087C	XP_019027106.1
OG0000953	YDR088C	XP_019021179.1
OG0000954	YDR092W	XP_019027391.1
OG0000955	YDR100W	XP_019023204.1
OG0000956	YDR104C	XP_019025571.1
OG0000957	YDR105C	XP_019025563.1
OG0000958	YDR108W	XP_019025109.1
OG0000959	YDR109C	XP_019026851.1
OG0000960	YDR111C	XP_019027127.1
OG0000961	YDR115W	XP_019022839.1
OG0000962	YDR116C	XP_019025245.1
OG0000963	YDR120C	XP_019027424.1
OG0000964	YDR121W	XP_019027202.1
OG0000965	YDR124W	XP_019025609.1
OG0000966	YDR126W	XP_019023713.1
OG0000967	YDR127W	XP_019023083.1
OG0000968	YDR129C	XP_019024360.1
OG0000969	YDR135C	XP_019025608.1
OG0000970	YDR137W	XP_019021825.1
OG0000971	YDR139C	XP_019024434.1
OG0000972	YDR140W	XP_019022025.1
OG0000973	YDR141C	XP_019021138.1
OG0000974	YDR145W	XP_019020725.1
OG0000975	YDR148C	XP_019022571.1
OG0000976	YDR150W	XP_019024404.1
OG0000977	YDR152W	XP_019021462.1
OG0000978	YDR155C	XP_019021407.1
OG0000979	YDR158W	XP_019022146.1
OG0000980	YDR159W	XP_019023579.1
OG0000981	YDR161W	XP_019021458.1
OG0000982	YDR162C	XP_019021382.1
OG0000983	YDR164C	XP_019025028.1
OG0000984	YDR165W	XP_019023528.1
OG0000985	YDR166C	XP_019024440.1
OG0000986	YDR167W	XP_019023135.1
OG0000987	YDR168W	XP_019024808.1
OG0000988	YDR172W	XP_019024915.1
OG0000989	YDR173C	XP_019026350.1
OG0000990	YDR175C	XP_019021166.1
OG0000991	YDR176W	XP_019026975.1
OG0000992	YDR177W	XP_019022751.1
OG0000993	YDR180W	XP_019024920.1
