	Saccharomyces_cerevisiae	Tortispora_caseinolytica
OG0000390	YKR076W, YMR251W	maker-scaffold_1-snap-gene-28.102-mRNA-1_1&gene=maker-scaffold_1-snap-gene-28.102&CDS=1-1050
OG0000391	YLL010C, YLR019W	snap_masked-scaffold_1-processed-gene-20.65-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.65&CDS=1-1731
OG0000392	YLL012W, YLR020C	snap_masked-scaffold_4-processed-gene-2.91-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.91&CDS=1-1380
OG0000393	YLL016W, YLR310C	snap_masked-scaffold_3-processed-gene-6.145-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.145&CDS=1-3423
OG0000394	YLL053C, YPR192W	snap_masked-scaffold_2-processed-gene-2.72-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.72&CDS=1-849
OG0000395	YLR027C	snap_masked-scaffold_2-processed-gene-2.78-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.78&CDS=1-1257, snap_masked-scaffold_4-processed-gene-2.73-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.73&CDS=1-1242
OG0000396	YLR029C, YMR121C	maker-scaffold_2-augustus-gene-13.49-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-13.49&CDS=1-3342
OG0000397	YLR077W	augustus_masked-scaffold_1-processed-gene-14.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.35&CDS=1-4038, snap_masked-scaffold_2-processed-gene-16.43-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.43&CDS=1-1014
OG0000398	YLR107W	snap_masked-scaffold_1-processed-gene-8.71-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.71&CDS=1-1125, snap_masked-scaffold_3-processed-gene-16.101-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-16.101&CDS=1-840
OG0000399	YLR109W	snap_masked-scaffold_1-processed-gene-9.29-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.29&CDS=1-516, snap_masked-scaffold_2-processed-gene-21.4-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-21.4&CDS=1-543
OG0000400	YLR229C	snap_masked-scaffold_3-processed-gene-12.101-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.101&CDS=1-579, snap_masked-scaffold_4-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.17&CDS=1-576
OG0000401	YLR260W, YOR171C	augustus_masked-scaffold_1-processed-gene-17.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.25&CDS=1-4302
OG0000402	YLR270W, YOR173W	snap_masked-scaffold_3-processed-gene-12.135-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.135&CDS=1-861
OG0000403	YLR284C, YOR180C	snap_masked-scaffold_2-processed-gene-12.89-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.89&CDS=1-807
OG0000404	YLR287C-A, YOR182C	augustus_masked-scaffold_2-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.83&CDS=1-633
OG0000405	YLR293C, YOR185C	snap_masked-scaffold_2-processed-gene-27.113-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-27.113&CDS=1-645
OG0000406	YLR300W, YOR190W	augustus_masked-scaffold_2-processed-gene-27.87-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-27.87&CDS=1-1269
OG0000407	YLR441C, YML063W	snap_masked-scaffold_1-processed-gene-22.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.60&CDS=1-768
OG0000408	YLR448W, YML073C	snap_masked-scaffold_3-processed-gene-5.101-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.101&CDS=1-516
OG0000409	YLR449W, YML074C	maker-scaffold_1-augustus-gene-3.69-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.69&CDS=1-1878
OG0000410	YLR450W, YML075C	maker-scaffold_3-augustus-gene-18.101-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-18.101&CDS=1-5484
OG0000411	YLR456W, YPR172W	snap_masked-scaffold_3-processed-gene-4.170-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.170&CDS=1-492
OG0000412	YML106W, YMR271C	snap_masked-scaffold_3-processed-gene-4.168-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.168&CDS=1-666
OG0000413	YML109W, YMR273C	snap_masked-scaffold_3-processed-gene-13.78-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.78&CDS=1-3960
OG0000414	YMR119W, YNL008C	snap_masked-scaffold_1-processed-gene-22.96-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.96&CDS=1-1713
OG0000415	YMR177W, YPL224C	augustus_masked-scaffold_3-processed-gene-19.90-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-19.90&CDS=1-1095
OG0000416	YMR194W, YPL249C-A	snap_masked-scaffold_2-processed-gene-22.42-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-22.42&CDS=1-312
OG0000417	YMR196W	maker-scaffold_1-snap-gene-4.94-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.94&CDS=1-3048, snap_masked-scaffold_1-processed-gene-24.76-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.76&CDS=1-2691
OG0000418	YMR222C, YOR280C	snap_masked-scaffold_2-processed-gene-1.14-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.14&CDS=1-678
OG0000419	YMR230W, YOR293W	snap_masked-scaffold_1-processed-gene-10.121-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.121&CDS=1-393
OG0000420	YMR237W, YOR299W	snap_masked-scaffold_1-processed-gene-15.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.81&CDS=1-2175
OG0000421	YMR242C, YOR312C	augustus_masked-scaffold_1-processed-gene-20.127-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.127&CDS=1-1545
OG0000422	YMR253C, YPL264C	augustus_masked-scaffold_1-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.109&CDS=1-1335
OG0000423	YMR315W	augustus_masked-scaffold_3-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.72&CDS=1-1965, snap_masked-scaffold_2-processed-gene-13.160-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.160&CDS=1-1068
OG0000424	YNL087W, YOR086C	augustus_masked-scaffold_4-processed-gene-2.179-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.179&CDS=1-6297
OG0000425	YNL098C, YOR101W	snap_masked-scaffold_2-processed-gene-16.21-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.21&CDS=1-627
OG0000426	YNL104C, YOR108W	snap_masked-scaffold_1-processed-gene-18.123-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.123&CDS=1-1725
OG0000427	YNL108C, YOR110W	snap_masked-scaffold_3-processed-gene-23.98-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-23.98&CDS=1-732
OG0000428	YNL182C	augustus_masked-scaffold_4-processed-gene-1.171-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.171&CDS=1-876, snap_masked-scaffold_1-processed-gene-3.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.52&CDS=1-1116
OG0000429	YNL293W, YOL112W	snap_masked-scaffold_3-processed-gene-1.6-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.6&CDS=1-1605
OG0000430	YNL299W, YOL115W	snap_masked-scaffold_1-processed-gene-10.152-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.152&CDS=1-1407
OG0000431	YNL301C, YOL120C	augustus_masked-scaffold_3-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.122&CDS=1-555
OG0000432	YNL302C, YOL121C	augustus_masked-scaffold_1-processed-gene-16.76-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.76&CDS=1-1206
OG0000433	YNR001C	snap_masked-scaffold_2-processed-gene-25.44-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-25.44&CDS=1-1272, snap_masked-scaffold_3-processed-gene-3.54-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.54&CDS=1-1365
OG0000434	YOL116W	maker-scaffold_2-snap-gene-17.109-mRNA-1_1&gene=maker-scaffold_2-snap-gene-17.109&CDS=1-2439, snap_masked-scaffold_2-processed-gene-17.21-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.21&CDS=1-1134
OG0000435	YOL119C, YOR306C	snap_masked-scaffold_1-processed-gene-24.74-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.74&CDS=1-1386
OG0000436	YOR049C	maker-scaffold_3-snap-gene-16.1-mRNA-1_1&gene=maker-scaffold_3-snap-gene-16.1&CDS=1-1248, snap_masked-scaffold_2-processed-gene-8.91-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.91&CDS=1-1323
OG0000437	YOR059C	snap_masked-scaffold_1-processed-gene-1.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.81&CDS=1-1320, snap_masked-scaffold_2-processed-gene-24.81-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-24.81&CDS=1-1239
OG0000438	YOR087W	snap_masked-scaffold_2-processed-gene-30.151-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-30.151&CDS=1-1770, snap_masked-scaffold_3-processed-gene-10.40-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.40&CDS=1-2571
OG0000439	YOR089C	augustus_masked-scaffold_2-processed-gene-15.164-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.164&CDS=1-612, maker-scaffold_3-augustus-gene-15.49-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-15.49&CDS=1-1338
OG0000440	YOR155C	maker-scaffold_2-snap-gene-26.7-mRNA-1_1&gene=maker-scaffold_2-snap-gene-26.7&CDS=1-6480, snap_masked-scaffold_1-processed-gene-6.42-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.42&CDS=1-4599
OG0000441	YOR175C	augustus_masked-scaffold_2-processed-gene-11.158-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.158&CDS=1-5016, snap_masked-scaffold_1-processed-gene-21.7-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.7&CDS=1-1452
OG0000442	YOR226C, YPL135W	snap_masked-scaffold_3-processed-gene-3.39-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.39&CDS=1-540
OG0000443	YOR227W, YPL137C	snap_masked-scaffold_2-processed-gene-12.55-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.55&CDS=1-3285
OG0000444	YOR234C, YPL143W	snap_masked-scaffold_1-processed-gene-24.79-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.79&CDS=1-315
OG0000445	YOR237W, YPL145C	augustus_masked-scaffold_2-processed-gene-29.88-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-29.88&CDS=1-6396
OG0000446	YPL028W	augustus_masked-scaffold_1-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.36&CDS=1-1716, snap_masked-scaffold_1-processed-gene-19.6-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.6&CDS=1-1194
OG0000447	YPL050C	augustus_masked-scaffold_3-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.41&CDS=1-2217, snap_masked-scaffold_3-processed-gene-22.159-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.159&CDS=1-1017
OG0000448	YPR013C, YPR015C	snap_masked-scaffold_2-processed-gene-1.8-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.8&CDS=1-1146
OG0000449	YPR169W-A, YPR170W-B	snap_masked-scaffold_2-processed-gene-13.171-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.171&CDS=1-252
OG0000450		maker-scaffold_1-snap-gene-23.53-mRNA-1_1&gene=maker-scaffold_1-snap-gene-23.53&CDS=1-4002, snap_masked-scaffold_1-processed-gene-11.128-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.128&CDS=1-2022, snap_masked-scaffold_1-processed-gene-23.26-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.26&CDS=1-2025
OG0000451		augustus_masked-scaffold_2-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.58&CDS=1-2049, maker-scaffold_3-snap-gene-6.164-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.164&CDS=1-4437, snap_masked-scaffold_2-processed-gene-3.16-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.16&CDS=1-222
OG0000452		snap_masked-scaffold_3-processed-gene-0.105-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.105&CDS=1-831, snap_masked-scaffold_3-processed-gene-0.106-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.106&CDS=1-822, snap_masked-scaffold_3-processed-gene-0.107-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.107&CDS=1-825
OG0000453	YAL001C	augustus_masked-scaffold_1-processed-gene-14.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.3&CDS=1-5004
OG0000454	YAL002W	snap_masked-scaffold_1-processed-gene-27.86-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-27.86&CDS=1-4224
OG0000455	YAL003W	augustus_masked-scaffold_1-processed-gene-23.129-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.129&CDS=1-672
OG0000456	YAL010C	augustus_masked-scaffold_1-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.124&CDS=1-3051
OG0000457	YAL011W	snap_masked-scaffold_1-processed-gene-29.44-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.44&CDS=1-1563
OG0000458	YAL012W	snap_masked-scaffold_2-processed-gene-21.49-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-21.49&CDS=1-1179
OG0000459	YAL013W	snap_masked-scaffold_2-processed-gene-21.52-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-21.52&CDS=1-1305
OG0000460	YAL016W	snap_masked-scaffold_3-processed-gene-10.25-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.25&CDS=1-1998
OG0000461	YAL021C	snap_masked-scaffold_1-processed-gene-10.156-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.156&CDS=1-1995
OG0000462	YAL022C	snap_masked-scaffold_3-processed-gene-16.103-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-16.103&CDS=1-1443
OG0000463	YAL024C	augustus_masked-scaffold_3-processed-gene-20.106-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-20.106&CDS=1-2511
OG0000464	YAL025C	snap_masked-scaffold_3-processed-gene-8.117-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.117&CDS=1-891
OG0000465	YAL026C	augustus_masked-scaffold_1-processed-gene-13.76-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.76&CDS=1-8736
OG0000466	YAL032C	snap_masked-scaffold_3-processed-gene-15.135-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-15.135&CDS=1-1440
OG0000467	YAL033W	augustus_masked-scaffold_3-processed-gene-12.20-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-12.20&CDS=1-1395
OG0000468	YAL035W	snap_masked-scaffold_1-processed-gene-27.61-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-27.61&CDS=1-3087
OG0000469	YAL038W	maker-scaffold_3-snap-gene-22.3-mRNA-1_1&gene=maker-scaffold_3-snap-gene-22.3&CDS=1-1542
OG0000470	YAL042W	snap_masked-scaffold_3-processed-gene-21.110-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-21.110&CDS=1-1188
OG0000471	YAL043C	snap_masked-scaffold_1-processed-gene-1.68-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.68&CDS=1-2154
OG0000472	YAL044C	snap_masked-scaffold_2-processed-gene-19.84-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.84&CDS=1-513
OG0000473	YAL046C	augustus_masked-scaffold_2-processed-gene-27.69-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-27.69&CDS=1-1041
OG0000474	YAL048C	snap_masked-scaffold_3-processed-gene-13.56-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.56&CDS=1-2055
OG0000475	YAL049C	maker-scaffold_4-snap-gene-0.136-mRNA-1_1&gene=maker-scaffold_4-snap-gene-0.136&CDS=1-3318
OG0000476	YAL053W	augustus_masked-scaffold_1-processed-gene-11.14-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.14&CDS=1-1935
OG0000477	YAL058W	snap_masked-scaffold_1-processed-gene-12.98-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.98&CDS=1-1752
OG0000478	YAR007C	snap_masked-scaffold_3-processed-gene-3.10-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.10&CDS=1-1869
OG0000479	YAR008W	snap_masked-scaffold_1-processed-gene-2.75-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.75&CDS=1-762
OG0000480	YAR015W	snap_masked-scaffold_2-processed-gene-10.139-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.139&CDS=1-888
OG0000481	YAR035W	snap_masked-scaffold_2-processed-gene-19.107-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.107&CDS=1-2286
OG0000482	YBL003C	snap_masked-scaffold_3-processed-gene-20.31-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-20.31&CDS=1-396
OG0000483	YBL004W	augustus_masked-scaffold_3-processed-gene-24.20-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-24.20&CDS=1-13212
OG0000484	YBL007C	snap_masked-scaffold_2-processed-gene-28.151-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-28.151&CDS=1-3060
OG0000485	YBL008W	snap_masked-scaffold_3-processed-gene-11.119-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.119&CDS=1-2880
OG0000486	YBL011W	augustus_masked-scaffold_3-processed-gene-14.122-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.122&CDS=1-2241
OG0000487	YBL013W	augustus_masked-scaffold_3-processed-gene-24.11-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-24.11&CDS=1-1005
OG0000488	YBL015W	snap_masked-scaffold_3-processed-gene-8.99-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.99&CDS=1-1575
OG0000489	YBL016W	snap_masked-scaffold_2-processed-gene-20.88-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.88&CDS=1-1071
OG0000490	YBL019W	snap_masked-scaffold_3-processed-gene-14.69-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.69&CDS=1-1770
OG0000491	YBL020W	snap_masked-scaffold_1-processed-gene-24.75-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.75&CDS=1-1398
OG0000492	YBL021C	augustus_masked-scaffold_3-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.17&CDS=1-1011
OG0000493	YBL022C	snap_masked-scaffold_3-processed-gene-1.55-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.55&CDS=1-3417
OG0000494	YBL023C	snap_masked-scaffold_1-processed-gene-16.6-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.6&CDS=1-2532
OG0000495	YBL026W	maker-scaffold_3-augustus-gene-13.3-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-13.3&CDS=1-1095
OG0000496	YBL033C	snap_masked-scaffold_1-processed-gene-17.83-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.83&CDS=1-1083
OG0000497	YBL034C	snap_masked-scaffold_1-processed-gene-9.6-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.6&CDS=1-3528
OG0000498	YBL035C	snap_masked-scaffold_4-processed-gene-1.48-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.48&CDS=1-1773
OG0000499	YBL036C	augustus_masked-scaffold_1-processed-gene-11.19-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.19&CDS=1-729
OG0000500	YBL038W	snap_masked-scaffold_2-processed-gene-5.136-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.136&CDS=1-723
OG0000501	YBL039C	snap_masked-scaffold_1-processed-gene-18.148-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.148&CDS=1-1728
OG0000502	YBL040C	maker-scaffold_1-snap-gene-7.48-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.48&CDS=1-636
OG0000503	YBL041W	snap_masked-scaffold_1-processed-gene-9.15-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.15&CDS=1-696
OG0000504	YBL047C	snap_masked-scaffold_1-processed-gene-16.39-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.39&CDS=1-3744
OG0000505	YBL050W	augustus_masked-scaffold_4-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.145&CDS=1-3846
OG0000506	YBL051C	snap_masked-scaffold_3-processed-gene-6.107-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.107&CDS=1-2058
OG0000507	YBL054W	snap_masked-scaffold_1-processed-gene-6.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.37&CDS=1-918
OG0000508	YBL055C	snap_masked-scaffold_3-processed-gene-22.133-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.133&CDS=1-921
OG0000509	YBL057C	augustus_masked-scaffold_2-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.28&CDS=1-498
OG0000510	YBL058W	snap_masked-scaffold_3-processed-gene-24.89-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-24.89&CDS=1-1182
OG0000511	YBL059C-A	augustus_masked-scaffold_2-processed-gene-10.87-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.87&CDS=1-315
OG0000512	YBL061C	snap_masked-scaffold_3-processed-gene-0.130-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.130&CDS=1-2358
OG0000513	YBL071W-A	genemark-scaffold_3-processed-gene-2.133-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.133&CDS=1-363
OG0000514	YBL076C	maker-scaffold_3-augustus-gene-20.123-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-20.123&CDS=1-4035
OG0000515	YBL080C	augustus_masked-scaffold_1-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.47&CDS=1-1620
OG0000516	YBL084C	snap_masked-scaffold_3-processed-gene-17.83-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-17.83&CDS=1-1596
OG0000517	YBL086C	snap_masked-scaffold_2-processed-gene-11.3-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.3&CDS=1-867
OG0000518	YBL091C	snap_masked-scaffold_1-processed-gene-21.41-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.41&CDS=1-1317
OG0000519	YBL092W	snap_masked-scaffold_3-processed-gene-6.146-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.146&CDS=1-390
OG0000520	YBL093C	snap_masked-scaffold_3-processed-gene-6.126-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.126&CDS=1-513
OG0000521	YBL097W	snap_masked-scaffold_2-processed-gene-21.30-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-21.30&CDS=1-2418
OG0000522	YBL098W	snap_masked-scaffold_2-processed-gene-13.155-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.155&CDS=1-1341
OG0000523	YBL099W	maker-scaffold_2-snap-gene-29.95-mRNA-1_1&gene=maker-scaffold_2-snap-gene-29.95&CDS=1-1626
OG0000524	YBL102W	snap_masked-scaffold_2-processed-gene-22.30-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-22.30&CDS=1-633
OG0000525	YBL103C	snap_masked-scaffold_2-processed-gene-22.7-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-22.7&CDS=1-990
OG0000526	YBL104C	augustus_masked-scaffold_1-processed-gene-22.26-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.26&CDS=1-2739
OG0000527	YBR002C	snap_masked-scaffold_2-processed-gene-6.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.35&CDS=1-819
OG0000528	YBR003W	snap_masked-scaffold_2-processed-gene-20.62-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.62&CDS=1-1341
OG0000529	YBR004C	snap_masked-scaffold_2-processed-gene-23.139-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-23.139&CDS=1-1302
OG0000530	YBR007C	snap_masked-scaffold_2-processed-gene-0.18-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.18&CDS=1-1323
OG0000531	YBR011C	augustus_masked-scaffold_3-processed-gene-22.74-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-22.74&CDS=1-984
OG0000532	YBR014C	snap_masked-scaffold_3-processed-gene-20.0-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-20.0&CDS=1-522
OG0000533	YBR017C	snap_masked-scaffold_2-processed-gene-19.61-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.61&CDS=1-2715
OG0000534	YBR018C	augustus_masked-scaffold_2-processed-gene-29.81-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-29.81&CDS=1-1068
OG0000535	YBR019C	snap_masked-scaffold_1-processed-gene-2.96-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.96&CDS=1-1092
OG0000536	YBR023C	snap_masked-scaffold_3-processed-gene-0.116-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.116&CDS=1-3795
OG0000537	YBR025C	snap_masked-scaffold_3-processed-gene-4.119-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.119&CDS=1-1182
OG0000538	YBR026C	snap_masked-scaffold_1-processed-gene-15.73-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.73&CDS=1-1119
OG0000539	YBR030W	snap_masked-scaffold_2-processed-gene-30.152-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-30.152&CDS=1-1455
OG0000540	YBR034C	snap_masked-scaffold_3-processed-gene-25.100-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-25.100&CDS=1-999
OG0000541	YBR035C	augustus_masked-scaffold_3-processed-gene-16.133-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.133&CDS=1-681
OG0000542	YBR037C	snap_masked-scaffold_1-processed-gene-24.78-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.78&CDS=1-858
OG0000543	YBR039W	snap_masked-scaffold_3-processed-gene-22.129-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.129&CDS=1-870
