	Lodderomyces_elongisporus	Saccharomyces_cerevisiae
OG0000916	maker-NW_001813679.1-augustus-gene-2.68-mRNA-1_1&gene=maker-NW_001813679.1-augustus-gene-2.68&CDS=1-762	YDR064W
OG0000917	augustus_masked-NW_001813679.1-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-2.84&CDS=1-1332	YPR056W
OG0000918	snap_masked-NW_001813679.1-processed-gene-2.31-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.31&CDS=1-480	YPR062W
OG0000919	snap_masked-NW_001813679.1-processed-gene-2.32-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.32&CDS=1-4488	YBR097W
OG0000920	snap_masked-NW_001813679.1-processed-gene-2.17-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.17&CDS=1-369	YPR063C
OG0000921	maker-NW_001813679.1-snap-gene-2.106-mRNA-1_1&gene=maker-NW_001813679.1-snap-gene-2.106&CDS=1-1653	YBR103W
OG0000922	snap_masked-NW_001813679.1-processed-gene-2.18-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.18&CDS=1-2436	YBR102C
OG0000923	snap_masked-NW_001813679.1-processed-gene-2.34-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.34&CDS=1-2397	YBR043C
OG0000924	snap_masked-NW_001813679.1-processed-gene-2.19-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.19&CDS=1-1266	YBR042C
OG0000925	snap_masked-NW_001813679.1-processed-gene-2.20-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-2.20&CDS=1-909	YBR040W
OG0000926	maker-NW_001813679.1-snap-gene-3.0-mRNA-1_1&gene=maker-NW_001813679.1-snap-gene-3.0&CDS=1-12144	YHR099W
OG0000927	maker-NW_001813679.1-augustus-gene-3.66-mRNA-1_1&gene=maker-NW_001813679.1-augustus-gene-3.66&CDS=1-624	YHR100C
OG0000928	snap_masked-NW_001813679.1-processed-gene-3.51-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-3.51&CDS=1-645	YJR074W
OG0000929	snap_masked-NW_001813679.1-processed-gene-3.39-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-3.39&CDS=1-1227	YJR075W
OG0000930	snap_masked-NW_001813679.1-processed-gene-3.57-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-3.57&CDS=1-924	YMR214W
OG0000931	maker-NW_001813679.1-snap-gene-3.7-mRNA-1_1&gene=maker-NW_001813679.1-snap-gene-3.7&CDS=1-3414	YOR330C
OG0000932	snap_masked-NW_001813679.1-processed-gene-3.45-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-3.45&CDS=1-1998	YLR455W
OG0000933	snap_masked-NW_001813679.1-processed-gene-3.48-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-3.48&CDS=1-1530	YPR163C
OG0000934	snap_masked-NW_001813679.1-processed-gene-3.49-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-3.49&CDS=1-465	YBL093C
OG0000935	snap_masked-NW_001813679.1-processed-gene-3.50-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-3.50&CDS=1-417	YBL092W
OG0000936	snap_masked-NW_001813679.1-processed-gene-4.45-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.45&CDS=1-861	YML052W
OG0000937	maker-NW_001813679.1-snap-gene-4.6-mRNA-1_1&gene=maker-NW_001813679.1-snap-gene-4.6&CDS=1-2529	YCR068W
OG0000938	snap_masked-NW_001813679.1-processed-gene-4.47-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.47&CDS=1-1551	YCR066W
OG0000939	snap_masked-NW_001813679.1-processed-gene-4.48-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.48&CDS=1-1818	YHL008C
OG0000940	snap_masked-NW_001813679.1-processed-gene-4.49-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.49&CDS=1-1818	YLR276C
OG0000941	augustus_masked-NW_001813679.1-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-4.14&CDS=1-1638	YHR048W
OG0000942	augustus_masked-NW_001813679.1-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-4.15&CDS=1-465	YNL281W
OG0000943	snap_masked-NW_001813679.1-processed-gene-4.67-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.67&CDS=1-2832	YDR485C
OG0000944	augustus_masked-NW_001813679.1-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-4.16&CDS=1-951	YOL096C
OG0000945	snap_masked-NW_001813679.1-processed-gene-4.69-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.69&CDS=1-651	YDR486C
OG0000946	maker-NW_001813679.1-augustus-gene-4.0-mRNA-1_1&gene=maker-NW_001813679.1-augustus-gene-4.0&CDS=1-1962	YKL029C
OG0000947	snap_masked-NW_001813679.1-processed-gene-4.70-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.70&CDS=1-3864	YKR090W
OG0000948	snap_masked-NW_001813679.1-processed-gene-4.55-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.55&CDS=1-5028	YGL206C
OG0000949	genemark-NW_001813679.1-processed-gene-4.106-mRNA-1_1&gene=genemark-NW_001813679.1-processed-gene-4.106&CDS=1-1422	YPL060W
OG0000950	augustus_masked-NW_001813679.1-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-4.36&CDS=1-1266	YBR175W
OG0000951	augustus_masked-NW_001813679.1-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-4.24&CDS=1-567	YOL129W
OG0000952	augustus_masked-NW_001813679.1-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-4.37&CDS=1-1200	YNL307C
OG0000953	maker-NW_001813679.1-snap-gene-4.5-mRNA-1_1&gene=maker-NW_001813679.1-snap-gene-4.5&CDS=1-1188	YOL127W
OG0000954	snap_masked-NW_001813679.1-processed-gene-4.75-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.75&CDS=1-912	YDL198C
OG0000955	augustus_masked-NW_001813679.1-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-4.27&CDS=1-1824	YDR228C
OG0000956	snap_masked-NW_001813679.1-processed-gene-4.76-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.76&CDS=1-756	YDR226W
OG0000957	snap_masked-NW_001813679.1-processed-gene-4.63-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.63&CDS=1-1185	YGR012W
OG0000958	snap_masked-NW_001813679.1-processed-gene-4.77-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.77&CDS=1-1713	YPL112C
OG0000959	snap_masked-NW_001813679.1-processed-gene-4.78-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-4.78&CDS=1-1758	YDR531W
OG0000960	snap_masked-NW_001813679.1-processed-gene-5.75-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-5.75&CDS=1-891	YAL032C
OG0000961	snap_masked-NW_001813679.1-processed-gene-5.76-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-5.76&CDS=1-942	YPL215W
OG0000962	snap_masked-NW_001813679.1-processed-gene-5.77-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-5.77&CDS=1-2079	YPL210C
OG0000963	snap_masked-NW_001813679.1-processed-gene-5.93-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-5.93&CDS=1-1191	YDR019C
OG0000964	augustus_masked-NW_001813679.1-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-5.10&CDS=1-2139	YPL184C
OG0000965	maker-NW_001813679.1-snap-gene-5.110-mRNA-1_1&gene=maker-NW_001813679.1-snap-gene-5.110&CDS=1-1314	YOR008C
OG0000966	snap_masked-NW_001813679.1-processed-gene-5.98-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-5.98&CDS=1-1602	YKL149C
OG0000967	snap_masked-NW_001813679.1-processed-gene-5.99-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-5.99&CDS=1-900	YKL150W
OG0000968	snap_masked-NW_001813679.1-processed-gene-5.85-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-5.85&CDS=1-1083	YKL151C
OG0000969	snap_masked-NW_001813679.1-processed-gene-5.87-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-5.87&CDS=1-1209	YKR088C
OG0000970	snap_masked-NW_001813679.1-processed-gene-5.88-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-5.88&CDS=1-930	YLL027W
OG0000971	augustus_masked-NW_001813679.1-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-5.18&CDS=1-1053	YMR315W
OG0000972	augustus_masked-NW_001813679.1-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-5.31&CDS=1-1305	YDR498C
OG0000973	snap_masked-NW_001813679.1-processed-gene-5.90-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-5.90&CDS=1-1686	YMR285C
OG0000974	augustus_masked-NW_001813679.1-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-5.32&CDS=1-918	YIL106W
OG0000975	augustus_masked-NW_001813679.1-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-5.20&CDS=1-2970	YPL190C
OG0000976	augustus_masked-NW_001813679.1-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-5.33&CDS=1-1698	YDR168W
OG0000977	snap_masked-NW_001813679.1-processed-gene-5.106-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-5.106&CDS=1-3120	YML097C
OG0000978	maker-NW_001813679.1-snap-gene-5.111-mRNA-1_1&gene=maker-NW_001813679.1-snap-gene-5.111&CDS=1-4905	YCR042C
OG0000979	genemark-NW_001813679.1-processed-gene-6.69-mRNA-1_1&gene=genemark-NW_001813679.1-processed-gene-6.69&CDS=1-3216	YBL076C
OG0000980	snap_masked-NW_001813679.1-processed-gene-6.38-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.38&CDS=1-3225	YPL183C
OG0000981	snap_masked-NW_001813679.1-processed-gene-6.53-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.53&CDS=1-1059	YJL088W
OG0000982	snap_masked-NW_001813679.1-processed-gene-6.40-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.40&CDS=1-978	YNR003C
OG0000983	snap_masked-NW_001813679.1-processed-gene-6.55-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.55&CDS=1-1230	YPL206C
OG0000984	snap_masked-NW_001813679.1-processed-gene-6.56-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.56&CDS=1-1449	YGL067W
OG0000985	augustus_masked-NW_001813679.1-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-6.23&CDS=1-1809	YGL064C
OG0000986	augustus_masked-NW_001813679.1-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-6.8&CDS=1-1470	YGL129C
OG0000987	snap_masked-NW_001813679.1-processed-gene-6.58-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.58&CDS=1-543	YPL211W
OG0000988	snap_masked-NW_001813679.1-processed-gene-6.41-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.41&CDS=1-1635	YPL212C
OG0000989	snap_masked-NW_001813679.1-processed-gene-6.59-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.59&CDS=1-1203	YPL204W
OG0000990	augustus_masked-NW_001813679.1-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-6.27&CDS=1-570	YPL218W
OG0000991	snap_masked-NW_001813679.1-processed-gene-6.43-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.43&CDS=1-1398	YPR201W
OG0000992	snap_masked-NW_001813679.1-processed-gene-6.44-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.44&CDS=1-3045	YER109C
OG0000993	snap_masked-NW_001813679.1-processed-gene-6.65-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.65&CDS=1-1386	YGL065C
OG0000994	augustus_masked-NW_001813679.1-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-6.33&CDS=1-2388	YPL207W
OG0000995	snap_masked-NW_001813679.1-processed-gene-6.48-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.48&CDS=1-1794	YGL066W
OG0000996	augustus_masked-NW_001813679.1-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-6.35&CDS=1-1686	YPL209C
OG0000997	snap_masked-NW_001813679.1-processed-gene-6.49-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-6.49&CDS=1-2154	YGL099W
OG0000998	snap_masked-NW_001813679.1-processed-gene-7.40-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-7.40&CDS=1-2847	YGL137W
OG0000999	snap_masked-NW_001813679.1-processed-gene-7.41-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-7.41&CDS=1-1899	YNL048W
OG0001000	snap_masked-NW_001813679.1-processed-gene-7.39-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-7.39&CDS=1-1215	YCR045C
OG0001001	snap_masked-NW_001813679.1-processed-gene-7.42-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-7.42&CDS=1-1419	YBL091C
OG0001002	genemark-NW_001813679.1-processed-gene-7.91-mRNA-1_1&gene=genemark-NW_001813679.1-processed-gene-7.91&CDS=1-1659	YBL082C
OG0001003	augustus_masked-NW_001813679.1-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-7.20&CDS=1-2181	YOL144W
OG0001004	snap_masked-NW_001813679.1-processed-gene-7.56-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-7.56&CDS=1-699	YOL147C
OG0001005	snap_masked-NW_001813679.1-processed-gene-7.46-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-7.46&CDS=1-1599	YPL181W
OG0001006	snap_masked-NW_001813679.1-processed-gene-7.58-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-7.58&CDS=1-1908	YGL095C
OG0001007	augustus_masked-NW_001813679.1-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-7.25&CDS=1-2733	YOL063C
OG0001008	maker-NW_001813679.1-augustus-gene-7.2-mRNA-1_1&gene=maker-NW_001813679.1-augustus-gene-7.2&CDS=1-516	YKL069W
OG0001009	snap_masked-NW_001813679.1-processed-gene-7.63-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-7.63&CDS=1-1197	YBL032W
OG0001010	snap_masked-NW_001813679.1-processed-gene-7.47-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-7.47&CDS=1-570	YBR257W
OG0001011	augustus_masked-NW_001813679.1-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-7.29&CDS=1-1437	YDR026C
OG0001012	snap_masked-NW_001813679.1-processed-gene-7.50-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-7.50&CDS=1-714	YKL117W
OG0001013	augustus_masked-NW_001813679.1-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-7.18&CDS=1-1431	YHL004W
OG0001014	genemark-NW_001813679.1-processed-gene-7.106-mRNA-1_1&gene=genemark-NW_001813679.1-processed-gene-7.106&CDS=1-2781	YOR335C
OG0001015	snap_masked-NW_001813679.1-processed-gene-7.73-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-7.73&CDS=1-1725	YLR224W
OG0001016	snap_masked-NW_001813679.1-processed-gene-8.33-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-8.33&CDS=1-1911	YLR380W
OG0001017	snap_masked-NW_001813679.1-processed-gene-8.34-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-8.34&CDS=1-2790	YLR382C
OG0001018	augustus_masked-NW_001813679.1-processed-gene-8.77-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-8.77&CDS=1-2274	YGR150C
OG0001019	genemark-NW_001813679.1-processed-gene-8.4-mRNA-1_1&gene=genemark-NW_001813679.1-processed-gene-8.4&CDS=1-4650	YOR093C
OG0001020	maker-NW_001813679.1-snap-gene-8.89-mRNA-1_1&gene=maker-NW_001813679.1-snap-gene-8.89&CDS=1-378	YDR529C
OG0001021	genemark-NW_001813679.1-processed-gene-8.18-mRNA-1_1&gene=genemark-NW_001813679.1-processed-gene-8.18&CDS=1-813	YLR348C
OG0001022	snap_masked-NW_001813679.1-processed-gene-8.51-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-8.51&CDS=1-2037	YLL035W
OG0001023	snap_masked-NW_001813679.1-processed-gene-8.52-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-8.52&CDS=1-861	YMR178W
OG0001024	maker-NW_001813679.1-augustus-gene-8.63-mRNA-1_1&gene=maker-NW_001813679.1-augustus-gene-8.63&CDS=1-2961	YML034W
OG0001025	snap_masked-NW_001813679.1-processed-gene-8.59-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-8.59&CDS=1-1623	YJL081C
OG0001026	snap_masked-NW_001813679.1-processed-gene-8.61-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-8.61&CDS=1-2046	YKL100C
OG0001027	maker-NW_001813679.1-snap-gene-9.151-mRNA-1_1&gene=maker-NW_001813679.1-snap-gene-9.151&CDS=1-1791	YMR234W
OG0001028	snap_masked-NW_001813679.1-processed-gene-9.59-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.59&CDS=1-1212	YDR202C
OG0001029	snap_masked-NW_001813679.1-processed-gene-9.60-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.60&CDS=1-3183	YLR389C
OG0001030	snap_masked-NW_001813679.1-processed-gene-9.61-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.61&CDS=1-3351	YNL325C
OG0001031	snap_masked-NW_001813679.1-processed-gene-9.89-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.89&CDS=1-2286	YMR301C
OG0001032	snap_masked-NW_001813679.1-processed-gene-9.90-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.90&CDS=1-1149	YFL030W
OG0001033	snap_masked-NW_001813679.1-processed-gene-9.66-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.66&CDS=1-249	YLR038C
OG0001034	genemark-NW_001813679.1-processed-gene-9.39-mRNA-1_1&gene=genemark-NW_001813679.1-processed-gene-9.39&CDS=1-786	YMR132C
OG0001035	snap_masked-NW_001813679.1-processed-gene-9.69-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.69&CDS=1-6792	YCR093W
OG0001036	snap_masked-NW_001813679.1-processed-gene-9.70-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.70&CDS=1-693	YDR177W
OG0001037	snap_masked-NW_001813679.1-processed-gene-9.71-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.71&CDS=1-1563	YNR051C
OG0001038	augustus_masked-NW_001813679.1-processed-gene-9.122-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-9.122&CDS=1-711	YKL009W
OG0001039	augustus_masked-NW_001813679.1-processed-gene-9.141-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-9.141&CDS=1-2322	YKL089W
OG0001040	snap_masked-NW_001813679.1-processed-gene-9.95-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.95&CDS=1-2064	YEL011W
OG0001041	augustus_masked-NW_001813679.1-processed-gene-9.143-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-9.143&CDS=1-1215	YGL213C
OG0001042	genemark-NW_001813679.1-processed-gene-9.25-mRNA-1_1&gene=genemark-NW_001813679.1-processed-gene-9.25&CDS=1-1002	YGL115W
OG0001043	snap_masked-NW_001813679.1-processed-gene-9.77-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.77&CDS=1-2241	YGL114W
OG0001044	snap_masked-NW_001813679.1-processed-gene-9.96-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.96&CDS=1-2199	YBR233W
OG0001045	snap_masked-NW_001813679.1-processed-gene-9.97-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.97&CDS=1-1128	YBR231C
OG0001046	snap_masked-NW_001813679.1-processed-gene-9.78-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.78&CDS=1-2079	YOL057W
OG0001047	snap_masked-NW_001813679.1-processed-gene-9.79-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.79&CDS=1-2469	YPL270W
OG0001048	augustus_masked-NW_001813679.1-processed-gene-9.145-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-9.145&CDS=1-3288	YEL055C
OG0001049	snap_masked-NW_001813679.1-processed-gene-9.80-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.80&CDS=1-1200	YPR085C
OG0001050	snap_masked-NW_001813679.1-processed-gene-9.81-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.81&CDS=1-1047	YJR105W
OG0001051	snap_masked-NW_001813679.1-processed-gene-9.101-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.101&CDS=1-1932	YLR023C
OG0001052	augustus_masked-NW_001813679.1-processed-gene-9.148-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-9.148&CDS=1-5211	YCL054W
OG0001053	snap_masked-NW_001813679.1-processed-gene-9.82-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.82&CDS=1-1983	YDR129C
OG0001054	snap_masked-NW_001813679.1-processed-gene-9.84-mRNA-1_1&gene=snap_masked-NW_001813679.1-processed-gene-9.84&CDS=1-1377	YNR052C
OG0001055	maker-NW_001813679.1-snap-gene-9.155-mRNA-1_1&gene=maker-NW_001813679.1-snap-gene-9.155&CDS=1-1617	YNR053C
OG0001056	augustus_masked-NW_001813679.1-processed-gene-9.134-mRNA-1_1&gene=augustus_masked-NW_001813679.1-processed-gene-9.134&CDS=1-2034	YPR097W
OG0001057	genemark-NW_001813680.1-processed-gene-0.42-mRNA-1_1&gene=genemark-NW_001813680.1-processed-gene-0.42&CDS=1-10878	YLR106C
OG0001058	augustus_masked-NW_001813680.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NW_001813680.1-processed-gene-0.14&CDS=1-3147	YOR048C
OG0001059	snap_masked-NW_001813680.1-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-0.76&CDS=1-1650	YER173W
OG0001060	snap_masked-NW_001813680.1-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-0.78&CDS=1-1593	YPR018W
OG0001061	snap_masked-NW_001813680.1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-0.80&CDS=1-2133	YDR109C
OG0001062	snap_masked-NW_001813680.1-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-0.81&CDS=1-753	YER159C
OG0001063	augustus_masked-NW_001813680.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NW_001813680.1-processed-gene-0.21&CDS=1-1254	YLR105C
OG0001064	augustus_masked-NW_001813680.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NW_001813680.1-processed-gene-0.3&CDS=1-1608	YPL120W
OG0001065	genemark-NW_001813680.1-processed-gene-0.54-mRNA-1_1&gene=genemark-NW_001813680.1-processed-gene-0.54&CDS=1-1149	YKL051W
OG0001066	snap_masked-NW_001813680.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-0.69&CDS=1-492	YJR055W
OG0001067	snap_masked-NW_001813680.1-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-0.86&CDS=1-975	YBR053C
OG0001068	snap_masked-NW_001813680.1-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-0.87&CDS=1-1161	YLR215C
OG0001069	augustus_masked-NW_001813680.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NW_001813680.1-processed-gene-0.9&CDS=1-1599	YDL143W
OG0001070	augustus_masked-NW_001813680.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NW_001813680.1-processed-gene-0.27&CDS=1-1740	YDL153C
OG0001071	snap_masked-NW_001813680.1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-0.70&CDS=1-1377	YDL150W
OG0001072	maker-NW_001813680.1-snap-gene-0.96-mRNA-1_1&gene=maker-NW_001813680.1-snap-gene-0.96&CDS=1-2526	YDL154W
OG0001073	snap_masked-NW_001813680.1-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-0.90&CDS=1-2325	YJL033W
OG0001074	genemark-NW_001813680.1-processed-gene-0.60-mRNA-1_1&gene=genemark-NW_001813680.1-processed-gene-0.60&CDS=1-732	YHR041C
OG0001075	snap_masked-NW_001813680.1-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-1.6&CDS=1-2505	YGR200C
OG0001076	snap_masked-NW_001813680.1-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-1.32&CDS=1-996	YKL085W
OG0001077	snap_masked-NW_001813680.1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-1.11&CDS=1-1914	YBR123C
OG0001078	snap_masked-NW_001813680.1-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-1.33&CDS=1-783	YPL107W
OG0001079	snap_masked-NW_001813680.1-processed-gene-1.13-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-1.13&CDS=1-1824	YBR296C
OG0001080	augustus_masked-NW_001813680.1-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NW_001813680.1-processed-gene-1.101&CDS=1-966	YIL034C
OG0001081	snap_masked-NW_001813680.1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-1.38&CDS=1-699	YGR167W
OG0001082	snap_masked-NW_001813680.1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-1.39&CDS=1-1725	YHR004C
OG0001083	snap_masked-NW_001813680.1-processed-gene-1.17-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-1.17&CDS=1-276	YHR005C-A
OG0001084	snap_masked-NW_001813680.1-processed-gene-1.41-mRNA-1_1&gene=snap_masked-NW_001813680.1-processed-gene-1.41&CDS=1-918	YKL087C
