	Saccharomyces_cerevisiae	Yarrowia_deformans
OG0000174	YDL161W, YLR206W	-processed-gene-3.65-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-3.65&CDS=1-1731
OG0000175	YDL175C, YIL079C	-processed-gene-23.70-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-23.70&CDS=1-1077
OG0000176	YDL222C, YNL194C	-processed-gene-5.10-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-5.10&CDS=1-732
OG0000177	YDL224C, YNL197C	-processed-gene-5.26-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-5.26&CDS=1-1980
OG0000178	YDL246C, YJR159W	-processed-gene-0.10-mRNA-1_1&gene=genemark-gi|1002317461|dbj|BCIW01000028.1|-processed-gene-0.10&CDS=1-1068
OG0000179	YDR066C, YER139C	-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-gi|1002317466|dbj|BCIW01000023.1|-processed-gene-1.23&CDS=1-747
OG0000180	YDR069C, YER144C	-augustus-gene-9.0-mRNA-1_1&gene=maker-gi|1002317485|dbj|BCIW01000004.1|-augustus-gene-9.0&CDS=1-2523
OG0000181	YDR093W, YER166W	-processed-gene-0.22-mRNA-1_1&gene=genemark-gi|1002317469|dbj|BCIW01000020.1|-processed-gene-0.22&CDS=1-5268
OG0000182	YDR098C, YER174C	-processed-gene-4.19-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-4.19&CDS=1-762
OG0000183	YDR099W, YER177W	-processed-gene-3.106-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-3.106&CDS=1-831
OG0000184	YDR107C, YLR083C	-processed-gene-0.57-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-0.57&CDS=1-1941
OG0000185	YDR122W, YLR096W	-processed-gene-11.8-mRNA-1_1&gene=augustus_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-11.8&CDS=1-2994
OG0000186	YDR132C, YLR108C	-processed-gene-3.55-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-3.55&CDS=1-1185
OG0000187	YDR146C, YLR131C	-processed-gene-3.25-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-3.25&CDS=1-1170
OG0000188	YDR151C, YLR136C	-processed-gene-6.49-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-6.49&CDS=1-1188
OG0000189	YDR178W, YLR164W	-processed-gene-23.83-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-23.83&CDS=1-495
OG0000190	YDR200C, YLR238W	-processed-gene-4.154-mRNA-1_1&gene=augustus_masked-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.154&CDS=1-1827
OG0000191	YDR213W, YLR228C	-processed-gene-1.20-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-1.20&CDS=1-2091
OG0000192	YDR247W, YPL026C	-processed-gene-10.58-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-10.58&CDS=1-1296
OG0000193	YDR251W, YPL032C	-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-2.15&CDS=1-2307
OG0000194	YDR252W, YPL037C	-processed-gene-5.46-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-5.46&CDS=1-492
OG0000195	YDR263C, YOR033C	-processed-gene-1.47-mRNA-1_1&gene=snap_masked-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-1.47&CDS=1-1620
OG0000196	YDR264C, YOR034C	-processed-gene-8.118-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-8.118&CDS=1-2106
OG0000197	YDR272W, YOR040W	-processed-gene-12.75-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-12.75&CDS=1-774
OG0000198	YDR273W, YOR042W	-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-0.85&CDS=1-1425
OG0000199	YDR276C	-processed-gene-3.47-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-3.47&CDS=1-372, -processed-gene-5.43-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-5.43&CDS=1-171
OG0000200	YDR277C, YOR047C	-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-8.18&CDS=1-786
OG0000201	YDR312W, YHR066W	-processed-gene-21.93-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-21.93&CDS=1-1236
OG0000202	YDR326C, YHR080C	-processed-gene-2.26-mRNA-1_1&gene=genemark-gi|1002317470|dbj|BCIW01000019.1|-processed-gene-2.26&CDS=1-2472
OG0000203	YDR329C	-processed-gene-11.195-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-11.195&CDS=1-1293, -processed-gene-4.15-mRNA-1_1&gene=augustus_masked-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-4.15&CDS=1-1185
OG0000204	YDR348C, YHR097C	-processed-gene-4.58-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-4.58&CDS=1-1596
OG0000205	YDR349C	-processed-gene-0.54-mRNA-1_1&gene=snap_masked-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-0.54&CDS=1-2049, -processed-gene-1.10-mRNA-1_1&gene=augustus_masked-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-1.10&CDS=1-1803
OG0000206	YDR358W, YHR108W	-processed-gene-2.43-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-2.43&CDS=1-1836
OG0000207	YDR379W, YOR127W	-processed-gene-8.25-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-8.25&CDS=1-4146
OG0000208	YDR385W, YOR133W	-processed-gene-1.89-mRNA-1_1&gene=genemark-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-1.89&CDS=1-2526
OG0000209	YDR389W, YOR134W	-processed-gene-16.67-mRNA-1_1&gene=snap_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-16.67&CDS=1-3009
OG0000210	YDR409W, YOR156C	-processed-gene-9.83-mRNA-1_1&gene=augustus_masked-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-9.83&CDS=1-2061
OG0000211	YDR418W, YEL054C	-processed-gene-16.48-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-16.48&CDS=1-495
OG0000212	YDR428C	-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-2.19&CDS=1-732, -processed-gene-5.44-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-5.44&CDS=1-882
OG0000213	YDR447C, YML024W	-processed-gene-7.45-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-7.45&CDS=1-414
OG0000214	YDR450W, YML026C	-processed-gene-2.46-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-2.46&CDS=1-456
OG0000215	YDR451C, YML027W	-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-2.51&CDS=1-291
OG0000216	YDR458C, YML034W	-processed-gene-0.50-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-0.50&CDS=1-2712
OG0000217	YDR463W, YHR006W	-processed-gene-0.67-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-0.67&CDS=1-1668
OG0000218	YDR471W, YHR010W	-processed-gene-16.88-mRNA-1_1&gene=snap_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-16.88&CDS=1-414
OG0000219	YDR497C, YOL103W	-processed-gene-0.51-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-0.51&CDS=1-1620
OG0000220	YDR500C, YLR185W	-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-4.100&CDS=1-252
OG0000221	YDR501W, YLR183C	-processed-gene-4.28-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-4.28&CDS=1-2181
OG0000222	YDR505C, YLR177W	-processed-gene-0.19-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-0.19&CDS=1-2118
OG0000223	YEL022W, YJR031C	-processed-gene-2.63-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-2.63&CDS=1-4440
OG0000224	YEL041W, YJR049C	-processed-gene-7.94-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-7.94&CDS=1-2007
OG0000225	YEL060C	-processed-gene-12.24-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-12.24&CDS=1-1551, -processed-gene-2.87-mRNA-1_1&gene=snap_masked-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-2.87&CDS=1-1413
OG0000226	YEL066W, YPR193C	-processed-gene-3.62-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-3.62&CDS=1-447
OG0000227	YER027C, YGL208W	-processed-gene-3.109-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-3.109&CDS=1-1170
OG0000228	YER031C, YGL210W	-processed-gene-11.40-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-11.40&CDS=1-636
OG0000229	YER041W	-processed-gene-21.25-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-21.25&CDS=1-1347, -processed-gene-9.100-mRNA-1_1&gene=augustus_masked-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-9.100&CDS=1-2265
OG0000230	YER054C, YIL045W	-processed-gene-8.67-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-8.67&CDS=1-3063
OG0000231	YER056C-A, YIL052C	-processed-gene-1.88-mRNA-1_1&gene=snap_masked-gi|1002317467|dbj|BCIW01000022.1|-processed-gene-1.88&CDS=1-330
OG0000232	YER057C, YIL051C	-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-gi|1002317468|dbj|BCIW01000021.1|-processed-gene-1.14&CDS=1-375
OG0000233	YER059W, YIL050W	-processed-gene-1.13-mRNA-1_1&gene=genemark-gi|1002317467|dbj|BCIW01000022.1|-processed-gene-1.13&CDS=1-2001
OG0000234	YER064C, YIL056W	-snap-gene-6.1-mRNA-1_1&gene=maker-gi|1002317477|dbj|BCIW01000012.1|-snap-gene-6.1&CDS=1-1440
OG0000235	YER066W, YFL009W	-processed-gene-2.63-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-2.63&CDS=1-2094
OG0000236	YER074W, YIL069C	-processed-gene-16.4-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-16.4&CDS=1-402
OG0000237	YER081W, YIL074C	-processed-gene-4.56-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-4.56&CDS=1-1407
OG0000238	YER116C	-processed-gene-1.94-mRNA-1_1&gene=genemark-gi|1002317466|dbj|BCIW01000023.1|-processed-gene-1.94&CDS=1-561, -processed-gene-13.28-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-13.28&CDS=1-597
OG0000239	YER131W, YGL189C	-augustus-gene-2.39-mRNA-1_1&gene=maker-gi|1002317475|dbj|BCIW01000014.1|-augustus-gene-2.39&CDS=1-360
OG0000240	YFL025C	-processed-gene-1.89-mRNA-1_1&gene=snap_masked-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-1.89&CDS=1-2904, -processed-gene-8.31-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-8.31&CDS=1-2631
OG0000241	YFL034C-A, YLR061W	-processed-gene-7.65-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-7.65&CDS=1-345
OG0000242	YFL054C	-processed-gene-0.34-mRNA-1_1&gene=genemark-gi|1002317464|dbj|BCIW01000025.1|-processed-gene-0.34&CDS=1-966, -processed-gene-5.73-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-5.73&CDS=1-1152
OG0000243	YFR014C, YOL016C	-processed-gene-7.101-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-7.101&CDS=1-1197
OG0000244	YFR022W, YOR018W	-processed-gene-9.39-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-9.39&CDS=1-1902
OG0000245	YFR024C-A, YHR016C	-processed-gene-5.71-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-5.71&CDS=1-1497
OG0000246	YFR031C-A, YIL018W	-processed-gene-1.13-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-1.13&CDS=1-762
OG0000247	YFR053C, YGL253W	-processed-gene-1.16-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-1.16&CDS=1-1602
OG0000248	YGL031C, YGR148C	-processed-gene-8.65-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-8.65&CDS=1-465
OG0000249	YGL049C, YGR162W	-processed-gene-0.39-mRNA-1_1&gene=genemark-gi|1002317468|dbj|BCIW01000021.1|-processed-gene-0.39&CDS=1-2745
OG0000250	YGL066W	-processed-gene-6.61-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-6.61&CDS=1-1071, -processed-gene-9.89-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-9.89&CDS=1-747
OG0000251	YGL076C, YPL198W	-processed-gene-3.88-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-3.88&CDS=1-750
OG0000252	YGL082W, YPL191C	-processed-gene-1.2-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-1.2&CDS=1-1824
OG0000253	YGL096W, YPL177C	-processed-gene-5.34-mRNA-1_1&gene=snap_masked-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-5.34&CDS=1-783
OG0000254	YGL133W, YPL216W	-processed-gene-0.43-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-0.43&CDS=1-2964
OG0000255	YGL135W, YPL220W	-processed-gene-7.44-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-7.44&CDS=1-651
OG0000256	YGL147C, YNL067W	-processed-gene-6.44-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-6.44&CDS=1-564
OG0000257	YGL262W	-processed-gene-5.9-mRNA-1_1&gene=snap_masked-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-5.9&CDS=1-648, -processed-gene-7.72-mRNA-1_1&gene=augustus_masked-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-7.72&CDS=1-921
OG0000258	YGR008C, YLR327C	-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-4.12&CDS=1-279
OG0000259	YGR010W, YLR328W	-processed-gene-10.162-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.162&CDS=1-1410
OG0000260	YGR027C, YLR333C	-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-gi|1002317467|dbj|BCIW01000022.1|-processed-gene-1.167&CDS=1-390
OG0000261	YGR034W, YLR344W	-processed-gene-0.89-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-0.89&CDS=1-384
OG0000262	YGR038W, YLR350W	-processed-gene-0.5-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-0.5&CDS=1-552
OG0000263	YGR056W, YLR357W	-processed-gene-3.38-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-3.38&CDS=1-2301
OG0000264	YGR070W, YLR371W	-processed-gene-4.28-mRNA-1_1&gene=snap_masked-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-4.28&CDS=1-3999
OG0000265	YGR085C, YPR102C	-processed-gene-2.18-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-2.18&CDS=1-516
OG0000266	YGR088W	-processed-gene-0.76-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-0.76&CDS=1-1596, -processed-gene-1.52-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-1.52&CDS=1-1596
OG0000267	YGR092W, YPR111W	-processed-gene-3.109-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-3.109&CDS=1-1743
OG0000268	YGR108W, YPR119W	-processed-gene-2.1-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-2.1&CDS=1-1578
OG0000269	YGR118W, YPR132W	-processed-gene-7.54-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-7.54&CDS=1-435
OG0000270	YGR121C, YPR138C	-processed-gene-10.29-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-10.29&CDS=1-1554
OG0000271	YGR131W, YPR149W	-processed-gene-9.7-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-9.7&CDS=1-522
OG0000272	YGR136W, YPR154W	-snap-gene-9.46-mRNA-1_1&gene=maker-gi|1002317479|dbj|BCIW01000010.1|-snap-gene-9.46&CDS=1-852
OG0000273	YGR138C, YPR156C	-processed-gene-2.51-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-2.51&CDS=1-1653
OG0000274	YGR141W, YPR157W	-processed-gene-0.33-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-0.33&CDS=1-1215
OG0000275	YGR189C	-processed-gene-0.74-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-0.74&CDS=1-1836, -processed-gene-1.78-mRNA-1_1&gene=genemark-gi|1002317468|dbj|BCIW01000021.1|-processed-gene-1.78&CDS=1-1536
OG0000276	YGR209C, YLR043C	-processed-gene-12.80-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-12.80&CDS=1-312
OG0000277	YGR214W, YLR048W	-processed-gene-1.46-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-1.46&CDS=1-810
OG0000278	YGR238C, YHR158C	-processed-gene-6.4-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-6.4&CDS=1-4998
OG0000279	YGR241C, YHR161C	-snap-gene-9.83-mRNA-1_1&gene=maker-gi|1002317487|dbj|BCIW01000002.1|-snap-gene-9.83&CDS=1-2094
OG0000280	YGR243W, YHR162W	-processed-gene-3.47-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-3.47&CDS=1-405
OG0000281	YGR248W, YHR163W	-processed-gene-0.52-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-0.52&CDS=1-744
OG0000282	YGR273C, YMR295C	-processed-gene-2.77-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-2.77&CDS=1-657
OG0000283	YGR279C, YMR305C	-processed-gene-3.36-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-3.36&CDS=1-1254
OG0000284	YGR283C, YMR310C	-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-1.8&CDS=1-1152
OG0000285	YHL001W, YKL006W	-processed-gene-3.39-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-3.39&CDS=1-417
OG0000286	YHL003C, YKL008C	-processed-gene-1.9-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-1.9&CDS=1-1284
OG0000287	YHL017W, YKL039W	-processed-gene-4.82-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-4.82&CDS=1-1671
OG0000288	YHL033C, YLL045C	-processed-gene-1.33-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-1.33&CDS=1-792
OG0000289	YHR001W, YKR003W	-processed-gene-4.54-mRNA-1_1&gene=genemark-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-4.54&CDS=1-1494
OG0000290	YHR021C, YKL156W	-processed-gene-0.73-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-0.73&CDS=1-246
OG0000291	YHR047C, YKL157W	-processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-2.14&CDS=1-2697
OG0000292	YHR048W	-processed-gene-4.80-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-4.80&CDS=1-1659, -processed-gene-7.33-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-7.33&CDS=1-1602
OG0000293	YHR101C	-processed-gene-3.56-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-3.56&CDS=1-846, -processed-gene-3.83-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-3.83&CDS=1-972
OG0000294	YHR115C, YNL116W	-processed-gene-3.160-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-3.160&CDS=1-1866
OG0000295	YHR117W, YNL121C	-processed-gene-8.22-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-8.22&CDS=1-1872
OG0000296	YHR123W, YNL130C	-processed-gene-8.62-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-8.62&CDS=1-1182
OG0000297	YHR131C, YNL144C	-processed-gene-6.25-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-6.25&CDS=1-1476
OG0000298	YHR132W-A, YNL157W	-processed-gene-3.53-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-3.53&CDS=1-348
OG0000299	YHR133C, YNL156C	-processed-gene-22.50-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-22.50&CDS=1-858
OG0000300	YHR141C, YNL162W	-processed-gene-16.149-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-16.149&CDS=1-318
OG0000301	YHR155W, YNL257C	-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-2.7&CDS=1-4248
OG0000302	YHR198C, YHR199C	-processed-gene-1.97-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-1.97&CDS=1-912
OG0000303	YHR203C, YJR145C	-processed-gene-9.40-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-9.40&CDS=1-780
OG0000304	YIL038C, YPR072W	-processed-gene-0.48-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-0.48&CDS=1-1950
OG0000305	YIL085C, YNL029C	-processed-gene-2.40-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-2.40&CDS=1-1530
OG0000306	YIL095W, YNL020C	-processed-gene-9.15-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-9.15&CDS=1-3276
OG0000307	YIL105C, YNL047C	-processed-gene-6.46-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-6.46&CDS=1-2406
OG0000308	YIL111W, YNL052W	-processed-gene-9.38-mRNA-1_1&gene=snap_masked-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-9.38&CDS=1-558
OG0000309	YIL114C, YNL055C	-processed-gene-11.108-mRNA-1_1&gene=augustus_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-11.108&CDS=1-873
OG0000310	YIL120W, YIL121W	-processed-gene-9.46-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-9.46&CDS=1-1767
OG0000311	YIL131C, YNL068C	-snap-gene-1.44-mRNA-1_1&gene=maker-gi|1002317468|dbj|BCIW01000021.1|-snap-gene-1.44&CDS=1-2136
OG0000312	YIL149C, YKR095W	-processed-gene-10.87-mRNA-1_1&gene=snap_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-10.87&CDS=1-5760
OG0000313	YIR013C, YLR013W	-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-6.17&CDS=1-1419
OG0000314	YIR031C, YNL117W	-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-2.41&CDS=1-1656
OG0000315	YJL076W, YKR010C	-processed-gene-8.62-mRNA-1_1&gene=augustus_masked-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-8.62&CDS=1-1122
OG0000316	YJL081C	-processed-gene-3.5-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-3.5&CDS=1-1281, -processed-gene-4.45-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.45&CDS=1-1296
OG0000317	YJL082W, YKR018C	-processed-gene-3.170-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-3.170&CDS=1-2166
OG0000318	YJL083W, YKR019C	-processed-gene-5.65-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-5.65&CDS=1-3057
OG0000319	YJL084C, YKR021W	-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-gi|1002317466|dbj|BCIW01000023.1|-processed-gene-1.20&CDS=1-2292
OG0000320	YJL090C	-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-3.73&CDS=1-657, -processed-gene-8.27-mRNA-1_1&gene=augustus_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-8.27&CDS=1-1704
