	Metschnikowia_kipukae	Saccharomyces_cerevisiae
OG0000712	maker-kipT_s13-snap-gene-3.150-mRNA-1_1&gene=maker-kipT_s13-snap-gene-3.150&CDS=1-657	YKL041W
OG0000713	snap_masked-kipT_s13-processed-gene-3.78-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.78&CDS=1-1074	YBR087W
OG0000714	snap_masked-kipT_s13-processed-gene-3.79-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.79&CDS=1-561	YER042W
OG0000715	snap_masked-kipT_s13-processed-gene-3.82-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.82&CDS=1-618	YOR289W
OG0000716	snap_masked-kipT_s13-processed-gene-3.62-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.62&CDS=1-660	YMR134W
OG0000717	genemark-kipT_s13-processed-gene-3.137-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-3.137&CDS=1-3525	YGL027C
OG0000718	snap_masked-kipT_s13-processed-gene-3.86-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.86&CDS=1-720	YNL056W
OG0000719	snap_masked-kipT_s13-processed-gene-3.64-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.64&CDS=1-1248	YOL058W
OG0000720	snap_masked-kipT_s13-processed-gene-3.88-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.88&CDS=1-1803	YER051W
OG0000721	snap_masked-kipT_s13-processed-gene-3.65-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.65&CDS=1-1242	YIL042C
OG0000722	snap_masked-kipT_s13-processed-gene-3.66-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.66&CDS=1-1914	YDL146W
OG0000723	snap_masked-kipT_s13-processed-gene-3.89-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.89&CDS=1-3624	YGR233C
OG0000724	snap_masked-kipT_s13-processed-gene-3.90-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.90&CDS=1-618	YDR002W
OG0000725	snap_masked-kipT_s13-processed-gene-3.91-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.91&CDS=1-3237	YGR218W
OG0000726	snap_masked-kipT_s13-processed-gene-3.70-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.70&CDS=1-1458	YBR003W
OG0000727	snap_masked-kipT_s13-processed-gene-3.93-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.93&CDS=1-843	YGR220C
OG0000728	snap_masked-kipT_s13-processed-gene-3.94-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.94&CDS=1-663	YHR147C
OG0000729	snap_masked-kipT_s13-processed-gene-3.71-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-3.71&CDS=1-549	YHR148W
OG0000730	snap_masked-kipT_s13-processed-gene-4.101-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.101&CDS=1-363	YJL104W
OG0000731	snap_masked-kipT_s13-processed-gene-4.103-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.103&CDS=1-1854	YKR017C
OG0000732	snap_masked-kipT_s13-processed-gene-4.105-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.105&CDS=1-954	YKR030W
OG0000733	snap_masked-kipT_s13-processed-gene-4.125-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.125&CDS=1-672	YNL129W
OG0000734	genemark-kipT_s13-processed-gene-4.17-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-4.17&CDS=1-798	YNL036W
OG0000735	snap_masked-kipT_s13-processed-gene-4.128-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.128&CDS=1-669	YJL055W
OG0000736	snap_masked-kipT_s13-processed-gene-4.108-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.108&CDS=1-801	YAL014C
OG0000737	maker-kipT_s13-augustus-gene-4.8-mRNA-1_1&gene=maker-kipT_s13-augustus-gene-4.8&CDS=1-1359	YJR044C
OG0000738	snap_masked-kipT_s13-processed-gene-4.109-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.109&CDS=1-1569	YOL033W
OG0000739	snap_masked-kipT_s13-processed-gene-4.132-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.132&CDS=1-3240	YOL034W
OG0000740	augustus_masked-kipT_s13-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-4.67&CDS=1-426	YGL106W
OG0000741	maker-kipT_s13-snap-gene-4.3-mRNA-1_1&gene=maker-kipT_s13-snap-gene-4.3&CDS=1-2289	YNL001W
OG0000742	maker-kipT_s13-augustus-gene-4.7-mRNA-1_1&gene=maker-kipT_s13-augustus-gene-4.7&CDS=1-1140	YGR029W
OG0000743	snap_masked-kipT_s13-processed-gene-4.117-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.117&CDS=1-2787	YJL187C
OG0000744	snap_masked-kipT_s13-processed-gene-4.142-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.142&CDS=1-4008	YER008C
OG0000745	snap_masked-kipT_s13-processed-gene-4.143-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.143&CDS=1-561	YBR171W
OG0000746	snap_masked-kipT_s13-processed-gene-4.146-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.146&CDS=1-717	YPL051W
OG0000747	snap_masked-kipT_s13-processed-gene-4.121-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.121&CDS=1-1401	YER081W
OG0000748	snap_masked-kipT_s13-processed-gene-4.122-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-4.122&CDS=1-2895	YIL075C
OG0000749	snap_masked-kipT_s13-processed-gene-5.47-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.47&CDS=1-1617	YER014W
OG0000750	snap_masked-kipT_s13-processed-gene-5.51-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.51&CDS=1-342	YIR009W
OG0000751	snap_masked-kipT_s13-processed-gene-5.52-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.52&CDS=1-1083	YGL143C
OG0000752	snap_masked-kipT_s13-processed-gene-5.53-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.53&CDS=1-1383	YDR316W
OG0000753	snap_masked-kipT_s13-processed-gene-5.49-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.49&CDS=1-1275	YDL097C
OG0000754	snap_masked-kipT_s13-processed-gene-5.54-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.54&CDS=1-2346	YDL116W
OG0000755	snap_masked-kipT_s13-processed-gene-5.50-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.50&CDS=1-2091	YDL113C
OG0000756	snap_masked-kipT_s13-processed-gene-5.55-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.55&CDS=1-4242	YDL112W
OG0000757	snap_masked-kipT_s13-processed-gene-5.74-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.74&CDS=1-867	YDL111C
OG0000758	snap_masked-kipT_s13-processed-gene-5.76-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.76&CDS=1-372	YDL092W
OG0000759	snap_masked-kipT_s13-processed-gene-5.77-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.77&CDS=1-2613	YBR179C
OG0000760	snap_masked-kipT_s13-processed-gene-5.62-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.62&CDS=1-642	YIR032C
OG0000761	snap_masked-kipT_s13-processed-gene-5.64-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.64&CDS=1-2580	YGL233W
OG0000762	snap_masked-kipT_s13-processed-gene-5.65-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.65&CDS=1-885	YMR314W
OG0000763	snap_masked-kipT_s13-processed-gene-5.66-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.66&CDS=1-855	YGL232W
OG0000764	snap_masked-kipT_s13-processed-gene-5.83-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.83&CDS=1-504	YGL231C
OG0000765	snap_masked-kipT_s13-processed-gene-5.84-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.84&CDS=1-1455	YDR403W
OG0000766	snap_masked-kipT_s13-processed-gene-5.70-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.70&CDS=1-3120	YDR060W
OG0000767	genemark-kipT_s13-processed-gene-5.29-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-5.29&CDS=1-3861	YFL036W
OG0000768	snap_masked-kipT_s13-processed-gene-5.88-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-5.88&CDS=1-858	YFL034C-B
OG0000769	augustus_masked-kipT_s13-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-5.128&CDS=1-1815	YNL169C
OG0000770	genemark-kipT_s13-processed-gene-6.99-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-6.99&CDS=1-5853	YOR187W
OG0000771	snap_masked-kipT_s13-processed-gene-6.7-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.7&CDS=1-1161	YBR155W
OG0000772	snap_masked-kipT_s13-processed-gene-6.1-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.1&CDS=1-1905	YLR299W
OG0000773	snap_masked-kipT_s13-processed-gene-6.30-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.30&CDS=1-3837	YOR188W
OG0000774	augustus_masked-kipT_s13-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-6.76&CDS=1-1965	YJR131W
OG0000775	snap_masked-kipT_s13-processed-gene-6.9-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.9&CDS=1-2412	YML076C
OG0000776	maker-kipT_s13-snap-gene-6.93-mRNA-1_1&gene=maker-kipT_s13-snap-gene-6.93&CDS=1-1443	YLR212C
OG0000777	snap_masked-kipT_s13-processed-gene-6.14-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.14&CDS=1-975	YIL041W
OG0000778	snap_masked-kipT_s13-processed-gene-6.36-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.36&CDS=1-1602	YER052C
OG0000779	snap_masked-kipT_s13-processed-gene-6.15-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.15&CDS=1-1836	YER049W
OG0000780	snap_masked-kipT_s13-processed-gene-6.37-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.37&CDS=1-2313	YLL013C
OG0000781	snap_masked-kipT_s13-processed-gene-6.38-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.38&CDS=1-1302	YGR223C
OG0000782	snap_masked-kipT_s13-processed-gene-6.39-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.39&CDS=1-2049	YKL022C
OG0000783	augustus_masked-kipT_s13-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-6.83&CDS=1-4203	YIR034C
OG0000784	snap_masked-kipT_s13-processed-gene-6.45-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.45&CDS=1-4494	YPR184W
OG0000785	genemark-kipT_s13-processed-gene-6.118-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-6.118&CDS=1-5022	YNL139C
OG0000786	snap_masked-kipT_s13-processed-gene-6.46-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.46&CDS=1-1263	YPR186C
OG0000787	snap_masked-kipT_s13-processed-gene-6.27-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.27&CDS=1-453	YDR397C
OG0000788	snap_masked-kipT_s13-processed-gene-6.47-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.47&CDS=1-273	YER074W-A
OG0000789	augustus_masked-kipT_s13-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-6.73&CDS=1-969	YGR048W
OG0000790	snap_masked-kipT_s13-processed-gene-6.48-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-6.48&CDS=1-651	YDR399W
OG0000791	snap_masked-kipT_s13-processed-gene-7.67-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.67&CDS=1-1764	YKL074C
OG0000792	genemark-kipT_s13-processed-gene-7.157-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-7.157&CDS=1-963	YMR055C
OG0000793	snap_masked-kipT_s13-processed-gene-7.68-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.68&CDS=1-861	YCL031C
OG0000794	snap_masked-kipT_s13-processed-gene-7.69-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.69&CDS=1-813	YMR289W
OG0000795	augustus_masked-kipT_s13-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-7.36&CDS=1-1446	YJL025W
OG0000796	snap_masked-kipT_s13-processed-gene-7.106-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.106&CDS=1-2178	YDR017C
OG0000797	snap_masked-kipT_s13-processed-gene-7.108-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.108&CDS=1-549	YJL004C
OG0000798	maker-kipT_s13-augustus-gene-7.232-mRNA-1_1&gene=maker-kipT_s13-augustus-gene-7.232&CDS=1-4152	YLL008W
OG0000799	snap_masked-kipT_s13-processed-gene-7.76-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.76&CDS=1-1374	YJR117W
OG0000800	snap_masked-kipT_s13-processed-gene-7.111-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.111&CDS=1-720	YDL087C
OG0000801	snap_masked-kipT_s13-processed-gene-7.112-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.112&CDS=1-1368	YOL132W
OG0000802	snap_masked-kipT_s13-processed-gene-7.113-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.113&CDS=1-2148	YGL245W
OG0000803	augustus_masked-kipT_s13-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-7.12&CDS=1-3048	YFR048W
OG0000804	snap_masked-kipT_s13-processed-gene-7.80-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.80&CDS=1-660	YFR007W
OG0000805	snap_masked-kipT_s13-processed-gene-7.81-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.81&CDS=1-954	YDR044W
OG0000806	snap_masked-kipT_s13-processed-gene-7.115-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.115&CDS=1-1743	YNL308C
OG0000807	snap_masked-kipT_s13-processed-gene-7.116-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.116&CDS=1-1059	YIL061C
OG0000808	snap_masked-kipT_s13-processed-gene-7.117-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.117&CDS=1-861	YLR126C
OG0000809	snap_masked-kipT_s13-processed-gene-7.86-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.86&CDS=1-960	YNL229C
OG0000810	snap_masked-kipT_s13-processed-gene-7.119-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.119&CDS=1-2895	YPL009C
OG0000811	snap_masked-kipT_s13-processed-gene-7.87-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.87&CDS=1-1029	YPL015C
OG0000812	snap_masked-kipT_s13-processed-gene-7.120-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.120&CDS=1-951	YLR063W
OG0000813	augustus_masked-kipT_s13-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-kipT_s13-processed-gene-7.51&CDS=1-3807	YJL197W
OG0000814	snap_masked-kipT_s13-processed-gene-7.88-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.88&CDS=1-2850	YFL034W
OG0000815	snap_masked-kipT_s13-processed-gene-7.89-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.89&CDS=1-1767	YLR060W
OG0000816	snap_masked-kipT_s13-processed-gene-7.90-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.90&CDS=1-612	YFL005W
OG0000817	snap_masked-kipT_s13-processed-gene-7.123-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.123&CDS=1-639	YFL010C
OG0000818	snap_masked-kipT_s13-processed-gene-7.126-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.126&CDS=1-1461	YKL175W
OG0000819	snap_masked-kipT_s13-processed-gene-7.127-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.127&CDS=1-1335	YKL077W
OG0000820	snap_masked-kipT_s13-processed-gene-7.128-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.128&CDS=1-1035	YMR060C
OG0000821	snap_masked-kipT_s13-processed-gene-7.94-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.94&CDS=1-2223	YMR061W
OG0000822	snap_masked-kipT_s13-processed-gene-7.129-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.129&CDS=1-1092	YMR228W
OG0000823	snap_masked-kipT_s13-processed-gene-7.131-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.131&CDS=1-1320	YLR363C
OG0000824	maker-kipT_s13-snap-gene-7.149-mRNA-1_1&gene=maker-kipT_s13-snap-gene-7.149&CDS=1-978	YGR058W
OG0000825	snap_masked-kipT_s13-processed-gene-7.99-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.99&CDS=1-1683	YER086W
OG0000826	maker-kipT_s13-snap-gene-7.152-mRNA-1_1&gene=maker-kipT_s13-snap-gene-7.152&CDS=1-3075	YLR289W
OG0000827	genemark-kipT_s13-processed-gene-7.224-mRNA-1_1&gene=genemark-kipT_s13-processed-gene-7.224&CDS=1-3714	YLR277C
OG0000828	snap_masked-kipT_s13-processed-gene-7.139-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.139&CDS=1-984	YGR144W
OG0000829	snap_masked-kipT_s13-processed-gene-7.140-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.140&CDS=1-1314	YOL124C
OG0000830	snap_masked-kipT_s13-processed-gene-7.100-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.100&CDS=1-1542	YOL123W
OG0000831	snap_masked-kipT_s13-processed-gene-7.141-mRNA-1_1&gene=snap_masked-kipT_s13-processed-gene-7.141&CDS=1-2841	YDL031W
OG0000832	snap_masked-kipT_s16-processed-gene-0.14-mRNA-1_1&gene=snap_masked-kipT_s16-processed-gene-0.14&CDS=1-3363	YMR287C
OG0000833	snap_masked-kipT_s16-processed-gene-0.17-mRNA-1_1&gene=snap_masked-kipT_s16-processed-gene-0.17&CDS=1-4776	YML103C
OG0000834	snap_masked-kipT_s16-processed-gene-0.18-mRNA-1_1&gene=snap_masked-kipT_s16-processed-gene-0.18&CDS=1-1257	YMR208W
OG0000835	augustus_masked-kipT_s19-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-0.38&CDS=1-1614	YHL029C
OG0000836	snap_masked-kipT_s19-processed-gene-0.19-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.19&CDS=1-1638	YDR481C
OG0000837	snap_masked-kipT_s19-processed-gene-0.20-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.20&CDS=1-1038	YGL159W
OG0000838	snap_masked-kipT_s19-processed-gene-0.22-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.22&CDS=1-2298	YGL009C
OG0000839	snap_masked-kipT_s19-processed-gene-0.23-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.23&CDS=1-2355	YDR416W
OG0000840	snap_masked-kipT_s19-processed-gene-0.9-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.9&CDS=1-1863	YMR068W
OG0000841	snap_masked-kipT_s19-processed-gene-0.10-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.10&CDS=1-3123	YCR092C
OG0000842	snap_masked-kipT_s19-processed-gene-0.11-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.11&CDS=1-1533	YMR067C
OG0000843	snap_masked-kipT_s19-processed-gene-0.12-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.12&CDS=1-762	YEL009C
OG0000844	snap_masked-kipT_s19-processed-gene-0.27-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.27&CDS=1-999	YJL088W
OG0000845	snap_masked-kipT_s19-processed-gene-0.13-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.13&CDS=1-960	YNR003C
OG0000846	snap_masked-kipT_s19-processed-gene-0.29-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.29&CDS=1-807	YBR257W
OG0000847	snap_masked-kipT_s19-processed-gene-0.14-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.14&CDS=1-1209	YJL046W
OG0000848	snap_masked-kipT_s19-processed-gene-0.16-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.16&CDS=1-1098	YER107C
OG0000849	genemark-kipT_s19-processed-gene-0.94-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-0.94&CDS=1-2523	YMR164C
OG0000850	snap_masked-kipT_s19-processed-gene-0.34-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.34&CDS=1-1452	YBL082C
OG0000851	maker-kipT_s19-snap-gene-0.116-mRNA-1_1&gene=maker-kipT_s19-snap-gene-0.116&CDS=1-2178	YOL144W
OG0000852	snap_masked-kipT_s19-processed-gene-0.36-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-0.36&CDS=1-684	YOL147C
OG0000853	snap_masked-kipT_s19-processed-gene-1.86-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.86&CDS=1-2823	YOR160W
OG0000854	snap_masked-kipT_s19-processed-gene-1.60-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.60&CDS=1-561	YDR454C
OG0000855	snap_masked-kipT_s19-processed-gene-1.63-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.63&CDS=1-1023	YBR159W
OG0000856	snap_masked-kipT_s19-processed-gene-1.64-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.64&CDS=1-1020	YNL007C
OG0000857	snap_masked-kipT_s19-processed-gene-1.65-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.65&CDS=1-987	YNL006W
OG0000858	snap_masked-kipT_s19-processed-gene-1.88-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.88&CDS=1-2511	YLR176C
OG0000859	snap_masked-kipT_s19-processed-gene-1.66-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.66&CDS=1-837	YNL002C
OG0000860	genemark-kipT_s19-processed-gene-1.20-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-1.20&CDS=1-1866	YNL003C
OG0000861	snap_masked-kipT_s19-processed-gene-1.69-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.69&CDS=1-1356	YCL017C
OG0000862	snap_masked-kipT_s19-processed-gene-1.70-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.70&CDS=1-1113	YCL018W
OG0000863	snap_masked-kipT_s19-processed-gene-1.89-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.89&CDS=1-4272	YCL014W
OG0000864	genemark-kipT_s19-processed-gene-1.42-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-1.42&CDS=1-828	YCL010C
OG0000865	snap_masked-kipT_s19-processed-gene-1.72-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.72&CDS=1-1677	YCL004W
OG0000866	snap_masked-kipT_s19-processed-gene-1.73-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.73&CDS=1-1128	YNL005C
OG0000867	snap_masked-kipT_s19-processed-gene-1.92-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.92&CDS=1-216	YOR210W
OG0000868	snap_masked-kipT_s19-processed-gene-1.76-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.76&CDS=1-2412	YPL126W
OG0000869	snap_masked-kipT_s19-processed-gene-1.93-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.93&CDS=1-2694	YOR211C
OG0000870	snap_masked-kipT_s19-processed-gene-1.95-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.95&CDS=1-315	YDL130W
OG0000871	snap_masked-kipT_s19-processed-gene-1.78-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.78&CDS=1-903	YGR101W
OG0000872	snap_masked-kipT_s19-processed-gene-1.96-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.96&CDS=1-615	YFR001W
OG0000873	snap_masked-kipT_s19-processed-gene-1.98-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-1.98&CDS=1-915	YDR280W
OG0000874	snap_masked-kipT_s19-processed-gene-2.58-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.58&CDS=1-960	YJL059W
OG0000875	snap_masked-kipT_s19-processed-gene-2.59-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.59&CDS=1-768	YOR238W
OG0000876	snap_masked-kipT_s19-processed-gene-2.60-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.60&CDS=1-1812	YJL071W
OG0000877	snap_masked-kipT_s19-processed-gene-2.63-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.63&CDS=1-2007	YJL062W
OG0000878	snap_masked-kipT_s19-processed-gene-2.85-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.85&CDS=1-1176	YBR267W
OG0000879	snap_masked-kipT_s19-processed-gene-2.64-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.64&CDS=1-2166	YOR001W
OG0000880	augustus_masked-kipT_s19-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-kipT_s19-processed-gene-2.110&CDS=1-5421	YBR248C
OG0000881	snap_masked-kipT_s19-processed-gene-2.68-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.68&CDS=1-744	YMR038C
OG0000882	snap_masked-kipT_s19-processed-gene-2.69-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.69&CDS=1-2700	YOR353C
OG0000883	snap_masked-kipT_s19-processed-gene-2.72-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.72&CDS=1-2142	YHR074W
OG0000884	snap_masked-kipT_s19-processed-gene-2.88-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.88&CDS=1-1089	YHR075C
OG0000885	snap_masked-kipT_s19-processed-gene-2.73-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.73&CDS=1-882	YJL035C
OG0000886	genemark-kipT_s19-processed-gene-2.21-mRNA-1_1&gene=genemark-kipT_s19-processed-gene-2.21&CDS=1-1491	YLR005W
OG0000887	snap_masked-kipT_s19-processed-gene-2.89-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.89&CDS=1-3114	YML010W
OG0000888	snap_masked-kipT_s19-processed-gene-2.76-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.76&CDS=1-552	YML022W
OG0000889	snap_masked-kipT_s19-processed-gene-2.90-mRNA-1_1&gene=snap_masked-kipT_s19-processed-gene-2.90&CDS=1-270	YDR424C
