	Ascoidea_asiatica	Saccharomyces_cerevisiae
OG0000761	-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-0.27&CDS=1-1605, -processed-gene-5.88-mRNA-1_1&gene=augustus_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-5.88&CDS=1-1713	
OG0000762	-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-0.29&CDS=1-1128	YDR400W
OG0000763	-processed-gene-1.159-mRNA-1_1&gene=snap_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.159&CDS=1-1650	YBR286W
OG0000764	-processed-gene-1.165-mRNA-1_1&gene=snap_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.165&CDS=1-3054	YPL128C
OG0000765	-processed-gene-1.166-mRNA-1_1&gene=snap_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.166&CDS=1-1143	YOR176W
OG0000766	-processed-gene-1.167-mRNA-1_1&gene=snap_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.167&CDS=1-2388	YJL010C
OG0000767	-snap-gene-1.86-mRNA-1_1&gene=maker-gi|1002316717|dbj|BCKQ01000019.1|-snap-gene-1.86&CDS=1-3327	YIL047C
OG0000768	-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.37&CDS=1-2958	YNL012W
OG0000769	-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.38&CDS=1-708	YOR289W
OG0000770	-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.39&CDS=1-960	YHL011C
OG0000771	-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.9&CDS=1-1821	YER036C
OG0000772	-processed-gene-1.172-mRNA-1_1&gene=snap_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.172&CDS=1-1476	YDR388W
OG0000773	-processed-gene-1.173-mRNA-1_1&gene=snap_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.173&CDS=1-2472	YDR208W
OG0000774	-processed-gene-1.211-mRNA-1_1&gene=snap_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.211&CDS=1-615	YFL005W
OG0000775	-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.41&CDS=1-1056	YMR055C
OG0000776	-processed-gene-1.175-mRNA-1_1&gene=snap_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.175&CDS=1-348	YGR074W
OG0000777	-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.14&CDS=1-858	YJR101W
OG0000778	-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.46&CDS=1-5316	YMR164C
OG0000779	-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.15&CDS=1-1782	YKR093W
OG0000780	-processed-gene-1.183-mRNA-1_1&gene=snap_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.183&CDS=1-1632	YPL214C
OG0000781	-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.52&CDS=1-2571	YPR112C
OG0000782	-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.22&CDS=1-2085	YEL042W
OG0000783	-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.24&CDS=1-2691	YGR200C
OG0000784	-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.57&CDS=1-2754	YDR137W
OG0000785	-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.28&CDS=1-4140	YHR077C
OG0000786	-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.58&CDS=1-1269	YMR235C
OG0000787	-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.31&CDS=1-1023	YBR046C
OG0000788	-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-1.62&CDS=1-513	YIL098C
OG0000789	-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-0.36&CDS=1-723	YLR025W
OG0000790	-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-0.48&CDS=1-2421	YKR017C
OG0000791	-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-0.37&CDS=1-2244	YML016C
OG0000792	-processed-gene-0.9-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-0.9&CDS=1-1599	YBR162C
OG0000793	-processed-gene-0.10-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-0.10&CDS=1-417	YPR100W
OG0000794	-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-0.49&CDS=1-5067	YPR095C
OG0000795	-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-0.50&CDS=1-675	YDR013W
OG0000796	-processed-gene-0.27-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-0.27&CDS=1-2901	YJL102W
OG0000797	-processed-gene-0.13-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-0.13&CDS=1-999	YKR026C
OG0000798	-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-1.73&CDS=1-2745	YOR206W
OG0000799	-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-1.64&CDS=1-1257	YER118C
OG0000800	-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-1.68&CDS=1-2409	YBR086C
OG0000801	-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-1.80&CDS=1-675	YOL139C
OG0000802	-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-1.81&CDS=1-5586	YJL109C
OG0000803	-processed-gene-1.15-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-1.15&CDS=1-1170	YBR185C
OG0000804	-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-1.71&CDS=1-978	YGR104C
OG0000805	-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-1.72&CDS=1-1260	YJL059W
OG0000806	-processed-gene-2.3-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.3&CDS=1-1299	YJL060W
OG0000807	-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.52&CDS=1-1290	YIL103W
OG0000808	-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.55&CDS=1-783	YMR134W
OG0000809	-processed-gene-2.2-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.2&CDS=1-2274	YBR142W
OG0000810	-snap-gene-2.133-mRNA-1_1&gene=maker-gi|1002316718|dbj|BCKQ01000018.1|-snap-gene-2.133&CDS=1-1617	YBR288C
OG0000811	-processed-gene-2.32-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.32&CDS=1-450	YPR062W
OG0000812	-processed-gene-2.33-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.33&CDS=1-2643	YPR007C
OG0000813	-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.78&CDS=1-1431	YFL002C
OG0000814	-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.56&CDS=1-1365	YFL001W
OG0000815	-processed-gene-2.9-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.9&CDS=1-663	YDR486C
OG0000816	-processed-gene-2.35-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.35&CDS=1-1002	YOL096C
OG0000817	-processed-gene-2.101-mRNA-1_1&gene=genemark-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.101&CDS=1-2214	YDR485C
OG0000818	-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.80&CDS=1-1470	YHR065C
OG0000819	-processed-gene-2.10-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.10&CDS=1-813	YGR024C
OG0000820	-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.81&CDS=1-693	YER170W
OG0000821	-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.62&CDS=1-792	YBR153W
OG0000822	-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.82&CDS=1-642	YBR154C
OG0000823	-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.83&CDS=1-834	YJL158C
OG0000824	-processed-gene-2.108-mRNA-1_1&gene=genemark-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.108&CDS=1-900	YBR291C
OG0000825	-processed-gene-2.18-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.18&CDS=1-1497	YBR290W
OG0000826	-processed-gene-2.43-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.43&CDS=1-1083	YPR004C
OG0000827	-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.68&CDS=1-1152	YBR146W
OG0000828	-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.69&CDS=1-918	YBR151W
OG0000829	-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.88&CDS=1-348	YOL080C
OG0000830	-processed-gene-2.47-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.47&CDS=1-3243	YDR490C
OG0000831	-processed-gene-2.26-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.26&CDS=1-915	YMR244W
OG0000832	-processed-gene-2.27-mRNA-1_1&gene=snap_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.27&CDS=1-405	YOL086W-A
OG0000833	-snap-gene-2.134-mRNA-1_1&gene=maker-gi|1002316718|dbj|BCKQ01000018.1|-snap-gene-2.134&CDS=1-195	YOL077W-A
OG0000834	-snap-gene-2.135-mRNA-1_1&gene=maker-gi|1002316718|dbj|BCKQ01000018.1|-snap-gene-2.135&CDS=1-4239	YOL087C
OG0000835	-processed-gene-0.99-mRNA-1_1&gene=genemark-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.99&CDS=1-1071	YDR005C
OG0000836	-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.42&CDS=1-1056	YDR246W
OG0000837	-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.61&CDS=1-1350	YDR245W
OG0000838	-processed-gene-0.2-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.2&CDS=1-900	YDL198C
OG0000839	-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.62&CDS=1-2682	YNL238W
OG0000840	-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.63&CDS=1-1800	YDR243C
OG0000841	-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.45&CDS=1-453	YDL208W
OG0000842	-snap-gene-0.122-mRNA-1_1&gene=maker-gi|1002316719|dbj|BCKQ01000017.1|-snap-gene-0.122&CDS=1-888	YDR236C
OG0000843	-processed-gene-0.3-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.3&CDS=1-1863	YDR235W
OG0000844	-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.65&CDS=1-825	YDR054C
OG0000845	-processed-gene-0.25-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.25&CDS=1-1713	YLR212C
OG0000846	-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.67&CDS=1-834	YIL043C
OG0000847	-processed-gene-0.27-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.27&CDS=1-300	YDR322C-A
OG0000848	-processed-gene-0.8-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.8&CDS=1-1380	YIR011C
OG0000849	-processed-gene-0.29-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.29&CDS=1-1008	YKL189W
OG0000850	-processed-gene-0.9-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.9&CDS=1-738	YBR256C
OG0000851	-processed-gene-0.33-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.33&CDS=1-1743	YPL122C
OG0000852	-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.53&CDS=1-1587	YMR300C
OG0000853	-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.74&CDS=1-3564	YJR109C
OG0000854	-processed-gene-0.35-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.35&CDS=1-753	YFL045C
OG0000855	-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.77&CDS=1-582	YER012W
OG0000856	-processed-gene-0.14-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.14&CDS=1-1602	YKL217W
OG0000857	-processed-gene-0.15-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.15&CDS=1-894	YML052W
OG0000858	-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.57&CDS=1-708	YGR113W
OG0000859	-snap-gene-0.120-mRNA-1_1&gene=maker-gi|1002316719|dbj|BCKQ01000017.1|-snap-gene-0.120&CDS=1-3603	YGL141W
OG0000860	-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.49&CDS=1-1509	YGL100W
OG0000861	-processed-gene-1.1-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.1&CDS=1-1176	YJR060W
OG0000862	-processed-gene-1.5-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.5&CDS=1-474	YKL167C
OG0000863	-processed-gene-1.108-mRNA-1_1&gene=genemark-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.108&CDS=1-381	YKL170W
OG0000864	-processed-gene-1.6-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.6&CDS=1-1821	YDR481C
OG0000865	-processed-gene-1.7-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.7&CDS=1-888	YJL148W
OG0000866	-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.72&CDS=1-267	YBL029C-A
OG0000867	-processed-gene-1.30-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.30&CDS=1-543	YML094W
OG0000868	-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.76&CDS=1-2646	YML013W
OG0000869	-processed-gene-1.15-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.15&CDS=1-633	YLR292C
OG0000870	-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.62&CDS=1-2442	YBR255W
OG0000871	-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.63&CDS=1-1296	YOR196C
OG0000872	-augustus-gene-1.131-mRNA-1_1&gene=maker-gi|1002316719|dbj|BCKQ01000017.1|-augustus-gene-1.131&CDS=1-1704	YBR170C
OG0000873	-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.79&CDS=1-2334	YKR056W
OG0000874	-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.80&CDS=1-969	YBR251W
OG0000875	-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.66&CDS=1-1536	YER090W
OG0000876	-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.83&CDS=1-3135	YCR092C
OG0000877	-processed-gene-1.21-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.21&CDS=1-2085	YBR121C
OG0000878	-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.85&CDS=1-1230	YGR062C
OG0000879	-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.86&CDS=1-906	YNL284C
OG0000880	-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.97&CDS=1-1743	YMR227C
OG0000881	-processed-gene-2.74-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.74&CDS=1-1101	YER095W
OG0000882	-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.103&CDS=1-2451	YDR164C
OG0000883	-processed-gene-2.59-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.59&CDS=1-2550	YLR319C
OG0000884	-processed-gene-2.76-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.76&CDS=1-435	YGR174C
OG0000885	-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.122&CDS=1-1494	YGR175C
OG0000886	-processed-gene-2.78-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.78&CDS=1-1743	YHR037W
OG0000887	-processed-gene-2.80-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.80&CDS=1-921	YJR077C
OG0000888	-augustus-gene-2.50-mRNA-1_1&gene=maker-gi|1002316719|dbj|BCKQ01000017.1|-augustus-gene-2.50&CDS=1-330	YBR254C
OG0000889	-processed-gene-2.83-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.83&CDS=1-1452	YCR079W
OG0000890	-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.133&CDS=1-1260	YNL263C
OG0000891	-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.111&CDS=1-1902	YML128C
OG0000892	-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.135&CDS=1-2448	YJL033W
OG0000893	-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.136&CDS=1-1869	YNL048W
OG0000894	-processed-gene-2.70-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.70&CDS=1-1392	YLR330W
OG0000895	-processed-gene-2.92-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.92&CDS=1-372	YGR020C
OG0000896	-processed-gene-2.72-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-2.72&CDS=1-882	YGR021W
OG0000897	-snap-gene-2.49-mRNA-1_1&gene=maker-gi|1002316719|dbj|BCKQ01000017.1|-snap-gene-2.49&CDS=1-2286	YNL272C
OG0000898	-processed-gene-0.61-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-0.61&CDS=1-3156	YPR185W
OG0000899	-processed-gene-0.46-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-0.46&CDS=1-1125	YPR191W
OG0000900	-processed-gene-0.47-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-0.47&CDS=1-4725	YPR184W
OG0000901	-processed-gene-0.62-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-0.62&CDS=1-3210	YDR028C
OG0000902	-snap-gene-0.19-mRNA-1_1&gene=maker-gi|1002316720|dbj|BCKQ01000016.1|-snap-gene-0.19&CDS=1-2793	YLR115W
OG0000903	-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-0.8&CDS=1-3012	YPL007C
OG0000904	-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-0.9&CDS=1-606	YCL001W
OG0000905	-processed-gene-1.35-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.35&CDS=1-2361	YDR001C
OG0000906	-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.78&CDS=1-999	YBR057C
OG0000907	-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.75&CDS=1-1467	YIR008C
OG0000908	-processed-gene-1.40-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.40&CDS=1-354	YLR295C
OG0000909	-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.94&CDS=1-1155	YGL115W
OG0000910	-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.80&CDS=1-453	YPR187W
OG0000911	-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.96&CDS=1-3615	YDR128W
OG0000912	-processed-gene-1.61-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.61&CDS=1-1626	YDR036C
OG0000913	-processed-gene-1.63-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.63&CDS=1-1362	YCL016C
OG0000914	-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.100&CDS=1-723	YLR421C
OG0000915	-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.84&CDS=1-1284	YDL193W
OG0000916	-processed-gene-1.68-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.68&CDS=1-1179	YFL030W
OG0000917	-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.87&CDS=1-1905	YMR065W
OG0000918	-processed-gene-1.69-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.69&CDS=1-927	YNL002C
OG0000919	-processed-gene-1.51-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.51&CDS=1-3924	YLR176C
OG0000920	-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.107&CDS=1-6198	YLR422W
OG0000921	-snap-gene-1.0-mRNA-1_1&gene=maker-gi|1002316720|dbj|BCKQ01000016.1|-snap-gene-1.0&CDS=1-1545	YCL008C
OG0000922	-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-2.2&CDS=1-1158	YDR035W
OG0000923	-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-2.3&CDS=1-699	YOR319W
OG0000924	-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-2.4&CDS=1-1206	YBR231C
OG0000925	-processed-gene-2.159-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-2.159&CDS=1-1059	YPL266W
