	Metschnikowia_dekortum	Saccharomyces_cerevisiae
OG0000551	genemark-dek_s100-processed-gene-0.16-mRNA-1_1&gene=genemark-dek_s100-processed-gene-0.16&CDS=1-984	YNL290W
OG0000552	genemark-dek_s100-processed-gene-0.17-mRNA-1_1&gene=genemark-dek_s100-processed-gene-0.17&CDS=1-1188	YKL090W
OG0000553	genemark-dek_s100-processed-gene-0.36-mRNA-1_1&gene=genemark-dek_s100-processed-gene-0.36&CDS=1-1113	YKR038C
OG0000554	genemark-dek_s100-processed-gene-0.37-mRNA-1_1&gene=genemark-dek_s100-processed-gene-0.37&CDS=1-315	YGL030W
OG0000555	genemark-dek_s101-processed-gene-0.40-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.40&CDS=1-1155	YLL057C
OG0000556	snap_masked-dek_s101-processed-gene-0.29-mRNA-1_1&gene=snap_masked-dek_s101-processed-gene-0.29&CDS=1-3969	YBL047C
OG0000557	snap_masked-dek_s101-processed-gene-0.13-mRNA-1_1&gene=snap_masked-dek_s101-processed-gene-0.13&CDS=1-600	YHR089C
OG0000558	genemark-dek_s101-processed-gene-0.58-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.58&CDS=1-1128	YDR336W
OG0000559	genemark-dek_s101-processed-gene-0.44-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.44&CDS=1-5307	YKR031C
OG0000560	augustus_masked-dek_s101-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-dek_s101-processed-gene-0.72&CDS=1-645	YHR181W
OG0000561	genemark-dek_s101-processed-gene-0.61-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.61&CDS=1-1083	YDL006W
OG0000562	genemark-dek_s101-processed-gene-0.49-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.49&CDS=1-900	YKL094W
OG0000563	genemark-dek_s101-processed-gene-0.50-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.50&CDS=1-2109	YDR081C
OG0000564	genemark-dek_s101-processed-gene-0.62-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.62&CDS=1-294	YDR079W
OG0000565	genemark-dek_s101-processed-gene-0.51-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.51&CDS=1-702	YDR084C
OG0000566	genemark-dek_s101-processed-gene-0.63-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.63&CDS=1-3180	YDR080W
OG0000567	genemark-dek_s101-processed-gene-0.64-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.64&CDS=1-3678	YDL101C
OG0000568	genemark-dek_s101-processed-gene-0.52-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.52&CDS=1-1578	YJL014W
OG0000569	genemark-dek_s101-processed-gene-0.53-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.53&CDS=1-2874	YDL117W
OG0000570	genemark-dek_s101-processed-gene-0.54-mRNA-1_1&gene=genemark-dek_s101-processed-gene-0.54&CDS=1-948	YDL108W
OG0000571	genemark-dek_s105-processed-gene-0.1-mRNA-1_1&gene=genemark-dek_s105-processed-gene-0.1&CDS=1-1452	YGL055W
OG0000572	genemark-dek_s105-processed-gene-0.2-mRNA-1_1&gene=genemark-dek_s105-processed-gene-0.2&CDS=1-468	YOR357C
OG0000573	genemark-dek_s105-processed-gene-0.12-mRNA-1_1&gene=genemark-dek_s105-processed-gene-0.12&CDS=1-2022	YPR074C
OG0000574	genemark-dek_s105-processed-gene-0.14-mRNA-1_1&gene=genemark-dek_s105-processed-gene-0.14&CDS=1-1977	YPR072W
OG0000575	augustus_masked-dek_s105-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-dek_s105-processed-gene-0.40&CDS=1-474	YPR073C
OG0000576	genemark-dek_s105-processed-gene-0.16-mRNA-1_1&gene=genemark-dek_s105-processed-gene-0.16&CDS=1-3411	YOL051W
OG0000577	genemark-dek_s105-processed-gene-0.17-mRNA-1_1&gene=genemark-dek_s105-processed-gene-0.17&CDS=1-2943	YLR129W
OG0000578	genemark-dek_s105-processed-gene-0.4-mRNA-1_1&gene=genemark-dek_s105-processed-gene-0.4&CDS=1-2643	YDR160W
OG0000579	snap_masked-dek_s105-processed-gene-0.60-mRNA-1_1&gene=snap_masked-dek_s105-processed-gene-0.60&CDS=1-5637	YLR422W
OG0000580	genemark-dek_s105-processed-gene-0.7-mRNA-1_1&gene=genemark-dek_s105-processed-gene-0.7&CDS=1-351	YKL192C
OG0000581	genemark-dek_s105-processed-gene-0.20-mRNA-1_1&gene=genemark-dek_s105-processed-gene-0.20&CDS=1-1074	YLR291C
OG0000582	maker-dek_s108-augustus-gene-0.2-mRNA-1_1&gene=maker-dek_s108-augustus-gene-0.2&CDS=1-3957	YKL215C
OG0000583	genemark-dek_s108-processed-gene-0.64-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.64&CDS=1-1722	YKR016W
OG0000584	genemark-dek_s108-processed-gene-0.65-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.65&CDS=1-1422	YJL081C
OG0000585	genemark-dek_s108-processed-gene-0.66-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.66&CDS=1-1830	YMR092C
OG0000586	genemark-dek_s108-processed-gene-0.67-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.67&CDS=1-2091	YEL011W
OG0000587	snap_masked-dek_s108-processed-gene-0.10-mRNA-1_1&gene=snap_masked-dek_s108-processed-gene-0.10&CDS=1-1938	YMR106C
OG0000588	genemark-dek_s108-processed-gene-0.83-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.83&CDS=1-1101	YMR097C
OG0000589	genemark-dek_s108-processed-gene-0.69-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.69&CDS=1-864	YKL110C
OG0000590	genemark-dek_s108-processed-gene-0.84-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.84&CDS=1-738	YKL099C
OG0000591	genemark-dek_s108-processed-gene-0.70-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.70&CDS=1-1791	YMR098C
OG0000592	snap_masked-dek_s108-processed-gene-0.30-mRNA-1_1&gene=snap_masked-dek_s108-processed-gene-0.30&CDS=1-1506	YKR023W
OG0000593	snap_masked-dek_s108-processed-gene-0.15-mRNA-1_1&gene=snap_masked-dek_s108-processed-gene-0.15&CDS=1-1431	YJL106W
OG0000594	snap_masked-dek_s108-processed-gene-0.16-mRNA-1_1&gene=snap_masked-dek_s108-processed-gene-0.16&CDS=1-909	YGR127W
OG0000595	genemark-dek_s108-processed-gene-0.73-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.73&CDS=1-1026	YPR147C
OG0000596	maker-dek_s108-augustus-gene-0.1-mRNA-1_1&gene=maker-dek_s108-augustus-gene-0.1&CDS=1-2454	YBR034C
OG0000597	genemark-dek_s108-processed-gene-0.76-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.76&CDS=1-384	YCL033C
OG0000598	genemark-dek_s108-processed-gene-0.86-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.86&CDS=1-945	YDL015C
OG0000599	genemark-dek_s108-processed-gene-0.77-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.77&CDS=1-450	YOR298C-A
OG0000600	genemark-dek_s108-processed-gene-0.87-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.87&CDS=1-636	YKR014C
OG0000601	genemark-dek_s108-processed-gene-0.88-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.88&CDS=1-6027	YJL109C
OG0000602	genemark-dek_s108-processed-gene-0.78-mRNA-1_1&gene=genemark-dek_s108-processed-gene-0.78&CDS=1-1692	YOR348C
OG0000603	genemark-dek_s109-processed-gene-0.31-mRNA-1_1&gene=genemark-dek_s109-processed-gene-0.31&CDS=1-1536	YCR053W
OG0000604	genemark-dek_s109-processed-gene-0.23-mRNA-1_1&gene=genemark-dek_s109-processed-gene-0.23&CDS=1-1158	YGR046W
OG0000605	genemark-dek_s109-processed-gene-0.24-mRNA-1_1&gene=genemark-dek_s109-processed-gene-0.24&CDS=1-459	YMR263W
OG0000606	genemark-dek_s109-processed-gene-0.25-mRNA-1_1&gene=genemark-dek_s109-processed-gene-0.25&CDS=1-1911	YML102W
OG0000607	genemark-dek_s109-processed-gene-0.33-mRNA-1_1&gene=genemark-dek_s109-processed-gene-0.33&CDS=1-654	YMR264W
OG0000608	genemark-dek_s109-processed-gene-0.26-mRNA-1_1&gene=genemark-dek_s109-processed-gene-0.26&CDS=1-1524	YKL103C
OG0000609	genemark-dek_s109-processed-gene-0.37-mRNA-1_1&gene=genemark-dek_s109-processed-gene-0.37&CDS=1-1422	YGR009C
OG0000610	maker-dek_s109-augustus-gene-0.64-mRNA-1_1&gene=maker-dek_s109-augustus-gene-0.64&CDS=1-633	YDL208W
OG0000611	genemark-dek_s109-processed-gene-0.40-mRNA-1_1&gene=genemark-dek_s109-processed-gene-0.40&CDS=1-2832	YDR238C
OG0000612	genemark-dek_s11-processed-gene-0.8-mRNA-1_1&gene=genemark-dek_s11-processed-gene-0.8&CDS=1-1083	YMR152W
OG0000613	genemark-dek_s11-processed-gene-0.5-mRNA-1_1&gene=genemark-dek_s11-processed-gene-0.5&CDS=1-711	YPL002C
OG0000614	genemark-dek_s11-processed-gene-0.9-mRNA-1_1&gene=genemark-dek_s11-processed-gene-0.9&CDS=1-1209	YCR044C
OG0000615	genemark-dek_s111-processed-gene-0.49-mRNA-1_1&gene=genemark-dek_s111-processed-gene-0.49&CDS=1-339	YKL138C
OG0000616	snap_masked-dek_s111-processed-gene-0.4-mRNA-1_1&gene=snap_masked-dek_s111-processed-gene-0.4&CDS=1-363	YKL137W
OG0000617	genemark-dek_s111-processed-gene-0.52-mRNA-1_1&gene=genemark-dek_s111-processed-gene-0.52&CDS=1-2520	YGL023C
OG0000618	genemark-dek_s111-processed-gene-0.53-mRNA-1_1&gene=genemark-dek_s111-processed-gene-0.53&CDS=1-2241	YGL022W
OG0000619	genemark-dek_s111-processed-gene-0.56-mRNA-1_1&gene=genemark-dek_s111-processed-gene-0.56&CDS=1-570	YGL010W
OG0000620	genemark-dek_s111-processed-gene-0.75-mRNA-1_1&gene=genemark-dek_s111-processed-gene-0.75&CDS=1-1575	YGL192W
OG0000621	genemark-dek_s111-processed-gene-0.76-mRNA-1_1&gene=genemark-dek_s111-processed-gene-0.76&CDS=1-3909	YBL007C
OG0000622	genemark-dek_s111-processed-gene-0.77-mRNA-1_1&gene=genemark-dek_s111-processed-gene-0.77&CDS=1-1095	YGL185C
OG0000623	genemark-dek_s111-processed-gene-0.57-mRNA-1_1&gene=genemark-dek_s111-processed-gene-0.57&CDS=1-1755	YJR016C
OG0000624	genemark-dek_s111-processed-gene-0.78-mRNA-1_1&gene=genemark-dek_s111-processed-gene-0.78&CDS=1-3966	YPR049C
OG0000625	augustus_masked-dek_s111-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-dek_s111-processed-gene-0.117&CDS=1-1863	YML042W
OG0000626	augustus_masked-dek_s114-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-dek_s114-processed-gene-0.32&CDS=1-1611	YLL034C
OG0000627	genemark-dek_s114-processed-gene-0.0-mRNA-1_1&gene=genemark-dek_s114-processed-gene-0.0&CDS=1-357	YFL014W
OG0000628	genemark-dek_s114-processed-gene-0.1-mRNA-1_1&gene=genemark-dek_s114-processed-gene-0.1&CDS=1-1011	YNR054C
OG0000629	maker-dek_s114-augustus-gene-0.48-mRNA-1_1&gene=maker-dek_s114-augustus-gene-0.48&CDS=1-5673	YDR141C
OG0000630	snap_masked-dek_s114-processed-gene-0.64-mRNA-1_1&gene=snap_masked-dek_s114-processed-gene-0.64&CDS=1-1332	YML080W
OG0000631	genemark-dek_s114-processed-gene-0.2-mRNA-1_1&gene=genemark-dek_s114-processed-gene-0.2&CDS=1-639	YGL047W
OG0000632	genemark-dek_s114-processed-gene-0.3-mRNA-1_1&gene=genemark-dek_s114-processed-gene-0.3&CDS=1-474	YML098W
OG0000633	genemark-dek_s114-processed-gene-0.15-mRNA-1_1&gene=genemark-dek_s114-processed-gene-0.15&CDS=1-3522	YIL030C
OG0000634	genemark-dek_s114-processed-gene-0.16-mRNA-1_1&gene=genemark-dek_s114-processed-gene-0.16&CDS=1-2991	YDL095W
OG0000635	augustus_masked-dek_s114-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-dek_s114-processed-gene-0.27&CDS=1-2541	YBL014C
OG0000636	augustus_masked-dek_s114-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-dek_s114-processed-gene-0.39&CDS=1-2277	YGL026C
OG0000637	genemark-dek_s114-processed-gene-0.5-mRNA-1_1&gene=genemark-dek_s114-processed-gene-0.5&CDS=1-1032	YBL013W
OG0000638	genemark-dek_s114-processed-gene-0.21-mRNA-1_1&gene=genemark-dek_s114-processed-gene-0.21&CDS=1-9321	YLL040C
OG0000639	genemark-dek_s114-processed-gene-0.6-mRNA-1_1&gene=genemark-dek_s114-processed-gene-0.6&CDS=1-2493	YGL180W
OG0000640	genemark-dek_s114-processed-gene-0.22-mRNA-1_1&gene=genemark-dek_s114-processed-gene-0.22&CDS=1-3237	YGL179C
OG0000641	genemark-dek_s114-processed-gene-0.23-mRNA-1_1&gene=genemark-dek_s114-processed-gene-0.23&CDS=1-786	YLR421C
OG0000642	maker-dek_s114-augustus-gene-0.47-mRNA-1_1&gene=maker-dek_s114-augustus-gene-0.47&CDS=1-1767	YLR314C
OG0000643	snap_masked-dek_s114-processed-gene-0.60-mRNA-1_1&gene=snap_masked-dek_s114-processed-gene-0.60&CDS=1-801	YLL023C
OG0000644	genemark-dek_s12-processed-gene-0.38-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.38&CDS=1-1932	YLL024C
OG0000645	genemark-dek_s12-processed-gene-0.66-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.66&CDS=1-648	YPL067C
OG0000646	genemark-dek_s12-processed-gene-0.43-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.43&CDS=1-1344	YDL020C
OG0000647	genemark-dek_s12-processed-gene-0.67-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.67&CDS=1-933	YMR010W
OG0000648	genemark-dek_s12-processed-gene-0.44-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.44&CDS=1-1653	YER065C
OG0000649	genemark-dek_s12-processed-gene-0.68-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.68&CDS=1-1005	YPL031C
OG0000650	genemark-dek_s12-processed-gene-0.69-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.69&CDS=1-1704	YPL030W
OG0000651	snap_masked-dek_s12-processed-gene-0.125-mRNA-1_1&gene=snap_masked-dek_s12-processed-gene-0.125&CDS=1-1728	YDR255C
OG0000652	snap_masked-dek_s12-processed-gene-0.126-mRNA-1_1&gene=snap_masked-dek_s12-processed-gene-0.126&CDS=1-282	YPL046C
OG0000653	genemark-dek_s12-processed-gene-0.46-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.46&CDS=1-2799	YPL045W
OG0000654	snap_masked-dek_s12-processed-gene-0.127-mRNA-1_1&gene=snap_masked-dek_s12-processed-gene-0.127&CDS=1-1380	YDR254W
OG0000655	genemark-dek_s12-processed-gene-0.47-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.47&CDS=1-2169	YPL043W
OG0000656	genemark-dek_s12-processed-gene-0.73-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.73&CDS=1-942	YDL047W
OG0000657	genemark-dek_s12-processed-gene-0.48-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.48&CDS=1-741	YER050C
OG0000658	genemark-dek_s12-processed-gene-0.50-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.50&CDS=1-918	YER016W
OG0000659	snap_masked-dek_s12-processed-gene-0.129-mRNA-1_1&gene=snap_masked-dek_s12-processed-gene-0.129&CDS=1-267	YER058W
OG0000660	maker-dek_s12-augustus-gene-0.84-mRNA-1_1&gene=maker-dek_s12-augustus-gene-0.84&CDS=1-1560	YOR236W
OG0000661	genemark-dek_s12-processed-gene-0.55-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.55&CDS=1-513	YOR215C
OG0000662	genemark-dek_s12-processed-gene-0.56-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.56&CDS=1-720	YPL129W
OG0000663	maker-dek_s12-augustus-gene-0.88-mRNA-1_1&gene=maker-dek_s12-augustus-gene-0.88&CDS=1-3510	YOR212W
OG0000664	augustus_masked-dek_s12-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-dek_s12-processed-gene-0.15&CDS=1-2559	YGR019W
OG0000665	genemark-dek_s12-processed-gene-0.77-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.77&CDS=1-846	YGR021W
OG0000666	genemark-dek_s12-processed-gene-0.59-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.59&CDS=1-372	YGR020C
OG0000667	genemark-dek_s12-processed-gene-0.78-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.78&CDS=1-1674	YLR330W
OG0000668	genemark-dek_s12-processed-gene-0.79-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.79&CDS=1-1776	YAL013W
OG0000669	genemark-dek_s12-processed-gene-0.60-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.60&CDS=1-1296	YOL041C
OG0000670	genemark-dek_s12-processed-gene-0.61-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.61&CDS=1-2568	YPR105C
OG0000671	snap_masked-dek_s12-processed-gene-0.135-mRNA-1_1&gene=snap_masked-dek_s12-processed-gene-0.135&CDS=1-624	YPR107C
OG0000672	genemark-dek_s12-processed-gene-0.80-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.80&CDS=1-1314	YAL009W
OG0000673	genemark-dek_s12-processed-gene-0.62-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.62&CDS=1-1431	YJL091C
OG0000674	genemark-dek_s12-processed-gene-0.63-mRNA-1_1&gene=genemark-dek_s12-processed-gene-0.63&CDS=1-1263	YPL145C
OG0000675	snap_masked-dek_s12-processed-gene-1.131-mRNA-1_1&gene=snap_masked-dek_s12-processed-gene-1.131&CDS=1-2901	YOR216C
OG0000676	augustus_masked-dek_s12-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-dek_s12-processed-gene-1.2&CDS=1-2826	YOR217W
OG0000677	genemark-dek_s12-processed-gene-1.67-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.67&CDS=1-1134	YPL146C
OG0000678	augustus_masked-dek_s12-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-dek_s12-processed-gene-1.8&CDS=1-3816	YAL019W
OG0000679	genemark-dek_s12-processed-gene-1.71-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.71&CDS=1-1077	YAL020C
OG0000680	genemark-dek_s12-processed-gene-1.73-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.73&CDS=1-456	YJL122W
OG0000681	genemark-dek_s12-processed-gene-1.102-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.102&CDS=1-696	YJL121C
OG0000682	genemark-dek_s12-processed-gene-1.74-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.74&CDS=1-513	YGL242C
OG0000683	genemark-dek_s12-processed-gene-1.103-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.103&CDS=1-1209	YGL243W
OG0000684	genemark-dek_s12-processed-gene-1.75-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.75&CDS=1-1650	YOR067C
OG0000685	genemark-dek_s12-processed-gene-1.76-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.76&CDS=1-2958	YOR005C
OG0000686	genemark-dek_s12-processed-gene-1.78-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.78&CDS=1-3711	YIR002C
OG0000687	genemark-dek_s12-processed-gene-1.79-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.79&CDS=1-543	YER007C-A
OG0000688	snap_masked-dek_s12-processed-gene-1.177-mRNA-1_1&gene=snap_masked-dek_s12-processed-gene-1.177&CDS=1-1503	YER007W
OG0000689	genemark-dek_s12-processed-gene-1.108-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.108&CDS=1-1524	YER006W
OG0000690	genemark-dek_s12-processed-gene-1.110-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.110&CDS=1-1929	YER005W
OG0000691	genemark-dek_s12-processed-gene-1.111-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.111&CDS=1-633	YAL003W
OG0000692	genemark-dek_s12-processed-gene-1.112-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.112&CDS=1-726	YGR001C
OG0000693	genemark-dek_s12-processed-gene-1.81-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.81&CDS=1-3657	YAL001C
OG0000694	genemark-dek_s12-processed-gene-1.82-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.82&CDS=1-963	YGR280C
OG0000695	genemark-dek_s12-processed-gene-1.113-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.113&CDS=1-1668	YMR307W
OG0000696	genemark-dek_s12-processed-gene-1.114-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.114&CDS=1-1050	YGL001C
OG0000697	augustus_masked-dek_s12-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-dek_s12-processed-gene-1.48&CDS=1-3000	YAR002W
OG0000698	genemark-dek_s12-processed-gene-1.116-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.116&CDS=1-1968	YGR002C
OG0000699	genemark-dek_s12-processed-gene-1.117-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.117&CDS=1-1470	YEL052W
OG0000700	snap_masked-dek_s12-processed-gene-1.191-mRNA-1_1&gene=snap_masked-dek_s12-processed-gene-1.191&CDS=1-4188	YPR189W
OG0000701	genemark-dek_s12-processed-gene-1.85-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.85&CDS=1-1806	YPR190C
OG0000702	genemark-dek_s12-processed-gene-1.87-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.87&CDS=1-1176	YCR094W
OG0000703	genemark-dek_s12-processed-gene-1.88-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.88&CDS=1-1491	YNR052C
OG0000704	augustus_masked-dek_s12-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-dek_s12-processed-gene-1.53&CDS=1-1722	YNR053C
OG0000705	genemark-dek_s12-processed-gene-1.89-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.89&CDS=1-2808	YPR097W
OG0000706	genemark-dek_s12-processed-gene-1.91-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.91&CDS=1-1836	YLR023C
OG0000707	genemark-dek_s12-processed-gene-1.92-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.92&CDS=1-1674	YDR536W
OG0000708	genemark-dek_s12-processed-gene-1.94-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.94&CDS=1-1251	YGR111W
OG0000709	genemark-dek_s12-processed-gene-1.95-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.95&CDS=1-390	YNL153C
OG0000710	genemark-dek_s12-processed-gene-1.122-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.122&CDS=1-5997	YGL130W
OG0000711	genemark-dek_s12-processed-gene-1.125-mRNA-1_1&gene=genemark-dek_s12-processed-gene-1.125&CDS=1-1521	YNL142W
OG0000712	augustus_masked-dek_s12-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-dek_s12-processed-gene-1.34&CDS=1-2835	YDR402C
OG0000713	snap_masked-dek_s12-processed-gene-1.204-mRNA-1_1&gene=snap_masked-dek_s12-processed-gene-1.204&CDS=1-1650	YIL166C
OG0000714	genemark-dek_s120-processed-gene-0.1-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.1&CDS=1-1608	YDR168W
OG0000715	augustus_masked-dek_s120-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-dek_s120-processed-gene-0.60&CDS=1-2385	YPL190C
OG0000716	genemark-dek_s120-processed-gene-0.2-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.2&CDS=1-1035	YMR315W
OG0000717	augustus_masked-dek_s120-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-dek_s120-processed-gene-0.61&CDS=1-1596	YDR498C
OG0000718	snap_masked-dek_s120-processed-gene-0.35-mRNA-1_1&gene=snap_masked-dek_s120-processed-gene-0.35&CDS=1-813	YIL106W
OG0000719	genemark-dek_s120-processed-gene-0.16-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.16&CDS=1-1026	YLL027W
OG0000720	genemark-dek_s120-processed-gene-0.17-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.17&CDS=1-2094	YLL029W
OG0000721	augustus_masked-dek_s120-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-dek_s120-processed-gene-0.59&CDS=1-3009	YGL016W
OG0000722	genemark-dek_s120-processed-gene-0.18-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.18&CDS=1-1869	YAR007C
OG0000723	genemark-dek_s120-processed-gene-0.19-mRNA-1_1&gene=genemark-dek_s120-processed-gene-0.19&CDS=1-1203	YGL184C
OG0000724	genemark-dek_s13-processed-gene-0.24-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.24&CDS=1-2136	YHL016C
OG0000725	genemark-dek_s13-processed-gene-0.26-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.26&CDS=1-1857	YLR417W
OG0000726	genemark-dek_s13-processed-gene-0.0-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.0&CDS=1-1020	YKL189W
OG0000727	augustus_masked-dek_s13-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-dek_s13-processed-gene-0.143&CDS=1-1200	YJR148W
OG0000728	genemark-dek_s13-processed-gene-0.28-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.28&CDS=1-2214	YHR204W
OG0000729	maker-dek_s13-augustus-gene-0.112-mRNA-1_1&gene=maker-dek_s13-augustus-gene-0.112&CDS=1-2409	YNL256W
OG0000730	genemark-dek_s13-processed-gene-0.30-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.30&CDS=1-1113	YNL254C
OG0000731	genemark-dek_s13-processed-gene-0.1-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.1&CDS=1-1965	YFR034C
OG0000732	genemark-dek_s13-processed-gene-0.2-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.2&CDS=1-588	YKL144C
OG0000733	genemark-dek_s13-processed-gene-0.33-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.33&CDS=1-1335	YKL145W
OG0000734	genemark-dek_s13-processed-gene-0.35-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.35&CDS=1-711	YDR296W
OG0000735	augustus_masked-dek_s13-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-dek_s13-processed-gene-0.122&CDS=1-1782	YHR078W
OG0000736	genemark-dek_s13-processed-gene-0.6-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.6&CDS=1-1962	YBR121C
OG0000737	genemark-dek_s13-processed-gene-0.36-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.36&CDS=1-2121	YCL057W
OG0000738	genemark-dek_s13-processed-gene-0.38-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.38&CDS=1-1725	YPL092W
OG0000739	genemark-dek_s13-processed-gene-0.8-mRNA-1_1&gene=genemark-dek_s13-processed-gene-0.8&CDS=1-4350	YHR186C
