	Lachancea_fantastica	Saccharomyces_cerevisiae
OG0001081	snap_masked-LAFA0C-processed-gene-7.87-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.87&CDS=1-1041	YPR004C
OG0001082	snap_masked-LAFA0C-processed-gene-7.66-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.66&CDS=1-1047	YFR007W
OG0001083	snap_masked-LAFA0C-processed-gene-7.88-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.88&CDS=1-2001	YPR007C
OG0001084	snap_masked-LAFA0C-processed-gene-7.67-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.67&CDS=1-615	YFR008W
OG0001085	snap_masked-LAFA0C-processed-gene-7.68-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.68&CDS=1-1224	YER145C
OG0001086	snap_masked-LAFA0C-processed-gene-7.69-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.69&CDS=1-1833	YGL166W
OG0001087	snap_masked-LAFA0C-processed-gene-7.89-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.89&CDS=1-1248	YGL164C
OG0001088	snap_masked-LAFA0C-processed-gene-7.90-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.90&CDS=1-2748	YGL163C
OG0001089	snap_masked-LAFA0C-processed-gene-7.91-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.91&CDS=1-780	YGL161C
OG0001090	snap_masked-LAFA0C-processed-gene-7.71-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.71&CDS=1-1188	YGL169W
OG0001091	snap_masked-LAFA0C-processed-gene-7.92-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.92&CDS=1-2817	YGL167C
OG0001092	snap_masked-LAFA0C-processed-gene-7.93-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-7.93&CDS=1-3591	YPR010C
OG0001093	genemark-LAFA0C-processed-gene-7.117-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-7.117&CDS=1-591	YLR332W
OG0001094	snap_masked-LAFA0C-processed-gene-8.43-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.43&CDS=1-711	YGR024C
OG0001095	snap_masked-LAFA0C-processed-gene-8.40-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.40&CDS=1-1188	YLR355C
OG0001096	snap_masked-LAFA0C-processed-gene-8.41-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.41&CDS=1-1851	YGR044C
OG0001097	snap_masked-LAFA0C-processed-gene-8.58-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.58&CDS=1-327	YOL039W
OG0001098	snap_masked-LAFA0C-processed-gene-8.44-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.44&CDS=1-423	YOL040C
OG0001099	snap_masked-LAFA0C-processed-gene-8.59-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.59&CDS=1-2136	YAL013W
OG0001100	snap_masked-LAFA0C-processed-gene-8.45-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.45&CDS=1-1398	YOL041C
OG0001101	snap_masked-LAFA0C-processed-gene-8.46-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.46&CDS=1-840	YAL014C
OG0001102	snap_masked-LAFA0C-processed-gene-8.61-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.61&CDS=1-1092	YOL042W
OG0001103	snap_masked-LAFA0C-processed-gene-8.47-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.47&CDS=1-1137	YOL043C
OG0001104	snap_masked-LAFA0C-processed-gene-8.62-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.62&CDS=1-1926	YAL016W
OG0001105	snap_masked-LAFA0C-processed-gene-8.63-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.63&CDS=1-1083	YOL044W
OG0001106	snap_masked-LAFA0C-processed-gene-8.64-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.64&CDS=1-3681	YOL045W
OG0001107	snap_masked-LAFA0C-processed-gene-8.48-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.48&CDS=1-981	YAL018C
OG0001108	augustus_masked-LAFA0C-processed-gene-8.89-mRNA-1_1&gene=augustus_masked-LAFA0C-processed-gene-8.89&CDS=1-912	YOL048C
OG0001109	snap_masked-LAFA0C-processed-gene-8.65-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.65&CDS=1-1461	YOL049W
OG0001110	snap_masked-LAFA0C-processed-gene-8.66-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.66&CDS=1-3285	YOL051W
OG0001111	snap_masked-LAFA0C-processed-gene-8.67-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.67&CDS=1-3165	YAL019W
OG0001112	augustus_masked-LAFA0C-processed-gene-8.90-mRNA-1_1&gene=augustus_masked-LAFA0C-processed-gene-8.90&CDS=1-1125	YAL020C
OG0001113	snap_masked-LAFA0C-processed-gene-8.53-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.53&CDS=1-2241	YOR322C
OG0001114	snap_masked-LAFA0C-processed-gene-8.68-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.68&CDS=1-2229	YAL023C
OG0001115	snap_masked-LAFA0C-processed-gene-8.69-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.69&CDS=1-1317	YAL022C
OG0001116	snap_masked-LAFA0C-processed-gene-8.70-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.70&CDS=1-2370	YAL021C
OG0001117	maker-LAFA0C-snap-gene-8.77-mRNA-1_1&gene=maker-LAFA0C-snap-gene-8.77&CDS=1-327	YOR327C
OG0001118	snap_masked-LAFA0C-processed-gene-8.71-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.71&CDS=1-4719	YOR326W
OG0001119	snap_masked-LAFA0C-processed-gene-8.55-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.55&CDS=1-1734	YAL027W
OG0001120	snap_masked-LAFA0C-processed-gene-8.56-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.56&CDS=1-1371	YOR323C
OG0001121	snap_masked-LAFA0C-processed-gene-8.72-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.72&CDS=1-3948	YAL026C
OG0001122	snap_masked-LAFA0C-processed-gene-8.73-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.73&CDS=1-924	YAL025C
OG0001123	snap_masked-LAFA0C-processed-gene-8.74-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.74&CDS=1-4161	YAL024C
OG0001124	snap_masked-LAFA0C-processed-gene-8.75-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.75&CDS=1-2034	YOR329C
OG0001125	snap_masked-LAFA0C-processed-gene-8.76-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-8.76&CDS=1-3633	YOR330C
OG0001126	snap_masked-LAFA0C-processed-gene-9.149-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.149&CDS=1-690	YOR332W
OG0001127	augustus_masked-LAFA0C-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-LAFA0C-processed-gene-9.80&CDS=1-1278	YOR334W
OG0001128	snap_masked-LAFA0C-processed-gene-9.151-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.151&CDS=1-2469	YAL031C
OG0001129	snap_masked-LAFA0C-processed-gene-9.152-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.152&CDS=1-1389	YAL032C
OG0001130	snap_masked-LAFA0C-processed-gene-9.153-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.153&CDS=1-483	YAL033W
OG0001131	snap_masked-LAFA0C-processed-gene-9.154-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.154&CDS=1-2859	YOR335C
OG0001132	snap_masked-LAFA0C-processed-gene-9.155-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.155&CDS=1-3972	YOR336W
OG0001133	genemark-LAFA0C-processed-gene-9.9-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-9.9&CDS=1-1992	YOR337W
OG0001134	snap_masked-LAFA0C-processed-gene-9.157-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.157&CDS=1-1098	YOR338W
OG0001135	snap_masked-LAFA0C-processed-gene-9.188-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.188&CDS=1-483	YOR339C
OG0001136	snap_masked-LAFA0C-processed-gene-9.189-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.189&CDS=1-897	YAL034W-A
OG0001137	snap_masked-LAFA0C-processed-gene-9.190-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.190&CDS=1-930	YOR340C
OG0001138	snap_masked-LAFA0C-processed-gene-9.158-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.158&CDS=1-4965	YOR341W
OG0001139	snap_masked-LAFA0C-processed-gene-9.192-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.192&CDS=1-2970	YAL035W
OG0001140	snap_masked-LAFA0C-processed-gene-9.159-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.159&CDS=1-1107	YAL036C
OG0001141	snap_masked-LAFA0C-processed-gene-9.193-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.193&CDS=1-945	YOR342C
OG0001142	snap_masked-LAFA0C-processed-gene-9.194-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.194&CDS=1-1074	YOR344C
OG0001143	snap_masked-LAFA0C-processed-gene-9.160-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.160&CDS=1-3573	YOR346W
OG0001144	genemark-LAFA0C-processed-gene-9.47-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-9.47&CDS=1-1503	YAL038W
OG0001145	snap_masked-LAFA0C-processed-gene-9.161-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.161&CDS=1-3048	YOR349W
OG0001146	snap_masked-LAFA0C-processed-gene-9.195-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.195&CDS=1-1866	YOR350C
OG0001147	maker-LAFA0C-snap-gene-9.148-mRNA-1_1&gene=maker-LAFA0C-snap-gene-9.148&CDS=1-1452	YOR351C
OG0001148	genemark-LAFA0C-processed-gene-9.15-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-9.15&CDS=1-897	YOR352W
OG0001149	snap_masked-LAFA0C-processed-gene-9.197-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.197&CDS=1-2175	YOR353C
OG0001150	augustus_masked-LAFA0C-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-LAFA0C-processed-gene-9.93&CDS=1-831	YAL039C
OG0001151	snap_masked-LAFA0C-processed-gene-9.198-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.198&CDS=1-2040	YOR354C
OG0001152	genemark-LAFA0C-processed-gene-9.18-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-9.18&CDS=1-1338	YAL040C
OG0001153	snap_masked-LAFA0C-processed-gene-9.165-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.165&CDS=1-1323	YOR355W
OG0001154	snap_masked-LAFA0C-processed-gene-9.166-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.166&CDS=1-1980	YOR356W
OG0001155	snap_masked-LAFA0C-processed-gene-9.201-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.201&CDS=1-2235	YAL041W
OG0001156	snap_masked-LAFA0C-processed-gene-9.202-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.202&CDS=1-1203	YAL042W
OG0001157	snap_masked-LAFA0C-processed-gene-9.203-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.203&CDS=1-480	YOR357C
OG0001158	snap_masked-LAFA0C-processed-gene-9.167-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.167&CDS=1-414	YOR358W
OG0001159	genemark-LAFA0C-processed-gene-9.23-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-9.23&CDS=1-2169	YAL043C
OG0001160	snap_masked-LAFA0C-processed-gene-9.169-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.169&CDS=1-1131	YOR359W
OG0001161	snap_masked-LAFA0C-processed-gene-9.205-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.205&CDS=1-1539	YOR360C
OG0001162	snap_masked-LAFA0C-processed-gene-9.170-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.170&CDS=1-516	YAL044C
OG0001163	genemark-LAFA0C-processed-gene-9.56-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-9.56&CDS=1-321	YAL044W-A
OG0001164	snap_masked-LAFA0C-processed-gene-9.171-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.171&CDS=1-261	YAL046C
OG0001165	snap_masked-LAFA0C-processed-gene-9.208-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.208&CDS=1-2208	YOR361C
OG0001166	snap_masked-LAFA0C-processed-gene-9.172-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.172&CDS=1-2127	YAL047C
OG0001167	genemark-LAFA0C-processed-gene-9.58-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-9.58&CDS=1-831	YOR362C
OG0001168	snap_masked-LAFA0C-processed-gene-9.173-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.173&CDS=1-1989	YAL048C
OG0001169	snap_masked-LAFA0C-processed-gene-9.211-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.211&CDS=1-2334	YAL053W
OG0001170	snap_masked-LAFA0C-processed-gene-9.174-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.174&CDS=1-618	YOR367W
OG0001171	snap_masked-LAFA0C-processed-gene-9.212-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.212&CDS=1-432	YAL055W
OG0001172	snap_masked-LAFA0C-processed-gene-9.175-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.175&CDS=1-1173	YOR368W
OG0001173	snap_masked-LAFA0C-processed-gene-9.213-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.213&CDS=1-429	YOR369C
OG0001174	genemark-LAFA0C-processed-gene-9.63-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-9.63&CDS=1-1830	YOR370C
OG0001175	snap_masked-LAFA0C-processed-gene-9.216-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.216&CDS=1-1512	YOR372C
OG0001176	snap_masked-LAFA0C-processed-gene-9.176-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.176&CDS=1-2163	YOR373W
OG0001177	snap_masked-LAFA0C-processed-gene-9.218-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.218&CDS=1-543	YAL059W
OG0001178	snap_masked-LAFA0C-processed-gene-9.220-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.220&CDS=1-651	YBL043W
OG0001179	snap_masked-LAFA0C-processed-gene-9.181-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-9.181&CDS=1-1677	YBR293W
OG0001180	snap_masked-LAFA0D-processed-gene-0.45-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.45&CDS=1-966	YIL164C
OG0001181	snap_masked-LAFA0D-processed-gene-0.75-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.75&CDS=1-795	YFR052W
OG0001182	snap_masked-LAFA0D-processed-gene-0.76-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.76&CDS=1-1743	YGL252C
OG0001183	augustus_masked-LAFA0D-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-LAFA0D-processed-gene-0.91&CDS=1-1281	YGL250W
OG0001184	maker-LAFA0D-augustus-gene-0.43-mRNA-1_1&gene=maker-LAFA0D-augustus-gene-0.43&CDS=1-2505	YFR050C
OG0001185	snap_masked-LAFA0D-processed-gene-0.53-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.53&CDS=1-1083	YGL248W
OG0001186	genemark-LAFA0D-processed-gene-0.32-mRNA-1_1&gene=genemark-LAFA0D-processed-gene-0.32&CDS=1-378	YFR049W
OG0001187	genemark-LAFA0D-processed-gene-0.8-mRNA-1_1&gene=genemark-LAFA0D-processed-gene-0.8&CDS=1-375	YGL247W
OG0001188	snap_masked-LAFA0D-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.77&CDS=1-1158	YGL246C
OG0001189	snap_masked-LAFA0D-processed-gene-0.55-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.55&CDS=1-2112	YGL245W
OG0001190	snap_masked-LAFA0D-processed-gene-0.78-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.78&CDS=1-1878	YFR048W
OG0001191	snap_masked-LAFA0D-processed-gene-0.56-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.56&CDS=1-1683	YGL244W
OG0001192	snap_masked-LAFA0D-processed-gene-0.57-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.57&CDS=1-1152	YGL243W
OG0001193	snap_masked-LAFA0D-processed-gene-0.79-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.79&CDS=1-510	YGL242C
OG0001194	augustus_masked-LAFA0D-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-LAFA0D-processed-gene-0.97&CDS=1-3072	YGL241W
OG0001195	snap_masked-LAFA0D-processed-gene-0.59-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.59&CDS=1-885	YFR047C
OG0001196	snap_masked-LAFA0D-processed-gene-0.60-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.60&CDS=1-747	YGL240W
OG0001197	snap_masked-LAFA0D-processed-gene-0.61-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.61&CDS=1-2877	YGL238W
OG0001198	snap_masked-LAFA0D-processed-gene-0.80-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.80&CDS=1-888	YGL237C
OG0001199	snap_masked-LAFA0D-processed-gene-0.81-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.81&CDS=1-2028	YGL236C
OG0001200	snap_masked-LAFA0D-processed-gene-0.63-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.63&CDS=1-2385	YGL234W
OG0001201	snap_masked-LAFA0D-processed-gene-0.82-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.82&CDS=1-969	YFR045W
OG0001202	snap_masked-LAFA0D-processed-gene-0.64-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.64&CDS=1-1446	YFR044C
OG0001203	snap_masked-LAFA0D-processed-gene-0.65-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.65&CDS=1-2634	YGL233W
OG0001204	maker-LAFA0D-snap-gene-0.127-mRNA-1_1&gene=maker-LAFA0D-snap-gene-0.127&CDS=1-825	YGL232W
OG0001205	snap_masked-LAFA0D-processed-gene-0.83-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.83&CDS=1-546	YGL231C
OG0001206	augustus_masked-LAFA0D-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-LAFA0D-processed-gene-0.106&CDS=1-750	YFR043C
OG0001207	snap_masked-LAFA0D-processed-gene-0.85-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.85&CDS=1-651	YFR042W
OG0001208	snap_masked-LAFA0D-processed-gene-0.68-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.68&CDS=1-891	YFR041C
OG0001209	snap_masked-LAFA0D-processed-gene-0.86-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-0.86&CDS=1-2523	YFR040W
OG0001210	genemark-LAFA0D-processed-gene-0.23-mRNA-1_1&gene=genemark-LAFA0D-processed-gene-0.23&CDS=1-1605	YGL228W
OG0001211	snap_masked-LAFA0D-processed-gene-1.43-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.43&CDS=1-1347	YER043C
OG0001212	snap_masked-LAFA0D-processed-gene-1.44-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.44&CDS=1-2625	YGL227W
OG0001213	snap_masked-LAFA0D-processed-gene-1.46-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.46&CDS=1-267	YGL226C-A
OG0001214	snap_masked-LAFA0D-processed-gene-1.45-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.45&CDS=1-429	YGL226W
OG0001215	snap_masked-LAFA0D-processed-gene-1.47-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.47&CDS=1-543	YER042W
OG0001216	snap_masked-LAFA0D-processed-gene-1.48-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.48&CDS=1-2022	YER041W
OG0001217	snap_masked-LAFA0D-processed-gene-1.49-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.49&CDS=1-2148	YER040W
OG0001218	snap_masked-LAFA0D-processed-gene-1.51-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.51&CDS=1-984	YGL225W
OG0001219	snap_masked-LAFA0D-processed-gene-1.52-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.52&CDS=1-1203	YER038C
OG0001220	snap_masked-LAFA0D-processed-gene-1.67-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.67&CDS=1-840	YGL224C
OG0001221	snap_masked-LAFA0D-processed-gene-1.68-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.68&CDS=1-1680	YGL223C
OG0001222	snap_masked-LAFA0D-processed-gene-1.53-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.53&CDS=1-1821	YER036C
OG0001223	snap_masked-LAFA0D-processed-gene-1.70-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.70&CDS=1-1170	YGL222C
OG0001224	snap_masked-LAFA0D-processed-gene-1.71-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.71&CDS=1-558	YER034W
OG0001225	snap_masked-LAFA0D-processed-gene-1.72-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.72&CDS=1-855	YGL221C
OG0001226	snap_masked-LAFA0D-processed-gene-1.54-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.54&CDS=1-252	YGL220W
OG0001227	snap_masked-LAFA0D-processed-gene-1.73-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.73&CDS=1-1629	YGL219C
OG0001228	augustus_masked-LAFA0D-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-LAFA0D-processed-gene-1.14&CDS=1-2445	YGL216W
OG0001229	snap_masked-LAFA0D-processed-gene-1.56-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.56&CDS=1-1227	YGL215W
OG0001230	augustus_masked-LAFA0D-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-LAFA0D-processed-gene-1.34&CDS=1-1203	YGL213C
OG0001231	snap_masked-LAFA0D-processed-gene-1.57-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.57&CDS=1-1038	YGL212W
OG0001232	snap_masked-LAFA0D-processed-gene-1.58-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.58&CDS=1-1119	YGL211W
OG0001233	snap_masked-LAFA0D-processed-gene-1.59-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.59&CDS=1-2640	YER033C
OG0001234	snap_masked-LAFA0D-processed-gene-1.75-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.75&CDS=1-2766	YER032W
OG0001235	snap_masked-LAFA0D-processed-gene-1.60-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.60&CDS=1-654	YGL210W
OG0001236	snap_masked-LAFA0D-processed-gene-1.76-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.76&CDS=1-471	YER030W
OG0001237	genemark-LAFA0D-processed-gene-1.102-mRNA-1_1&gene=genemark-LAFA0D-processed-gene-1.102&CDS=1-498	YER029C
OG0001238	genemark-LAFA0D-processed-gene-1.103-mRNA-1_1&gene=genemark-LAFA0D-processed-gene-1.103&CDS=1-777	YGL209W
OG0001239	snap_masked-LAFA0D-processed-gene-1.62-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.62&CDS=1-1437	YER027C
OG0001240	snap_masked-LAFA0D-processed-gene-1.63-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.63&CDS=1-3099	YGL207W
OG0001241	snap_masked-LAFA0D-processed-gene-1.79-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.79&CDS=1-4971	YGL206C
OG0001242	snap_masked-LAFA0D-processed-gene-1.64-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.64&CDS=1-2214	YGL205W
OG0001243	snap_masked-LAFA0D-processed-gene-1.65-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.65&CDS=1-792	YER026C
OG0001244	snap_masked-LAFA0D-processed-gene-1.80-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.80&CDS=1-2118	YGL203C
OG0001245	snap_masked-LAFA0D-processed-gene-1.81-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.81&CDS=1-1653	YKL217W
OG0001246	snap_masked-LAFA0D-processed-gene-1.82-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.82&CDS=1-2745	YPR160W
OG0001247	snap_masked-LAFA0D-processed-gene-1.83-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.83&CDS=1-3111	YGL201C
OG0001248	snap_masked-LAFA0D-processed-gene-1.84-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-1.84&CDS=1-2175	YPR159W
OG0001249	snap_masked-LAFA0D-processed-gene-2.1-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-2.1&CDS=1-1287	YGR142W
OG0001250	snap_masked-LAFA0D-processed-gene-2.2-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-2.2&CDS=1-1308	YGR141W
OG0001251	snap_masked-LAFA0D-processed-gene-2.3-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-2.3&CDS=1-2445	YGR140W
OG0001252	genemark-LAFA0D-processed-gene-2.103-mRNA-1_1&gene=genemark-LAFA0D-processed-gene-2.103&CDS=1-1821	YPR155C
OG0001253	maker-LAFA0D-augustus-gene-2.90-mRNA-1_1&gene=maker-LAFA0D-augustus-gene-2.90&CDS=1-1164	YGR135W
OG0001254	snap_masked-LAFA0D-processed-gene-2.7-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-2.7&CDS=1-1314	YPR152C
OG0001255	snap_masked-LAFA0D-processed-gene-2.26-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-2.26&CDS=1-3366	YGR134W
OG0001256	snap_masked-LAFA0D-processed-gene-2.8-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-2.8&CDS=1-990	YOR142W
OG0001257	snap_masked-LAFA0D-processed-gene-2.27-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-2.27&CDS=1-933	YOR143C
OG0001258	snap_masked-LAFA0D-processed-gene-2.9-mRNA-1_1&gene=snap_masked-LAFA0D-processed-gene-2.9&CDS=1-990	YDR392W
