	Pachysolen_tannophilus	Saccharomyces_cerevisiae
OG0000498	augustus_masked-scaffold_6-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.81&CDS=1-354	YER131W, YGL189C
OG0000499	augustus_masked-scaffold_6-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.82&CDS=1-1104, maker-scaffold_6-snap-gene-2.137-mRNA-1_1&gene=maker-scaffold_6-snap-gene-2.137&CDS=1-3495	YPL113C
OG0000500	augustus_masked-scaffold_6-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.64&CDS=1-516	YKL032C, YMR072W
OG0000501	snap_masked-scaffold_6-processed-gene-3.113-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.113&CDS=1-1833	YHR117W, YNL121C
OG0000502	augustus_masked-scaffold_6-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.12&CDS=1-771, augustus_masked-scaffold_6-processed-gene-9.41-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.41&CDS=1-768	YLR441C
OG0000503	maker-scaffold_6-augustus-gene-4.163-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-4.163&CDS=1-1767	YDR253C, YPL038W
OG0000504	augustus_masked-scaffold_6-processed-gene-4.138-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.138&CDS=1-1806	YDR247W, YPL026C
OG0000505	augustus_masked-scaffold_6-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.140&CDS=1-1425	YER081W, YIL074C
OG0000506	snap_masked-scaffold_6-processed-gene-6.50-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.50&CDS=1-2436	YLR098C, YOR337W
OG0000507	snap_masked-scaffold_6-processed-gene-6.53-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.53&CDS=1-1419	YGR108W, YPR119W
OG0000508	augustus_masked-scaffold_6-processed-gene-7.55-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.55&CDS=1-2400	YGR221C, YHR149C
OG0000509	augustus_masked-scaffold_6-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.35&CDS=1-1629, maker-scaffold_6-augustus-gene-7.151-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-7.151&CDS=1-2310	YDR143C
OG0000510	augustus_masked-scaffold_6-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.67&CDS=1-1188	YJL133W, YKR052C
OG0000511	augustus_masked-scaffold_6-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.15&CDS=1-3699	YGL049C, YGR162W
OG0000512	augustus_masked-scaffold_6-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.21&CDS=1-918	YLR270W, YOR173W
OG0000513	maker-scaffold_6-augustus-gene-10.208-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-10.208&CDS=1-1446	YMR199W, YPL256C
OG0000514	augustus_masked-scaffold_6-processed-gene-10.98-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.98&CDS=1-1266	YLR300W, YOR190W
OG0000515	maker-scaffold_68-augustus-gene-0.2-mRNA-1_1&gene=maker-scaffold_68-augustus-gene-0.2&CDS=1-471	YEL034W, YJR047C
OG0000516	augustus_masked-scaffold_7-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.21&CDS=1-1683	YMR177W, YPL224C
OG0000517	maker-scaffold_7-snap-gene-0.72-mRNA-1_1&gene=maker-scaffold_7-snap-gene-0.72&CDS=1-1965	YBR183W, YPL087W
OG0000518	augustus_masked-scaffold_7-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.6&CDS=1-1011	YBR161W, YPL057C
OG0000519	augustus_masked-scaffold_7-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.30&CDS=1-1902	YER059W, YIL050W
OG0000520	maker-scaffold_7-augustus-gene-1.148-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-1.148&CDS=1-660	YER057C, YIL051C
OG0000521	maker-scaffold_7-augustus-gene-1.149-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-1.149&CDS=1-372	YER056C-A, YIL052C
OG0000522	augustus_masked-scaffold_7-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.80&CDS=1-1179	YLL012W, YLR020C
OG0000523	augustus_masked-scaffold_7-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.60&CDS=1-771, augustus_masked-scaffold_8-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.57&CDS=1-732	YIR001C
OG0000524	augustus_masked-scaffold_7-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.92&CDS=1-1515	YFL048C, YLR080W
OG0000525	augustus_masked-scaffold_7-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.95&CDS=1-1800	YCR048W, YNR019W
OG0000526	maker-scaffold_7-augustus-gene-2.53-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-2.53&CDS=1-669	YER031C, YGL210W
OG0000527	augustus_masked-scaffold_7-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.132&CDS=1-2064	YKL062W, YMR037C
OG0000528	augustus_masked-scaffold_7-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.118&CDS=1-2628	YKL050C, YMR031C
OG0000529	maker-scaffold_7-snap-gene-3.105-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.105&CDS=1-360	YGR243W, YHR162W
OG0000530	maker-scaffold_7-augustus-gene-4.122-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-4.122&CDS=1-4503	YAL062W, YOR375C
OG0000531	augustus_masked-scaffold_7-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.53&CDS=1-1815	YIL085C, YNL029C
OG0000532	augustus_masked-scaffold_7-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.85&CDS=1-990	YKR076W, YMR251W
OG0000533	augustus_masked-scaffold_7-processed-gene-5.116-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.116&CDS=1-1545	YKR091W, YOR083W
OG0000534	augustus_masked-scaffold_7-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.103&CDS=1-852	YDR272W, YOR040W
OG0000535	genemark-scaffold_7-processed-gene-6.108-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.108&CDS=1-2292	YDL138W, YDL194W
OG0000536	snap_masked-scaffold_7-processed-gene-6.28-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.28&CDS=1-522	YDL136W, YDL191W
OG0000537	augustus_masked-scaffold_7-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.71&CDS=1-849	YIL114C, YNL055C
OG0000538	augustus_masked-scaffold_7-processed-gene-7.43-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.43&CDS=1-282	YJR094W-A, YPR043W
OG0000539	maker-scaffold_7-augustus-gene-8.38-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-8.38&CDS=1-2550	YDR458C, YML034W
OG0000540	augustus_masked-scaffold_7-processed-gene-9.267-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-9.267&CDS=1-3201, augustus_masked-scaffold_8-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.59&CDS=1-2814	YJL108C
OG0000541	maker-scaffold_7-snap-gene-9.107-mRNA-1_1&gene=maker-scaffold_7-snap-gene-9.107&CDS=1-3525	YJL105W, YKR029C
OG0000542	augustus_masked-scaffold_7-processed-gene-9.229-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-9.229&CDS=1-1095	YBR031W, YDR012W
OG0000543	augustus_masked-scaffold_7-processed-gene-9.231-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-9.231&CDS=1-3078	YJL083W, YKR019C
OG0000544	snap_masked-scaffold_7-processed-gene-9.18-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-9.18&CDS=1-1431	YJL082W, YKR018C
OG0000545	augustus_masked-scaffold_72-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_72-processed-gene-0.1&CDS=1-333, augustus_masked-scaffold_8-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.84&CDS=1-333	YGR181W
OG0000546	augustus_masked-scaffold_8-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.77&CDS=1-4209	YAR042W, YDL019C
OG0000547	augustus_masked-scaffold_8-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.78&CDS=1-3249	YGR238C, YHR158C
OG0000548	maker-scaffold_8-snap-gene-0.138-mRNA-1_1&gene=maker-scaffold_8-snap-gene-0.138&CDS=1-4305	YOR204W, YPL119C
OG0000549	snap_masked-scaffold_8-processed-gene-1.25-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.25&CDS=1-579	YBL091C-A, YER120W
OG0000550	maker-scaffold_8-augustus-gene-1.96-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-1.96&CDS=1-9588	YBL087C, YER117W
OG0000551	augustus_masked-scaffold_8-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.53&CDS=1-1872	YDR107C, YLR083C
OG0000552	augustus_masked-scaffold_8-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.75&CDS=1-3039	YBR033W, YKL038W
OG0000553	augustus_masked-scaffold_8-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.59&CDS=1-2472	YKL121W, YMR102C
OG0000554	augustus_masked-scaffold_8-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.134&CDS=1-2274	YBR020W, YDR009W
OG0000555	snap_masked-scaffold_8-processed-gene-5.83-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.83&CDS=1-426	YCR031C, YJL191W
OG0000556	genemark-scaffold_8-processed-gene-5.126-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.126&CDS=1-390	YJL190C, YLR367W
OG0000557	augustus_masked-scaffold_8-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-5.53&CDS=1-3543	YEL006W, YIL006W
OG0000558	augustus_masked-scaffold_8-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.38&CDS=1-5946	YCR091W, YNR047W
OG0000559	augustus_masked-scaffold_8-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.26&CDS=1-897	YMR183C, YPL232W
OG0000560	augustus_masked-scaffold_8-processed-gene-8.157-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-8.157&CDS=1-1707, augustus_masked-scaffold_8-processed-gene-8.187-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-8.187&CDS=1-1485	YEL060C
OG0000561	augustus_masked-scaffold_8-processed-gene-8.192-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-8.192&CDS=1-2091	YBR216C, YGL060W
OG0000562	augustus_masked-scaffold_87-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_87-processed-gene-0.0&CDS=1-471	YBR191W, YPL079W
OG0000563		YCR106W, YLL054C, YOR363C
OG0000564		YDR303C, YHR054C, YHR056C
OG0000565		YDR391C, YOR012W, YOR013W
OG0000566	augustus_masked-scaffold_1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.23&CDS=1-1815	YKR008W
OG0000567	augustus_masked-scaffold_1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.38&CDS=1-1944	YML042W
OG0000568	augustus_masked-scaffold_1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.39&CDS=1-879	YDR411C
OG0000569	augustus_masked-scaffold_1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.41&CDS=1-1494	YDR376W
OG0000570	augustus_masked-scaffold_1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.42&CDS=1-666	YML041C
OG0000571	maker-scaffold_1-augustus-gene-0.3-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.3&CDS=1-267	YKL053C-A
OG0000572	maker-scaffold_1-snap-gene-0.14-mRNA-1_1&gene=maker-scaffold_1-snap-gene-0.14&CDS=1-249	YDR378C
OG0000573	augustus_masked-scaffold_1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.48&CDS=1-3234	YDR421W
OG0000574	augustus_masked-scaffold_1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.27&CDS=1-921	YGR060W
OG0000575	augustus_masked-scaffold_1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.29&CDS=1-2505	YKL034W
OG0000576	augustus_masked-scaffold_1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.30&CDS=1-2700	YGL143C
OG0000577	maker-scaffold_1-augustus-gene-0.5-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.5&CDS=1-1071	YDL097C
OG0000578	maker-scaffold_1-augustus-gene-0.6-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.6&CDS=1-234	YDR379C-A
OG0000579	augustus_masked-scaffold_1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.52&CDS=1-900	YDR361C
OG0000580	augustus_masked-scaffold_1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.32&CDS=1-1644	YDR364C
OG0000581	snap_masked-scaffold_1-processed-gene-0.133-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.133&CDS=1-1272	YOR117W
OG0000582	genemark-scaffold_1-processed-gene-0.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.94&CDS=1-1677	YBL019W
OG0000583	augustus_masked-scaffold_1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.54&CDS=1-2862	YPL195W
OG0000584	augustus_masked-scaffold_1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.55&CDS=1-735	YER148W
OG0000585	genemark-scaffold_1-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.97&CDS=1-1050	YBL033C
OG0000586	maker-scaffold_1-augustus-gene-0.7-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.7&CDS=1-1401	YNR001C
OG0000587	augustus_masked-scaffold_1-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.47&CDS=1-1251	YOL018C
OG0000588	maker-scaffold_1-snap-gene-1.138-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.138&CDS=1-8610	YFR019W
OG0000589	augustus_masked-scaffold_1-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.50&CDS=1-285	YDL157C
OG0000590	augustus_masked-scaffold_1-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.51&CDS=1-1668	YMR300C
OG0000591	augustus_masked-scaffold_1-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.71&CDS=1-1671	YDL156W
OG0000592	augustus_masked-scaffold_1-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.52&CDS=1-1269	YMR113W
OG0000593	augustus_masked-scaffold_1-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.74&CDS=1-1518	YDL159W
OG0000594	augustus_masked-scaffold_1-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.75&CDS=1-1353	YDL160C
OG0000595	augustus_masked-scaffold_1-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.53&CDS=1-2385	YGL234W
OG0000596	augustus_masked-scaffold_1-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.76&CDS=1-1152	YFR045W
OG0000597	augustus_masked-scaffold_1-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.55&CDS=1-810	YGL240W
OG0000598	augustus_masked-scaffold_1-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.56&CDS=1-2928	YGL238W
OG0000599	augustus_masked-scaffold_1-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.77&CDS=1-975	YGL237C
OG0000600	augustus_masked-scaffold_1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.78&CDS=1-2058	YGL236C
OG0000601	snap_masked-scaffold_1-processed-gene-1.103-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.103&CDS=1-792	YLR003C
OG0000602	augustus_masked-scaffold_1-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.59&CDS=1-1089	YOR388C
OG0000603	augustus_masked-scaffold_1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.79&CDS=1-537	YLR193C
OG0000604	augustus_masked-scaffold_1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.62&CDS=1-852	YLR205C
OG0000605	augustus_masked-scaffold_1-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.81&CDS=1-1032	YDL165W
OG0000606	augustus_masked-scaffold_1-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.63&CDS=1-627	YDL166C
OG0000607	augustus_masked-scaffold_1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.82&CDS=1-597	YJR069C
OG0000608	snap_masked-scaffold_1-processed-gene-1.113-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.113&CDS=1-654	YIR024C
OG0000609	maker-scaffold_1-augustus-gene-1.146-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.146&CDS=1-3609	YIR023W
OG0000610	augustus_masked-scaffold_1-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.88&CDS=1-507	YKL013C
OG0000611	augustus_masked-scaffold_1-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.68&CDS=1-1908	YKL012W
OG0000612	augustus_masked-scaffold_1-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.69&CDS=1-2631	YLR223C
OG0000613	augustus_masked-scaffold_1-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.59&CDS=1-759	YBR111C
OG0000614	genemark-scaffold_1-processed-gene-2.0-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.0&CDS=1-1446	YBR111W-A
OG0000615	augustus_masked-scaffold_1-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.60&CDS=1-1668	YOR067C
OG0000616	augustus_masked-scaffold_1-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.61&CDS=1-429	YKR074W
OG0000617	augustus_masked-scaffold_1-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.63&CDS=1-1971	YLL007C
OG0000618	augustus_masked-scaffold_1-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.91&CDS=1-1482	YMR293C
OG0000619	augustus_masked-scaffold_1-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.65&CDS=1-1389	YLR015W
OG0000620	augustus_masked-scaffold_1-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.92&CDS=1-822	YLR007W
OG0000621	augustus_masked-scaffold_1-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.67&CDS=1-2571	YGR171C
OG0000622	augustus_masked-scaffold_1-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.93&CDS=1-1545	YJR006W
OG0000623	maker-scaffold_1-augustus-gene-2.174-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.174&CDS=1-2010	YHR171W
OG0000624	augustus_masked-scaffold_1-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.95&CDS=1-1599	YHR170W
OG0000625	augustus_masked-scaffold_1-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.68&CDS=1-2019	YGR246C
OG0000626	augustus_masked-scaffold_1-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.69&CDS=1-1842	YDR292C
OG0000627	maker-scaffold_1-augustus-gene-2.170-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.170&CDS=1-1572	YER006W
OG0000628	snap_masked-scaffold_1-processed-gene-2.129-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.129&CDS=1-1239	YPL060W
OG0000629	genemark-scaffold_1-processed-gene-2.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.42&CDS=1-2325	YPR161C
OG0000630	augustus_masked-scaffold_1-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.98&CDS=1-1284	YGL196W
OG0000631	snap_masked-scaffold_1-processed-gene-2.155-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.155&CDS=1-2127	YPL104W
OG0000632	augustus_masked-scaffold_1-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.76&CDS=1-438	YBR173C
OG0000633	augustus_masked-scaffold_1-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.102&CDS=1-1704	YBR171W
OG0000634	augustus_masked-scaffold_1-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.78&CDS=1-897	YNL284C
OG0000635	genemark-scaffold_1-processed-gene-2.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.49&CDS=1-735	YGL018C
OG0000636	augustus_masked-scaffold_1-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.80&CDS=1-783	YPR133C
OG0000637	augustus_masked-scaffold_1-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.82&CDS=1-1068	YPR128C
OG0000638	augustus_masked-scaffold_1-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.105&CDS=1-600	YPR131C
OG0000639	augustus_masked-scaffold_1-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.106&CDS=1-1014	YPR129W
OG0000640	augustus_masked-scaffold_1-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.107&CDS=1-987	YIL021W
OG0000641	augustus_masked-scaffold_1-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.108&CDS=1-906	YIL020C
OG0000642	augustus_masked-scaffold_1-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.84&CDS=1-1041	YIL019W
OG0000643	augustus_masked-scaffold_1-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.109&CDS=1-2871	YPR135W
OG0000644	augustus_masked-scaffold_1-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.87&CDS=1-1050	YEL009C
OG0000645	augustus_masked-scaffold_1-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.110&CDS=1-1641	YER065C
OG0000646	augustus_masked-scaffold_1-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.89&CDS=1-633	YER063W
OG0000647	augustus_masked-scaffold_1-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.49&CDS=1-2520	YDL148C
OG0000648	augustus_masked-scaffold_1-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.46&CDS=1-1449	YER061C
OG0000649	augustus_masked-scaffold_1-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.50&CDS=1-927	YIL049W
OG0000650	augustus_masked-scaffold_1-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.51&CDS=1-3162	YDL149W
OG0000651	maker-scaffold_1-augustus-gene-3.140-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.140&CDS=1-753	YGR135W
OG0000652	maker-scaffold_1-augustus-gene-3.141-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.141&CDS=1-849	YGR132C
OG0000653	augustus_masked-scaffold_1-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.77&CDS=1-2145	YPR155C
OG0000654	augustus_masked-scaffold_1-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.57&CDS=1-3021	YML099C
OG0000655	snap_masked-scaffold_1-processed-gene-3.104-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.104&CDS=1-2556	YGL083W
OG0000656	augustus_masked-scaffold_1-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.80&CDS=1-1728	YBL039C
OG0000657	augustus_masked-scaffold_1-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.59&CDS=1-1815	YDR117C
OG0000658	augustus_masked-scaffold_1-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.60&CDS=1-825	YDR116C
OG0000659	augustus_masked-scaffold_1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.62&CDS=1-1584	YDR434W
OG0000660	augustus_masked-scaffold_1-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.81&CDS=1-390	YDR115W
OG0000661	augustus_masked-scaffold_1-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.64&CDS=1-1077	YDR158W
OG0000662	augustus_masked-scaffold_1-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.66&CDS=1-984	YOL002C
OG0000663	augustus_masked-scaffold_1-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.82&CDS=1-1947	YGL124C
OG0000664	augustus_masked-scaffold_1-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.69&CDS=1-1308	YHR169W
OG0000665	augustus_masked-scaffold_1-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.83&CDS=1-2295	YGR245C
