	Saccharomyces_cerevisiae	yHMPu5000041833_Candida_tammaniensis
OG0000584	YBR080C	snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-0.128-mRNA-1_1&gene=snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-0.128&CDS=1-2322
OG0000585	YBR083W	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-1.74-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-1.74&CDS=1-1911
OG0000586	YBR085W	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-5.55-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-5.55&CDS=1-897
OG0000587	YBR086C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.109-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.109&CDS=1-2415
OG0000588	YBR087W	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-2.108-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-2.108&CDS=1-1092
OG0000589	YBR088C	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-4.84-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-4.84&CDS=1-777
OG0000590	YBR094W	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-4.86-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-4.86&CDS=1-2070
OG0000591	YBR095C	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-4.83-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-4.83&CDS=1-1077
OG0000592	YBR096W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-5.108-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-5.108&CDS=1-714
OG0000593	YBR097W	genemark-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.200-mRNA-1_1&gene=genemark-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.200&CDS=1-4872
OG0000594	YBR098W	augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.184-mRNA-1_1&gene=augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.184&CDS=1-1362
OG0000595	YBR101C	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.16-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.16&CDS=1-843
OG0000596	YBR102C	snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.24&CDS=1-2163
OG0000597	YBR103W	snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.62&CDS=1-1491
OG0000598	YBR106W	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-3.87&CDS=1-588
OG0000599	YBR109C	augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-12.45-mRNA-1_1&gene=augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-12.45&CDS=1-447
OG0000600	YBR110W	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-12.151-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-12.151&CDS=1-1383
OG0000601	YBR111C	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.12-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.12&CDS=1-615
OG0000602	YBR111W-A	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.31-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.31&CDS=1-297
OG0000603	YBR112C	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.11-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.11&CDS=1-2028
OG0000604	YBR114W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.38-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.38&CDS=1-2448
OG0000605	YBR115C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.37-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-6.37&CDS=1-4158
OG0000606	YBR120C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-7.4-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-7.4&CDS=1-330
OG0000607	YBR121C	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-3.148-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-3.148&CDS=1-1956
OG0000608	YBR122C	augustus_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.12&CDS=1-489
OG0000609	YBR123C	genemark-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-5.159-mRNA-1_1&gene=genemark-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-5.159&CDS=1-1641
OG0000610	YBR125C	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.23-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.23&CDS=1-1020
OG0000611	YBR126C	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.41-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.41&CDS=1-1422
OG0000612	YBR127C	maker-NODE_5_length_905678_cov_45.6404_ID_4750-augustus-gene-3.120-mRNA-1_1&gene=maker-NODE_5_length_905678_cov_45.6404_ID_4750-augustus-gene-3.120&CDS=1-4227
OG0000613	YBR133C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-1.41-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-1.41&CDS=1-1296
OG0000614	YBR136W	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-1.70-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-1.70&CDS=1-7278
OG0000615	YBR137W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-1.5-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-1.5&CDS=1-495
OG0000616	YBR138C	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.131-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.131&CDS=1-801
OG0000617	YBR141C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.150-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.150&CDS=1-906
OG0000618	YBR142W	snap_masked-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.3&CDS=1-2268
OG0000619	YBR143C	snap_masked-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.41&CDS=1-1305
OG0000620	YBR146W	genemark-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-0.33&CDS=1-879
OG0000621	YBR151W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.73-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.73&CDS=1-870
OG0000622	YBR153W	snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-1.30&CDS=1-735
OG0000623	YBR154C	maker-NODE_11_length_319508_cov_75.386_ID_2522-snap-gene-1.125-mRNA-1_1&gene=maker-NODE_11_length_319508_cov_75.386_ID_2522-snap-gene-1.125&CDS=1-642
OG0000624	YBR155W	maker-NODE_1_length_1639312_cov_47.3867_ID_4086-snap-gene-6.154-mRNA-1_1&gene=maker-NODE_1_length_1639312_cov_47.3867_ID_4086-snap-gene-6.154&CDS=1-5223
OG0000625	YBR158W	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.132-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.132&CDS=1-1524
OG0000626	YBR159W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.71-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.71&CDS=1-993
OG0000627	YBR160W	genemark-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-1.55-mRNA-1_1&gene=genemark-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-1.55&CDS=1-1986
OG0000628	YBR162C	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.5-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.5&CDS=1-1362
OG0000629	YBR163W	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-8.9-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-8.9&CDS=1-1470
OG0000630	YBR164C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-9.122-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-9.122&CDS=1-555
OG0000631	YBR166C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-9.148-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-9.148&CDS=1-1332
OG0000632	YBR167C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-11.289-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-11.289&CDS=1-420
OG0000633	YBR170C	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-9.102-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-9.102&CDS=1-1722
OG0000634	YBR171W	genemark-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-3.115-mRNA-1_1&gene=genemark-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-3.115&CDS=1-4320
OG0000635	YBR173C	genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.326-mRNA-1_1&gene=genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.326&CDS=1-1551
OG0000636	YBR175W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.87&CDS=1-963
OG0000637	YBR176W	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.110-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.110&CDS=1-792
OG0000638	YBR179C	snap_masked-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-1.206-mRNA-1_1&gene=snap_masked-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-1.206&CDS=1-2631
OG0000639	YBR182C	genemark-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-5.165-mRNA-1_1&gene=genemark-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-5.165&CDS=1-1314
OG0000640	YBR185C	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-9.105-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-9.105&CDS=1-819
OG0000641	YBR187W	genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.272-mRNA-1_1&gene=genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.272&CDS=1-1014
OG0000642	YBR193C	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.78-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.78&CDS=1-600
OG0000643	YBR195C	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-2.14-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-2.14&CDS=1-1308
OG0000644	YBR196C	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-0.37&CDS=1-1644
OG0000645	YBR198C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-5.116-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-5.116&CDS=1-2307
OG0000646	YBR199W	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-5.49-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-5.49&CDS=1-1356
OG0000647	YBR200W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.139-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.139&CDS=1-1794
OG0000648	YBR202W	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-3.75-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-3.75&CDS=1-2403
OG0000649	YBR203W	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-4.62-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-4.62&CDS=1-1782
OG0000650	YBR208C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-7.109-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-7.109&CDS=1-5451
OG0000651	YBR212W	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.32-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.32&CDS=1-1746
OG0000652	YBR213W	augustus_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-3.94&CDS=1-801
OG0000653	YBR215W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-11.144-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-11.144&CDS=1-1404
OG0000654	YBR220C	genemark-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-7.69-mRNA-1_1&gene=genemark-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-7.69&CDS=1-1665
OG0000655	YBR221C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-7.15-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-7.15&CDS=1-1137
OG0000656	YBR228W	augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-4.42&CDS=1-645
OG0000657	YBR229C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-4.74-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-4.74&CDS=1-2664
OG0000658	YBR231C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.21-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.21&CDS=1-831
OG0000659	YBR233W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.22-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.22&CDS=1-1764
OG0000660	YBR233W-A	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.137-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.137&CDS=1-240
OG0000661	YBR234C	genemark-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.103-mRNA-1_1&gene=genemark-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.103&CDS=1-1101
OG0000662	YBR235W	augustus_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.203&CDS=1-6000
OG0000663	YBR236C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-10.66-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-10.66&CDS=1-1419
OG0000664	YBR243C	genemark-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.183-mRNA-1_1&gene=genemark-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.183&CDS=1-1326
OG0000665	YBR247C	maker-NODE_16_length_146000_cov_112.095_ID_4313-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_16_length_146000_cov_112.095_ID_4313-snap-gene-0.4&CDS=1-3999
OG0000666	YBR248C	snap_masked-NODE_16_length_146000_cov_112.095_ID_4313-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_16_length_146000_cov_112.095_ID_4313-processed-gene-0.105&CDS=1-1758
OG0000667	YBR254C	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-8.83-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-8.83&CDS=1-444
OG0000668	YBR255W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-8.33-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-8.33&CDS=1-1947
OG0000669	YBR256C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-8.78-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-8.78&CDS=1-720
OG0000670	YBR257W	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-5.57-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-5.57&CDS=1-825
OG0000671	YBR258C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-11.201-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-11.201&CDS=1-690
OG0000672	YBR260C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-11.204-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-11.204&CDS=1-1851
OG0000673	YBR261C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-4.193-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-4.193&CDS=1-729
OG0000674	YBR265W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.1-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.1&CDS=1-927
OG0000675	YBR267W	snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.115-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.115&CDS=1-1161
OG0000676	YBR268W	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-3.83-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-3.83&CDS=1-300
OG0000677	YBR269C	augustus_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-0.64&CDS=1-414
OG0000678	YBR271W	genemark-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-0.14&CDS=1-1185
OG0000679	YBR276C	snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.71&CDS=1-2808
OG0000680	YBR279W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-7.125-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-7.125&CDS=1-1320
OG0000681	YBR280C	augustus_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-12.326-mRNA-1_1&gene=augustus_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-12.326&CDS=1-2214
OG0000682	YBR281C	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-11.50-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-11.50&CDS=1-2601
OG0000683	YBR282W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.59-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.59&CDS=1-504
OG0000684	YBR283C	genemark-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.127-mRNA-1_1&gene=genemark-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.127&CDS=1-1890
OG0000685	YBR286W	maker-NODE_3_length_1269879_cov_49.5199_ID_3585-augustus-gene-7.108-mRNA-1_1&gene=maker-NODE_3_length_1269879_cov_49.5199_ID_3585-augustus-gene-7.108&CDS=1-2694
OG0000686	YBR287W	maker-NODE_7_length_799497_cov_58.68_ID_3495-snap-gene-4.47-mRNA-1_1&gene=maker-NODE_7_length_799497_cov_58.68_ID_3495-snap-gene-4.47&CDS=1-1854
OG0000687	YBR288C	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-4.109-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-4.109&CDS=1-1437
OG0000688	YBR289W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-1.7-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-1.7&CDS=1-2169
OG0000689	YBR290W	genemark-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-1.58-mRNA-1_1&gene=genemark-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-1.58&CDS=1-1119
OG0000690	YBR291C	maker-NODE_6_length_830418_cov_53.4946_ID_3973-snap-gene-1.154-mRNA-1_1&gene=maker-NODE_6_length_830418_cov_53.4946_ID_3973-snap-gene-1.154&CDS=1-882
OG0000691	YBR293W	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-6.107-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-6.107&CDS=1-1527
OG0000692	YBR296C	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.126-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.126&CDS=1-1746
OG0000693	YCL001W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.78-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.78&CDS=1-564
OG0000694	YCL004W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.103-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.103&CDS=1-1641
OG0000695	YCL005W-A	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.43-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.43&CDS=1-210
OG0000696	YCL009C	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-1.112-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-1.112&CDS=1-894
OG0000697	YCL010C	genemark-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.48-mRNA-1_1&gene=genemark-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.48&CDS=1-2244
OG0000698	YCL012C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.100-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.100&CDS=1-435
OG0000699	YCL014W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.99-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.99&CDS=1-4197
OG0000700	YCL017C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.76-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.76&CDS=1-1443
OG0000701	YCL018W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.77-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.77&CDS=1-1140
OG0000702	YCL027W	genemark-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.24&CDS=1-987
OG0000703	YCL029C	maker-NODE_7_length_799497_cov_58.68_ID_3495-snap-gene-3.1-mRNA-1_1&gene=maker-NODE_7_length_799497_cov_58.68_ID_3495-snap-gene-3.1&CDS=1-1548
OG0000704	YCL030C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-2.97&CDS=1-2586
OG0000705	YCL031C	augustus_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-4.105&CDS=1-819
