	Geotrichum_candidum	Saccharomyces_cerevisiae
OG0000263	genemark-CCBN010000001.1-processed-gene-10.82-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.82&CDS=1-2238, genemark-CCBN010000008.1-processed-gene-2.22-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-2.22&CDS=1-2787	YLR187W
OG0000264	genemark-CCBN010000001.1-processed-gene-10.69-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.69&CDS=1-1947, genemark-CCBN010000008.1-processed-gene-1.79-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-1.79&CDS=1-1260	YGR229C
OG0000265	genemark-CCBN010000001.1-processed-gene-10.71-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.71&CDS=1-153, genemark-CCBN010000008.1-processed-gene-1.74-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-1.74&CDS=1-153	YJL189W
OG0000266	genemark-CCBN010000001.1-processed-gene-10.90-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.90&CDS=1-1395, genemark-CCBN010000008.1-processed-gene-1.72-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-1.72&CDS=1-1473	YBR247C
OG0000267	genemark-CCBN010000001.1-processed-gene-10.93-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.93&CDS=1-3144, genemark-CCBN010000006.1-processed-gene-5.43-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-5.43&CDS=1-3333	YNL192W
OG0000268	genemark-CCBN010000001.1-processed-gene-10.79-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.79&CDS=1-1536, genemark-CCBN010000006.1-processed-gene-5.56-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-5.56&CDS=1-1452	YPR002W
OG0000269	augustus_masked-CCBN010000009.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-CCBN010000009.1-processed-gene-0.56&CDS=1-1242, snap_masked-CCBN010000001.1-processed-gene-11.78-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-11.78&CDS=1-1467	YHR207C
OG0000270	augustus_masked-CCBN010000001.1-processed-gene-11.62-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-11.62&CDS=1-2451, genemark-CCBN010000009.1-processed-gene-0.12-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-0.12&CDS=1-2196	YHR204W
OG0000271	genemark-CCBN010000001.1-processed-gene-12.31-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.31&CDS=1-1857, genemark-CCBN010000006.1-processed-gene-7.37-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-7.37&CDS=1-1881	YBL061C
OG0000272	genemark-CCBN010000001.1-processed-gene-12.30-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.30&CDS=1-2580	YBL067C, YER098W
OG0000273	augustus_masked-CCBN010000001.1-processed-gene-12.77-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-12.77&CDS=1-3117, augustus_masked-CCBN010000012.1-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-CCBN010000012.1-processed-gene-2.35&CDS=1-3096	YGL016W
OG0000274	genemark-CCBN010000001.1-processed-gene-12.34-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.34&CDS=1-1998, genemark-CCBN010000012.1-processed-gene-2.2-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-2.2&CDS=1-1866	YLL029W
OG0000275	genemark-CCBN010000001.1-processed-gene-12.36-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.36&CDS=1-5031, genemark-CCBN010000023.1-processed-gene-1.46-mRNA-1_1&gene=genemark-CCBN010000023.1-processed-gene-1.46&CDS=1-6579	YCR033W
OG0000276	genemark-CCBN010000001.1-processed-gene-12.39-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.39&CDS=1-441	YDR450W, YML026C
OG0000277	genemark-CCBN010000001.1-processed-gene-13.31-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.31&CDS=1-1704, genemark-CCBN010000012.1-processed-gene-2.7-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-2.7&CDS=1-1689	YML123C
OG0000278	augustus_masked-CCBN010000001.1-processed-gene-13.71-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-13.71&CDS=1-2220, augustus_masked-CCBN010000012.1-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-CCBN010000012.1-processed-gene-2.36&CDS=1-1971	YHR124W
OG0000279	genemark-CCBN010000001.1-processed-gene-13.38-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.38&CDS=1-1215, genemark-CCBN010000023.1-processed-gene-1.59-mRNA-1_1&gene=genemark-CCBN010000023.1-processed-gene-1.59&CDS=1-1230	YBR078W
OG0000280	genemark-CCBN010000001.1-processed-gene-13.55-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.55&CDS=1-3294, genemark-CCBN010000023.1-processed-gene-0.34-mRNA-1_1&gene=genemark-CCBN010000023.1-processed-gene-0.34&CDS=1-3576	YPL226W
OG0000281	genemark-CCBN010000001.1-processed-gene-14.87-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-14.87&CDS=1-912, genemark-CCBN010000004.1-processed-gene-11.41-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-11.41&CDS=1-1008	YKR088C
OG0000282	augustus_masked-CCBN010000006.1-processed-gene-8.97-mRNA-1_1&gene=augustus_masked-CCBN010000006.1-processed-gene-8.97&CDS=1-1977, genemark-CCBN010000001.1-processed-gene-14.88-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-14.88&CDS=1-1890	YNL094W
OG0000283	genemark-CCBN010000001.1-processed-gene-14.90-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-14.90&CDS=1-1611, snap_masked-CCBN010000006.1-processed-gene-8.6-mRNA-1_1&gene=snap_masked-CCBN010000006.1-processed-gene-8.6&CDS=1-1695	YOR090C
OG0000284	genemark-CCBN010000001.1-processed-gene-15.51-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.51&CDS=1-2472, genemark-CCBN010000020.1-processed-gene-2.120-mRNA-1_1&gene=genemark-CCBN010000020.1-processed-gene-2.120&CDS=1-957	YKL116C
OG0000285	genemark-CCBN010000001.1-processed-gene-15.57-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.57&CDS=1-2697, genemark-CCBN010000003.1-processed-gene-9.24-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-9.24&CDS=1-2829	YGL216W
OG0000286	augustus_masked-CCBN010000001.1-processed-gene-15.38-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-15.38&CDS=1-1863	YOR389W, YPL277C
OG0000287	genemark-CCBN010000001.1-processed-gene-15.71-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.71&CDS=1-2394, maker-CCBN010000003.1-snap-gene-9.36-mRNA-1_1&gene=maker-CCBN010000003.1-snap-gene-9.36&CDS=1-2625	YKR050W
OG0000288	genemark-CCBN010000001.1-processed-gene-16.32-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-16.32&CDS=1-1119, genemark-CCBN010000002.1-processed-gene-6.16-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-6.16&CDS=1-1194	YMR235C
OG0000289	genemark-CCBN010000005.1-processed-gene-15.76-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-15.76&CDS=1-2793, snap_masked-CCBN010000001.1-processed-gene-16.14-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-16.14&CDS=1-2649	YOR211C
OG0000290	genemark-CCBN010000001.1-processed-gene-16.45-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-16.45&CDS=1-1539, genemark-CCBN010000003.1-processed-gene-7.42-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-7.42&CDS=1-1542	YAL038W
OG0000291	genemark-CCBN010000003.1-processed-gene-7.40-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-7.40&CDS=1-3606, maker-CCBN010000001.1-augustus-gene-16.29-mRNA-1_1&gene=maker-CCBN010000001.1-augustus-gene-16.29&CDS=1-5166	YDR293C
OG0000292	genemark-CCBN010000001.1-processed-gene-17.7-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-17.7&CDS=1-1077	YAL034C, YOR338W
OG0000293	genemark-CCBN010000001.1-processed-gene-17.25-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-17.25&CDS=1-1362, genemark-CCBN010000001.1-processed-gene-21.59-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.59&CDS=1-1578	YPL060W
OG0000294	genemark-CCBN010000001.1-processed-gene-21.44-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-21.44&CDS=1-2868, snap_masked-CCBN010000001.1-processed-gene-17.82-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-17.82&CDS=1-2895	YDR080W
OG0000295	genemark-CCBN010000001.1-processed-gene-18.72-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.72&CDS=1-801	YBL091C-A, YER120W
OG0000296	genemark-CCBN010000001.1-processed-gene-18.90-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.90&CDS=1-399, genemark-CCBN010000007.1-processed-gene-2.56-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-2.56&CDS=1-399	YDR225W
OG0000297	genemark-CCBN010000001.1-processed-gene-18.77-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.77&CDS=1-405	YBL002W, YDR224C
OG0000298	genemark-CCBN010000001.1-processed-gene-18.92-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-18.92&CDS=1-1782	YDR358W, YHR108W
OG0000299	augustus_masked-CCBN010000001.1-processed-gene-19.34-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-19.34&CDS=1-1287	YML118W, YMR285C
OG0000300	genemark-CCBN010000001.1-processed-gene-19.62-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-19.62&CDS=1-597, genemark-CCBN010000028.1-processed-gene-4.74-mRNA-1_1&gene=genemark-CCBN010000028.1-processed-gene-4.74&CDS=1-270	YNL322C
OG0000301	genemark-CCBN010000001.1-processed-gene-19.73-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-19.73&CDS=1-2163	YIL085C, YNL029C
OG0000302	genemark-CCBN010000015.1-processed-gene-5.107-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-5.107&CDS=1-4134, maker-CCBN010000001.1-snap-gene-19.79-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-19.79&CDS=1-4077	YGR281W
OG0000303	genemark-CCBN010000001.1-processed-gene-19.67-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-19.67&CDS=1-3642, genemark-CCBN010000004.1-processed-gene-1.86-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-1.86&CDS=1-3216	YBL007C
OG0000304	genemark-CCBN010000001.1-processed-gene-19.75-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-19.75&CDS=1-1632, genemark-CCBN010000004.1-processed-gene-1.102-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-1.102&CDS=1-1629	YBL099W
OG0000305	genemark-CCBN010000001.1-processed-gene-20.30-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-20.30&CDS=1-1398, genemark-CCBN010000004.1-processed-gene-2.39-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-2.39&CDS=1-1392	YOL030W
OG0000306	maker-CCBN010000001.1-augustus-gene-21.35-mRNA-1_1&gene=maker-CCBN010000001.1-augustus-gene-21.35&CDS=1-6327, snap_masked-CCBN010000005.1-processed-gene-4.24-mRNA-1_1&gene=snap_masked-CCBN010000005.1-processed-gene-4.24&CDS=1-2061	YIL031W
OG0000307	maker-CCBN010000001.1-snap-gene-22.37-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-22.37&CDS=1-1323, maker-CCBN010000005.1-snap-gene-4.62-mRNA-1_1&gene=maker-CCBN010000005.1-snap-gene-4.62&CDS=1-1380	YHR009C
OG0000308	genemark-CCBN010000001.1-processed-gene-22.26-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-22.26&CDS=1-921	YDR277C, YOR047C
OG0000309	genemark-CCBN010000004.1-processed-gene-9.56-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-9.56&CDS=1-1389, snap_masked-CCBN010000001.1-processed-gene-23.47-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-23.47&CDS=1-1407	YEL036C
OG0000310	genemark-CCBN010000001.1-processed-gene-23.28-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-23.28&CDS=1-318, genemark-CCBN010000010.1-processed-gene-6.54-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-6.54&CDS=1-318	YGL030W
OG0000311	genemark-CCBN010000001.1-processed-gene-23.31-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-23.31&CDS=1-1563	YMR253C, YPL264C
OG0000312	genemark-CCBN010000001.1-processed-gene-23.41-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-23.41&CDS=1-396, genemark-CCBN010000010.1-processed-gene-6.42-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-6.42&CDS=1-387	YGR203W
OG0000313	genemark-CCBN010000001.1-processed-gene-24.21-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-24.21&CDS=1-10002, maker-CCBN010000003.1-snap-gene-2.35-mRNA-1_1&gene=maker-CCBN010000003.1-snap-gene-2.35&CDS=1-14514	YDR150W
OG0000314	genemark-CCBN010000001.1-processed-gene-24.56-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-24.56&CDS=1-888, genemark-CCBN010000006.1-processed-gene-9.30-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-9.30&CDS=1-456	YLR421C
OG0000315	snap_masked-CCBN010000001.1-processed-gene-24.142-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-24.142&CDS=1-1881, snap_masked-CCBN010000005.1-processed-gene-14.96-mRNA-1_1&gene=snap_masked-CCBN010000005.1-processed-gene-14.96&CDS=1-1803	YJL163C
OG0000316	genemark-CCBN010000001.1-processed-gene-24.42-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-24.42&CDS=1-3255, genemark-CCBN010000012.1-processed-gene-4.46-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-4.46&CDS=1-3246	YBL022C
OG0000317	genemark-CCBN010000001.1-processed-gene-24.72-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-24.72&CDS=1-555, genemark-CCBN010000014.1-processed-gene-1.63-mRNA-1_1&gene=genemark-CCBN010000014.1-processed-gene-1.63&CDS=1-564	YER042W
OG0000318	genemark-CCBN010000001.1-processed-gene-24.53-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-24.53&CDS=1-2631, genemark-CCBN010000012.1-processed-gene-4.63-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-4.63&CDS=1-2601	YMR266W
OG0000319	genemark-CCBN010000002.1-processed-gene-0.19-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-0.19&CDS=1-1476	YHR131C, YNL144C
OG0000320	genemark-CCBN010000002.1-processed-gene-0.30-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-0.30&CDS=1-1893, genemark-CCBN010000010.1-processed-gene-3.78-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-3.78&CDS=1-1977	YNL161W
OG0000321	genemark-CCBN010000002.1-processed-gene-1.48-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-1.48&CDS=1-1971, genemark-CCBN010000010.1-processed-gene-2.47-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-2.47&CDS=1-2229	YBR289W
OG0000322	maker-CCBN010000002.1-augustus-gene-1.26-mRNA-1_1&gene=maker-CCBN010000002.1-augustus-gene-1.26&CDS=1-486, maker-CCBN010000012.1-snap-gene-5.39-mRNA-1_1&gene=maker-CCBN010000012.1-snap-gene-5.39&CDS=1-441	YBR109C
OG0000323	genemark-CCBN010000002.1-processed-gene-1.42-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-1.42&CDS=1-1857, maker-CCBN010000012.1-snap-gene-5.38-mRNA-1_1&gene=maker-CCBN010000012.1-snap-gene-5.38&CDS=1-1677	YAR018C
OG0000324	genemark-CCBN010000002.1-processed-gene-2.38-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-2.38&CDS=1-2157, genemark-CCBN010000012.1-processed-gene-5.76-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-5.76&CDS=1-2022	YER140W
OG0000325	snap_masked-CCBN010000002.1-processed-gene-2.6-mRNA-1_1&gene=snap_masked-CCBN010000002.1-processed-gene-2.6&CDS=1-834	YDR066C, YER139C
OG0000326	genemark-CCBN010000002.1-processed-gene-2.40-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-2.40&CDS=1-2601, genemark-CCBN010000012.1-processed-gene-5.86-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-5.86&CDS=1-2010	YJL194W
OG0000327	genemark-CCBN010000002.1-processed-gene-3.74-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-3.74&CDS=1-918	YCR073W-A, YNR034W
OG0000328	augustus_masked-CCBN010000006.1-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-CCBN010000006.1-processed-gene-8.100&CDS=1-2271, snap_masked-CCBN010000002.1-processed-gene-3.11-mRNA-1_1&gene=snap_masked-CCBN010000002.1-processed-gene-3.11&CDS=1-3906	YMR164C
OG0000329	genemark-CCBN010000002.1-processed-gene-3.80-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-3.80&CDS=1-738, genemark-CCBN010000023.1-processed-gene-2.73-mRNA-1_1&gene=genemark-CCBN010000023.1-processed-gene-2.73&CDS=1-756	YNL010W
OG0000330	genemark-CCBN010000002.1-processed-gene-4.31-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-4.31&CDS=1-3222, maker-CCBN010000023.1-snap-gene-2.106-mRNA-1_1&gene=maker-CCBN010000023.1-snap-gene-2.106&CDS=1-2358	YGL179C
OG0000331	genemark-CCBN010000021.1-processed-gene-1.88-mRNA-1_1&gene=genemark-CCBN010000021.1-processed-gene-1.88&CDS=1-4368, snap_masked-CCBN010000002.1-processed-gene-5.2-mRNA-1_1&gene=snap_masked-CCBN010000002.1-processed-gene-5.2&CDS=1-4191	YAL001C
OG0000332	genemark-CCBN010000015.1-processed-gene-0.65-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-0.65&CDS=1-5721, snap_masked-CCBN010000002.1-processed-gene-5.20-mRNA-1_1&gene=snap_masked-CCBN010000002.1-processed-gene-5.20&CDS=1-5988	YER155C
OG0000333	genemark-CCBN010000002.1-processed-gene-5.68-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-5.68&CDS=1-369	YGR243W, YHR162W
OG0000334	genemark-CCBN010000002.1-processed-gene-5.82-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-5.82&CDS=1-1452, genemark-CCBN010000021.1-processed-gene-0.52-mRNA-1_1&gene=genemark-CCBN010000021.1-processed-gene-0.52&CDS=1-1338	YDR036C
OG0000335	augustus_masked-CCBN010000015.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-CCBN010000015.1-processed-gene-0.39&CDS=1-2946, snap_masked-CCBN010000002.1-processed-gene-5.13-mRNA-1_1&gene=snap_masked-CCBN010000002.1-processed-gene-5.13&CDS=1-3198	YPR091C
OG0000336	genemark-CCBN010000002.1-processed-gene-7.43-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-7.43&CDS=1-1605, genemark-CCBN010000008.1-processed-gene-8.40-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-8.40&CDS=1-1572	YGL077C
OG0000337	genemark-CCBN010000002.1-processed-gene-7.51-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-7.51&CDS=1-2049, genemark-CCBN010000005.1-processed-gene-0.51-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-0.51&CDS=1-2109	YMR063W
OG0000338	genemark-CCBN010000002.1-processed-gene-7.55-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-7.55&CDS=1-2238, genemark-CCBN010000005.1-processed-gene-0.55-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-0.55&CDS=1-1827	YBL051C
OG0000339	genemark-CCBN010000002.1-processed-gene-7.70-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-7.70&CDS=1-1512, genemark-CCBN010000012.1-processed-gene-7.76-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-7.76&CDS=1-1512	YJR121W
OG0000340	genemark-CCBN010000002.1-processed-gene-7.71-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-7.71&CDS=1-4890, genemark-CCBN010000003.1-processed-gene-8.72-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-8.72&CDS=1-2184	YPL242C
OG0000341	maker-CCBN010000012.1-snap-gene-7.12-mRNA-1_1&gene=maker-CCBN010000012.1-snap-gene-7.12&CDS=1-1461, snap_masked-CCBN010000002.1-processed-gene-8.68-mRNA-1_1&gene=snap_masked-CCBN010000002.1-processed-gene-8.68&CDS=1-1311	YGL035C
OG0000342	genemark-CCBN010000002.1-processed-gene-8.23-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-8.23&CDS=1-687, maker-CCBN010000012.1-snap-gene-7.16-mRNA-1_1&gene=maker-CCBN010000012.1-snap-gene-7.16&CDS=1-681	YER170W
OG0000343	genemark-CCBN010000002.1-processed-gene-8.12-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-8.12&CDS=1-2271, genemark-CCBN010000008.1-processed-gene-8.51-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-8.51&CDS=1-2268	YPR181C
OG0000344	augustus_masked-CCBN010000002.1-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-CCBN010000002.1-processed-gene-8.41&CDS=1-2193, augustus_masked-CCBN010000008.1-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-CCBN010000008.1-processed-gene-8.18&CDS=1-2028	YPR179C
OG0000345	genemark-CCBN010000002.1-processed-gene-8.18-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-8.18&CDS=1-1908, genemark-CCBN010000008.1-processed-gene-7.40-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-7.40&CDS=1-1947	YFR034C
OG0000346	genemark-CCBN010000002.1-processed-gene-8.19-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-8.19&CDS=1-2610, genemark-CCBN010000008.1-processed-gene-7.38-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-7.38&CDS=1-2127	YDL170W
OG0000347	genemark-CCBN010000002.1-processed-gene-9.62-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-9.62&CDS=1-810, genemark-CCBN010000017.1-processed-gene-4.53-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-4.53&CDS=1-816	YLL041C
OG0000348	genemark-CCBN010000002.1-processed-gene-9.48-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-9.48&CDS=1-1566, genemark-CCBN010000017.1-processed-gene-5.43-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-5.43&CDS=1-1566	YBL015W
OG0000349	genemark-CCBN010000002.1-processed-gene-9.76-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-9.76&CDS=1-2367, genemark-CCBN010000003.1-processed-gene-10.48-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-10.48&CDS=1-2457	YJL212C
OG0000350	genemark-CCBN010000002.1-processed-gene-10.2-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-10.2&CDS=1-984, genemark-CCBN010000024.1-processed-gene-0.103-mRNA-1_1&gene=genemark-CCBN010000024.1-processed-gene-0.103&CDS=1-987	YOR142W
OG0000351	augustus_masked-CCBN010000010.1-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-CCBN010000010.1-processed-gene-1.58&CDS=1-1314, snap_masked-CCBN010000002.1-processed-gene-11.95-mRNA-1_1&gene=snap_masked-CCBN010000002.1-processed-gene-11.95&CDS=1-1785	YOR023C
OG0000352	genemark-CCBN010000002.1-processed-gene-11.50-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-11.50&CDS=1-1938, genemark-CCBN010000010.1-processed-gene-2.33-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-2.33&CDS=1-2082	YPL249C
OG0000353	maker-CCBN010000002.1-snap-gene-11.37-mRNA-1_1&gene=maker-CCBN010000002.1-snap-gene-11.37&CDS=1-4215, maker-CCBN010000010.1-snap-gene-1.70-mRNA-1_1&gene=maker-CCBN010000010.1-snap-gene-1.70&CDS=1-4671	YJL141C
OG0000354	genemark-CCBN010000002.1-processed-gene-11.54-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-11.54&CDS=1-2082, genemark-CCBN010000010.1-processed-gene-1.97-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-1.97&CDS=1-2085	YDL141W
OG0000355	genemark-CCBN010000006.1-processed-gene-7.65-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-7.65&CDS=1-3729, maker-CCBN010000002.1-snap-gene-11.40-mRNA-1_1&gene=maker-CCBN010000002.1-snap-gene-11.40&CDS=1-3720	YPL115C
OG0000356	genemark-CCBN010000002.1-processed-gene-11.62-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-11.62&CDS=1-2976, genemark-CCBN010000005.1-processed-gene-9.6-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-9.6&CDS=1-2925	YMR205C
OG0000357	genemark-CCBN010000002.1-processed-gene-12.43-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-12.43&CDS=1-864, genemark-CCBN010000005.1-processed-gene-9.20-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-9.20&CDS=1-816	YDR313C
OG0000358	genemark-CCBN010000002.1-processed-gene-12.44-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-12.44&CDS=1-1281	YDR312W, YHR066W
OG0000359	genemark-CCBN010000002.1-processed-gene-12.67-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-12.67&CDS=1-1128, snap_masked-CCBN010000009.1-processed-gene-2.28-mRNA-1_1&gene=snap_masked-CCBN010000009.1-processed-gene-2.28&CDS=1-1092	YGR279C
OG0000360	genemark-CCBN010000002.1-processed-gene-13.43-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-13.43&CDS=1-4788, genemark-CCBN010000012.1-processed-gene-7.34-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-7.34&CDS=1-4815	YOR326W
OG0000361	genemark-CCBN010000002.1-processed-gene-13.48-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-13.48&CDS=1-303	YBR089C-A, YPR052C
