	Saccharomyces_cerevisiae	yHMPu5000034862_Zygotorulaspora_florentina
OG0000515	YBR208C	augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-0.0&CDS=1-5505
OG0000516	YBR211C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.151-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.151&CDS=1-906
OG0000517	YBR212W	snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.76-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.76&CDS=1-1950
OG0000518	YBR213W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.130&CDS=1-816
OG0000519	YBR215W	snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.80-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.80&CDS=1-1719
OG0000520	YBR216C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.155-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.155&CDS=1-2013
OG0000521	YBR217W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.133&CDS=1-693
OG0000522	YBR220C	snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.108-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.108&CDS=1-1851
OG0000523	YBR221C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.159-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.159&CDS=1-1080
OG0000524	YBR222C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.160-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.160&CDS=1-1623
OG0000525	YBR223C	snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.111-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.111&CDS=1-1653
OG0000526	YBR225W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.138&CDS=1-2541
OG0000527	YBR227C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.162-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-2.162&CDS=1-1518
OG0000528	YBR228W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.0&CDS=1-927
OG0000529	YBR229C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.3&CDS=1-2775
OG0000530	YBR230C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.5&CDS=1-498
OG0000531	YBR231C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.27&CDS=1-939
OG0000532	YBR233W	snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.58-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.58&CDS=1-1323
OG0000533	YBR233W-A	snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.60-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.60&CDS=1-249
OG0000534	YBR234C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-3.29&CDS=1-1137
OG0000535	YBR235W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.208-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.208&CDS=1-3336
OG0000536	YBR236C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.210-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.210&CDS=1-1272
OG0000537	YBR237W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.209-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.209&CDS=1-2601
OG0000538	YBR238C	snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.4-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.4&CDS=1-2124
OG0000539	YBR239C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.258-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.258&CDS=1-1485
OG0000540	YBR240C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.259-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.259&CDS=1-1353
OG0000541	YBR241C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.260-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.260&CDS=1-1467
OG0000542	YBR242W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.216-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.216&CDS=1-660
OG0000543	YBR243C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.261-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.261&CDS=1-1332
OG0000544	YBR246W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.219-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.219&CDS=1-1218
OG0000545	YBR247C	genemark-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.170-mRNA-1_1&gene=genemark-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.170&CDS=1-1434
OG0000546	YBR248C	maker-NODE_2_length_1190564_cov_24.2002_ID_3-snap-gene-10.102-mRNA-1_1&gene=maker-NODE_2_length_1190564_cov_24.2002_ID_3-snap-gene-10.102&CDS=1-2757
OG0000547	YBR250W	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.0-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.0&CDS=1-1617
OG0000548	YBR251W	snap_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.125-mRNA-1_1&gene=snap_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.125&CDS=1-996
OG0000549	YBR253W	augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.51&CDS=1-366
OG0000550	YBR254C	augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.29&CDS=1-528
OG0000551	YBR255C-A	maker-NODE_8_length_524868_cov_24.3509_ID_15-snap-gene-4.210-mRNA-1_1&gene=maker-NODE_8_length_524868_cov_24.3509_ID_15-snap-gene-4.210&CDS=1-366
OG0000552	YBR255W	augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.49&CDS=1-1821
OG0000553	YBR256C	augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.27&CDS=1-2490
OG0000554	YBR257W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.14-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.14&CDS=1-837
OG0000555	YBR258C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.30-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.30&CDS=1-381
OG0000556	YBR260C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.31-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.31&CDS=1-2085
OG0000557	YBR261C	maker-NODE_1_length_1546580_cov_24.4376_ID_1-augustus-gene-9.91-mRNA-1_1&gene=maker-NODE_1_length_1546580_cov_24.4376_ID_1-augustus-gene-9.91&CDS=1-1017
OG0000558	YBR264C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.33-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.33&CDS=1-615
OG0000559	YBR265W	genemark-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.35-mRNA-1_1&gene=genemark-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.35&CDS=1-1209
OG0000560	YBR267W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.85-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.85&CDS=1-1170
OG0000561	YBR269C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.64&CDS=1-381
OG0000562	YBR270C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.61-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.61&CDS=1-1614
OG0000563	YBR271W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.62-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.62&CDS=1-1212
OG0000564	YBR272C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.36-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.36&CDS=1-1446
OG0000565	YBR273C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.19-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.19&CDS=1-1278
OG0000566	YBR274W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.34-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.34&CDS=1-1572
OG0000567	YBR275C	snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.66-mRNA-1_1&gene=snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-9.66&CDS=1-4827
OG0000568	YBR276C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.88-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.88&CDS=1-2463
OG0000569	YBR279W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.68&CDS=1-1299
OG0000570	YBR280C	snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.141-mRNA-1_1&gene=snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.141&CDS=1-1761
OG0000571	YBR281C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-10.90&CDS=1-2697
OG0000572	YBR282W	augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.63&CDS=1-435
OG0000573	YBR283C	augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.24&CDS=1-1467
OG0000574	YBR285W	snap_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.147-mRNA-1_1&gene=snap_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.147&CDS=1-495
OG0000575	YBR286W	augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.60&CDS=1-1596
OG0000576	YBR287W	augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.59&CDS=1-1260
OG0000577	YBR288C	augustus_masked-NODE_30_length_56880_cov_25.094_ID_59-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_30_length_56880_cov_25.094_ID_59-processed-gene-0.25&CDS=1-1626
OG0000578	YBR289W	snap_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.54&CDS=1-3090
OG0000579	YBR290W	augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.109&CDS=1-921
OG0000580	YBR291C	augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.132&CDS=1-891
OG0000581	YBR293W	augustus_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.3&CDS=1-1647
OG0000582	YBR296C	augustus_masked-NODE_27_length_59725_cov_42.876_ID_53-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_27_length_59725_cov_42.876_ID_53-processed-gene-0.8&CDS=1-1734
OG0000583	YCL001W	augustus_masked-NODE_38_length_18697_cov_23.6135_ID_75-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_38_length_18697_cov_23.6135_ID_75-processed-gene-0.2&CDS=1-564
OG0000584	YCL002C	snap_masked-NODE_38_length_18697_cov_23.6135_ID_75-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_38_length_18697_cov_23.6135_ID_75-processed-gene-0.23&CDS=1-723
OG0000585	YCL004W	augustus_masked-NODE_38_length_18697_cov_23.6135_ID_75-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_38_length_18697_cov_23.6135_ID_75-processed-gene-0.1&CDS=1-1464
OG0000586	YCL005W-A	maker-NODE_4_length_647733_cov_24.3938_ID_7-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_4_length_647733_cov_24.3938_ID_7-snap-gene-0.0&CDS=1-207
OG0000587	YCL008C	snap_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.45&CDS=1-1263
OG0000588	YCL010C	snap_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.70&CDS=1-783
OG0000589	YCL014W	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.94&CDS=1-4755
OG0000590	YCL016C	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.108&CDS=1-1134
OG0000591	YCL017C	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.107&CDS=1-1500
OG0000592	YCL018W	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.92&CDS=1-1092
OG0000593	YCL026C-B	genemark-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.176-mRNA-1_1&gene=genemark-NODE_8_length_524868_cov_24.3509_ID_15-processed-gene-4.176&CDS=1-585
OG0000594	YCL027W	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.73&CDS=1-1425
OG0000595	YCL029C	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.51&CDS=1-900
OG0000596	YCL030C	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.52&CDS=1-2421
OG0000597	YCL031C	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.53&CDS=1-1296
OG0000598	YCL032W	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.75&CDS=1-981
OG0000599	YCL033C	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.54&CDS=1-399
OG0000600	YCL034W	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.76&CDS=1-1026
OG0000601	YCL035C	genemark-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.98&CDS=1-426
OG0000602	YCL037C	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.56&CDS=1-1518
OG0000603	YCL038C	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.57&CDS=1-1563
OG0000604	YCL039W	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.79&CDS=1-2310
OG0000605	YCL040W	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.80&CDS=1-1506
OG0000606	YCL043C	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.59&CDS=1-1578
OG0000607	YCL044C	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.60&CDS=1-1260
OG0000608	YCL045C	snap_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.12&CDS=1-2211
OG0000609	YCL047C	snap_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.13&CDS=1-783
OG0000610	YCL050C	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.65&CDS=1-954
OG0000611	YCL051W	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.83&CDS=1-1572
OG0000612	YCL052C	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.67&CDS=1-1236
OG0000613	YCL054W	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.84&CDS=1-2481
OG0000614	YCL055W	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.85&CDS=1-951
OG0000615	YCL057C-A	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.68&CDS=1-252
OG0000616	YCL057W	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.87&CDS=1-2082
OG0000617	YCL058W-A	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.88&CDS=1-336
OG0000618	YCL059C	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.69&CDS=1-954
OG0000619	YCL061C	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.70&CDS=1-2910
OG0000620	YCL063W	augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.89&CDS=1-1281
OG0000621	YCR002C	augustus_masked-NODE_38_length_18697_cov_23.6135_ID_75-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_38_length_18697_cov_23.6135_ID_75-processed-gene-0.5&CDS=1-987
OG0000622	YCR003W	augustus_masked-NODE_38_length_18697_cov_23.6135_ID_75-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_38_length_18697_cov_23.6135_ID_75-processed-gene-0.4&CDS=1-2268
OG0000623	YCR008W	augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.41&CDS=1-1788
OG0000624	YCR011C	augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.51&CDS=1-3108
OG0000625	YCR012W	augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.42&CDS=1-1248
OG0000626	YCR014C	augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.52&CDS=1-1689
OG0000627	YCR015C	augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.53&CDS=1-957
OG0000628	YCR016W	augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.44&CDS=1-831
OG0000629	YCR017C	augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.54&CDS=1-3000
OG0000630	YCR019W	augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.57&CDS=1-1053
OG0000631	YCR020C-A	snap_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_33_length_40727_cov_25.9977_ID_65-processed-gene-0.5&CDS=1-267
OG0000632	YCR021C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.296-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.296&CDS=1-1077
OG0000633	YCR023C	augustus_masked-NODE_17_length_180969_cov_24.8013_ID_33-processed-gene-0.231-mRNA-1_1&gene=augustus_masked-NODE_17_length_180969_cov_24.8013_ID_33-processed-gene-0.231&CDS=1-1755
OG0000634	YCR026C	augustus_masked-NODE_17_length_180969_cov_24.8013_ID_33-processed-gene-0.235-mRNA-1_1&gene=augustus_masked-NODE_17_length_180969_cov_24.8013_ID_33-processed-gene-0.235&CDS=1-2187
OG0000635	YCR027C	augustus_masked-NODE_17_length_180969_cov_24.8013_ID_33-processed-gene-0.236-mRNA-1_1&gene=augustus_masked-NODE_17_length_180969_cov_24.8013_ID_33-processed-gene-0.236&CDS=1-651
