	Saccharomyces_cerevisiae	yHMPu5000034952_Citeromyces_siamensis
OG0000379	YKL096W	augustus_masked-scf7180000053557-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000053557-processed-gene-0.25&CDS=1-258, augustus_masked-scf7180000054025-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000054025-processed-gene-0.4&CDS=1-675, augustus_masked-scf7180000061652-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000061652-processed-gene-0.11&CDS=1-258
OG0000380	YKL121W, YMR102C	augustus_masked-scf7180000054707-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054707-processed-gene-0.1&CDS=1-1533, augustus_masked-scf7180000059431-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000059431-processed-gene-0.7&CDS=1-1965
OG0000381	YKL141W, YMR118C	augustus_masked-scf7180000061726-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000061726-processed-gene-0.11&CDS=1-504, genemark-scf7180000053959-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000053959-processed-gene-0.1&CDS=1-474
OG0000382	YKL178C	snap_masked-scf7180000053595-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000053595-processed-gene-0.19&CDS=1-1176, snap_masked-scf7180000055627-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000055627-processed-gene-0.0&CDS=1-363, snap_masked-scf7180000057702-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000057702-processed-gene-0.0&CDS=1-624
OG0000383	YKL189W	augustus_masked-scf7180000055534-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000055534-processed-gene-0.16&CDS=1-1047, augustus_masked-scf7180000056290-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000056290-processed-gene-0.0&CDS=1-522, snap_masked-scf7180000061533-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000061533-processed-gene-0.0&CDS=1-369
OG0000384	YKL205W	augustus_masked-scf7180000057699-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000057699-processed-gene-0.26&CDS=1-3189, genemark-scf7180000054538-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000054538-processed-gene-0.5&CDS=1-1554, snap_masked-scf7180000061274-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000061274-processed-gene-0.1&CDS=1-996
OG0000385	YKL213C	augustus_masked-scf7180000053827-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000053827-processed-gene-0.9&CDS=1-2046, augustus_masked-scf7180000057749-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000057749-processed-gene-0.2&CDS=1-1353, snap_masked-scf7180000058411-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000058411-processed-gene-0.2&CDS=1-321
OG0000386	YKL221W	augustus_masked-scf7180000053873-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000053873-processed-gene-0.0&CDS=1-1371, augustus_masked-scf7180000059892-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000059892-processed-gene-0.3&CDS=1-1371, genemark-scf7180000053597-processed-gene-0.52-mRNA-1_1&gene=genemark-scf7180000053597-processed-gene-0.52&CDS=1-1374
OG0000387	YKR051W	augustus_masked-scf7180000057364-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000057364-processed-gene-0.2&CDS=1-459, augustus_masked-scf7180000058141-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000058141-processed-gene-0.3&CDS=1-873, augustus_masked-scf7180000059725-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000059725-processed-gene-0.2&CDS=1-1341
OG0000388	YKR066C	augustus_masked-scf7180000056060-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000056060-processed-gene-0.6&CDS=1-1068, augustus_masked-scf7180000059059-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000059059-processed-gene-0.2&CDS=1-861, genemark-scf7180000057118-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000057118-processed-gene-0.1&CDS=1-615
OG0000389	YKR090W	genemark-scf7180000058944-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000058944-processed-gene-0.0&CDS=1-654, maker-scf7180000059513-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000059513-snap-gene-0.0&CDS=1-1674, snap_masked-scf7180000059513-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000059513-processed-gene-0.3&CDS=1-2166
OG0000390	YLL005C	snap_masked-scf7180000055118-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055118-processed-gene-0.1&CDS=1-774, snap_masked-scf7180000059048-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000059048-processed-gene-0.1&CDS=1-594, snap_masked-scf7180000061141-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000061141-processed-gene-0.2&CDS=1-2415
OG0000391	YLL013C	augustus_masked-scf7180000054936-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000054936-processed-gene-0.3&CDS=1-870, augustus_masked-scf7180000055840-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000055840-processed-gene-0.4&CDS=1-834, genemark-scf7180000059646-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000059646-processed-gene-0.6&CDS=1-1947
OG0000392	YLL019C	augustus_masked-scf7180000054854-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054854-processed-gene-0.1&CDS=1-663, augustus_masked-scf7180000058442-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000058442-processed-gene-0.8&CDS=1-1710, augustus_masked-scf7180000060519-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000060519-processed-gene-0.0&CDS=1-414
OG0000393	YLL021W	augustus_masked-scf7180000053999-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000053999-processed-gene-0.4&CDS=1-4110, augustus_masked-scf7180000061611-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000061611-processed-gene-0.2&CDS=1-1188, snap_masked-scf7180000056648-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000056648-processed-gene-0.2&CDS=1-579
OG0000394	YLR014C	augustus_masked-scf7180000055573-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000055573-processed-gene-0.13&CDS=1-2088, snap_masked-scf7180000056165-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000056165-processed-gene-0.0&CDS=1-546, snap_masked-scf7180000060262-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000060262-processed-gene-0.1&CDS=1-507
OG0000395	YLR090W	augustus_masked-scf7180000053848-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000053848-processed-gene-0.6&CDS=1-1260, snap_masked-scf7180000057520-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000057520-processed-gene-0.1&CDS=1-306, snap_masked-scf7180000059045-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000059045-processed-gene-0.0&CDS=1-327
OG0000396	YLR133W	augustus_masked-scf7180000053633-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000053633-processed-gene-0.19&CDS=1-1269, augustus_masked-scf7180000054394-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054394-processed-gene-0.1&CDS=1-888, augustus_masked-scf7180000058589-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000058589-processed-gene-0.0&CDS=1-339
OG0000397	YLR150W	augustus_masked-scf7180000058106-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000058106-processed-gene-0.1&CDS=1-702, maker-scf7180000055143-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000055143-augustus-gene-0.0&CDS=1-627, snap_masked-scf7180000058941-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000058941-processed-gene-0.9&CDS=1-762
OG0000398	YLR182W	augustus_masked-scf7180000058150-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000058150-processed-gene-0.0&CDS=1-873, augustus_masked-scf7180000059628-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000059628-processed-gene-0.8&CDS=1-1566, snap_masked-scf7180000061297-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000061297-processed-gene-0.0&CDS=1-633
OG0000399	YLR224W	augustus_masked-scf7180000054019-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000054019-processed-gene-0.22&CDS=1-1362, augustus_masked-scf7180000059541-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000059541-processed-gene-0.1&CDS=1-720, snap_masked-scf7180000057478-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000057478-processed-gene-0.0&CDS=1-264
OG0000400	YLR264W, YOR167C	augustus_masked-scf7180000053685-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000053685-processed-gene-0.9&CDS=1-201, augustus_masked-scf7180000054575-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000054575-processed-gene-0.6&CDS=1-201
OG0000401	YLR270W, YOR173W	augustus_masked-scf7180000053745-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000053745-processed-gene-0.6&CDS=1-1605, genemark-scf7180000059912-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000059912-processed-gene-0.9&CDS=1-1482
OG0000402	YLR287C	augustus_masked-scf7180000055253-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000055253-processed-gene-0.1&CDS=1-408, augustus_masked-scf7180000061550-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000061550-processed-gene-0.15&CDS=1-960, snap_masked-scf7180000060508-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000060508-processed-gene-0.0&CDS=1-801
OG0000403	YLR293C, YOR185C	augustus_masked-scf7180000053568-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000053568-processed-gene-0.1&CDS=1-1083, maker-scf7180000053787-augustus-gene-0.10-mRNA-1_1&gene=maker-scf7180000053787-augustus-gene-0.10&CDS=1-1083
OG0000404	YLR324W	augustus_masked-scf7180000053995-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000053995-processed-gene-0.15&CDS=1-1341, augustus_masked-scf7180000055609-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000055609-processed-gene-0.6&CDS=1-567, snap_masked-scf7180000061381-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000061381-processed-gene-0.3&CDS=1-657
OG0000405	YLR336C	augustus_masked-scf7180000054138-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000054138-processed-gene-0.3&CDS=1-783, augustus_masked-scf7180000056332-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000056332-processed-gene-0.0&CDS=1-1377, augustus_masked-scf7180000059846-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000059846-processed-gene-0.2&CDS=1-2640
OG0000406	YLR363C, YMR228W	maker-scf7180000059398-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000059398-augustus-gene-0.0&CDS=1-1338, snap_masked-scf7180000059612-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000059612-processed-gene-0.7&CDS=1-873
OG0000407	YLR417W	augustus_masked-scf7180000054202-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054202-processed-gene-0.2&CDS=1-909, snap_masked-scf7180000055534-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scf7180000055534-processed-gene-0.34&CDS=1-1656, snap_masked-scf7180000056290-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056290-processed-gene-0.1&CDS=1-480
OG0000408	YLR418C	augustus_masked-scf7180000058405-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000058405-processed-gene-0.1&CDS=1-597, augustus_masked-scf7180000059827-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000059827-processed-gene-0.7&CDS=1-1059, snap_masked-scf7180000061016-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000061016-processed-gene-0.1&CDS=1-315
OG0000409	YLR446W	augustus_masked-scf7180000054485-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054485-processed-gene-0.1&CDS=1-984, augustus_masked-scf7180000056033-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000056033-processed-gene-0.5&CDS=1-642, augustus_masked-scf7180000059767-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000059767-processed-gene-0.14&CDS=1-1464
OG0000410	YML034W	augustus_masked-scf7180000054448-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054448-processed-gene-0.2&CDS=1-1995, augustus_masked-scf7180000061382-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061382-processed-gene-0.1&CDS=1-723, snap_masked-scf7180000056001-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056001-processed-gene-0.1&CDS=1-1062
OG0000411	YML068W	augustus_masked-scf7180000056794-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000056794-processed-gene-0.6&CDS=1-1350, snap_masked-scf7180000056794-processed-gene-0.16-mRNA-1_1&gene=snap_masked-scf7180000056794-processed-gene-0.16&CDS=1-309, snap_masked-scf7180000060900-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000060900-processed-gene-0.0&CDS=1-759
OG0000412	YML106W, YMR271C	augustus_masked-scf7180000053711-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000053711-processed-gene-0.7&CDS=1-660, augustus_masked-scf7180000056203-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000056203-processed-gene-0.5&CDS=1-660
OG0000413	YML127W	maker-scf7180000059662-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000059662-augustus-gene-0.0&CDS=1-1026, snap_masked-scf7180000054452-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000054452-processed-gene-0.2&CDS=1-1533, snap_masked-scf7180000060723-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000060723-processed-gene-0.0&CDS=1-1707
OG0000414	YMR004W	augustus_masked-scf7180000054416-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000054416-processed-gene-0.4&CDS=1-1593, augustus_masked-scf7180000059912-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000059912-processed-gene-0.36&CDS=1-834, maker-scf7180000055037-augustus-gene-0.4-mRNA-1_1&gene=maker-scf7180000055037-augustus-gene-0.4&CDS=1-1584
OG0000415	YMR020W	augustus_masked-scf7180000058577-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000058577-processed-gene-0.0&CDS=1-567, augustus_masked-scf7180000059893-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000059893-processed-gene-0.34&CDS=1-1287, snap_masked-scf7180000059141-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000059141-processed-gene-0.1&CDS=1-318
OG0000416	YMR091C	augustus_masked-scf7180000059867-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000059867-processed-gene-0.1&CDS=1-591, augustus_masked-scf7180000061079-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000061079-processed-gene-0.27&CDS=1-1197, snap_masked-scf7180000062068-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000062068-processed-gene-0.0&CDS=1-216
OG0000417	YMR115W	augustus_masked-scf7180000053554-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000053554-processed-gene-0.19&CDS=1-1338, augustus_masked-scf7180000053880-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000053880-processed-gene-0.1&CDS=1-723, augustus_masked-scf7180000059341-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000059341-processed-gene-0.2&CDS=1-303
OG0000418	YMR125W	augustus_masked-scf7180000055351-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000055351-processed-gene-0.1&CDS=1-828, augustus_masked-scf7180000061269-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061269-processed-gene-0.1&CDS=1-468, snap_masked-scf7180000059822-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000059822-processed-gene-0.9&CDS=1-2859
OG0000419	YMR130W	augustus_masked-scf7180000053635-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000053635-processed-gene-0.34&CDS=1-798, augustus_masked-scf7180000055553-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055553-processed-gene-0.2&CDS=1-807, snap_masked-scf7180000060232-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000060232-processed-gene-0.0&CDS=1-792
OG0000420	YMR169C, YMR170C	maker-scf7180000058693-augustus-gene-0.4-mRNA-1_1&gene=maker-scf7180000058693-augustus-gene-0.4&CDS=1-1173, snap_masked-scf7180000053632-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000053632-processed-gene-0.3&CDS=1-1485
OG0000421	YMR171C	augustus_masked-scf7180000055501-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000055501-processed-gene-0.31&CDS=1-1200, augustus_masked-scf7180000055745-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000055745-processed-gene-0.4&CDS=1-534, augustus_masked-scf7180000061583-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000061583-processed-gene-0.2&CDS=1-1200
OG0000422	YMR177W, YPL224C	augustus_masked-scf7180000059796-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000059796-processed-gene-0.2&CDS=1-1122, snap_masked-scf7180000061671-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000061671-processed-gene-0.8&CDS=1-1389
OG0000423	YMR183C, YPL232W	augustus_masked-scf7180000058002-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000058002-processed-gene-0.1&CDS=1-729, maker-scf7180000054449-augustus-gene-0.39-mRNA-1_1&gene=maker-scf7180000054449-augustus-gene-0.39&CDS=1-597
OG0000424	YMR199W, YPL256C	augustus_masked-scf7180000056523-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000056523-processed-gene-0.3&CDS=1-1002, augustus_masked-scf7180000059946-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000059946-processed-gene-0.6&CDS=1-1086
OG0000425	YMR208W	augustus_masked-scf7180000054572-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054572-processed-gene-0.1&CDS=1-402, maker-scf7180000053712-augustus-gene-0.22-mRNA-1_1&gene=maker-scf7180000053712-augustus-gene-0.22&CDS=1-1236, maker-scf7180000060202-snap-gene-0.4-mRNA-1_1&gene=maker-scf7180000060202-snap-gene-0.4&CDS=1-807
OG0000426	YMR211W	augustus_masked-scf7180000053712-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000053712-processed-gene-0.28&CDS=1-1428, snap_masked-scf7180000056120-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000056120-processed-gene-0.2&CDS=1-570, snap_masked-scf7180000060192-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000060192-processed-gene-0.1&CDS=1-1089
OG0000427	YMR218C	augustus_masked-scf7180000054487-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000054487-processed-gene-0.3&CDS=1-2493, augustus_masked-scf7180000059646-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000059646-processed-gene-0.10&CDS=1-1440, snap_masked-scf7180000061712-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000061712-processed-gene-0.8&CDS=1-2814
OG0000428	YMR230W, YOR293W	augustus_masked-scf7180000059612-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000059612-processed-gene-0.24&CDS=1-369, augustus_masked-scf7180000060148-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000060148-processed-gene-0.3&CDS=1-369
OG0000429	YMR237W, YOR299W	augustus_masked-scf7180000054773-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054773-processed-gene-0.1&CDS=1-1047, maker-scf7180000054023-snap-gene-0.3-mRNA-1_1&gene=maker-scf7180000054023-snap-gene-0.3&CDS=1-2430
OG0000430	YMR242C, YOR312C	maker-scf7180000058190-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000058190-augustus-gene-0.1&CDS=1-525, snap_masked-scf7180000056877-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000056877-processed-gene-0.4&CDS=1-528
OG0000431	YMR247C	augustus_masked-scf7180000059453-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000059453-processed-gene-0.2&CDS=1-297, maker-scf7180000053794-snap-gene-0.3-mRNA-1_1&gene=maker-scf7180000053794-snap-gene-0.3&CDS=1-2721, snap_masked-scf7180000053992-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000053992-processed-gene-0.1&CDS=1-3033
OG0000432	YMR253C, YPL264C	augustus_masked-scf7180000061111-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000061111-processed-gene-0.10&CDS=1-1053, snap_masked-scf7180000061469-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000061469-processed-gene-0.0&CDS=1-333
OG0000433	YMR284W	augustus_masked-scf7180000053630-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000053630-processed-gene-0.3&CDS=1-1878, augustus_masked-scf7180000060577-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060577-processed-gene-0.1&CDS=1-669, snap_masked-scf7180000055755-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000055755-processed-gene-0.3&CDS=1-567
OG0000434	YMR287C	augustus_masked-scf7180000055240-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000055240-processed-gene-0.2&CDS=1-1665, augustus_masked-scf7180000058182-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000058182-processed-gene-0.0&CDS=1-1011, snap_masked-scf7180000053657-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000053657-processed-gene-0.28&CDS=1-2943
OG0000435	YNL032W	augustus_masked-scf7180000053802-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000053802-processed-gene-0.5&CDS=1-627, augustus_masked-scf7180000053803-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000053803-processed-gene-0.4&CDS=1-627, snap_masked-scf7180000061219-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000061219-processed-gene-0.4&CDS=1-771
OG0000436	YNL054W	augustus_masked-scf7180000055509-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000055509-processed-gene-0.8&CDS=1-1152, snap_masked-scf7180000056900-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056900-processed-gene-0.1&CDS=1-330, snap_masked-scf7180000061026-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000061026-processed-gene-0.0&CDS=1-756
OG0000437	YNL056W	augustus_masked-scf7180000056177-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000056177-processed-gene-0.2&CDS=1-390, augustus_masked-scf7180000058608-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000058608-processed-gene-0.3&CDS=1-135, augustus_masked-scf7180000061708-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000061708-processed-gene-0.78&CDS=1-651
OG0000438	YNL064C, YNL138W	maker-scf7180000053748-augustus-gene-0.13-mRNA-1_1&gene=maker-scf7180000053748-augustus-gene-0.13&CDS=1-2499, maker-scf7180000059745-snap-gene-0.8-mRNA-1_1&gene=maker-scf7180000059745-snap-gene-0.8&CDS=1-2013
OG0000439	YNL087W, YOR086C	augustus_masked-scf7180000057884-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000057884-processed-gene-0.1&CDS=1-1440, snap_masked-scf7180000060603-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scf7180000060603-processed-gene-0.13&CDS=1-3462
OG0000440	YNL107W	augustus_masked-scf7180000053998-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000053998-processed-gene-0.33&CDS=1-579, augustus_masked-scf7180000056007-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000056007-processed-gene-0.3&CDS=1-579, augustus_masked-scf7180000058853-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000058853-processed-gene-0.3&CDS=1-315
OG0000441	YNL108C, YOR110W	augustus_masked-scf7180000054418-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000054418-processed-gene-0.5&CDS=1-1287, maker-scf7180000058469-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000058469-snap-gene-0.0&CDS=1-930
OG0000442	YNL115C	augustus_masked-scf7180000055320-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000055320-processed-gene-0.1&CDS=1-678, augustus_masked-scf7180000060358-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000060358-processed-gene-0.2&CDS=1-237, maker-scf7180000061707-augustus-gene-0.5-mRNA-1_1&gene=maker-scf7180000061707-augustus-gene-0.5&CDS=1-1752
OG0000443	YNL119W	genemark-scf7180000055344-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000055344-processed-gene-0.0&CDS=1-642, snap_masked-scf7180000053751-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000053751-processed-gene-0.8&CDS=1-1209, snap_masked-scf7180000053871-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000053871-processed-gene-0.4&CDS=1-180
OG0000444	YNL139C	augustus_masked-scf7180000056664-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056664-processed-gene-0.1&CDS=1-873, snap_masked-scf7180000058024-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000058024-processed-gene-0.2&CDS=1-1110, snap_masked-scf7180000061708-processed-gene-0.48-mRNA-1_1&gene=snap_masked-scf7180000061708-processed-gene-0.48&CDS=1-4182
OG0000445	YNL200C, YNL201C	snap_masked-scf7180000054427-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000054427-processed-gene-0.11&CDS=1-2445, snap_masked-scf7180000054436-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000054436-processed-gene-0.3&CDS=1-1947
OG0000446	YNL212W	augustus_masked-scf7180000054059-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000054059-processed-gene-0.6&CDS=1-996, augustus_masked-scf7180000058140-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000058140-processed-gene-0.4&CDS=1-648, augustus_masked-scf7180000059826-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000059826-processed-gene-0.0&CDS=1-2055
OG0000447	YNL217W	augustus_masked-scf7180000059503-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000059503-processed-gene-0.0&CDS=1-903, augustus_masked-scf7180000060642-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060642-processed-gene-0.1&CDS=1-255, augustus_masked-scf7180000061703-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000061703-processed-gene-0.17&CDS=1-903
