	Saccharomyces_cerevisiae	yHAB159_Kazachstania_solicola
OG0000247	YDL222C, YNL194C	snap_masked-scf7180000046298-processed-gene-0.61-mRNA-1_1&gene=snap_masked-scf7180000046298-processed-gene-0.61&CDS=1-1041
OG0000248	YDL229W, YNL209W	genemark-scf7180000046260-processed-gene-0.265-mRNA-1_1&gene=genemark-scf7180000046260-processed-gene-0.265&CDS=1-1839
OG0000249	YDR011W	genemark-scf7180000046300-processed-gene-0.94-mRNA-1_1&gene=genemark-scf7180000046300-processed-gene-0.94&CDS=1-4506, genemark-scf7180000046343-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000046343-processed-gene-0.47&CDS=1-4365
OG0000250	YDR043C	genemark-scf7180000045216-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000045216-processed-gene-0.0&CDS=1-729, genemark-scf7180000046266-processed-gene-0.259-mRNA-1_1&gene=genemark-scf7180000046266-processed-gene-0.259&CDS=1-729
OG0000251	YDR065W	augustus_masked-scf7180000046331-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-scf7180000046331-processed-gene-0.99&CDS=1-1140, snap_masked-scf7180000045286-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045286-processed-gene-0.1&CDS=1-477
OG0000252	YDR073W	genemark-scf7180000046331-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-0.53&CDS=1-486, snap_masked-scf7180000046045-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000046045-processed-gene-0.1&CDS=1-471
OG0000253	YDR099W, YER177W	genemark-scf7180000046273-processed-gene-0.221-mRNA-1_1&gene=genemark-scf7180000046273-processed-gene-0.221&CDS=1-780
OG0000254	YDR110W	snap_masked-scf7180000045059-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000045059-processed-gene-0.0&CDS=1-252, snap_masked-scf7180000046318-processed-gene-0.165-mRNA-1_1&gene=snap_masked-scf7180000046318-processed-gene-0.165&CDS=1-1626
OG0000255	YDR144C, YLR120C	genemark-scf7180000046324-processed-gene-0.162-mRNA-1_1&gene=genemark-scf7180000046324-processed-gene-0.162&CDS=1-1659
OG0000256	YDR150W	augustus_masked-scf7180000044964-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044964-processed-gene-0.0&CDS=1-492, snap_masked-scf7180000046261-processed-gene-0.88-mRNA-1_1&gene=snap_masked-scf7180000046261-processed-gene-0.88&CDS=1-11037
OG0000257	YDR151C, YLR136C	genemark-scf7180000046261-processed-gene-0.115-mRNA-1_1&gene=genemark-scf7180000046261-processed-gene-0.115&CDS=1-1215
OG0000258	YDR200C, YLR238W	snap_masked-scf7180000046325-processed-gene-0.103-mRNA-1_1&gene=snap_masked-scf7180000046325-processed-gene-0.103&CDS=1-2010
OG0000259	YDR222W, YLR225C	genemark-scf7180000046325-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000046325-processed-gene-0.55&CDS=1-1260
OG0000260	YDR225W	genemark-scf7180000046269-processed-gene-0.162-mRNA-1_1&gene=genemark-scf7180000046269-processed-gene-0.162&CDS=1-396, genemark-scf7180000046325-processed-gene-0.56-mRNA-1_1&gene=genemark-scf7180000046325-processed-gene-0.56&CDS=1-396
OG0000261	YDR263C, YOR033C	genemark-scf7180000046297-processed-gene-0.80-mRNA-1_1&gene=genemark-scf7180000046297-processed-gene-0.80&CDS=1-2244
OG0000262	YDR277C, YOR047C	genemark-scf7180000046297-processed-gene-0.74-mRNA-1_1&gene=genemark-scf7180000046297-processed-gene-0.74&CDS=1-1527
OG0000263	YDR288W	genemark-scf7180000046234-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000046234-processed-gene-0.1&CDS=1-579, genemark-scf7180000046291-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000046291-processed-gene-0.55&CDS=1-909
OG0000264	YDR312W, YHR066W	genemark-scf7180000046265-processed-gene-0.145-mRNA-1_1&gene=genemark-scf7180000046265-processed-gene-0.145&CDS=1-1374
OG0000265	YDR348C, YHR097C	genemark-scf7180000046319-processed-gene-0.169-mRNA-1_1&gene=genemark-scf7180000046319-processed-gene-0.169&CDS=1-1641
OG0000266	YDR353W, YHR106W	augustus_masked-scf7180000046319-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000046319-processed-gene-0.27&CDS=1-2886
OG0000267	YDR368W, YOR120W	augustus_masked-scf7180000046299-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scf7180000046299-processed-gene-0.116&CDS=1-897
OG0000268	YDR370C	snap_masked-scf7180000045882-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045882-processed-gene-0.1&CDS=1-282, snap_masked-scf7180000046299-processed-gene-0.53-mRNA-1_1&gene=snap_masked-scf7180000046299-processed-gene-0.53&CDS=1-1212
OG0000269	YDR418W, YEL054C	genemark-scf7180000046296-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000046296-processed-gene-0.62&CDS=1-495
OG0000270	YDR421W	augustus_masked-scf7180000045157-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045157-processed-gene-0.0&CDS=1-1110, snap_masked-scf7180000046220-processed-gene-0.81-mRNA-1_1&gene=snap_masked-scf7180000046220-processed-gene-0.81&CDS=1-3078
OG0000271	YDR444W	genemark-scf7180000046026-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000046026-processed-gene-0.12&CDS=1-1902, genemark-scf7180000046220-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-0.31&CDS=1-2073
OG0000272	YDR450W, YML026C	genemark-scf7180000046320-processed-gene-0.118-mRNA-1_1&gene=genemark-scf7180000046320-processed-gene-0.118&CDS=1-438
OG0000273	YDR453C, YML028W	genemark-scf7180000046320-processed-gene-0.87-mRNA-1_1&gene=genemark-scf7180000046320-processed-gene-0.87&CDS=1-597
OG0000274	YDR471W, YHR010W	genemark-scf7180000046320-processed-gene-0.112-mRNA-1_1&gene=genemark-scf7180000046320-processed-gene-0.112&CDS=1-408
OG0000275	YDR483W	genemark-scf7180000046325-processed-gene-1.69-mRNA-1_1&gene=genemark-scf7180000046325-processed-gene-1.69&CDS=1-1323, snap_masked-scf7180000046325-processed-gene-1.130-mRNA-1_1&gene=snap_masked-scf7180000046325-processed-gene-1.130&CDS=1-1152
OG0000276	YDR495C	augustus_masked-scf7180000046143-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000046143-processed-gene-0.55&CDS=1-1041, snap_masked-scf7180000045893-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000045893-processed-gene-0.9&CDS=1-2871
OG0000277	YDR500C, YLR185W	snap_masked-scf7180000046087-processed-gene-0.141-mRNA-1_1&gene=snap_masked-scf7180000046087-processed-gene-0.141&CDS=1-264
OG0000278	YDR502C, YLR180W	maker-scf7180000046040-snap-gene-0.10-mRNA-1_1&gene=maker-scf7180000046040-snap-gene-0.10&CDS=1-1056
OG0000279	YEL017W	snap_masked-scf7180000045363-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000045363-processed-gene-0.0&CDS=1-354, snap_masked-scf7180000046326-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scf7180000046326-processed-gene-0.71&CDS=1-1026
OG0000280	YEL061C	augustus_masked-scf7180000045974-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045974-processed-gene-0.0&CDS=1-609, genemark-scf7180000046309-processed-gene-1.76-mRNA-1_1&gene=genemark-scf7180000046309-processed-gene-1.76&CDS=1-3231
OG0000281	YEL065W	genemark-scf7180000046088-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000046088-processed-gene-0.16&CDS=1-1923, maker-scf7180000046285-snap-gene-0.111-mRNA-1_1&gene=maker-scf7180000046285-snap-gene-0.111&CDS=1-1806
OG0000282	YER006W	augustus_masked-scf7180000046170-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-scf7180000046170-processed-gene-0.181&CDS=1-606, genemark-scf7180000046244-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000046244-processed-gene-0.10&CDS=1-3504
OG0000283	YER007W	augustus_masked-scf7180000046170-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-scf7180000046170-processed-gene-0.180&CDS=1-1413, snap_masked-scf7180000046244-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000046244-processed-gene-0.2&CDS=1-366
OG0000284	YER015W	genemark-scf7180000046148-processed-gene-0.37-mRNA-1_1&gene=genemark-scf7180000046148-processed-gene-0.37&CDS=1-2259, snap_masked-scf7180000045188-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045188-processed-gene-0.1&CDS=1-948
OG0000285	YER041W	augustus_masked-scf7180000044949-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000044949-processed-gene-0.2&CDS=1-405, snap_masked-scf7180000046309-processed-gene-2.36-mRNA-1_1&gene=snap_masked-scf7180000046309-processed-gene-2.36&CDS=1-3069
OG0000286	YER056C-A, YIL052C	augustus_masked-scf7180000046255-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-scf7180000046255-processed-gene-0.99&CDS=1-363
OG0000287	YER059W, YIL050W	snap_masked-scf7180000046331-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-0.40&CDS=1-1353
OG0000288	YER062C, YIL053W	genemark-scf7180000046331-processed-gene-0.89-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-0.89&CDS=1-750
OG0000289	YER081W, YIL074C	genemark-scf7180000046300-processed-gene-0.85-mRNA-1_1&gene=genemark-scf7180000046300-processed-gene-0.85&CDS=1-1407
OG0000290	YER109C	snap_masked-scf7180000046220-processed-gene-1.92-mRNA-1_1&gene=snap_masked-scf7180000046220-processed-gene-1.92&CDS=1-3063, snap_masked-scf7180000046265-processed-gene-0.98-mRNA-1_1&gene=snap_masked-scf7180000046265-processed-gene-0.98&CDS=1-2139
OG0000291	YER111C	snap_masked-scf7180000046220-processed-gene-1.90-mRNA-1_1&gene=snap_masked-scf7180000046220-processed-gene-1.90&CDS=1-3177, snap_masked-scf7180000046265-processed-gene-0.100-mRNA-1_1&gene=snap_masked-scf7180000046265-processed-gene-0.100&CDS=1-3321
OG0000292	YER131W, YGL189C	genemark-scf7180000046309-processed-gene-2.77-mRNA-1_1&gene=genemark-scf7180000046309-processed-gene-2.77&CDS=1-357
OG0000293	YER137C	genemark-scf7180000045263-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000045263-processed-gene-0.1&CDS=1-543, snap_masked-scf7180000046331-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-0.0&CDS=1-522
OG0000294	YER158C	snap_masked-scf7180000045565-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045565-processed-gene-0.1&CDS=1-279, snap_masked-scf7180000046139-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000046139-processed-gene-0.19&CDS=1-1647
OG0000295	YER187W	genemark-scf7180000044848-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000044848-processed-gene-0.3&CDS=1-972, genemark-scf7180000045458-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000045458-processed-gene-0.0&CDS=1-393
OG0000296	YFL002C	augustus_masked-scf7180000045240-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045240-processed-gene-0.2&CDS=1-735, augustus_masked-scf7180000046132-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000046132-processed-gene-0.56&CDS=1-2700
OG0000297	YFL007W	maker-scf7180000046210-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000046210-snap-gene-0.0&CDS=1-6339, maker-scf7180000046309-snap-gene-2.178-mRNA-1_1&gene=maker-scf7180000046309-snap-gene-2.178&CDS=1-6774
OG0000298	YFL027C	augustus_masked-scf7180000046305-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-scf7180000046305-processed-gene-1.31&CDS=1-1416, snap_masked-scf7180000044891-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000044891-processed-gene-0.1&CDS=1-306
OG0000299	YFL034C-A, YLR061W	genemark-scf7180000046127-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000046127-processed-gene-0.22&CDS=1-354
OG0000300	YFL050C, YOL130W	genemark-scf7180000046177-processed-gene-0.108-mRNA-1_1&gene=genemark-scf7180000046177-processed-gene-0.108&CDS=1-2739
OG0000301	YFR015C	genemark-scf7180000046269-processed-gene-0.172-mRNA-1_1&gene=genemark-scf7180000046269-processed-gene-0.172&CDS=1-2127, genemark-scf7180000046324-processed-gene-0.151-mRNA-1_1&gene=genemark-scf7180000046324-processed-gene-0.151&CDS=1-2103
OG0000302	YFR016C	augustus_masked-scf7180000045494-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045494-processed-gene-0.0&CDS=1-360, augustus_masked-scf7180000046269-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000046269-processed-gene-0.33&CDS=1-2640
OG0000303	YFR024C-A, YHR016C	snap_masked-scf7180000046269-processed-gene-0.141-mRNA-1_1&gene=snap_masked-scf7180000046269-processed-gene-0.141&CDS=1-2220
OG0000304	YFR031C-A, YIL018W	snap_masked-scf7180000046310-processed-gene-0.141-mRNA-1_1&gene=snap_masked-scf7180000046310-processed-gene-0.141&CDS=1-762
OG0000305	YFR034C	augustus_masked-scf7180000045425-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045425-processed-gene-0.0&CDS=1-234, genemark-scf7180000046255-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000046255-processed-gene-0.18&CDS=1-1674
OG0000306	YGL008C	genemark-scf7180000046197-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000046197-processed-gene-0.13&CDS=1-2712, genemark-scf7180000046327-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000046327-processed-gene-0.21&CDS=1-2793
OG0000307	YGL014W	augustus_masked-scf7180000045323-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045323-processed-gene-0.0&CDS=1-498, genemark-scf7180000046197-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000046197-processed-gene-0.12&CDS=1-2532
OG0000308	YGL023C	augustus_masked-scf7180000045071-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000045071-processed-gene-0.4&CDS=1-879, augustus_masked-scf7180000045803-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045803-processed-gene-0.0&CDS=1-1713
OG0000309	YGL027C	augustus_masked-scf7180000044844-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000044844-processed-gene-0.2&CDS=1-1005, genemark-scf7180000046220-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000046220-processed-gene-0.25&CDS=1-2439
OG0000310	YGL031C, YGR148C	snap_masked-scf7180000046220-processed-gene-0.62-mRNA-1_1&gene=snap_masked-scf7180000046220-processed-gene-0.62&CDS=1-453
OG0000311	YGL076C, YPL198W	genemark-scf7180000046250-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000046250-processed-gene-0.44&CDS=1-732
OG0000312	YGL084C, YPL189W	genemark-scf7180000046332-processed-gene-1.76-mRNA-1_1&gene=genemark-scf7180000046332-processed-gene-1.76&CDS=1-3012
OG0000313	YGL089C, YPL187W	genemark-scf7180000046250-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000046250-processed-gene-0.47&CDS=1-498
OG0000314	YGL113W	augustus_masked-scf7180000045142-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045142-processed-gene-0.0&CDS=1-1137, augustus_masked-scf7180000046330-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-scf7180000046330-processed-gene-0.158&CDS=1-2265
OG0000315	YGL131C	augustus_masked-scf7180000045175-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045175-processed-gene-0.0&CDS=1-1023, snap_masked-scf7180000046250-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scf7180000046250-processed-gene-0.89&CDS=1-3915
OG0000316	YGL135W, YPL220W	genemark-scf7180000046331-processed-gene-1.91-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-1.91&CDS=1-651
OG0000317	YGL203C	augustus_masked-scf7180000044840-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000044840-processed-gene-0.0&CDS=1-786, genemark-scf7180000044831-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000044831-processed-gene-0.6&CDS=1-2100
OG0000318	YGL205W	augustus_masked-scf7180000045105-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045105-processed-gene-0.0&CDS=1-1509, genemark-scf7180000046089-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000046089-processed-gene-0.40&CDS=1-2316
OG0000319	YGR004W, YLR324W	genemark-scf7180000046151-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.44&CDS=1-1515
OG0000320	YGR010W, YLR328W	genemark-scf7180000046333-processed-gene-2.82-mRNA-1_1&gene=genemark-scf7180000046333-processed-gene-2.82&CDS=1-1392
OG0000321	YGR023W, YLR332W	genemark-scf7180000046333-processed-gene-2.43-mRNA-1_1&gene=genemark-scf7180000046333-processed-gene-2.43&CDS=1-1257
OG0000322	YGR034W, YLR344W	snap_masked-scf7180000046142-processed-gene-0.58-mRNA-1_1&gene=snap_masked-scf7180000046142-processed-gene-0.58&CDS=1-381
OG0000323	YGR038W, YLR350W	genemark-scf7180000046169-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000046169-processed-gene-0.62&CDS=1-699
OG0000324	YGR049W, YLR356W	snap_masked-scf7180000046320-processed-gene-0.74-mRNA-1_1&gene=snap_masked-scf7180000046320-processed-gene-0.74&CDS=1-675
OG0000325	YGR055W	genemark-scf7180000046320-processed-gene-0.136-mRNA-1_1&gene=genemark-scf7180000046320-processed-gene-0.136&CDS=1-1794, genemark-scf7180000046333-processed-gene-2.56-mRNA-1_1&gene=genemark-scf7180000046333-processed-gene-2.56&CDS=1-1719
OG0000326	YGR056W, YLR357W	maker-scf7180000046320-snap-gene-0.205-mRNA-1_1&gene=maker-scf7180000046320-snap-gene-0.205&CDS=1-2556
OG0000327	YGR067C	augustus_masked-scf7180000045891-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045891-processed-gene-0.2&CDS=1-531, genemark-scf7180000046320-processed-gene-0.102-mRNA-1_1&gene=genemark-scf7180000046320-processed-gene-0.102&CDS=1-2565
OG0000328	YGR085C, YPR102C	genemark-scf7180000046189-processed-gene-0.83-mRNA-1_1&gene=genemark-scf7180000046189-processed-gene-0.83&CDS=1-522
OG0000329	YGR090W	genemark-scf7180000044893-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000044893-processed-gene-0.1&CDS=1-1680, genemark-scf7180000046141-processed-gene-0.92-mRNA-1_1&gene=genemark-scf7180000046141-processed-gene-0.92&CDS=1-3672
OG0000330	YGR091W	augustus_masked-scf7180000045181-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045181-processed-gene-0.2&CDS=1-1125, genemark-scf7180000046141-processed-gene-0.93-mRNA-1_1&gene=genemark-scf7180000046141-processed-gene-0.93&CDS=1-1416
OG0000331	YGR106C	augustus_masked-scf7180000045237-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045237-processed-gene-0.2&CDS=1-630, augustus_masked-scf7180000045832-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000045832-processed-gene-0.17&CDS=1-840
OG0000332	YGR109C, YPR120C	genemark-scf7180000046171-processed-gene-0.37-mRNA-1_1&gene=genemark-scf7180000046171-processed-gene-0.37&CDS=1-1206
OG0000333	YGR121C, YPR138C	snap_masked-scf7180000046171-processed-gene-0.54-mRNA-1_1&gene=snap_masked-scf7180000046171-processed-gene-0.54&CDS=1-1476
OG0000334	YGR124W, YPR145W	augustus_masked-scf7180000046171-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000046171-processed-gene-0.13&CDS=1-1710
OG0000335	YGR125W	augustus_masked-scf7180000045081-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045081-processed-gene-0.0&CDS=1-1644, augustus_masked-scf7180000046043-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000046043-processed-gene-0.7&CDS=1-2157
OG0000336	YGR136W, YPR154W	maker-scf7180000046147-augustus-gene-0.27-mRNA-1_1&gene=maker-scf7180000046147-augustus-gene-0.27&CDS=1-1032
OG0000337	YGR138C, YPR156C	genemark-scf7180000046238-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000046238-processed-gene-0.34&CDS=1-1890
OG0000338	YGR145W	snap_masked-scf7180000045116-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000045116-processed-gene-0.3&CDS=1-1317, snap_masked-scf7180000046220-processed-gene-0.69-mRNA-1_1&gene=snap_masked-scf7180000046220-processed-gene-0.69&CDS=1-2094
OG0000339	YGR162W	augustus_masked-scf7180000044863-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000044863-processed-gene-0.10&CDS=1-3018, genemark-scf7180000046086-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000046086-processed-gene-0.15&CDS=1-2244
OG0000340	YGR193C	augustus_masked-scf7180000045926-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045926-processed-gene-0.0&CDS=1-252, genemark-scf7180000046167-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000046167-processed-gene-0.21&CDS=1-1095
OG0000341	YGR214W, YLR048W	maker-scf7180000046246-snap-gene-0.36-mRNA-1_1&gene=maker-scf7180000046246-snap-gene-0.36&CDS=1-753
OG0000342	YGR243W, YHR162W	genemark-scf7180000046314-processed-gene-0.164-mRNA-1_1&gene=genemark-scf7180000046314-processed-gene-0.164&CDS=1-372
OG0000343	YGR250C	augustus_masked-scf7180000045312-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045312-processed-gene-0.0&CDS=1-477, augustus_masked-scf7180000046160-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000046160-processed-gene-0.4&CDS=1-2388
OG0000344	YGR254W, YHR174W	maker-scf7180000046314-augustus-gene-0.7-mRNA-1_1&gene=maker-scf7180000046314-augustus-gene-0.7&CDS=1-1782
OG0000345	YGR279C	genemark-scf7180000046259-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000046259-processed-gene-0.9&CDS=1-882, genemark-scf7180000046333-processed-gene-2.63-mRNA-1_1&gene=genemark-scf7180000046333-processed-gene-2.63&CDS=1-1161
OG0000346	YHL002W	genemark-scf7180000046333-processed-gene-2.37-mRNA-1_1&gene=genemark-scf7180000046333-processed-gene-2.37&CDS=1-1428, snap_masked-scf7180000045975-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045975-processed-gene-0.1&CDS=1-636
OG0000347	YHL003C, YKL008C	genemark-scf7180000046319-processed-gene-0.125-mRNA-1_1&gene=genemark-scf7180000046319-processed-gene-0.125&CDS=1-1320
OG0000348	YHL007C	genemark-scf7180000046319-processed-gene-0.127-mRNA-1_1&gene=genemark-scf7180000046319-processed-gene-0.127&CDS=1-2187, maker-scf7180000046333-snap-gene-2.233-mRNA-1_1&gene=maker-scf7180000046333-snap-gene-2.233&CDS=1-2277
OG0000349	YHL009W-B, YJL113W, YPL060C-A	
OG0000350	YHL033C, YLL045C	snap_masked-scf7180000046133-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scf7180000046133-processed-gene-0.29&CDS=1-726
OG0000351	YHL044W	augustus_masked-scf7180000046052-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000046052-processed-gene-0.4&CDS=1-1752, augustus_masked-scf7180000046171-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000046171-processed-gene-0.21&CDS=1-450
OG0000352	YHR021C, YKL156W	snap_masked-scf7180000046291-processed-gene-0.84-mRNA-1_1&gene=snap_masked-scf7180000046291-processed-gene-0.84&CDS=1-255
OG0000353	YHR042W	genemark-scf7180000046291-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000046291-processed-gene-0.54&CDS=1-2025, genemark-scf7180000046314-processed-gene-0.127-mRNA-1_1&gene=genemark-scf7180000046314-processed-gene-0.127&CDS=1-2241
OG0000354	YHR043C, YHR044C	maker-scf7180000046314-snap-gene-0.13-mRNA-1_1&gene=maker-scf7180000046314-snap-gene-0.13&CDS=1-1341
OG0000355	YHR089C	augustus_masked-scf7180000046202-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000046202-processed-gene-0.12&CDS=1-594, genemark-scf7180000046343-processed-gene-0.52-mRNA-1_1&gene=genemark-scf7180000046343-processed-gene-0.52&CDS=1-609
OG0000356	YHR112C	augustus_masked-scf7180000045842-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045842-processed-gene-0.0&CDS=1-738, genemark-scf7180000046259-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000046259-processed-gene-0.7&CDS=1-1134
OG0000357	YHR114W	augustus_masked-scf7180000045785-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000045785-processed-gene-0.1&CDS=1-1077, genemark-scf7180000046318-processed-gene-0.117-mRNA-1_1&gene=genemark-scf7180000046318-processed-gene-0.117&CDS=1-1980
OG0000358	YHR117W, YNL121C	augustus_masked-scf7180000046318-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000046318-processed-gene-0.38&CDS=1-2172
OG0000359	YHR133C, YNL156C	snap_masked-scf7180000046318-processed-gene-0.148-mRNA-1_1&gene=snap_masked-scf7180000046318-processed-gene-0.148&CDS=1-744
OG0000360	YHR134W	augustus_masked-scf7180000045382-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045382-processed-gene-0.0&CDS=1-417, genemark-scf7180000046318-processed-gene-0.106-mRNA-1_1&gene=genemark-scf7180000046318-processed-gene-0.106&CDS=1-783
OG0000361	YHR141C, YNL162W	snap_masked-scf7180000046260-processed-gene-0.157-mRNA-1_1&gene=snap_masked-scf7180000046260-processed-gene-0.157&CDS=1-333
OG0000362	YHR197W	augustus_masked-scf7180000045632-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045632-processed-gene-0.2&CDS=1-495, genemark-scf7180000046332-processed-gene-1.41-mRNA-1_1&gene=genemark-scf7180000046332-processed-gene-1.41&CDS=1-2340
OG0000363	YHR198C, YHR199C	augustus_masked-scf7180000046332-processed-gene-1.245-mRNA-1_1&gene=augustus_masked-scf7180000046332-processed-gene-1.245&CDS=1-981
OG0000364	YIL004C	augustus_masked-scf7180000045780-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045780-processed-gene-0.2&CDS=1-369, snap_masked-scf7180000046305-processed-gene-1.144-mRNA-1_1&gene=snap_masked-scf7180000046305-processed-gene-1.144&CDS=1-438
OG0000365	YIL033C	genemark-scf7180000046207-processed-gene-0.85-mRNA-1_1&gene=genemark-scf7180000046207-processed-gene-0.85&CDS=1-1551, genemark-scf7180000046310-processed-gene-0.228-mRNA-1_1&gene=genemark-scf7180000046310-processed-gene-0.228&CDS=1-1614
OG0000366	YIL075C	augustus_masked-scf7180000045829-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045829-processed-gene-0.0&CDS=1-1095, genemark-scf7180000046296-processed-gene-0.48-mRNA-1_1&gene=genemark-scf7180000046296-processed-gene-0.48&CDS=1-2823
