	Candida_glabrata	Saccharomyces_cerevisiae
OG0000589	snap_masked-CR380948-processed-gene-2.2-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.2&CDS=1-801	YDR130C
OG0000590	snap_masked-CR380948-processed-gene-2.3-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.3&CDS=1-1872	YGR224W
OG0000591	snap_masked-CR380948-processed-gene-2.0-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.0&CDS=1-1335	YGR223C
OG0000592	snap_masked-CR380948-processed-gene-2.4-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.4&CDS=1-825	YGR222W
OG0000593	snap_masked-CR380948-processed-gene-2.5-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.5&CDS=1-789	YGR220C
OG0000594	snap_masked-CR380948-processed-gene-2.19-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.19&CDS=1-3261	YGR218W
OG0000595	snap_masked-CR380948-processed-gene-2.20-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.20&CDS=1-6372	YGR217W
OG0000596	snap_masked-CR380948-processed-gene-2.6-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.6&CDS=1-1821	YGR216C
OG0000597	snap_masked-CR380948-processed-gene-2.21-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.21&CDS=1-321	YGR215W
OG0000598	snap_masked-CR380948-processed-gene-2.22-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.22&CDS=1-690	YML113W
OG0000599	snap_masked-CR380948-processed-gene-2.7-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.7&CDS=1-1929	YML114C
OG0000600	genemark-CR380948-processed-gene-2.50-mRNA-1_1&gene=genemark-CR380948-processed-gene-2.50&CDS=1-1530	YML115C
OG0000601	snap_masked-CR380948-processed-gene-2.24-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.24&CDS=1-3150	YML117W
OG0000602	snap_masked-CR380948-processed-gene-2.26-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.26&CDS=1-1083	YML119W
OG0000603	snap_masked-CR380948-processed-gene-2.9-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.9&CDS=1-1572	YML120C
OG0000604	snap_masked-CR380948-processed-gene-2.27-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.27&CDS=1-948	YML121W
OG0000605	snap_masked-CR380948-processed-gene-2.10-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.10&CDS=1-1740	YML123C
OG0000606	snap_masked-CR380948-processed-gene-2.11-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.11&CDS=1-1338	YML085C
OG0000607	snap_masked-CR380948-processed-gene-2.12-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.12&CDS=1-936	YML125C
OG0000608	snap_masked-CR380948-processed-gene-2.28-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.28&CDS=1-1764	YML127W
OG0000609	snap_masked-CR380948-processed-gene-2.13-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.13&CDS=1-1545	YML128C
OG0000610	snap_masked-CR380948-processed-gene-2.14-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.14&CDS=1-882	YDR233C
OG0000611	snap_masked-CR380948-processed-gene-2.29-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.29&CDS=1-1590	YDR232W
OG0000612	snap_masked-CR380948-processed-gene-2.16-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.16&CDS=1-1413	YDR254W
OG0000613	snap_masked-CR380948-processed-gene-2.31-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.31&CDS=1-1287	YDR255C
OG0000614	snap_masked-CR380948-processed-gene-2.33-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.33&CDS=1-2028	YLR362W
OG0000615	snap_masked-CR380948-processed-gene-2.18-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.18&CDS=1-1734	YLR361C
OG0000616	augustus_masked-CR380948-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-CR380948-processed-gene-2.116&CDS=1-1167	YLR360W
OG0000617	snap_masked-CR380948-processed-gene-2.34-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-2.34&CDS=1-1446	YLR359W
OG0000618	snap_masked-CR380948-processed-gene-3.77-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.77&CDS=1-1197	YLR355C
OG0000619	snap_masked-CR380948-processed-gene-3.79-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.79&CDS=1-1002	YLR354C
OG0000620	augustus_masked-CR380948-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-CR380948-processed-gene-3.23&CDS=1-2088	YGR041W
OG0000621	snap_masked-CR380948-processed-gene-3.101-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.101&CDS=1-2568	YLR352W
OG0000622	augustus_masked-CR380948-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-CR380948-processed-gene-3.26&CDS=1-954	YKR011C
OG0000623	snap_masked-CR380948-processed-gene-3.80-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.80&CDS=1-1473	YBR283C
OG0000624	snap_masked-CR380948-processed-gene-3.105-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.105&CDS=1-438	YBR282W
OG0000625	snap_masked-CR380948-processed-gene-3.81-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.81&CDS=1-2610	YBR281C
OG0000626	augustus_masked-CR380948-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-CR380948-processed-gene-3.6&CDS=1-1860	YBR280C
OG0000627	snap_masked-CR380948-processed-gene-3.107-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.107&CDS=1-1314	YBR279W
OG0000628	snap_masked-CR380948-processed-gene-3.108-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.108&CDS=1-765	YBR278W
OG0000629	snap_masked-CR380948-processed-gene-3.83-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.83&CDS=1-2292	YBR276C
OG0000630	snap_masked-CR380948-processed-gene-3.84-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.84&CDS=1-4821	YBR275C
OG0000631	snap_masked-CR380948-processed-gene-3.110-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.110&CDS=1-1755	YLR253W
OG0000632	snap_masked-CR380948-processed-gene-3.111-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.111&CDS=1-630	YLR251W
OG0000633	snap_masked-CR380948-processed-gene-3.112-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.112&CDS=1-3135	YNL014W
OG0000634	snap_masked-CR380948-processed-gene-3.113-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.113&CDS=1-1791	YLR248W
OG0000635	snap_masked-CR380948-processed-gene-3.85-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.85&CDS=1-930	YCR015C
OG0000636	snap_masked-CR380948-processed-gene-3.86-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.86&CDS=1-3063	YEL055C
OG0000637	snap_masked-CR380948-processed-gene-3.114-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.114&CDS=1-1257	YEL056W
OG0000638	snap_masked-CR380948-processed-gene-3.115-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.115&CDS=1-1620	YEL058W
OG0000639	augustus_masked-CR380948-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-CR380948-processed-gene-3.11&CDS=1-1593	YEL060C
OG0000640	snap_masked-CR380948-processed-gene-3.89-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.89&CDS=1-2964	YEL061C
OG0000641	snap_masked-CR380948-processed-gene-3.91-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.91&CDS=1-813	YCR004C
OG0000642	snap_masked-CR380948-processed-gene-3.92-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.92&CDS=1-1437	YJR006W
OG0000643	snap_masked-CR380948-processed-gene-3.93-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.93&CDS=1-1815	YGR191W
OG0000644	snap_masked-CR380948-processed-gene-3.94-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.94&CDS=1-909	YJR007W
OG0000645	snap_masked-CR380948-processed-gene-3.95-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.95&CDS=1-996	YJR008W
OG0000646	snap_masked-CR380948-processed-gene-3.96-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.96&CDS=1-1521	YJR010W
OG0000647	snap_masked-CR380948-processed-gene-3.116-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-3.116&CDS=1-282	YJR010C-A
OG0000648	augustus_masked-CR380948-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-CR380948-processed-gene-3.37&CDS=1-252	YJR012C
OG0000649	maker-CR380948-augustus-gene-3.38-mRNA-1_1&gene=maker-CR380948-augustus-gene-3.38&CDS=1-1854	YJR013W
OG0000650	snap_masked-CR380948-processed-gene-4.6-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.6&CDS=1-1749	YJR016C
OG0000651	snap_masked-CR380948-processed-gene-4.7-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.7&CDS=1-1206	YGR202C
OG0000652	snap_masked-CR380948-processed-gene-4.8-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.8&CDS=1-519	YJR017C
OG0000653	snap_masked-CR380948-processed-gene-4.9-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.9&CDS=1-1038	YJR019C
OG0000654	snap_masked-CR380948-processed-gene-4.10-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.10&CDS=1-831	YPR109W
OG0000655	snap_masked-CR380948-processed-gene-4.30-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.30&CDS=1-1002	YPR110C
OG0000656	snap_masked-CR380948-processed-gene-4.31-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.31&CDS=1-2583	YPR112C
OG0000657	snap_masked-CR380948-processed-gene-4.12-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.12&CDS=1-891	YPR114W
OG0000658	snap_masked-CR380948-processed-gene-4.34-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.34&CDS=1-1545	YBR030W
OG0000659	snap_masked-CR380948-processed-gene-4.14-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.14&CDS=1-1626	YBR028C
OG0000660	snap_masked-CR380948-processed-gene-4.15-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.15&CDS=1-1155	YBR026C
OG0000661	snap_masked-CR380948-processed-gene-4.16-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.16&CDS=1-1179	YBR025C
OG0000662	snap_masked-CR380948-processed-gene-4.36-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.36&CDS=1-537	YBR022W
OG0000663	snap_masked-CR380948-processed-gene-4.38-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.38&CDS=1-849	YOR104W
OG0000664	snap_masked-CR380948-processed-gene-4.19-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.19&CDS=1-402	YOR103C
OG0000665	snap_masked-CR380948-processed-gene-4.20-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.20&CDS=1-951	YOR100C
OG0000666	snap_masked-CR380948-processed-gene-4.21-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.21&CDS=1-663	YNL107W
OG0000667	snap_masked-CR380948-processed-gene-4.44-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.44&CDS=1-552	YCL001W
OG0000668	snap_masked-CR380948-processed-gene-4.45-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.45&CDS=1-1455	YCL004W
OG0000669	snap_masked-CR380948-processed-gene-4.46-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.46&CDS=1-903	YCL005W
OG0000670	snap_masked-CR380948-processed-gene-4.22-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.22&CDS=1-798	YCL010C
OG0000671	augustus_masked-CR380948-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-CR380948-processed-gene-4.75&CDS=1-399	YCL012C
OG0000672	snap_masked-CR380948-processed-gene-4.47-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.47&CDS=1-4620	YCL014W
OG0000673	snap_masked-CR380948-processed-gene-4.25-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.25&CDS=1-1086	YCL016C
OG0000674	snap_masked-CR380948-processed-gene-4.49-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.49&CDS=1-1800	YLR173W
OG0000675	snap_masked-CR380948-processed-gene-4.27-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.27&CDS=1-894	YLR172C
OG0000676	genemark-CR380948-processed-gene-4.124-mRNA-1_1&gene=genemark-CR380948-processed-gene-4.124&CDS=1-468	YLR170C
OG0000677	snap_masked-CR380948-processed-gene-4.29-mRNA-1_1&gene=snap_masked-CR380948-processed-gene-4.29&CDS=1-4410	YLR247C
OG0000678	snap_masked-CR380949-processed-gene-0.60-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.60&CDS=1-708	YDR533C
OG0000679	snap_masked-CR380949-processed-gene-0.61-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.61&CDS=1-2148	YJL168C
OG0000680	snap_masked-CR380949-processed-gene-0.78-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.78&CDS=1-1740	YJL172W
OG0000681	augustus_masked-CR380949-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-0.3&CDS=1-348	YJL173C
OG0000682	augustus_masked-CR380949-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-0.18&CDS=1-828	YJL174W
OG0000683	augustus_masked-CR380949-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-0.4&CDS=1-2559	YLR095C
OG0000684	augustus_masked-CR380949-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-0.5&CDS=1-1506	YLR094C
OG0000685	augustus_masked-CR380949-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-0.6&CDS=1-702	YLR093C
OG0000686	snap_masked-CR380949-processed-gene-0.79-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.79&CDS=1-531	YBR137W
OG0000687	snap_masked-CR380949-processed-gene-0.80-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.80&CDS=1-7137	YBR136W
OG0000688	snap_masked-CR380949-processed-gene-0.81-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.81&CDS=1-384	YBR135W
OG0000689	snap_masked-CR380949-processed-gene-0.67-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.67&CDS=1-2544	YBR133C
OG0000690	snap_masked-CR380949-processed-gene-0.68-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.68&CDS=1-1716	YBR132C
OG0000691	snap_masked-CR380949-processed-gene-0.82-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.82&CDS=1-2037	YBR131W
OG0000692	snap_masked-CR380949-processed-gene-0.70-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.70&CDS=1-945	YBR129C
OG0000693	snap_masked-CR380949-processed-gene-0.71-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.71&CDS=1-1086	YBR128C
OG0000694	snap_masked-CR380949-processed-gene-0.72-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.72&CDS=1-1527	YBR127C
OG0000695	snap_masked-CR380949-processed-gene-0.73-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.73&CDS=1-2502	YLR219W
OG0000696	augustus_masked-CR380949-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-0.12&CDS=1-897	YLR220W
OG0000697	snap_masked-CR380949-processed-gene-0.84-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.84&CDS=1-570	YLR221C
OG0000698	snap_masked-CR380949-processed-gene-0.85-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-0.85&CDS=1-2448	YLR222C
OG0000699	augustus_masked-CR380949-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-0.25&CDS=1-2355	YLR223C
OG0000700	snap_masked-CR380949-processed-gene-1.7-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.7&CDS=1-1071	YLR226W
OG0000701	snap_masked-CR380949-processed-gene-1.25-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.25&CDS=1-2151	YDR211W
OG0000702	snap_masked-CR380949-processed-gene-1.8-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.8&CDS=1-1149	YIL116W
OG0000703	snap_masked-CR380949-processed-gene-1.26-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.26&CDS=1-4503	YIL115C
OG0000704	snap_masked-CR380949-processed-gene-1.9-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.9&CDS=1-3330	YIL112W
OG0000705	snap_masked-CR380949-processed-gene-1.10-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.10&CDS=1-447	YNL052W
OG0000706	snap_masked-CR380949-processed-gene-1.11-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.11&CDS=1-1122	YIL110W
OG0000707	snap_masked-CR380949-processed-gene-1.12-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.12&CDS=1-2049	YIL108W
OG0000708	snap_masked-CR380949-processed-gene-1.30-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.30&CDS=1-1917	YPL184C
OG0000709	snap_masked-CR380949-processed-gene-1.31-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.31&CDS=1-3015	YPL183C
OG0000710	snap_masked-CR380949-processed-gene-1.32-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.32&CDS=1-2115	YPL180W
OG0000711	maker-CR380949-snap-gene-1.40-mRNA-1_1&gene=maker-CR380949-snap-gene-1.40&CDS=1-1509	YPL181W
OG0000712	snap_masked-CR380949-processed-gene-1.14-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.14&CDS=1-708	YPL178W
OG0000713	snap_masked-CR380949-processed-gene-1.34-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.34&CDS=1-663	YPL177C
OG0000714	maker-CR380949-snap-gene-1.39-mRNA-1_1&gene=maker-CR380949-snap-gene-1.39&CDS=1-2712	YBR248C
OG0000715	snap_masked-CR380949-processed-gene-1.18-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.18&CDS=1-1413	YBR247C
OG0000716	snap_masked-CR380949-processed-gene-1.35-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.35&CDS=1-1125	YBR246W
OG0000717	snap_masked-CR380949-processed-gene-1.20-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.20&CDS=1-1341	YBR243C
OG0000718	snap_masked-CR380949-processed-gene-1.21-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.21&CDS=1-1455	YBR241C
OG0000719	snap_masked-CR380949-processed-gene-1.38-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-1.38&CDS=1-333	YBR230C
OG0000720	snap_masked-CR380949-processed-gene-2.1-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.1&CDS=1-1470	YBL086C
OG0000721	snap_masked-CR380949-processed-gene-2.4-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.4&CDS=1-2307	YBL084C
OG0000722	snap_masked-CR380949-processed-gene-2.31-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.31&CDS=1-1200	YGL246C
OG0000723	snap_masked-CR380949-processed-gene-2.5-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.5&CDS=1-2115	YGL245W
OG0000724	augustus_masked-CR380949-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-2.129&CDS=1-1812	YFR048W
OG0000725	snap_masked-CR380949-processed-gene-2.7-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.7&CDS=1-1011	YFR046C
OG0000726	snap_masked-CR380949-processed-gene-2.32-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.32&CDS=1-987	YFR045W
OG0000727	snap_masked-CR380949-processed-gene-2.8-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.8&CDS=1-1449	YFR044C
OG0000728	snap_masked-CR380949-processed-gene-2.9-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.9&CDS=1-795	YFR043C
OG0000729	snap_masked-CR380949-processed-gene-2.34-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.34&CDS=1-591	YFR042W
OG0000730	snap_masked-CR380949-processed-gene-2.10-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.10&CDS=1-891	YFR041C
OG0000731	maker-CR380949-snap-gene-2.98-mRNA-1_1&gene=maker-CR380949-snap-gene-2.98&CDS=1-2613	YFR040W
OG0000732	snap_masked-CR380949-processed-gene-2.11-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.11&CDS=1-1440	YFR039C
OG0000733	snap_masked-CR380949-processed-gene-2.12-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.12&CDS=1-1347	YER043C
OG0000734	snap_masked-CR380949-processed-gene-2.13-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.13&CDS=1-1443	YEL040W
OG0000735	augustus_masked-CR380949-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-2.134&CDS=1-555	YER042W
OG0000736	snap_masked-CR380949-processed-gene-2.37-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.37&CDS=1-1944	YER041W
OG0000737	snap_masked-CR380949-processed-gene-2.14-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.14&CDS=1-1083	YER038C
OG0000738	snap_masked-CR380949-processed-gene-2.15-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.15&CDS=1-1830	YER036C
OG0000739	snap_masked-CR380949-processed-gene-2.41-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.41&CDS=1-486	YER034W
OG0000740	snap_masked-CR380949-processed-gene-2.16-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.16&CDS=1-2970	YER033C
OG0000741	snap_masked-CR380949-processed-gene-2.42-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.42&CDS=1-2787	YER032W
OG0000742	snap_masked-CR380949-processed-gene-2.17-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.17&CDS=1-654	YER031C
OG0000743	snap_masked-CR380949-processed-gene-2.43-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.43&CDS=1-444	YER030W
OG0000744	snap_masked-CR380949-processed-gene-2.18-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.18&CDS=1-495	YER029C
OG0000745	augustus_masked-CR380949-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-2.116&CDS=1-954	YER028C
OG0000746	snap_masked-CR380949-processed-gene-2.19-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.19&CDS=1-1989	YLR399C
OG0000747	snap_masked-CR380949-processed-gene-2.20-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.20&CDS=1-3849	YLR398C
OG0000748	snap_masked-CR380949-processed-gene-2.21-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.21&CDS=1-2313	YLR397C
OG0000749	snap_masked-CR380949-processed-gene-2.22-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.22&CDS=1-2031	YLR396C
OG0000750	snap_masked-CR380949-processed-gene-2.23-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.23&CDS=1-201	YLR395C
OG0000751	snap_masked-CR380949-processed-gene-2.45-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.45&CDS=1-1050	YLR394W
OG0000752	genemark-CR380949-processed-gene-2.93-mRNA-1_1&gene=genemark-CR380949-processed-gene-2.93&CDS=1-819	YLR393W
OG0000753	augustus_masked-CR380949-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-2.121&CDS=1-1512	YLR392C
OG0000754	snap_masked-CR380949-processed-gene-2.46-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.46&CDS=1-1380	YAL010C
OG0000755	snap_masked-CR380949-processed-gene-2.25-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.25&CDS=1-864	YAL009W
OG0000756	snap_masked-CR380949-processed-gene-2.26-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.26&CDS=1-585	YAL008W
OG0000757	snap_masked-CR380949-processed-gene-2.47-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.47&CDS=1-639	YOR016C
OG0000758	snap_masked-CR380949-processed-gene-2.48-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.48&CDS=1-1116	YHL022C
OG0000759	snap_masked-CR380949-processed-gene-2.27-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.27&CDS=1-1041	YOR262W
OG0000760	snap_masked-CR380949-processed-gene-2.28-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.28&CDS=1-1314	YOR264W
OG0000761	snap_masked-CR380949-processed-gene-2.29-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.29&CDS=1-318	YOR265W
OG0000762	snap_masked-CR380949-processed-gene-2.30-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-2.30&CDS=1-1137	YOR266W
OG0000763	snap_masked-CR380949-processed-gene-3.0-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-3.0&CDS=1-1401	YOR269W
OG0000764	snap_masked-CR380949-processed-gene-3.5-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-3.5&CDS=1-3081	YGL207W
OG0000765	augustus_masked-CR380949-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-CR380949-processed-gene-3.45&CDS=1-834	YER026C
OG0000766	snap_masked-CR380949-processed-gene-3.7-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-3.7&CDS=1-1077	YLR270W
OG0000767	maker-CR380949-augustus-gene-3.111-mRNA-1_1&gene=maker-CR380949-augustus-gene-3.111&CDS=1-4140	YLR272C
OG0000768	snap_masked-CR380949-processed-gene-3.8-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-3.8&CDS=1-9324	YLL040C
OG0000769	snap_masked-CR380949-processed-gene-3.10-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-3.10&CDS=1-477	YLL042C
OG0000770	snap_masked-CR380949-processed-gene-3.12-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-3.12&CDS=1-2181	YLL051C
OG0000771	snap_masked-CR380949-processed-gene-3.13-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-3.13&CDS=1-927	YNR054C
OG0000772	maker-CR380949-snap-gene-3.116-mRNA-1_1&gene=maker-CR380949-snap-gene-3.116&CDS=1-1482	YNR053C
OG0000773	genemark-CR380949-processed-gene-3.88-mRNA-1_1&gene=genemark-CR380949-processed-gene-3.88&CDS=1-1404	YNR052C
OG0000774	snap_masked-CR380949-processed-gene-3.16-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-3.16&CDS=1-1494	YNR051C
OG0000775	snap_masked-CR380949-processed-gene-3.17-mRNA-1_1&gene=snap_masked-CR380949-processed-gene-3.17&CDS=1-1338	YNR050C
