	Saccharomyces_cerevisiae	yHMPu5000035046_Barnettozyma_populi
OG0000775	YCR053W	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-3.73-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-3.73&CDS=1-1515
OG0000776	YCR054C	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-3.100-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-3.100&CDS=1-1452
OG0000777	YCR057C	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-3.68-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-3.68&CDS=1-2736
OG0000778	YCR059C	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-3.67-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-3.67&CDS=1-771
OG0000779	YCR060W	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-3.94-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-3.94&CDS=1-978
OG0000780	YCR061W	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-3.93-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-3.93&CDS=1-1845
OG0000781	YCR063W	snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-2.176-mRNA-1_1&gene=snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-2.176&CDS=1-456
OG0000782	YCR065W	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.220-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.220&CDS=1-1995
OG0000783	YCR066W	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.265-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.265&CDS=1-1224
OG0000784	YCR068W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-3.11-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-3.11&CDS=1-1635
OG0000785	YCR071C	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-1.98-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-1.98&CDS=1-396
OG0000786	YCR072C	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-1.99-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-1.99&CDS=1-1527
OG0000787	YCR075C	snap_masked-NODE_38_length_74825_cov_21.3641_ID_15611-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_38_length_74825_cov_21.3641_ID_15611-processed-gene-0.68&CDS=1-810
OG0000788	YCR077C	snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-0.107-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-0.107&CDS=1-2304
OG0000789	YCR079W	snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-0.137-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-0.137&CDS=1-1116
OG0000790	YCR081W	snap_masked-NODE_38_length_74825_cov_21.3641_ID_15611-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_38_length_74825_cov_21.3641_ID_15611-processed-gene-0.52&CDS=1-3993
OG0000791	YCR084C	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.89-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.89&CDS=1-1920
OG0000792	YCR086W	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.130-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.130&CDS=1-972
OG0000793	YCR087C-A	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.88-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.88&CDS=1-429
OG0000794	YCR088W	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.87&CDS=1-1587
OG0000795	YCR090C	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.3-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.3&CDS=1-483
OG0000796	YCR092C	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.56-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.56&CDS=1-3069
OG0000797	YCR093W	maker-NODE_2_length_837960_cov_13.6015_ID_4467-snap-gene-7.83-mRNA-1_1&gene=maker-NODE_2_length_837960_cov_13.6015_ID_4467-snap-gene-7.83&CDS=1-7659
OG0000798	YCR095C	augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.145-mRNA-1_1&gene=augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.145&CDS=1-2655
OG0000799	YCR097W	snap_masked-NODE_62_length_6967_cov_15.9223_ID_18167-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_62_length_6967_cov_15.9223_ID_18167-processed-gene-0.3&CDS=1-741
OG0000800	YCR098C	snap_masked-NODE_20_length_167655_cov_13.194_ID_8468-processed-gene-0.152-mRNA-1_1&gene=snap_masked-NODE_20_length_167655_cov_13.194_ID_8468-processed-gene-0.152&CDS=1-1560
OG0000801	YDL001W	genemark-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-1.11-mRNA-1_1&gene=genemark-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-1.11&CDS=1-1251
OG0000802	YDL002C	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-1.56-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-1.56&CDS=1-558
OG0000803	YDL003W	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.172-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.172&CDS=1-1548
OG0000804	YDL004W	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.207-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.207&CDS=1-519
OG0000805	YDL006W	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.208-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-7.208&CDS=1-882
OG0000806	YDL007W	maker-NODE_2_length_837960_cov_13.6015_ID_4467-snap-gene-7.84-mRNA-1_1&gene=maker-NODE_2_length_837960_cov_13.6015_ID_4467-snap-gene-7.84&CDS=1-2232
OG0000807	YDL013W	augustus_masked-NODE_17_length_197664_cov_17.9682_ID_4252-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_17_length_197664_cov_17.9682_ID_4252-processed-gene-0.103&CDS=1-1305
OG0000808	YDL014W	snap_masked-NODE_17_length_197664_cov_17.9682_ID_4252-processed-gene-0.219-mRNA-1_1&gene=snap_masked-NODE_17_length_197664_cov_17.9682_ID_4252-processed-gene-0.219&CDS=1-993
OG0000809	YDL015C	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.283-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.283&CDS=1-828
OG0000810	YDL017W	snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-3.75-mRNA-1_1&gene=snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-3.75&CDS=1-1803
OG0000811	YDL020C	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-0.47&CDS=1-1164
OG0000812	YDL028C	snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.41-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.41&CDS=1-2238
OG0000813	YDL029W	snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.21-mRNA-1_1&gene=snap_masked-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-1.21&CDS=1-1164
OG0000814	YDL030W	snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-0.67&CDS=1-1428
OG0000815	YDL031W	snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-3.129-mRNA-1_1&gene=snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-3.129&CDS=1-2799
OG0000816	YDL033C	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-2.56-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-2.56&CDS=1-1089
OG0000817	YDL035C	snap_masked-NODE_47_length_28242_cov_13.2915_ID_7690-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_47_length_28242_cov_13.2915_ID_7690-processed-gene-0.7&CDS=1-1470
OG0000818	YDL040C	snap_masked-NODE_35_length_80817_cov_14.4653_ID_5894-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_35_length_80817_cov_14.4653_ID_5894-processed-gene-0.51&CDS=1-2385
OG0000819	YDL043C	snap_masked-NODE_35_length_80817_cov_14.4653_ID_5894-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_35_length_80817_cov_14.4653_ID_5894-processed-gene-0.73&CDS=1-669
OG0000820	YDL045C	snap_masked-NODE_35_length_80817_cov_14.4653_ID_5894-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_35_length_80817_cov_14.4653_ID_5894-processed-gene-0.74&CDS=1-762
OG0000821	YDL045W-A	snap_masked-NODE_11_length_366296_cov_13.8376_ID_4100-processed-gene-2.264-mRNA-1_1&gene=snap_masked-NODE_11_length_366296_cov_13.8376_ID_4100-processed-gene-2.264&CDS=1-276
OG0000822	YDL046W	snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-3.78-mRNA-1_1&gene=snap_masked-NODE_8_length_421371_cov_15.4557_ID_6383-processed-gene-3.78&CDS=1-537
OG0000823	YDL052C	snap_masked-NODE_40_length_71274_cov_11.9838_ID_5744-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_40_length_71274_cov_11.9838_ID_5744-processed-gene-0.38&CDS=1-903
OG0000824	YDL055C	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.54-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.54&CDS=1-1077
OG0000825	YDL057W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-0.85&CDS=1-1956
OG0000826	YDL058W	snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.96-mRNA-1_1&gene=snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.96&CDS=1-5358
OG0000827	YDL059C	snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.97-mRNA-1_1&gene=snap_masked-NODE_15_length_296595_cov_15.8974_ID_8048-processed-gene-1.97&CDS=1-585
OG0000828	YDL060W	snap_masked-NODE_32_length_110669_cov_13.5049_ID_6289-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_32_length_110669_cov_13.5049_ID_6289-processed-gene-0.58&CDS=1-2298
OG0000829	YDL063C	snap_masked-NODE_21_length_141519_cov_13.6719_ID_5944-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_21_length_141519_cov_13.6719_ID_5944-processed-gene-0.119&CDS=1-1812
OG0000830	YDL064W	snap_masked-NODE_21_length_141519_cov_13.6719_ID_5944-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_21_length_141519_cov_13.6719_ID_5944-processed-gene-0.85&CDS=1-471
OG0000831	YDL065C	snap_masked-NODE_21_length_141519_cov_13.6719_ID_5944-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_21_length_141519_cov_13.6719_ID_5944-processed-gene-0.118&CDS=1-876
OG0000832	YDL072C	snap_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.11&CDS=1-609
OG0000833	YDL074C	snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-0.111&CDS=1-2007
OG0000834	YDL076C	snap_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.13&CDS=1-1536
OG0000835	YDL077C	augustus_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_31_length_117355_cov_12.8377_ID_6209-processed-gene-0.73&CDS=1-2454
OG0000836	YDL081C	snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-4.99-mRNA-1_1&gene=snap_masked-NODE_6_length_529108_cov_14.9201_ID_7630-processed-gene-4.99&CDS=1-318
OG0000837	YDL084W	maker-NODE_6_length_529108_cov_14.9201_ID_7630-snap-gene-4.226-mRNA-1_1&gene=maker-NODE_6_length_529108_cov_14.9201_ID_7630-snap-gene-4.226&CDS=1-1290
OG0000838	YDL086W	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.86-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.86&CDS=1-816
OG0000839	YDL087C	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.56-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.56&CDS=1-753
OG0000840	YDL089W	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.143-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.143&CDS=1-1074
OG0000841	YDL090C	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.108-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.108&CDS=1-1329
OG0000842	YDL091C	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.105-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.105&CDS=1-1596
OG0000843	YDL092W	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.146-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.146&CDS=1-393
OG0000844	YDL095W	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.100-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.100&CDS=1-2283
OG0000845	YDL097C	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.142-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.142&CDS=1-1257
OG0000846	YDL098C	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.76-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.76&CDS=1-513
OG0000847	YDL100C	augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-3.50&CDS=1-1017
OG0000848	YDL101C	snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-2.42&CDS=1-1371
OG0000849	YDL102W	snap_masked-NODE_19_length_174291_cov_14.3692_ID_15306-processed-gene-0.134-mRNA-1_1&gene=snap_masked-NODE_19_length_174291_cov_14.3692_ID_15306-processed-gene-0.134&CDS=1-3324
OG0000850	YDL103C	snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-0.64&CDS=1-1338
OG0000851	YDL104C	genemark-NODE_9_length_416299_cov_13.227_ID_6419-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_9_length_416299_cov_13.227_ID_6419-processed-gene-0.27&CDS=1-1149
OG0000852	YDL105W	snap_masked-NODE_9_length_416299_cov_13.227_ID_6419-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_9_length_416299_cov_13.227_ID_6419-processed-gene-0.109&CDS=1-1131
OG0000853	YDL106C	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-0.20&CDS=1-1443
OG0000854	YDL107W	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.82-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.82&CDS=1-1110
OG0000855	YDL108W	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.62-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.62&CDS=1-930
OG0000856	YDL110C	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.64-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.64&CDS=1-321
OG0000857	YDL111C	genemark-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.128-mRNA-1_1&gene=genemark-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.128&CDS=1-792
OG0000858	YDL112W	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.141-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.141&CDS=1-4107
OG0000859	YDL115C	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.74-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.74&CDS=1-867
OG0000860	YDL116W	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.103-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.103&CDS=1-2151
OG0000861	YDL117W	snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.102-mRNA-1_1&gene=snap_masked-NODE_7_length_436048_cov_13.5576_ID_3675-processed-gene-3.102&CDS=1-2649
OG0000862	YDL119C	snap_masked-NODE_35_length_80817_cov_14.4653_ID_5894-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_35_length_80817_cov_14.4653_ID_5894-processed-gene-0.41&CDS=1-945
OG0000863	YDL120W	genemark-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-2.17-mRNA-1_1&gene=genemark-NODE_13_length_355277_cov_14.0586_ID_7157-processed-gene-2.17&CDS=1-495
OG0000864	YDL122W	snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-2.68-mRNA-1_1&gene=snap_masked-NODE_5_length_542823_cov_13.5992_ID_6818-processed-gene-2.68&CDS=1-1812
OG0000865	YDL125C	snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-3.76-mRNA-1_1&gene=snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-3.76&CDS=1-441
OG0000866	YDL126C	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.268-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.268&CDS=1-2499
OG0000867	YDL127W	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.224-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-2.224&CDS=1-951
OG0000868	YDL128W	snap_masked-NODE_16_length_246544_cov_13.5549_ID_4550-processed-gene-1.179-mRNA-1_1&gene=snap_masked-NODE_16_length_246544_cov_13.5549_ID_4550-processed-gene-1.179&CDS=1-1233
OG0000869	YDL130W	maker-NODE_2_length_837960_cov_13.6015_ID_4467-snap-gene-0.59-mRNA-1_1&gene=maker-NODE_2_length_837960_cov_13.6015_ID_4467-snap-gene-0.59&CDS=1-315
OG0000870	YDL131W	snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-3.65-mRNA-1_1&gene=snap_masked-NODE_4_length_548769_cov_13.6504_ID_5975-processed-gene-3.65&CDS=1-1374
OG0000871	YDL133W	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-3.27-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-3.27&CDS=1-1164
OG0000872	YDL134C	snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-1.26-mRNA-1_1&gene=snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-1.26&CDS=1-1056
OG0000873	YDL135C	snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NODE_12_length_355611_cov_14.0207_ID_12396-processed-gene-1.27&CDS=1-588
OG0000874	YDL140C	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.68&CDS=1-5019
OG0000875	YDL141W	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.66&CDS=1-1995
OG0000876	YDL142C	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.46&CDS=1-687
OG0000877	YDL143W	snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_10_length_390696_cov_13.4103_ID_14589-processed-gene-0.67&CDS=1-1581
OG0000878	YDL144C	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-2.57-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-2.57&CDS=1-1026
OG0000879	YDL145C	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.106&CDS=1-3600
OG0000880	YDL146W	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.128-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.128&CDS=1-1341
OG0000881	YDL147W	maker-NODE_3_length_802383_cov_13.3796_ID_5639-snap-gene-2.46-mRNA-1_1&gene=maker-NODE_3_length_802383_cov_13.3796_ID_5639-snap-gene-2.46&CDS=1-1332
OG0000882	YDL148C	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.127-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.127&CDS=1-2430
OG0000883	YDL149W	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.103-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.103&CDS=1-2535
OG0000884	YDL150W	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.129-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.129&CDS=1-1107
OG0000885	YDL153C	snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.108-mRNA-1_1&gene=snap_masked-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.108&CDS=1-1665
OG0000886	YDL154W	genemark-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.17-mRNA-1_1&gene=genemark-NODE_3_length_802383_cov_13.3796_ID_5639-processed-gene-2.17&CDS=1-2097
OG0000887	YDL156W	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.42&CDS=1-1554
OG0000888	YDL157C	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.24&CDS=1-303
OG0000889	YDL159W	genemark-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.141-mRNA-1_1&gene=genemark-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.141&CDS=1-1458
OG0000890	YDL160C	snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-1.25&CDS=1-1605
OG0000891	YDL164C	snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.83-mRNA-1_1&gene=snap_masked-NODE_1_length_973885_cov_13.6909_ID_9548-processed-gene-8.83&CDS=1-2082
OG0000892	YDL165W	snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.147-mRNA-1_1&gene=snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.147&CDS=1-885
OG0000893	YDL166C	snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.173-mRNA-1_1&gene=snap_masked-NODE_30_length_117652_cov_15.2091_ID_5561-processed-gene-0.173&CDS=1-552
OG0000894	YDL167C	augustus_masked-NODE_76_length_3160_cov_15.9433_ID_9723-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_76_length_3160_cov_15.9433_ID_9723-processed-gene-0.4&CDS=1-1656
OG0000895	YDL168W	snap_masked-NODE_53_length_20792_cov_15.6002_ID_9908-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_53_length_20792_cov_15.6002_ID_9908-processed-gene-0.18&CDS=1-1143
OG0000896	YDL169C	augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-NODE_2_length_837960_cov_13.6015_ID_4467-processed-gene-4.25&CDS=1-684
