	Metschnikowia_shivogae	Saccharomyces_cerevisiae
OG0000181	snap_masked-shi_s51-processed-gene-5.93-mRNA-1_1&gene=snap_masked-shi_s51-processed-gene-5.93&CDS=1-1326, snap_masked-shi_s76-processed-gene-2.58-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-2.58&CDS=1-1215	YBR078W, YDR055W
OG0000182	genemark-shi_s51-processed-gene-6.113-mRNA-1_1&gene=genemark-shi_s51-processed-gene-6.113&CDS=1-996	YGR192C, YJL052W, YJR009C
OG0000183	genemark-shi_s53-processed-gene-1.68-mRNA-1_1&gene=genemark-shi_s53-processed-gene-1.68&CDS=1-6159, genemark-shi_s53-processed-gene-12.67-mRNA-1_1&gene=genemark-shi_s53-processed-gene-12.67&CDS=1-5778	YER172C, YGR271W
OG0000184	genemark-shi_s53-processed-gene-1.52-mRNA-1_1&gene=genemark-shi_s53-processed-gene-1.52&CDS=1-3213, genemark-shi_s53-processed-gene-7.82-mRNA-1_1&gene=genemark-shi_s53-processed-gene-7.82&CDS=1-3642	YJL050W, YLR398C
OG0000185	genemark-shi_s54-processed-gene-0.35-mRNA-1_1&gene=genemark-shi_s54-processed-gene-0.35&CDS=1-2271, maker-shi_s53-augustus-gene-2.91-mRNA-1_1&gene=maker-shi_s53-augustus-gene-2.91&CDS=1-5910	YJL102W, YLR069C
OG0000186	genemark-shi_s53-processed-gene-2.29-mRNA-1_1&gene=genemark-shi_s53-processed-gene-2.29&CDS=1-1692, genemark-shi_s59-processed-gene-0.74-mRNA-1_1&gene=genemark-shi_s59-processed-gene-0.74&CDS=1-2403	YGL216W, YPL155C
OG0000187	genemark-shi_s53-processed-gene-3.116-mRNA-1_1&gene=genemark-shi_s53-processed-gene-3.116&CDS=1-1095, genemark-shi_s96-processed-gene-2.100-mRNA-1_1&gene=genemark-shi_s96-processed-gene-2.100&CDS=1-1119	YBR249C, YDR035W
OG0000188	augustus_masked-shi_s53-processed-gene-8.129-mRNA-1_1&gene=augustus_masked-shi_s53-processed-gene-8.129&CDS=1-1647, genemark-shi_s53-processed-gene-3.128-mRNA-1_1&gene=genemark-shi_s53-processed-gene-3.128&CDS=1-1188	YBR025C, YHL014C
OG0000189	genemark-shi_s53-processed-gene-4.90-mRNA-1_1&gene=genemark-shi_s53-processed-gene-4.90&CDS=1-1080, genemark-shi_s53-processed-gene-6.10-mRNA-1_1&gene=genemark-shi_s53-processed-gene-6.10&CDS=1-1050, genemark-shi_s76-processed-gene-5.128-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.128&CDS=1-1050	YML131W
OG0000190	genemark-shi_s53-processed-gene-5.5-mRNA-1_1&gene=genemark-shi_s53-processed-gene-5.5&CDS=1-2553, genemark-shi_s79-processed-gene-2.269-mRNA-1_1&gene=genemark-shi_s79-processed-gene-2.269&CDS=1-2337	YDL132W, YGR003W
OG0000191	genemark-shi_s53-processed-gene-5.28-mRNA-1_1&gene=genemark-shi_s53-processed-gene-5.28&CDS=1-3849, genemark-shi_s76-processed-gene-3.74-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.74&CDS=1-4749	YAL026C, YMR162C
OG0000192	genemark-shi_s53-processed-gene-6.34-mRNA-1_1&gene=genemark-shi_s53-processed-gene-6.34&CDS=1-1536, snap_masked-shi_s53-processed-gene-6.91-mRNA-1_1&gene=snap_masked-shi_s53-processed-gene-6.91&CDS=1-216, snap_masked-shi_s53-processed-gene-6.92-mRNA-1_1&gene=snap_masked-shi_s53-processed-gene-6.92&CDS=1-180	YHL027W
OG0000193	genemark-shi_s53-processed-gene-6.17-mRNA-1_1&gene=genemark-shi_s53-processed-gene-6.17&CDS=1-1710, genemark-shi_s59-processed-gene-4.67-mRNA-1_1&gene=genemark-shi_s59-processed-gene-4.67&CDS=1-1254	YDL225W, YLR314C
OG0000194	genemark-shi_s53-processed-gene-9.97-mRNA-1_1&gene=genemark-shi_s53-processed-gene-9.97&CDS=1-1395, genemark-shi_s79-processed-gene-2.252-mRNA-1_1&gene=genemark-shi_s79-processed-gene-2.252&CDS=1-1332	YDR030C, YNL317W
OG0000195	genemark-shi_s53-processed-gene-10.7-mRNA-1_1&gene=genemark-shi_s53-processed-gene-10.7&CDS=1-1908, genemark-shi_s76-processed-gene-3.90-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.90&CDS=1-948	YDL108W, YKL139W
OG0000196	augustus_masked-shi_s79-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-shi_s79-processed-gene-2.47&CDS=1-435, genemark-shi_s53-processed-gene-10.16-mRNA-1_1&gene=genemark-shi_s53-processed-gene-10.16&CDS=1-999	YDR214W, YNL281W
OG0000197	genemark-shi_s53-processed-gene-10.47-mRNA-1_1&gene=genemark-shi_s53-processed-gene-10.47&CDS=1-2175, maker-shi_s77-augustus-gene-3.180-mRNA-1_1&gene=maker-shi_s77-augustus-gene-3.180&CDS=1-1839	YIL078W, YKL194C
OG0000198	genemark-shi_s53-processed-gene-11.31-mRNA-1_1&gene=genemark-shi_s53-processed-gene-11.31&CDS=1-2235, genemark-shi_s77-processed-gene-2.155-mRNA-1_1&gene=genemark-shi_s77-processed-gene-2.155&CDS=1-1437	YGR052W, YHR082C
OG0000199	genemark-shi_s76-processed-gene-6.112-mRNA-1_1&gene=genemark-shi_s76-processed-gene-6.112&CDS=1-201, genemark-shi_s79-processed-gene-1.51-mRNA-1_1&gene=genemark-shi_s79-processed-gene-1.51&CDS=1-1575, maker-shi_s53-augustus-gene-11.117-mRNA-1_1&gene=maker-shi_s53-augustus-gene-11.117&CDS=1-3255	YIL150C
OG0000200	genemark-shi_s93-processed-gene-1.144-mRNA-1_1&gene=genemark-shi_s93-processed-gene-1.144&CDS=1-1041, maker-shi_s53-augustus-gene-11.118-mRNA-1_1&gene=maker-shi_s53-augustus-gene-11.118&CDS=1-2220	YMR303C, YOL086C
OG0000201	augustus_masked-shi_s53-processed-gene-12.136-mRNA-1_1&gene=augustus_masked-shi_s53-processed-gene-12.136&CDS=1-2943, genemark-shi_s93-processed-gene-1.101-mRNA-1_1&gene=genemark-shi_s93-processed-gene-1.101&CDS=1-1059	YML019W, YOR085W
OG0000202	genemark-shi_s59-processed-gene-1.77-mRNA-1_1&gene=genemark-shi_s59-processed-gene-1.77&CDS=1-2829, maker-shi_s53-augustus-gene-12.127-mRNA-1_1&gene=maker-shi_s53-augustus-gene-12.127&CDS=1-3786	YGR240C, YMR205C
OG0000203	genemark-shi_s59-processed-gene-1.65-mRNA-1_1&gene=genemark-shi_s59-processed-gene-1.65&CDS=1-2304, snap_masked-shi_s80-processed-gene-0.22-mRNA-1_1&gene=snap_masked-shi_s80-processed-gene-0.22&CDS=1-2082	YGL023C, YNR006W
OG0000204	genemark-shi_s59-processed-gene-1.76-mRNA-1_1&gene=genemark-shi_s59-processed-gene-1.76&CDS=1-1848, genemark-shi_s96-processed-gene-1.93-mRNA-1_1&gene=genemark-shi_s96-processed-gene-1.93&CDS=1-1686	YDR380W, YLR044C
OG0000205	genemark-shi_s59-processed-gene-3.126-mRNA-1_1&gene=genemark-shi_s59-processed-gene-3.126&CDS=1-1434, snap_masked-shi_s77-processed-gene-3.24-mRNA-1_1&gene=snap_masked-shi_s77-processed-gene-3.24&CDS=1-1755	YKL088W, YKR072C
OG0000206	genemark-shi_s59-processed-gene-4.73-mRNA-1_1&gene=genemark-shi_s59-processed-gene-4.73&CDS=1-309, genemark-shi_s77-processed-gene-2.123-mRNA-1_1&gene=genemark-shi_s77-processed-gene-2.123&CDS=1-309	YBR009C, YNL030W
OG0000207	genemark-shi_s65-processed-gene-0.3-mRNA-1_1&gene=genemark-shi_s65-processed-gene-0.3&CDS=1-1032	YCR102C, YLR460C, YNL134C
OG0000208	genemark-shi_s70-processed-gene-0.48-mRNA-1_1&gene=genemark-shi_s70-processed-gene-0.48&CDS=1-1317, genemark-shi_s79-processed-gene-2.203-mRNA-1_1&gene=genemark-shi_s79-processed-gene-2.203&CDS=1-1230	YLR090W, YNL064C
OG0000209	genemark-shi_s76-processed-gene-2.25-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.25&CDS=1-3060, genemark-shi_s76-processed-gene-3.76-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.76&CDS=1-2772	YHR098C, YNL049C
OG0000210	maker-shi_s76-augustus-gene-2.125-mRNA-1_1&gene=maker-shi_s76-augustus-gene-2.125&CDS=1-6138	YOL055C, YPL258C, YPR121W
OG0000211	genemark-shi_s76-processed-gene-3.50-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.50&CDS=1-1830, genemark-shi_s96-processed-gene-2.81-mRNA-1_1&gene=genemark-shi_s96-processed-gene-2.81&CDS=1-1701	YGL003C, YGL116W
OG0000212	genemark-shi_s79-processed-gene-1.68-mRNA-1_1&gene=genemark-shi_s79-processed-gene-1.68&CDS=1-2094, maker-shi_s76-snap-gene-3.4-mRNA-1_1&gene=maker-shi_s76-snap-gene-3.4&CDS=1-2922	YER041W, YGR258C
OG0000213	genemark-shi_s76-processed-gene-5.152-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.152&CDS=1-654, genemark-shi_s96-processed-gene-2.97-mRNA-1_1&gene=genemark-shi_s96-processed-gene-2.97&CDS=1-609	YDR399W, YJR133W
OG0000214	genemark-shi_s77-processed-gene-0.1-mRNA-1_1&gene=genemark-shi_s77-processed-gene-0.1&CDS=1-1662	YDR144C, YLR120C, YLR121C
OG0000215	genemark-shi_s91-processed-gene-0.6-mRNA-1_1&gene=genemark-shi_s91-processed-gene-0.6&CDS=1-1284, maker-shi_s77-augustus-gene-2.56-mRNA-1_1&gene=maker-shi_s77-augustus-gene-2.56&CDS=1-2904	YJL139C, YKR061W
OG0000216	genemark-shi_s79-processed-gene-2.274-mRNA-1_1&gene=genemark-shi_s79-processed-gene-2.274&CDS=1-1020, genemark-shi_s91-processed-gene-1.19-mRNA-1_1&gene=genemark-shi_s91-processed-gene-1.19&CDS=1-1062	YDL134C, YNR032W
OG0000217	genemark-shi_s80-processed-gene-0.37-mRNA-1_1&gene=genemark-shi_s80-processed-gene-0.37&CDS=1-1095, genemark-shi_s91-processed-gene-1.33-mRNA-1_1&gene=genemark-shi_s91-processed-gene-1.33&CDS=1-1008	YNL274C, YPL113C
OG0000218	genemark-shi_s80-processed-gene-0.46-mRNA-1_1&gene=genemark-shi_s80-processed-gene-0.46&CDS=1-2574, genemark-shi_s96-processed-gene-1.67-mRNA-1_1&gene=genemark-shi_s96-processed-gene-1.67&CDS=1-2796	YHR047C, YIL137C
OG0000219	genemark-shi_s87-processed-gene-0.14-mRNA-1_1&gene=genemark-shi_s87-processed-gene-0.14&CDS=1-1803	YOR389W, YPL277C, YPL278C
OG0000220	augustus_masked-shi_C10282-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-shi_C10282-processed-gene-0.2&CDS=1-1041	YBR118W, YPR080W
OG0000221	augustus_masked-shi_C10430-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-shi_C10430-processed-gene-0.6&CDS=1-192	YHL033C, YLL045C
OG0000222	augustus_masked-shi_s51-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-shi_s51-processed-gene-5.119&CDS=1-1311, genemark-shi_C10930-processed-gene-0.47-mRNA-1_1&gene=genemark-shi_C10930-processed-gene-0.47&CDS=1-1395	YDR182W
OG0000223	genemark-shi_C10930-processed-gene-0.73-mRNA-1_1&gene=genemark-shi_C10930-processed-gene-0.73&CDS=1-1350	YMR182C, YPL230W
OG0000224	genemark-shi_C10930-processed-gene-0.80-mRNA-1_1&gene=genemark-shi_C10930-processed-gene-0.80&CDS=1-3288	YIR033W, YKL020C
OG0000225	genemark-shi_s13-processed-gene-0.75-mRNA-1_1&gene=genemark-shi_s13-processed-gene-0.75&CDS=1-1815	YBR238C, YGL107C
OG0000226	genemark-shi_s13-processed-gene-0.93-mRNA-1_1&gene=genemark-shi_s13-processed-gene-0.93&CDS=1-3228	YAL017W, YOL045W
OG0000227	genemark-shi_s13-processed-gene-0.96-mRNA-1_1&gene=genemark-shi_s13-processed-gene-0.96&CDS=1-918, genemark-shi_s59-processed-gene-0.43-mRNA-1_1&gene=genemark-shi_s59-processed-gene-0.43&CDS=1-978	YER175C
OG0000228	genemark-shi_s13-processed-gene-0.79-mRNA-1_1&gene=genemark-shi_s13-processed-gene-0.79&CDS=1-1467	YAL015C, YOL043C
OG0000229	genemark-shi_s13-processed-gene-0.81-mRNA-1_1&gene=genemark-shi_s13-processed-gene-0.81&CDS=1-963, genemark-shi_s38-processed-gene-1.68-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.68&CDS=1-927	YKL128C
OG0000230	genemark-shi_s13-processed-gene-0.102-mRNA-1_1&gene=genemark-shi_s13-processed-gene-0.102&CDS=1-2325, genemark-shi_s38-processed-gene-1.70-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.70&CDS=1-2259	YAL023C
OG0000231	snap_masked-shi_s13-processed-gene-1.5-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-1.5&CDS=1-267	YGR008C, YLR327C
OG0000232	genemark-shi_s13-processed-gene-1.56-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.56&CDS=1-1935, genemark-shi_s59-processed-gene-4.97-mRNA-1_1&gene=genemark-shi_s59-processed-gene-4.97&CDS=1-3180	YGL179C
OG0000233	genemark-shi_s13-processed-gene-1.58-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.58&CDS=1-2319, genemark-shi_s59-processed-gene-0.64-mRNA-1_1&gene=genemark-shi_s59-processed-gene-0.64&CDS=1-1998	YBL011W
OG0000234	genemark-shi_s13-processed-gene-1.60-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.60&CDS=1-2142	YKL050C, YMR031C
OG0000235	genemark-shi_s13-processed-gene-1.67-mRNA-1_1&gene=genemark-shi_s13-processed-gene-1.67&CDS=1-549	YKL065C, YMR040W
OG0000236	genemark-shi_s13-processed-gene-2.48-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.48&CDS=1-1794	YGR092W, YPR111W
OG0000237	genemark-shi_s13-processed-gene-2.76-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.76&CDS=1-1287, maker-shi_s59-augustus-gene-4.52-mRNA-1_1&gene=maker-shi_s59-augustus-gene-4.52&CDS=1-1956	YOR049C
OG0000238	augustus_masked-shi_s13-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-shi_s13-processed-gene-2.16&CDS=1-2025, genemark-shi_s13-processed-gene-2.56-mRNA-1_1&gene=genemark-shi_s13-processed-gene-2.56&CDS=1-1005	YJR019C
OG0000239	snap_masked-shi_s13-processed-gene-2.116-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-2.116&CDS=1-261	YGR038W, YLR350W
OG0000240	genemark-shi_s13-processed-gene-3.185-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.185&CDS=1-801, genemark-shi_s96-processed-gene-2.91-mRNA-1_1&gene=genemark-shi_s96-processed-gene-2.91&CDS=1-810	YMR226C
OG0000241	genemark-shi_s13-processed-gene-3.186-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.186&CDS=1-516	YMR242C, YOR312C
OG0000242	genemark-shi_s48-processed-gene-8.30-mRNA-1_1&gene=genemark-shi_s48-processed-gene-8.30&CDS=1-909, maker-shi_s13-snap-gene-3.275-mRNA-1_1&gene=maker-shi_s13-snap-gene-3.275&CDS=1-999	YGR060W
OG0000243	genemark-shi_s13-processed-gene-3.239-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.239&CDS=1-249	YDR500C, YLR185W
OG0000244	genemark-shi_s13-processed-gene-3.201-mRNA-1_1&gene=genemark-shi_s13-processed-gene-3.201&CDS=1-1464	YDR501W, YLR183C
OG0000245	snap_masked-shi_s13-processed-gene-3.133-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-3.133&CDS=1-3501	YHR155W, YNL257C
OG0000246	genemark-shi_s16-processed-gene-0.115-mRNA-1_1&gene=genemark-shi_s16-processed-gene-0.115&CDS=1-726	YGL076C, YPL198W
OG0000247	genemark-shi_s16-processed-gene-1.7-mRNA-1_1&gene=genemark-shi_s16-processed-gene-1.7&CDS=1-693	YMR233W, YOR295W
OG0000248	maker-shi_s16-snap-gene-1.135-mRNA-1_1&gene=maker-shi_s16-snap-gene-1.135&CDS=1-4548	YER057C, YIL051C
OG0000249	maker-shi_s16-snap-gene-1.136-mRNA-1_1&gene=maker-shi_s16-snap-gene-1.136&CDS=1-1101	YER056C-A, YIL052C
OG0000250	maker-shi_s16-snap-gene-2.97-mRNA-1_1&gene=maker-shi_s16-snap-gene-2.97&CDS=1-216, maker-shi_s53-snap-gene-10.126-mRNA-1_1&gene=maker-shi_s53-snap-gene-10.126&CDS=1-216	YIL156W-B
OG0000251	genemark-shi_s16-processed-gene-2.16-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.16&CDS=1-1353	YAL062W, YOR375C
OG0000252	genemark-shi_s16-processed-gene-2.18-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.18&CDS=1-1863	YCR026C, YEL016C
OG0000253	genemark-shi_s16-processed-gene-2.43-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.43&CDS=1-1755	YBR021W, YIR028W
OG0000254	genemark-shi_s16-processed-gene-3.78-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.78&CDS=1-708	YBR181C, YPL090C
OG0000255	genemark-shi_s16-processed-gene-3.70-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.70&CDS=1-765	YDR272W, YOR040W
OG0000256	genemark-shi_s16-processed-gene-3.94-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.94&CDS=1-1689	YER064C, YIL056W
OG0000257	genemark-shi_s16-processed-gene-3.74-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.74&CDS=1-2076	YBR001C, YDR001C
OG0000258	genemark-shi_s16-processed-gene-4.3-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.3&CDS=1-3237	YJL105W, YKR029C
OG0000259	genemark-shi_s16-processed-gene-4.37-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.37&CDS=1-2520	YJL082W, YKR018C
OG0000260	genemark-shi_s16-processed-gene-4.39-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.39&CDS=1-1080	YBR031W, YDR012W
OG0000261	augustus_masked-shi_s16-processed-gene-4.142-mRNA-1_1&gene=augustus_masked-shi_s16-processed-gene-4.142&CDS=1-972	YBR242W, YGL101W
OG0000262	genemark-shi_s16-processed-gene-4.50-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.50&CDS=1-447	YIL111W, YNL052W
OG0000263	genemark-shi_s16-processed-gene-4.24-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.24&CDS=1-1416	YLR260W, YOR171C
OG0000264	genemark-shi_s16-processed-gene-4.25-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.25&CDS=1-3213	YBL101C, YPR030W
OG0000265	genemark-shi_s16-processed-gene-4.31-mRNA-1_1&gene=genemark-shi_s16-processed-gene-4.31&CDS=1-1173	YDL088C, YMR153W
OG0000266	augustus_masked-shi_s18-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-shi_s18-processed-gene-0.82&CDS=1-474, genemark-shi_s70-processed-gene-0.47-mRNA-1_1&gene=genemark-shi_s70-processed-gene-0.47&CDS=1-8877	YLR087C
OG0000267	snap_masked-shi_s18-processed-gene-0.48-mRNA-1_1&gene=snap_masked-shi_s18-processed-gene-0.48&CDS=1-2127	YER066W, YFL009W
OG0000268	genemark-shi_s18-processed-gene-0.23-mRNA-1_1&gene=genemark-shi_s18-processed-gene-0.23&CDS=1-651	YML106W, YMR271C
OG0000269	snap_masked-shi_s18-processed-gene-0.66-mRNA-1_1&gene=snap_masked-shi_s18-processed-gene-0.66&CDS=1-3501	YML109W, YMR273C
OG0000270	genemark-shi_s18-processed-gene-0.31-mRNA-1_1&gene=genemark-shi_s18-processed-gene-0.31&CDS=1-1245	YDR348C, YHR097C
OG0000271	maker-shi_s18-augustus-gene-0.121-mRNA-1_1&gene=maker-shi_s18-augustus-gene-0.121&CDS=1-4245, maker-shi_s93-augustus-gene-1.157-mRNA-1_1&gene=maker-shi_s93-augustus-gene-1.157&CDS=1-3222	YGL205W
OG0000272	snap_masked-shi_s18-processed-gene-1.65-mRNA-1_1&gene=snap_masked-shi_s18-processed-gene-1.65&CDS=1-4179	YCL068C, YCR038C
OG0000273	augustus_masked-shi_s18-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-shi_s18-processed-gene-2.105&CDS=1-2820, augustus_masked-shi_s91-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-shi_s91-processed-gene-1.201&CDS=1-4635	YOR270C
OG0000274	genemark-shi_s18-processed-gene-2.71-mRNA-1_1&gene=genemark-shi_s18-processed-gene-2.71&CDS=1-2523, genemark-shi_s93-processed-gene-0.41-mRNA-1_1&gene=genemark-shi_s93-processed-gene-0.41&CDS=1-762	YOR344C
OG0000275	genemark-shi_s18-processed-gene-2.80-mRNA-1_1&gene=genemark-shi_s18-processed-gene-2.80&CDS=1-2529, genemark-shi_s51-processed-gene-6.87-mRNA-1_1&gene=genemark-shi_s51-processed-gene-6.87&CDS=1-2715	YHR028C
OG0000276	genemark-shi_s18-processed-gene-2.88-mRNA-1_1&gene=genemark-shi_s18-processed-gene-2.88&CDS=1-2619	YDR458C, YML034W
OG0000277	genemark-shi_s51-processed-gene-5.24-mRNA-1_1&gene=genemark-shi_s51-processed-gene-5.24&CDS=1-684, snap_masked-shi_s18-processed-gene-2.44-mRNA-1_1&gene=snap_masked-shi_s18-processed-gene-2.44&CDS=1-888	YDR207C
OG0000278	maker-shi_s18-augustus-gene-3.0-mRNA-1_1&gene=maker-shi_s18-augustus-gene-3.0&CDS=1-3291	YOR204W, YPL119C
OG0000279	genemark-shi_s18-processed-gene-3.93-mRNA-1_1&gene=genemark-shi_s18-processed-gene-3.93&CDS=1-1002, genemark-shi_s51-processed-gene-2.117-mRNA-1_1&gene=genemark-shi_s51-processed-gene-2.117&CDS=1-1053	YDL144C
OG0000280	genemark-shi_s18-processed-gene-3.67-mRNA-1_1&gene=genemark-shi_s18-processed-gene-3.67&CDS=1-1425, genemark-shi_s41-processed-gene-0.63-mRNA-1_1&gene=genemark-shi_s41-processed-gene-0.63&CDS=1-2340	YDL170W
OG0000281	genemark-shi_s18-processed-gene-3.98-mRNA-1_1&gene=genemark-shi_s18-processed-gene-3.98&CDS=1-1107, genemark-shi_s25-processed-gene-0.120-mRNA-1_1&gene=genemark-shi_s25-processed-gene-0.120&CDS=1-1155	YBR026C
OG0000282	augustus_masked-shi_s51-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-shi_s51-processed-gene-3.122&CDS=1-5229, genemark-shi_s18-processed-gene-3.85-mRNA-1_1&gene=genemark-shi_s18-processed-gene-3.85&CDS=1-5652	YLR342W
OG0000283	snap_masked-shi_s18-processed-gene-4.5-mRNA-1_1&gene=snap_masked-shi_s18-processed-gene-4.5&CDS=1-342	YGR034W, YLR344W
OG0000284	genemark-shi_s18-processed-gene-4.67-mRNA-1_1&gene=genemark-shi_s18-processed-gene-4.67&CDS=1-1929, genemark-shi_s32-processed-gene-0.116-mRNA-1_1&gene=genemark-shi_s32-processed-gene-0.116&CDS=1-1929	YJR045C
OG0000285	genemark-shi_s18-processed-gene-5.72-mRNA-1_1&gene=genemark-shi_s18-processed-gene-5.72&CDS=1-870	YMR183C, YPL232W
OG0000286	genemark-shi_s18-processed-gene-5.81-mRNA-1_1&gene=genemark-shi_s18-processed-gene-5.81&CDS=1-870, genemark-shi_s51-processed-gene-2.144-mRNA-1_1&gene=genemark-shi_s51-processed-gene-2.144&CDS=1-1107	YGL247W
OG0000287	genemark-shi_s18-processed-gene-5.62-mRNA-1_1&gene=genemark-shi_s18-processed-gene-5.62&CDS=1-894	YBR105C, YGR066C
OG0000288	genemark-shi_s18-processed-gene-6.64-mRNA-1_1&gene=genemark-shi_s18-processed-gene-6.64&CDS=1-573	YGL147C, YNL067W
OG0000289	augustus_masked-shi_s18-processed-gene-6.130-mRNA-1_1&gene=augustus_masked-shi_s18-processed-gene-6.130&CDS=1-1476	YGR256W, YHR183W
OG0000290	genemark-shi_s18-processed-gene-6.101-mRNA-1_1&gene=genemark-shi_s18-processed-gene-6.101&CDS=1-7377, genemark-shi_s25-processed-gene-1.84-mRNA-1_1&gene=genemark-shi_s25-processed-gene-1.84&CDS=1-4671	YER166W
OG0000291	genemark-shi_s18-processed-gene-6.76-mRNA-1_1&gene=genemark-shi_s18-processed-gene-6.76&CDS=1-2706, genemark-shi_s48-processed-gene-1.98-mRNA-1_1&gene=genemark-shi_s48-processed-gene-1.98&CDS=1-2679	YDL056W
OG0000292	genemark-shi_s18-processed-gene-6.79-mRNA-1_1&gene=genemark-shi_s18-processed-gene-6.79&CDS=1-1647	YDL085W, YMR145C
OG0000293	genemark-shi_s18-processed-gene-6.108-mRNA-1_1&gene=genemark-shi_s18-processed-gene-6.108&CDS=1-1113	YDR451C, YML027W
OG0000294	genemark-shi_s19-processed-gene-0.91-mRNA-1_1&gene=genemark-shi_s19-processed-gene-0.91&CDS=1-2094, genemark-shi_s8-processed-gene-0.61-mRNA-1_1&gene=genemark-shi_s8-processed-gene-0.61&CDS=1-2070	YLL029W
OG0000295	augustus_masked-shi_s19-processed-gene-0.227-mRNA-1_1&gene=augustus_masked-shi_s19-processed-gene-0.227&CDS=1-1098	YML118W, YMR285C
OG0000296	genemark-shi_s19-processed-gene-0.113-mRNA-1_1&gene=genemark-shi_s19-processed-gene-0.113&CDS=1-1659, genemark-shi_s59-processed-gene-5.151-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.151&CDS=1-1689	YML054C
OG0000297	genemark-shi_s38-processed-gene-0.69-mRNA-1_1&gene=genemark-shi_s38-processed-gene-0.69&CDS=1-1773, maker-shi_s19-augustus-gene-0.188-mRNA-1_1&gene=maker-shi_s19-augustus-gene-0.188&CDS=1-1833	YNL104C
OG0000298	genemark-shi_s19-processed-gene-0.125-mRNA-1_1&gene=genemark-shi_s19-processed-gene-0.125&CDS=1-1032	YGL082W, YPL191C
OG0000299	augustus_masked-shi_s25-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-shi_s25-processed-gene-0.13&CDS=1-822	YAL018C, YOL048C
OG0000300	genemark-shi_s25-processed-gene-1.82-mRNA-1_1&gene=genemark-shi_s25-processed-gene-1.82&CDS=1-1377, genemark-shi_s51-processed-gene-5.48-mRNA-1_1&gene=genemark-shi_s51-processed-gene-5.48&CDS=1-1341	YBR028C
OG0000301	genemark-shi_s25-processed-gene-1.73-mRNA-1_1&gene=genemark-shi_s25-processed-gene-1.73&CDS=1-1164, genemark-shi_s72-processed-gene-0.75-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.75&CDS=1-1239	YGR263C
OG0000302	genemark-shi_s25-processed-gene-2.8-mRNA-1_1&gene=genemark-shi_s25-processed-gene-2.8&CDS=1-7593	YBR140C, YOL081W
OG0000303	genemark-shi_s25-processed-gene-2.20-mRNA-1_1&gene=genemark-shi_s25-processed-gene-2.20&CDS=1-573	YBL027W, YBR084C-A
OG0000304	augustus_masked-shi_s25-processed-gene-2.161-mRNA-1_1&gene=augustus_masked-shi_s25-processed-gene-2.161&CDS=1-1278	YDR132C, YLR108C
OG0000305	genemark-shi_s25-processed-gene-4.132-mRNA-1_1&gene=genemark-shi_s25-processed-gene-4.132&CDS=1-1908	YEL047C, YJR051W
OG0000306	genemark-shi_s29-processed-gene-0.226-mRNA-1_1&gene=genemark-shi_s29-processed-gene-0.226&CDS=1-1128	YMR253C, YPL264C
