	Meyerozyma_guilliermondii	Saccharomyces_cerevisiae
OG0000263	augustus_masked-NW_001809797.1-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-3.122&CDS=1-390	YBL003C, YDR225W
OG0000264	augustus_masked-NW_001809798.1-processed-gene-14.82-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-14.82&CDS=1-867, maker-NW_001809797.1-augustus-gene-3.1-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-3.1&CDS=1-1731	YIL124W
OG0000265	augustus_masked-NW_001809797.1-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-4.63&CDS=1-1824	YDR146C, YLR131C
OG0000266	maker-NW_001809797.1-augustus-gene-5.56-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-5.56&CDS=1-1896	YEL039C, YJR048W
OG0000267	augustus_masked-NW_001809797.1-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-5.137&CDS=1-930	YCR073W-A, YNR034W
OG0000268	augustus_masked-NW_001809797.1-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.16&CDS=1-1989	YBR216C, YGL060W
OG0000269	augustus_masked-NW_001809797.1-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.34&CDS=1-600	YIL133C, YNL069C
OG0000270	augustus_masked-NW_001809797.1-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.35&CDS=1-1770, genemark-NW_001809799.1-processed-gene-10.98-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-10.98&CDS=1-1683	YNL104C
OG0000271	augustus_masked-NW_001809797.1-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.36&CDS=1-3123	YGR238C, YHR158C
OG0000272	augustus_masked-NW_001809797.1-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.26&CDS=1-402	YHL001W, YKL006W
OG0000273	genemark-NW_001809797.1-processed-gene-7.55-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-7.55&CDS=1-4290	YDR263C, YOR033C
OG0000274	maker-NW_001809797.1-augustus-gene-7.128-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-7.128&CDS=1-1035	YBR189W, YPL081W
OG0000275	augustus_masked-NW_001809797.1-processed-gene-8.138-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.138&CDS=1-357	YER131W, YGL189C
OG0000276	augustus_masked-NW_001809797.1-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.121&CDS=1-1089	YGL185C, YPL113C
OG0000277	augustus_masked-NW_001809797.1-processed-gene-8.154-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.154&CDS=1-1467	YLL012W, YLR020C
OG0000278	augustus_masked-NW_001809797.1-processed-gene-8.155-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.155&CDS=1-948	YJL133W, YKR052C
OG0000279	snap_masked-NW_001809797.1-processed-gene-9.1-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-9.1&CDS=1-2970	YGL049C, YGR162W
OG0000280	augustus_masked-NW_001809797.1-processed-gene-10.59-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.59&CDS=1-837	YDR066C, YER139C
OG0000281	augustus_masked-NW_001809797.1-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-10.64&CDS=1-612	YLR029C, YMR121C
OG0000282	augustus_masked-NW_001809797.1-processed-gene-11.238-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.238&CDS=1-1029	YKR076W, YMR251W
OG0000283	augustus_masked-NW_001809797.1-processed-gene-11.206-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.206&CDS=1-5043	YOR233W, YPL141C
OG0000284	genemark-NW_001809797.1-processed-gene-11.61-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-11.61&CDS=1-2688	YCR026C, YEL016C
OG0000285	augustus_masked-NW_001809797.1-processed-gene-11.261-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.261&CDS=1-1443, augustus_masked-NW_001809799.1-processed-gene-17.105-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-17.105&CDS=1-1506	YLR089C
OG0000286	augustus_masked-NW_001809797.1-processed-gene-11.230-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.230&CDS=1-1560, augustus_masked-NW_001809800.1-processed-gene-6.150-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.150&CDS=1-1575	YJR152W
OG0000287	augustus_masked-NW_001809798.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-0.78&CDS=1-2433	YBR183W, YPL087W
OG0000288	genemark-NW_001809798.1-processed-gene-0.107-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-0.107&CDS=1-7341	YFR031C-A, YIL018W
OG0000289	maker-NW_001809798.1-augustus-gene-0.47-mRNA-1_1&gene=maker-NW_001809798.1-augustus-gene-0.47&CDS=1-951	YHL033C, YLL045C
OG0000290	augustus_masked-NW_001809798.1-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-1.9&CDS=1-1125, augustus_masked-NW_001809800.1-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-1.138&CDS=1-1107	YEL046C
OG0000291	augustus_masked-NW_001809798.1-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-1.10&CDS=1-1749	YGR138C, YPR156C
OG0000292	augustus_masked-NW_001809798.1-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-1.35&CDS=1-1743, maker-NW_001809798.1-snap-gene-1.52-mRNA-1_1&gene=maker-NW_001809798.1-snap-gene-1.52&CDS=1-1602	YJL163C
OG0000293	augustus_masked-NW_001809798.1-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-1.11&CDS=1-783	YGR214W, YLR048W
OG0000294	genemark-NW_001809798.1-processed-gene-1.71-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-1.71&CDS=1-915	YGR136W, YPR154W
OG0000295	genemark-NW_001809798.1-processed-gene-1.101-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-1.101&CDS=1-360	YDL136W, YDL191W
OG0000296	augustus_masked-NW_001809798.1-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-1.43&CDS=1-1275, augustus_masked-NW_001809798.1-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-4.52&CDS=1-1152	YGR189C
OG0000297	augustus_masked-NW_001809798.1-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-1.46&CDS=1-5220, genemark-NW_001809798.1-processed-gene-1.82-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-1.82&CDS=1-5784	YGR184C
OG0000298	augustus_masked-NW_001809800.1-processed-gene-13.163-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-13.163&CDS=1-2457, genemark-NW_001809798.1-processed-gene-2.152-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-2.152&CDS=1-2442	YDL056W
OG0000299	augustus_masked-NW_001809798.1-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-2.43&CDS=1-6420	YHR208W, YJR148W
OG0000300	genemark-NW_001809798.1-processed-gene-3.103-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-3.103&CDS=1-1017	YMR194W, YPL249C-A
OG0000301	maker-NW_001809798.1-augustus-gene-3.47-mRNA-1_1&gene=maker-NW_001809798.1-augustus-gene-3.47&CDS=1-1068	YCR010C, YNR002C
OG0000302	genemark-NW_001809798.1-processed-gene-3.130-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-3.130&CDS=1-1881	YGR241C, YHR161C
OG0000303	augustus_masked-NW_001809798.1-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-4.72&CDS=1-765	YDR272W, YOR040W
OG0000304	augustus_masked-NW_001809798.1-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-4.79&CDS=1-1086	YBR031W, YDR012W
OG0000305	augustus_masked-NW_001809798.1-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-4.65&CDS=1-2643	YJL082W, YKR018C
OG0000306	augustus_masked-NW_001809798.1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-4.67&CDS=1-3018	YJL105W, YKR029C
OG0000307	augustus_masked-NW_001809798.1-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-4.68&CDS=1-2463	YBR001C, YDR001C
OG0000308	augustus_masked-NW_001809798.1-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-5.1&CDS=1-1944	YBR181C, YPL090C
OG0000309	genemark-NW_001809798.1-processed-gene-5.130-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-5.130&CDS=1-1869	YHR131C, YNL144C
OG0000310	genemark-NW_001809798.1-processed-gene-5.150-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-5.150&CDS=1-315	YGR027C, YLR333C
OG0000311	augustus_masked-NW_001809798.1-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-5.32&CDS=1-1407	YCL040W, YDR516C
OG0000312	augustus_masked-NW_001809798.1-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-6.86&CDS=1-573	YGL147C, YNL067W
OG0000313	maker-NW_001809798.1-snap-gene-6.129-mRNA-1_1&gene=maker-NW_001809798.1-snap-gene-6.129&CDS=1-2433	YMR237W, YOR299W
OG0000314	augustus_masked-NW_001809798.1-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-7.47&CDS=1-2691	YKL072W, YMR053C
OG0000315	augustus_masked-NW_001809798.1-processed-gene-8.145-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-8.145&CDS=1-408	YDR471W, YHR010W
OG0000316	augustus_masked-NW_001809798.1-processed-gene-11.76-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-11.76&CDS=1-2358, augustus_masked-NW_001809798.1-processed-gene-8.146-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-8.146&CDS=1-3126	YDR490C
OG0000317	maker-NW_001809798.1-snap-gene-8.136-mRNA-1_1&gene=maker-NW_001809798.1-snap-gene-8.136&CDS=1-7671	YBR140C, YOL081W
OG0000318	augustus_masked-NW_001809798.1-processed-gene-8.158-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-8.158&CDS=1-1905	YDR453C, YML028W
OG0000319	augustus_masked-NW_001809798.1-processed-gene-8.186-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-8.186&CDS=1-468	YGL031C, YGR148C
OG0000320	augustus_masked-NW_001809798.1-processed-gene-9.132-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-9.132&CDS=1-1518, augustus_masked-NW_001809799.1-processed-gene-12.123-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-12.123&CDS=1-1608	YMR221C
OG0000321	augustus_masked-NW_001809798.1-processed-gene-9.138-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-9.138&CDS=1-4296	YDR409W, YOR156C
OG0000322	augustus_masked-NW_001809798.1-processed-gene-10.30-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-10.30&CDS=1-4716, augustus_masked-NW_001809800.1-processed-gene-16.18-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-16.18&CDS=1-1086	YKL034W
OG0000323	augustus_masked-NW_001809798.1-processed-gene-10.16-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-10.16&CDS=1-330	YBR082C, YDR059C
OG0000324	augustus_masked-NW_001809798.1-processed-gene-10.29-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-10.29&CDS=1-2526	YDR385W, YOR133W
OG0000325	genemark-NW_001809798.1-processed-gene-11.139-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-11.139&CDS=1-957	YDL048C, YLR375W
OG0000326	genemark-NW_001809798.1-processed-gene-11.124-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-11.124&CDS=1-3207	YBL106C, YPR032W
OG0000327	augustus_masked-NW_001809798.1-processed-gene-11.103-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-11.103&CDS=1-309	YGR209C, YLR043C
OG0000328	augustus_masked-NW_001809799.1-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-4.90&CDS=1-1662, maker-NW_001809798.1-augustus-gene-12.111-mRNA-1_1&gene=maker-NW_001809798.1-augustus-gene-12.111&CDS=1-1947	YDL174C
OG0000329	genemark-NW_001809798.1-processed-gene-12.141-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-12.141&CDS=1-2019	YDL109C, YGL144C
OG0000330	augustus_masked-NW_001809798.1-processed-gene-13.127-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-13.127&CDS=1-699, snap_masked-NW_001809800.1-processed-gene-0.136-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-0.136&CDS=1-588	YDL218W
OG0000331	augustus_masked-NW_001809798.1-processed-gene-13.129-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-13.129&CDS=1-864	YER037W, YGL224C
OG0000332	augustus_masked-NW_001809798.1-processed-gene-13.130-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-13.130&CDS=1-804	YMR222C, YOR280C
OG0000333	maker-NW_001809798.1-augustus-gene-13.57-mRNA-1_1&gene=maker-NW_001809798.1-augustus-gene-13.57&CDS=1-891	YJR094W-A, YPR043W
OG0000334	augustus_masked-NW_001809798.1-processed-gene-13.156-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-13.156&CDS=1-5046	YJR091C, YPR042C
OG0000335	maker-NW_001809798.1-augustus-gene-14.90-mRNA-1_1&gene=maker-NW_001809798.1-augustus-gene-14.90&CDS=1-2112	YDL036C, YGR169C
OG0000336	genemark-NW_001809798.1-processed-gene-15.113-mRNA-1_1&gene=genemark-NW_001809798.1-processed-gene-15.113&CDS=1-507	YKL141W, YMR118C
OG0000337	augustus_masked-NW_001809798.1-processed-gene-15.86-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-15.86&CDS=1-1215	YCL048W, YDR522C
OG0000338	maker-NW_001809798.1-augustus-gene-16.63-mRNA-1_1&gene=maker-NW_001809798.1-augustus-gene-16.63&CDS=1-3309	YDR107C, YLR083C
OG0000339	augustus_masked-NW_001809798.1-processed-gene-16.144-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-16.144&CDS=1-1317	YDR132C, YLR108C
OG0000340	augustus_masked-NW_001809799.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-0.82&CDS=1-1689, augustus_masked-NW_001809800.1-processed-gene-15.120-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-15.120&CDS=1-1479	YBR132C
OG0000341	maker-NW_001809799.1-snap-gene-0.73-mRNA-1_1&gene=maker-NW_001809799.1-snap-gene-0.73&CDS=1-3273	YIL151C, YKR096W
OG0000342	snap_masked-NW_001809799.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NW_001809799.1-processed-gene-0.43&CDS=1-5253	YIL149C, YKR095W
OG0000343	genemark-NW_001809799.1-processed-gene-0.27-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-0.27&CDS=1-1506, genemark-NW_001809799.1-processed-gene-15.110-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-15.110&CDS=1-5724	YJR033C
OG0000344	augustus_masked-NW_001809799.1-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-2.130&CDS=1-1896	YBR238C, YGL107C
OG0000345	augustus_masked-NW_001809800.1-processed-gene-17.6-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-17.6&CDS=1-1746, genemark-NW_001809799.1-processed-gene-3.54-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-3.54&CDS=1-1461	YPL262W
OG0000346	augustus_masked-NW_001809799.1-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-3.18&CDS=1-2448	YOR256C, YPL176C
OG0000347	augustus_masked-NW_001809799.1-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-4.64&CDS=1-3336	YML100W, YMR261C
OG0000348	augustus_masked-NW_001809799.1-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-4.73&CDS=1-3126	YML109W, YMR273C
OG0000349	augustus_masked-NW_001809799.1-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-4.75&CDS=1-654	YML106W, YMR271C
OG0000350	augustus_masked-NW_001809799.1-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-4.96&CDS=1-2055	YER066W, YFL009W
OG0000351	augustus_masked-NW_001809799.1-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-4.102&CDS=1-3093	YLR031W, YMR124W
OG0000352	genemark-NW_001809799.1-processed-gene-5.75-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-5.75&CDS=1-819	YJL177W, YKL180W
OG0000353	maker-NW_001809799.1-augustus-gene-5.4-mRNA-1_1&gene=maker-NW_001809799.1-augustus-gene-5.4&CDS=1-2268	YJL139C, YKR061W
OG0000354	genemark-NW_001809799.1-processed-gene-5.100-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-5.100&CDS=1-1254, snap_masked-NW_001809800.1-processed-gene-19.132-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-19.132&CDS=1-1287	YDL131W
OG0000355	augustus_masked-NW_001809799.1-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-6.64&CDS=1-885	YDR253C, YPL038W
OG0000356	augustus_masked-NW_001809799.1-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-6.99&CDS=1-1248, maker-NW_001809799.1-augustus-gene-14.99-mRNA-1_1&gene=maker-NW_001809799.1-augustus-gene-14.99&CDS=1-2049	YHR135C
OG0000357	augustus_masked-NW_001809799.1-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-6.100&CDS=1-603	YER067W, YIL057C
OG0000358	genemark-NW_001809799.1-processed-gene-6.50-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-6.50&CDS=1-3267, snap_masked-NW_001809799.1-processed-gene-15.17-mRNA-1_1&gene=snap_masked-NW_001809799.1-processed-gene-15.17&CDS=1-2427	YNL192W
OG0000359	maker-NW_001809799.1-augustus-gene-7.55-mRNA-1_1&gene=maker-NW_001809799.1-augustus-gene-7.55&CDS=1-3399	YNL299W, YOL115W
OG0000360	augustus_masked-NW_001809799.1-processed-gene-8.58-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-8.58&CDS=1-3513	YKL062W, YMR037C
OG0000361	augustus_masked-NW_001809799.1-processed-gene-8.78-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-8.78&CDS=1-465	YEL066W, YPR193C
OG0000362	augustus_masked-NW_001809799.1-processed-gene-8.83-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-8.83&CDS=1-1575	YHR115C, YNL116W
OG0000363	genemark-NW_001809799.1-processed-gene-8.46-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-8.46&CDS=1-264	YER019C-A, YER087C-B
OG0000364	maker-NW_001809799.1-snap-gene-8.52-mRNA-1_1&gene=maker-NW_001809799.1-snap-gene-8.52&CDS=1-3294	YBL056W, YER089C
OG0000365	genemark-NW_001809799.1-processed-gene-8.48-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-8.48&CDS=1-1401, snap_masked-NW_001809800.1-processed-gene-2.85-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-2.85&CDS=1-525	YBL054W
OG0000366	augustus_masked-NW_001809799.1-processed-gene-9.14-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-9.14&CDS=1-822	YDL049C, YJL174W
OG0000367	snap_masked-NW_001809799.1-processed-gene-9.71-mRNA-1_1&gene=snap_masked-NW_001809799.1-processed-gene-9.71&CDS=1-252	YPR169W-A, YPR170W-B
OG0000368	augustus_masked-NW_001809799.1-processed-gene-9.41-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-9.41&CDS=1-3219	YBL101C, YPR030W
OG0000369	augustus_masked-NW_001809799.1-processed-gene-9.24-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-9.24&CDS=1-1416	YLR260W, YOR171C
OG0000370	augustus_masked-NW_001809799.1-processed-gene-10.3-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-10.3&CDS=1-939	YBR147W, YOL092W
OG0000371	augustus_masked-NW_001809799.1-processed-gene-10.33-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-10.33&CDS=1-1533	YEL007W, YHR177W
OG0000372	augustus_masked-NW_001809799.1-processed-gene-10.21-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-10.21&CDS=1-732	YBR005W, YDR003W
OG0000373	augustus_masked-NW_001809799.1-processed-gene-10.41-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-10.41&CDS=1-888	YJL158C, YJL160C
OG0000374	augustus_masked-NW_001809799.1-processed-gene-11.122-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-11.122&CDS=1-1131	YPR013C, YPR015C
OG0000375	maker-NW_001809799.1-augustus-gene-11.3-mRNA-1_1&gene=maker-NW_001809799.1-augustus-gene-11.3&CDS=1-1206	YGR131W, YPR149W
OG0000376	augustus_masked-NW_001809799.1-processed-gene-11.151-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-11.151&CDS=1-1905, augustus_masked-NW_001809800.1-processed-gene-11.129-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-11.129&CDS=1-1848	YNL101W
OG0000377	genemark-NW_001809799.1-processed-gene-11.121-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-11.121&CDS=1-2781	YDR251W, YPL032C
OG0000378	genemark-NW_001809799.1-processed-gene-12.96-mRNA-1_1&gene=genemark-NW_001809799.1-processed-gene-12.96&CDS=1-3183	YBR241C, YGL104C
OG0000379	maker-NW_001809799.1-augustus-gene-12.7-mRNA-1_1&gene=maker-NW_001809799.1-augustus-gene-12.7&CDS=1-5349	YEL022W, YJR031C
OG0000380	augustus_masked-NW_001809799.1-processed-gene-13.90-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-13.90&CDS=1-1839	YDL229W, YNL209W
OG0000381	augustus_masked-NW_001809799.1-processed-gene-13.102-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-13.102&CDS=1-855	YIL135C, YNL074C
OG0000382	augustus_masked-NW_001809799.1-processed-gene-14.121-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-14.121&CDS=1-564	YNL096C, YOR096W
OG0000383	augustus_masked-NW_001809799.1-processed-gene-16.129-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-16.129&CDS=1-849	YMR183C, YPL232W
OG0000384	augustus_masked-NW_001809799.1-processed-gene-16.134-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-16.134&CDS=1-1116	YEL006W, YIL006W
OG0000385	augustus_masked-NW_001809799.1-processed-gene-18.292-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-18.292&CDS=1-921, augustus_masked-NW_001809800.1-processed-gene-16.36-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-16.36&CDS=1-951	YHR104W
OG0000386	snap_masked-NW_001809800.1-processed-gene-0.147-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-0.147&CDS=1-1425, snap_masked-NW_001809800.1-processed-gene-3.102-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-3.102&CDS=1-1677	YLR380W
OG0000387	genemark-NW_001809800.1-processed-gene-1.0-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-1.0&CDS=1-1608	YER064C, YIL056W
OG0000388	snap_masked-NW_001809800.1-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-1.79&CDS=1-3153	YLR284C, YOR180C
OG0000389	snap_masked-NW_001809800.1-processed-gene-1.80-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-1.80&CDS=1-2103	YMR119W, YNL008C
OG0000390	augustus_masked-NW_001809800.1-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-1.144&CDS=1-363	YGR243W, YHR162W
OG0000391	augustus_masked-NW_001809800.1-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-2.138&CDS=1-2364	YIL156W, YKR098C
OG0000392	maker-NW_001809800.1-augustus-gene-2.59-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-2.59&CDS=1-1890	YNL108C, YOR110W
OG0000393	augustus_masked-NW_001809800.1-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.63&CDS=1-2346, genemark-NW_001809800.1-processed-gene-19.278-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-19.278&CDS=1-1902	YDR034C
OG0000394	augustus_masked-NW_001809800.1-processed-gene-11.142-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-11.142&CDS=1-1536, augustus_masked-NW_001809800.1-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.72&CDS=1-1536	YKL103C
OG0000395	augustus_masked-NW_001809800.1-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.80&CDS=1-1767	YDL224C, YNL197C
OG0000396	augustus_masked-NW_001809800.1-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.81&CDS=1-792	YDL222C, YNL194C
OG0000397	augustus_masked-NW_001809800.1-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.72&CDS=1-2358	YFL004W, YPL019C
OG0000398	augustus_masked-NW_001809800.1-processed-gene-6.141-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.141&CDS=1-840	YLR287C-A, YOR182C
OG0000399	augustus_masked-NW_001809800.1-processed-gene-6.171-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.171&CDS=1-921	YLR270W, YOR173W
OG0000400	augustus_masked-NW_001809800.1-processed-gene-7.1-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.1&CDS=1-1038	YDR451C, YML027W
