	Metschnikowia_continentalis	Saccharomyces_cerevisiae
OG0000686	augustus_masked-con_s144-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.5&CDS=1-1416	YCR054C
OG0000687	augustus_masked-con_s144-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.28&CDS=1-1536	YCR053W
OG0000688	augustus_masked-con_s144-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.6&CDS=1-1188	YGR046W
OG0000689	augustus_masked-con_s144-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.7&CDS=1-459	YMR263W
OG0000690	augustus_masked-con_s144-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.30&CDS=1-588	YMR264W
OG0000691	augustus_masked-con_s144-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-con_s144-processed-gene-0.36&CDS=1-1359	YGR009C
OG0000692	genemark-con_s144-processed-gene-0.79-mRNA-1_1&gene=genemark-con_s144-processed-gene-0.79&CDS=1-456	YDL208W
OG0000693	augustus_masked-con_s145-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.86&CDS=1-1335	YCR028C
OG0000694	augustus_masked-con_s145-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.103&CDS=1-2523	YGL163C
OG0000695	augustus_masked-con_s145-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.87&CDS=1-1326	YGL164C
OG0000696	genemark-con_s145-processed-gene-0.63-mRNA-1_1&gene=genemark-con_s145-processed-gene-0.63&CDS=1-1737	YGL166W
OG0000697	augustus_masked-con_s145-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.89&CDS=1-4641	YOR326W
OG0000698	snap_masked-con_s145-processed-gene-0.22-mRNA-1_1&gene=snap_masked-con_s145-processed-gene-0.22&CDS=1-192	YAL044W-A
OG0000699	genemark-con_s145-processed-gene-0.65-mRNA-1_1&gene=genemark-con_s145-processed-gene-0.65&CDS=1-540	YLR065C
OG0000700	snap_masked-con_s145-processed-gene-0.5-mRNA-1_1&gene=snap_masked-con_s145-processed-gene-0.5&CDS=1-2094	YPL072W
OG0000701	genemark-con_s145-processed-gene-0.68-mRNA-1_1&gene=genemark-con_s145-processed-gene-0.68&CDS=1-591	YER183C
OG0000702	augustus_masked-con_s145-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.109&CDS=1-1437	YHR207C
OG0000703	genemark-con_s145-processed-gene-0.71-mRNA-1_1&gene=genemark-con_s145-processed-gene-0.71&CDS=1-1119	YDR005C
OG0000704	snap_masked-con_s145-processed-gene-0.31-mRNA-1_1&gene=snap_masked-con_s145-processed-gene-0.31&CDS=1-1224	YDR004W
OG0000705	augustus_masked-con_s145-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.111&CDS=1-810	YCR098C
OG0000706	augustus_masked-con_s145-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.112&CDS=1-3069	YIL002C
OG0000707	augustus_masked-con_s145-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.113&CDS=1-720	YEL001C
OG0000708	genemark-con_s145-processed-gene-0.54-mRNA-1_1&gene=genemark-con_s145-processed-gene-0.54&CDS=1-387	YNR046W
OG0000709	augustus_masked-con_s145-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.96&CDS=1-930	YEL051W
OG0000710	augustus_masked-con_s145-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.97&CDS=1-1887	YKL148C
OG0000711	genemark-con_s145-processed-gene-0.77-mRNA-1_1&gene=genemark-con_s145-processed-gene-0.77&CDS=1-2514	YGL083W
OG0000712	augustus_masked-con_s145-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.98&CDS=1-594	YPL178W
OG0000713	augustus_masked-con_s145-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.116&CDS=1-1746	YAL067C
OG0000714	augustus_masked-con_s145-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.99&CDS=1-978	YML121W
OG0000715	augustus_masked-con_s145-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.100&CDS=1-1335	YHR190W
OG0000716	augustus_masked-con_s145-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.117&CDS=1-1269	YBR279W
OG0000717	augustus_masked-con_s145-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.119&CDS=1-954	YJR096W
OG0000718	augustus_masked-con_s145-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.102&CDS=1-642	YML001W
OG0000719	augustus_masked-con_s145-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.120&CDS=1-693	YPL199C
OG0000720	augustus_masked-con_s145-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-con_s145-processed-gene-0.122&CDS=1-2082	YJL090C
OG0000721	augustus_masked-con_s146-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s146-processed-gene-0.1&CDS=1-828	YFR052W
OG0000722	genemark-con_s146-processed-gene-0.18-mRNA-1_1&gene=genemark-con_s146-processed-gene-0.18&CDS=1-813	YPL065W
OG0000723	augustus_masked-con_s146-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s146-processed-gene-0.3&CDS=1-1137	YDR173C
OG0000724	augustus_masked-con_s146-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s146-processed-gene-0.8&CDS=1-2067	YDR172W
OG0000725	augustus_masked-con_s146-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s146-processed-gene-0.4&CDS=1-1383	YCL034W
OG0000726	augustus_masked-con_s148-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-con_s148-processed-gene-0.9&CDS=1-1161	YPL151C
OG0000727	augustus_masked-con_s148-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-con_s148-processed-gene-0.13&CDS=1-1566	YOR244W
OG0000728	augustus_masked-con_s148-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-con_s148-processed-gene-0.10&CDS=1-1071	YPL152W
OG0000729	augustus_masked-con_s148-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-con_s148-processed-gene-0.15&CDS=1-1461	YOR250C
OG0000730	augustus_masked-con_s148-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-con_s148-processed-gene-0.11&CDS=1-1071	YLR019W
OG0000731	snap_masked-con_s152-processed-gene-0.5-mRNA-1_1&gene=snap_masked-con_s152-processed-gene-0.5&CDS=1-267	YHR051W
OG0000732	augustus_masked-con_s152-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-con_s152-processed-gene-0.28&CDS=1-1047	YDR322W
OG0000733	augustus_masked-con_s152-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-con_s152-processed-gene-0.31&CDS=1-3201	YHR077C
OG0000734	snap_masked-con_s152-processed-gene-0.8-mRNA-1_1&gene=snap_masked-con_s152-processed-gene-0.8&CDS=1-1134	YHR076W
OG0000735	augustus_masked-con_s156-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s156-processed-gene-0.6&CDS=1-1410	YLR324W
OG0000736	augustus_masked-con_s156-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s156-processed-gene-0.8&CDS=1-3513	YFR031C
OG0000737	snap_masked-con_s156-processed-gene-0.11-mRNA-1_1&gene=snap_masked-con_s156-processed-gene-0.11&CDS=1-1374	YEL036C
OG0000738	augustus_masked-con_s158-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-con_s158-processed-gene-0.22&CDS=1-1545	YFR034C
OG0000739	maker-con_s158-augustus-gene-0.0-mRNA-1_1&gene=maker-con_s158-augustus-gene-0.0&CDS=1-3402	YNL256W
OG0000740	augustus_masked-con_s158-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s158-processed-gene-0.16&CDS=1-2334	YHR204W
OG0000741	augustus_masked-con_s158-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-con_s158-processed-gene-0.24&CDS=1-1023	YKL189W
OG0000742	snap_masked-con_s158-processed-gene-0.7-mRNA-1_1&gene=snap_masked-con_s158-processed-gene-0.7&CDS=1-2238	YLR417W
OG0000743	augustus_masked-con_s158-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-con_s158-processed-gene-0.20&CDS=1-2139	YHL016C
OG0000744	augustus_masked-con_s16-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.49&CDS=1-1278	YFL001W
OG0000745	genemark-con_s16-processed-gene-0.20-mRNA-1_1&gene=genemark-con_s16-processed-gene-0.20&CDS=1-1800	YFL002C
OG0000746	augustus_masked-con_s16-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.50&CDS=1-1545	YPL003W
OG0000747	maker-con_s16-augustus-gene-0.58-mRNA-1_1&gene=maker-con_s16-augustus-gene-0.58&CDS=1-1239	YDL100C
OG0000748	augustus_masked-con_s16-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.43&CDS=1-807	YDL086W
OG0000749	augustus_masked-con_s16-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.44&CDS=1-1053	YMR146C
OG0000750	augustus_masked-con_s16-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.46&CDS=1-1827	YDR452W
OG0000751	augustus_masked-con_s16-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.47&CDS=1-927	YLR340W
OG0000752	augustus_masked-con_s16-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.55&CDS=1-402	YPL013C
OG0000753	augustus_masked-con_s16-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.56&CDS=1-3567	YPL012W
OG0000754	augustus_masked-con_s16-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-con_s16-processed-gene-0.57&CDS=1-1323	YDR148C
OG0000755	snap_masked-con_s160-processed-gene-0.4-mRNA-1_1&gene=snap_masked-con_s160-processed-gene-0.4&CDS=1-192	YBR162W-A
OG0000756	augustus_masked-con_s163-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.16&CDS=1-6315	YKL203C
OG0000757	genemark-con_s163-processed-gene-0.52-mRNA-1_1&gene=genemark-con_s163-processed-gene-0.52&CDS=1-1260	YJR065C
OG0000758	augustus_masked-con_s163-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.18&CDS=1-1647	YJR064W
OG0000759	augustus_masked-con_s163-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.0&CDS=1-951	YJR070C
OG0000760	augustus_masked-con_s163-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.19&CDS=1-369	YJR063W
OG0000761	augustus_masked-con_s163-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.1&CDS=1-915	YOR004W
OG0000762	augustus_masked-con_s163-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.2&CDS=1-3792	YMR076C
OG0000763	augustus_masked-con_s163-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.21&CDS=1-1461	YDL207W
OG0000764	augustus_masked-con_s163-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.3&CDS=1-858	YDR237W
OG0000765	augustus_masked-con_s163-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.4&CDS=1-663	YGR042W
OG0000766	augustus_masked-con_s163-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.5&CDS=1-1107	YOL001W
OG0000767	augustus_masked-con_s163-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.6&CDS=1-861	YMR178W
OG0000768	augustus_masked-con_s163-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.23&CDS=1-2859	YOR335C
OG0000769	augustus_masked-con_s163-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.8&CDS=1-1797	YGL073W
OG0000770	augustus_masked-con_s163-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.25&CDS=1-1020	YHR052W
OG0000771	augustus_masked-con_s163-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.27&CDS=1-1335	YMR065W
OG0000772	augustus_masked-con_s163-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.28&CDS=1-966	YMR063W
OG0000773	augustus_masked-con_s163-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.10&CDS=1-1083	YOL064C
OG0000774	augustus_masked-con_s163-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.29&CDS=1-1572	YPL097W
OG0000775	augustus_masked-con_s163-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.11&CDS=1-2493	YKL078W
OG0000776	augustus_masked-con_s163-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.30&CDS=1-1113	YPL096W
OG0000777	augustus_masked-con_s163-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-con_s163-processed-gene-0.12&CDS=1-1662	YOR002W
OG0000778	augustus_masked-con_s165-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-con_s165-processed-gene-0.18&CDS=1-342	YKL192C
OG0000779	augustus_masked-con_s165-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-con_s165-processed-gene-0.19&CDS=1-1104	YKL193C
OG0000780	augustus_masked-con_s165-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-con_s165-processed-gene-0.25&CDS=1-1077	YLR291C
OG0000781	augustus_masked-con_s167-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-con_s167-processed-gene-0.34&CDS=1-636	YOR111W
OG0000782	augustus_masked-con_s167-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-con_s167-processed-gene-0.35&CDS=1-789	YNL110C
OG0000783	genemark-con_s167-processed-gene-0.80-mRNA-1_1&gene=genemark-con_s167-processed-gene-0.80&CDS=1-1194	YGR193C
OG0000784	augustus_masked-con_s167-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-con_s167-processed-gene-0.51&CDS=1-1251	YOR057W
OG0000785	augustus_masked-con_s167-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-con_s167-processed-gene-0.53&CDS=1-891	YPR143W
OG0000786	augustus_masked-con_s167-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-con_s167-processed-gene-0.55&CDS=1-1200	YPR140W
OG0000787	augustus_masked-con_s168-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s168-processed-gene-0.2&CDS=1-2496	YHR073W
OG0000788	augustus_masked-con_s17-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.83&CDS=1-1233	YGR210C
OG0000789	augustus_masked-con_s17-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.84&CDS=1-1056	YJL145W
OG0000790	augustus_masked-con_s17-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.86&CDS=1-2910	YKL165C
OG0000791	augustus_masked-con_s17-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.87&CDS=1-1506	YKL211C
OG0000792	augustus_masked-con_s17-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.89&CDS=1-1833	YKL212W
OG0000793	augustus_masked-con_s17-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.92&CDS=1-909	YJR077C
OG0000794	genemark-con_s17-processed-gene-0.54-mRNA-1_1&gene=genemark-con_s17-processed-gene-0.54&CDS=1-681	YJL148W
OG0000795	genemark-con_s17-processed-gene-0.56-mRNA-1_1&gene=genemark-con_s17-processed-gene-0.56&CDS=1-738	YER010C
OG0000796	augustus_masked-con_s17-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.97&CDS=1-1140	YPL203W
OG0000797	augustus_masked-con_s17-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.98&CDS=1-2415	YNL298W
OG0000798	snap_masked-con_s17-processed-gene-0.34-mRNA-1_1&gene=snap_masked-con_s17-processed-gene-0.34&CDS=1-372	YER009W
OG0000799	augustus_masked-con_s17-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.115&CDS=1-834	YKR062W
OG0000800	augustus_masked-con_s17-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.116&CDS=1-1704	YBR203W
OG0000801	genemark-con_s17-processed-gene-0.79-mRNA-1_1&gene=genemark-con_s17-processed-gene-0.79&CDS=1-2049	YML096W
OG0000802	genemark-con_s17-processed-gene-0.80-mRNA-1_1&gene=genemark-con_s17-processed-gene-0.80&CDS=1-681	YOR078W
OG0000803	snap_masked-con_s17-processed-gene-0.40-mRNA-1_1&gene=snap_masked-con_s17-processed-gene-0.40&CDS=1-2313	YOR080W
OG0000804	augustus_masked-con_s17-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.102&CDS=1-852	YOR079C
OG0000805	augustus_masked-con_s17-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-0.103&CDS=1-2574	YKR079C
OG0000806	augustus_masked-con_s17-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.3&CDS=1-1083	YEL050C
OG0000807	genemark-con_s17-processed-gene-1.45-mRNA-1_1&gene=genemark-con_s17-processed-gene-1.45&CDS=1-612	YDR298C
OG0000808	augustus_masked-con_s17-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.1&CDS=1-1437	YIL039W
OG0000809	augustus_masked-con_s17-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.4&CDS=1-615	YIL010W
OG0000810	augustus_masked-con_s17-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.7&CDS=1-810	YOR278W
OG0000811	augustus_masked-con_s17-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.27&CDS=1-399	YOL012C
OG0000812	augustus_masked-con_s17-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.28&CDS=1-2199	YEL062W
OG0000813	augustus_masked-con_s17-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.11&CDS=1-1701	YLR259C
OG0000814	augustus_masked-con_s17-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.29&CDS=1-1563	YOL013C
OG0000815	augustus_masked-con_s17-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.31&CDS=1-351	YMR074C
OG0000816	augustus_masked-con_s17-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.13&CDS=1-612	YLR262C
OG0000817	augustus_masked-con_s17-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.17&CDS=1-387	YBR269C
OG0000818	augustus_masked-con_s17-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.18&CDS=1-1251	YBR271W
OG0000819	augustus_masked-con_s17-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.34&CDS=1-1305	YJL060W
OG0000820	augustus_masked-con_s17-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.22&CDS=1-1323	YBL045C
OG0000821	genemark-con_s17-processed-gene-1.82-mRNA-1_1&gene=genemark-con_s17-processed-gene-1.82&CDS=1-1227	YHR005C
OG0000822	augustus_masked-con_s17-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.23&CDS=1-1461	YHR045W
OG0000823	augustus_masked-con_s17-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.37&CDS=1-291	YDR016C
OG0000824	augustus_masked-con_s17-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.24&CDS=1-993	YKL095W
OG0000825	augustus_masked-con_s17-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.39&CDS=1-2502	YIL068C
OG0000826	augustus_masked-con_s17-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.40&CDS=1-2373	YGR178C
OG0000827	augustus_masked-con_s17-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.41&CDS=1-1572	YKL047W
OG0000828	augustus_masked-con_s17-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.42&CDS=1-342	YER072W
OG0000829	augustus_masked-con_s17-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-1.44&CDS=1-4131	YOR291W
OG0000830	augustus_masked-con_s17-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.49&CDS=1-1620	YMR227C
OG0000831	genemark-con_s17-processed-gene-2.91-mRNA-1_1&gene=genemark-con_s17-processed-gene-2.91&CDS=1-687	YKL033W-A
OG0000832	genemark-con_s17-processed-gene-2.92-mRNA-1_1&gene=genemark-con_s17-processed-gene-2.92&CDS=1-1689	YHL010C
OG0000833	augustus_masked-con_s17-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.51&CDS=1-5001	YMR229C
OG0000834	augustus_masked-con_s17-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.52&CDS=1-3294	YML104C
OG0000835	augustus_masked-con_s17-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.69&CDS=1-597	YMR269W
OG0000836	augustus_masked-con_s17-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.53&CDS=1-2643	YMR268C
OG0000837	augustus_masked-con_s17-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.54&CDS=1-3261	YPL160W
OG0000838	augustus_masked-con_s17-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.56&CDS=1-789	YML105C
OG0000839	augustus_masked-con_s17-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.73&CDS=1-1131	YMR272C
OG0000840	augustus_masked-con_s17-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.75&CDS=1-810	YMR274C
OG0000841	augustus_masked-con_s17-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.58&CDS=1-2034	YDR234W
OG0000842	augustus_masked-con_s17-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.60&CDS=1-1680	YOR205C
OG0000843	augustus_masked-con_s17-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.62&CDS=1-1605	YOR046C
OG0000844	augustus_masked-con_s17-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.81&CDS=1-1047	YDR347W
OG0000845	genemark-con_s17-processed-gene-2.128-mRNA-1_1&gene=genemark-con_s17-processed-gene-2.128&CDS=1-165	YDR276C
OG0000846	genemark-con_s17-processed-gene-2.131-mRNA-1_1&gene=genemark-con_s17-processed-gene-2.131&CDS=1-270	YOR045W
OG0000847	augustus_masked-con_s17-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.64&CDS=1-1239	YMR235C
OG0000848	augustus_masked-con_s17-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.86&CDS=1-1623	YGL186C
OG0000849	augustus_masked-con_s17-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.87&CDS=1-528	YLR221C
OG0000850	augustus_masked-con_s17-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.65&CDS=1-4392	YLR425W
OG0000851	augustus_masked-con_s17-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-2.67&CDS=1-522	YKL190W
OG0000852	genemark-con_s17-processed-gene-3.73-mRNA-1_1&gene=genemark-con_s17-processed-gene-3.73&CDS=1-5880	YLR430W
OG0000853	augustus_masked-con_s17-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.138&CDS=1-1044	YML067C
OG0000854	augustus_masked-con_s17-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.139&CDS=1-1731	YHR150W
OG0000855	augustus_masked-con_s17-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.141&CDS=1-2091	YKL188C
OG0000856	augustus_masked-con_s17-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.142&CDS=1-669	YHR189W
OG0000857	genemark-con_s17-processed-gene-3.82-mRNA-1_1&gene=genemark-con_s17-processed-gene-3.82&CDS=1-1530	YNR012W
OG0000858	augustus_masked-con_s17-processed-gene-3.146-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.146&CDS=1-1512	YDR111C
OG0000859	augustus_masked-con_s17-processed-gene-3.169-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.169&CDS=1-1794	YLR088W
OG0000860	augustus_masked-con_s17-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.148&CDS=1-849	YDR116C
OG0000861	augustus_masked-con_s17-processed-gene-3.172-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.172&CDS=1-1743	YDR117C
OG0000862	augustus_masked-con_s17-processed-gene-3.150-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.150&CDS=1-1509	YDR434W
OG0000863	augustus_masked-con_s17-processed-gene-3.173-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.173&CDS=1-3201	YER176W
OG0000864	augustus_masked-con_s17-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.152&CDS=1-2403	YJL200C
OG0000865	augustus_masked-con_s17-processed-gene-3.174-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.174&CDS=1-1527	YBR127C
OG0000866	augustus_masked-con_s17-processed-gene-3.176-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.176&CDS=1-1119	YPR084W
OG0000867	augustus_masked-con_s17-processed-gene-3.153-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.153&CDS=1-999	YBR125C
OG0000868	genemark-con_s17-processed-gene-3.90-mRNA-1_1&gene=genemark-con_s17-processed-gene-3.90&CDS=1-1515	YPR083W
OG0000869	augustus_masked-con_s17-processed-gene-3.178-mRNA-1_1&gene=augustus_masked-con_s17-processed-gene-3.178&CDS=1-1416	YBR126C
