"X1"	"OG"	"dN_dS"	"species_num"	"protein_num"	"average_duplicate"	"group"
3872	"OG4516"	0.27475	200	248	1.24	"g5"
3873	"OG2809"	0.2103	330	332	1.006060606	"g7"
3874	"OG9168"	0.2484	27	29	1.074074074	"g2"
3875	"OG11707"	0.46405	14	15	1.071428571	"g2"
3876	"OG17544"	0.154	7	7	1	"g1"
3877	"OG8982"	0.2465	31	31	1	"g2"
3878	"OG2564"	0.3933	328	336	1.024390244	"g7"
3879	"OG6966"	0.4002	60	61	1.016666667	"g3"
3880	"OG2010"	0.1391	342	345	1.00877193	"g7"
3881	"OG4958"	0.2937	194	195	1.005154639	"g5"
3882	"OG8310"	0.4721	36	36	1	"g2"
3883	"OG17031"	0.5839	7	7	1	"g1"
3884	"OG3083"	0.1422	321	325	1.012461059	"g7"
3885	"OG2380"	0.2174	337	340	1.008902077	"g7"
3886	"OG13666"	0.3869	10	10	1	"g1"
3887	"OG17772"	0.3299	7	7	1	"g1"
3888	"OG3634"	0.01345	301	306	1.016611296	"g7"
3889	"OG7360"	0.2046	52	52	1	"g3"
3890	"OG6245"	0.2739	78	78	1	"g3"
3891	"OG13321"	0.54495	11	11	1	"g2"
3892	"OG4134"	0.2143	276	278	1.007246377	"g7"
3893	"OG1581"	0.1226	342	354	1.035087719	"g7"
3894	"OG7037"	0.4375	59	59	1	"g3"
3895	"OG14272"	0.15705	10	10	1	"g1"
3896	"OG8412"	0.24735	35	35	1	"g2"
3897	"OG6140"	0.2391	80	82	1.025	"g3"
3898	"OG14068"	0.19205	10	10	1	"g1"
3899	"OG10356"	0.26025	21	21	1	"g2"
3900	"OG5714"	0.21605	98	99	1.010204082	"g3"
3901	"OG6613"	0.345	67	68	1.014925373	"g3"
3902	"OG10402"	0.2098	21	21	1	"g2"
3903	"OG17237"	0.31325	7	7	1	"g1"
3904	"OG15819"	0.3523	8	8	1	"g1"
3905	"OG12068"	0.3465	14	14	1	"g2"
3906	"OG9263"	0.1339	28	28	1	"g2"
3907	"OG16801"	0.2092	8	8	1	"g1"
3908	"OG9492"	0.1725	26	26	1	"g2"
3909	"OG12612"	0.23945	12	12	1	"g2"
3910	"OG5083"	0.2604	174	178	1.022988506	"g5"
3911	"OG9058"	0.1889	30	30	1	"g2"
3912	"OG7971"	0.2428	42	42	1	"g2"
3913	"OG17175"	0.0779	7	7	1	"g1"
3914	"OG8328"	0.16365	36	36	1	"g2"
3915	"OG9123"	0.2268	29	29	1	"g2"
3916	"OG12563"	0.40985	12	12	1	"g2"
3917	"OG6305"	0.2405	75	76	1.013333333	"g3"
3918	"OG3070"	0.045	319	325	1.018808777	"g7"
3919	"OG15007"	0.1615	9	9	1	"g1"
3920	"OG7311"	0.2739	49	53	1.081632653	"g2"
3921	"OG7081"	0.1639	56	58	1.035714286	"g3"
3922	"OG3978"	0.0899	284	288	1.014084507	"g7"
3923	"OG3935"	0.0566	287	291	1.013937282	"g7"
3924	"OG7650"	0.14675	46	47	1.02173913	"g2"
3925	"OG7555"	0.1576	46	49	1.065217391	"g2"
3926	"OG3113"	0.2038	308	324	1.051948052	"g7"
3927	"OG8424"	0.4017	35	35	1	"g2"
3928	"OG18105"	0.3521	7	7	1	"g1"
3929	"OG5715"	0.3886	97	99	1.020618557	"g3"
3930	"OG1248"	0.2008	342	398	1.16374269	"g7"
3931	"OG14016"	0.18815	10	10	1	"g1"
3932	"OG1418"	0.1493	331	366	1.105740181	"g7"
3933	"OG15660"	0.0684	8	8	1	"g1"
3934	"OG3790"	0.06645	271	299	1.103321033	"g7"
3935	"OG12160"	0.5708	13	13	1	"g2"
3936	"OG9821"	0.3499	24	24	1	"g2"
3937	"OG11573"	0.23	13	15	1.153846154	"g2"
3938	"OG15125"	0.39905	8	9	1.125	"g1"
3939	"OG4475"	0.1971	180	251	1.394444444	"g5"
3940	"OG5258"	0.179	148	154	1.040540541	"g4"
3941	"OG2354"	0.285	318	340	1.06918239	"g7"
3942	"OG12916"	0.6107	11	12	1.090909091	"g2"
3943	"OG7966"	0.0923	42	42	1	"g2"
3944	"OG1872"	0.1108	339	347	1.02359882	"g7"
3945	"OG2587"	0.19365	305	336	1.101639344	"g7"
3946	"OG11280"	0.39155	16	16	1	"g2"
3947	"OG7065"	0.15615	58	58	1	"g3"
3948	"OG3228"	0.0358	315	321	1.019047619	"g7"
3949	"OG14377"	0.414	9	9	1	"g1"
3950	"OG2048"	0.1806	341	345	1.011730205	"g7"
3951	"OG6107"	0.31245	82	84	1.024390244	"g3"
3952	"OG6593"	0.0627	68	69	1.014705882	"g3"
3953	"OG2342"	0.2268	335	340	1.014925373	"g7"
3954	"OG14556"	0.3318	9	9	1	"g1"
3955	"OG8607"	0.1973	34	34	1	"g2"
3956	"OG8522"	0.1303	29	34	1.172413793	"g2"
3957	"OG11139"	0.2088	16	17	1.0625	"g2"
3958	"OG5239"	0.3003	156	156	1	"g5"
3959	"OG9049"	0.41785	30	30	1	"g2"
3960	"OG7917"	0.2769	41	42	1.024390244	"g2"
3961	"OG6553"	0.2226	67	70	1.044776119	"g3"
3962	"OG14776"	0.23995	9	9	1	"g1"
3963	"OG1615"	0.0868	343	353	1.029154519	"g7"
3964	"OG10360"	0.2485	21	21	1	"g2"
3965	"OG14828"	0.3204	9	9	1	"g1"
3966	"OG6438"	0.018	70	72	1.028571429	"g3"
3967	"OG13934"	0.39	10	10	1	"g1"
3968	"OG17387"	0.17365	7	7	1	"g1"
3969	"OG16209"	0.2278	8	8	1	"g1"
3970	"OG7222"	0.2452	47	55	1.170212766	"g2"
3971	"OG1563"	0.01695	343	355	1.034985423	"g7"
3972	"OG3179"	0.107	317	322	1.015772871	"g7"
3973	"OG8403"	0.28245	35	35	1	"g2"
3974	"OG1113"	0.1403	332	536	1.614457831	"g7"
3975	"OG5580"	0.29555	109	110	1.009174312	"g4"
3976	"OG5016"	0.2453	183	187	1.021857923	"g5"
3977	"OG10256"	0.3974	21	21	1	"g2"
3978	"OG1755"	0.0594	336	349	1.038690476	"g7"
3979	"OG5543"	0.1505	89	114	1.280898876	"g3"
3980	"OG6717"	0.1231	63	66	1.047619048	"g3"
3981	"OG1452"	0.0083	342	363	1.061403509	"g7"
3982	"OG1629"	0.0982	343	352	1.026239067	"g7"
3983	"OG9121"	0.35555	29	29	1	"g2"
3984	"OG10954"	0.14325	18	18	1	"g2"
3985	"OG3389"	0.227	315	316	1.003174603	"g7"
3986	"OG2795"	0.2051	328	332	1.012195122	"g7"
3987	"OG8573"	0.2183	33	34	1.03030303	"g2"
3988	"OG12927"	0.4024	12	12	1	"g2"
3989	"OG1145"	0.09955	341	496	1.454545455	"g7"
3990	"OG4098"	0.0868	272	281	1.033088235	"g7"
3991	"OG14712"	0.2743	9	9	1	"g1"
3992	"OG8085"	0.2334	39	40	1.025641026	"g2"
3993	"OG5697"	0.22165	98	100	1.020408163	"g3"
3994	"OG9183"	0.48075	28	29	1.035714286	"g2"
3995	"OG11436"	0.3468	16	16	1	"g2"
3996	"OG3279"	0.1246	315	319	1.012698413	"g7"
3997	"OG13946"	0.3396	10	10	1	"g1"
3998	"OG12858"	0.29095	12	12	1	"g2"
3999	"OG6398"	0.4206	73	73	1	"g3"
4000	"OG3201"	0.1279	319	322	1.009404389	"g7"
4001	"OG3640"	0.1159	255	306	1.2	"g7"
4002	"OG3436"	0.3082	313	314	1.003194888	"g7"
4003	"OG17459"	0.0697	7	7	1	"g1"
4004	"OG3997"	0.1542	283	287	1.014134276	"g7"
4005	"OG8127"	0.3387	38	39	1.026315789	"g2"
4006	"OG6103"	0.4208	84	84	1	"g3"
4007	"OG7135"	0.2905	57	57	1	"g3"
4008	"OG2720"	0.205	324	333	1.027777778	"g7"
4009	"OG15772"	0.2959	8	8	1	"g1"
4010	"OG14346"	0.6451	9	9	1	"g1"
4011	"OG1317"	0.1946	333	379	1.138138138	"g7"
4012	"OG2768"	0.1672	328	333	1.015243902	"g7"
4013	"OG16357"	0.1137	8	8	1	"g1"
4014	"OG3020"	0.1616	323	326	1.009287926	"g7"
4015	"OG3108"	0.1032	318	324	1.018867925	"g7"
4016	"OG11553"	0.3619	15	15	1	"g2"
4017	"OG1420"	0.19995	339	366	1.079646018	"g7"
4018	"OG1997"	0.1075	341	345	1.011730205	"g7"
4019	"OG16268"	0.4355	7	8	1.142857143	"g1"
4020	"OG9879"	0.2405	24	24	1	"g2"
4021	"OG6758"	0.1359	64	65	1.015625	"g3"
4022	"OG5949"	0.4085	89	89	1	"g3"
4023	"OG15316"	0.3125	9	9	1	"g1"
4024	"OG18200"	0.1389	7	7	1	"g1"
4025	"OG14382"	0.329	9	9	1	"g1"
4026	"OG1707"	0.16305	324	350	1.080246914	"g7"
4027	"OG6905"	0.41005	61	62	1.016393443	"g3"
4028	"OG12146"	0.2866	13	13	1	"g2"
4029	"OG2614"	0.1869	336	336	1	"g7"
4030	"OG4467"	0.19865	249	252	1.012048193	"g6"
4031	"OG10404"	0.1199	21	21	1	"g2"
4032	"OG2456"	0.4945	331	339	1.024169184	"g7"
4033	"OG17576"	0.1949	7	7	1	"g1"
4034	"OG6856"	0.3557	61	63	1.032786885	"g3"
4035	"OG12381"	0.4043	13	13	1	"g2"
4036	"OG7772"	0.2492	44	45	1.022727273	"g2"
4037	"OG3057"	0.13565	318	325	1.022012579	"g7"
4038	"OG13659"	0.329	8	10	1.25	"g1"
4039	"OG10278"	0.1278	21	21	1	"g2"
4040	"OG4049"	0.3509	275	284	1.032727273	"g7"
4041	"OG2053"	0.09475	342	345	1.00877193	"g7"
4042	"OG5889"	0.13085	91	91	1	"g3"
4043	"OG8558"	0.4008	34	34	1	"g2"
4044	"OG16253"	0.13305	8	8	1	"g1"
4045	"OG14572"	0.2923	9	9	1	"g1"
4046	"OG3383"	0.18535	311	316	1.01607717	"g7"
4047	"OG6248"	0.3181	70	78	1.114285714	"g3"
4048	"OG2182"	0.16665	334	343	1.026946108	"g7"
4049	"OG3375"	0.0882	310	316	1.019354839	"g7"
4050	"OG5672"	0.0178	71	102	1.436619718	"g3"
4051	"OG3120"	0.1027	318	324	1.018867925	"g7"
4052	"OG14080"	0.17685	10	10	1	"g1"
4053	"OG15692"	0.1548	8	8	1	"g1"
4054	"OG13308"	0.0404	11	11	1	"g2"
4055	"OG17408"	0.2145	7	7	1	"g1"
4056	"OG5757"	0.259	95	96	1.010526316	"g3"
4057	"OG9525"	0.2761	25	26	1.04	"g2"
4058	"OG1990"	0.2861	340	346	1.017647059	"g7"
4059	"OG5707"	0.1045	86	99	1.151162791	"g3"
4060	"OG2840"	0.1455	328	331	1.009146341	"g7"
4061	"OG9316"	0.3999	28	28	1	"g2"
4062	"OG8754"	0.3129	31	32	1.032258065	"g2"
4063	"OG8245"	0.31355	36	37	1.027777778	"g2"
4064	"OG3772"	0.304	295	301	1.020338983	"g7"
4065	"OG5929"	0.219	88	90	1.022727273	"g3"
4066	"OG4955"	0.1296	194	195	1.005154639	"g5"
4067	"OG9601"	0.3427	25	25	1	"g2"
4068	"OG10806"	0.3025	18	18	1	"g2"
4069	"OG15023"	0.19425	9	9	1	"g1"
4070	"OG10561"	0.3997	20	20	1	"g2"
4071	"OG11168"	0.2	17	17	1	"g2"
4072	"OG3657"	0.2564	303	306	1.00990099	"g7"
4073	"OG7250"	0.2258	54	54	1	"g3"
4074	"OG10712"	0.1429	19	19	1	"g2"
4075	"OG7828"	0.2632	42	44	1.047619048	"g2"
4076	"OG14274"	0.15015	10	10	1	"g1"
4077	"OG8401"	0.2389	35	35	1	"g2"
4078	"OG8311"	0.1495	36	36	1	"g2"
4079	"OG3390"	0.1638	308	316	1.025974026	"g7"
4080	"OG3556"	0.2025	307	310	1.009771987	"g7"
4081	"OG15423"	0.24405	9	9	1	"g1"
4082	"OG9797"	0.099	24	24	1	"g2"
4083	"OG8145"	0.1127	38	39	1.026315789	"g2"
4084	"OG4197"	0.2278	269	273	1.014869888	"g7"
4085	"OG13816"	0.2724	10	10	1	"g1"
4086	"OG10190"	0.1988	22	22	1	"g2"
4087	"OG8624"	0.1669	33	34	1.03030303	"g2"
4088	"OG9658"	0.3859	25	25	1	"g2"
4089	"OG1532"	0.1464	340	356	1.047058824	"g7"
4090	"OG9846"	0.1725	21	24	1.142857143	"g2"
4091	"OG4774"	0.1381	195	220	1.128205128	"g5"
4092	"OG11349"	0.3788	16	16	1	"g2"
4093	"OG3428"	0.2337	311	314	1.009646302	"g7"
4094	"OG17644"	0.2441	7	7	1	"g1"
4095	"OG15086"	0.3697	9	9	1	"g1"
4096	"OG1524"	0.1436	341	357	1.046920821	"g7"
4097	"OG3955"	0.2592	279	290	1.039426523	"g7"
4098	"OG14866"	0.3969	9	9	1	"g1"
4099	"OG2085"	0.0504	343	344	1.002915452	"g7"
4100	"OG13953"	0.4308	10	10	1	"g1"
4101	"OG10170"	0.3306	18	22	1.222222222	"g2"
4102	"OG1960"	0.0815	319	346	1.084639498	"g7"
4103	"OG8030"	0.06715	41	41	1	"g2"
4104	"OG10322"	0.4012	21	21	1	"g2"
4105	"OG13974"	0.1858	9	10	1.111111111	"g1"
4106	"OG16039"	0.27045	8	8	1	"g1"
4107	"OG12158"	0.4864	13	13	1	"g2"
4108	"OG2190"	0.125	340	343	1.008823529	"g7"
4109	"OG7629"	0.2834	46	48	1.043478261	"g2"
4110	"OG8681"	0.1159	33	33	1	"g2"
4111	"OG13237"	0.4818	10	11	1.1	"g1"
4112	"OG15091"	0.2986	9	9	1	"g1"
4113	"OG2800"	0.2996	325	332	1.021538462	"g7"
4114	"OG9800"	0.4625	24	24	1	"g2"
4115	"OG10102"	0.3985	22	22	1	"g2"
4116	"OG2664"	0.06875	330	335	1.015151515	"g7"
4117	"OG17547"	0.22885	7	7	1	"g1"
4118	"OG8458"	0.3584	35	35	1	"g2"
4119	"OG13833"	0.0339	10	10	1	"g1"
4120	"OG9759"	0.285	23	24	1.043478261	"g2"
4121	"OG6440"	0.17095	72	72	1	"g3"
4122	"OG11272"	0.1369	16	16	1	"g2"
4123	"OG4135"	0.251	276	278	1.007246377	"g7"
4124	"OG9715"	0.2106	25	25	1	"g2"
4125	"OG18684"	0.2454	7	7	1	"g1"
4126	"OG8871"	0.30065	31	31	1	"g2"
4127	"OG3900"	0.227	292	294	1.006849315	"g7"
4128	"OG4669"	0.2422	231	233	1.008658009	"g6"
4129	"OG10495"	0.281	19	20	1.052631579	"g2"
4130	"OG6421"	0.2156	71	72	1.014084507	"g3"
4131	"OG6732"	0.1756	66	66	1	"g3"
4132	"OG11378"	0.1593	16	16	1	"g2"
4133	"OG11738"	0.2824	15	15	1	"g2"
4134	"OG10508"	0.47405	20	20	1	"g2"
4135	"OG10179"	0.2631	22	22	1	"g2"
4136	"OG7188"	0.2089	54	56	1.037037037	"g3"
4137	"OG6244"	0.3273	77	78	1.012987013	"g3"
4138	"OG13728"	0.2908	8	10	1.25	"g1"
4139	"OG1668"	0.0348	343	351	1.023323615	"g7"
4140	"OG2478"	0.2897	333	338	1.015015015	"g7"
4141	"OG10417"	0.1765	19	20	1.052631579	"g2"
4142	"OG2089"	0.2252	335	344	1.026865672	"g7"
4143	"OG5558"	0.1999	110	112	1.018181818	"g4"
4144	"OG5899"	0.35465	90	90	1	"g3"
4145	"OG2468"	0.0457	333	338	1.015015015	"g7"
4146	"OG13729"	0.2607	9	10	1.111111111	"g1"
4147	"OG1417"	0.108	270	366	1.355555556	"g7"
4148	"OG18193"	0.1639	7	7	1	"g1"
4149	"OG3712"	0.2037	302	303	1.003311258	"g7"
4150	"OG3745"	0.2572	300	302	1.006666667	"g7"
4151	"OG9019"	0.3326	30	30	1	"g2"
4152	"OG9804"	0.3021	23	24	1.043478261	"g2"
4153	"OG15361"	0.3277	9	9	1	"g1"
4154	"OG16518"	0.3188	8	8	1	"g1"
4155	"OG18271"	0.08525	7	7	1	"g1"
4156	"OG9388"	0.2342	27	27	1	"g2"
4157	"OG5243"	0.0981	142	155	1.091549296	"g4"
4158	"OG6032"	0.2299	86	86	1	"g3"
4159	"OG14763"	0.0829	9	9	1	"g1"
4160	"OG11300"	0.1988	16	16	1	"g2"
4161	"OG7214"	0.1915	48	55	1.145833333	"g2"
4162	"OG5442"	0.182	122	128	1.049180328	"g4"
4163	"OG5992"	0.3639	88	88	1	"g3"
4164	"OG2448"	0.1677	338	339	1.00295858	"g7"
4165	"OG1878"	0.1496	322	347	1.077639752	"g7"
4166	"OG6523"	0.3074	64	70	1.09375	"g3"
4167	"OG17527"	0.4357	7	7	1	"g1"
4168	"OG14821"	0.14255	9	9	1	"g1"
4169	"OG3530"	0.19035	307	311	1.013029316	"g7"
4170	"OG9886"	0.4794	22	23	1.045454545	"g2"
4171	"OG17139"	0.2762	7	7	1	"g1"
4172	"OG16065"	0.3452	8	8	1	"g1"
4173	"OG1851"	0.0892	336	348	1.035714286	"g7"
4174	"OG1884"	0.2205	343	347	1.011661808	"g7"
4175	"OG12982"	0.1269	10	11	1.1	"g1"
4176	"OG11623"	0.3822	15	15	1	"g2"
4177	"OG15437"	0.18	9	9	1	"g1"
4178	"OG4505"	0.2172	247	248	1.004048583	"g6"
4179	"OG4463"	0.2204	249	252	1.012048193	"g6"
4180	"OG11244"	0.2558	17	17	1	"g2"
4181	"OG16852"	0.2522	8	8	1	"g1"
4182	"OG5852"	0.1254	85	92	1.082352941	"g3"
4183	"OG12928"	0.3346	12	12	1	"g2"
4184	"OG2940"	0.0567	317	329	1.03785489	"g7"
4185	"OG4491"	0.1857	248	250	1.008064516	"g6"
4186	"OG17400"	0.4154	7	7	1	"g1"
4187	"OG6811"	0.076	64	64	1	"g3"
4188	"OG10759"	0.33045	16	19	1.1875	"g2"
4189	"OG9298"	0.27495	28	28	1	"g2"
4190	"OG2581"	0.1061	325	336	1.033846154	"g7"
4191	"OG3697"	0.1703	298	304	1.020134228	"g7"
4192	"OG16739"	0.24975	8	8	1	"g1"
4193	"OG3017"	0.156	322	326	1.01242236	"g7"
4194	"OG3439"	0.0328	308	314	1.019480519	"g7"
4195	"OG11360"	0.2771	16	16	1	"g2"
4196	"OG17896"	0.1428	7	7	1	"g1"
4197	"OG17145"	0.20465	7	7	1	"g1"
4198	"OG5439"	0.2779	102	129	1.264705882	"g4"
4199	"OG7388"	0.2796	50	52	1.04	"g2"
4200	"OG11037"	0.36615	17	17	1	"g2"
4201	"OG1274"	0.274	340	389	1.144117647	"g7"
4202	"OG14024"	0.0611	10	10	1	"g1"
4203	"OG5249"	0.4872	147	155	1.054421769	"g4"
4204	"OG1918"	0.0802	343	347	1.011661808	"g7"
4205	"OG10343"	0.2162	21	21	1	"g2"
4206	"OG2537"	0.08255	333	337	1.012012012	"g7"
4207	"OG1973"	0.1818	343	346	1.008746356	"g7"
4208	"OG18576"	0.2362	7	7	1	"g1"
4209	"OG5791"	0.14595	93	94	1.010752688	"g3"
4210	"OG5957"	0.1555	88	89	1.011363636	"g3"
4211	"OG5207"	0.2862	158	160	1.012658228	"g5"
4212	"OG4622"	0.4268	236	239	1.012711864	"g6"
4213	"OG5075"	0.2867	179	179	1	"g5"
4214	"OG6632"	0.37655	68	68	1	"g3"
4215	"OG9041"	0.3022	29	30	1.034482759	"g2"
4216	"OG2611"	0.3016	324	336	1.037037037	"g7"
4217	"OG10021"	0.2472	23	23	1	"g2"
4218	"OG1735"	0.099	341	350	1.026392962	"g7"
4219	"OG1213"	0.1396	321	420	1.308411215	"g7"
4220	"OG4146"	0.1998	272	277	1.018382353	"g7"
4221	"OG6721"	0.2947	65	66	1.015384615	"g3"
4222	"OG7724"	0.50095	46	46	1	"g2"
4223	"OG7602"	0.02085	42	48	1.142857143	"g2"
4224	"OG8838"	0.2322	32	32	1	"g2"
4225	"OG11717"	0.26475	15	15	1	"g2"
4226	"OG4611"	0.3586	238	239	1.004201681	"g6"
4227	"OG16389"	0.2607	8	8	1	"g1"
4228	"OG2690"	0.31105	325	334	1.027692308	"g7"
4229	"OG5403"	0.0677	131	134	1.022900763	"g4"
4230	"OG2931"	0.112	328	329	1.00304878	"g7"
4231	"OG11725"	0.3084	12	15	1.25	"g2"
4232	"OG15796"	0.35795	7	8	1.142857143	"g1"
4233	"OG6037"	0.1612	65	86	1.323076923	"g3"
4234	"OG1487"	0.0405	343	360	1.049562682	"g7"
4235	"OG8213"	0.1927	36	38	1.055555556	"g2"
4236	"OG15677"	0.2011	8	8	1	"g1"
4237	"OG3149"	0.1537	314	323	1.02866242	"g7"
4238	"OG1568"	0.0494	343	355	1.034985423	"g7"
4239	"OG4964"	0.251	191	194	1.015706806	"g5"
4240	"OG2648"	0.1598	328	335	1.021341463	"g7"
4241	"OG16330"	0.3517	8	8	1	"g1"
4242	"OG6635"	0.05575	66	68	1.03030303	"g3"
4243	"OG4854"	0.28615	201	209	1.039800995	"g6"
4244	"OG16591"	0.3587	8	8	1	"g1"
4245	"OG6963"	0.19835	61	61	1	"g3"
4246	"OG13581"	0.2112	10	10	1	"g1"
4247	"OG13936"	0.1916	10	10	1	"g1"
4248	"OG6125"	0.07835	70	83	1.185714286	"g3"
4249	"OG5464"	0.0949	121	125	1.033057851	"g4"
4250	"OG13838"	0.0937	10	10	1	"g1"
4251	"OG8854"	0.1913	32	32	1	"g2"
4252	"OG5818"	0.2379	93	93	1	"g3"
4253	"OG3918"	0.2102	289	293	1.01384083	"g7"
4254	"OG4665"	0.09575	233	233	1	"g6"
4255	"OG6385"	0.1677	71	73	1.028169014	"g3"
4256	"OG15655"	0.233	8	8	1	"g1"
4257	"OG16486"	0.2669	8	8	1	"g1"
4258	"OG4844"	0.1075	207	211	1.019323671	"g6"
4259	"OG12968"	0.191	11	11	1	"g2"
4260	"OG16491"	0.1949	8	8	1	"g1"
4261	"OG17476"	0.40265	7	7	1	"g1"
4262	"OG1991"	0.14935	342	346	1.011695906	"g7"
4263	"OG2353"	0.1039	318	340	1.06918239	"g7"
4264	"OG8803"	0.49965	32	32	1	"g2"
4265	"OG13911"	0.43815	10	10	1	"g1"
4266	"OG1316"	0.0884	325	379	1.166153846	"g7"
4267	"OG7681"	0.26485	46	47	1.02173913	"g2"
4268	"OG12105"	0.3258	10	13	1.3	"g1"
4269	"OG5958"	0.3026	89	89	1	"g3"
4270	"OG17110"	0.43285	7	7	1	"g1"
4271	"OG6327"	0.3092	74	75	1.013513514	"g3"
4272	"OG5432"	0.3431	123	130	1.056910569	"g4"
4273	"OG4896"	0.16955	146	203	1.390410959	"g4"
4274	"OG9057"	0.1753	30	30	1	"g2"
4275	"OG6173"	0.37105	80	81	1.0125	"g3"
4276	"OG3366"	0.1786	304	316	1.039473684	"g7"
4277	"OG4889"	0.2328	199	204	1.025125628	"g5"
4278	"OG4869"	0.1961	202	207	1.024752475	"g6"
4279	"OG10342"	0.346	21	21	1	"g2"
4280	"OG3954"	0.1185	288	290	1.006944444	"g7"
4281	"OG14327"	0.1175	9	9	1	"g1"
4282	"OG4229"	0.0932	265	271	1.022641509	"g7"
4283	"OG4512"	0.2488	232	248	1.068965517	"g6"
4284	"OG12343"	0.2631	13	13	1	"g2"
4285	"OG9149"	0.3121	29	29	1	"g2"
4286	"OG7085"	0.15445	58	58	1	"g3"
4287	"OG10911"	0.23165	18	18	1	"g2"
4288	"OG15738"	0.089	8	8	1	"g1"
4289	"OG8243"	0.2475	34	37	1.088235294	"g2"
4290	"OG5896"	0.4066	89	90	1.011235955	"g3"
4291	"OG12954"	0.38635	11	11	1	"g2"
4292	"OG6225"	0.1828	79	79	1	"g3"
4293	"OG6449"	0.38305	70	72	1.028571429	"g3"
4294	"OG6511"	0.31755	69	70	1.014492754	"g3"
4295	"OG7067"	0.46085	56	58	1.035714286	"g3"
4296	"OG15122"	0.0512	9	9	1	"g1"
4297	"OG16042"	0.1285	8	8	1	"g1"
4298	"OG4326"	0.19295	247	264	1.068825911	"g6"
4299	"OG8075"	0.4404	39	40	1.025641026	"g2"
4300	"OG9955"	0.2694	23	23	1	"g2"
4301	"OG3820"	0.25785	290	298	1.027586207	"g7"
4302	"OG4115"	0.1611	274	280	1.02189781	"g7"
4303	"OG17675"	0.1743	7	7	1	"g1"
4304	"OG1905"	0.1161	342	347	1.014619883	"g7"
4305	"OG2568"	0.18155	333	336	1.009009009	"g7"
4306	"OG16970"	0.2482	8	8	1	"g1"
4307	"OG2949"	0.2248	324	328	1.012345679	"g7"
4308	"OG16158"	0.27665	8	8	1	"g1"
4309	"OG7544"	0.4247	47	49	1.042553191	"g2"
4310	"OG5615"	0.1256	104	106	1.019230769	"g4"
4311	"OG2087"	0.13785	340	344	1.011764706	"g7"
4312	"OG13142"	0.3039	11	11	1	"g2"
4313	"OG9007"	0.0929	29	30	1.034482759	"g2"
4314	"OG4100"	0.4123	278	281	1.010791367	"g7"
4315	"OG3444"	0.1349	308	314	1.019480519	"g7"
4316	"OG5648"	0.1427	103	104	1.009708738	"g4"
4317	"OG16650"	0.5485	8	8	1	"g1"
4318	"OG4518"	0.16155	241	247	1.024896266	"g6"
4319	"OG15044"	0.2005	9	9	1	"g1"
4320	"OG2386"	0.1363	338	340	1.00591716	"g7"
4321	"OG14759"	0.2939	9	9	1	"g1"
4322	"OG7987"	0.3782	41	41	1	"g2"
4323	"OG14915"	0.16875	9	9	1	"g1"
4324	"OG9685"	0.3845	25	25	1	"g2"
4325	"OG12355"	0.36685	13	13	1	"g2"
4326	"OG11434"	0.21595	16	16	1	"g2"
4327	"OG8080"	0.20565	40	40	1	"g2"
4328	"OG3826"	0.1286	295	297	1.006779661	"g7"
4329	"OG9586"	0.37065	26	26	1	"g2"
4330	"OG2708"	0.2156	331	334	1.009063444	"g7"
4331	"OG5334"	0.279	144	144	1	"g4"
4332	"OG1395"	0.0422	333	368	1.105105105	"g7"
4333	"OG14044"	0.17005	10	10	1	"g1"
4334	"OG9498"	0.27615	23	26	1.130434783	"g2"
4335	"OG8862"	0.2587	32	32	1	"g2"
4336	"OG4568"	0.1824	239	243	1.016736402	"g6"
4337	"OG4311"	0.3213	263	264	1.003802281	"g7"
4338	"OG3894"	0.1323	289	294	1.017301038	"g7"
4339	"OG10522"	0.3518	20	20	1	"g2"
4340	"OG2870"	0.0161	323	330	1.021671827	"g7"
4341	"OG8509"	0.2976	34	34	1	"g2"
4342	"OG16743"	0.3611	8	8	1	"g1"
4343	"OG12503"	0.2778	12	12	1	"g2"
4344	"OG6116"	0.1551	82	83	1.012195122	"g3"
4345	"OG7074"	0.4629	58	58	1	"g3"
4346	"OG12532"	0.3799	12	12	1	"g2"
4347	"OG6947"	0.2889	61	61	1	"g3"
4348	"OG14241"	0.36775	10	10	1	"g1"
4349	"OG13094"	0.0174	11	11	1	"g2"
4350	"OG14486"	0.3096	8	9	1.125	"g1"
4351	"OG8206"	0.2743	38	38	1	"g2"
4352	"OG3124"	0.1087	322	324	1.00621118	"g7"
4353	"OG8396"	0.0979	34	35	1.029411765	"g2"
4354	"OG11371"	0.1111	16	16	1	"g2"
4355	"OG4771"	0.2414	220	221	1.004545455	"g6"
4356	"OG3728"	0.1279	292	303	1.037671233	"g7"
4357	"OG5431"	0.28555	129	130	1.007751938	"g4"
4358	"OG4781"	0.1935	202	219	1.084158416	"g6"
4359	"OG9179"	0.3508	29	29	1	"g2"
4360	"OG10465"	0.3124	20	20	1	"g2"
4361	"OG3649"	0.2349	305	306	1.003278689	"g7"
4362	"OG9356"	0.2085	26	27	1.038461538	"g2"
4363	"OG12768"	0.2328	12	12	1	"g2"
4364	"OG4743"	0.1965	219	224	1.02283105	"g6"
4365	"OG2969"	0.122	321	328	1.021806854	"g7"
4366	"OG2855"	0.13705	329	331	1.006079027	"g7"
4368	"OG16318"	0.3186	8	8	1	"g1"
4369	"OG8625"	0.2553	34	34	1	"g2"
4370	"OG7282"	0.1983	49	54	1.102040816	"g2"
