"X1"	"OG"	"dN_dS"	"representative"	"locus"	"positive_num"	"uniprotID"	"geneID"
1652	"OG6543"	0.1317	"Saccharomyces_cerevisiae@YCR065W"	"YCR065W"	NA	"P25364"	"HCM1"
1656	"OG2553"	0.1826	"Saccharomyces_cerevisiae@YDR449C"	"YDR449C"	1	"Q02354"	"UTP6"
1658	"OG7332"	0.1872	"Saccharomyces_cerevisiae@YNL162W-A"	"YNL162W-A"	NA	"Q3E7A8"	"YN162"
1662	"OG7320"	0.3147	"Saccharomyces_cerevisiae@YPL052W"	"YPL052W"	2	"Q02803"	"OAZ"
1665	"OG6991"	0.2486	"Saccharomyces_cerevisiae@YCL028W"	"YCL028W"	NA	"P25367"	"RNQ1"
1666	"OG17648"	0.306	"Saccharomyces_cerevisiae@YGR153W"	"YGR153W"	2	"P48238"	"YG3O"
1668	"OG4421"	0.1815	"Saccharomyces_cerevisiae@YER146W"	"YER146W"	NA	"P40089"	"LSM5"
1669	"OG6589"	0.2695	"Saccharomyces_cerevisiae@YGR013W"	"YGR013W"	1	"P53207"	"SNU71"
1671	"OG1631"	0.1364	"Saccharomyces_cerevisiae@YGR209C"	"YGR209C"	1	"P22803"	"TRX2"
1673	"OG2418"	0.0325	"Saccharomyces_cerevisiae@YGR252W"	"YGR252W"	2	"Q03330"	"GCN5"
1675	"OG2329"	0.1554	"Saccharomyces_cerevisiae@YNL308C"	"YNL308C"	NA	"P42846"	"KRI1"
1679	"OG2770"	0.15505	"Saccharomyces_cerevisiae@YBR261C"	"YBR261C"	NA	"P38340"	"NTM1"
1682	"OG3511"	0.1809	"Saccharomyces_cerevisiae@YNL111C"	"YNL111C"	NA	"P40312"	"CYB5"
1688	"OG1383"	0.0283	"Saccharomyces_cerevisiae@YNL278W"	"YNL278W"	NA	"P53836"	"CA120"
1689	"OG7570"	0.22925	"Saccharomyces_cerevisiae@YHL026C"	"YHL026C"	NA	"P38740"	"YHC6"
1693	"OG1939"	0.1243	"Saccharomyces_cerevisiae@YJL053W"	"YJL053W"	NA	"P40335"	"PEP8"
1707	"OG3398"	0.1905	"Saccharomyces_cerevisiae@YDL010W"	"YDL010W"	NA	"Q12438"	"GLRX6"
1708	"OG3743"	0.1406	"Saccharomyces_cerevisiae@YDR292C"	"YDR292C"	1	"P32916"	"SRPR"
1712	"OG4580"	0.10195	"Saccharomyces_cerevisiae@YDL086W"	"YDL086W"	NA	"Q07505"	"DLHH"
1717	"OG4218"	0.0691	"Saccharomyces_cerevisiae@YPL004C"	"YPL004C"	NA	"Q12230"	"LSP1"
1719	"OG1643"	0.1648	"Saccharomyces_cerevisiae@YGR075C"	"YGR075C"	1	"Q00723"	"PRP38"
1720	"OG3553"	0.4265	"Saccharomyces_cerevisiae@YGL016W"	"YGL016W"	NA	"P32767"	"KA122"
1721	"OG2955"	0.3864	"Saccharomyces_cerevisiae@YGR099W"	"YGR099W"	NA	"P53038"	"TEL2"
1727	"OG4552"	0.2412	"Saccharomyces_cerevisiae@YHR001W-A"	"YHR001W-A"	NA	"P37299"	"QCR10"
1728	"OG6492"	0.5427	"Saccharomyces_cerevisiae@YGL223C"	"YGL223C"	NA	"P53079"	"COG1"
1730	"OG4312"	0.16775	"Saccharomyces_cerevisiae@YBR148W"	"YBR148W"	NA	"P38280"	"YSW1"
1731	"OG3312"	0.2173	"Saccharomyces_cerevisiae@YOL142W"	"YOL142W"	1	"Q08285"	"RRP40"
1733	"OG6092"	0.0751	"Saccharomyces_cerevisiae@YPL085W"	"YPL085W"	NA	"P48415"	"SEC16"
1736	"OG2786"	0.2427	"Saccharomyces_cerevisiae@YDL057W"	"YDL057W"	NA	"Q07379"	"YD057"
1737	"OG17075"	0.0708	"Saccharomyces_cerevisiae@YBR016W"	"YBR016W"	2	"P38216"	"YBM6"
1743	"OG1333"	0.0763	"Saccharomyces_cerevisiae@YNL241C"	"YNL241C"	NA	"P11412"	"G6PD"
1746	"OG1217"	0.0139	"Saccharomyces_cerevisiae@YDL192W"	"YDL192W"	NA	"P11076"	"ARF1"
1749	"OG2593"	0.17095	"Saccharomyces_cerevisiae@YJL168C"	"YJL168C"	1	"P46995"	"SET2"
1751	"OG5145"	0.3281	"Saccharomyces_cerevisiae@YNR027W"	"YNR027W"	NA	"P53727"	"BUD17"
1752	"OG2436"	0.0715	"Saccharomyces_cerevisiae@YJR095W"	"YJR095W"	NA	"P33303"	"SFC1"
1754	"OG4059"	0.1683	"Saccharomyces_cerevisiae@YDR246W"	"YDR246W"	1	"Q03784"	"TRS23"
1755	"OG1548"	0.0545	"Saccharomyces_cerevisiae@YDR456W"	"YDR456W"	1	"Q04121"	"NHX1"
1759	"OG5973"	0.307	"Saccharomyces_cerevisiae@YPL024W"	"YPL024W"	NA	"Q02685"	"RMI1"
1761	"OG1834"	0.0777	"Saccharomyces_cerevisiae@YPL237W"	"YPL237W"	NA	"P09064"	"IF2B"
1765	"OG1887"	0.10515	"Saccharomyces_cerevisiae@YDR017C"	"YDR017C"	NA	"Q12494"	"KCS1"
1767	"OG1170"	0.0799	"Saccharomyces_cerevisiae@YNL117W"	"YNL117W"	1	"P30952"	"MASY"
1769	"OG2081"	0.0158	"Saccharomyces_cerevisiae@YNL317W"	"YNL317W"	1	"P42841"	"PFS2"
1770	"OG17681"	0.1168	"Saccharomyces_cerevisiae@YFR036W"	"YFR036W"	NA	"P14724"	"CDC26"
1771	"OG2059"	0.0725	"Saccharomyces_cerevisiae@YDR091C"	"YDR091C"	NA	"Q03195"	"RLI1"
1772	"OG7539"	0.3037	"Saccharomyces_cerevisiae@YHR105W"	"YHR105W"	NA	"P38815"	"YPT35"
1776	"OG6300"	0.2364	"Saccharomyces_cerevisiae@YIL031W"	"YIL031W"	NA	"P40537"	"ULP2"
1778	"OG1955"	0.1771	"Saccharomyces_cerevisiae@YKL191W"	"YKL191W"	NA	"P32461"	"DPH2"
1779	"OG7327"	0.33355	"Saccharomyces_cerevisiae@YER153C"	"YER153C"	1	"P10355"	"PT122"
1780	"OG2925"	0.3608	"Saccharomyces_cerevisiae@YJR054W"	"YJR054W"	1	"P47114"	"YJ24"
1781	"OG2916"	0.0931	"Saccharomyces_cerevisiae@YGL080W"	"YGL080W"	1	"P53157"	"MPC1"
1795	"OG2110"	0.1276	"Saccharomyces_cerevisiae@YKL189W"	"YKL189W"	NA	"P32464"	"HYM1"
1796	"OG3330"	0.2387	"Saccharomyces_cerevisiae@YPR178W"	"YPR178W"	NA	"P20053"	"PRP4"
1799	"OG3934"	0.1855	"Saccharomyces_cerevisiae@YJL057C"	"YJL057C"	1	"P47042"	"IKS1"
1800	"OG5328"	0.3651	"Saccharomyces_cerevisiae@YDL110C"	"YDL110C"	NA	"Q12513"	"TMA17"
1802	"OG1715"	0.3637	"Saccharomyces_cerevisiae@YFL008W"	"YFL008W"	1	"P32908"	"SMC1"
1803	"OG3287"	0.15025	"Saccharomyces_cerevisiae@YJR085C"	"YJR085C"	NA	"P47131"	"YJ55"
1805	"OG4706"	0.1748	"Saccharomyces_cerevisiae@YDL177C"	"YDL177C"	NA	"Q12257"	"YD177"
1807	"OG12136"	0.3229	"Saccharomyces_cerevisiae@YOR384W"	"YOR384W"	NA	"Q08908"	"FRE5"
1810	"OG3139"	0.2358	"Saccharomyces_cerevisiae@YDL072C"	"YDL072C"	NA	"Q07451"	"YET3"
1813	"OG2240"	0.2708	"Saccharomyces_cerevisiae@YJL002C"	"YJL002C"	NA	"P41543"	"OST1"
1820	"OG2328"	0.155	"Saccharomyces_cerevisiae@YPL122C"	"YPL122C"	NA	"Q02939"	"TFB2"
1821	"OG7003"	0.28485	"Saccharomyces_cerevisiae@YOL007C"	"YOL007C"	NA	"Q08054"	"CSI2"
1823	"OG2099"	0.1006	"Saccharomyces_cerevisiae@YER065C"	"YER065C"	1	"P28240"	"ACEA"
1824	"OG3739"	0.2753	"Saccharomyces_cerevisiae@YOR205C"	"YOR205C"	NA	"Q08622"	"GEP3"
1826	"OG4142"	0.1338	"Saccharomyces_cerevisiae@YGR181W"	"YGR181W"	NA	"P53299"	"TIM13"
1832	"OG1523"	0.1244	"Saccharomyces_cerevisiae@YPL137C"	"YPL137C"	NA	"Q03016"	"GIP3"
1833	"OG4997"	0.3112	"Saccharomyces_cerevisiae@YMR088C"	"YMR088C"	NA	"Q04301"	"VBA1"
1835	"OG1355"	0.0841	"Saccharomyces_cerevisiae@YHR007C"	"YHR007C"	NA	"P10614"	"CP51"
1836	"OG6631"	0.34985	"Saccharomyces_cerevisiae@YGR106C"	"YGR106C"	NA	"P53262"	"VOA1"
1837	"OG3550"	0.2812	"Saccharomyces_cerevisiae@YOL013C"	"YOL013C"	NA	"Q08109"	"HRD1"
1840	"OG4513"	0.1614	"Saccharomyces_cerevisiae@YOL026C"	"YOL026C"	NA	"Q08176"	"MIM1"
1843	"OG2774"	0.04545	"Saccharomyces_cerevisiae@YGR267C"	"YGR267C"	NA	"P51601"	"GCH1"
1844	"OG3270"	0.3174	"Saccharomyces_cerevisiae@YIL007C"	"YIL007C"	NA	"P40555"	"PSMD9"
1848	"OG2976"	0.1961	"Saccharomyces_cerevisiae@YOR289W"	"YOR289W"	NA	"Q12012"	"YO289"
1852	"OG6465"	0.2366	"Saccharomyces_cerevisiae@YCR081W"	"YCR081W"	NA	"P25648"	"SRB8"
1853	"OG3104"	0.2071	"Saccharomyces_cerevisiae@YNL048W"	"YNL048W"	NA	"P53954"	"ALG11"
1854	"OG4502"	0.2905	"Saccharomyces_cerevisiae@YMR274C"	"YMR274C"	NA	"Q03530"	"RCE1"
1855	"OG1173"	0.15035	"Saccharomyces_cerevisiae@YBL063W"	"YBL063W"	NA	"P28742"	"KIP1"
1858	"OG1908"	0.1139	"Saccharomyces_cerevisiae@YOL137W"	"YOL137W"	1	"Q08280"	"BSC6"
1861	"OG1348"	0.1776	"Saccharomyces_cerevisiae@YMR234W"	"YMR234W"	1	"Q04740"	"RNH1"
1866	"OG2035"	0.2384	"Saccharomyces_cerevisiae@YDR152W"	"YDR152W"	NA	"Q03768"	"GIR2"
1868	"OG4537"	0.1344	"Saccharomyces_cerevisiae@YHR048W"	"YHR048W"	NA	"P38776"	"YHK8"
1871	"OG2058"	0.0743	"Saccharomyces_cerevisiae@YGR231C"	"YGR231C"	1	"P50085"	"PHB2"
1874	"OG3148"	0.1921	"Saccharomyces_cerevisiae@YKL119C"	"YKL119C"	NA	"P32341"	"VPH2"
1880	"OG1293"	0.0702	"Saccharomyces_cerevisiae@YIL109C"	"YIL109C"	1	"P40482"	"SEC24"
1881	"OG3744"	0.2475	"Saccharomyces_cerevisiae@YKL171W"	"YKL171W"	NA	"P36003"	"NNK1"
1882	"OG4153"	0.1092	"Saccharomyces_cerevisiae@YNL288W"	"YNL288W"	NA	"P53829"	"CAF40"
1883	"OG4581"	0.1396	"Saccharomyces_cerevisiae@YOR184W"	"YOR184W"	NA	"P33330"	"SERC"
1886	"OG3494"	0.08985	"Saccharomyces_cerevisiae@YOR267C"	"YOR267C"	1	"Q08732"	"HRK1"
1888	"OG3839"	0.1225	"Saccharomyces_cerevisiae@YKR066C"	"YKR066C"	NA	"P00431"	"CCPR"
1889	"OG6612"	0.3661	"Saccharomyces_cerevisiae@YDR319C"	"YDR319C"	1	"Q06676"	"YFT2"
1892	"OG1770"	0.0727	"Saccharomyces_cerevisiae@YAL035W"	"YAL035W"	NA	"P39730"	"IF2P"
1894	"OG3298"	0.133	"Saccharomyces_cerevisiae@YBR111C"	"YBR111C"	NA	"Q01976"	"ADPP"
1896	"OG11566"	0.1967	"Saccharomyces_cerevisiae@YPL053C"	"YPL053C"	NA	"P54070"	"KTR6"
1898	"OG2125"	0.15305	"Saccharomyces_cerevisiae@YNL137C"	"YNL137C"	NA	"P27929"	"NAM9"
1903	"OG2288"	0.1454	"Saccharomyces_cerevisiae@YIL006W"	"YIL006W"	NA	"P40556"	"YIA6"
1905	"OG4321"	0.14685	"Saccharomyces_cerevisiae@YLR063W"	"YLR063W"	NA	"Q12291"	"BMT6"
1906	"OG3212"	0.1973	"Saccharomyces_cerevisiae@YKL116C"	"YKL116C"	NA	"P28708"	"PRR1"
1910	"OG3592"	0.1429	"Saccharomyces_cerevisiae@YFR001W"	"YFR001W"	NA	"P43586"	"LOC1"
1912	"OG15762"	0.1052	"Saccharomyces_cerevisiae@YIL119C"	"YIL119C"	NA	"P23250"	"RPI1"
1913	"OG6544"	0.332	"Saccharomyces_cerevisiae@YPR164W"	"YPR164W"	NA	"Q06211"	"MMS1"
1915	"OG1424"	0.0993	"Saccharomyces_cerevisiae@YCR012W"	"YCR012W"	1	"P00560"	"PGK"
1919	"OG4252"	0.35665	"Saccharomyces_cerevisiae@YDR524C"	"YDR524C"	1	"Q04412"	"AGE1"
1920	"OG2779"	0.0965	"Saccharomyces_cerevisiae@YPR051W"	"YPR051W"	NA	"Q03503"	"NAA30"
1922	"OG1593"	0.0905	"Saccharomyces_cerevisiae@YHR108W"	"YHR108W"	NA	"P38817"	"GGA2"
1928	"OG4339"	0.2186	"Saccharomyces_cerevisiae@YHR191C"	"YHR191C"	NA	"P38877"	"CTF8"
1929	"OG2119"	0.2003	"Saccharomyces_cerevisiae@YPL022W"	"YPL022W"	NA	"P06777"	"RAD1"
1930	"OG1644"	0.1499	"Saccharomyces_cerevisiae@YDR346C"	"YDR346C"	NA	"Q05515"	"SVF1"
1931	"OG2538"	0.1439	"Saccharomyces_cerevisiae@YFL033C"	"YFL033C"	NA	"P43565"	"RIM15"
1936	"OG2566"	0.04895	"Saccharomyces_cerevisiae@YLL027W"	"YLL027W"	NA	"Q07821"	"ISA1"
1937	"OG2528"	0.0917	"Saccharomyces_cerevisiae@YDR365C"	"YDR365C"	NA	"Q06344"	"ESF1"
1942	"OG5058"	0.20675	"Saccharomyces_cerevisiae@YNL070W"	"YNL070W"	NA	"P53507"	"TOM7"
1943	"OG3902"	0.0325	"Saccharomyces_cerevisiae@YPR183W"	"YPR183W"	1	"P14020"	"DPM1"
1946	"OG2242"	0.162	"Saccharomyces_cerevisiae@YDR211W"	"YDR211W"	1	"P32501"	"EI2BE"
1947	"OG5333"	0.3215	"Saccharomyces_cerevisiae@YBR255C-A"	"YBR255C-A"	NA	"Q3E776"	"YB255"
1950	"OG4573"	0.1748	"Saccharomyces_cerevisiae@YDR191W"	"YDR191W"	NA	"P53688"	"HST4"
1951	"OG8780"	0.43515	"Saccharomyces_cerevisiae@YNL210W"	"YNL210W"	1	"P16523"	"MER1"
1952	"OG5497"	0.1973	"Saccharomyces_cerevisiae@YLR165C"	"YLR165C"	NA	"Q06244"	"PUS5"
1953	"OG7641"	0.0328	"Saccharomyces_cerevisiae@YMR111C"	"YMR111C"	NA	"Q04461"	"YM01"
1968	"OG1828"	0.1169	"Saccharomyces_cerevisiae@YOR291W"	"YOR291W"	NA	"Q12697"	"YPK9"
1971	"OG9621"	0.1697	"Saccharomyces_cerevisiae@YML113W"	"YML113W"	NA	"P13483"	"DATI"
1972	"OG5626"	0.2202	"Saccharomyces_cerevisiae@YLR390W"	"YLR390W"	NA	"Q06011"	"ECM19"
1976	"OG17645"	0.1298	"Saccharomyces_cerevisiae@YOR020W-A"	"YOR020W-A"	NA	"Q3E824"	"YO020"
1977	"OG2657"	0.1908	"Saccharomyces_cerevisiae@YBL020W"	"YBL020W"	NA	"P38206"	"RFT1"
1979	"OG2319"	0.2084	"Saccharomyces_cerevisiae@YER016W"	"YER016W"	NA	"P40013"	"BIM1"
1980	"OG2121"	0.054	"Saccharomyces_cerevisiae@YPL266W"	"YPL266W"	NA	"P41819"	"DIM1"
1982	"OG7939"	0.16455	"Saccharomyces_cerevisiae@YPL189C-A"	"YPL189C-A"	NA	"Q3E823"	"COA2"
1984	"OG1602"	0.1484	"Saccharomyces_cerevisiae@YPL019C"	"YPL019C"	1	"Q02725"	"VTC3"
1986	"OG2864"	0.1536	"Saccharomyces_cerevisiae@YOL033W"	"YOL033W"	NA	"P48525"	"SYEM"
1989	"OG2117"	0.2485	"Saccharomyces_cerevisiae@YBL088C"	"YBL088C"	1	"P38110"	"ATM"
1991	"OG1557"	0.1949	"Saccharomyces_cerevisiae@YGR125W"	"YGR125W"	NA	"P53273"	"YG35"
1992	"OG5496"	0.2959	"Saccharomyces_cerevisiae@YOL042W"	"YOL042W"	NA	"Q08213"	"NGL1"
1995	"OG1853"	0.2781	"Saccharomyces_cerevisiae@YGL044C"	"YGL044C"	NA	"P25299"	"RNA15"
1996	"OG6653"	0.1965	"Saccharomyces_cerevisiae@YPL180W"	"YPL180W"	NA	"Q08921"	"TCO89"
2000	"OG3146"	0.1847	"Saccharomyces_cerevisiae@YJR098C"	"YJR098C"	NA	"P47139"	"YJ68"
2002	"OG4073"	0.3632	"Saccharomyces_cerevisiae@YOR249C"	"YOR249C"	NA	"Q08683"	"APC5"
2003	"OG2865"	0.1062	"Saccharomyces_cerevisiae@YBR005W"	"YBR005W"	NA	"P38212"	"RCR1"
2004	"OG2352"	0.18235	"Saccharomyces_cerevisiae@YDL230W"	"YDL230W"	NA	"P25044"	"PTP1"
2005	"OG11671"	0.3822	"Saccharomyces_cerevisiae@YNL034W"	"YNL034W"	NA	"P53963"	"YND4"
2006	"OG2965"	0.3084	"Saccharomyces_cerevisiae@YLR201C"	"YLR201C"	1	"Q05779"	"COQ9"
2008	"OG3711"	0.36105	"Saccharomyces_cerevisiae@YDR323C"	"YDR323C"	NA	"P32609"	"PEP7"
2010	"OG2501"	0.2823	"Saccharomyces_cerevisiae@YMR259C"	"YMR259C"	NA	"Q03496"	"TR732"
2014	"OG6541"	0.3142	"Saccharomyces_cerevisiae@YEL018W"	"YEL018W"	NA	"P39995"	"EAF5"
2016	"OG2953"	0.1549	"Saccharomyces_cerevisiae@YFR050C"	"YFR050C"	NA	"P30657"	"PSB7"
2018	"OG5428"	0.282	"Saccharomyces_cerevisiae@YOR137C"	"YOR137C"	NA	"Q12212"	"SIA1"
2021	"OG4884"	0.26865	"Saccharomyces_cerevisiae@YMR265C"	"YMR265C"	NA	"Q03508"	"YM8F"
2022	"OG2627"	0.1876	"Saccharomyces_cerevisiae@YDR410C"	"YDR410C"	NA	"P32584"	"STE14"
2027	"OG1318"	0.0889	"Saccharomyces_cerevisiae@YLR260W"	"YLR260W"	NA	"Q06147"	"LCB5"
2028	"OG2426"	0.1476	"Saccharomyces_cerevisiae@YGL106W"	"YGL106W"	NA	"P53141"	"MLC1"
2029	"OG1190"	0.2674	"Saccharomyces_cerevisiae@YJL163C"	"YJL163C"	NA	"P46996"	"YJQ3"
2036	"OG1115"	0.0705	"Saccharomyces_cerevisiae@YNL104C"	"YNL104C"	NA	"P06208"	"LEU1"
2044	"OG1924"	0.0831	"Saccharomyces_cerevisiae@YDR148C"	"YDR148C"	NA	"P19262"	"ODO2"
2046	"OG2277"	0.1005	"Saccharomyces_cerevisiae@YJL197W"	"YJL197W"	NA	"P39538"	"UBP12"
2047	"OG3859"	0.1881	"Saccharomyces_cerevisiae@YNL053W"	"YNL053W"	1	"P38590"	"MSG5"
2050	"OG2728"	0.2526	"Saccharomyces_cerevisiae@YMR075W"	"YMR075W"	1	"Q04779"	"RCO1"
2055	"OG2543"	0.0633	"Saccharomyces_cerevisiae@YMR121C"	"YMR121C"	1	"P54780"	"RL15B"
2057	"OG3803"	0.129	"Saccharomyces_cerevisiae@YBR062C"	"YBR062C"	NA	"P38239"	"YBR2"
2064	"OG2609"	0.2122	"Saccharomyces_cerevisiae@YGR223C"	"YGR223C"	1	"P50079"	"HSV2"
2068	"OG17655"	0.1771	"Saccharomyces_cerevisiae@YDR528W"	"YDR528W"	NA	"Q04429"	"HLR1"
2073	"OG2150"	0.2216	"Saccharomyces_cerevisiae@YHL030W"	"YHL030W"	NA	"P38737"	"ECM29"
2074	"OG1082"	0.3256	"Saccharomyces_cerevisiae@YMR154C"	"YMR154C"	NA	"Q03792"	"RIM13"
2078	"OG1820"	0.23895	"Saccharomyces_cerevisiae@YFR031C"	"YFR031C"	NA	"P38989"	"SMC2"
2080	"OG3646"	0.0983	"Saccharomyces_cerevisiae@YLR208W"	"YLR208W"	1	"Q04491"	"SEC13"
2081	"OG3851"	0.2407	"Saccharomyces_cerevisiae@YDR437W"	"YDR437W"	NA	"Q04082"	"GPI19"
2082	"OG2897"	0.2389	"Saccharomyces_cerevisiae@YGL045W"	"YGL045W"	NA	"P53179"	"PALF"
2083	"OG10326"	0.0704	"Saccharomyces_cerevisiae@YGR161C"	"YGR161C"	NA	"P53289"	"RTS3"
2084	"OG4189"	0.3006	"Saccharomyces_cerevisiae@YFR005C"	"YFR005C"	NA	"P43589"	"SAD1"
2088	"OG3987"	0.2089	"Saccharomyces_cerevisiae@YHR059W"	"YHR059W"	NA	"P38783"	"FYV4"
2090	"OG3695"	0.4138	"Saccharomyces_cerevisiae@YOL072W"	"YOL072W"	NA	"Q08231"	"THP1"
2091	"OG6005"	0.0726	"Saccharomyces_cerevisiae@YDL021W"	"YDL021W"	1	"Q12008"	"PMG2"
2093	"OG1705"	0.15865	"Saccharomyces_cerevisiae@YDL081C"	"YDL081C"	NA	"P05318"	"RLA1"
2098	"OG2947"	0.0987	"Saccharomyces_cerevisiae@YJR060W"	"YJR060W"	2	"P17106"	"CBF1"
2101	"OG3355"	0.0658	"Saccharomyces_cerevisiae@YDL199C"	"YDL199C"	NA	"Q12407"	"YD199"
2105	"OG4616"	0.1275	"Saccharomyces_cerevisiae@YDL125C"	"YDL125C"	NA	"Q04344"	"HNT1"
2109	"OG1388"	0.0655	"Saccharomyces_cerevisiae@YMR108W"	"YMR108W"	NA	"P07342"	"ILVB"
2110	"OG14419"	0.04295	"Saccharomyces_cerevisiae@YBR049C"	"YBR049C"	NA	"P21538"	"REB1"
2112	"OG7048"	0.342	"Saccharomyces_cerevisiae@YGR016W"	"YGR016W"	1	"P53209"	"YG1A"
2118	"OG6630"	0.2369	"Saccharomyces_cerevisiae@YMR316W"	"YMR316W"	NA	"P54005"	"DIA1"
2121	"OG4123"	0.2227	"Saccharomyces_cerevisiae@YKR030W"	"YKR030W"	1	"P36125"	"GMH1"
2130	"OG1579"	0.07735	"Saccharomyces_cerevisiae@YPL154C"	"YPL154C"	NA	"P07267"	"CARP"
2131	"OG6540"	0.2271	"Saccharomyces_cerevisiae@YDR216W"	"YDR216W"	NA	"P07248"	"ADR1"
2138	"OG3791"	0.1891	"Saccharomyces_cerevisiae@YER140W"	"YER140W"	1	"P40085"	"TAPT1"
2139	"OG17125"	0.1996	"Saccharomyces_cerevisiae@YMR136W"	"YMR136W"	NA	"P40209"	"GAT2"
2141	"OG3598"	0.1071	"Saccharomyces_cerevisiae@YLR323C"	"YLR323C"	NA	"P53769"	"CWC24"
2142	"OG2857"	0.1254	"Saccharomyces_cerevisiae@YPL152W"	"YPL152W"	NA	"Q12461"	"PTPA2"
2146	"OG1266"	0.028	"Saccharomyces_cerevisiae@YFR015C"	"YFR015C"	1	"P23337"	"GYS1"
2154	"OG3573"	0.1828	"Saccharomyces_cerevisiae@YDL133W"	"YDL133W"	NA	"Q12516"	"SRF1"
2159	"OG4999"	0.17925	"Saccharomyces_cerevisiae@YPR201W"	"YPR201W"	NA	"Q06598"	"ARR3"
2165	"OG1494"	0.044	"Saccharomyces_cerevisiae@YPL135W"	"YPL135W"	1	"Q03020"	"ISU1"
2168	"OG7278"	0.20585	"Saccharomyces_cerevisiae@YBR036C"	"YBR036C"	NA	"P35206"	"CSG2"
2170	"OG1305"	0.24985	"Saccharomyces_cerevisiae@YLR109W"	"YLR109W"	NA	"P38013"	"AHP1"
2176	"OG6623"	0.2847	"Saccharomyces_cerevisiae@YPL071C"	"YPL071C"	NA	"Q02864"	"YP071"
2179	"OG4084"	0.305	"Saccharomyces_cerevisiae@YNL138W-A"	"YNL138W-A"	NA	"P0C074"	"YSF3"
2183	"OG4807"	0.1371	"Saccharomyces_cerevisiae@YMR267W"	"YMR267W"	NA	"P28239"	"IPYR2"
2186	"OG3277"	0.1509	"Saccharomyces_cerevisiae@YPR161C"	"YPR161C"	1	"P23293"	"BUR1"
2190	"OG2463"	0.2034	"Saccharomyces_cerevisiae@YDL237W"	"YDL237W"	NA	"Q07716"	"AIM6"
2192	"OG1634"	0.0788	"Saccharomyces_cerevisiae@YDR074W"	"YDR074W"	NA	"P31688"	"TPS2"
2193	"OG3259"	0.2513	"Saccharomyces_cerevisiae@YOR216C"	"YOR216C"	2	"Q12234"	"RUD3"
2195	"OG4235"	0.093	"Saccharomyces_cerevisiae@YKL172W"	"YKL172W"	1	"P36049"	"EBP2"
2199	"OG6218"	0.21425	"Saccharomyces_cerevisiae@YNL199C"	"YNL199C"	1	"Q01722"	"GCR2"
2200	"OG4989"	0.1959	"Saccharomyces_cerevisiae@YPL001W"	"YPL001W"	1	"Q12341"	"HAT1"
2202	"OG1272"	0.0559	"Saccharomyces_cerevisiae@YJR047C"	"YJR047C"	2	"P19211"	"IF5A2"
2211	"OG7123"	0.29445	"Saccharomyces_cerevisiae@YHR127W"	"YHR127W"	NA	"P38833"	"YHS7"
2213	"OG2379"	0.1158	"Saccharomyces_cerevisiae@YJR070C"	"YJR070C"	NA	"P47120"	"DOHH"
2216	"OG5211"	0.3125	"Saccharomyces_cerevisiae@YDL231C"	"YDL231C"	NA	"Q07660"	"BRE4"
2218	"OG2826"	0.2316	"Saccharomyces_cerevisiae@YCR035C"	"YCR035C"	1	"P25359"	"RRP43"
2223	"OG5241"	0.2641	"Saccharomyces_cerevisiae@YOL110W"	"YOL110W"	NA	"P41912"	"ERFD"
2224	"OG8480"	0.23095	"Saccharomyces_cerevisiae@YCR040W"	"YCR040W"	NA	"P0CY06"	"MTAL1"
2226	"OG1423"	0.1008	"Saccharomyces_cerevisiae@YLR185W"	"YLR185W"	1	"P49166"	"RL37A"
2228	"OG2595"	0.3826	"Saccharomyces_cerevisiae@YML103C"	"YML103C"	NA	"P52593"	"NU188"
2234	"OG3937"	0.1139	"Saccharomyces_cerevisiae@YGR280C"	"YGR280C"	NA	"P53335"	"PXR1"
2241	"OG1957"	0.1255	"Saccharomyces_cerevisiae@YDR060W"	"YDR060W"	1	"Q12176"	"MAK21"
2243	"OG5088"	0.36045	"Saccharomyces_cerevisiae@YBL086C"	"YBL086C"	NA	"P38177"	"YBI6"
2245	"OG4072"	0.1119	"Saccharomyces_cerevisiae@YLR025W"	"YLR025W"	NA	"P39929"	"SNF7"
2246	"OG3384"	0.2973	"Saccharomyces_cerevisiae@YBR288C"	"YBR288C"	1	"P38153"	"AP3M"
2247	"OG1857"	0.0524	"Saccharomyces_cerevisiae@YHR074W"	"YHR074W"	NA	"P38795"	"NADE"
2248	"OG3722"	0.17045	"Saccharomyces_cerevisiae@YGL192W"	"YGL192W"	NA	"P41833"	"IME4"
2250	"OG1638"	0.0344	"Saccharomyces_cerevisiae@YNL061W"	"YNL061W"	1	"P40991"	"NOP2"
2254	"OG3441"	0.1109	"Saccharomyces_cerevisiae@YNL191W"	"YNL191W"	1	"P53871"	"DUG3"
2257	"OG2411"	0.112	"Saccharomyces_cerevisiae@YNR034W"	"YNR034W"	1	"P50278"	"SOL1"
2258	"OG2744"	0.13395	"Saccharomyces_cerevisiae@YNL251C"	"YNL251C"	NA	"P53617"	"NRD1"
2261	"OG2825"	0.1065	"Saccharomyces_cerevisiae@YMR314W"	"YMR314W"	NA	"P40302"	"PSA6"
2262	"OG6221"	0.06685	"Saccharomyces_cerevisiae@YOR208W"	"YOR208W"	1	"P29461"	"PTP2"
2264	"OG5451"	0.3844	"Saccharomyces_cerevisiae@YMR098C"	"YMR098C"	NA	"Q03153"	"ATP25"
2265	"OG4170"	0.1615	"Saccharomyces_cerevisiae@YLR034C"	"YLR034C"	NA	"Q12078"	"SMF3"
